Player,Kicks OTR,Kicks BTR,Kicks OT%,Kicks BT%,Handballs OTR,Handballs BTR,Handballs OT%,Handballs BT%,Disposals OTR,Disposals BTR,Disposals OT%,Disposals BT%,Marks OTR,Marks BTR,Marks OT%,Marks BT%,Goals OTR,Goals BTR,Goals OT%,Goals BT%,Behinds OTR,Behinds BTR,Behinds OT%,Behinds BT%,Tackles OTR,Tackles BTR,Tackles OT%,Tackles BT%,Hitouts OTR,Hitouts BTR,Hitouts OT%,Hitouts BT%,Goal Assists OTR,Goal Assists BTR,Goal Assists OT%,Goal Assists BT%,Inside 50s OTR,Inside 50s BTR,Inside 50s OT%,Inside 50s BT%,Clearances OTR,Clearances BTR,Clearances OT%,Clearances BT%,Clangers OTR,Clangers BTR,Clangers OT%,Clangers BT%,Rebound 50s OTR,Rebound 50s BTR,Rebound 50s OT%,Rebound 50s BT%,Frees For OTR,Frees For BTR,Frees For OT%,Frees For BT%,Frees Agains OTR,Frees Agains BTR,Frees Agains OT%,Frees Agains BT%,Contested Possessions OTR,Contested Possessions BTR,Contested Possessions OT%,Contested Possessions BT%,Uncontested Possessions OTR,Uncontested Possessions BTR,Uncontested Possessions OT%,Uncontested Possessions BT%,Effective Disposals OTR,Effective Disposals BTR,Effective Disposals OT%,Effective Disposals BT%,Disposal Efficiency % OTR,Disposal Efficiency % BTR,Contested Marks OTR,Contested Marks BTR,Contested Marks OT%,Contested Marks BT%,Marks Inside 50 OTR,Marks Inside 50 BTR,Marks Inside 50 OT%,Marks Inside 50 BT%,One Percenters OTR,One Percenters BTR,One Percenters OT%,One Percenters BT%,Bounces OTR,Bounces BTR,Bounces OT%,Bounces BT%,Centre Clearances OTR,Centre Clearances BTR,Centre Clearances OT%,Centre Clearances BT%,Stoppage Clearances OTR,Stoppage Clearances BTR,Stoppage Clearances OT%,Stoppage Clearances BT%,Score Involvements OTR,Score Involvements BTR,Score Involvements OT%,Score Involvements BT%,Metres Gained OTR,Metres Gained BTR,Metres Gained OT%,Metres Gained BT%,Turnovers OTR,Turnovers BTR,Turnovers OT%,Turnovers BT%,Intercepts OTR,Intercepts BTR,Intercepts OT%,Intercepts BT%,Tackles Inside 50 OTR,Tackles Inside 50 BTR,Tackles Inside 50 OT%,Tackles Inside 50 BT%,Time On Ground % OTR,Time On Ground % BTR,Time On Ground % OT%,Time On Ground % BT%,Winloss,Brownlow Votes
Nathan Fyfe,3.0,6.5,0.075,0.03537735849056604,2.0,3.0,0.0963855421686747,0.04819277108433735,1.0,2.5,0.08469945355191257,0.041005291005291,8.5,24.5,0.0547945205479452,0.01990049751243781,5.0,10.0,0.09090909090909091,0.047619047619047616,3.5,6.5,0.16666666666666666,0.08333333333333333,9.0,24.5,0.04878048780487805,0.017543859649122806,3.5,5.5,0.0392156862745098,0.02631578947368421,4.0,7.5,0.14285714285714285,0.07142857142857142,1.0,1.0,0.1206896551724138,0.07,3.5,5.5,0.0975609756097561,0.056338028169014086,1.0,1.5,0.11363636363636363,0.05154639175257732,12.5,25.0,0.03225806451612903,0.013333333333333334,12.5,21.5,0.037037037037037035,0.02127659574468085,22.0,43.5,0.2,0.0851063829787234,1.5,2.5,0.10869565217391304,0.06,2.5,5.0,0.0782608695652174,0.03501945525291829,4.0,7.0,0.07434944237918216,0.03466204506065858,18.0,39.0,2.0,3.0,0.2222222222222222,0.13333333333333333,3.0,8.0,0.2,0.06666666666666667,14.0,29.5,0.02564102564102564,0.011904761904761904,14.0,29.0,0.0,0.0,2.5,3.5,0.1875,0.13636363636363635,8.5,16.5,0.04,0.02040816326530612,4.0,7.0,0.07228915662650602,0.03680981595092025,5.0,9.0,0.07076285812909906,0.036324975635687075,20.0,39.5,0.08064516129032258,0.04,9.0,17.0,0.047619047619047616,0.024,13.5,29.0,0.0,0.0,8.0,19.0,0.048226164079822616,0.024133148404993063,1,0
David Mundy,3.0,6.5,0.075,0.03537735849056604,3.0,5.0,0.08433734939759036,0.04216867469879518,2.0,4.5,0.07923497267759563,0.03835978835978836,4.5,18.0,0.0684931506849315,0.024875621890547265,14.5,29.5,0.0,0.0,3.5,6.5,0.16666666666666666,0.08333333333333333,3.5,10.5,0.0975609756097561,0.03508771929824561,14.0,27.0,0.0,0.0,4.0,7.5,0.14285714285714285,0.07142857142857142,12.5,20.0,0.034482758620689655,0.02,1.0,1.0,0.24390243902439024,0.14084507042253522,21.0,42.0,0.0,0.0,19.0,37.0,0.0,0.0,2.0,3.0,0.1111111111111111,0.06382978723404255,5.5,8.0,0.0,0.0,1.5,2.5,0.10869565217391304,0.06,5.5,14.5,0.06086956521739131,0.027237354085603113,1.0,4.0,0.08550185873605948,0.03986135181975736,8.0,18.0,14.5,27.5,0.0,0.0,14.0,29.5,0.0,0.0,14.0,29.5,0.02564102564102564,0.011904761904761904,14.0,29.0,0.0,0.0,1.0,1.5,0.25,0.18181818181818182,1.0,1.0,0.24,0.12244897959183673,2.0,3.5,0.0963855421686747,0.049079754601226995,2.0,4.0,0.0774939592682085,0.039780278196154865,13.0,25.0,0.04838709677419355,0.024,5.5,12.0,0.06349206349206349,0.032,13.5,29.0,0.0,0.0,14.0,31.5,0.04434589800443459,0.022191400832177532,1,2
Danyle Pearce,1.0,4.0,0.085,0.04009433962264151,5.0,9.5,0.06626506024096386,0.03313253012048193,3.0,6.0,0.07650273224043716,0.037037037037037035,8.5,24.5,0.0547945205479452,0.01990049751243781,2.5,3.5,0.18181818181818182,0.09523809523809523,13.5,27.5,0.0,0.0,5.5,17.0,0.07317073170731707,0.02631578947368421,14.0,27.0,0.0,0.0,14.5,28.5,0.0,0.0,4.5,6.0,0.08620689655172414,0.05,2.0,3.0,0.17073170731707318,0.09859154929577464,10.5,23.5,0.045454545454545456,0.020618556701030927,3.0,10.0,0.0967741935483871,0.04,12.5,21.5,0.037037037037037035,0.02127659574468085,5.5,8.0,0.0,0.0,5.5,7.5,0.07246376811594203,0.04,2.5,5.0,0.0782608695652174,0.03501945525291829,2.0,5.0,0.08178438661710037,0.038128249566724434,9.5,19.5,14.5,27.5,0.0,0.0,3.0,8.0,0.2,0.06666666666666667,8.0,17.5,0.05128205128205128,0.023809523809523808,14.0,29.0,0.0,0.0,4.0,5.0,0.125,0.09090909090909091,2.0,3.0,0.2,0.10204081632653061,13.5,26.0,0.03614457831325301,0.018404907975460124,1.0,1.0,0.09440800828443217,0.04846283334809958,21.5,43.0,0.0967741935483871,0.048,9.0,17.0,0.047619047619047616,0.024,13.5,29.0,0.0,0.0,20.0,38.0,0.041574279379157426,0.020804438280166437,1,0
Michael Barlow,3.0,6.5,0.075,0.03537735849056604,6.0,11.5,0.060240963855421686,0.030120481927710843,4.0,8.5,0.06830601092896176,0.03306878306878307,1.0,3.0,0.1232876712328767,0.04477611940298507,14.5,29.5,0.0,0.0,13.5,27.5,0.0,0.0,9.0,24.5,0.04878048780487805,0.017543859649122806,14.0,27.0,0.0,0.0,1.0,1.5,0.2857142857142857,0.14285714285714285,4.5,6.0,0.08620689655172414,0.05,11.5,20.5,0.024390243902439025,0.014084507042253521,10.5,23.5,0.045454545454545456,0.020618556701030927,19.0,37.0,0.0,0.0,12.5,21.5,0.037037037037037035,0.02127659574468085,5.5,8.0,0.0,0.0,15.5,28.5,0.028985507246376812,0.016,1.0,3.0,0.09130434782608696,0.04085603112840467,5.5,11.5,0.06319702602230483,0.029462738301559793,16.0,34.0,14.5,27.5,0.0,0.0,14.0,29.5,0.0,0.0,20.0,40.5,0.0,0.0,14.0,29.0,0.0,0.0,6.5,8.5,0.0625,0.045454545454545456,17.0,34.0,0.0,0.0,7.0,10.5,0.060240963855421686,0.03067484662576687,4.0,7.0,0.07283396617190196,0.03738814565429255,21.5,43.0,0.0967741935483871,0.048,17.0,33.5,0.015873015873015872,0.008,13.5,29.0,0.0,0.0,12.5,28.0,0.045454545454545456,0.02274618585298197,1,0
Lachie Neale,17.5,35.5,0.025,0.01179245283018868,1.0,1.5,0.10240963855421686,0.05120481927710843,5.0,10.0,0.060109289617486336,0.0291005291005291,15.0,35.0,0.0273972602739726,0.009950248756218905,5.0,10.0,0.09090909090909091,0.047619047619047616,13.5,27.5,0.0,0.0,20.5,41.5,0.0,0.0,14.0,27.0,0.0,0.0,14.5,28.5,0.0,0.0,9.0,14.5,0.05172413793103448,0.03,3.5,5.5,0.0975609756097561,0.056338028169014086,10.5,23.5,0.045454545454545456,0.020618556701030927,12.5,25.0,0.03225806451612903,0.013333333333333334,12.5,21.5,0.037037037037037035,0.02127659574468085,14.0,23.5,0.05,0.02127659574468085,4.0,6.0,0.07971014492753623,0.044,9.0,23.0,0.04782608695652174,0.021400778210116732,3.0,6.0,0.07806691449814127,0.036395147313691506,1.0,1.0,14.5,27.5,0.0,0.0,14.0,29.5,0.0,0.0,4.5,9.5,0.07692307692307693,0.03571428571428571,14.0,29.0,0.0,0.0,6.5,8.5,0.0625,0.045454545454545456,3.5,6.5,0.12,0.061224489795918366,10.0,17.5,0.04819277108433735,0.024539877300613498,15.0,27.0,0.03538142906454953,0.018162487817843537,3.5,6.5,0.016129032258064516,0.008,9.0,17.0,0.047619047619047616,0.024,13.5,29.0,0.0,0.0,18.5,36.5,0.042682926829268296,0.021359223300970873,1,0
Thomas Sheridan,11.5,24.0,0.045,0.02122641509433962,4.0,7.5,0.07228915662650602,0.03614457831325301,6.5,12.0,0.05737704918032787,0.027777777777777776,11.5,29.5,0.0410958904109589,0.014925373134328358,14.5,29.5,0.0,0.0,13.5,27.5,0.0,0.0,20.5,41.5,0.0,0.0,14.0,27.0,0.0,0.0,14.5,28.5,0.0,0.0,12.5,20.0,0.034482758620689655,0.02,7.5,12.0,0.04878048780487805,0.028169014084507043,5.0,13.0,0.06818181818181818,0.030927835051546393,7.0,16.5,0.06451612903225806,0.02666666666666667,19.5,36.0,0.0,0.0,14.0,23.5,0.05,0.02127659574468085,7.5,13.0,0.050724637681159424,0.028,5.5,14.5,0.06086956521739131,0.027237354085603113,9.0,20.0,0.05204460966542751,0.024263431542461005,17.0,36.0,14.5,27.5,0.0,0.0,14.0,29.5,0.0,0.0,14.0,29.5,0.02564102564102564,0.011904761904761904,1.0,2.5,0.3333333333333333,0.11764705882352941,15.5,28.0,0.0,0.0,5.0,9.0,0.08,0.04081632653061224,10.0,17.5,0.04819277108433735,0.024539877300613498,11.0,18.0,0.05177770107007249,0.026579250465136883,8.0,15.0,0.03225806451612903,0.016,13.5,25.5,0.031746031746031744,0.016,13.5,29.0,0.0,0.0,15.5,33.5,0.04379157427937916,0.021914008321775313,1,0
Lee Spurr,7.0,15.0,0.06,0.02830188679245283,7.0,14.0,0.05421686746987952,0.02710843373493976,6.5,12.0,0.05737704918032787,0.027777777777777776,2.0,9.0,0.0958904109589041,0.03482587064676617,14.5,29.5,0.0,0.0,13.5,27.5,0.0,0.0,20.5,41.5,0.0,0.0,14.0,27.0,0.0,0.0,14.5,28.5,0.0,0.0,12.5,20.0,0.034482758620689655,0.02,18.5,36.0,0.0,0.0,3.0,6.5,0.09090909090909091,0.041237113402061855,3.0,10.0,0.0967741935483871,0.04,5.5,10.0,0.07407407407407407,0.0425531914893617,19.0,36.5,0.1,0.0425531914893617,5.5,7.5,0.07246376811594203,0.04,9.0,23.0,0.04782608695652174,0.021400778210116732,5.5,11.5,0.06319702602230483,0.029462738301559793,4.5,13.0,2.0,3.0,0.2222222222222222,0.13333333333333333,14.0,29.5,0.0,0.0,8.0,17.5,0.05128205128205128,0.023809523809523808,14.0,29.0,0.0,0.0,15.5,28.0,0.0,0.0,17.0,34.0,0.0,0.0,21.5,43.5,0.0,0.0,7.0,12.0,0.06144287193648602,0.031540710551962434,17.5,33.5,0.06451612903225806,0.032,1.0,1.0,0.1746031746031746,0.088,13.5,29.0,0.0,0.0,7.0,8.5,0.050997782705099776,0.025520110957004162,1,0
Paul Duffield,7.0,15.0,0.06,0.02830188679245283,9.5,18.0,0.04819277108433735,0.024096385542168676,8.0,14.5,0.0546448087431694,0.026455026455026454,15.0,35.0,0.0273972602739726,0.009950248756218905,14.5,29.5,0.0,0.0,13.5,27.5,0.0,0.0,5.5,17.0,0.07317073170731707,0.02631578947368421,14.0,27.0,0.0,0.0,14.5,28.5,0.0,0.0,16.5,30.5,0.017241379310344827,0.01,11.5,20.5,0.024390243902439025,0.014084507042253521,10.5,23.5,0.045454545454545456,0.020618556701030927,7.0,16.5,0.06451612903225806,0.02666666666666667,12.5,21.5,0.037037037037037035,0.02127659574468085,14.0,23.5,0.05,0.02127659574468085,17.5,32.5,0.021739130434782608,0.012,4.0,8.0,0.07391304347826087,0.033073929961089495,7.5,17.5,0.055762081784386616,0.025996533795493933,12.0,26.5,14.5,27.5,0.0,0.0,14.0,29.5,0.0,0.0,8.0,17.5,0.05128205128205128,0.023809523809523808,3.5,8.5,0.16666666666666666,0.058823529411764705,15.5,28.0,0.0,0.0,8.5,16.5,0.04,0.02040816326530612,13.5,26.0,0.03614457831325301,0.018404907975460124,9.0,14.0,0.05937176389368312,0.03047754053335696,13.0,25.0,0.04838709677419355,0.024,9.0,17.0,0.047619047619047616,0.024,13.5,29.0,0.0,0.0,9.5,21.0,0.04767184035476718,0.023855755894590845,1,0
Matthew Pavlich,5.0,9.5,0.07,0.0330188679245283,15.5,31.0,0.030120481927710843,0.015060240963855422,9.0,17.0,0.05191256830601093,0.02513227513227513,4.5,18.0,0.0684931506849315,0.024875621890547265,1.0,1.0,0.36363636363636365,0.19047619047619047,13.5,27.5,0.0,0.0,9.0,24.5,0.04878048780487805,0.017543859649122806,14.0,27.0,0.0,0.0,4.0,7.5,0.14285714285714285,0.07142857142857142,4.5,6.0,0.08620689655172414,0.05,5.5,8.5,0.07317073170731707,0.04225352112676056,17.5,35.5,0.022727272727272728,0.010309278350515464,19.0,37.0,0.0,0.0,1.0,1.0,0.14814814814814814,0.0851063829787234,5.5,8.0,0.0,0.0,3.0,4.0,0.09420289855072464,0.052,14.0,31.5,0.034782608695652174,0.01556420233463035,7.5,17.5,0.055762081784386616,0.025996533795493933,9.5,19.5,5.0,8.0,0.1111111111111111,0.06666666666666667,3.0,8.0,0.2,0.06666666666666667,2.5,4.0,0.1282051282051282,0.05952380952380952,14.0,29.0,0.0,0.0,2.5,3.5,0.1875,0.13636363636363635,17.0,34.0,0.0,0.0,1.0,1.5,0.10843373493975904,0.05521472392638037,8.0,13.0,0.06075250258888505,0.03118632054576061,17.5,33.5,0.06451612903225806,0.032,20.5,40.5,0.0,0.0,3.0,8.5,0.2,0.058823529411764705,4.5,5.5,0.052106430155210645,0.0260748959778086,1,1
Stephen Hill,10.0,21.5,0.05,0.02358490566037736,12.0,22.5,0.04216867469879518,0.02108433734939759,10.0,22.0,0.04644808743169399,0.022486772486772486,20.0,41.5,0.0136986301369863,0.004975124378109453,14.5,29.5,0.0,0.0,13.5,27.5,0.0,0.0,9.0,24.5,0.04878048780487805,0.017543859649122806,14.0,27.0,0.0,0.0,14.5,28.5,0.0,0.0,7.0,11.0,0.06896551724137931,0.04,11.5,20.5,0.024390243902439025,0.014084507042253521,17.5,35.5,0.022727272727272728,0.010309278350515464,7.0,16.5,0.06451612903225806,0.02666666666666667,12.5,21.5,0.037037037037037035,0.02127659574468085,14.0,23.5,0.05,0.02127659574468085,11.5,22.0,0.036231884057971016,0.02,7.0,19.5,0.05217391304347826,0.023346303501945526,13.5,29.0,0.03717472118959108,0.01733102253032929,19.0,40.0,14.5,27.5,0.0,0.0,14.0,29.5,0.0,0.0,20.0,40.5,0.0,0.0,3.5,8.5,0.16666666666666666,0.058823529411764705,15.5,28.0,0.0,0.0,8.5,16.5,0.04,0.02040816326530612,13.5,26.0,0.03614457831325301,0.018404907975460124,10.0,17.0,0.05643769416637901,0.028971383006999203,13.0,25.0,0.04838709677419355,0.024,13.5,25.5,0.031746031746031744,0.016,13.5,29.0,0.0,0.0,18.5,36.5,0.042682926829268296,0.021359223300970873,1,0
