Player,Kicks OTR,Kicks BTR,Kicks OT%,Kicks BT%,Handballs OTR,Handballs BTR,Handballs OT%,Handballs BT%,Disposals OTR,Disposals BTR,Disposals OT%,Disposals BT%,Marks OTR,Marks BTR,Marks OT%,Marks BT%,Goals OTR,Goals BTR,Goals OT%,Goals BT%,Behinds OTR,Behinds BTR,Behinds OT%,Behinds BT%,Tackles OTR,Tackles BTR,Tackles OT%,Tackles BT%,Hitouts OTR,Hitouts BTR,Hitouts OT%,Hitouts BT%,Goal Assists OTR,Goal Assists BTR,Goal Assists OT%,Goal Assists BT%,Inside 50s OTR,Inside 50s BTR,Inside 50s OT%,Inside 50s BT%,Clearances OTR,Clearances BTR,Clearances OT%,Clearances BT%,Clangers OTR,Clangers BTR,Clangers OT%,Clangers BT%,Rebound 50s OTR,Rebound 50s BTR,Rebound 50s OT%,Rebound 50s BT%,Frees For OTR,Frees For BTR,Frees For OT%,Frees For BT%,Frees Agains OTR,Frees Agains BTR,Frees Agains OT%,Frees Agains BT%,Contested Possessions OTR,Contested Possessions BTR,Contested Possessions OT%,Contested Possessions BT%,Uncontested Possessions OTR,Uncontested Possessions BTR,Uncontested Possessions OT%,Uncontested Possessions BT%,Effective Disposals OTR,Effective Disposals BTR,Effective Disposals OT%,Effective Disposals BT%,Disposal Efficiency % OTR,Disposal Efficiency % BTR,Contested Marks OTR,Contested Marks BTR,Contested Marks OT%,Contested Marks BT%,Marks Inside 50 OTR,Marks Inside 50 BTR,Marks Inside 50 OT%,Marks Inside 50 BT%,One Percenters OTR,One Percenters BTR,One Percenters OT%,One Percenters BT%,Bounces OTR,Bounces BTR,Bounces OT%,Bounces BT%,Centre Clearances OTR,Centre Clearances BTR,Centre Clearances OT%,Centre Clearances BT%,Stoppage Clearances OTR,Stoppage Clearances BTR,Stoppage Clearances OT%,Stoppage Clearances BT%,Score Involvements OTR,Score Involvements BTR,Score Involvements OT%,Score Involvements BT%,Metres Gained OTR,Metres Gained BTR,Metres Gained OT%,Metres Gained BT%,Turnovers OTR,Turnovers BTR,Turnovers OT%,Turnovers BT%,Intercepts OTR,Intercepts BTR,Intercepts OT%,Intercepts BT%,Tackles Inside 50 OTR,Tackles Inside 50 BTR,Tackles Inside 50 OT%,Tackles Inside 50 BT%,Time On Ground % OTR,Time On Ground % BTR,Time On Ground % OT%,Time On Ground % BT%,Winloss,Brownlow Votes
Brent Harvey,5.5,10.5,0.06030150753768844,0.031331592689295036,1.0,5.5,0.08955223880597014,0.039473684210526314,2.0,6.0,0.07207207207207207,0.034934497816593885,20.0,40.5,0.0,0.0,5.5,10.0,0.07692307692307693,0.043478260869565216,14.0,27.5,0.0,0.0,12.0,22.0,0.03296703296703297,0.01875,14.0,27.0,0.0,0.0,15.5,28.0,0.0,0.0,2.5,5.0,0.10204081632653061,0.044642857142857144,5.5,10.5,0.06382978723404255,0.03488372093023256,18.5,34.5,0.020833333333333332,0.010526315789473684,15.5,27.0,0.021739130434782608,0.0125,7.0,16.0,0.07142857142857142,0.02857142857142857,5.0,11.5,0.0,0.0,7.0,16.0,0.05,0.02531645569620253,2.0,7.5,0.08284023668639054,0.03783783783783784,1.0,5.0,0.08294930875576037,0.03879310344827586,7.0,14.0,16.0,31.0,0.0,0.0,14.5,28.0,0.0,0.0,19.0,37.0,0.0,0.0,3.5,4.5,0.14285714285714285,0.09090909090909091,13.5,27.5,0.0,0.0,5.0,6.0,0.08333333333333333,0.04838709677419355,4.5,4.5,0.07291666666666667,0.043478260869565216,2.0,4.0,0.08154780940198274,0.04155124653739612,8.5,20.0,0.03571428571428571,0.01935483870967742,13.0,23.5,0.04225352112676056,0.01935483870967742,15.0,31.0,0.0,0.0,8.5,15.5,0.04886174347584675,0.024430871737923375,1,0
Jack Ziebell,1.0,1.0,0.10050251256281408,0.05221932114882506,16.5,34.0,0.029850746268656716,0.013157894736842105,2.0,6.0,0.07207207207207207,0.034934497816593885,13.5,26.5,0.03571428571428571,0.01694915254237288,5.5,10.0,0.07692307692307693,0.043478260869565216,14.0,27.5,0.0,0.0,3.0,4.0,0.08791208791208792,0.05,14.0,27.0,0.0,0.0,15.5,28.0,0.0,0.0,2.5,5.0,0.10204081632653061,0.044642857142857144,1.0,1.0,0.23404255319148937,0.12790697674418605,1.0,2.0,0.125,0.06315789473684211,7.0,11.0,0.06521739130434782,0.0375,1.0,2.5,0.21428571428571427,0.08571428571428572,21.0,42.5,0.14285714285714285,0.08571428571428572,1.0,1.0,0.10625,0.05379746835443038,11.0,22.5,0.04142011834319527,0.01891891891891892,10.5,21.5,0.04608294930875576,0.021551724137931036,21.0,41.0,7.0,13.0,0.07142857142857142,0.037037037037037035,14.5,28.0,0.0,0.0,13.0,25.5,0.02857142857142857,0.0125,15.0,28.5,0.0,0.0,1.0,2.0,0.45454545454545453,0.20833333333333334,1.0,1.0,0.16666666666666666,0.0967741935483871,15.0,25.5,0.03125,0.018633540372670808,1.0,1.0,0.09913655260633195,0.050513280104285484,22.0,44.0,0.11904761904761904,0.06451612903225806,5.0,12.0,0.07042253521126761,0.03225806451612903,15.0,31.0,0.0,0.0,16.0,31.0,0.044975013881177126,0.022487506940588563,1,0
Ryan Bastinac,4.0,7.5,0.06532663316582915,0.033942558746736295,2.0,7.0,0.08208955223880597,0.03618421052631579,2.0,6.0,0.07207207207207207,0.034934497816593885,3.5,6.5,0.08928571428571429,0.0423728813559322,15.5,30.0,0.0,0.0,14.0,27.5,0.0,0.0,21.0,38.5,0.01098901098901099,0.00625,14.0,27.0,0.0,0.0,5.0,7.0,0.1111111111111111,0.07142857142857142,16.5,34.0,0.02040816326530612,0.008928571428571428,12.5,25.0,0.02127659574468085,0.011627906976744186,5.0,10.5,0.0625,0.031578947368421054,1.0,1.0,0.15217391304347827,0.0875,16.5,33.5,0.0,0.0,13.5,29.0,0.047619047619047616,0.02857142857142857,10.5,20.5,0.04375,0.022151898734177215,1.0,4.0,0.10059171597633136,0.04594594594594595,3.5,10.0,0.06451612903225806,0.03017241379310345,16.0,35.0,16.0,31.0,0.0,0.0,14.5,28.0,0.0,0.0,19.0,37.0,0.0,0.0,6.5,9.5,0.07142857142857142,0.045454545454545456,13.5,27.5,0.0,0.0,12.5,24.5,0.027777777777777776,0.016129032258064516,12.0,19.0,0.041666666666666664,0.024844720496894408,5.0,8.0,0.07595139110968979,0.03869969040247678,13.5,28.5,0.047619047619047616,0.025806451612903226,9.0,17.0,0.056338028169014086,0.025806451612903226,15.0,31.0,0.0,0.0,10.0,18.5,0.04775124930594114,0.02387562465297057,1,0
Shaun Higgins,2.0,3.0,0.08040201005025126,0.04177545691906005,11.0,22.5,0.04477611940298507,0.019736842105263157,4.0,9.0,0.06606606606606606,0.03202328966521106,9.0,17.0,0.05357142857142857,0.025423728813559324,1.0,1.0,0.3076923076923077,0.17391304347826086,3.5,6.5,0.16666666666666666,0.07142857142857142,6.0,8.0,0.06593406593406594,0.0375,14.0,27.0,0.0,0.0,15.5,28.0,0.0,0.0,4.5,10.0,0.08163265306122448,0.03571428571428571,5.5,10.5,0.06382978723404255,0.03488372093023256,11.5,21.0,0.041666666666666664,0.021052631578947368,10.5,17.5,0.043478260869565216,0.025,7.0,16.0,0.07142857142857142,0.02857142857142857,5.0,11.5,0.0,0.0,5.0,11.5,0.05625,0.028481012658227847,3.0,9.5,0.07692307692307693,0.03513513513513514,6.0,14.0,0.059907834101382486,0.028017241379310345,15.0,34.0,16.0,31.0,0.0,0.0,14.5,28.0,0.0,0.0,13.0,25.5,0.02857142857142857,0.0125,15.0,28.5,0.0,0.0,13.5,27.5,0.0,0.0,5.0,6.0,0.08333333333333333,0.04838709677419355,1.0,1.0,0.09375,0.055900621118012424,3.0,6.0,0.07707067476814838,0.03927000162946065,19.0,38.0,0.07142857142857142,0.03870967741935484,16.5,33.0,0.014084507042253521,0.0064516129032258064,5.0,12.0,0.08333333333333333,0.03571428571428571,14.0,26.5,0.04608550805108273,0.023042754025541366,1,2
Andrew Swallow,9.0,17.0,0.05025125628140704,0.02610966057441253,3.5,8.5,0.07462686567164178,0.03289473684210526,5.5,11.5,0.06006006006006006,0.02911208151382824,13.5,26.5,0.03571428571428571,0.01694915254237288,15.5,30.0,0.0,0.0,14.0,27.5,0.0,0.0,1.0,1.0,0.14285714285714285,0.08125,14.0,27.0,0.0,0.0,5.0,7.0,0.1111111111111111,0.07142857142857142,16.5,34.0,0.02040816326530612,0.008928571428571428,3.0,4.0,0.1276595744680851,0.06976744186046512,11.5,21.0,0.041666666666666664,0.021052631578947368,10.5,17.5,0.043478260869565216,0.025,2.5,6.5,0.14285714285714285,0.05714285714285714,5.0,11.5,0.0,0.0,3.0,5.0,0.08125,0.04113924050632911,11.0,22.5,0.04142011834319527,0.01891891891891892,6.0,14.0,0.059907834101382486,0.028017241379310345,12.0,30.0,16.0,31.0,0.0,0.0,14.5,28.0,0.0,0.0,19.0,37.0,0.0,0.0,15.0,28.5,0.0,0.0,3.0,5.0,0.18181818181818182,0.08333333333333333,3.0,3.5,0.1111111111111111,0.06451612903225806,9.5,13.5,0.052083333333333336,0.031055900621118012,13.5,25.0,0.03293891909178126,0.016783444679810983,13.5,28.5,0.047619047619047616,0.025806451612903226,5.0,12.0,0.07042253521126761,0.03225806451612903,15.0,31.0,0.0,0.0,16.0,31.0,0.044975013881177126,0.022487506940588563,1,0
Ben Cunnington,5.5,10.5,0.06030150753768844,0.031331592689295036,6.5,13.5,0.05970149253731343,0.02631578947368421,5.5,11.5,0.06006006006006006,0.02911208151382824,13.5,26.5,0.03571428571428571,0.01694915254237288,15.5,30.0,0.0,0.0,14.0,27.5,0.0,0.0,2.0,3.0,0.0989010989010989,0.05625,4.0,7.0,0.01818181818181818,0.009900990099009901,15.5,28.0,0.0,0.0,10.0,24.0,0.04081632653061224,0.017857142857142856,2.0,2.5,0.1702127659574468,0.09302325581395349,5.0,10.5,0.0625,0.031578947368421054,7.0,11.0,0.06521739130434782,0.0375,16.5,33.5,0.0,0.0,13.5,29.0,0.047619047619047616,0.02857142857142857,2.0,2.0,0.1,0.05063291139240506,15.5,30.5,0.03550295857988166,0.016216216216216217,10.5,21.5,0.04608294930875576,0.021551724137931036,19.0,38.0,16.0,31.0,0.0,0.0,14.5,28.0,0.0,0.0,13.0,25.5,0.02857142857142857,0.0125,15.0,28.5,0.0,0.0,2.0,3.0,0.2727272727272727,0.125,2.0,2.0,0.1388888888888889,0.08064516129032258,15.0,25.5,0.03125,0.018633540372670808,9.0,18.0,0.048928685641189636,0.024930747922437674,21.0,41.5,0.09523809523809523,0.05161290322580645,13.0,23.5,0.04225352112676056,0.01935483870967742,2.0,5.0,0.16666666666666666,0.07142857142857142,20.0,40.0,0.0416435313714603,0.02082176568573015,1,0
Drew Petrie,9.0,17.0,0.05025125628140704,0.02610966057441253,5.0,10.5,0.06716417910447761,0.029605263157894735,7.5,14.0,0.057057057057057055,0.027656477438136828,1.0,2.5,0.125,0.059322033898305086,5.5,10.0,0.07692307692307693,0.043478260869565216,1.0,2.0,0.3333333333333333,0.14285714285714285,17.5,32.5,0.02197802197802198,0.0125,14.0,27.0,0.0,0.0,1.0,2.0,0.2222222222222222,0.14285714285714285,1.0,2.5,0.14285714285714285,0.0625,12.5,25.0,0.02127659574468085,0.011627906976744186,11.5,21.0,0.041666666666666664,0.021052631578947368,10.5,17.5,0.043478260869565216,0.025,2.5,6.5,0.14285714285714285,0.05714285714285714,5.0,11.5,0.0,0.0,7.0,16.0,0.05,0.02531645569620253,5.5,13.0,0.05917159763313609,0.02702702702702703,3.5,10.0,0.06451612903225806,0.03017241379310345,8.0,17.5,7.0,13.0,0.07142857142857142,0.037037037037037035,4.5,7.5,0.125,0.06666666666666667,1.5,5.0,0.11428571428571428,0.05,15.0,28.5,0.0,0.0,13.5,27.5,0.0,0.0,12.5,24.5,0.027777777777777776,0.016129032258064516,4.5,4.5,0.07291666666666667,0.043478260869565216,6.0,9.0,0.07339302846178446,0.037396121883656507,8.5,20.0,0.03571428571428571,0.01935483870967742,9.0,17.0,0.056338028169014086,0.025806451612903226,5.0,12.0,0.08333333333333333,0.03571428571428571,2.0,3.0,0.053303720155469185,0.026651860077734593,1,0
Sam Gibson,13.0,22.5,0.04522613065326633,0.02349869451697128,3.5,8.5,0.07462686567164178,0.03289473684210526,7.5,14.0,0.057057057057057055,0.027656477438136828,16.5,34.0,0.017857142857142856,0.00847457627118644,5.5,10.0,0.07692307692307693,0.043478260869565216,14.0,27.5,0.0,0.0,12.0,22.0,0.03296703296703297,0.01875,14.0,27.0,0.0,0.0,15.5,28.0,0.0,0.0,21.5,42.0,0.0,0.0,12.5,25.0,0.02127659574468085,0.011627906976744186,11.5,21.0,0.041666666666666664,0.021052631578947368,7.0,11.0,0.06521739130434782,0.0375,7.0,16.0,0.07142857142857142,0.02857142857142857,19.0,38.5,0.09523809523809523,0.05714285714285714,4.0,8.5,0.0625,0.03164556962025317,7.5,15.5,0.05325443786982249,0.024324324324324326,10.5,21.5,0.04608294930875576,0.021551724137931036,17.0,36.0,16.0,31.0,0.0,0.0,14.5,28.0,0.0,0.0,19.0,37.0,0.0,0.0,15.0,28.5,0.0,0.0,13.5,27.5,0.0,0.0,12.5,24.5,0.027777777777777776,0.016129032258064516,9.5,13.5,0.052083333333333336,0.031055900621118012,16.0,29.0,0.02702270546850016,0.013768942480039107,8.5,20.0,0.03571428571428571,0.01935483870967742,9.0,17.0,0.056338028169014086,0.025806451612903226,15.0,31.0,0.0,0.0,8.5,15.5,0.04886174347584675,0.024430871737923375,1,0
Samuel Wright,9.0,17.0,0.05025125628140704,0.02610966057441253,6.5,13.5,0.05970149253731343,0.02631578947368421,9.5,16.5,0.05405405405405406,0.026200873362445413,9.0,17.0,0.05357142857142857,0.025423728813559324,15.5,30.0,0.0,0.0,14.0,27.5,0.0,0.0,12.0,22.0,0.03296703296703297,0.01875,14.0,27.0,0.0,0.0,15.5,28.0,0.0,0.0,10.0,24.0,0.04081632653061224,0.017857142857142856,9.0,18.0,0.0425531914893617,0.023255813953488372,18.5,34.5,0.020833333333333332,0.010526315789473684,3.5,5.5,0.08695652173913043,0.05,7.0,16.0,0.07142857142857142,0.02857142857142857,13.5,29.0,0.047619047619047616,0.02857142857142857,16.0,30.0,0.03125,0.015822784810126583,4.0,11.0,0.0650887573964497,0.02972972972972973,2.0,7.5,0.07834101382488479,0.036637931034482756,1.0,1.0,7.0,13.0,0.07142857142857142,0.037037037037037035,14.5,28.0,0.0,0.0,9.5,19.5,0.05714285714285714,0.025,15.0,28.5,0.0,0.0,13.5,27.5,0.0,0.0,8.5,14.0,0.05555555555555555,0.03225806451612903,4.5,4.5,0.07291666666666667,0.043478260869565216,7.0,13.0,0.061560601215222256,0.03136711748411276,16.5,35.0,0.05952380952380952,0.03225806451612903,9.0,17.0,0.056338028169014086,0.025806451612903226,15.0,31.0,0.0,0.0,5.0,10.0,0.05052748473070516,0.02526374236535258,1,0
Jamie MacMillan,3.0,5.5,0.07035175879396985,0.03655352480417755,16.5,34.0,0.029850746268656716,0.013157894736842105,9.5,16.5,0.05405405405405406,0.026200873362445413,3.5,6.5,0.08928571428571429,0.0423728813559322,15.5,30.0,0.0,0.0,3.5,6.5,0.16666666666666666,0.07142857142857142,21.0,38.5,0.01098901098901099,0.00625,4.0,7.0,0.01818181818181818,0.009900990099009901,5.0,7.0,0.1111111111111111,0.07142857142857142,10.0,24.0,0.04081632653061224,0.017857142857142856,5.5,10.5,0.06382978723404255,0.03488372093023256,18.5,34.5,0.020833333333333332,0.010526315789473684,3.5,5.5,0.08695652173913043,0.05,7.0,16.0,0.07142857142857142,0.02857142857142857,5.0,11.5,0.0,0.0,10.5,20.5,0.04375,0.022151898734177215,5.5,13.0,0.05917159763313609,0.02702702702702703,14.0,25.5,0.041474654377880185,0.01939655172413793,19.0,38.0,7.0,13.0,0.07142857142857142,0.037037037037037035,4.5,7.5,0.125,0.06666666666666667,5.5,12.0,0.08571428571428572,0.0375,3.5,4.5,0.14285714285714285,0.09090909090909091,13.5,27.5,0.0,0.0,5.0,6.0,0.08333333333333333,0.04838709677419355,7.5,9.0,0.0625,0.037267080745341616,4.0,7.0,0.07611128877518389,0.038781163434903045,13.5,28.5,0.047619047619047616,0.025806451612903226,9.0,17.0,0.056338028169014086,0.025806451612903226,15.0,31.0,0.0,0.0,16.0,31.0,0.044975013881177126,0.022487506940588563,1,0
