Player,Kicks OTR,Kicks BTR,Kicks OT%,Kicks BT%,Handballs OTR,Handballs BTR,Handballs OT%,Handballs BT%,Disposals OTR,Disposals BTR,Disposals OT%,Disposals BT%,Marks OTR,Marks BTR,Marks OT%,Marks BT%,Goals OTR,Goals BTR,Goals OT%,Goals BT%,Behinds OTR,Behinds BTR,Behinds OT%,Behinds BT%,Tackles OTR,Tackles BTR,Tackles OT%,Tackles BT%,Hitouts OTR,Hitouts BTR,Hitouts OT%,Hitouts BT%,Goal Assists OTR,Goal Assists BTR,Goal Assists OT%,Goal Assists BT%,Inside 50s OTR,Inside 50s BTR,Inside 50s OT%,Inside 50s BT%,Clearances OTR,Clearances BTR,Clearances OT%,Clearances BT%,Clangers OTR,Clangers BTR,Clangers OT%,Clangers BT%,Rebound 50s OTR,Rebound 50s BTR,Rebound 50s OT%,Rebound 50s BT%,Frees For OTR,Frees For BTR,Frees For OT%,Frees For BT%,Frees Agains OTR,Frees Agains BTR,Frees Agains OT%,Frees Agains BT%,Contested Possessions OTR,Contested Possessions BTR,Contested Possessions OT%,Contested Possessions BT%,Uncontested Possessions OTR,Uncontested Possessions BTR,Uncontested Possessions OT%,Uncontested Possessions BT%,Effective Disposals OTR,Effective Disposals BTR,Effective Disposals OT%,Effective Disposals BT%,Disposal Efficiency % OTR,Disposal Efficiency % BTR,Contested Marks OTR,Contested Marks BTR,Contested Marks OT%,Contested Marks BT%,Marks Inside 50 OTR,Marks Inside 50 BTR,Marks Inside 50 OT%,Marks Inside 50 BT%,One Percenters OTR,One Percenters BTR,One Percenters OT%,One Percenters BT%,Bounces OTR,Bounces BTR,Bounces OT%,Bounces BT%,Centre Clearances OTR,Centre Clearances BTR,Centre Clearances OT%,Centre Clearances BT%,Stoppage Clearances OTR,Stoppage Clearances BTR,Stoppage Clearances OT%,Stoppage Clearances BT%,Score Involvements OTR,Score Involvements BTR,Score Involvements OT%,Score Involvements BT%,Metres Gained OTR,Metres Gained BTR,Metres Gained OT%,Metres Gained BT%,Turnovers OTR,Turnovers BTR,Turnovers OT%,Turnovers BT%,Intercepts OTR,Intercepts BTR,Intercepts OT%,Intercepts BT%,Tackles Inside 50 OTR,Tackles Inside 50 BTR,Tackles Inside 50 OT%,Tackles Inside 50 BT%,Time On Ground % OTR,Time On Ground % BTR,Time On Ground % OT%,Time On Ground % BT%,Winloss,Brownlow Votes
Jackson Macrae,4.0,7.5,0.0707070707070707,0.035897435897435895,1.0,1.0,0.12574850299401197,0.07094594594594594,1.0,1.0,0.0958904109589041,0.05102040816326531,7.0,16.5,0.061224489795918366,0.028846153846153848,17.0,32.0,0.0,0.0,4.5,7.5,0.125,0.07142857142857142,9.0,15.0,0.056338028169014086,0.028985507246376812,6.0,9.5,0.02702702702702703,0.011111111111111112,17.0,31.5,0.0,0.0,3.5,3.5,0.08771929824561403,0.052083333333333336,1.0,1.0,0.2,0.1038961038961039,4.5,11.0,0.07692307692307693,0.03614457831325301,10.5,22.5,0.041666666666666664,0.018518518518518517,17.5,35.5,0.0,0.0,6.0,11.5,0.0,0.0,1.0,1.0,0.12686567164179105,0.07083333333333333,4.5,7.5,0.07172995780590717,0.03777777777777778,1.0,1.0,0.08865248226950355,0.04690431519699812,17.0,35.0,14.5,28.0,0.0,0.0,7.0,11.0,0.07692307692307693,0.045454545454545456,4.5,10.0,0.06896551724137931,0.03333333333333333,16.0,31.0,0.0,0.0,1.0,1.5,0.29411764705882354,0.15625,2.0,4.0,0.13043478260869565,0.06818181818181818,7.0,7.5,0.0625,0.04265402843601896,10.0,14.0,0.05770374776918501,0.03127014829142489,17.5,30.5,0.06818181818181818,0.030303030303030304,7.5,13.0,0.05454545454545454,0.030303030303030304,16.0,29.0,0.0,0.0,5.0,9.5,0.049444444444444444,0.024722222222222222,0.5,3
Luke Dahlhaus,3.0,5.5,0.07575757575757576,0.038461538461538464,6.5,7.5,0.0658682634730539,0.037162162162162164,2.0,3.5,0.07123287671232877,0.037900874635568516,19.0,36.5,0.02040816326530612,0.009615384615384616,8.5,13.5,0.045454545454545456,0.030303030303030304,15.5,29.0,0.0,0.0,2.5,3.5,0.09859154929577464,0.050724637681159424,14.5,27.5,0.0,0.0,7.0,11.5,0.07692307692307693,0.045454545454545456,8.5,13.5,0.05263157894736842,0.03125,3.5,6.0,0.125,0.06493506493506493,4.5,11.0,0.07692307692307693,0.03614457831325301,4.5,10.5,0.08333333333333333,0.037037037037037035,9.0,17.5,0.05263157894736842,0.027777777777777776,6.0,11.5,0.0,0.0,4.0,6.0,0.07462686567164178,0.041666666666666664,6.0,9.5,0.06751054852320675,0.035555555555555556,12.5,21.5,0.04609929078014184,0.024390243902439025,22.0,44.0,14.5,28.0,0.0,0.0,7.0,11.0,0.07692307692307693,0.045454545454545456,19.0,37.0,0.0,0.0,16.0,31.0,0.0,0.0,4.5,7.0,0.11764705882352941,0.0625,2.0,4.0,0.13043478260869565,0.06818181818181818,7.0,7.5,0.0625,0.04265402843601896,8.0,11.0,0.06404917707713663,0.03470879002793897,22.0,43.5,0.13636363636363635,0.06060606060606061,7.5,13.0,0.05454545454545454,0.030303030303030304,16.0,29.0,0.0,0.0,13.0,26.0,0.04666666666666667,0.023333333333333334,0.5,0
Robert Murphy,1.0,2.0,0.09090909090909091,0.046153846153846156,12.0,24.0,0.03592814371257485,0.02027027027027027,3.0,5.5,0.06575342465753424,0.03498542274052478,7.0,16.5,0.061224489795918366,0.028846153846153848,17.0,32.0,0.0,0.0,15.5,29.0,0.0,0.0,13.5,28.5,0.028169014084507043,0.014492753623188406,14.5,27.5,0.0,0.0,7.0,11.5,0.07692307692307693,0.045454545454545456,1.5,1.5,0.10526315789473684,0.0625,19.0,36.5,0.0,0.0,9.5,18.5,0.05128205128205128,0.024096385542168676,1.5,2.5,0.16666666666666666,0.07407407407407407,9.0,17.5,0.05263157894736842,0.027777777777777776,15.0,28.0,0.058823529411764705,0.027777777777777776,17.5,35.5,0.014925373134328358,0.008333333333333333,1.0,1.0,0.09282700421940929,0.04888888888888889,3.5,5.0,0.0673758865248227,0.03564727954971857,11.0,22.0,14.5,28.0,0.0,0.0,16.5,30.0,0.0,0.0,11.0,21.0,0.034482758620689655,0.016666666666666666,1.5,2.5,0.23529411764705882,0.13793103448275862,14.5,29.5,0.0,0.0,18.0,35.0,0.0,0.0,4.5,4.5,0.06944444444444445,0.04739336492890995,1.0,2.0,0.09161213563355146,0.04964539007092199,12.5,22.0,0.045454545454545456,0.020202020202020204,3.5,6.0,0.07272727272727272,0.04040404040404041,16.0,29.0,0.0,0.0,9.0,18.0,0.04777777777777778,0.02388888888888889,0.5,0
Mitchell Wallis,8.0,14.5,0.050505050505050504,0.02564102564102564,4.0,5.0,0.07784431137724551,0.04391891891891892,4.0,7.0,0.06301369863013699,0.033527696793002916,15.0,29.0,0.030612244897959183,0.014423076923076924,3.0,3.5,0.13636363636363635,0.09090909090909091,15.5,29.0,0.0,0.0,7.0,10.0,0.07042253521126761,0.036231884057971016,14.5,27.5,0.0,0.0,1.5,2.5,0.15384615384615385,0.09090909090909091,14.0,23.0,0.03508771929824561,0.020833333333333332,3.5,6.0,0.125,0.06493506493506493,20.0,39.5,0.0,0.0,18.5,37.5,0.0,0.0,4.0,5.5,0.10526315789473684,0.05555555555555555,6.0,11.5,0.0,0.0,2.0,2.0,0.1044776119402985,0.058333333333333334,14.0,24.0,0.0379746835443038,0.02,6.0,9.0,0.06028368794326241,0.03189493433395872,16.0,33.0,14.5,28.0,0.0,0.0,16.5,30.0,0.0,0.0,19.0,37.0,0.0,0.0,16.0,31.0,0.0,0.0,3.0,4.5,0.17647058823529413,0.09375,5.5,8.0,0.08695652173913043,0.045454545454545456,2.0,2.0,0.0763888888888889,0.052132701421800945,4.0,6.0,0.06860995439222685,0.03718031377605846,7.5,13.0,0.022727272727272728,0.010101010101010102,13.0,22.0,0.03636363636363636,0.020202020202020204,7.5,11.0,0.07142857142857142,0.045454545454545456,16.5,33.5,0.045,0.0225,0.5,2
Jarrad Grant,14.5,26.0,0.04040404040404041,0.020512820512820513,2.0,3.0,0.08383233532934131,0.0472972972972973,6.0,9.5,0.06027397260273973,0.03206997084548105,4.0,11.0,0.07142857142857142,0.03365384615384615,17.0,32.0,0.0,0.0,15.5,29.0,0.0,0.0,18.0,36.0,0.014084507042253521,0.007246376811594203,4.5,7.5,0.05405405405405406,0.022222222222222223,7.0,11.5,0.07692307692307693,0.045454545454545456,3.5,3.5,0.08771929824561403,0.052083333333333336,11.5,22.0,0.025,0.012987012987012988,15.0,29.0,0.02564102564102564,0.012048192771084338,4.5,10.5,0.08333333333333333,0.037037037037037035,17.5,35.5,0.0,0.0,6.0,11.5,0.0,0.0,12.0,20.5,0.03731343283582089,0.020833333333333332,4.5,7.5,0.07172995780590717,0.03777777777777778,2.0,2.0,0.07446808510638298,0.039399624765478425,2.0,2.0,14.5,28.0,0.0,0.0,16.5,30.0,0.0,0.0,11.0,21.0,0.034482758620689655,0.016666666666666666,7.0,11.5,0.058823529411764705,0.034482758620689655,14.5,29.5,0.0,0.0,10.5,18.0,0.043478260869565216,0.022727272727272728,9.0,10.0,0.05555555555555555,0.037914691943127965,3.0,5.0,0.07971445568114217,0.04319793681495809,12.5,22.0,0.045454545454545456,0.020202020202020204,3.5,6.0,0.07272727272727272,0.04040404040404041,16.0,29.0,0.0,0.0,13.0,26.0,0.04666666666666667,0.023333333333333334,0.5,0
Liam Picken,11.5,20.5,0.045454545454545456,0.023076923076923078,4.0,5.0,0.07784431137724551,0.04391891891891892,6.0,9.5,0.06027397260273973,0.03206997084548105,15.0,29.0,0.030612244897959183,0.014423076923076924,4.5,6.0,0.09090909090909091,0.06060606060606061,15.5,29.0,0.0,0.0,2.5,3.5,0.09859154929577464,0.050724637681159424,14.5,27.5,0.0,0.0,17.0,31.5,0.0,0.0,8.5,13.5,0.05263157894736842,0.03125,3.5,6.0,0.125,0.06493506493506493,4.5,11.0,0.07692307692307693,0.03614457831325301,10.5,22.5,0.041666666666666664,0.018518518518518517,4.0,5.5,0.10526315789473684,0.05555555555555555,6.0,11.5,0.0,0.0,9.5,14.5,0.05223880597014925,0.029166666666666667,7.0,11.0,0.06329113924050633,0.03333333333333333,6.0,9.0,0.06028368794326241,0.03189493433395872,13.0,25.0,14.5,28.0,0.0,0.0,16.5,30.0,0.0,0.0,11.0,21.0,0.034482758620689655,0.016666666666666666,16.0,31.0,0.0,0.0,4.5,7.0,0.11764705882352941,0.0625,2.0,4.0,0.13043478260869565,0.06818181818181818,15.0,18.5,0.034722222222222224,0.023696682464454975,6.0,8.0,0.06742018639698592,0.03653556845046207,20.5,40.5,0.11363636363636363,0.050505050505050504,7.5,13.0,0.05454545454545454,0.030303030303030304,3.0,5.0,0.14285714285714285,0.09090909090909091,9.0,18.0,0.04777777777777778,0.02388888888888889,0.5,0
Koby Stevens,11.5,20.5,0.045454545454545456,0.023076923076923078,4.0,5.0,0.07784431137724551,0.04391891891891892,6.0,9.5,0.06027397260273973,0.03206997084548105,19.0,36.5,0.02040816326530612,0.009615384615384616,8.5,13.5,0.045454545454545456,0.030303030303030304,15.5,29.0,0.0,0.0,7.0,10.0,0.07042253521126761,0.036231884057971016,14.5,27.5,0.0,0.0,17.0,31.5,0.0,0.0,8.5,13.5,0.05263157894736842,0.03125,3.5,6.0,0.125,0.06493506493506493,4.5,11.0,0.07692307692307693,0.03614457831325301,10.5,22.5,0.041666666666666664,0.018518518518518517,17.5,35.5,0.0,0.0,21.5,43.0,0.17647058823529413,0.08333333333333333,7.0,9.0,0.06716417910447761,0.0375,8.0,12.5,0.05907172995780591,0.03111111111111111,3.5,5.0,0.0673758865248227,0.03564727954971857,5.0,11.0,14.5,28.0,0.0,0.0,16.5,30.0,0.0,0.0,19.0,37.0,0.0,0.0,7.0,11.5,0.058823529411764705,0.034482758620689655,2.0,3.0,0.23529411764705882,0.125,10.5,18.0,0.043478260869565216,0.022727272727272728,12.0,13.5,0.041666666666666664,0.02843601895734597,14.0,25.0,0.032123735871505056,0.017408123791102514,17.5,30.5,0.06818181818181818,0.030303030303030304,18.5,32.5,0.01818181818181818,0.010101010101010102,16.0,29.0,0.0,0.0,9.0,18.0,0.04777777777777778,0.02388888888888889,0.5,0
Matthew Boyd,2.0,4.0,0.08080808080808081,0.041025641025641026,15.0,29.0,0.029940119760479042,0.016891891891891893,8.0,12.0,0.057534246575342465,0.030612244897959183,1.0,1.0,0.11224489795918367,0.052884615384615384,17.0,32.0,0.0,0.0,15.5,29.0,0.0,0.0,13.5,28.5,0.028169014084507043,0.014492753623188406,14.5,27.5,0.0,0.0,7.0,11.5,0.07692307692307693,0.045454545454545456,8.5,13.5,0.05263157894736842,0.03125,11.5,22.0,0.025,0.012987012987012988,1.0,1.5,0.15384615384615385,0.07228915662650602,1.5,2.5,0.16666666666666666,0.07407407407407407,9.0,17.5,0.05263157894736842,0.027777777777777776,21.5,43.0,0.17647058823529413,0.08333333333333333,13.0,25.0,0.029850746268656716,0.016666666666666666,2.5,5.0,0.0759493670886076,0.04,6.0,9.0,0.06028368794326241,0.03189493433395872,9.0,19.0,14.5,28.0,0.0,0.0,16.5,30.0,0.0,0.0,11.0,21.0,0.034482758620689655,0.016666666666666666,3.5,4.5,0.11764705882352941,0.06896551724137931,14.5,29.5,0.0,0.0,10.5,18.0,0.043478260869565216,0.022727272727272728,17.5,24.5,0.027777777777777776,0.018957345971563982,2.0,4.0,0.08863771564544913,0.04803352675693101,20.5,40.5,0.11363636363636363,0.050505050505050504,3.5,6.0,0.07272727272727272,0.04040404040404041,16.0,29.0,0.0,0.0,7.0,13.5,0.04833333333333333,0.024166666666666666,0.5,0
Marcus Bontempelli,11.5,20.5,0.045454545454545456,0.023076923076923078,6.5,7.5,0.0658682634730539,0.037162162162162164,9.0,13.5,0.0547945205479452,0.029154518950437316,11.0,24.0,0.04081632653061224,0.019230769230769232,8.5,13.5,0.045454545454545456,0.030303030303030304,4.5,7.5,0.125,0.07142857142857142,5.0,6.5,0.08450704225352113,0.043478260869565216,3.0,5.5,0.08108108108108109,0.03333333333333333,7.0,11.5,0.07692307692307693,0.045454545454545456,8.5,13.5,0.05263157894736842,0.03125,11.5,22.0,0.025,0.012987012987012988,9.5,18.5,0.05128205128205128,0.024096385542168676,18.5,37.5,0.0,0.0,9.0,17.5,0.05263157894736842,0.027777777777777776,15.0,28.0,0.058823529411764705,0.027777777777777776,7.0,9.0,0.06716417910447761,0.0375,9.5,15.0,0.05063291139240506,0.02666666666666667,8.5,12.0,0.05319148936170213,0.028142589118198873,14.5,29.5,5.5,9.5,0.08333333333333333,0.045454545454545456,16.5,30.0,0.0,0.0,11.0,21.0,0.034482758620689655,0.016666666666666666,3.5,4.5,0.11764705882352941,0.06896551724137931,14.5,29.5,0.0,0.0,18.0,35.0,0.0,0.0,2.0,2.0,0.0763888888888889,0.052132701421800945,5.0,7.0,0.06801507039460639,0.03685794111326026,3.0,5.0,0.0,0.0,13.0,22.0,0.03636363636363636,0.020202020202020204,16.0,29.0,0.0,0.0,13.0,26.0,0.04666666666666667,0.023333333333333334,0.5,0
Easton Wood,6.0,11.0,0.05555555555555555,0.028205128205128206,9.0,14.0,0.04790419161676647,0.02702702702702703,10.0,15.5,0.052054794520547946,0.027696793002915453,4.0,11.0,0.07142857142857142,0.03365384615384615,17.0,32.0,0.0,0.0,15.5,29.0,0.0,0.0,18.0,36.0,0.014084507042253521,0.007246376811594203,14.5,27.5,0.0,0.0,17.0,31.5,0.0,0.0,14.0,23.0,0.03508771929824561,0.020833333333333332,19.0,36.5,0.0,0.0,9.5,18.5,0.05128205128205128,0.024096385542168676,4.5,10.5,0.08333333333333333,0.037037037037037035,9.0,17.5,0.05263157894736842,0.027777777777777776,6.0,11.5,0.0,0.0,7.0,9.0,0.06716417910447761,0.0375,12.5,20.0,0.04219409282700422,0.022222222222222223,8.5,12.0,0.05319148936170213,0.028142589118198873,12.0,23.5,3.0,5.5,0.16666666666666666,0.09090909090909091,7.0,11.0,0.07692307692307693,0.045454545454545456,4.5,10.0,0.06896551724137931,0.03333333333333333,7.0,11.5,0.058823529411764705,0.034482758620689655,14.5,29.5,0.0,0.0,18.0,35.0,0.0,0.0,12.0,13.5,0.041666666666666664,0.02843601895734597,11.0,19.0,0.042236763831052945,0.022888459058671824,12.5,22.0,0.045454545454545456,0.020202020202020204,1.0,1.0,0.16363636363636364,0.09090909090909091,16.0,29.0,0.0,0.0,11.0,22.5,0.04722222222222222,0.02361111111111111,0.5,0
