Player,Kicks OTR,Kicks BTR,Kicks OT%,Kicks BT%,Handballs OTR,Handballs BTR,Handballs OT%,Handballs BT%,Disposals OTR,Disposals BTR,Disposals OT%,Disposals BT%,Marks OTR,Marks BTR,Marks OT%,Marks BT%,Goals OTR,Goals BTR,Goals OT%,Goals BT%,Behinds OTR,Behinds BTR,Behinds OT%,Behinds BT%,Tackles OTR,Tackles BTR,Tackles OT%,Tackles BT%,Hitouts OTR,Hitouts BTR,Hitouts OT%,Hitouts BT%,Goal Assists OTR,Goal Assists BTR,Goal Assists OT%,Goal Assists BT%,Inside 50s OTR,Inside 50s BTR,Inside 50s OT%,Inside 50s BT%,Clearances OTR,Clearances BTR,Clearances OT%,Clearances BT%,Clangers OTR,Clangers BTR,Clangers OT%,Clangers BT%,Rebound 50s OTR,Rebound 50s BTR,Rebound 50s OT%,Rebound 50s BT%,Frees For OTR,Frees For BTR,Frees For OT%,Frees For BT%,Frees Agains OTR,Frees Agains BTR,Frees Agains OT%,Frees Agains BT%,Contested Possessions OTR,Contested Possessions BTR,Contested Possessions OT%,Contested Possessions BT%,Uncontested Possessions OTR,Uncontested Possessions BTR,Uncontested Possessions OT%,Uncontested Possessions BT%,Effective Disposals OTR,Effective Disposals BTR,Effective Disposals OT%,Effective Disposals BT%,Disposal Efficiency % OTR,Disposal Efficiency % BTR,Contested Marks OTR,Contested Marks BTR,Contested Marks OT%,Contested Marks BT%,Marks Inside 50 OTR,Marks Inside 50 BTR,Marks Inside 50 OT%,Marks Inside 50 BT%,One Percenters OTR,One Percenters BTR,One Percenters OT%,One Percenters BT%,Bounces OTR,Bounces BTR,Bounces OT%,Bounces BT%,Centre Clearances OTR,Centre Clearances BTR,Centre Clearances OT%,Centre Clearances BT%,Stoppage Clearances OTR,Stoppage Clearances BTR,Stoppage Clearances OT%,Stoppage Clearances BT%,Score Involvements OTR,Score Involvements BTR,Score Involvements OT%,Score Involvements BT%,Metres Gained OTR,Metres Gained BTR,Metres Gained OT%,Metres Gained BT%,Turnovers OTR,Turnovers BTR,Turnovers OT%,Turnovers BT%,Intercepts OTR,Intercepts BTR,Intercepts OT%,Intercepts BT%,Tackles Inside 50 OTR,Tackles Inside 50 BTR,Tackles Inside 50 OT%,Tackles Inside 50 BT%,Time On Ground % OTR,Time On Ground % BTR,Time On Ground % OT%,Time On Ground % BT%,Winloss,Brownlow Votes
Dayne Beams,1.0,1.0,0.085,0.0425,1.0,2.5,0.0880503144654088,0.04713804713804714,1.0,1.0,0.08635097493036212,0.04447632711621234,11.0,16.5,0.045454545454545456,0.02531645569620253,15.5,30.5,0.0,0.0,15.5,30.0,0.0,0.0,5.5,13.0,0.06666666666666667,0.03076923076923077,13.5,28.0,0.0,0.0,13.5,27.5,0.0,0.0,2.0,3.5,0.12,0.05454545454545454,3.5,6.0,0.11363636363636363,0.058823529411764705,21.0,42.0,0.0,0.0,2.5,3.0,0.12195121951219512,0.0641025641025641,17.0,35.0,0.0,0.0,4.5,9.0,0.0,0.0,1.0,3.5,0.10071942446043165,0.04713804713804714,4.0,4.5,0.07207207207207207,0.04030226700251889,1.0,1.0,0.08560311284046693,0.04612159329140461,13.0,22.0,6.0,12.0,0.09090909090909091,0.041666666666666664,15.5,30.5,0.0,0.0,9.0,17.5,0.04878048780487805,0.024691358024691357,2.5,6.5,0.14285714285714285,0.06666666666666667,1.0,1.5,0.2727272727272727,0.14285714285714285,5.0,8.0,0.08823529411764706,0.046875,14.5,29.0,0.03571428571428571,0.01675977653631285,3.0,4.0,0.08641284061216872,0.041398426323319026,15.0,32.5,0.05714285714285714,0.03125,8.5,18.5,0.05172413793103448,0.023255813953488372,5.5,12.5,0.1,0.038461538461538464,13.5,22.5,0.04780433574207893,0.02389552653514865,0,0
Dayne Zorko,5.5,6.5,0.07,0.035,2.5,5.5,0.08176100628930817,0.04377104377104377,2.5,3.5,0.07520891364902507,0.03873744619799139,2.0,3.5,0.07954545454545454,0.04430379746835443,5.5,11.0,0.1,0.047619047619047616,15.5,30.0,0.0,0.0,16.0,34.5,0.016666666666666666,0.007692307692307693,13.5,28.0,0.0,0.0,1.0,3.0,0.4,0.13333333333333333,4.5,8.0,0.1,0.045454545454545456,3.5,6.0,0.11363636363636363,0.058823529411764705,15.0,30.0,0.023255813953488372,0.0125,6.5,11.5,0.07317073170731707,0.038461538461538464,7.0,16.0,0.07142857142857142,0.03125,14.0,29.0,0.05555555555555555,0.03125,5.5,11.0,0.06474820143884892,0.030303030303030304,2.0,2.0,0.08108108108108109,0.04534005037783375,2.0,2.0,0.08171206225680934,0.0440251572327044,8.0,13.0,16.0,31.5,0.0,0.0,15.5,30.5,0.0,0.0,18.5,37.5,0.0,0.0,1.0,1.0,0.7142857142857143,0.3333333333333333,5.5,10.0,0.09090909090909091,0.047619047619047616,3.0,5.0,0.11764705882352941,0.0625,2.0,5.5,0.08333333333333333,0.03910614525139665,5.0,7.0,0.08100037327360955,0.038805436337625177,5.0,9.5,0.014285714285714285,0.0078125,20.0,41.0,0.0,0.0,15.5,31.5,0.0,0.0,18.5,37.5,0.04113396331295164,0.020561267018616283,0,1
Lewis Taylor,3.0,3.0,0.075,0.0375,4.0,7.0,0.07547169811320754,0.04040404040404041,2.5,3.5,0.07520891364902507,0.03873744619799139,6.0,9.5,0.056818181818181816,0.03164556962025317,5.5,11.0,0.1,0.047619047619047616,4.5,9.5,0.125,0.047619047619047616,16.0,34.5,0.016666666666666666,0.007692307692307693,13.5,28.0,0.0,0.0,13.5,27.5,0.0,0.0,6.5,14.5,0.06,0.02727272727272727,12.0,22.5,0.022727272727272728,0.011764705882352941,2.0,2.5,0.11627906976744186,0.0625,4.5,6.5,0.0975609756097561,0.05128205128205128,17.0,35.0,0.0,0.0,4.5,9.0,0.0,0.0,17.0,34.5,0.02877697841726619,0.013468013468013467,1.0,1.0,0.10810810810810811,0.060453400503778336,3.5,3.5,0.07392996108949416,0.039832285115303984,14.0,23.0,16.0,31.5,0.0,0.0,15.5,30.5,0.0,0.0,18.5,37.5,0.0,0.0,13.0,27.0,0.0,0.0,15.0,28.5,0.0,0.0,18.5,35.5,0.0,0.0,3.0,8.5,0.07142857142857142,0.0335195530726257,4.0,5.0,0.0843598357596118,0.04041487839771102,21.0,43.0,0.1,0.0546875,8.5,18.5,0.05172413793103448,0.023255813953488372,15.5,31.5,0.0,0.0,7.0,12.5,0.0500277932184547,0.025006946373992776,0,0
Jack Redden,3.0,3.0,0.075,0.0375,5.5,8.5,0.06918238993710692,0.037037037037037035,4.0,5.5,0.07242339832869081,0.03730272596843615,6.0,9.5,0.056818181818181816,0.03164556962025317,5.5,11.0,0.1,0.047619047619047616,15.5,30.0,0.0,0.0,2.0,2.0,0.11666666666666667,0.05384615384615385,3.5,9.5,0.01818181818181818,0.009615384615384616,13.5,27.5,0.0,0.0,9.5,23.0,0.04,0.01818181818181818,6.0,10.5,0.06818181818181818,0.03529411764705882,9.0,16.0,0.046511627906976744,0.025,13.0,26.0,0.024390243902439025,0.01282051282051282,7.0,16.0,0.07142857142857142,0.03125,14.0,29.0,0.05555555555555555,0.03125,2.0,5.0,0.09352517985611511,0.04377104377104377,7.5,9.5,0.05855855855855856,0.0327455919395466,6.0,9.0,0.0622568093385214,0.033542976939203356,19.0,32.5,6.0,12.0,0.09090909090909091,0.041666666666666664,15.5,30.5,0.0,0.0,18.5,37.5,0.0,0.0,13.0,27.0,0.0,0.0,5.5,10.0,0.09090909090909091,0.047619047619047616,5.0,8.0,0.08823529411764706,0.046875,10.5,21.0,0.047619047619047616,0.0223463687150838,6.5,14.5,0.06084359835759612,0.029148783977110158,18.5,39.5,0.08571428571428572,0.046875,8.5,18.5,0.05172413793103448,0.023255813953488372,5.5,12.5,0.1,0.038461538461538464,15.0,32.0,0.04446914952751529,0.02222839677688247,0,0
Stefan Martin,5.5,6.5,0.07,0.035,5.5,8.5,0.06918238993710692,0.037037037037037035,5.5,8.0,0.06963788300835655,0.035868005738880916,1.0,1.0,0.10227272727272728,0.056962025316455694,15.5,30.5,0.0,0.0,4.5,9.5,0.125,0.047619047619047616,4.0,9.0,0.08333333333333333,0.038461538461538464,1.0,2.0,0.4909090909090909,0.25961538461538464,13.5,27.5,0.0,0.0,2.0,3.5,0.12,0.05454545454545454,1.5,3.0,0.18181818181818182,0.09411764705882353,3.5,5.0,0.09302325581395349,0.05,13.0,26.0,0.024390243902439025,0.01282051282051282,17.0,35.0,0.0,0.0,14.0,29.0,0.05555555555555555,0.03125,3.5,7.0,0.07913669064748201,0.037037037037037035,5.5,6.5,0.06306306306306306,0.03526448362720403,8.5,14.5,0.04669260700389105,0.025157232704402517,22.0,42.0,6.0,12.0,0.09090909090909091,0.041666666666666664,5.5,10.5,0.1,0.043478260869565216,5.5,10.0,0.07317073170731707,0.037037037037037035,13.0,27.0,0.0,0.0,2.5,5.0,0.18181818181818182,0.09523809523809523,1.5,2.5,0.17647058823529413,0.09375,1.0,3.5,0.09523809523809523,0.0446927374301676,1.0,2.0,0.1017170586039567,0.04873032904148784,21.0,43.0,0.1,0.0546875,12.5,27.5,0.034482758620689655,0.015503875968992248,15.5,31.5,0.0,0.0,4.5,9.5,0.05058365758754864,0.025284801333703807,0,2
Mitch Robinson,7.0,11.0,0.06,0.03,2.5,5.5,0.08176100628930817,0.04377104377104377,5.5,8.0,0.06963788300835655,0.035868005738880916,11.0,16.5,0.045454545454545456,0.02531645569620253,5.5,11.0,0.1,0.047619047619047616,4.5,9.5,0.125,0.047619047619047616,9.5,21.0,0.05,0.023076923076923078,3.5,9.5,0.01818181818181818,0.009615384615384616,13.5,27.5,0.0,0.0,2.0,3.5,0.12,0.05454545454545454,1.5,3.0,0.18181818181818182,0.09411764705882353,9.0,16.0,0.046511627906976744,0.025,9.0,18.0,0.04878048780487805,0.02564102564102564,7.0,16.0,0.07142857142857142,0.03125,14.0,29.0,0.05555555555555555,0.03125,3.5,7.0,0.07913669064748201,0.037037037037037035,3.0,3.0,0.07657657657657657,0.042821158690176324,5.0,7.5,0.06614785992217899,0.03563941299790356,15.5,24.5,16.0,31.5,0.0,0.0,5.5,10.5,0.1,0.043478260869565216,3.5,5.5,0.12195121951219512,0.06172839506172839,13.0,27.0,0.0,0.0,2.5,5.0,0.18181818181818182,0.09523809523809523,1.5,2.5,0.17647058823529413,0.09375,10.5,21.0,0.047619047619047616,0.0223463687150838,6.5,14.5,0.06084359835759612,0.029148783977110158,21.0,43.0,0.1,0.0546875,15.5,34.5,0.017241379310344827,0.007751937984496124,1.5,4.5,0.2,0.07692307692307693,18.5,37.5,0.04113396331295164,0.020561267018616283,0,0
Daniel Rich,3.0,3.0,0.075,0.0375,7.5,13.5,0.050314465408805034,0.026936026936026935,7.0,10.5,0.06406685236768803,0.03299856527977044,16.5,26.0,0.03409090909090909,0.0189873417721519,15.5,30.5,0.0,0.0,4.5,9.5,0.125,0.047619047619047616,20.5,41.5,0.0,0.0,13.5,28.0,0.0,0.0,13.5,27.5,0.0,0.0,6.5,14.5,0.06,0.02727272727272727,12.0,22.5,0.022727272727272728,0.011764705882352941,21.0,42.0,0.0,0.0,2.5,3.0,0.12195121951219512,0.0641025641025641,7.0,16.0,0.07142857142857142,0.03125,4.5,9.0,0.0,0.0,10.5,23.0,0.04316546762589928,0.020202020202020204,7.5,9.5,0.05855855855855856,0.0327455919395466,3.5,3.5,0.07392996108949416,0.039832285115303984,3.0,5.0,16.0,31.5,0.0,0.0,15.5,30.5,0.0,0.0,5.5,10.0,0.07317073170731707,0.037037037037037035,13.0,27.0,0.0,0.0,15.0,28.5,0.0,0.0,11.0,20.5,0.029411764705882353,0.015625,6.5,14.5,0.05952380952380952,0.027932960893854747,2.0,3.0,0.09817095931317656,0.04703147353361946,17.0,36.5,0.07142857142857142,0.0390625,2.5,4.5,0.1206896551724138,0.05426356589147287,15.5,31.5,0.0,0.0,10.0,17.0,0.049471928849360754,0.024729091414281746,0,0
Joshua Green,8.0,15.0,0.055,0.0275,10.0,16.0,0.0440251572327044,0.02356902356902357,8.0,14.0,0.05013927576601671,0.02582496413199426,16.5,26.0,0.03409090909090909,0.0189873417721519,15.5,30.5,0.0,0.0,15.5,30.0,0.0,0.0,3.0,5.0,0.1,0.046153846153846156,13.5,28.0,0.0,0.0,13.5,27.5,0.0,0.0,15.5,33.5,0.02,0.00909090909090909,5.0,8.0,0.09090909090909091,0.047058823529411764,6.0,9.0,0.06976744186046512,0.0375,13.0,26.0,0.024390243902439025,0.01282051282051282,17.0,35.0,0.0,0.0,4.5,9.0,0.0,0.0,5.5,11.0,0.06474820143884892,0.030303030303030304,12.0,20.0,0.04054054054054054,0.022670025188916875,14.5,22.5,0.038910505836575876,0.020964360587002098,20.0,38.0,16.0,31.5,0.0,0.0,1.5,3.5,0.2,0.08695652173913043,13.0,26.5,0.024390243902439025,0.012345679012345678,13.0,27.0,0.0,0.0,5.5,10.0,0.09090909090909091,0.047619047619047616,5.0,8.0,0.08823529411764706,0.046875,6.5,14.5,0.05952380952380952,0.027932960893854747,9.0,22.0,0.04497946995147443,0.021548640915593706,18.5,39.5,0.08571428571428572,0.046875,8.5,18.5,0.05172413793103448,0.023255813953488372,5.5,12.5,0.1,0.038461538461538464,13.5,22.5,0.04780433574207893,0.02389552653514865,0,0
Justin Clarke,12.0,24.5,0.045,0.0225,10.0,16.0,0.0440251572327044,0.02356902356902357,9.5,17.0,0.04456824512534819,0.02295552367288379,6.0,9.5,0.056818181818181816,0.03164556962025317,15.5,30.5,0.0,0.0,15.5,30.0,0.0,0.0,16.0,34.5,0.016666666666666666,0.007692307692307693,13.5,28.0,0.0,0.0,13.5,27.5,0.0,0.0,21.0,41.5,0.0,0.0,19.0,36.5,0.0,0.0,6.0,9.0,0.06976744186046512,0.0375,1.0,1.0,0.14634146341463414,0.07692307692307693,17.0,35.0,0.0,0.0,14.0,29.0,0.05555555555555555,0.03125,14.0,28.0,0.03597122302158273,0.016835016835016835,12.0,20.0,0.04054054054054054,0.022670025188916875,7.0,12.5,0.05058365758754864,0.027253668763102725,5.0,7.0,16.0,31.5,0.0,0.0,15.5,30.5,0.0,0.0,1.5,2.0,0.14634146341463414,0.07407407407407407,13.0,27.0,0.0,0.0,15.0,28.5,0.0,0.0,18.5,35.5,0.0,0.0,14.5,29.0,0.03571428571428571,0.01675977653631285,8.0,18.0,0.054871220604703244,0.02628755364806867,9.5,18.0,0.02857142857142857,0.015625,1.0,2.5,0.13793103448275862,0.06201550387596899,15.5,31.5,0.0,0.0,3.0,7.0,0.05225125069483046,0.026118366212836898,0,0
Marco Paparone,9.5,19.0,0.05,0.025,14.0,21.5,0.03773584905660377,0.020202020202020204,9.5,17.0,0.04456824512534819,0.02295552367288379,6.0,9.5,0.056818181818181816,0.03164556962025317,15.5,30.5,0.0,0.0,15.5,30.0,0.0,0.0,20.5,41.5,0.0,0.0,13.5,28.0,0.0,0.0,13.5,27.5,0.0,0.0,15.5,33.5,0.02,0.00909090909090909,12.0,22.5,0.022727272727272728,0.011764705882352941,1.0,1.0,0.13953488372093023,0.075,4.5,6.5,0.0975609756097561,0.05128205128205128,17.0,35.0,0.0,0.0,22.0,44.0,0.16666666666666666,0.09375,20.0,41.0,0.014388489208633094,0.006734006734006734,5.5,6.5,0.06306306306306306,0.03526448362720403,11.0,17.5,0.042801556420233464,0.023060796645702306,15.5,24.5,16.0,31.5,0.0,0.0,15.5,30.5,0.0,0.0,9.0,17.5,0.04878048780487805,0.024691358024691357,13.0,27.0,0.0,0.0,15.0,28.5,0.0,0.0,11.0,20.5,0.029411764705882353,0.015625,19.0,37.0,0.023809523809523808,0.0111731843575419,15.0,31.0,0.03452780888391191,0.0165414878397711,12.0,25.0,0.04285714285714286,0.0234375,12.5,27.5,0.034482758620689655,0.015503875968992248,15.5,31.5,0.0,0.0,7.0,12.5,0.0500277932184547,0.025006946373992776,0,0
