Player,Kicks OTR,Kicks BTR,Kicks OT%,Kicks BT%,Handballs OTR,Handballs BTR,Handballs OT%,Handballs BT%,Disposals OTR,Disposals BTR,Disposals OT%,Disposals BT%,Marks OTR,Marks BTR,Marks OT%,Marks BT%,Goals OTR,Goals BTR,Goals OT%,Goals BT%,Behinds OTR,Behinds BTR,Behinds OT%,Behinds BT%,Tackles OTR,Tackles BTR,Tackles OT%,Tackles BT%,Hitouts OTR,Hitouts BTR,Hitouts OT%,Hitouts BT%,Goal Assists OTR,Goal Assists BTR,Goal Assists OT%,Goal Assists BT%,Inside 50s OTR,Inside 50s BTR,Inside 50s OT%,Inside 50s BT%,Clearances OTR,Clearances BTR,Clearances OT%,Clearances BT%,Clangers OTR,Clangers BTR,Clangers OT%,Clangers BT%,Rebound 50s OTR,Rebound 50s BTR,Rebound 50s OT%,Rebound 50s BT%,Frees For OTR,Frees For BTR,Frees For OT%,Frees For BT%,Frees Agains OTR,Frees Agains BTR,Frees Agains OT%,Frees Agains BT%,Contested Possessions OTR,Contested Possessions BTR,Contested Possessions OT%,Contested Possessions BT%,Uncontested Possessions OTR,Uncontested Possessions BTR,Uncontested Possessions OT%,Uncontested Possessions BT%,Effective Disposals OTR,Effective Disposals BTR,Effective Disposals OT%,Effective Disposals BT%,Disposal Efficiency % OTR,Disposal Efficiency % BTR,Contested Marks OTR,Contested Marks BTR,Contested Marks OT%,Contested Marks BT%,Marks Inside 50 OTR,Marks Inside 50 BTR,Marks Inside 50 OT%,Marks Inside 50 BT%,One Percenters OTR,One Percenters BTR,One Percenters OT%,One Percenters BT%,Bounces OTR,Bounces BTR,Bounces OT%,Bounces BT%,Centre Clearances OTR,Centre Clearances BTR,Centre Clearances OT%,Centre Clearances BT%,Stoppage Clearances OTR,Stoppage Clearances BTR,Stoppage Clearances OT%,Stoppage Clearances BT%,Score Involvements OTR,Score Involvements BTR,Score Involvements OT%,Score Involvements BT%,Metres Gained OTR,Metres Gained BTR,Metres Gained OT%,Metres Gained BT%,Turnovers OTR,Turnovers BTR,Turnovers OT%,Turnovers BT%,Intercepts OTR,Intercepts BTR,Intercepts OT%,Intercepts BT%,Tackles Inside 50 OTR,Tackles Inside 50 BTR,Tackles Inside 50 OT%,Tackles Inside 50 BT%,Time On Ground % OTR,Time On Ground % BTR,Time On Ground % OT%,Time On Ground % BT%,Winloss,Brownlow Votes
Daniel Hannebery,4.0,10.5,0.06666666666666667,0.03140096618357488,1.0,1.0,0.0975609756097561,0.052805280528052806,1.0,1.5,0.0807799442896936,0.040446304044630406,21.5,42.0,0.01098901098901099,0.005319148936170213,6.0,11.0,0.09090909090909091,0.04,14.0,28.5,0.0,0.0,5.5,6.5,0.08333333333333333,0.05,13.0,25.5,0.0,0.0,5.0,10.0,0.1111111111111111,0.05263157894736842,1.5,2.5,0.10526315789473684,0.05357142857142857,4.5,7.5,0.08823529411764706,0.04477611940298507,7.5,11.0,0.05660377358490566,0.03333333333333333,19.0,39.5,0.0,0.0,5.0,9.5,0.09523809523809523,0.047619047619047616,19.5,38.5,0.09523809523809523,0.04878048780487805,4.0,9.0,0.08196721311475409,0.03731343283582089,1.5,2.0,0.08050847457627118,0.04241071428571429,1.0,1.0,0.08208955223880597,0.04247104247104247,14.0,24.0,15.0,30.5,0.0,0.0,15.5,29.5,0.0,0.0,20.0,38.5,0.0,0.0,12.0,23.5,0.0,0.0,5.5,11.0,0.08333333333333333,0.041666666666666664,4.5,8.5,0.09090909090909091,0.045454545454545456,5.0,10.0,0.07,0.034482758620689655,10,17.0,0.05359136583550428,0.026184198563505772,15.5,32.0,0.05555555555555555,0.029411764705882353,11.0,21.0,0.046153846153846156,0.021897810218978103,4.0,6.0,0.14285714285714285,0.08333333333333333,8.5,16.5,0.048360200111172875,0.024159955567897805,0,0
Josh P. Kennedy,1.0,4.5,0.07692307692307693,0.036231884057971016,3.0,3.0,0.07926829268292683,0.0429042904290429,2.0,3.0,0.07799442896935933,0.03905160390516039,9.0,20.5,0.04395604395604396,0.02127659574468085,6.0,11.0,0.09090909090909091,0.04,2.0,2.5,0.25,0.125,3.5,4.5,0.1,0.06,13.0,25.5,0.0,0.0,5.0,10.0,0.1111111111111111,0.05263157894736842,6.0,11.5,0.07017543859649122,0.03571428571428571,2.0,3.0,0.17647058823529413,0.08955223880597014,1.5,2.0,0.11320754716981132,0.06666666666666667,12.0,26.0,0.027777777777777776,0.013333333333333334,5.0,9.5,0.09523809523809523,0.047619047619047616,13.0,26.5,0.047619047619047616,0.024390243902439025,1.0,1.0,0.13114754098360656,0.05970149253731343,8.0,15.0,0.05084745762711865,0.026785714285714284,6.5,10.0,0.05970149253731343,0.03088803088803089,21.0,40.0,15.0,30.5,0.0,0.0,3.0,5.0,0.15384615384615385,0.07407407407407407,20.0,38.5,0.0,0.0,12.0,23.5,0.0,0.0,3.5,5.5,0.16666666666666666,0.08333333333333333,1.0,2.0,0.22727272727272727,0.11363636363636363,5.0,10.0,0.07,0.034482758620689655,1,4.0,0.08634164495720134,0.04218565324120375,20.0,40.5,0.08333333333333333,0.04411764705882353,8.0,14.5,0.06153846153846154,0.029197080291970802,14.5,27.0,0.0,0.0,10.5,20.5,0.04724847137298499,0.02360455429047487,0,1
Kieren Jack,4.0,10.5,0.06666666666666667,0.03140096618357488,2.0,2.0,0.08536585365853659,0.0462046204620462,3.0,4.5,0.07520891364902507,0.03765690376569038,14.5,30.0,0.03296703296703297,0.015957446808510637,15.5,31.0,0.0,0.0,14.0,28.5,0.0,0.0,3.5,4.5,0.1,0.06,13.0,25.5,0.0,0.0,5.0,10.0,0.1111111111111111,0.05263157894736842,3.5,6.0,0.08771929824561403,0.044642857142857144,2.0,3.0,0.17647058823529413,0.08955223880597014,7.5,11.0,0.05660377358490566,0.03333333333333333,5.5,8.5,0.08333333333333333,0.04,17.5,33.0,0.0,0.0,13.0,26.5,0.047619047619047616,0.024390243902439025,2.5,5.0,0.09836065573770492,0.04477611940298507,4.0,7.5,0.0635593220338983,0.033482142857142856,2.0,2.5,0.07835820895522388,0.04054054054054054,11.5,20.5,15.0,30.5,0.0,0.0,15.5,29.5,0.0,0.0,20.0,38.5,0.0,0.0,12.0,23.5,0.0,0.0,3.5,5.5,0.16666666666666666,0.08333333333333333,2.0,3.0,0.18181818181818182,0.09090909090909091,5.0,10.0,0.07,0.034482758620689655,3,6.5,0.0770375883885374,0.03763978543503955,21.0,42.0,0.09722222222222222,0.051470588235294115,4.5,8.5,0.07692307692307693,0.0364963503649635,4.0,6.0,0.14285714285714285,0.08333333333333333,16.0,32.5,0.04446914952751529,0.022216051096917523,0,0
Luke Parker,6.5,14.5,0.06153846153846154,0.028985507246376812,4.0,4.0,0.07317073170731707,0.039603960396039604,4.0,7.5,0.06685236768802229,0.03347280334728033,9.0,20.5,0.04395604395604396,0.02127659574468085,2.0,3.0,0.18181818181818182,0.08,4.5,8.5,0.125,0.0625,2.0,2.5,0.11666666666666667,0.07,13.0,25.5,0.0,0.0,1.5,2.5,0.2222222222222222,0.10526315789473684,1.5,2.5,0.10526315789473684,0.05357142857142857,2.0,3.0,0.17647058823529413,0.08955223880597014,12.5,20.5,0.03773584905660377,0.022222222222222223,12.0,26.0,0.027777777777777776,0.013333333333333334,5.0,9.5,0.09523809523809523,0.047619047619047616,13.0,26.5,0.047619047619047616,0.024390243902439025,2.5,5.0,0.09836065573770492,0.04477611940298507,8.0,15.0,0.05084745762711865,0.026785714285714284,3.0,4.0,0.07462686567164178,0.03861003861003861,4.5,9.0,5.0,11.5,0.1,0.043478260869565216,15.5,29.5,0.0,0.0,12.5,25.0,0.023255813953488372,0.011111111111111112,1.0,1.5,1.0,0.5,1.5,2.0,0.25,0.125,4.5,8.5,0.09090909090909091,0.045454545454545456,1.0,1.5,0.1,0.04926108374384237,6,12.0,0.06661704503163379,0.03254841349213565,15.5,32.0,0.05555555555555555,0.029411764705882353,8.0,14.5,0.06153846153846154,0.029197080291970802,1.0,2.0,0.2857142857142857,0.16666666666666666,14.5,30.5,0.04502501389660923,0.02249375173562899,0,0
Rhyce Shaw,2.0,6.5,0.07179487179487179,0.033816425120772944,10.0,16.0,0.04878048780487805,0.026402640264026403,5.0,11.5,0.06128133704735376,0.030683403068340307,7.0,15.0,0.054945054945054944,0.026595744680851064,15.5,31.0,0.0,0.0,14.0,28.5,0.0,0.0,20.5,40.5,0.0,0.0,13.0,25.5,0.0,0.0,15.0,30.0,0.0,0.0,13.0,23.0,0.03508771929824561,0.017857142857142856,17.5,36.0,0.0,0.0,3.0,4.0,0.09433962264150944,0.05555555555555555,2.5,3.5,0.1111111111111111,0.05333333333333334,17.5,33.0,0.0,0.0,19.5,38.5,0.09523809523809523,0.04878048780487805,12.0,29.0,0.03278688524590164,0.014925373134328358,1.5,2.0,0.08050847457627118,0.04241071428571429,4.5,7.5,0.06343283582089553,0.032818532818532815,11.5,20.5,5.0,11.5,0.1,0.043478260869565216,15.5,29.5,0.0,0.0,6.0,15.0,0.046511627906976744,0.022222222222222223,12.0,23.5,0.0,0.0,14.5,29.5,0.0,0.0,17.0,33.5,0.0,0.0,5.0,10.0,0.07,0.034482758620689655,4,8.0,0.07219947897283216,0.03527593417583417,19.0,37.5,0.06944444444444445,0.03676470588235294,4.5,8.5,0.07692307692307693,0.0364963503649635,14.5,27.0,0.0,0.0,18.5,36.0,0.042801556420233464,0.021382949180783116,0,0
Jarrad McVeigh,4.0,10.5,0.06666666666666667,0.03140096618357488,10.0,16.0,0.04878048780487805,0.026402640264026403,6.5,13.5,0.0584958217270195,0.029288702928870293,1.5,2.0,0.0989010989010989,0.047872340425531915,15.5,31.0,0.0,0.0,14.0,28.5,0.0,0.0,16.0,31.0,0.016666666666666666,0.01,13.0,25.5,0.0,0.0,15.0,30.0,0.0,0.0,13.0,23.0,0.03508771929824561,0.017857142857142856,10.5,22.0,0.029411764705882353,0.014925373134328358,17.5,31.5,0.018867924528301886,0.011111111111111112,5.5,8.5,0.08333333333333333,0.04,17.5,33.0,0.0,0.0,13.0,26.5,0.047619047619047616,0.024390243902439025,20.5,41.0,0.01639344262295082,0.007462686567164179,3.0,4.0,0.07203389830508475,0.03794642857142857,4.5,7.5,0.06343283582089553,0.032818532818532815,6.0,12.0,15.0,30.5,0.0,0.0,6.5,10.5,0.07692307692307693,0.037037037037037035,12.5,25.0,0.023255813953488372,0.011111111111111112,12.0,23.5,0.0,0.0,14.5,29.5,0.0,0.0,9.0,17.5,0.045454545454545456,0.022727272727272728,5.0,10.0,0.07,0.034482758620689655,12,23.0,0.042240416821734274,0.020638239839985452,15.5,32.0,0.05555555555555555,0.029411764705882353,14.0,27.5,0.03076923076923077,0.014598540145985401,14.5,27.0,0.0,0.0,4.0,6.0,0.05169538632573652,0.02582615940016662,0,0
Jake Lloyd,8.5,17.0,0.05641025641025641,0.026570048309178744,6.0,10.0,0.06097560975609756,0.033003300330033,6.5,13.5,0.0584958217270195,0.029288702928870293,14.5,30.0,0.03296703296703297,0.015957446808510637,15.5,31.0,0.0,0.0,14.0,28.5,0.0,0.0,11.0,19.5,0.03333333333333333,0.02,13.0,25.5,0.0,0.0,15.0,30.0,0.0,0.0,6.0,11.5,0.07017543859649122,0.03571428571428571,7.0,12.5,0.058823529411764705,0.029850746268656716,12.5,20.5,0.03773584905660377,0.022222222222222223,8.0,15.0,0.05555555555555555,0.02666666666666667,1.5,4.0,0.14285714285714285,0.07142857142857142,13.0,26.5,0.047619047619047616,0.024390243902439025,6.5,14.5,0.05737704918032787,0.026119402985074626,8.0,15.0,0.05084745762711865,0.026785714285714284,8.0,15.5,0.05223880597014925,0.02702702702702703,18.0,29.0,15.0,30.5,0.0,0.0,15.5,29.5,0.0,0.0,12.5,25.0,0.023255813953488372,0.011111111111111112,12.0,23.5,0.0,0.0,14.5,29.5,0.0,0.0,4.5,8.5,0.09090909090909091,0.045454545454545456,15.0,32.0,0.03,0.014778325123152709,9,15.0,0.05731298846296985,0.028002545685971453,22.0,43.0,0.1111111111111111,0.058823529411764705,4.5,8.5,0.07692307692307693,0.0364963503649635,14.5,27.0,0.0,0.0,17.0,34.0,0.04391328515842134,0.021938350458206055,0,0
Heath Grundy,11.0,21.0,0.05128205128205128,0.024154589371980676,8.0,12.5,0.054878048780487805,0.0297029702970297,8.0,16.0,0.052924791086350974,0.026499302649930265,3.5,7.5,0.07692307692307693,0.03723404255319149,15.5,31.0,0.0,0.0,14.0,28.5,0.0,0.0,20.5,40.5,0.0,0.0,13.0,25.5,0.0,0.0,15.0,30.0,0.0,0.0,13.0,23.0,0.03508771929824561,0.017857142857142856,17.5,36.0,0.0,0.0,21.0,40.5,0.0,0.0,2.5,3.5,0.1111111111111111,0.05333333333333334,17.5,33.0,0.0,0.0,4.5,9.0,0.0,0.0,8.5,22.0,0.040983606557377046,0.018656716417910446,5.0,9.0,0.059322033898305086,0.03125,6.5,10.0,0.05970149253731343,0.03088803088803089,2.5,5.5,5.0,11.5,0.1,0.043478260869565216,15.5,29.5,0.0,0.0,2.0,4.0,0.13953488372093023,0.06666666666666667,12.0,23.5,0.0,0.0,14.5,29.5,0.0,0.0,17.0,33.5,0.0,0.0,10.0,19.0,0.05,0.024630541871921183,11,19.0,0.052474879047264604,0.02563869442676607,10.5,24.0,0.041666666666666664,0.022058823529411766,4.5,8.5,0.07692307692307693,0.0364963503649635,14.5,27.0,0.0,0.0,2.5,4.5,0.054474708171206226,0.027214662593723966,0,0
Jeremy Laidler,11.0,21.0,0.05128205128205128,0.024154589371980676,14.0,26.0,0.036585365853658534,0.019801980198019802,9.5,19.5,0.04456824512534819,0.022315202231520222,14.5,30.0,0.03296703296703297,0.015957446808510637,15.5,31.0,0.0,0.0,14.0,28.5,0.0,0.0,20.5,40.5,0.0,0.0,13.0,25.5,0.0,0.0,15.0,30.0,0.0,0.0,18.5,33.5,0.017543859649122806,0.008928571428571428,17.5,36.0,0.0,0.0,17.5,31.5,0.018867924528301886,0.011111111111111112,5.5,8.5,0.08333333333333333,0.04,17.5,33.0,0.0,0.0,4.5,9.0,0.0,0.0,5.0,11.5,0.06557377049180328,0.029850746268656716,17.0,30.5,0.03389830508474576,0.017857142857142856,14.0,26.0,0.03731343283582089,0.019305019305019305,19.0,33.5,5.0,11.5,0.1,0.043478260869565216,15.5,29.5,0.0,0.0,6.0,15.0,0.046511627906976744,0.022222222222222223,12.0,23.5,0.0,0.0,14.5,29.5,0.0,0.0,17.0,33.5,0.0,0.0,21.0,40.5,0.01,0.0049261083743842365,8,14.0,0.05880163751395608,0.028729884534957725,10.5,24.0,0.041666666666666664,0.022058823529411766,1.0,3.0,0.13846153846153847,0.06569343065693431,14.5,27.0,0.0,0.0,12.5,27.0,0.045580878265703166,0.022771452374340462,0,0
Gary Rohan,6.5,14.5,0.06153846153846154,0.028985507246376812,17.5,33.5,0.024390243902439025,0.013201320132013201,9.5,19.5,0.04456824512534819,0.022315202231520222,3.5,7.5,0.07692307692307693,0.03723404255319149,2.0,3.0,0.18181818181818182,0.08,14.0,28.5,0.0,0.0,16.0,31.0,0.016666666666666666,0.01,13.0,25.5,0.0,0.0,5.0,10.0,0.1111111111111111,0.05263157894736842,8.0,16.0,0.05263157894736842,0.026785714285714284,17.5,36.0,0.0,0.0,4.5,6.0,0.07547169811320754,0.044444444444444446,19.0,39.5,0.0,0.0,17.5,33.0,0.0,0.0,13.0,26.5,0.047619047619047616,0.024390243902439025,8.5,22.0,0.040983606557377046,0.018656716417910446,12.0,22.5,0.0423728813559322,0.022321428571428572,12.0,21.5,0.041044776119402986,0.021235521235521235,17.0,28.0,2.0,4.0,0.2,0.08695652173913043,3.0,5.0,0.15384615384615385,0.07407407407407407,12.5,25.0,0.023255813953488372,0.011111111111111112,12.0,23.5,0.0,0.0,14.5,29.5,0.0,0.0,17.0,33.5,0.0,0.0,5.0,10.0,0.07,0.034482758620689655,2,5.0,0.08150353554149609,0.03982180198199836,15.5,32.0,0.05555555555555555,0.029411764705882353,20.5,40.0,0.0,0.0,4.0,6.0,0.14285714285714285,0.08333333333333333,18.5,36.0,0.042801556420233464,0.021382949180783116,0,0
