Player,Kicks OTR,Kicks BTR,Kicks OT%,Kicks BT%,Handballs OTR,Handballs BTR,Handballs OT%,Handballs BT%,Disposals OTR,Disposals BTR,Disposals OT%,Disposals BT%,Marks OTR,Marks BTR,Marks OT%,Marks BT%,Goals OTR,Goals BTR,Goals OT%,Goals BT%,Behinds OTR,Behinds BTR,Behinds OT%,Behinds BT%,Tackles OTR,Tackles BTR,Tackles OT%,Tackles BT%,Hitouts OTR,Hitouts BTR,Hitouts OT%,Hitouts BT%,Goal Assists OTR,Goal Assists BTR,Goal Assists OT%,Goal Assists BT%,Inside 50s OTR,Inside 50s BTR,Inside 50s OT%,Inside 50s BT%,Clearances OTR,Clearances BTR,Clearances OT%,Clearances BT%,Clangers OTR,Clangers BTR,Clangers OT%,Clangers BT%,Rebound 50s OTR,Rebound 50s BTR,Rebound 50s OT%,Rebound 50s BT%,Frees For OTR,Frees For BTR,Frees For OT%,Frees For BT%,Frees Agains OTR,Frees Agains BTR,Frees Agains OT%,Frees Agains BT%,Contested Possessions OTR,Contested Possessions BTR,Contested Possessions OT%,Contested Possessions BT%,Uncontested Possessions OTR,Uncontested Possessions BTR,Uncontested Possessions OT%,Uncontested Possessions BT%,Effective Disposals OTR,Effective Disposals BTR,Effective Disposals OT%,Effective Disposals BT%,Disposal Efficiency % OTR,Disposal Efficiency % BTR,Contested Marks OTR,Contested Marks BTR,Contested Marks OT%,Contested Marks BT%,Marks Inside 50 OTR,Marks Inside 50 BTR,Marks Inside 50 OT%,Marks Inside 50 BT%,One Percenters OTR,One Percenters BTR,One Percenters OT%,One Percenters BT%,Bounces OTR,Bounces BTR,Bounces OT%,Bounces BT%,Centre Clearances OTR,Centre Clearances BTR,Centre Clearances OT%,Centre Clearances BT%,Stoppage Clearances OTR,Stoppage Clearances BTR,Stoppage Clearances OT%,Stoppage Clearances BT%,Score Involvements OTR,Score Involvements BTR,Score Involvements OT%,Score Involvements BT%,Metres Gained OTR,Metres Gained BTR,Metres Gained OT%,Metres Gained BT%,Turnovers OTR,Turnovers BTR,Turnovers OT%,Turnovers BT%,Intercepts OTR,Intercepts BTR,Intercepts OT%,Intercepts BT%,Tackles Inside 50 OTR,Tackles Inside 50 BTR,Tackles Inside 50 OT%,Tackles Inside 50 BT%,Time On Ground % OTR,Time On Ground % BTR,Time On Ground % OT%,Time On Ground % BT%,Winloss,Brownlow Votes
Dyson Heppell,1.0,7.0,0.09868421052631579,0.03740648379052369,1.0,2.0,0.1118421052631579,0.04885057471264368,1.0,2.0,0.10526315789473684,0.042723631508678236,16.5,37.5,0.028169014084507043,0.009389671361502348,2.0,6.5,0.25,0.06060606060606061,13.5,27.0,0.0,0.0,2.0,4.0,0.1111111111111111,0.05217391304347826,3.5,5.0,0.05405405405405406,0.025974025974025976,14.0,31.0,0.0,0.0,1.5,4.0,0.16216216216216217,0.061855670103092786,1.0,1.5,0.20588235294117646,0.0958904109589041,5.5,10.0,0.07142857142857142,0.036585365853658534,10.5,21.5,0.034482758620689655,0.017543859649122806,7.5,12.0,0.07142857142857142,0.043478260869565216,8.0,12.5,0.0,0.0,1.0,2.0,0.14285714285714285,0.06513409961685823,2.0,9.5,0.08333333333333333,0.03180914512922465,1.0,6.0,0.10900473933649289,0.040998217468805706,9.0,25.5,4.0,10.0,0.125,0.043478260869565216,14.5,31.0,0.0,0.0,2.0,3.5,0.11764705882352941,0.05714285714285714,2.0,10.5,0.3333333333333333,0.043478260869565216,1.0,1.5,0.26666666666666666,0.13333333333333333,2.0,3.0,0.15,0.06818181818181818,1.5,17.0,0.11320754716981132,0.028037383177570093,1,3.0,0.12048497095226067,0.04808467741935484,12.5,27.0,0.046153846153846156,0.025210084033613446,2.0,6.5,0.09259259259259259,0.041666666666666664,13.0,29.0,0.0,0.0,13.0,23.5,0.04775124930594114,0.023882254929186338,0,0
Michael Hibberd,2.5,14.0,0.07236842105263158,0.02743142144638404,4.0,11.0,0.07236842105263158,0.031609195402298854,2.0,11.0,0.07236842105263158,0.029372496662216287,4.0,20.0,0.07042253521126761,0.023474178403755867,4.0,14.0,0.125,0.030303030303030304,13.5,27.0,0.0,0.0,16.0,33.0,0.018518518518518517,0.008695652173913044,15.5,29.0,0.0,0.0,1.0,5.5,0.3333333333333333,0.07407407407407407,1.5,4.0,0.16216216216216217,0.061855670103092786,13.0,26.0,0.029411764705882353,0.0136986301369863,9.5,18.5,0.047619047619047616,0.024390243902439025,4.0,6.5,0.10344827586206896,0.05263157894736842,17.5,32.0,0.0,0.0,8.0,12.5,0.0,0.0,11.0,23.0,0.04201680672268908,0.019157088122605363,1.0,7.0,0.09895833333333333,0.03777335984095427,2.5,15.5,0.06635071090047394,0.024955436720142603,15.0,35.0,14.5,29.5,0.0,0.0,14.5,31.0,0.0,0.0,14.0,27.0,0.029411764705882353,0.014285714285714285,2.0,10.5,0.3333333333333333,0.043478260869565216,16.0,31.5,0.0,0.0,9.0,20.0,0.05,0.022727272727272728,1.5,17.0,0.11320754716981132,0.028037383177570093,2,4.0,0.09547865622631978,0.038104838709677416,17.5,34.5,0.06153846153846154,0.03361344537815126,13.0,25.5,0.037037037037037035,0.016666666666666666,13.0,29.0,0.0,0.0,8.5,17.0,0.04886174347584675,0.024437656206609277,0,0
Shaun McKernan,11.5,28.5,0.046052631578947366,0.017456359102244388,2.5,8.0,0.07894736842105263,0.034482758620689655,3.0,13.5,0.0625,0.025367156208277702,11.5,30.0,0.04225352112676056,0.014084507042253521,14.0,31.5,0.0,0.0,13.5,27.0,0.0,0.0,16.0,33.0,0.018518518518518517,0.008695652173913044,1.0,2.0,0.7027027027027027,0.33766233766233766,14.0,31.0,0.0,0.0,7.0,20.5,0.05405405405405406,0.020618556701030927,2.0,3.0,0.17647058823529413,0.0821917808219178,2.5,4.0,0.09523809523809523,0.04878048780487805,18.0,36.0,0.0,0.0,7.5,12.0,0.07142857142857142,0.043478260869565216,21.5,43.0,0.2222222222222222,0.08695652173913043,2.0,5.0,0.09243697478991597,0.0421455938697318,11.5,29.5,0.041666666666666664,0.015904572564612324,5.0,18.0,0.061611374407582936,0.023172905525846704,11.0,29.5,4.0,10.0,0.125,0.043478260869565216,14.5,31.0,0.0,0.0,14.0,27.0,0.029411764705882353,0.014285714285714285,13.0,30.0,0.0,0.0,2.0,3.0,0.2,0.1,1.0,1.0,0.2,0.09090909090909091,12.0,33.5,0.03773584905660377,0.009345794392523364,8,23.0,0.053296286941146756,0.02127016129032258,21.0,42.5,0.1076923076923077,0.058823529411764705,13.0,25.5,0.037037037037037035,0.016666666666666666,13.0,29.0,0.0,0.0,15.0,26.0,0.04719600222098834,0.02360455429047487,0,0
David Zaharakis,15.5,33.5,0.039473684210526314,0.014962593516209476,5.0,13.5,0.06578947368421052,0.028735632183908046,5.5,20.5,0.05263157894736842,0.021361815754339118,6.5,23.0,0.056338028169014086,0.018779342723004695,14.0,31.5,0.0,0.0,13.5,27.0,0.0,0.0,16.0,33.0,0.018518518518518517,0.008695652173913044,15.5,29.0,0.0,0.0,14.0,31.0,0.0,0.0,7.0,20.5,0.05405405405405406,0.020618556701030927,20.0,39.5,0.0,0.0,15.5,30.5,0.023809523809523808,0.012195121951219513,10.5,21.5,0.034482758620689655,0.017543859649122806,17.5,32.0,0.0,0.0,8.0,12.5,0.0,0.0,11.0,23.0,0.04201680672268908,0.019157088122605363,6.5,21.0,0.057291666666666664,0.02186878727634195,5.0,18.0,0.061611374407582936,0.023172905525846704,4.5,13.5,14.5,29.5,0.0,0.0,14.5,31.0,0.0,0.0,8.0,16.0,0.058823529411764705,0.02857142857142857,13.0,30.0,0.0,0.0,16.0,31.5,0.0,0.0,18.0,36.5,0.0,0.0,12.0,33.5,0.03773584905660377,0.009345794392523364,11,27.0,0.04091942409699419,0.016330645161290323,12.5,27.0,0.046153846153846156,0.025210084033613446,8.5,18.0,0.05555555555555555,0.025,13.0,29.0,0.0,0.0,4.0,10.0,0.04997223764575236,0.024993057484032213,0,0
Jake Melksham,11.5,28.5,0.046052631578947366,0.017456359102244388,6.0,15.0,0.05921052631578947,0.02586206896551724,5.5,20.5,0.05263157894736842,0.021361815754339118,11.5,30.0,0.04225352112676056,0.014084507042253521,14.0,31.5,0.0,0.0,2.5,6.0,0.25,0.08333333333333333,16.0,33.0,0.018518518518518517,0.008695652173913044,15.5,29.0,0.0,0.0,3.5,13.0,0.16666666666666666,0.037037037037037035,12.0,29.5,0.02702702702702703,0.010309278350515464,20.0,39.5,0.0,0.0,15.5,30.5,0.023809523809523808,0.012195121951219513,10.5,21.5,0.034482758620689655,0.017543859649122806,17.5,32.0,0.0,0.0,8.0,12.5,0.0,0.0,11.0,23.0,0.04201680672268908,0.019157088122605363,4.0,17.0,0.0625,0.02385685884691849,11.5,31.5,0.04265402843601896,0.016042780748663103,20.0,42.0,4.0,10.0,0.125,0.043478260869565216,4.0,12.5,0.1111111111111111,0.02857142857142857,8.0,16.0,0.058823529411764705,0.02857142857142857,2.0,10.5,0.3333333333333333,0.043478260869565216,16.0,31.5,0.0,0.0,18.0,36.5,0.0,0.0,3.5,21.0,0.09433962264150944,0.02336448598130841,14,34.0,0.032583985855013896,0.013004032258064516,3.5,9.0,0.015384615384615385,0.008403361344537815,17.5,34.0,0.018518518518518517,0.008333333333333333,13.0,29.0,0.0,0.0,19.0,38.0,0.0421987784564131,0.021105248542071648,0,0
Nicholas O'Brien,17.5,38.0,0.02631578947368421,0.00997506234413965,2.5,8.0,0.07894736842105263,0.034482758620689655,5.5,20.5,0.05263157894736842,0.021361815754339118,11.5,30.0,0.04225352112676056,0.014084507042253521,14.0,31.5,0.0,0.0,13.5,27.0,0.0,0.0,9.0,17.0,0.05555555555555555,0.02608695652173913,7.0,10.5,0.02702702702702703,0.012987012987012988,14.0,31.0,0.0,0.0,19.0,39.5,0.0,0.0,13.0,26.0,0.029411764705882353,0.0136986301369863,21.0,41.5,0.0,0.0,18.0,36.0,0.0,0.0,17.5,32.0,0.0,0.0,8.0,12.5,0.0,0.0,6.0,16.0,0.05042016806722689,0.022988505747126436,8.0,24.5,0.052083333333333336,0.019880715705765408,5.0,18.0,0.061611374407582936,0.023172905525846704,4.5,13.5,14.5,29.5,0.0,0.0,14.5,31.0,0.0,0.0,14.0,27.0,0.029411764705882353,0.014285714285714285,13.0,30.0,0.0,0.0,16.0,31.5,0.0,0.0,9.0,20.0,0.05,0.022727272727272728,7.0,27.0,0.05660377358490566,0.014018691588785047,15,35.0,0.026269259914119727,0.010483870967741936,3.5,9.0,0.015384615384615385,0.008403361344537815,8.5,18.0,0.05555555555555555,0.025,13.0,29.0,0.0,0.0,20.0,40.5,0.039422543031649084,0.0197167453485143,0,0
Zachary Merrett,5.0,20.0,0.05921052631578947,0.022443890274314215,10.0,23.5,0.046052631578947366,0.020114942528735632,5.5,20.5,0.05263157894736842,0.021361815754339118,20.5,42.5,0.014084507042253521,0.004694835680751174,14.0,31.5,0.0,0.0,13.5,27.0,0.0,0.0,3.0,6.0,0.09259259259259259,0.043478260869565216,15.5,29.0,0.0,0.0,3.5,13.0,0.16666666666666666,0.037037037037037035,3.0,6.5,0.13513513513513514,0.05154639175257732,13.0,26.0,0.029411764705882353,0.0136986301369863,15.5,30.5,0.023809523809523808,0.012195121951219513,7.0,12.5,0.06896551724137931,0.03508771929824561,7.5,12.0,0.07142857142857142,0.043478260869565216,8.0,12.5,0.0,0.0,3.0,6.0,0.07563025210084033,0.034482758620689655,14.0,33.0,0.036458333333333336,0.013916500994035786,2.5,15.5,0.06635071090047394,0.024955436720142603,3.0,9.5,14.5,29.5,0.0,0.0,14.5,31.0,0.0,0.0,19.5,39.0,0.0,0.0,13.0,30.0,0.0,0.0,16.0,31.5,0.0,0.0,9.0,20.0,0.05,0.022727272727272728,7.0,27.0,0.05660377358490566,0.014018691588785047,5,19.0,0.06516797171002779,0.026008064516129033,17.5,34.5,0.06153846153846154,0.03361344537815126,8.5,18.0,0.05555555555555555,0.025,2.0,8.5,0.3333333333333333,0.05555555555555555,13.0,23.5,0.04775124930594114,0.023882254929186338,0,0
James Gwilt,7.5,24.0,0.05263157894736842,0.0199501246882793,10.0,23.5,0.046052631578947366,0.020114942528735632,9.0,25.0,0.049342105263157895,0.020026702269692925,11.5,30.0,0.04225352112676056,0.014084507042253521,14.0,31.5,0.0,0.0,13.5,27.0,0.0,0.0,16.0,33.0,0.018518518518518517,0.008695652173913044,7.0,10.5,0.02702702702702703,0.012987012987012988,14.0,31.0,0.0,0.0,19.0,39.5,0.0,0.0,20.0,39.5,0.0,0.0,5.5,10.0,0.07142857142857142,0.036585365853658534,4.0,6.5,0.10344827586206896,0.05263157894736842,1.5,2.5,0.14285714285714285,0.08695652173913043,8.0,12.5,0.0,0.0,6.0,16.0,0.05042016806722689,0.022988505747126436,11.5,29.5,0.041666666666666664,0.015904572564612324,10.0,28.0,0.04739336492890995,0.017825311942959002,13.0,32.0,14.5,29.5,0.0,0.0,14.5,31.0,0.0,0.0,1.0,1.5,0.14705882352941177,0.07142857142857142,13.0,30.0,0.0,0.0,16.0,31.5,0.0,0.0,18.0,36.5,0.0,0.0,7.0,27.0,0.05660377358490566,0.014018691588785047,22,44.0,0.01187168476888103,0.004737903225806452,17.5,34.5,0.06153846153846154,0.03361344537815126,1.0,3.5,0.12962962962962962,0.058333333333333334,13.0,29.0,0.0,0.0,8.5,17.0,0.04886174347584675,0.024437656206609277,0,0
Cale Hooker,5.0,20.0,0.05921052631578947,0.022443890274314215,12.5,28.0,0.039473684210526314,0.017241379310344827,9.0,25.0,0.049342105263157895,0.020026702269692925,1.0,7.5,0.11267605633802817,0.03755868544600939,1.0,3.0,0.375,0.09090909090909091,2.5,6.0,0.25,0.08333333333333333,6.0,10.0,0.07407407407407407,0.034782608695652174,3.5,5.0,0.05405405405405406,0.025974025974025976,14.0,31.0,0.0,0.0,19.0,39.5,0.0,0.0,13.0,26.0,0.029411764705882353,0.0136986301369863,5.5,10.0,0.07142857142857142,0.036585365853658534,10.5,21.5,0.034482758620689655,0.017543859649122806,1.5,2.5,0.14285714285714285,0.08695652173913043,18.0,33.0,0.1111111111111111,0.043478260869565216,6.0,16.0,0.05042016806722689,0.022988505747126436,9.5,27.0,0.046875,0.017892644135188866,8.0,23.5,0.052132701421800945,0.0196078431372549,8.0,23.0,1.0,2.5,0.375,0.13043478260869565,1.0,3.0,0.4444444444444444,0.11428571428571428,19.5,39.0,0.0,0.0,13.0,30.0,0.0,0.0,6.5,13.0,0.06666666666666667,0.03333333333333333,18.0,36.5,0.0,0.0,3.5,21.0,0.09433962264150944,0.02336448598130841,12,30.5,0.03788835564536499,0.015120967741935484,12.5,27.0,0.046153846153846156,0.025210084033613446,13.0,25.5,0.037037037037037035,0.016666666666666666,2.0,8.5,0.3333333333333333,0.05555555555555555,1.0,1.5,0.05385896724042199,0.026936961955012495,0,0
Michael Hurley,2.5,14.0,0.07236842105263158,0.02743142144638404,18.0,38.0,0.02631578947368421,0.011494252873563218,9.0,25.0,0.049342105263157895,0.020026702269692925,6.5,23.0,0.056338028169014086,0.018779342723004695,14.0,31.5,0.0,0.0,13.5,27.0,0.0,0.0,21.0,42.0,0.0,0.0,15.5,29.0,0.0,0.0,14.0,31.0,0.0,0.0,19.0,39.5,0.0,0.0,13.0,26.0,0.029411764705882353,0.0136986301369863,1.0,1.0,0.14285714285714285,0.07317073170731707,1.0,1.0,0.20689655172413793,0.10526315789473684,17.5,32.0,0.0,0.0,18.0,33.0,0.1111111111111111,0.043478260869565216,21.0,42.5,0.01680672268907563,0.007662835249042145,4.0,17.0,0.0625,0.02385685884691849,11.5,31.5,0.04265402843601896,0.016042780748663103,18.0,40.0,14.5,29.5,0.0,0.0,14.5,31.0,0.0,0.0,3.5,8.0,0.08823529411764706,0.04285714285714286,13.0,30.0,0.0,0.0,16.0,31.5,0.0,0.0,9.0,20.0,0.05,0.022727272727272728,21.5,43.5,0.0,0.0,3,7.0,0.09017428643596868,0.03598790322580645,22.0,44.0,0.12307692307692308,0.06722689075630252,8.5,18.0,0.05555555555555555,0.025,13.0,29.0,0.0,0.0,5.5,13.5,0.049416990560799554,0.024715356845320745,0,0
