Player,Kicks OTR,Kicks BTR,Kicks OT%,Kicks BT%,Handballs OTR,Handballs BTR,Handballs OT%,Handballs BT%,Disposals OTR,Disposals BTR,Disposals OT%,Disposals BT%,Marks OTR,Marks BTR,Marks OT%,Marks BT%,Goals OTR,Goals BTR,Goals OT%,Goals BT%,Behinds OTR,Behinds BTR,Behinds OT%,Behinds BT%,Tackles OTR,Tackles BTR,Tackles OT%,Tackles BT%,Hitouts OTR,Hitouts BTR,Hitouts OT%,Hitouts BT%,Goal Assists OTR,Goal Assists BTR,Goal Assists OT%,Goal Assists BT%,Inside 50s OTR,Inside 50s BTR,Inside 50s OT%,Inside 50s BT%,Clearances OTR,Clearances BTR,Clearances OT%,Clearances BT%,Clangers OTR,Clangers BTR,Clangers OT%,Clangers BT%,Rebound 50s OTR,Rebound 50s BTR,Rebound 50s OT%,Rebound 50s BT%,Frees For OTR,Frees For BTR,Frees For OT%,Frees For BT%,Frees Agains OTR,Frees Agains BTR,Frees Agains OT%,Frees Agains BT%,Contested Possessions OTR,Contested Possessions BTR,Contested Possessions OT%,Contested Possessions BT%,Uncontested Possessions OTR,Uncontested Possessions BTR,Uncontested Possessions OT%,Uncontested Possessions BT%,Effective Disposals OTR,Effective Disposals BTR,Effective Disposals OT%,Effective Disposals BT%,Disposal Efficiency % OTR,Disposal Efficiency % BTR,Contested Marks OTR,Contested Marks BTR,Contested Marks OT%,Contested Marks BT%,Marks Inside 50 OTR,Marks Inside 50 BTR,Marks Inside 50 OT%,Marks Inside 50 BT%,One Percenters OTR,One Percenters BTR,One Percenters OT%,One Percenters BT%,Bounces OTR,Bounces BTR,Bounces OT%,Bounces BT%,Centre Clearances OTR,Centre Clearances BTR,Centre Clearances OT%,Centre Clearances BT%,Stoppage Clearances OTR,Stoppage Clearances BTR,Stoppage Clearances OT%,Stoppage Clearances BT%,Score Involvements OTR,Score Involvements BTR,Score Involvements OT%,Score Involvements BT%,Metres Gained OTR,Metres Gained BTR,Metres Gained OT%,Metres Gained BT%,Turnovers OTR,Turnovers BTR,Turnovers OT%,Turnovers BT%,Intercepts OTR,Intercepts BTR,Intercepts OT%,Intercepts BT%,Tackles Inside 50 OTR,Tackles Inside 50 BTR,Tackles Inside 50 OT%,Tackles Inside 50 BT%,Time On Ground % OTR,Time On Ground % BTR,Time On Ground % OT%,Time On Ground % BT%,Winloss,Brownlow Votes
Tom Rockliff,1.0,1.0,0.09615384615384616,0.05167958656330749,3.0,4.0,0.0784313725490196,0.050955414012738856,1.0,1.0,0.08737864077669903,0.05135520684736091,3.0,3.5,0.06862745098039216,0.04,9.5,13.0,0.05,0.034482758620689655,4.0,8.5,0.14285714285714285,0.0625,2.5,2.5,0.12727272727272726,0.0603448275862069,14.0,29.0,0.0,0.0,17.5,31.5,0.0,0.0,2.5,2.5,0.09615384615384616,0.05319148936170213,2.0,3.0,0.225,0.10714285714285714,3.5,9.0,0.07894736842105263,0.03614457831325301,2.0,2.0,0.16129032258064516,0.08928571428571429,8.0,14.5,0.058823529411764705,0.030303030303030304,21.0,39.0,0.125,0.06060606060606061,3.0,4.5,0.09375,0.04669260700389105,1.0,1.0,0.08727272727272728,0.055299539170506916,3.0,3.0,0.07643312101910828,0.047244094488188976,18.5,30.5,15.0,29.5,0.0,0.0,16.5,31.0,0.0,0.0,19.0,37.5,0.0,0.0,14.5,26.0,0.0,0.0,1.5,2.5,0.36363636363636365,0.14814814814814814,2.5,3.5,0.1724137931034483,0.08771929824561403,2.0,2.0,0.072992700729927,0.046948356807511735,5.0,6.0,0.07040965618141917,0.03946694003075346,18.0,36.0,0.07547169811320754,0.037037037037037035,20.5,41.0,0.0,0.0,3.0,4.0,0.15384615384615385,0.08,18.5,36.0,0.042754025541365905,0.021377012770682952,1,2
Mitch Robinson,4.5,7.5,0.0625,0.03359173126614987,2.0,2.0,0.09803921568627451,0.06369426751592357,2.0,2.0,0.08009708737864078,0.047075606276747506,7.5,9.5,0.058823529411764705,0.03428571428571429,9.5,13.0,0.05,0.034482758620689655,15.0,29.0,0.0,0.0,1.0,1.0,0.2727272727272727,0.12931034482758622,3.5,7.5,0.0425531914893617,0.020833333333333332,2.5,2.5,0.125,0.09090909090909091,7.5,12.5,0.057692307692307696,0.031914893617021274,3.0,4.0,0.175,0.08333333333333333,9.0,20.0,0.05263157894736842,0.024096385542168676,2.0,2.0,0.16129032258064516,0.08928571428571429,8.0,14.5,0.058823529411764705,0.030303030303030304,5.5,12.0,0.0,0.0,2.0,3.0,0.1015625,0.05058365758754864,2.0,2.0,0.07272727272727272,0.04608294930875576,1.0,1.0,0.08598726114649681,0.0531496062992126,7.0,14.0,15.0,29.5,0.0,0.0,6.5,10.5,0.07142857142857142,0.043478260869565216,12.5,25.0,0.02631578947368421,0.013513513513513514,14.5,26.0,0.0,0.0,4.0,9.5,0.09090909090909091,0.037037037037037035,1.0,1.5,0.20689655172413793,0.10526315789473684,1.0,1.0,0.08759124087591241,0.056338028169014086,8.0,10.0,0.0570592538405267,0.03198359815479242,18.0,36.0,0.07547169811320754,0.037037037037037035,5.5,9.0,0.07272727272727272,0.037037037037037035,7.0,12.5,0.07692307692307693,0.04,17.0,34.0,0.04386451971127152,0.02193225985563576,1,3
Jack Redden,10.5,15.5,0.04807692307692308,0.025839793281653745,1.0,1.0,0.10294117647058823,0.06687898089171974,3.0,3.0,0.07524271844660194,0.0442225392296719,12.0,16.5,0.049019607843137254,0.02857142857142857,9.5,13.0,0.05,0.034482758620689655,15.0,29.0,0.0,0.0,2.5,2.5,0.12727272727272726,0.0603448275862069,5.0,11.5,0.02127659574468085,0.010416666666666666,17.5,31.5,0.0,0.0,11.5,21.5,0.038461538461538464,0.02127659574468085,1.0,2.0,0.25,0.11904761904761904,9.0,20.0,0.05263157894736842,0.024096385542168676,17.0,34.5,0.0,0.0,2.0,4.0,0.11764705882352941,0.06060606060606061,15.5,30.0,0.0625,0.030303030303030304,1.0,2.0,0.109375,0.054474708171206226,4.5,4.5,0.06545454545454546,0.041474654377880185,2.0,2.0,0.08280254777070063,0.051181102362204724,6.0,12.5,15.0,29.5,0.0,0.0,6.5,10.5,0.07142857142857142,0.043478260869565216,7.0,15.0,0.05263157894736842,0.02702702702702703,14.5,26.0,0.0,0.0,1.5,2.5,0.36363636363636365,0.14814814814814814,2.5,3.5,0.1724137931034483,0.08771929824561403,11.0,11.0,0.051094890510948905,0.03286384976525822,14.0,26.0,0.03108997805413314,0.01742696053305997,18.0,36.0,0.07547169811320754,0.037037037037037035,13.0,24.0,0.03636363636363636,0.018518518518518517,3.0,4.0,0.15384615384615385,0.08,16.0,33.0,0.044975013881177126,0.022487506940588563,1,1
Daniel Rich,4.5,7.5,0.0625,0.03359173126614987,5.0,6.0,0.06372549019607843,0.041401273885350316,4.0,4.0,0.06310679611650485,0.037089871611982884,16.5,28.5,0.029411764705882353,0.017142857142857144,17.5,31.5,0.0,0.0,4.0,8.5,0.14285714285714285,0.0625,19.0,39.0,0.0,0.0,14.0,29.0,0.0,0.0,8.0,11.0,0.0625,0.045454545454545456,11.5,21.5,0.038461538461538464,0.02127659574468085,17.0,34.0,0.0,0.0,9.0,20.0,0.05263157894736842,0.024096385542168676,4.5,4.5,0.12903225806451613,0.07142857142857142,18.0,34.5,0.0,0.0,15.5,30.0,0.0625,0.030303030303030304,15.5,28.5,0.03125,0.01556420233463035,3.0,3.0,0.06909090909090909,0.04377880184331797,4.0,4.0,0.06687898089171974,0.04133858267716536,9.0,16.5,15.0,29.5,0.0,0.0,16.5,31.0,0.0,0.0,7.0,15.0,0.05263157894736842,0.02702702702702703,14.5,26.0,0.0,0.0,14.0,28.5,0.0,0.0,17.0,33.5,0.0,0.0,3.0,3.0,0.06569343065693431,0.04225352112676056,2.0,2.0,0.09381858083394294,0.05258841619682214,21.5,42.0,0.09433962264150944,0.046296296296296294,5.5,9.0,0.07272727272727272,0.037037037037037035,15.5,31.5,0.0,0.0,13.5,28.0,0.046640755136035536,0.023320377568017768,1,0
Marco Paparone,6.5,9.5,0.057692307692307696,0.031007751937984496,6.0,7.5,0.058823529411764705,0.03821656050955414,5.5,6.5,0.05825242718446602,0.034236804564907276,3.0,3.5,0.06862745098039216,0.04,17.5,31.5,0.0,0.0,15.0,29.0,0.0,0.0,19.0,39.0,0.0,0.0,14.0,29.0,0.0,0.0,17.5,31.5,0.0,0.0,7.5,12.5,0.057692307692307696,0.031914893617021274,6.5,14.5,0.05,0.023809523809523808,3.5,9.0,0.07894736842105263,0.03614457831325301,9.5,20.0,0.03225806451612903,0.017857142857142856,8.0,14.5,0.058823529411764705,0.030303030303030304,5.5,12.0,0.0,0.0,7.0,14.5,0.046875,0.023346303501945526,7.5,7.5,0.05454545454545454,0.03456221198156682,10.0,11.5,0.04777070063694268,0.02952755905511811,21.0,33.5,15.0,29.5,0.0,0.0,16.5,31.0,0.0,0.0,12.5,25.0,0.02631578947368421,0.013513513513513514,4.5,5.0,0.125,0.1111111111111111,14.0,28.5,0.0,0.0,6.0,12.5,0.06896551724137931,0.03508771929824561,15.5,20.0,0.0364963503649635,0.023474178403755867,12.0,22.0,0.038222384784198975,0.02142491030240902,14.0,27.0,0.05660377358490566,0.027777777777777776,10.0,16.0,0.05454545454545454,0.027777777777777776,15.5,31.5,0.0,0.0,4.5,8.5,0.05052748473070516,0.02526374236535258,1,0
Tom Cutler,2.0,2.0,0.08653846153846154,0.046511627906976744,15.5,21.0,0.029411764705882353,0.01910828025477707,5.5,6.5,0.05825242718446602,0.034236804564907276,1.0,1.0,0.0784313725490196,0.045714285714285714,9.5,13.0,0.05,0.034482758620689655,4.0,8.5,0.14285714285714285,0.0625,19.0,39.0,0.0,0.0,14.0,29.0,0.0,0.0,17.5,31.5,0.0,0.0,1.0,1.0,0.11538461538461539,0.06382978723404255,17.0,34.0,0.0,0.0,9.0,20.0,0.05263157894736842,0.024096385542168676,2.0,2.0,0.16129032258064516,0.08928571428571429,18.0,34.5,0.0,0.0,5.5,12.0,0.0,0.0,11.5,21.0,0.0390625,0.019455252918287938,4.5,4.5,0.06545454545454546,0.041474654377880185,6.0,6.0,0.05732484076433121,0.03543307086614173,11.0,20.0,4.5,8.5,0.1111111111111111,0.058823529411764705,16.5,31.0,0.0,0.0,19.0,37.5,0.0,0.0,4.5,5.0,0.125,0.1111111111111111,14.0,28.5,0.0,0.0,17.0,33.5,0.0,0.0,6.5,6.5,0.058394160583941604,0.03755868544600939,1.0,1.0,0.10003657644476957,0.056073808303434135,10.0,18.5,0.03773584905660377,0.018518518518518517,5.5,9.0,0.07272727272727272,0.037037037037037035,15.5,31.5,0.0,0.0,18.5,36.0,0.042754025541365905,0.021377012770682952,1,0
Stefan Martin,6.5,9.5,0.057692307692307696,0.031007751937984496,7.5,9.5,0.05392156862745098,0.03503184713375796,7.5,9.0,0.055825242718446605,0.03281027104136947,3.0,3.5,0.06862745098039216,0.04,17.5,31.5,0.0,0.0,4.0,8.5,0.14285714285714285,0.0625,4.5,12.0,0.07272727272727272,0.034482758620689655,1.0,1.5,0.6595744680851063,0.3229166666666667,8.0,11.0,0.0625,0.045454545454545456,5.0,6.5,0.07692307692307693,0.0425531914893617,4.0,10.0,0.075,0.03571428571428571,9.0,20.0,0.05263157894736842,0.024096385542168676,9.5,20.0,0.03225806451612903,0.017857142857142856,18.0,34.5,0.0,0.0,15.5,30.0,0.0625,0.030303030303030304,7.0,14.5,0.046875,0.023346303501945526,6.0,6.0,0.06181818181818182,0.03917050691244239,7.5,7.5,0.054140127388535034,0.03346456692913386,12.0,22.5,4.5,8.5,0.1111111111111111,0.058823529411764705,16.5,31.0,0.0,0.0,12.5,25.0,0.02631578947368421,0.013513513513513514,14.5,26.0,0.0,0.0,4.0,9.5,0.09090909090909091,0.037037037037037035,6.0,12.5,0.06896551724137931,0.03508771929824561,6.5,6.5,0.058394160583941604,0.03755868544600939,9.0,12.0,0.05431602048280907,0.03044592516658124,10.0,18.5,0.03773584905660377,0.018518518518518517,5.5,9.0,0.07272727272727272,0.037037037037037035,15.5,31.5,0.0,0.0,4.5,8.5,0.05052748473070516,0.02526374236535258,1,0
Dayne Zorko,3.0,5.0,0.0673076923076923,0.03617571059431524,10.0,12.5,0.04411764705882353,0.028662420382165606,7.5,9.0,0.055825242718446605,0.03281027104136947,12.0,16.5,0.049019607843137254,0.02857142857142857,4.5,5.5,0.1,0.06896551724137931,15.0,29.0,0.0,0.0,4.5,12.0,0.07272727272727272,0.034482758620689655,14.0,29.0,0.0,0.0,8.0,11.0,0.0625,0.045454545454545456,5.0,6.5,0.07692307692307693,0.0425531914893617,6.5,14.5,0.05,0.023809523809523808,1.0,3.0,0.10526315789473684,0.04819277108433735,4.5,4.5,0.12903225806451613,0.07142857142857142,18.0,34.5,0.0,0.0,22.0,44.0,0.25,0.12121212121212122,4.0,7.5,0.078125,0.038910505836575876,10.0,10.0,0.05090909090909091,0.03225806451612903,5.0,5.0,0.06369426751592357,0.03937007874015748,4.5,7.5,15.0,29.5,0.0,0.0,16.5,31.0,0.0,0.0,19.0,37.5,0.0,0.0,1.5,1.5,0.25,0.2222222222222222,14.0,28.5,0.0,0.0,4.0,8.0,0.10344827586206896,0.05263157894736842,11.0,11.0,0.051094890510948905,0.03286384976525822,3.0,3.0,0.08741770299926847,0.04900051255766274,14.0,27.0,0.05660377358490566,0.027777777777777776,16.5,33.0,0.01818181818181818,0.009259259259259259,3.0,4.0,0.15384615384615385,0.08,15.0,31.0,0.04553026096612993,0.022765130483064965,1,0
Zac O'Brien,16.0,33.5,0.028846153846153848,0.015503875968992248,4.0,5.0,0.07352941176470588,0.04777070063694268,9.0,11.0,0.050970873786407765,0.029957203994293864,21.5,41.0,0.00980392156862745,0.005714285714285714,17.5,31.5,0.0,0.0,15.0,29.0,0.0,0.0,6.5,17.5,0.05454545454545454,0.02586206896551724,14.0,29.0,0.0,0.0,17.5,31.5,0.0,0.0,17.5,33.5,0.019230769230769232,0.010638297872340425,6.5,14.5,0.05,0.023809523809523808,3.5,9.0,0.07894736842105263,0.03614457831325301,17.0,34.5,0.0,0.0,18.0,34.5,0.0,0.0,15.5,30.0,0.0625,0.030303030303030304,7.0,14.5,0.046875,0.023346303501945526,10.0,10.0,0.05090909090909091,0.03225806451612903,13.0,17.0,0.041401273885350316,0.025590551181102362,22.0,35.0,15.0,29.5,0.0,0.0,16.5,31.0,0.0,0.0,12.5,25.0,0.02631578947368421,0.013513513513513514,14.5,26.0,0.0,0.0,4.0,9.5,0.09090909090909091,0.037037037037037035,9.5,18.5,0.034482758620689655,0.017543859649122806,13.5,15.0,0.043795620437956206,0.028169014084507043,17.0,31.0,0.02578639356254572,0.014454126089185034,21.5,42.0,0.09433962264150944,0.046296296296296294,5.5,9.0,0.07272727272727272,0.037037037037037035,7.0,12.5,0.07692307692307693,0.04,10.0,19.5,0.04830649639089395,0.024153248195446973,1,0
Allen Christensen,8.5,12.0,0.052884615384615384,0.028423772609819122,10.0,12.5,0.04411764705882353,0.028662420382165606,10.5,12.5,0.04854368932038835,0.028530670470756064,19.0,34.5,0.0196078431372549,0.011428571428571429,1.5,2.5,0.15,0.10344827586206896,4.0,8.5,0.14285714285714285,0.0625,13.5,30.0,0.01818181818181818,0.008620689655172414,14.0,29.0,0.0,0.0,2.5,2.5,0.125,0.09090909090909091,11.5,21.5,0.038461538461538464,0.02127659574468085,17.0,34.0,0.0,0.0,3.5,9.0,0.07894736842105263,0.03614457831325301,17.0,34.5,0.0,0.0,1.0,1.5,0.23529411764705882,0.12121212121212122,15.5,30.0,0.0625,0.030303030303030304,5.0,11.0,0.0625,0.0311284046692607,12.0,12.0,0.04363636363636364,0.027649769585253458,11.5,14.5,0.044585987261146494,0.027559055118110236,16.5,28.0,15.0,29.5,0.0,0.0,6.5,10.5,0.07142857142857142,0.043478260869565216,12.5,25.0,0.02631578947368421,0.013513513513513514,14.5,26.0,0.0,0.0,14.0,28.5,0.0,0.0,17.0,33.5,0.0,0.0,6.5,6.5,0.058394160583941604,0.03755868544600939,7.0,9.0,0.05760790051207023,0.03229113275243465,18.0,36.0,0.07547169811320754,0.037037037037037035,10.0,16.0,0.05454545454545454,0.027777777777777776,15.5,31.5,0.0,0.0,11.0,21.5,0.04775124930594114,0.02387562465297057,1,0
