Player,Kicks OTR,Kicks BTR,Kicks OT%,Kicks BT%,Handballs OTR,Handballs BTR,Handballs OT%,Handballs BT%,Disposals OTR,Disposals BTR,Disposals OT%,Disposals BT%,Marks OTR,Marks BTR,Marks OT%,Marks BT%,Goals OTR,Goals BTR,Goals OT%,Goals BT%,Behinds OTR,Behinds BTR,Behinds OT%,Behinds BT%,Tackles OTR,Tackles BTR,Tackles OT%,Tackles BT%,Hitouts OTR,Hitouts BTR,Hitouts OT%,Hitouts BT%,Goal Assists OTR,Goal Assists BTR,Goal Assists OT%,Goal Assists BT%,Inside 50s OTR,Inside 50s BTR,Inside 50s OT%,Inside 50s BT%,Clearances OTR,Clearances BTR,Clearances OT%,Clearances BT%,Clangers OTR,Clangers BTR,Clangers OT%,Clangers BT%,Rebound 50s OTR,Rebound 50s BTR,Rebound 50s OT%,Rebound 50s BT%,Frees For OTR,Frees For BTR,Frees For OT%,Frees For BT%,Frees Agains OTR,Frees Agains BTR,Frees Agains OT%,Frees Agains BT%,Contested Possessions OTR,Contested Possessions BTR,Contested Possessions OT%,Contested Possessions BT%,Uncontested Possessions OTR,Uncontested Possessions BTR,Uncontested Possessions OT%,Uncontested Possessions BT%,Effective Disposals OTR,Effective Disposals BTR,Effective Disposals OT%,Effective Disposals BT%,Disposal Efficiency % OTR,Disposal Efficiency % BTR,Contested Marks OTR,Contested Marks BTR,Contested Marks OT%,Contested Marks BT%,Marks Inside 50 OTR,Marks Inside 50 BTR,Marks Inside 50 OT%,Marks Inside 50 BT%,One Percenters OTR,One Percenters BTR,One Percenters OT%,One Percenters BT%,Bounces OTR,Bounces BTR,Bounces OT%,Bounces BT%,Centre Clearances OTR,Centre Clearances BTR,Centre Clearances OT%,Centre Clearances BT%,Stoppage Clearances OTR,Stoppage Clearances BTR,Stoppage Clearances OT%,Stoppage Clearances BT%,Score Involvements OTR,Score Involvements BTR,Score Involvements OT%,Score Involvements BT%,Metres Gained OTR,Metres Gained BTR,Metres Gained OT%,Metres Gained BT%,Turnovers OTR,Turnovers BTR,Turnovers OT%,Turnovers BT%,Intercepts OTR,Intercepts BTR,Intercepts OT%,Intercepts BT%,Tackles Inside 50 OTR,Tackles Inside 50 BTR,Tackles Inside 50 OT%,Tackles Inside 50 BT%,Time On Ground % OTR,Time On Ground % BTR,Time On Ground % OT%,Time On Ground % BT%,Winloss,Brownlow Votes
Trent Cotchin,1.5,1.5,0.09813084112149532,0.054404145077720206,5.0,9.0,0.0718954248366013,0.03559870550161812,1.0,1.5,0.08719346049046321,0.0460431654676259,7.0,8.0,0.058823529411764705,0.03488372093023256,4.0,7.0,0.125,0.06451612903225806,3.5,7.0,0.16666666666666666,0.07142857142857142,9.0,15.0,0.047619047619047616,0.025423728813559324,13.0,25.5,0.0,0.0,7.5,12.5,0.06666666666666667,0.038461538461538464,1.0,1.5,0.15217391304347827,0.0707070707070707,1.5,3.0,0.17142857142857143,0.08,8.0,18.5,0.058823529411764705,0.02531645569620253,9.0,18.0,0.029411764705882353,0.01818181818181818,2.0,2.5,0.14285714285714285,0.08823529411764706,7.0,11.0,0.0,0.0,1.0,1.0,0.14516129032258066,0.0728744939271255,8.0,12.0,0.05416666666666667,0.029213483146067417,4.5,5.5,0.06884057971014493,0.036893203883495145,21.0,41.0,6.0,10.5,0.09090909090909091,0.05,5.0,12.5,0.09090909090909091,0.034482758620689655,13.0,23.0,0.02702702702702703,0.015151515151515152,12.5,25.0,0.0,0.0,2.0,3.0,0.2222222222222222,0.12903225806451613,4.0,8.5,0.11764705882352941,0.045454545454545456,1.0,1.0,0.09917355371900827,0.05333333333333334,3.0,5.0,0.08323609490470633,0.04208456243854474,21.0,41.5,0.11538461538461539,0.05714285714285714,4.0,7.0,0.09615384615384616,0.04807692307692308,12.5,28.0,0.0,0.0,9.5,18.5,0.04833333333333333,0.02414654454621149,1,3
Brett Deledio,3.5,3.5,0.0794392523364486,0.04404145077720207,2.5,5.0,0.08496732026143791,0.042071197411003236,2.0,3.0,0.08174386920980926,0.04316546762589928,1.0,1.0,0.12745098039215685,0.0755813953488372,4.0,7.0,0.125,0.06451612903225806,1.5,2.5,0.3333333333333333,0.14285714285714285,13.0,25.0,0.031746031746031744,0.01694915254237288,13.0,25.5,0.0,0.0,3.0,4.0,0.13333333333333333,0.07692307692307693,7.0,13.0,0.06521739130434782,0.030303030303030304,5.5,10.5,0.08571428571428572,0.04,2.5,5.5,0.11764705882352941,0.05063291139240506,9.0,18.0,0.029411764705882353,0.01818181818181818,5.0,6.5,0.09523809523809523,0.058823529411764705,16.0,29.0,0.07692307692307693,0.029411764705882353,2.0,4.0,0.08064516129032258,0.04048582995951417,2.0,2.0,0.08333333333333333,0.0449438202247191,4.5,5.5,0.06884057971014493,0.036893203883495145,20.0,37.0,1.5,2.0,0.18181818181818182,0.1,1.5,3.0,0.2727272727272727,0.10344827586206896,19.5,37.5,0.0,0.0,12.5,25.0,0.0,0.0,6.5,11.0,0.05555555555555555,0.03225806451612903,4.0,8.5,0.11764705882352941,0.045454545454545456,4.0,5.0,0.08264462809917356,0.044444444444444446,5.0,7.0,0.0822637106184364,0.0415929203539823,21.0,41.5,0.11538461538461539,0.05714285714285714,14.0,29.5,0.019230769230769232,0.009615384615384616,12.5,28.0,0.0,0.0,9.5,18.5,0.04833333333333333,0.02414654454621149,1,1
Brandon Ellis,5.5,5.5,0.07476635514018691,0.04145077720207254,2.5,5.0,0.08496732026143791,0.042071197411003236,3.0,4.0,0.07901907356948229,0.041726618705035974,3.5,4.5,0.0784313725490196,0.046511627906976744,7.0,14.0,0.0625,0.03225806451612903,1.5,2.5,0.3333333333333333,0.14285714285714285,5.0,7.0,0.07936507936507936,0.0423728813559322,13.0,25.5,0.0,0.0,16.5,32.0,0.0,0.0,7.0,13.0,0.06521739130434782,0.030303030303030304,9.0,16.5,0.05714285714285714,0.02666666666666667,2.5,5.5,0.11764705882352941,0.05063291139240506,17.5,35.0,0.0,0.0,9.5,15.5,0.047619047619047616,0.029411764705882353,7.0,11.0,0.0,0.0,10.5,18.0,0.04838709677419355,0.024291497975708502,1.0,1.0,0.09583333333333334,0.051685393258426963,3.0,4.0,0.07246376811594203,0.038834951456310676,15.0,28.0,16.0,31.0,0.0,0.0,14.5,30.5,0.0,0.0,19.5,37.5,0.0,0.0,12.5,25.0,0.0,0.0,4.0,6.5,0.1111111111111111,0.06451612903225806,16.0,33.0,0.0,0.0,5.5,8.5,0.06611570247933884,0.035555555555555556,8.0,12.0,0.06262154803578374,0.03166175024582104,19.0,38.5,0.09615384615384616,0.047619047619047616,10.0,20.0,0.038461538461538464,0.019230769230769232,12.5,28.0,0.0,0.0,12.0,23.0,0.04777777777777778,0.023868998057174576,1,0
Shaun Grigg,3.5,3.5,0.0794392523364486,0.04404145077720207,5.0,9.0,0.0718954248366013,0.03559870550161812,4.0,5.0,0.07629427792915532,0.04028776978417266,5.0,6.0,0.06862745098039216,0.040697674418604654,4.0,7.0,0.125,0.06451612903225806,13.5,27.5,0.0,0.0,13.0,25.0,0.031746031746031744,0.01694915254237288,13.0,25.5,0.0,0.0,1.0,1.5,0.2,0.11538461538461539,2.5,5.0,0.10869565217391304,0.050505050505050504,5.5,10.5,0.08571428571428572,0.04,13.0,27.5,0.029411764705882353,0.012658227848101266,17.5,35.0,0.0,0.0,17.5,33.5,0.0,0.0,7.0,11.0,0.0,0.0,5.5,9.5,0.06451612903225806,0.032388663967611336,3.0,3.0,0.07916666666666666,0.04269662921348315,1.0,1.0,0.09057971014492754,0.04854368932038835,5.0,9.0,6.0,10.5,0.09090909090909091,0.05,14.5,30.5,0.0,0.0,19.5,37.5,0.0,0.0,12.5,25.0,0.0,0.0,15.0,29.0,0.0,0.0,2.0,4.5,0.17647058823529413,0.06818181818181818,2.5,2.5,0.09090909090909091,0.04888888888888889,2.0,3.0,0.08673667833527811,0.04385447394296952,12.5,24.0,0.038461538461538464,0.01904761904761905,7.5,14.0,0.057692307692307696,0.028846153846153848,12.5,28.0,0.0,0.0,16.5,32.5,0.045,0.022481265611990008,1,0
Dustin Martin,1.5,1.5,0.09813084112149532,0.054404145077720206,14.5,28.0,0.032679738562091505,0.016181229773462782,5.0,6.0,0.07084468664850137,0.03741007194244604,7.0,8.0,0.058823529411764705,0.03488372093023256,15.5,31.0,0.0,0.0,13.5,27.5,0.0,0.0,3.0,5.0,0.09523809523809523,0.05084745762711865,13.0,25.5,0.0,0.0,16.5,32.0,0.0,0.0,7.0,13.0,0.06521739130434782,0.030303030303030304,1.5,3.0,0.17142857142857143,0.08,1.0,2.5,0.14705882352941177,0.06329113924050633,4.5,6.0,0.08823529411764706,0.05454545454545454,17.5,33.5,0.0,0.0,20.5,39.5,0.15384615384615385,0.058823529411764705,5.5,9.5,0.06451612903225806,0.032388663967611336,4.0,4.0,0.075,0.04044943820224719,7.0,8.0,0.06159420289855073,0.03300970873786408,19.0,34.5,16.0,31.0,0.0,0.0,14.5,30.5,0.0,0.0,8.5,13.5,0.05405405405405406,0.030303030303030304,12.5,25.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.1935483870967742,16.0,33.0,0.0,0.0,2.5,2.5,0.09090909090909091,0.04888888888888889,1.0,2.0,0.08693115519253208,0.043952802359882005,21.0,41.5,0.11538461538461539,0.05714285714285714,10.0,20.0,0.038461538461538464,0.019230769230769232,12.5,28.0,0.0,0.0,14.5,29.5,0.04611111111111111,0.023036358590063834,1,0
Alex Rance,12.5,23.0,0.037383177570093455,0.02072538860103627,1.0,2.5,0.09803921568627451,0.04854368932038835,6.0,7.5,0.06267029972752043,0.033093525179856115,7.0,8.0,0.058823529411764705,0.03488372093023256,15.5,31.0,0.0,0.0,13.5,27.5,0.0,0.0,5.0,7.0,0.07936507936507936,0.0423728813559322,3.0,5.0,0.046511627906976744,0.02631578947368421,7.5,12.5,0.06666666666666667,0.038461538461538464,14.5,32.0,0.021739130434782608,0.010101010101010102,17.0,34.5,0.0,0.0,19.0,38.5,0.0,0.0,3.0,3.5,0.11764705882352941,0.07272727272727272,5.0,6.5,0.09523809523809523,0.058823529411764705,7.0,11.0,0.0,0.0,5.5,9.5,0.06451612903225806,0.032388663967611336,6.0,8.5,0.058333333333333334,0.03146067415730337,2.0,2.5,0.07971014492753623,0.04271844660194175,4.0,6.0,6.0,10.5,0.09090909090909091,0.05,14.5,30.5,0.0,0.0,2.5,4.0,0.10810810810810811,0.06060606060606061,12.5,25.0,0.0,0.0,15.0,29.0,0.0,0.0,16.0,33.0,0.0,0.0,8.0,13.0,0.05785123966942149,0.03111111111111111,11.0,17.0,0.054453520031116295,0.02753195673549656,2.0,3.5,0.0,0.0,1.0,1.0,0.19230769230769232,0.09615384615384616,12.5,28.0,0.0,0.0,2.0,2.0,0.05444444444444444,0.02719955592561754,1,0
Bachar Houli,9.5,14.0,0.0514018691588785,0.02849740932642487,5.0,9.0,0.0718954248366013,0.03559870550161812,7.0,9.5,0.05994550408719346,0.031654676258992806,12.0,19.5,0.0392156862745098,0.023255813953488372,15.5,31.0,0.0,0.0,13.5,27.5,0.0,0.0,5.0,7.0,0.07936507936507936,0.0423728813559322,13.0,25.5,0.0,0.0,16.5,32.0,0.0,0.0,7.0,13.0,0.06521739130434782,0.030303030303030304,17.0,34.5,0.0,0.0,19.0,38.5,0.0,0.0,1.0,1.0,0.2647058823529412,0.16363636363636364,9.5,15.5,0.047619047619047616,0.029411764705882353,7.0,11.0,0.0,0.0,14.0,29.5,0.03225806451612903,0.016194331983805668,5.0,5.0,0.06666666666666667,0.035955056179775284,6.0,7.0,0.06521739130434782,0.03495145631067961,10.0,16.0,16.0,31.0,0.0,0.0,14.5,30.5,0.0,0.0,2.5,4.0,0.10810810810810811,0.06060606060606061,1.0,1.5,0.6666666666666666,0.2857142857142857,15.0,29.0,0.0,0.0,16.0,33.0,0.0,0.0,10.5,21.5,0.04132231404958678,0.022222222222222223,4.0,6.0,0.08284714119019837,0.04188790560471976,12.5,24.0,0.038461538461538464,0.01904761904761905,2.0,3.5,0.11538461538461539,0.057692307692307696,12.5,28.0,0.0,0.0,9.5,18.5,0.04833333333333333,0.02414654454621149,1,0
Anthony Miles,5.5,5.5,0.07476635514018691,0.04145077720207254,14.5,28.0,0.032679738562091505,0.016181229773462782,8.0,11.0,0.05722070844686648,0.030215827338129497,10.0,13.0,0.049019607843137254,0.029069767441860465,15.5,31.0,0.0,0.0,13.5,27.5,0.0,0.0,1.5,3.0,0.1111111111111111,0.059322033898305086,13.0,25.5,0.0,0.0,16.5,32.0,0.0,0.0,4.0,7.5,0.08695652173913043,0.04040404040404041,3.0,5.5,0.11428571428571428,0.05333333333333334,8.0,18.5,0.058823529411764705,0.02531645569620253,2.0,2.0,0.23529411764705882,0.14545454545454545,2.0,2.5,0.14285714285714285,0.08823529411764706,16.0,29.0,0.07692307692307693,0.029411764705882353,3.0,5.5,0.07258064516129033,0.03643724696356275,10.0,15.5,0.05,0.02696629213483146,8.5,15.0,0.050724637681159424,0.027184466019417475,17.0,32.0,16.0,31.0,0.0,0.0,14.5,30.5,0.0,0.0,19.5,37.5,0.0,0.0,12.5,25.0,0.0,0.0,15.0,29.0,0.0,0.0,1.0,2.5,0.23529411764705882,0.09090909090909091,13.0,26.0,0.03305785123966942,0.017777777777777778,7.0,9.0,0.06962271489692727,0.0352015732546706,17.5,35.0,0.07692307692307693,0.0380952380952381,14.0,29.5,0.019230769230769232,0.009615384615384616,12.5,28.0,0.0,0.0,7.0,15.0,0.04888888888888889,0.024424091035248403,1,0
Troy Chaplin,9.5,14.0,0.0514018691588785,0.02849740932642487,10.5,22.5,0.0392156862745098,0.019417475728155338,10.0,17.5,0.04632152588555858,0.02446043165467626,2.0,2.5,0.09803921568627451,0.05813953488372093,15.5,31.0,0.0,0.0,13.5,27.5,0.0,0.0,18.0,35.5,0.015873015873015872,0.00847457627118644,13.0,25.5,0.0,0.0,16.5,32.0,0.0,0.0,19.0,39.5,0.0,0.0,17.0,34.5,0.0,0.0,19.0,38.5,0.0,0.0,9.0,18.0,0.029411764705882353,0.01818181818181818,17.5,33.5,0.0,0.0,7.0,11.0,0.0,0.0,14.0,29.5,0.03225806451612903,0.016194331983805668,8.0,12.0,0.05416666666666667,0.029213483146067417,8.5,15.0,0.050724637681159424,0.027184466019417475,9.0,15.0,6.0,10.5,0.09090909090909091,0.05,14.5,30.5,0.0,0.0,8.5,13.5,0.05405405405405406,0.030303030303030304,12.5,25.0,0.0,0.0,15.0,29.0,0.0,0.0,16.0,33.0,0.0,0.0,16.5,31.0,0.024793388429752067,0.013333333333333334,16.0,33.5,0.023726176584986387,0.011996066863323501,6.5,12.5,0.019230769230769232,0.009523809523809525,4.0,7.0,0.09615384615384616,0.04807692307692308,12.5,28.0,0.0,0.0,1.0,1.0,0.055,0.027477102414654453,1,0
Jack Riewoldt,7.0,9.5,0.056074766355140186,0.031088082901554404,14.5,28.0,0.032679738562091505,0.016181229773462782,10.0,17.5,0.04632152588555858,0.02446043165467626,3.5,4.5,0.0784313725490196,0.046511627906976744,1.0,1.0,0.25,0.12903225806451613,13.5,27.5,0.0,0.0,9.0,15.0,0.047619047619047616,0.025423728813559324,13.0,25.5,0.0,0.0,3.0,4.0,0.13333333333333333,0.07692307692307693,11.5,23.5,0.043478260869565216,0.020202020202020204,17.0,34.5,0.0,0.0,8.0,18.5,0.058823529411764705,0.02531645569620253,17.5,35.0,0.0,0.0,17.5,33.5,0.0,0.0,20.5,39.5,0.15384615384615385,0.058823529411764705,8.5,14.0,0.056451612903225805,0.02834008097165992,12.0,22.0,0.041666666666666664,0.02247191011235955,11.0,19.5,0.043478260869565216,0.02330097087378641,13.5,26.0,6.0,10.5,0.09090909090909091,0.05,1.5,3.0,0.2727272727272727,0.10344827586206896,13.0,23.0,0.02702702702702703,0.015151515151515152,12.5,25.0,0.0,0.0,15.0,29.0,0.0,0.0,16.0,33.0,0.0,0.0,8.0,13.0,0.05785123966942149,0.03111111111111111,9.0,14.0,0.058926487747957994,0.029793510324483775,12.5,24.0,0.038461538461538464,0.01904761904761905,10.0,20.0,0.038461538461538464,0.019230769230769232,12.5,28.0,0.0,0.0,4.0,8.0,0.051666666666666666,0.025811823480432972,1,0
