Player,Kicks OTR,Kicks BTR,Kicks OT%,Kicks BT%,Handballs OTR,Handballs BTR,Handballs OT%,Handballs BT%,Disposals OTR,Disposals BTR,Disposals OT%,Disposals BT%,Marks OTR,Marks BTR,Marks OT%,Marks BT%,Goals OTR,Goals BTR,Goals OT%,Goals BT%,Behinds OTR,Behinds BTR,Behinds OT%,Behinds BT%,Tackles OTR,Tackles BTR,Tackles OT%,Tackles BT%,Hitouts OTR,Hitouts BTR,Hitouts OT%,Hitouts BT%,Goal Assists OTR,Goal Assists BTR,Goal Assists OT%,Goal Assists BT%,Inside 50s OTR,Inside 50s BTR,Inside 50s OT%,Inside 50s BT%,Clearances OTR,Clearances BTR,Clearances OT%,Clearances BT%,Clangers OTR,Clangers BTR,Clangers OT%,Clangers BT%,Rebound 50s OTR,Rebound 50s BTR,Rebound 50s OT%,Rebound 50s BT%,Frees For OTR,Frees For BTR,Frees For OT%,Frees For BT%,Frees Agains OTR,Frees Agains BTR,Frees Agains OT%,Frees Agains BT%,Contested Possessions OTR,Contested Possessions BTR,Contested Possessions OT%,Contested Possessions BT%,Uncontested Possessions OTR,Uncontested Possessions BTR,Uncontested Possessions OT%,Uncontested Possessions BT%,Effective Disposals OTR,Effective Disposals BTR,Effective Disposals OT%,Effective Disposals BT%,Disposal Efficiency % OTR,Disposal Efficiency % BTR,Contested Marks OTR,Contested Marks BTR,Contested Marks OT%,Contested Marks BT%,Marks Inside 50 OTR,Marks Inside 50 BTR,Marks Inside 50 OT%,Marks Inside 50 BT%,One Percenters OTR,One Percenters BTR,One Percenters OT%,One Percenters BT%,Bounces OTR,Bounces BTR,Bounces OT%,Bounces BT%,Centre Clearances OTR,Centre Clearances BTR,Centre Clearances OT%,Centre Clearances BT%,Stoppage Clearances OTR,Stoppage Clearances BTR,Stoppage Clearances OT%,Stoppage Clearances BT%,Score Involvements OTR,Score Involvements BTR,Score Involvements OT%,Score Involvements BT%,Metres Gained OTR,Metres Gained BTR,Metres Gained OT%,Metres Gained BT%,Turnovers OTR,Turnovers BTR,Turnovers OT%,Turnovers BT%,Intercepts OTR,Intercepts BTR,Intercepts OT%,Intercepts BT%,Tackles Inside 50 OTR,Tackles Inside 50 BTR,Tackles Inside 50 OT%,Tackles Inside 50 BT%,Time On Ground % OTR,Time On Ground % BTR,Time On Ground % OT%,Time On Ground % BT%,Winloss,Brownlow Votes
Sam Gray,2.0,3.0,0.08294930875576037,0.04090909090909091,1.0,1.0,0.11585365853658537,0.051490514905149054,1.0,1.0,0.09711286089238845,0.04573547589616811,5.5,8.5,0.078125,0.03731343283582089,16.5,32.5,0.0,0.0,6.0,8.5,0.08333333333333333,0.058823529411764705,16.0,25.5,0.02830188679245283,0.016853932584269662,13.0,26.5,0.0,0.0,6.5,12.5,0.08333333333333333,0.041666666666666664,1.0,3.5,0.09836065573770492,0.05042016806722689,3.0,6.5,0.13636363636363635,0.05714285714285714,2.5,6.0,0.11904761904761904,0.049019607843137254,4.5,10.0,0.07894736842105263,0.03896103896103896,7.5,12.0,0.0625,0.037037037037037035,17.0,33.0,0.09090909090909091,0.037037037037037035,1.0,2.0,0.096045197740113,0.04956268221574344,1.0,3.0,0.10396039603960396,0.04585152838427948,1.0,1.0,0.09881422924901186,0.04655493482309125,12.0,24.0,16.0,28.5,0.0,0.0,7.0,12.0,0.07692307692307693,0.04,20.5,40.5,0.0,0.0,5.0,6.0,0.1111111111111111,0.09090909090909091,3.0,7.0,0.14285714285714285,0.05714285714285714,2.0,5.5,0.13333333333333333,0.05714285714285714,6.5,9.0,0.06557377049180328,0.03686635944700461,2,3.0,0.09309951525520388,0.04876773711725168,20.5,39.5,0.09411764705882353,0.0446927374301676,5.0,9.5,0.07446808510638298,0.03888888888888889,16.0,30.5,0.0,0.0,20.0,38.0,0.03944444444444444,0.01972770213948319,1,0
Jasper Pittard,1.0,1.5,0.08755760368663594,0.04318181818181818,9.0,21.5,0.04878048780487805,0.02168021680216802,2.0,6.5,0.07086614173228346,0.03337453646477132,2.5,3.5,0.09375,0.04477611940298507,16.5,32.5,0.0,0.0,15.0,28.0,0.0,0.0,22.0,41.5,0.009433962264150943,0.0056179775280898875,13.0,26.5,0.0,0.0,16.5,32.0,0.0,0.0,5.5,11.0,0.06557377049180328,0.03361344537815126,19.0,38.0,0.0,0.0,4.0,10.5,0.09523809523809523,0.0392156862745098,1.0,2.0,0.18421052631578946,0.09090909090909091,17.0,31.0,0.0,0.0,7.5,14.0,0.0,0.0,11.5,20.0,0.04519774011299435,0.023323615160349854,3.0,11.0,0.06930693069306931,0.03056768558951965,3.0,8.0,0.06719367588932806,0.03165735567970205,15.0,29.0,6.5,9.0,0.07692307692307693,0.05555555555555555,15.0,29.5,0.0,0.0,4.5,9.5,0.07547169811320754,0.034782608695652174,1.5,1.5,0.2222222222222222,0.18181818181818182,15.0,31.0,0.0,0.0,18.5,36.5,0.0,0.0,12.0,19.5,0.040983606557377046,0.02304147465437788,1,1.0,0.11120615911035073,0.05825242718446602,20.5,39.5,0.09411764705882353,0.0446927374301676,1.0,1.0,0.14893617021276595,0.07777777777777778,16.0,30.5,0.0,0.0,10.0,17.5,0.04833333333333333,0.024173381494859682,1,0
Robbie Gray,5.5,11.0,0.06451612903225806,0.031818181818181815,3.0,9.0,0.07317073170731707,0.032520325203252036,3.5,9.0,0.06824146981627296,0.032138442521631644,7.5,14.0,0.0625,0.029850746268656716,1.0,1.0,0.2,0.11428571428571428,3.0,3.5,0.16666666666666666,0.11764705882352941,10.0,15.0,0.04716981132075472,0.028089887640449437,13.0,26.5,0.0,0.0,6.5,12.5,0.08333333333333333,0.041666666666666664,5.5,11.0,0.06557377049180328,0.03361344537815126,1.0,2.0,0.18181818181818182,0.0761904761904762,14.0,30.5,0.023809523809523808,0.00980392156862745,4.5,10.0,0.07894736842105263,0.03896103896103896,7.5,12.0,0.0625,0.037037037037037035,7.5,14.0,0.0,0.0,2.0,4.0,0.07909604519774012,0.04081632653061224,4.5,12.5,0.06435643564356436,0.028384279475982533,2.0,3.5,0.07509881422924901,0.035381750465549346,8.0,14.0,6.5,9.0,0.07692307692307693,0.05555555555555555,3.5,6.0,0.15384615384615385,0.08,20.5,40.5,0.0,0.0,1.5,1.5,0.2222222222222222,0.18181818181818182,1.0,2.0,0.35714285714285715,0.14285714285714285,3.0,8.5,0.1,0.04285714285714286,1.0,1.0,0.09016393442622951,0.05069124423963134,4,8.0,0.07214143142286855,0.037789395070948466,18.0,32.5,0.07058823529411765,0.0335195530726257,18.0,35.0,0.010638297872340425,0.005555555555555556,7.5,12.5,0.05263157894736842,0.034482758620689655,3.0,4.5,0.05277777777777778,0.02639622117254793,1,3
Matthew Broadbent,5.5,11.0,0.06451612903225806,0.031818181818181815,3.0,9.0,0.07317073170731707,0.032520325203252036,3.5,9.0,0.06824146981627296,0.032138442521631644,18.5,39.0,0.015625,0.007462686567164179,8.0,15.0,0.05,0.02857142857142857,15.0,28.0,0.0,0.0,13.0,20.0,0.03773584905660377,0.02247191011235955,13.0,26.5,0.0,0.0,6.5,12.5,0.08333333333333333,0.041666666666666664,10.0,18.5,0.04918032786885246,0.025210084033613446,13.5,26.5,0.022727272727272728,0.009523809523809525,6.0,15.5,0.07142857142857142,0.029411764705882353,2.0,4.5,0.15789473684210525,0.07792207792207792,17.0,31.0,0.0,0.0,7.5,14.0,0.0,0.0,8.0,15.5,0.05084745762711865,0.026239067055393587,4.5,12.5,0.06435643564356436,0.028384279475982533,5.5,12.5,0.06324110671936758,0.0297951582867784,16.0,32.0,6.5,9.0,0.07692307692307693,0.05555555555555555,15.0,29.5,0.0,0.0,15.5,31.5,0.018867924528301886,0.008695652173913044,5.0,6.0,0.1111111111111111,0.09090909090909091,15.0,31.0,0.0,0.0,12.0,23.0,0.03333333333333333,0.014285714285714285,2.5,2.5,0.08196721311475409,0.04608294930875576,3,5.5,0.07613344739093242,0.039880507841672894,16.0,28.0,0.058823529411764705,0.027932960893854747,3.0,6.5,0.0851063829787234,0.044444444444444446,16.0,30.5,0.0,0.0,6.0,10.0,0.050555555555555555,0.025284801333703807,1,0
Brad Ebert,3.0,4.5,0.07834101382488479,0.038636363636363635,9.0,21.5,0.04878048780487805,0.02168021680216802,5.0,11.5,0.06561679790026247,0.030902348578491966,7.5,14.0,0.0625,0.029850746268656716,3.0,3.5,0.15,0.08571428571428572,15.0,28.0,0.0,0.0,4.0,5.0,0.07547169811320754,0.0449438202247191,13.0,26.5,0.0,0.0,6.5,12.5,0.08333333333333333,0.041666666666666664,3.0,6.5,0.08196721311475409,0.04201680672268908,9.0,18.5,0.045454545454545456,0.01904761904761905,1.0,2.5,0.14285714285714285,0.058823529411764705,20.0,37.0,0.0,0.0,7.5,12.0,0.0625,0.037037037037037035,21.0,40.0,0.18181818181818182,0.07407407407407407,4.0,7.5,0.06779661016949153,0.03498542274052478,2.0,9.0,0.07425742574257425,0.03275109170305677,8.0,17.0,0.05928853754940711,0.027932960893854747,17.0,33.5,6.5,9.0,0.07692307692307693,0.05555555555555555,15.0,29.5,0.0,0.0,15.5,31.5,0.018867924528301886,0.008695652173913044,15.0,27.0,0.0,0.0,15.0,31.0,0.0,0.0,6.5,14.0,0.06666666666666667,0.02857142857142857,9.5,13.0,0.05737704918032787,0.03225806451612903,6,10.0,0.06558311947533504,0.03435399551904406,22.0,43.0,0.11764705882352941,0.055865921787709494,5.0,9.5,0.07446808510638298,0.03888888888888889,16.0,30.5,0.0,0.0,11.5,20.5,0.04777777777777778,0.02389552653514865,1,2
Hamish Hartlett,4.0,7.0,0.07373271889400922,0.03636363636363636,9.0,21.5,0.04878048780487805,0.02168021680216802,6.5,13.5,0.06299212598425197,0.029666254635352288,5.5,8.5,0.078125,0.03731343283582089,16.5,32.5,0.0,0.0,3.0,3.5,0.16666666666666666,0.11764705882352941,1.5,2.0,0.08490566037735849,0.05056179775280899,13.0,26.5,0.0,0.0,6.5,12.5,0.08333333333333333,0.041666666666666664,15.5,27.0,0.03278688524590164,0.01680672268907563,5.0,13.0,0.06818181818181818,0.02857142857142857,6.0,15.5,0.07142857142857142,0.029411764705882353,7.0,14.5,0.05263157894736842,0.025974025974025976,7.5,12.0,0.0625,0.037037037037037035,7.5,14.0,0.0,0.0,4.0,7.5,0.06779661016949153,0.03498542274052478,9.0,20.5,0.054455445544554455,0.024017467248908297,13.5,28.0,0.039525691699604744,0.0186219739292365,21.0,43.0,2.5,3.5,0.15384615384615385,0.1111111111111111,3.5,6.0,0.15384615384615385,0.08,10.0,22.0,0.03773584905660377,0.017391304347826087,15.0,27.0,0.0,0.0,6.0,13.5,0.07142857142857142,0.02857142857142857,6.5,14.0,0.06666666666666667,0.02857142857142857,12.0,19.5,0.040983606557377046,0.02304147465437788,5,9.0,0.07071571143427431,0.037042569081404034,19.0,36.0,0.08235294117647059,0.03910614525139665,7.5,15.5,0.05319148936170213,0.027777777777777776,7.5,12.5,0.05263157894736842,0.034482758620689655,18.5,34.5,0.041666666666666664,0.020839121978327314,1,0
Oliver Wines,9.5,17.0,0.055299539170506916,0.02727272727272727,3.0,9.0,0.07317073170731707,0.032520325203252036,6.5,13.5,0.06299212598425197,0.029666254635352288,18.5,39.0,0.015625,0.007462686567164179,8.0,15.0,0.05,0.02857142857142857,15.0,28.0,0.0,0.0,10.0,15.0,0.04716981132075472,0.028089887640449437,13.0,26.5,0.0,0.0,16.5,32.0,0.0,0.0,15.5,27.0,0.03278688524590164,0.01680672268907563,2.0,3.5,0.1590909090909091,0.06666666666666667,2.5,6.0,0.11904761904761904,0.049019607843137254,13.0,23.0,0.02631578947368421,0.012987012987012988,7.5,12.0,0.0625,0.037037037037037035,17.0,33.0,0.09090909090909091,0.037037037037037035,4.0,7.5,0.06779661016949153,0.03498542274052478,6.5,15.5,0.0594059405940594,0.026200873362445413,5.5,12.5,0.06324110671936758,0.0297951582867784,13.5,26.0,16.0,28.5,0.0,0.0,15.0,29.5,0.0,0.0,10.0,22.0,0.03773584905660377,0.017391304347826087,15.0,27.0,0.0,0.0,6.0,13.5,0.07142857142857142,0.02857142857142857,1.0,2.5,0.2,0.08571428571428572,14.5,24.5,0.03278688524590164,0.018433179723502304,7,12.0,0.06387225548902195,0.03345780433159074,16.0,28.0,0.058823529411764705,0.027932960893854747,10.0,19.5,0.0425531914893617,0.022222222222222223,16.0,30.5,0.0,0.0,16.0,29.0,0.04388888888888889,0.021950541817171435,1,0
Chad Wingard,7.5,14.5,0.059907834101382486,0.029545454545454545,9.0,21.5,0.04878048780487805,0.02168021680216802,8.0,17.5,0.05511811023622047,0.02595797280593325,14.0,30.5,0.03125,0.014925373134328358,3.0,3.5,0.15,0.08571428571428572,15.0,28.0,0.0,0.0,1.5,2.0,0.08490566037735849,0.05056179775280899,13.0,26.5,0.0,0.0,1.5,3.0,0.16666666666666666,0.08333333333333333,10.0,18.5,0.04918032786885246,0.025210084033613446,5.0,13.0,0.06818181818181818,0.02857142857142857,14.0,30.5,0.023809523809523808,0.00980392156862745,7.0,14.5,0.05263157894736842,0.025974025974025976,7.5,12.0,0.0625,0.037037037037037035,7.5,14.0,0.0,0.0,6.0,10.5,0.062146892655367235,0.03206997084548105,9.0,20.5,0.054455445544554455,0.024017467248908297,5.5,12.5,0.06324110671936758,0.0297951582867784,5.0,11.0,6.5,9.0,0.07692307692307693,0.05555555555555555,15.0,29.5,0.0,0.0,6.5,15.0,0.05660377358490566,0.02608695652173913,5.0,6.0,0.1111111111111111,0.09090909090909091,6.0,13.5,0.07142857142857142,0.02857142857142857,6.5,14.0,0.06666666666666667,0.02857142857142857,6.5,9.0,0.06557377049180328,0.03686635944700461,10,15.0,0.05446250356429997,0.02852875280059746,11.0,20.0,0.03529411764705882,0.01675977653631285,16.0,29.0,0.02127659574468085,0.011111111111111112,1.5,1.5,0.21052631578947367,0.13793103448275862,1.0,1.5,0.05444444444444444,0.027229786051681023,1,0
Jackson Trengove,9.5,17.0,0.055299539170506916,0.02727272727272727,13.0,27.5,0.042682926829268296,0.018970189701897018,9.5,22.0,0.049868766404199474,0.023485784919653894,2.5,3.5,0.09375,0.04477611940298507,16.5,32.5,0.0,0.0,15.0,28.0,0.0,0.0,20.0,34.0,0.018867924528301886,0.011235955056179775,2.0,4.0,0.08163265306122448,0.034782608695652174,16.5,32.0,0.0,0.0,15.5,27.0,0.03278688524590164,0.01680672268907563,19.0,38.0,0.0,0.0,19.0,39.5,0.0,0.0,3.0,6.5,0.10526315789473684,0.05194805194805195,17.0,31.0,0.0,0.0,7.5,14.0,0.0,0.0,11.5,20.0,0.04519774011299435,0.023323615160349854,11.5,25.0,0.04950495049504951,0.021834061135371178,5.5,12.5,0.06324110671936758,0.0297951582867784,3.0,4.0,16.0,28.5,0.0,0.0,15.0,29.5,0.0,0.0,2.0,4.0,0.11320754716981132,0.05217391304347826,15.0,27.0,0.0,0.0,15.0,31.0,0.0,0.0,18.5,36.5,0.0,0.0,14.5,24.5,0.03278688524590164,0.018433179723502304,9,14.0,0.05531793555745652,0.02897684839432412,11.0,20.0,0.03529411764705882,0.01675977653631285,2.0,2.0,0.1276595744680851,0.06666666666666667,16.0,30.5,0.0,0.0,15.0,26.0,0.04611111111111111,0.02306196165601556,1,0
Jared Polec,7.5,14.5,0.059907834101382486,0.029545454545454545,16.0,32.5,0.036585365853658534,0.016260162601626018,9.5,22.0,0.049868766404199474,0.023485784919653894,14.0,30.5,0.03125,0.014925373134328358,16.5,32.5,0.0,0.0,6.0,8.5,0.08333333333333333,0.058823529411764705,16.0,25.5,0.02830188679245283,0.016853932584269662,13.0,26.5,0.0,0.0,16.5,32.0,0.0,0.0,10.0,18.5,0.04918032786885246,0.025210084033613446,13.5,26.5,0.022727272727272728,0.009523809523809525,6.0,15.5,0.07142857142857142,0.029411764705882353,13.0,23.0,0.02631578947368421,0.012987012987012988,7.5,12.0,0.0625,0.037037037037037035,21.0,40.0,0.18181818181818182,0.07407407407407407,11.5,20.0,0.04519774011299435,0.023323615160349854,9.0,20.5,0.054455445544554455,0.024017467248908297,10.0,22.0,0.05138339920948617,0.024208566108007448,10.5,22.5,16.0,28.5,0.0,0.0,15.0,29.5,0.0,0.0,20.5,40.5,0.0,0.0,5.0,6.0,0.1111111111111111,0.09090909090909091,15.0,31.0,0.0,0.0,12.0,23.0,0.03333333333333333,0.014285714285714285,9.5,13.0,0.05737704918032787,0.03225806451612903,8,13.0,0.05717137154262903,0.02994772218073189,6.5,13.5,0.023529411764705882,0.0111731843575419,10.0,19.5,0.0425531914893617,0.022222222222222223,16.0,30.5,0.0,0.0,13.0,23.5,0.04722222222222222,0.02361767157543762,1,0
