Player,Kicks OTR,Kicks BTR,Kicks OT%,Kicks BT%,Handballs OTR,Handballs BTR,Handballs OT%,Handballs BT%,Disposals OTR,Disposals BTR,Disposals OT%,Disposals BT%,Marks OTR,Marks BTR,Marks OT%,Marks BT%,Goals OTR,Goals BTR,Goals OT%,Goals BT%,Behinds OTR,Behinds BTR,Behinds OT%,Behinds BT%,Tackles OTR,Tackles BTR,Tackles OT%,Tackles BT%,Hitouts OTR,Hitouts BTR,Hitouts OT%,Hitouts BT%,Goal Assists OTR,Goal Assists BTR,Goal Assists OT%,Goal Assists BT%,Inside 50s OTR,Inside 50s BTR,Inside 50s OT%,Inside 50s BT%,Clearances OTR,Clearances BTR,Clearances OT%,Clearances BT%,Clangers OTR,Clangers BTR,Clangers OT%,Clangers BT%,Rebound 50s OTR,Rebound 50s BTR,Rebound 50s OT%,Rebound 50s BT%,Frees For OTR,Frees For BTR,Frees For OT%,Frees For BT%,Frees Agains OTR,Frees Agains BTR,Frees Agains OT%,Frees Agains BT%,Contested Possessions OTR,Contested Possessions BTR,Contested Possessions OT%,Contested Possessions BT%,Uncontested Possessions OTR,Uncontested Possessions BTR,Uncontested Possessions OT%,Uncontested Possessions BT%,Effective Disposals OTR,Effective Disposals BTR,Effective Disposals OT%,Effective Disposals BT%,Disposal Efficiency % OTR,Disposal Efficiency % BTR,Contested Marks OTR,Contested Marks BTR,Contested Marks OT%,Contested Marks BT%,Marks Inside 50 OTR,Marks Inside 50 BTR,Marks Inside 50 OT%,Marks Inside 50 BT%,One Percenters OTR,One Percenters BTR,One Percenters OT%,One Percenters BT%,Bounces OTR,Bounces BTR,Bounces OT%,Bounces BT%,Centre Clearances OTR,Centre Clearances BTR,Centre Clearances OT%,Centre Clearances BT%,Stoppage Clearances OTR,Stoppage Clearances BTR,Stoppage Clearances OT%,Stoppage Clearances BT%,Score Involvements OTR,Score Involvements BTR,Score Involvements OT%,Score Involvements BT%,Metres Gained OTR,Metres Gained BTR,Metres Gained OT%,Metres Gained BT%,Turnovers OTR,Turnovers BTR,Turnovers OT%,Turnovers BT%,Intercepts OTR,Intercepts BTR,Intercepts OT%,Intercepts BT%,Tackles Inside 50 OTR,Tackles Inside 50 BTR,Tackles Inside 50 OT%,Tackles Inside 50 BT%,Time On Ground % OTR,Time On Ground % BTR,Time On Ground % OT%,Time On Ground % BT%,Winloss,Brownlow Votes
Rory Atkins,1.0,2.0,0.07883817427385892,0.04157549234135667,4.0,10.0,0.06976744186046512,0.029801324503311258,1.0,3.5,0.07567567567567568,0.03689064558629776,3.5,5.0,0.0784313725490196,0.04020100502512563,15.0,30.5,0.0,0.0,7.0,9.5,0.06666666666666667,0.05,21.0,39.5,0.0,0.0,2.5,4.5,0.06451612903225806,0.029411764705882353,16.0,30.0,0.0,0.0,2.0,2.0,0.11290322580645161,0.06140350877192982,18.0,36.0,0.0,0.0,4.5,10.0,0.0625,0.030612244897959183,3.0,6.0,0.11428571428571428,0.05128205128205128,17.5,34.0,0.0,0.0,6.0,9.5,0.0,0.0,10.5,20.5,0.04516129032258064,0.023333333333333334,1.0,1.5,0.09569377990430622,0.04405286343612335,1.0,2.0,0.08333333333333333,0.04,7.0,17.0,15.5,30.0,0.0,0.0,15.5,30.0,0.0,0.0,11.5,24.5,0.022727272727272728,0.010752688172043012,2.5,3.0,0.2,0.11764705882352941,15.0,29.5,0.0,0.0,18.0,34.5,0.0,0.0,10.0,16.0,0.05,0.0273972602739726,2.0,2.0,0.10888722927557878,0.05528171684234473,16.5,31.0,0.05714285714285714,0.02877697841726619,10.0,15.5,0.05555555555555555,0.028169014084507043,12.5,25.5,0.0,0.0,11.5,25.0,0.044975013881177126,0.02249375173562899,1,0
Brodie Smith,2.0,3.5,0.07468879668049792,0.03938730853391685,5.5,14.0,0.06201550387596899,0.026490066225165563,2.0,5.0,0.07027027027027027,0.034255599472990776,3.5,5.0,0.0784313725490196,0.04020100502512563,15.0,30.5,0.0,0.0,16.5,30.0,0.0,0.0,11.5,19.0,0.03571428571428571,0.02,13.0,25.5,0.0,0.0,5.5,9.5,0.09090909090909091,0.05263157894736842,1.0,1.0,0.12903225806451613,0.07017543859649122,6.0,8.5,0.07894736842105263,0.046153846153846156,11.5,23.0,0.041666666666666664,0.02040816326530612,1.0,2.0,0.2571428571428571,0.11538461538461539,17.5,34.0,0.0,0.0,6.0,9.5,0.0,0.0,5.5,9.0,0.06451612903225806,0.03333333333333333,4.5,11.0,0.06698564593301436,0.030837004405286344,2.0,4.5,0.07196969696969698,0.034545454545454546,10.0,22.0,2.5,4.5,0.15384615384615385,0.08,15.5,30.0,0.0,0.0,4.5,9.0,0.09090909090909091,0.043010752688172046,2.5,3.0,0.2,0.11764705882352941,4.0,6.0,0.13333333333333333,0.07692307692307693,9.5,16.5,0.043478260869565216,0.02564102564102564,7.5,12.0,0.058333333333333334,0.0319634703196347,1.0,1.0,0.11142643764002988,0.05657086524607568,21.5,42.5,0.1,0.050359712230215826,1.0,3.0,0.125,0.06338028169014084,12.5,25.5,0.0,0.0,9.0,18.5,0.04719600222098834,0.02360455429047487,1,0
Scott Thompson,14.5,27.0,0.03319502074688797,0.0175054704595186,1.0,3.0,0.10852713178294573,0.046357615894039736,3.0,8.5,0.05945945945945946,0.028985507246376812,15.5,31.5,0.029411764705882353,0.01507537688442211,15.0,30.5,0.0,0.0,16.5,30.0,0.0,0.0,3.5,6.5,0.08928571428571429,0.05,13.0,25.5,0.0,0.0,5.5,9.5,0.09090909090909091,0.05263157894736842,13.0,25.0,0.03225806451612903,0.017543859649122806,4.0,6.0,0.10526315789473684,0.06153846153846154,4.5,10.0,0.0625,0.030612244897959183,17.0,35.0,0.0,0.0,10.0,19.0,0.043478260869565216,0.023809523809523808,19.0,37.5,0.10526315789473684,0.047619047619047616,1.0,1.0,0.09032258064516129,0.04666666666666667,16.5,34.0,0.028708133971291867,0.013215859030837005,5.5,14.0,0.05303030303030303,0.025454545454545455,16.5,33.5,15.5,30.0,0.0,0.0,15.5,30.0,0.0,0.0,19.0,37.5,0.0,0.0,14.0,28.0,0.0,0.0,4.0,6.0,0.13333333333333333,0.07692307692307693,4.5,7.0,0.08695652173913043,0.05128205128205128,13.5,22.0,0.041666666666666664,0.0228310502283105,16.0,32.0,0.02628827483196415,0.013346477591567452,12.5,24.0,0.04285714285714286,0.02158273381294964,10.0,15.5,0.05555555555555555,0.028169014084507043,1.5,4.0,0.5,0.14285714285714285,20.0,38.5,0.03997779011660189,0.01999444598722577,1,0
Richard Douglas,9.0,12.0,0.058091286307053944,0.030634573304157548,8.0,22.5,0.046511627906976744,0.019867549668874173,5.0,12.0,0.05405405405405406,0.026350461133069828,21.5,43.5,0.0,0.0,15.0,30.5,0.0,0.0,7.0,9.5,0.06666666666666667,0.05,2.0,3.5,0.125,0.07,13.0,25.5,0.0,0.0,16.0,30.0,0.0,0.0,13.0,25.0,0.03225806451612903,0.017543859649122806,1.0,1.0,0.18421052631578946,0.1076923076923077,4.5,10.0,0.0625,0.030612244897959183,17.0,35.0,0.0,0.0,2.5,3.0,0.13043478260869565,0.07142857142857142,6.0,9.5,0.0,0.0,4.0,4.5,0.07741935483870968,0.04,15.0,31.0,0.03349282296650718,0.015418502202643172,5.5,14.0,0.05303030303030303,0.025454545454545455,13.0,26.0,15.5,30.0,0.0,0.0,15.5,30.0,0.0,0.0,19.0,37.5,0.0,0.0,14.0,28.0,0.0,0.0,2.0,2.5,0.2,0.11538461538461539,1.5,1.5,0.17391304347826086,0.10256410256410256,13.5,22.0,0.041666666666666664,0.0228310502283105,5.0,8.5,0.06631814787154593,0.03366952301509062,12.5,24.0,0.04285714285714286,0.02158273381294964,12.0,20.0,0.041666666666666664,0.02112676056338028,12.5,25.5,0.0,0.0,15.5,29.5,0.04386451971127152,0.021938350458206055,1,0
Daniel Talia,9.0,12.0,0.058091286307053944,0.030634573304157548,8.0,22.5,0.046511627906976744,0.019867549668874173,5.0,12.0,0.05405405405405406,0.026350461133069828,5.5,9.0,0.06862745098039216,0.035175879396984924,15.0,30.5,0.0,0.0,16.5,30.0,0.0,0.0,16.5,28.5,0.017857142857142856,0.01,13.0,25.5,0.0,0.0,16.0,30.0,0.0,0.0,21.0,41.0,0.0,0.0,11.0,20.5,0.02631578947368421,0.015384615384615385,19.0,36.5,0.020833333333333332,0.01020408163265306,3.0,6.0,0.11428571428571428,0.05128205128205128,2.5,3.0,0.13043478260869565,0.07142857142857142,14.0,25.5,0.05263157894736842,0.023809523809523808,10.5,20.5,0.04516129032258064,0.023333333333333334,7.0,15.5,0.06220095693779904,0.028634361233480177,3.0,8.5,0.06060606060606061,0.02909090909090909,6.0,16.0,2.5,4.5,0.15384615384615385,0.08,15.5,30.0,0.0,0.0,1.0,1.0,0.20454545454545456,0.0967741935483871,14.0,28.0,0.0,0.0,15.0,29.5,0.0,0.0,9.5,16.5,0.043478260869565216,0.02564102564102564,17.5,32.0,0.025,0.0136986301369863,10.0,18.0,0.04869305451829724,0.024721316448016985,6.5,14.0,0.02857142857142857,0.014388489208633094,3.0,6.0,0.09722222222222222,0.04929577464788732,12.5,25.5,0.0,0.0,4.0,6.5,0.05052748473070516,0.02527075812274368,1,0
Jarryd Lyons,4.5,7.5,0.06224066390041494,0.03282275711159737,12.0,29.5,0.03875968992248062,0.016556291390728478,5.0,12.0,0.05405405405405406,0.026350461133069828,8.5,14.5,0.058823529411764705,0.03015075376884422,5.0,11.0,0.06666666666666667,0.03571428571428571,16.5,30.0,0.0,0.0,11.5,19.0,0.03571428571428571,0.02,13.0,25.5,0.0,0.0,5.5,9.5,0.09090909090909091,0.05263157894736842,6.5,11.0,0.06451612903225806,0.03508771929824561,2.0,2.5,0.15789473684210525,0.09230769230769231,11.5,23.0,0.041666666666666664,0.02040816326530612,17.0,35.0,0.0,0.0,17.5,34.0,0.0,0.0,6.0,9.5,0.0,0.0,5.5,9.0,0.06451612903225806,0.03333333333333333,10.0,22.0,0.04784688995215311,0.022026431718061675,15.0,28.5,0.041666666666666664,0.02,21.0,40.0,15.5,30.0,0.0,0.0,7.0,12.0,0.05555555555555555,0.034482758620689655,19.0,37.5,0.0,0.0,14.0,28.0,0.0,0.0,1.0,1.0,0.26666666666666666,0.15384615384615385,4.5,7.0,0.08695652173913043,0.05128205128205128,7.5,12.0,0.058333333333333334,0.0319634703196347,9.0,15.0,0.05795369678864824,0.029422916508682794,21.5,42.5,0.1,0.050359712230215826,15.5,32.5,0.013888888888888888,0.007042253521126761,12.5,25.5,0.0,0.0,22.0,43.0,0.03553581343697946,0.01777284087753402,1,0
Tom Lynch,14.5,27.0,0.03319502074688797,0.0175054704595186,2.5,6.0,0.08527131782945736,0.03642384105960265,8.5,16.0,0.051351351351351354,0.025032938076416336,5.5,9.0,0.06862745098039216,0.035175879396984924,15.0,30.5,0.0,0.0,1.5,1.5,0.2,0.15,16.5,28.5,0.017857142857142856,0.01,13.0,25.5,0.0,0.0,16.0,30.0,0.0,0.0,13.0,25.0,0.03225806451612903,0.017543859649122806,8.0,12.0,0.05263157894736842,0.03076923076923077,11.5,23.0,0.041666666666666664,0.02040816326530612,17.0,35.0,0.0,0.0,10.0,19.0,0.043478260869565216,0.023809523809523808,6.0,9.5,0.0,0.0,7.5,12.5,0.05806451612903226,0.03,10.0,22.0,0.04784688995215311,0.022026431718061675,12.0,25.0,0.045454545454545456,0.02181818181818182,16.5,33.5,6.0,10.5,0.07692307692307693,0.04,2.0,2.5,0.16666666666666666,0.10344827586206896,19.0,37.5,0.0,0.0,14.0,28.0,0.0,0.0,6.5,11.5,0.06666666666666667,0.038461538461538464,9.5,16.5,0.043478260869565216,0.02564102564102564,4.0,5.5,0.075,0.0410958904109589,14.5,29.5,0.029424943988050786,0.014938955031470387,6.5,14.0,0.02857142857142857,0.014388489208633094,19.5,40.0,0.0,0.0,1.5,4.0,0.5,0.14285714285714285,1.0,2.0,0.05219322598556358,0.026103860038878088,1,0
Luke Brown,4.5,7.5,0.06224066390041494,0.03282275711159737,16.5,37.0,0.031007751937984496,0.013245033112582781,8.5,16.0,0.051351351351351354,0.025032938076416336,8.5,14.5,0.058823529411764705,0.03015075376884422,15.0,30.5,0.0,0.0,7.0,9.5,0.06666666666666667,0.05,16.5,28.5,0.017857142857142856,0.01,13.0,25.5,0.0,0.0,5.5,9.5,0.09090909090909091,0.05263157894736842,6.5,11.0,0.06451612903225806,0.03508771929824561,18.0,36.0,0.0,0.0,19.0,36.5,0.020833333333333332,0.01020408163265306,5.5,11.0,0.08571428571428572,0.038461538461538464,17.5,34.0,0.0,0.0,6.0,9.5,0.0,0.0,21.5,41.0,0.012903225806451613,0.006666666666666667,2.0,7.0,0.07177033492822966,0.03303964757709251,5.5,14.0,0.05303030303030303,0.025454545454545455,10.0,22.0,15.5,30.0,0.0,0.0,15.5,30.0,0.0,0.0,11.5,24.5,0.022727272727272728,0.010752688172043012,14.0,28.0,0.0,0.0,15.0,29.5,0.0,0.0,18.0,34.5,0.0,0.0,13.5,22.0,0.041666666666666664,0.0228310502283105,6.0,11.0,0.0642270351008215,0.03260787138848866,16.5,31.0,0.05714285714285714,0.02877697841726619,4.5,8.5,0.08333333333333333,0.04225352112676056,12.5,25.5,0.0,0.0,13.5,27.5,0.04441976679622432,0.022216051096917523,1,0
Charlie Cameron,9.0,12.0,0.058091286307053944,0.030634573304157548,12.0,29.5,0.03875968992248062,0.016556291390728478,8.5,16.0,0.051351351351351354,0.025032938076416336,12.5,23.5,0.0392156862745098,0.020100502512562814,15.0,30.5,0.0,0.0,7.0,9.5,0.06666666666666667,0.05,11.5,19.0,0.03571428571428571,0.02,13.0,25.5,0.0,0.0,5.5,9.5,0.09090909090909091,0.05263157894736842,4.0,6.5,0.08064516129032258,0.043859649122807015,3.0,4.5,0.13157894736842105,0.07692307692307693,19.0,36.5,0.020833333333333332,0.01020408163265306,10.5,22.0,0.02857142857142857,0.01282051282051282,17.5,34.0,0.0,0.0,6.0,9.5,0.0,0.0,9.0,16.0,0.05161290322580645,0.02666666666666667,8.0,19.0,0.05263157894736842,0.024229074889867842,9.0,20.0,0.04924242424242424,0.023636363636363636,14.0,28.0,6.0,10.5,0.07692307692307693,0.04,4.0,6.0,0.1111111111111111,0.06896551724137931,19.0,37.5,0.0,0.0,1.0,1.0,0.4,0.23529411764705882,6.5,11.5,0.06666666666666667,0.038461538461538464,1.5,1.5,0.17391304347826086,0.10256410256410256,1.5,2.0,0.08333333333333333,0.045662100456621,4.0,7.0,0.06676624346527259,0.03389701979221961,6.5,14.0,0.02857142857142857,0.014388489208633094,19.5,40.0,0.0,0.0,12.5,25.5,0.0,0.0,9.0,18.5,0.04719600222098834,0.02360455429047487,1,0
Jake Lever,9.0,12.0,0.058091286307053944,0.030634573304157548,12.0,29.5,0.03875968992248062,0.016556291390728478,8.5,16.0,0.051351351351351354,0.025032938076416336,2.0,2.5,0.08823529411764706,0.04522613065326633,15.0,30.5,0.0,0.0,16.5,30.0,0.0,0.0,21.0,39.5,0.0,0.0,13.0,25.5,0.0,0.0,16.0,30.0,0.0,0.0,17.0,33.0,0.016129032258064516,0.008771929824561403,18.0,36.0,0.0,0.0,1.0,1.0,0.14583333333333334,0.07142857142857142,3.0,6.0,0.11428571428571428,0.05128205128205128,6.0,10.0,0.08695652173913043,0.047619047619047616,22.0,43.5,0.21052631578947367,0.09523809523809523,12.5,26.5,0.03870967741935484,0.02,4.5,11.0,0.06698564593301436,0.030837004405286344,5.5,14.0,0.05303030303030303,0.025454545454545455,10.0,22.0,15.5,30.0,0.0,0.0,15.5,30.0,0.0,0.0,7.0,16.5,0.045454545454545456,0.021505376344086023,14.0,28.0,0.0,0.0,15.0,29.5,0.0,0.0,18.0,34.5,0.0,0.0,20.0,40.5,0.008333333333333333,0.0045662100456621,11.0,23.0,0.03659447348767737,0.018578903465534237,20.0,40.5,0.08571428571428572,0.04316546762589928,2.0,4.5,0.1111111111111111,0.056338028169014086,12.5,25.5,0.0,0.0,3.0,4.5,0.05108273181565797,0.025548458761455152,1,0
