Player,Kicks OTR,Kicks BTR,Kicks OT%,Kicks BT%,Handballs OTR,Handballs BTR,Handballs OT%,Handballs BT%,Disposals OTR,Disposals BTR,Disposals OT%,Disposals BT%,Marks OTR,Marks BTR,Marks OT%,Marks BT%,Goals OTR,Goals BTR,Goals OT%,Goals BT%,Behinds OTR,Behinds BTR,Behinds OT%,Behinds BT%,Tackles OTR,Tackles BTR,Tackles OT%,Tackles BT%,Hitouts OTR,Hitouts BTR,Hitouts OT%,Hitouts BT%,Goal Assists OTR,Goal Assists BTR,Goal Assists OT%,Goal Assists BT%,Inside 50s OTR,Inside 50s BTR,Inside 50s OT%,Inside 50s BT%,Clearances OTR,Clearances BTR,Clearances OT%,Clearances BT%,Clangers OTR,Clangers BTR,Clangers OT%,Clangers BT%,Rebound 50s OTR,Rebound 50s BTR,Rebound 50s OT%,Rebound 50s BT%,Frees For OTR,Frees For BTR,Frees For OT%,Frees For BT%,Frees Agains OTR,Frees Agains BTR,Frees Agains OT%,Frees Agains BT%,Contested Possessions OTR,Contested Possessions BTR,Contested Possessions OT%,Contested Possessions BT%,Uncontested Possessions OTR,Uncontested Possessions BTR,Uncontested Possessions OT%,Uncontested Possessions BT%,Effective Disposals OTR,Effective Disposals BTR,Effective Disposals OT%,Effective Disposals BT%,Disposal Efficiency % OTR,Disposal Efficiency % BTR,Contested Marks OTR,Contested Marks BTR,Contested Marks OT%,Contested Marks BT%,Marks Inside 50 OTR,Marks Inside 50 BTR,Marks Inside 50 OT%,Marks Inside 50 BT%,One Percenters OTR,One Percenters BTR,One Percenters OT%,One Percenters BT%,Bounces OTR,Bounces BTR,Bounces OT%,Bounces BT%,Centre Clearances OTR,Centre Clearances BTR,Centre Clearances OT%,Centre Clearances BT%,Stoppage Clearances OTR,Stoppage Clearances BTR,Stoppage Clearances OT%,Stoppage Clearances BT%,Score Involvements OTR,Score Involvements BTR,Score Involvements OT%,Score Involvements BT%,Metres Gained OTR,Metres Gained BTR,Metres Gained OT%,Metres Gained BT%,Turnovers OTR,Turnovers BTR,Turnovers OT%,Turnovers BT%,Intercepts OTR,Intercepts BTR,Intercepts OT%,Intercepts BT%,Tackles Inside 50 OTR,Tackles Inside 50 BTR,Tackles Inside 50 OT%,Tackles Inside 50 BT%,Time On Ground % OTR,Time On Ground % BTR,Time On Ground % OT%,Time On Ground % BT%,Winloss,Brownlow Votes
Jordan Lewis,3.5,4.5,0.07346938775510205,0.04157043879907621,1.0,5.0,0.09243697478991597,0.03691275167785235,1.5,4.5,0.07967032967032966,0.03967168262653899,4.5,4.5,0.075,0.05,15.0,30.0,0.0,0.0,16.0,28.0,0.0,0.0,14.5,25.0,0.027522935779816515,0.01694915254237288,3.0,6.0,0.02127659574468085,0.00980392156862745,13.5,27.0,0.0,0.0,4.5,8.0,0.08620689655172414,0.046296296296296294,1.0,4.0,0.15384615384615385,0.06666666666666667,6.5,14.0,0.061224489795918366,0.028037383177570093,9.0,18.0,0.05405405405405406,0.02564102564102564,5.0,7.5,0.10526315789473684,0.05,12.5,26.5,0.047619047619047616,0.025,2.0,7.0,0.07482993197278912,0.03470031545741325,3.0,5.0,0.08791208791208792,0.04155844155844156,1.5,3.5,0.0847457627118644,0.04065040650406504,12.0,25.0,15.5,29.5,0.0,0.0,14.5,28.0,0.0,0.0,10.0,19.0,0.031746031746031744,0.01639344262295082,12.0,24.5,0.0,0.0,1.0,2.0,0.25,0.13043478260869565,3.0,7.5,0.1111111111111111,0.04477611940298507,8.5,11.0,0.053763440860215055,0.033783783783783786,4,8,0.07088654451230798,0.03432207187023927,18.5,34.5,0.07352941176470588,0.031446540880503145,9.0,16.0,0.04395604395604396,0.025157232704402517,18.5,33.0,0.0,0.0,11.5,24.0,0.045580878265703166,0.022765130483064965,1,0
Isaac Smith,1.0,2.0,0.09795918367346938,0.05542725173210162,11.5,29.5,0.04201680672268908,0.016778523489932886,1.5,4.5,0.07967032967032966,0.03967168262653899,1.5,1.5,0.0875,0.058333333333333334,15.0,30.0,0.0,0.0,16.0,28.0,0.0,0.0,20.0,39.5,0.009174311926605505,0.005649717514124294,13.0,26.0,0.0,0.0,13.5,27.0,0.0,0.0,1.0,1.5,0.15517241379310345,0.08333333333333333,5.5,11.5,0.07692307692307693,0.03333333333333333,6.5,14.0,0.061224489795918366,0.028037383177570093,19.0,37.5,0.0,0.0,8.5,19.0,0.05263157894736842,0.025,4.5,9.5,0.0,0.0,13.0,25.5,0.04081632653061224,0.01892744479495268,1.0,2.0,0.10989010989010989,0.05194805194805195,1.5,3.5,0.0847457627118644,0.04065040650406504,12.0,25.0,15.5,29.5,0.0,0.0,14.5,28.0,0.0,0.0,14.0,27.5,0.015873015873015872,0.00819672131147541,12.0,24.5,0.0,0.0,6.0,10.5,0.08333333333333333,0.043478260869565216,5.5,13.5,0.07407407407407407,0.029850746268656716,5.0,6.0,0.06451612903225806,0.04054054054054054,1,2,0.13307421802702202,0.0644322968007886,22.0,40.5,0.10294117647058823,0.0440251572327044,12.5,20.5,0.03296703296703297,0.018867924528301886,18.5,33.0,0.0,0.0,8.0,16.0,0.04724847137298499,0.02359800111049417,1,0
Sam Mitchell,3.5,4.5,0.07346938775510205,0.04157043879907621,2.0,11.5,0.07563025210084033,0.030201342281879196,3.0,6.0,0.07417582417582418,0.036935704514363885,8.5,10.0,0.05,0.03333333333333333,15.0,30.0,0.0,0.0,16.0,28.0,0.0,0.0,7.0,7.0,0.06422018348623854,0.03954802259887006,13.0,26.0,0.0,0.0,13.5,27.0,0.0,0.0,2.0,3.0,0.13793103448275862,0.07407407407407407,3.0,7.5,0.10256410256410256,0.044444444444444446,6.5,14.0,0.061224489795918366,0.028037383177570093,14.0,27.0,0.02702702702702703,0.01282051282051282,2.0,2.0,0.15789473684210525,0.075,19.0,38.0,0.09523809523809523,0.05,7.0,16.0,0.05442176870748299,0.025236593059936908,2.0,3.0,0.0989010989010989,0.046753246753246755,5.0,11.5,0.059322033898305086,0.028455284552845527,17.0,36.0,15.5,29.5,0.0,0.0,4.5,7.5,0.1111111111111111,0.06666666666666667,14.0,27.5,0.015873015873015872,0.00819672131147541,12.0,24.5,0.0,0.0,2.0,5.0,0.16666666666666666,0.08695652173913043,5.5,13.5,0.07407407407407407,0.029850746268656716,5.0,6.0,0.06451612903225806,0.04054054054054054,2,3,0.10771793448084398,0.05215521104041581,20.5,38.5,0.08823529411764706,0.03773584905660377,12.5,20.5,0.03296703296703297,0.018867924528301886,18.5,33.0,0.0,0.0,4.0,6.5,0.05113952195664258,0.025541365907828985,1,0
Grant Birchall,2.0,3.0,0.07755102040816327,0.04387990762124711,20.0,39.5,0.025210084033613446,0.010067114093959731,4.0,7.5,0.06043956043956044,0.030095759233926128,4.5,4.5,0.075,0.05,15.0,30.0,0.0,0.0,16.0,28.0,0.0,0.0,20.0,39.5,0.009174311926605505,0.005649717514124294,13.0,26.0,0.0,0.0,2.5,5.5,0.25,0.1,3.0,4.5,0.1206896551724138,0.06481481481481481,14.0,25.5,0.02564102564102564,0.011111111111111112,3.5,9.0,0.08163265306122448,0.037383177570093455,1.5,2.5,0.13513513513513514,0.0641025641025641,16.5,35.5,0.0,0.0,12.5,26.5,0.047619047619047616,0.025,10.0,21.0,0.047619047619047616,0.022082018927444796,4.0,6.5,0.07142857142857142,0.033766233766233764,7.5,17.0,0.05508474576271186,0.026422764227642278,15.0,33.0,15.5,29.5,0.0,0.0,14.5,28.0,0.0,0.0,14.0,27.5,0.015873015873015872,0.00819672131147541,12.0,24.5,0.0,0.0,6.0,10.5,0.08333333333333333,0.043478260869565216,19.0,36.0,0.0,0.0,11.5,16.0,0.043010752688172046,0.02702702702702703,3,5,0.08458263927447714,0.04095349045613406,15.0,27.5,0.058823529411764705,0.025157232704402517,4.0,5.5,0.08791208791208792,0.050314465408805034,18.5,33.0,0.0,0.0,8.0,16.0,0.04724847137298499,0.02359800111049417,1,0
Taylor Duryea,5.5,8.5,0.053061224489795916,0.03002309468822171,6.0,19.0,0.058823529411764705,0.02348993288590604,5.0,10.0,0.054945054945054944,0.027359781121751026,7.0,7.5,0.0625,0.041666666666666664,15.0,30.0,0.0,0.0,16.0,28.0,0.0,0.0,17.5,35.0,0.01834862385321101,0.011299435028248588,13.0,26.0,0.0,0.0,13.5,27.0,0.0,0.0,16.0,30.0,0.017241379310344827,0.009259259259259259,19.5,36.5,0.0,0.0,21.5,42.5,0.0,0.0,3.0,5.5,0.10810810810810811,0.05128205128205128,16.5,35.5,0.0,0.0,4.5,9.5,0.0,0.0,7.0,16.0,0.05442176870748299,0.025236593059936908,5.5,10.0,0.06043956043956044,0.02857142857142857,3.0,5.5,0.08050847457627118,0.03861788617886179,1.0,1.0,15.5,29.5,0.0,0.0,14.5,28.0,0.0,0.0,19.5,38.5,0.0,0.0,12.0,24.5,0.0,0.0,16.0,29.5,0.0,0.0,19.0,36.0,0.0,0.0,11.5,16.0,0.043010752688172046,0.02702702702702703,10,21,0.042383860818064036,0.020521552110404156,7.5,12.5,0.029411764705882353,0.012578616352201259,1.0,1.0,0.14285714285714285,0.08176100628930817,18.5,33.0,0.0,0.0,17.5,35.5,0.04168982768204558,0.02082176568573015,1,0
Luke Breust,5.5,8.5,0.053061224489795916,0.03002309468822171,8.5,24.0,0.05042016806722689,0.020134228187919462,6.5,12.0,0.0521978021978022,0.025991792065663474,13.0,16.5,0.0375,0.025,2.5,3.5,0.18181818181818182,0.09523809523809523,1.0,1.0,0.25,0.21428571428571427,9.0,13.0,0.045871559633027525,0.02824858757062147,13.0,26.0,0.0,0.0,2.5,5.5,0.25,0.1,11.0,20.0,0.034482758620689655,0.018518518518518517,3.0,7.5,0.10256410256410256,0.044444444444444446,1.5,5.5,0.10204081632653061,0.04672897196261682,9.0,18.0,0.05405405405405406,0.02564102564102564,8.5,19.0,0.05263157894736842,0.025,12.5,26.5,0.047619047619047616,0.025,4.0,10.5,0.061224489795918366,0.028391167192429023,14.0,32.5,0.03296703296703297,0.015584415584415584,17.5,34.5,0.029661016949152543,0.014227642276422764,20.0,40.0,5.0,8.0,0.1111111111111111,0.06666666666666667,2.0,2.5,0.2222222222222222,0.13333333333333333,14.0,27.5,0.015873015873015872,0.00819672131147541,12.0,24.5,0.0,0.0,16.0,29.5,0.0,0.0,1.5,5.0,0.14814814814814814,0.05970149253731343,1.5,2.5,0.07526881720430108,0.0472972972972973,8,19,0.0459004256894318,0.022224213639214983,15.0,27.5,0.058823529411764705,0.025157232704402517,20.0,36.5,0.01098901098901099,0.006289308176100629,4.0,4.5,0.07692307692307693,0.058823529411764705,13.0,26.0,0.04502501389660923,0.022487506940588563,1,0
Paul Puopolo,10.5,15.0,0.044897959183673466,0.025404157043879907,3.5,15.0,0.06722689075630252,0.026845637583892617,6.5,12.0,0.0521978021978022,0.025991792065663474,22.0,43.0,0.0,0.0,5.5,10.5,0.09090909090909091,0.047619047619047616,6.0,7.0,0.08333333333333333,0.07142857142857142,3.5,3.5,0.09174311926605505,0.05649717514124294,13.0,26.0,0.0,0.0,13.5,27.0,0.0,0.0,11.0,20.0,0.034482758620689655,0.018518518518518517,3.0,7.5,0.10256410256410256,0.044444444444444446,12.0,23.0,0.04081632653061224,0.018691588785046728,14.0,27.0,0.02702702702702703,0.01282051282051282,2.0,2.0,0.15789473684210525,0.075,19.0,38.0,0.09523809523809523,0.05,1.0,4.5,0.08843537414965986,0.04100946372239748,17.5,36.5,0.027472527472527472,0.012987012987012988,13.5,28.0,0.038135593220338986,0.018292682926829267,18.0,38.0,15.5,29.5,0.0,0.0,14.5,28.0,0.0,0.0,19.5,38.5,0.0,0.0,12.0,24.5,0.0,0.0,16.0,29.5,0.0,0.0,1.5,5.0,0.14814814814814814,0.05970149253731343,16.5,24.5,0.03225806451612903,0.02027027027027027,14,25,0.03794188413844161,0.018370821758222064,20.5,38.5,0.08823529411764706,0.03773584905660377,20.0,36.5,0.01098901098901099,0.006289308176100629,1.0,1.0,0.23076923076923078,0.17647058823529413,10.0,19.5,0.04669260700389105,0.023320377568017768,1,0
Josh Gibson,10.5,15.0,0.044897959183673466,0.025404157043879907,6.0,19.0,0.058823529411764705,0.02348993288590604,8.5,16.0,0.04945054945054945,0.024623803009575923,4.5,4.5,0.075,0.05,15.0,30.0,0.0,0.0,16.0,28.0,0.0,0.0,14.5,25.0,0.027522935779816515,0.01694915254237288,13.0,26.0,0.0,0.0,13.5,27.0,0.0,0.0,11.0,20.0,0.034482758620689655,0.018518518518518517,19.5,36.5,0.0,0.0,12.0,23.0,0.04081632653061224,0.018691588785046728,1.5,2.5,0.13513513513513514,0.0641025641025641,16.5,35.5,0.0,0.0,4.5,9.5,0.0,0.0,4.0,10.5,0.061224489795918366,0.028391167192429023,8.0,18.5,0.04945054945054945,0.023376623376623377,5.0,11.5,0.059322033898305086,0.028455284552845527,6.5,14.5,5.0,8.0,0.1111111111111111,0.06666666666666667,14.5,28.0,0.0,0.0,1.5,2.0,0.15873015873015872,0.08196721311475409,12.0,24.5,0.0,0.0,16.0,29.5,0.0,0.0,19.0,36.0,0.0,0.0,16.5,24.5,0.03225806451612903,0.02027027027027027,9,20,0.042754025541365905,0.020700779639752667,7.5,12.5,0.029411764705882353,0.012578616352201259,2.0,2.5,0.10989010989010989,0.06289308176100629,18.5,33.0,0.0,0.0,1.5,1.5,0.055586436909394105,0.0277623542476402,1,2
Billy Hartung,7.5,11.0,0.04897959183673469,0.02771362586605081,8.5,24.0,0.05042016806722689,0.020134228187919462,8.5,16.0,0.04945054945054945,0.024623803009575923,13.0,16.5,0.0375,0.025,15.0,30.0,0.0,0.0,16.0,28.0,0.0,0.0,14.5,25.0,0.027522935779816515,0.01694915254237288,13.0,26.0,0.0,0.0,13.5,27.0,0.0,0.0,16.0,30.0,0.017241379310344827,0.009259259259259259,14.0,25.5,0.02564102564102564,0.011111111111111112,21.5,42.5,0.0,0.0,9.0,18.0,0.05405405405405406,0.02564102564102564,16.5,35.5,0.0,0.0,4.5,9.5,0.0,0.0,13.0,25.5,0.04081632653061224,0.01892744479495268,7.0,13.5,0.054945054945054944,0.025974025974025976,5.0,11.5,0.059322033898305086,0.028455284552845527,6.5,14.5,15.5,29.5,0.0,0.0,14.5,28.0,0.0,0.0,14.0,27.5,0.015873015873015872,0.00819672131147541,12.0,24.5,0.0,0.0,16.0,29.5,0.0,0.0,11.5,23.0,0.037037037037037035,0.014925373134328358,20.5,32.5,0.021505376344086023,0.013513513513513514,6,17,0.04756616694429021,0.02303073752128327,7.5,12.5,0.029411764705882353,0.012578616352201259,6.5,12.0,0.054945054945054944,0.031446540880503145,9.5,13.5,0.038461538461538464,0.029411764705882353,21.0,42.5,0.03613118399110617,0.01804553026096613,1,0
Shaun Burgoyne,16.0,23.0,0.036734693877551024,0.020785219399538105,6.0,19.0,0.058823529411764705,0.02348993288590604,11.5,23.5,0.04395604395604396,0.02188782489740082,18.0,26.5,0.025,0.016666666666666666,15.0,30.0,0.0,0.0,2.0,2.0,0.16666666666666666,0.14285714285714285,3.5,3.5,0.09174311926605505,0.05649717514124294,13.0,26.0,0.0,0.0,13.5,27.0,0.0,0.0,16.0,30.0,0.017241379310344827,0.009259259259259259,9.0,17.5,0.05128205128205128,0.022222222222222223,12.0,23.0,0.04081632653061224,0.018691588785046728,9.0,18.0,0.05405405405405406,0.02564102564102564,16.5,35.5,0.0,0.0,4.5,9.5,0.0,0.0,16.0,31.0,0.034013605442176874,0.015772870662460567,14.0,32.5,0.03296703296703297,0.015584415584415584,13.5,28.0,0.038135593220338986,0.018292682926829267,16.0,34.0,15.5,29.5,0.0,0.0,14.5,28.0,0.0,0.0,10.0,19.0,0.031746031746031744,0.01639344262295082,1.0,3.0,1.0,0.2,6.0,10.5,0.08333333333333333,0.043478260869565216,11.5,23.0,0.037037037037037035,0.014925373134328358,8.5,11.0,0.053763440860215055,0.033783783783783786,17,35,0.0277623542476402,0.013442064701138096,15.0,27.5,0.058823529411764705,0.025157232704402517,9.0,16.0,0.04395604395604396,0.025157232704402517,9.5,13.5,0.038461538461538464,0.029411764705882353,11.5,24.0,0.045580878265703166,0.022765130483064965,1,0
