Player,Kicks OTR,Kicks BTR,Kicks OT%,Kicks BT%,Handballs OTR,Handballs BTR,Handballs OT%,Handballs BT%,Disposals OTR,Disposals BTR,Disposals OT%,Disposals BT%,Marks OTR,Marks BTR,Marks OT%,Marks BT%,Goals OTR,Goals BTR,Goals OT%,Goals BT%,Behinds OTR,Behinds BTR,Behinds OT%,Behinds BT%,Tackles OTR,Tackles BTR,Tackles OT%,Tackles BT%,Hitouts OTR,Hitouts BTR,Hitouts OT%,Hitouts BT%,Goal Assists OTR,Goal Assists BTR,Goal Assists OT%,Goal Assists BT%,Inside 50s OTR,Inside 50s BTR,Inside 50s OT%,Inside 50s BT%,Clearances OTR,Clearances BTR,Clearances OT%,Clearances BT%,Clangers OTR,Clangers BTR,Clangers OT%,Clangers BT%,Rebound 50s OTR,Rebound 50s BTR,Rebound 50s OT%,Rebound 50s BT%,Frees For OTR,Frees For BTR,Frees For OT%,Frees For BT%,Frees Agains OTR,Frees Agains BTR,Frees Agains OT%,Frees Agains BT%,Contested Possessions OTR,Contested Possessions BTR,Contested Possessions OT%,Contested Possessions BT%,Uncontested Possessions OTR,Uncontested Possessions BTR,Uncontested Possessions OT%,Uncontested Possessions BT%,Effective Disposals OTR,Effective Disposals BTR,Effective Disposals OT%,Effective Disposals BT%,Disposal Efficiency % OTR,Disposal Efficiency % BTR,Contested Marks OTR,Contested Marks BTR,Contested Marks OT%,Contested Marks BT%,Marks Inside 50 OTR,Marks Inside 50 BTR,Marks Inside 50 OT%,Marks Inside 50 BT%,One Percenters OTR,One Percenters BTR,One Percenters OT%,One Percenters BT%,Bounces OTR,Bounces BTR,Bounces OT%,Bounces BT%,Centre Clearances OTR,Centre Clearances BTR,Centre Clearances OT%,Centre Clearances BT%,Stoppage Clearances OTR,Stoppage Clearances BTR,Stoppage Clearances OT%,Stoppage Clearances BT%,Score Involvements OTR,Score Involvements BTR,Score Involvements OT%,Score Involvements BT%,Metres Gained OTR,Metres Gained BTR,Metres Gained OT%,Metres Gained BT%,Turnovers OTR,Turnovers BTR,Turnovers OT%,Turnovers BT%,Intercepts OTR,Intercepts BTR,Intercepts OT%,Intercepts BT%,Tackles Inside 50 OTR,Tackles Inside 50 BTR,Tackles Inside 50 OT%,Tackles Inside 50 BT%,Time On Ground % OTR,Time On Ground % BTR,Time On Ground % OT%,Time On Ground % BT%,Winloss,Brownlow Votes
Sam Mitchell,3.5,10.0,0.0718232044198895,0.03359173126614987,1.0,1.0,0.164021164021164,0.07888040712468193,1.0,1.0,0.11891891891891893,0.05641025641025641,8.5,18.0,0.05333333333333334,0.023809523809523808,15.5,31.0,0.0,0.0,14.5,28.5,0.0,0.0,13.5,23.5,0.038461538461538464,0.019230769230769232,15.5,29.0,0.0,0.0,14.0,28.5,0.0,0.0,3.5,6.5,0.07692307692307693,0.04081632653061224,1.0,1.0,0.25,0.13333333333333333,7.5,15.0,0.0625,0.030612244897959183,4.5,7.5,0.09375,0.046875,1.0,1.0,0.25,0.1388888888888889,6.0,11.0,0.0,0.0,1.0,1.0,0.14388489208633093,0.06872852233676977,1.0,1.0,0.10126582278481013,0.04819277108433735,1.0,1.0,0.1276595744680851,0.06070826306913996,8.5,14.0,15.0,30.0,0.0,0.0,15.0,30.0,0.0,0.0,19.0,39.0,0.0,0.0,2.5,5.5,0.25,0.1,2.0,5.0,0.23076923076923078,0.10714285714285714,1.0,1.0,0.25925925925925924,0.14893617021276595,6.0,9.5,0.0641025641025641,0.03225806451612903,3.0,6.0,0.0805731298846297,0.04082979726544083,18.5,38.0,0.07042253521126761,0.035211267605633804,4.0,10.0,0.07042253521126761,0.03496503496503497,17.0,33.0,0.0,0.0,6.0,10.5,0.048916064480266815,0.02462916316820599,1,3
Jordan Lewis,9.5,19.5,0.049723756906077346,0.023255813953488372,2.0,3.0,0.09523809523809523,0.04580152671755725,2.0,6.0,0.07297297297297298,0.03461538461538462,8.5,18.0,0.05333333333333334,0.023809523809523808,7.0,13.5,0.07692307692307693,0.038461538461538464,14.5,28.5,0.0,0.0,2.5,6.5,0.07692307692307693,0.038461538461538464,3.0,5.0,0.08,0.043478260869565216,14.0,28.5,0.0,0.0,7.5,12.5,0.057692307692307696,0.030612244897959183,2.0,2.0,0.175,0.09333333333333334,16.0,31.5,0.020833333333333332,0.01020408163265306,12.5,25.5,0.03125,0.015625,4.5,6.5,0.1,0.05555555555555555,6.0,11.0,0.0,0.0,2.0,4.0,0.08633093525179857,0.041237113402061855,3.5,10.5,0.06751054852320675,0.0321285140562249,3.0,4.5,0.08156028368794327,0.0387858347386172,6.0,9.0,15.0,30.0,0.0,0.0,15.0,30.0,0.0,0.0,7.0,10.5,0.061224489795918366,0.03225806451612903,13.0,26.5,0.0,0.0,2.0,5.0,0.23076923076923078,0.10714285714285714,2.0,2.5,0.14814814814814814,0.0851063829787234,3.0,5.0,0.07692307692307693,0.03870967741935484,9.0,15.0,0.052288797915891326,0.026496935407826498,7.0,12.0,0.028169014084507043,0.014084507042253521,7.0,13.5,0.056338028169014086,0.027972027972027972,8.0,14.0,0.05,0.03125,6.0,10.5,0.048916064480266815,0.02462916316820599,1,0
Grant Birchall,9.5,19.5,0.049723756906077346,0.023255813953488372,3.0,5.0,0.08465608465608465,0.04071246819338423,3.0,8.5,0.06756756756756757,0.03205128205128205,20.0,41.0,0.013333333333333334,0.005952380952380952,15.5,31.0,0.0,0.0,14.5,28.5,0.0,0.0,17.5,34.0,0.02564102564102564,0.01282051282051282,6.0,10.5,0.02,0.010869565217391304,14.0,28.5,0.0,0.0,21.0,41.5,0.0,0.0,11.5,22.0,0.025,0.013333333333333334,16.0,31.5,0.020833333333333332,0.01020408163265306,4.5,7.5,0.09375,0.046875,4.5,6.5,0.1,0.05555555555555555,6.0,11.0,0.0,0.0,4.5,9.5,0.06474820143884892,0.030927835051546393,3.5,10.5,0.06751054852320675,0.0321285140562249,2.0,3.0,0.0851063829787234,0.04047217537942664,2.0,3.0,15.0,30.0,0.0,0.0,15.0,30.0,0.0,0.0,7.0,10.5,0.061224489795918366,0.03225806451612903,13.0,26.5,0.0,0.0,5.5,10.0,0.07692307692307693,0.03571428571428571,17.0,33.0,0.0,0.0,10.5,18.0,0.05128205128205128,0.025806451612903226,14.0,25.0,0.03554149609229624,0.01801037246581801,3.5,4.0,0.014084507042253521,0.007042253521126761,2.0,3.5,0.11267605633802817,0.055944055944055944,8.0,14.0,0.05,0.03125,10.0,19.0,0.04613674263479711,0.023229778897285194,1,0
Luke Hodge,1.0,4.5,0.07734806629834254,0.03617571059431524,9.0,20.0,0.047619047619047616,0.022900763358778626,4.0,11.0,0.062162162162162166,0.029487179487179487,2.0,6.5,0.08,0.03571428571428571,15.5,31.0,0.0,0.0,4.0,7.0,0.125,0.07142857142857142,17.5,34.0,0.02564102564102564,0.01282051282051282,6.0,10.5,0.02,0.010869565217391304,14.0,28.5,0.0,0.0,12.5,22.0,0.038461538461538464,0.02040816326530612,11.5,22.0,0.025,0.013333333333333334,2.0,4.0,0.10416666666666667,0.05102040816326531,1.5,1.5,0.125,0.0625,16.5,33.5,0.0,0.0,20.0,38.5,0.125,0.05555555555555555,4.5,9.5,0.06474820143884892,0.030927835051546393,6.5,15.5,0.05907172995780591,0.028112449799196786,8.5,19.5,0.04964539007092199,0.023608768971332208,16.5,36.5,5.0,11.0,0.1111111111111111,0.043478260869565216,15.0,30.0,0.0,0.0,3.0,5.0,0.10204081632653061,0.053763440860215055,13.0,26.5,0.0,0.0,5.5,10.0,0.07692307692307693,0.03571428571428571,17.0,33.0,0.0,0.0,10.5,18.0,0.05128205128205128,0.025806451612903226,5.0,10.0,0.06419799032378116,0.03253182461103253,21.0,41.5,0.08450704225352113,0.04225352112676056,1.0,2.0,0.14084507042253522,0.06993006993006994,17.0,33.0,0.0,0.0,9.0,18.0,0.04669260700389105,0.023509655751469353,1,0
Isaac Smith,6.5,16.0,0.06077348066298342,0.028423772609819122,6.5,14.5,0.0582010582010582,0.027989821882951654,5.0,13.0,0.05945945945945946,0.028205128205128206,8.5,18.0,0.05333333333333334,0.023809523809523808,7.0,13.5,0.07692307692307693,0.038461538461538464,4.0,7.0,0.125,0.07142857142857142,9.5,15.0,0.05128205128205128,0.02564102564102564,15.5,29.0,0.0,0.0,14.0,28.5,0.0,0.0,3.5,6.5,0.07692307692307693,0.04081632653061224,11.5,22.0,0.025,0.013333333333333334,20.5,41.0,0.0,0.0,4.5,7.5,0.09375,0.046875,16.5,33.5,0.0,0.0,6.0,11.0,0.0,0.0,15.5,35.5,0.02877697841726619,0.013745704467353952,2.0,7.0,0.08016877637130802,0.03815261044176707,4.0,10.5,0.06382978723404255,0.03035413153456998,8.5,14.0,15.0,30.0,0.0,0.0,15.0,30.0,0.0,0.0,19.0,39.0,0.0,0.0,1.0,1.5,0.5,0.2,15.0,29.0,0.0,0.0,9.0,16.5,0.037037037037037035,0.02127659574468085,6.0,9.5,0.0641025641025641,0.03225806451612903,1.0,1.0,0.1086713807219948,0.05506836397925507,15.5,32.5,0.056338028169014086,0.028169014084507043,15.0,28.0,0.028169014084507043,0.013986013986013986,2.0,2.0,0.15,0.09375,8.0,16.0,0.04724847137298499,0.023789532605653512,1,0
Billy Hartung,6.5,16.0,0.06077348066298342,0.028423772609819122,8.0,17.0,0.05291005291005291,0.02544529262086514,6.0,14.0,0.05675675675675676,0.026923076923076925,20.0,41.0,0.013333333333333334,0.005952380952380952,15.5,31.0,0.0,0.0,4.0,7.0,0.125,0.07142857142857142,9.5,15.0,0.05128205128205128,0.02564102564102564,15.5,29.0,0.0,0.0,1.0,1.0,0.42857142857142855,0.2,3.5,6.5,0.07692307692307693,0.04081632653061224,7.0,15.0,0.05,0.02666666666666667,16.0,31.5,0.020833333333333332,0.01020408163265306,12.5,25.5,0.03125,0.015625,16.5,33.5,0.0,0.0,6.0,11.0,0.0,0.0,8.5,15.5,0.050359712230215826,0.024054982817869417,8.5,18.0,0.05063291139240506,0.024096385542168676,8.5,19.5,0.04964539007092199,0.023608768971332208,14.5,30.0,15.0,30.0,0.0,0.0,15.0,30.0,0.0,0.0,13.5,28.0,0.02040816326530612,0.010752688172043012,2.5,5.5,0.25,0.1,15.0,29.0,0.0,0.0,6.0,10.5,0.07407407407407407,0.0425531914893617,2.0,2.5,0.08974358974358974,0.04516129032258064,7.0,13.0,0.05749906959434313,0.029137199434229138,7.0,12.0,0.028169014084507043,0.014084507042253521,3.0,7.0,0.08450704225352113,0.04195804195804196,8.0,14.0,0.05,0.03125,17.5,33.5,0.042245692051139525,0.021270640917996082,1,0
Jack Gunston,3.5,10.0,0.0718232044198895,0.03359173126614987,12.0,27.0,0.031746031746031744,0.015267175572519083,7.5,16.0,0.051351351351351354,0.02435897435897436,1.0,2.0,0.14666666666666667,0.06547619047619048,15.5,31.0,0.0,0.0,4.0,7.0,0.125,0.07142857142857142,6.0,11.0,0.0641025641025641,0.03205128205128205,15.5,29.0,0.0,0.0,14.0,28.5,0.0,0.0,3.5,6.5,0.07692307692307693,0.04081632653061224,11.5,22.0,0.025,0.013333333333333334,7.5,15.0,0.0625,0.030612244897959183,8.5,16.5,0.0625,0.03125,16.5,33.5,0.0,0.0,15.0,29.0,0.0625,0.027777777777777776,13.5,31.0,0.03597122302158273,0.01718213058419244,6.5,15.5,0.05907172995780591,0.028112449799196786,5.0,13.5,0.05673758865248227,0.026981450252951095,7.0,10.0,5.0,11.0,0.1111111111111111,0.043478260869565216,5.0,10.5,0.1111111111111111,0.047619047619047616,13.5,28.0,0.02040816326530612,0.010752688172043012,13.0,26.5,0.0,0.0,15.0,29.0,0.0,0.0,9.0,16.5,0.037037037037037035,0.02127659574468085,6.0,9.5,0.0641025641025641,0.03225806451612903,4.0,9.0,0.06494231484927428,0.03290900518623291,12.0,24.0,0.04225352112676056,0.02112676056338028,21.5,42.5,0.0,0.0,3.5,4.5,0.1,0.0625,6.0,10.5,0.048916064480266815,0.02462916316820599,1,0
William Langford,18.5,38.5,0.027624309392265192,0.012919896640826873,4.0,7.0,0.07407407407407407,0.035623409669211195,7.5,16.0,0.051351351351351354,0.02435897435897436,15.5,32.5,0.02666666666666667,0.011904761904761904,15.5,31.0,0.0,0.0,14.5,28.5,0.0,0.0,13.5,23.5,0.038461538461538464,0.019230769230769232,6.0,10.5,0.02,0.010869565217391304,14.0,28.5,0.0,0.0,7.5,12.5,0.057692307692307696,0.030612244897959183,5.0,11.5,0.075,0.04,12.0,22.5,0.041666666666666664,0.02040816326530612,18.5,37.5,0.0,0.0,16.5,33.5,0.0,0.0,6.0,11.0,0.0,0.0,3.0,6.5,0.07913669064748201,0.037800687285223365,14.5,28.5,0.03375527426160337,0.01606425702811245,8.5,19.5,0.04964539007092199,0.023608768971332208,13.0,24.5,15.0,30.0,0.0,0.0,15.0,30.0,0.0,0.0,19.0,39.0,0.0,0.0,13.0,26.5,0.0,0.0,15.0,29.0,0.0,0.0,4.0,6.5,0.1111111111111111,0.06382978723404255,10.5,18.0,0.05128205128205128,0.025806451612903226,13.0,23.0,0.0385187941942687,0.01951909476661952,7.0,12.0,0.028169014084507043,0.014084507042253521,11.5,20.0,0.04225352112676056,0.02097902097902098,8.0,14.0,0.05,0.03125,20.0,38.0,0.039466370205669815,0.019871256647075286,1,0
Taylor Duryea,3.5,10.0,0.0718232044198895,0.03359173126614987,14.5,31.5,0.026455026455026454,0.01272264631043257,9.0,19.0,0.04864864864864865,0.023076923076923078,4.5,11.5,0.06666666666666667,0.02976190476190476,15.5,31.0,0.0,0.0,14.5,28.5,0.0,0.0,20.5,41.0,0.01282051282051282,0.00641025641025641,15.5,29.0,0.0,0.0,14.0,28.5,0.0,0.0,12.5,22.0,0.038461538461538464,0.02040816326530612,19.0,36.5,0.0,0.0,7.5,15.0,0.0625,0.030612244897959183,8.5,16.5,0.0625,0.03125,16.5,33.5,0.0,0.0,20.0,38.5,0.125,0.05555555555555555,19.5,40.5,0.014388489208633094,0.006872852233676976,5.0,13.0,0.06329113924050633,0.030120481927710843,8.5,19.5,0.04964539007092199,0.023608768971332208,10.5,20.5,15.0,30.0,0.0,0.0,15.0,30.0,0.0,0.0,7.0,10.5,0.061224489795918366,0.03225806451612903,13.0,26.5,0.0,0.0,15.0,29.0,0.0,0.0,17.0,33.0,0.0,0.0,15.5,33.5,0.02564102564102564,0.012903225806451613,10.0,16.0,0.049869743208038705,0.025271098538425272,15.5,32.5,0.056338028169014086,0.028169014084507043,7.0,13.5,0.056338028169014086,0.027972027972027972,17.0,33.0,0.0,0.0,15.0,29.0,0.04391328515842134,0.02211027148054856,1,0
Shaun Burgoyne,18.5,38.5,0.027624309392265192,0.012919896640826873,6.5,14.5,0.0582010582010582,0.027989821882951654,10.5,23.0,0.043243243243243246,0.020512820512820513,12.0,24.0,0.04,0.017857142857142856,15.5,31.0,0.0,0.0,14.5,28.5,0.0,0.0,13.5,23.5,0.038461538461538464,0.019230769230769232,15.5,29.0,0.0,0.0,14.0,28.5,0.0,0.0,17.5,33.0,0.019230769230769232,0.01020408163265306,5.0,11.5,0.075,0.04,20.5,41.0,0.0,0.0,8.5,16.5,0.0625,0.03125,16.5,33.5,0.0,0.0,6.0,11.0,0.0,0.0,13.5,31.0,0.03597122302158273,0.01718213058419244,8.5,18.0,0.05063291139240506,0.024096385542168676,6.0,15.5,0.05319148936170213,0.025295109612141653,3.0,4.0,15.0,30.0,0.0,0.0,15.0,30.0,0.0,0.0,10.5,18.5,0.04081632653061224,0.021505376344086023,13.0,26.5,0.0,0.0,15.0,29.0,0.0,0.0,4.0,6.5,0.1111111111111111,0.06382978723404255,15.5,33.5,0.02564102564102564,0.012903225806451613,19.0,38.0,0.020655005582433942,0.010466760961810467,18.5,38.0,0.07042253521126761,0.035211267605633804,15.0,28.0,0.028169014084507043,0.013986013986013986,17.0,33.0,0.0,0.0,12.0,24.5,0.04502501389660923,0.022670025188916875,1,0
