Player,Kicks OTR,Kicks BTR,Kicks OT%,Kicks BT%,Handballs OTR,Handballs BTR,Handballs OT%,Handballs BT%,Disposals OTR,Disposals BTR,Disposals OT%,Disposals BT%,Marks OTR,Marks BTR,Marks OT%,Marks BT%,Goals OTR,Goals BTR,Goals OT%,Goals BT%,Behinds OTR,Behinds BTR,Behinds OT%,Behinds BT%,Tackles OTR,Tackles BTR,Tackles OT%,Tackles BT%,Hitouts OTR,Hitouts BTR,Hitouts OT%,Hitouts BT%,Goal Assists OTR,Goal Assists BTR,Goal Assists OT%,Goal Assists BT%,Inside 50s OTR,Inside 50s BTR,Inside 50s OT%,Inside 50s BT%,Clearances OTR,Clearances BTR,Clearances OT%,Clearances BT%,Clangers OTR,Clangers BTR,Clangers OT%,Clangers BT%,Rebound 50s OTR,Rebound 50s BTR,Rebound 50s OT%,Rebound 50s BT%,Frees For OTR,Frees For BTR,Frees For OT%,Frees For BT%,Frees Agains OTR,Frees Agains BTR,Frees Agains OT%,Frees Agains BT%,Contested Possessions OTR,Contested Possessions BTR,Contested Possessions OT%,Contested Possessions BT%,Uncontested Possessions OTR,Uncontested Possessions BTR,Uncontested Possessions OT%,Uncontested Possessions BT%,Effective Disposals OTR,Effective Disposals BTR,Effective Disposals OT%,Effective Disposals BT%,Disposal Efficiency % OTR,Disposal Efficiency % BTR,Contested Marks OTR,Contested Marks BTR,Contested Marks OT%,Contested Marks BT%,Marks Inside 50 OTR,Marks Inside 50 BTR,Marks Inside 50 OT%,Marks Inside 50 BT%,One Percenters OTR,One Percenters BTR,One Percenters OT%,One Percenters BT%,Bounces OTR,Bounces BTR,Bounces OT%,Bounces BT%,Centre Clearances OTR,Centre Clearances BTR,Centre Clearances OT%,Centre Clearances BT%,Stoppage Clearances OTR,Stoppage Clearances BTR,Stoppage Clearances OT%,Stoppage Clearances BT%,Score Involvements OTR,Score Involvements BTR,Score Involvements OT%,Score Involvements BT%,Metres Gained OTR,Metres Gained BTR,Metres Gained OT%,Metres Gained BT%,Turnovers OTR,Turnovers BTR,Turnovers OT%,Turnovers BT%,Intercepts OTR,Intercepts BTR,Intercepts OT%,Intercepts BT%,Tackles Inside 50 OTR,Tackles Inside 50 BTR,Tackles Inside 50 OT%,Tackles Inside 50 BT%,Time On Ground % OTR,Time On Ground % BTR,Time On Ground % OT%,Time On Ground % BT%,Winloss,Brownlow Votes
Travis Boak,3.0,9.5,0.0784313725490196,0.03287671232876712,1.5,3.5,0.08974358974358974,0.04430379746835443,1.5,4.5,0.08414239482200647,0.0381791483113069,17.5,38.5,0.022222222222222223,0.006944444444444444,14.0,30.5,0.0,0.0,14.0,28.5,0.0,0.0,7.5,12.5,0.06172839506172839,0.03125,12.5,26.0,0.0,0.0,14.0,29.0,0.0,0.0,6.0,14.5,0.06666666666666667,0.02912621359223301,1.0,2.0,0.23529411764705882,0.1,14.0,25.5,0.03571428571428571,0.01904761904761905,19.0,38.0,0.0,0.0,18.0,36.0,0.0,0.0,11.0,23.0,0.041666666666666664,0.02127659574468085,1.0,2.0,0.11904761904761904,0.05154639175257732,6.0,16.5,0.057803468208092484,0.02631578947368421,5.5,12.5,0.0673076923076923,0.029850746268656716,18.0,38.0,14.0,30.5,0.0,0.0,13.5,29.0,0.0,0.0,15.0,31.0,0.01818181818181818,0.009523809523809525,14.0,26.0,0.0,0.0,1.0,1.0,0.7142857142857143,0.21739130434782608,3.0,6.5,0.1111111111111111,0.05263157894736842,16.5,37.5,0.025974025974025976,0.0106951871657754,6,10.0,0.06290930740226236,0.03035235541937955,14.5,27.5,0.05263157894736842,0.02586206896551724,10.0,16.5,0.05,0.025423728813559324,4.5,6.0,0.1111111111111111,0.0625,14.0,28.0,0.04386451971127152,0.021944444444444444,0,0
Darcy B-Jones,2.0,3.5,0.10457516339869281,0.043835616438356165,5.5,11.5,0.0641025641025641,0.03164556962025317,1.5,4.5,0.08414239482200647,0.0381791483113069,10.5,28.5,0.044444444444444446,0.013888888888888888,14.0,30.5,0.0,0.0,14.0,28.5,0.0,0.0,17.0,32.0,0.024691358024691357,0.0125,12.5,26.0,0.0,0.0,14.0,29.0,0.0,0.0,6.0,14.5,0.06666666666666667,0.02912621359223301,11.5,23.0,0.029411764705882353,0.0125,21.0,41.5,0.0,0.0,5.0,8.0,0.075,0.041666666666666664,10.5,21.0,0.043478260869565216,0.020833333333333332,3.5,6.5,0.0,0.0,4.0,11.5,0.07142857142857142,0.030927835051546393,2.5,5.5,0.08670520231213873,0.039473684210526314,1.0,2.0,0.10096153846153846,0.04477611940298507,5.0,10.5,14.0,30.5,0.0,0.0,13.5,29.0,0.0,0.0,9.0,19.0,0.03636363636363636,0.01904761904761905,14.0,26.0,0.0,0.0,13.0,29.0,0.0,0.0,11.0,20.5,0.037037037037037035,0.017543859649122806,20.0,42.0,0.012987012987012988,0.0053475935828877,2,4.0,0.09922603691208573,0.04787437763309077,21.5,43.5,0.12280701754385964,0.0603448275862069,1.5,3.5,0.11666666666666667,0.059322033898305086,16.0,32.5,0.0,0.0,8.5,16.0,0.04775124930594114,0.02388888888888889,0,0
Jasper Pittard,1.0,2.0,0.11764705882352941,0.049315068493150684,10.0,18.5,0.04487179487179487,0.022151898734177215,3.0,6.5,0.08090614886731391,0.03671071953010279,10.5,28.5,0.044444444444444446,0.013888888888888888,14.0,30.5,0.0,0.0,14.0,28.5,0.0,0.0,13.0,24.0,0.037037037037037035,0.01875,12.5,26.0,0.0,0.0,14.0,29.0,0.0,0.0,1.0,2.5,0.13333333333333333,0.05825242718446602,19.0,36.5,0.0,0.0,14.0,25.5,0.03571428571428571,0.01904761904761905,1.0,1.0,0.225,0.125,10.5,21.0,0.043478260869565216,0.020833333333333332,11.0,23.0,0.041666666666666664,0.02127659574468085,8.5,22.0,0.047619047619047616,0.020618556701030927,1.0,2.5,0.09248554913294797,0.042105263157894736,2.0,5.5,0.08653846153846154,0.03837953091684435,8.5,19.0,14.0,30.5,0.0,0.0,13.5,29.0,0.0,0.0,4.0,6.5,0.09090909090909091,0.047619047619047616,2.0,3.5,0.2222222222222222,0.14285714285714285,13.0,29.0,0.0,0.0,19.0,36.0,0.0,0.0,5.0,14.0,0.06493506493506493,0.026737967914438502,1,1.0,0.16332605675729311,0.07880122558406741,21.5,43.5,0.12280701754385964,0.0603448275862069,3.0,5.0,0.1,0.05084745762711865,16.0,32.5,0.0,0.0,4.5,9.0,0.04997223764575236,0.025,0,0
Oliver Wines,6.0,15.0,0.06535947712418301,0.0273972602739726,1.5,3.5,0.08974358974358974,0.04430379746835443,4.0,8.5,0.07766990291262135,0.03524229074889868,21.0,43.0,0.0,0.0,2.0,4.5,0.25,0.08333333333333333,1.0,1.5,0.3333333333333333,0.14285714285714285,1.0,2.0,0.12345679012345678,0.0625,12.5,26.0,0.0,0.0,3.5,8.0,0.16666666666666666,0.0625,6.0,14.5,0.06666666666666667,0.02912621359223301,2.0,4.5,0.14705882352941177,0.0625,8.5,15.5,0.05357142857142857,0.02857142857142857,13.0,25.5,0.025,0.013888888888888888,5.0,10.5,0.08695652173913043,0.041666666666666664,11.0,23.0,0.041666666666666664,0.02127659574468085,2.0,4.5,0.10317460317460317,0.044673539518900345,8.0,20.5,0.05202312138728324,0.02368421052631579,5.5,12.5,0.0673076923076923,0.029850746268656716,17.0,33.5,14.0,30.5,0.0,0.0,13.5,29.0,0.0,0.0,15.0,31.0,0.01818181818181818,0.009523809523809525,14.0,26.0,0.0,0.0,13.0,29.0,0.0,0.0,1.0,2.0,0.18518518518518517,0.08771929824561403,1.0,1.0,0.15584415584415584,0.06417112299465241,3,7.0,0.0730303631672951,0.035235541937954806,10.0,18.0,0.03508771929824561,0.017241379310344827,10.0,16.5,0.05,0.025423728813559324,4.5,6.0,0.1111111111111111,0.0625,21.5,40.5,0.03720155469183787,0.01861111111111111,0,1
Matthew Broadbent,6.0,15.0,0.06535947712418301,0.0273972602739726,3.0,8.0,0.07692307692307693,0.0379746835443038,5.0,10.5,0.07119741100323625,0.032305433186490456,3.0,14.5,0.08888888888888889,0.027777777777777776,4.0,11.5,0.125,0.041666666666666664,14.0,28.5,0.0,0.0,13.0,24.0,0.037037037037037035,0.01875,12.5,26.0,0.0,0.0,3.5,8.0,0.16666666666666666,0.0625,2.5,7.0,0.08888888888888889,0.038834951456310676,11.5,23.0,0.029411764705882353,0.0125,14.0,25.5,0.03571428571428571,0.01904761904761905,9.0,15.5,0.05,0.027777777777777776,2.0,4.0,0.13043478260869565,0.0625,3.5,6.5,0.0,0.0,4.0,11.5,0.07142857142857142,0.030927835051546393,4.5,9.5,0.06936416184971098,0.031578947368421054,4.0,10.5,0.07211538461538461,0.031982942430703626,11.0,23.0,3.5,11.5,0.16666666666666666,0.04,13.5,29.0,0.0,0.0,9.0,19.0,0.03636363636363636,0.01904761904761905,14.0,26.0,0.0,0.0,13.0,29.0,0.0,0.0,11.0,20.5,0.037037037037037035,0.017543859649122806,2.0,8.0,0.07792207792207792,0.03208556149732621,7,11.0,0.06211549910696567,0.029969360398314823,6.0,9.5,0.017543859649122806,0.008620689655172414,1.5,3.5,0.11666666666666667,0.059322033898305086,8.5,15.0,0.05555555555555555,0.03125,10.0,21.0,0.046640755136035536,0.023333333333333334,0,0
Jimmy Toumpas,6.0,15.0,0.06535947712418301,0.0273972602739726,4.0,9.5,0.07051282051282051,0.03481012658227848,6.0,12.5,0.06796116504854369,0.030837004405286344,10.5,28.5,0.044444444444444446,0.013888888888888888,14.0,30.5,0.0,0.0,14.0,28.5,0.0,0.0,9.5,17.0,0.04938271604938271,0.025,12.5,26.0,0.0,0.0,14.0,29.0,0.0,0.0,11.0,24.0,0.044444444444444446,0.019417475728155338,4.0,10.0,0.08823529411764706,0.0375,2.5,4.0,0.08928571428571429,0.047619047619047616,2.0,2.5,0.125,0.06944444444444445,10.5,21.0,0.043478260869565216,0.020833333333333332,18.5,37.5,0.08333333333333333,0.0425531914893617,6.5,18.0,0.05555555555555555,0.024054982817869417,2.5,5.5,0.08670520231213873,0.039473684210526314,3.0,8.0,0.07692307692307693,0.03411513859275053,7.0,15.5,14.0,30.5,0.0,0.0,13.5,29.0,0.0,0.0,15.0,31.0,0.01818181818181818,0.009523809523809525,4.0,6.0,0.1111111111111111,0.07142857142857142,2.5,9.0,0.14285714285714285,0.043478260869565216,5.0,11.0,0.07407407407407407,0.03508771929824561,12.0,30.0,0.03896103896103896,0.016042780748663103,5,9.0,0.06429847191903156,0.031022596706242817,19.5,39.5,0.08771929824561403,0.04310344827586207,10.0,16.5,0.05,0.025423728813559324,16.0,32.5,0.0,0.0,16.0,33.0,0.042754025541365905,0.021388888888888888,0,0
Brad Ebert,4.0,12.0,0.0718954248366013,0.030136986301369864,14.0,28.5,0.03205128205128205,0.015822784810126583,7.5,18.5,0.05177993527508091,0.023494860499265784,10.5,28.5,0.044444444444444446,0.013888888888888888,4.0,11.5,0.125,0.041666666666666664,3.5,7.5,0.16666666666666666,0.07142857142857142,9.5,17.0,0.04938271604938271,0.025,12.5,26.0,0.0,0.0,3.5,8.0,0.16666666666666666,0.0625,2.5,7.0,0.08888888888888889,0.038834951456310676,6.0,14.5,0.058823529411764705,0.025,2.5,4.0,0.08928571428571429,0.047619047619047616,13.0,25.5,0.025,0.013888888888888888,5.0,10.5,0.08695652173913043,0.041666666666666664,18.5,37.5,0.08333333333333333,0.0425531914893617,8.5,22.0,0.047619047619047616,0.020618556701030927,8.0,20.5,0.05202312138728324,0.02368421052631579,9.0,21.0,0.04807692307692308,0.021321961620469083,14.0,28.5,3.5,11.5,0.16666666666666666,0.04,3.0,9.0,0.2,0.047619047619047616,15.0,31.0,0.01818181818181818,0.009523809523809525,14.0,26.0,0.0,0.0,2.5,9.0,0.14285714285714285,0.043478260869565216,11.0,20.5,0.037037037037037035,0.017543859649122806,5.0,14.0,0.06493506493506493,0.026737967914438502,4,8.0,0.07064893828140505,0.03408655687476063,14.5,27.5,0.05263157894736842,0.02586206896551724,15.0,24.0,0.03333333333333333,0.01694915254237288,16.0,32.5,0.0,0.0,11.0,22.5,0.04608550805108273,0.023055555555555555,0,0
Sam Gray,11.5,29.0,0.0392156862745098,0.01643835616438356,5.5,11.5,0.0641025641025641,0.03164556962025317,7.5,18.5,0.05177993527508091,0.023494860499265784,10.5,28.5,0.044444444444444446,0.013888888888888888,14.0,30.5,0.0,0.0,14.0,28.5,0.0,0.0,2.5,4.5,0.08641975308641975,0.04375,12.5,26.0,0.0,0.0,14.0,29.0,0.0,0.0,16.5,33.5,0.022222222222222223,0.009708737864077669,11.5,23.0,0.029411764705882353,0.0125,2.5,4.0,0.08928571428571429,0.047619047619047616,5.0,8.0,0.075,0.041666666666666664,10.5,21.0,0.043478260869565216,0.020833333333333332,18.5,37.5,0.08333333333333333,0.0425531914893617,14.0,31.5,0.031746031746031744,0.013745704467353952,4.5,9.5,0.06936416184971098,0.031578947368421054,13.5,31.5,0.03365384615384615,0.014925373134328358,22.0,44.0,14.0,30.5,0.0,0.0,3.0,9.0,0.2,0.047619047619047616,21.0,41.5,0.0,0.0,14.0,26.0,0.0,0.0,13.0,29.0,0.0,0.0,11.0,20.5,0.037037037037037035,0.017543859649122806,8.5,22.5,0.05194805194805195,0.0213903743315508,13,29.0,0.03115697559039492,0.015032554576790503,18.0,34.0,0.07017543859649122,0.034482758620689655,15.0,24.0,0.03333333333333333,0.01694915254237288,16.0,32.5,0.0,0.0,19.0,38.0,0.04053303720155469,0.020277777777777777,0,0
Aaron Young,15.0,35.5,0.026143790849673203,0.010958904109589041,7.5,13.5,0.057692307692307696,0.028481012658227847,9.0,22.0,0.042071197411003236,0.01908957415565345,4.5,19.0,0.06666666666666667,0.020833333333333332,14.0,30.5,0.0,0.0,3.5,7.5,0.16666666666666666,0.07142857142857142,17.0,32.0,0.024691358024691357,0.0125,12.5,26.0,0.0,0.0,14.0,29.0,0.0,0.0,16.5,33.5,0.022222222222222223,0.009708737864077669,11.5,23.0,0.029411764705882353,0.0125,18.5,34.5,0.017857142857142856,0.009523809523809525,19.0,38.0,0.0,0.0,18.0,36.0,0.0,0.0,11.0,23.0,0.041666666666666664,0.02127659574468085,11.0,27.0,0.03968253968253968,0.01718213058419244,10.5,23.5,0.046242774566473986,0.021052631578947368,7.0,16.5,0.057692307692307696,0.0255863539445629,1.0,4.0,14.0,30.5,0.0,0.0,13.5,29.0,0.0,0.0,15.0,31.0,0.01818181818181818,0.009523809523809525,14.0,26.0,0.0,0.0,13.0,29.0,0.0,0.0,11.0,20.5,0.037037037037037035,0.017543859649122806,5.0,14.0,0.06493506493506493,0.026737967914438502,19,38.0,0.02182972812065886,0.01053236307927997,6.0,9.5,0.017543859649122806,0.008620689655172414,17.0,32.0,0.016666666666666666,0.00847457627118644,16.0,32.5,0.0,0.0,15.0,30.0,0.043309272626318715,0.021666666666666667,0,0
Jackson Trengove,15.0,35.5,0.026143790849673203,0.010958904109589041,9.0,15.5,0.05128205128205128,0.02531645569620253,10.0,24.5,0.038834951456310676,0.01762114537444934,10.5,28.5,0.044444444444444446,0.013888888888888888,14.0,30.5,0.0,0.0,14.0,28.5,0.0,0.0,20.5,42.0,0.0,0.0,2.0,7.0,0.03571428571428571,0.011363636363636364,14.0,29.0,0.0,0.0,16.5,33.5,0.022222222222222223,0.009708737864077669,6.0,14.5,0.058823529411764705,0.025,8.5,15.5,0.05357142857142857,0.02857142857142857,9.0,15.5,0.05,0.027777777777777776,18.0,36.0,0.0,0.0,11.0,23.0,0.041666666666666664,0.02127659574468085,11.0,27.0,0.03968253968253968,0.01718213058419244,10.5,23.5,0.046242774566473986,0.021052631578947368,9.0,21.0,0.04807692307692308,0.021321961620469083,3.5,8.5,14.0,30.5,0.0,0.0,13.5,29.0,0.0,0.0,1.0,1.0,0.2,0.10476190476190476,14.0,26.0,0.0,0.0,13.0,29.0,0.0,0.0,5.0,11.0,0.07407407407407407,0.03508771929824561,16.5,37.5,0.025974025974025976,0.0106951871657754,17,35.0,0.024211153006548917,0.011681348142474148,14.5,27.5,0.05263157894736842,0.02586206896551724,5.0,11.0,0.06666666666666667,0.03389830508474576,16.0,32.5,0.0,0.0,12.0,24.5,0.04553026096612993,0.02277777777777778,0,0
