Player,Kicks OTR,Kicks BTR,Kicks OT%,Kicks BT%,Handballs OTR,Handballs BTR,Handballs OT%,Handballs BT%,Disposals OTR,Disposals BTR,Disposals OT%,Disposals BT%,Marks OTR,Marks BTR,Marks OT%,Marks BT%,Goals OTR,Goals BTR,Goals OT%,Goals BT%,Behinds OTR,Behinds BTR,Behinds OT%,Behinds BT%,Tackles OTR,Tackles BTR,Tackles OT%,Tackles BT%,Hitouts OTR,Hitouts BTR,Hitouts OT%,Hitouts BT%,Goal Assists OTR,Goal Assists BTR,Goal Assists OT%,Goal Assists BT%,Inside 50s OTR,Inside 50s BTR,Inside 50s OT%,Inside 50s BT%,Clearances OTR,Clearances BTR,Clearances OT%,Clearances BT%,Clangers OTR,Clangers BTR,Clangers OT%,Clangers BT%,Rebound 50s OTR,Rebound 50s BTR,Rebound 50s OT%,Rebound 50s BT%,Frees For OTR,Frees For BTR,Frees For OT%,Frees For BT%,Frees Agains OTR,Frees Agains BTR,Frees Agains OT%,Frees Agains BT%,Contested Possessions OTR,Contested Possessions BTR,Contested Possessions OT%,Contested Possessions BT%,Uncontested Possessions OTR,Uncontested Possessions BTR,Uncontested Possessions OT%,Uncontested Possessions BT%,Effective Disposals OTR,Effective Disposals BTR,Effective Disposals OT%,Effective Disposals BT%,Disposal Efficiency % OTR,Disposal Efficiency % BTR,Contested Marks OTR,Contested Marks BTR,Contested Marks OT%,Contested Marks BT%,Marks Inside 50 OTR,Marks Inside 50 BTR,Marks Inside 50 OT%,Marks Inside 50 BT%,One Percenters OTR,One Percenters BTR,One Percenters OT%,One Percenters BT%,Bounces OTR,Bounces BTR,Bounces OT%,Bounces BT%,Centre Clearances OTR,Centre Clearances BTR,Centre Clearances OT%,Centre Clearances BT%,Stoppage Clearances OTR,Stoppage Clearances BTR,Stoppage Clearances OT%,Stoppage Clearances BT%,Score Involvements OTR,Score Involvements BTR,Score Involvements OT%,Score Involvements BT%,Metres Gained OTR,Metres Gained BTR,Metres Gained OT%,Metres Gained BT%,Turnovers OTR,Turnovers BTR,Turnovers OT%,Turnovers BT%,Intercepts OTR,Intercepts BTR,Intercepts OT%,Intercepts BT%,Tackles Inside 50 OTR,Tackles Inside 50 BTR,Tackles Inside 50 OT%,Tackles Inside 50 BT%,Time On Ground % OTR,Time On Ground % BTR,Time On Ground % OT%,Time On Ground % BT%,Winloss,Brownlow Votes
Matt Crouch,3.5,4.5,0.06542056074766354,0.03713527851458886,1.0,1.0,0.13636363636363635,0.06060606060606061,1.0,1.0,0.09248554913294797,0.04747774480712166,11.5,16.0,0.04395604395604396,0.025974025974025976,15.5,29.5,0.0,0.0,6.5,9.0,0.08333333333333333,0.05555555555555555,6.0,14.0,0.07142857142857142,0.031446540880503145,12.5,24.5,0.0,0.0,13.5,28.5,0.0,0.0,5.5,11.0,0.0625,0.03333333333333333,2.5,2.5,0.1702127659574468,0.10810810810810811,18.0,36.0,0.015873015873015872,0.008333333333333333,13.5,25.0,0.03225806451612903,0.017543859649122806,6.0,11.0,0.06666666666666667,0.03278688524590164,10.0,18.5,0.03225806451612903,0.01639344262295082,1.0,1.0,0.11688311688311688,0.06020066889632107,1.0,2.0,0.08064516129032258,0.04032258064516129,1.0,1.5,0.0875,0.043568464730290454,15.0,34.0,16.5,32.5,0.0,0.0,6.5,11.5,0.07692307692307693,0.041666666666666664,9.0,15.5,0.03389830508474576,0.02127659574468085,12.0,25.0,0.0,0.0,2.5,3.0,0.21428571428571427,0.125,2.5,3.0,0.15151515151515152,0.1,7.0,8.5,0.0625,0.036585365853658534,3.0,8.0,0.05766001119611868,0.031105294946647877,8.0,13.0,0.028169014084507043,0.014184397163120567,18.5,35.5,0.014285714285714285,0.006993006993006993,7.0,14.0,0.058823529411764705,0.03125,18.5,36.0,0.042222222222222223,0.021105248542071648,1,0
Brad Crouch,3.5,4.5,0.06542056074766354,0.03713527851458886,2.0,3.0,0.11363636363636363,0.050505050505050504,2.0,2.0,0.0838150289017341,0.04302670623145401,15.5,26.0,0.03296703296703297,0.01948051948051948,15.5,29.5,0.0,0.0,15.5,28.5,0.0,0.0,1.5,6.0,0.1,0.0440251572327044,12.5,24.5,0.0,0.0,13.5,28.5,0.0,0.0,12.5,21.5,0.041666666666666664,0.022222222222222223,1.0,1.0,0.2127659574468085,0.13513513513513514,6.0,10.5,0.06349206349206349,0.03333333333333333,13.5,25.0,0.03225806451612903,0.017543859649122806,13.0,24.0,0.03333333333333333,0.01639344262295082,10.0,18.5,0.03225806451612903,0.01639344262295082,3.0,4.0,0.09090909090909091,0.046822742474916385,6.0,10.5,0.06451612903225806,0.03225806451612903,6.0,11.5,0.0625,0.03112033195020747,19.0,38.0,16.5,32.5,0.0,0.0,16.5,31.0,0.0,0.0,18.5,37.0,0.0,0.0,12.0,25.0,0.0,0.0,2.5,3.0,0.21428571428571427,0.125,1.0,1.0,0.21212121212121213,0.14,15.5,25.0,0.03125,0.018292682926829267,18.0,32.0,0.023698451203582757,0.012784376887457217,20.5,42.5,0.09859154929577464,0.04964539007092199,18.5,35.5,0.014285714285714285,0.006993006993006993,2.0,2.5,0.17647058823529413,0.09375,22.0,40.5,0.03888888888888889,0.019439044709802834,1,0
Rory Sloane,1.0,1.0,0.08411214953271028,0.04774535809018567,4.5,11.0,0.07575757575757576,0.03367003367003367,3.0,3.0,0.08092485549132948,0.04154302670623145,15.5,26.0,0.03296703296703297,0.01948051948051948,2.0,3.0,0.23076923076923078,0.13043478260869565,2.5,3.5,0.16666666666666666,0.1111111111111111,1.5,6.0,0.1,0.0440251572327044,12.5,24.5,0.0,0.0,13.5,28.5,0.0,0.0,1.0,2.0,0.10416666666666667,0.05555555555555555,4.0,4.0,0.14893617021276595,0.0945945945945946,10.0,19.0,0.047619047619047616,0.025,3.0,4.5,0.0967741935483871,0.05263157894736842,1.0,1.5,0.2,0.09836065573770492,10.0,18.5,0.03225806451612903,0.01639344262295082,2.0,2.5,0.09740259740259741,0.05016722408026756,6.0,10.5,0.06451612903225806,0.03225806451612903,2.0,4.0,0.075,0.03734439834024896,16.0,35.0,16.5,32.5,0.0,0.0,6.5,11.5,0.07692307692307693,0.041666666666666664,4.5,7.0,0.06779661016949153,0.0425531914893617,12.0,25.0,0.0,0.0,4.0,6.0,0.14285714285714285,0.08333333333333333,2.5,3.0,0.15151515151515152,0.1,1.0,1.0,0.11458333333333333,0.06707317073170732,1.0,1.0,0.1084157492069416,0.058486007650493256,11.0,19.5,0.04225352112676056,0.02127659574468085,8.5,15.5,0.05714285714285714,0.027972027972027972,3.5,6.0,0.11764705882352941,0.0625,13.5,27.5,0.045,0.02249375173562899,1,3
Hugh Greenwood,5.0,6.5,0.06074766355140187,0.034482758620689655,4.5,11.0,0.07575757575757576,0.03367003367003367,4.0,7.5,0.06647398843930635,0.03412462908011869,18.0,34.0,0.02197802197802198,0.012987012987012988,5.5,9.0,0.07692307692307693,0.043478260869565216,2.5,3.5,0.16666666666666666,0.1111111111111111,8.0,16.0,0.05714285714285714,0.025157232704402517,12.5,24.5,0.0,0.0,13.5,28.5,0.0,0.0,12.5,21.5,0.041666666666666664,0.022222222222222223,2.5,2.5,0.1702127659574468,0.10810810810810811,6.0,10.5,0.06349206349206349,0.03333333333333333,13.5,25.0,0.03225806451612903,0.017543859649122806,6.0,11.0,0.06666666666666667,0.03278688524590164,16.5,32.0,0.06451612903225806,0.03278688524590164,4.0,7.0,0.06493506493506493,0.033444816053511704,11.5,22.5,0.043010752688172046,0.021505376344086023,4.5,8.0,0.06666666666666667,0.03319502074688797,12.5,29.0,16.5,32.5,0.0,0.0,16.5,31.0,0.0,0.0,6.5,11.5,0.05084745762711865,0.031914893617021274,12.0,25.0,0.0,0.0,1.0,1.0,0.2857142857142857,0.16666666666666666,4.5,5.5,0.12121212121212122,0.08,3.0,3.5,0.08333333333333333,0.04878048780487805,11.0,18.0,0.053554767680537414,0.0288906784779545,19.0,41.0,0.08450704225352113,0.0425531914893617,8.5,15.5,0.05714285714285714,0.027972027972027972,16.0,32.0,0.0,0.0,21.0,39.0,0.03944444444444444,0.0197167453485143,1,0
Rory Laird,9.5,14.5,0.0514018691588785,0.029177718832891247,3.0,8.0,0.08333333333333333,0.037037037037037035,5.0,9.5,0.06358381502890173,0.032640949554896145,6.5,7.5,0.06593406593406594,0.03896103896103896,15.5,29.5,0.0,0.0,15.5,28.5,0.0,0.0,18.5,37.0,0.014285714285714285,0.006289308176100629,12.5,24.5,0.0,0.0,13.5,28.5,0.0,0.0,19.0,33.5,0.020833333333333332,0.011111111111111112,17.0,33.5,0.0,0.0,13.5,27.5,0.031746031746031744,0.016666666666666666,7.0,13.0,0.06451612903225806,0.03508771929824561,19.5,38.0,0.0,0.0,10.0,18.5,0.03225806451612903,0.01639344262295082,6.0,10.5,0.05844155844155844,0.030100334448160536,2.5,6.5,0.06989247311827956,0.03494623655913978,3.0,5.0,0.07083333333333333,0.035269709543568464,9.5,19.5,6.0,13.5,0.08333333333333333,0.03571428571428571,16.5,31.0,0.0,0.0,18.5,37.0,0.0,0.0,12.0,25.0,0.0,0.0,14.5,28.5,0.0,0.0,17.0,33.0,0.0,0.0,9.0,13.5,0.052083333333333336,0.03048780487804878,7.0,12.0,0.05710020526217578,0.03080330179182605,15.0,29.5,0.056338028169014086,0.028368794326241134,1.0,2.5,0.12857142857142856,0.06293706293706294,16.0,32.0,0.0,0.0,4.0,10.5,0.04833333333333333,0.024159955567897805,1,0
Richard Douglas,9.5,14.5,0.0514018691588785,0.029177718832891247,6.0,13.0,0.06818181818181818,0.030303030303030304,6.0,11.0,0.057803468208092484,0.02967359050445104,20.5,39.5,0.01098901098901099,0.006493506493506494,1.0,2.0,0.3076923076923077,0.17391304347826086,15.5,28.5,0.0,0.0,6.0,14.0,0.07142857142857142,0.031446540880503145,12.5,24.5,0.0,0.0,3.5,7.5,0.16666666666666666,0.07142857142857142,12.5,21.5,0.041666666666666664,0.022222222222222223,6.0,9.5,0.06382978723404255,0.04054054054054054,10.0,19.0,0.047619047619047616,0.025,13.5,25.0,0.03225806451612903,0.017543859649122806,19.5,38.0,0.0,0.0,3.0,5.5,0.0,0.0,10.0,20.5,0.045454545454545456,0.023411371237458192,6.0,10.5,0.06451612903225806,0.03225806451612903,4.5,8.0,0.06666666666666667,0.03319502074688797,8.0,15.0,6.0,13.5,0.08333333333333333,0.03571428571428571,6.5,11.5,0.07692307692307693,0.041666666666666664,6.5,11.5,0.05084745762711865,0.031914893617021274,12.0,25.0,0.0,0.0,5.5,10.0,0.07142857142857142,0.041666666666666664,6.5,9.0,0.06060606060606061,0.04,3.0,3.5,0.08333333333333333,0.04878048780487805,4.0,9.0,0.05747340921813771,0.03100463056170727,11.0,19.5,0.04225352112676056,0.02127659574468085,8.5,15.5,0.05714285714285714,0.027972027972027972,7.0,14.0,0.058823529411764705,0.03125,17.0,34.0,0.043333333333333335,0.021660649819494584,1,0
Tom Lynch,6.5,10.0,0.056074766355140186,0.03183023872679045,8.0,17.0,0.05303030303030303,0.02356902356902357,7.5,12.5,0.05491329479768786,0.028189910979228485,3.0,3.0,0.07692307692307693,0.045454545454545456,5.5,9.0,0.07692307692307693,0.043478260869565216,6.5,9.0,0.08333333333333333,0.05555555555555555,11.0,21.0,0.04285714285714286,0.018867924528301886,12.5,24.5,0.0,0.0,13.5,28.5,0.0,0.0,5.5,11.0,0.0625,0.03333333333333333,17.0,33.5,0.0,0.0,2.5,3.0,0.09523809523809523,0.05,20.0,38.0,0.0,0.0,6.0,11.0,0.06666666666666667,0.03278688524590164,19.5,40.0,0.0967741935483871,0.04918032786885246,10.0,20.5,0.045454545454545456,0.023411371237458192,2.5,6.5,0.06989247311827956,0.03494623655913978,11.5,24.0,0.041666666666666664,0.02074688796680498,18.0,37.0,16.5,32.5,0.0,0.0,2.0,4.0,0.15384615384615385,0.08333333333333333,18.5,37.0,0.0,0.0,12.0,25.0,0.0,0.0,14.5,28.5,0.0,0.0,17.0,33.0,0.0,0.0,5.0,6.0,0.07291666666666667,0.042682926829268296,5.5,10.5,0.057286807240156744,0.03090396617676666,22.0,44.0,0.11267605633802817,0.05673758865248227,4.5,9.0,0.07142857142857142,0.03496503496503497,16.0,32.0,0.0,0.0,7.0,17.5,0.04722222222222222,0.02360455429047487,1,0
Rory Atkins,9.5,14.5,0.0514018691588785,0.029177718832891247,7.0,14.5,0.06060606060606061,0.026936026936026935,7.5,12.5,0.05491329479768786,0.028189910979228485,8.5,10.5,0.054945054945054944,0.032467532467532464,15.5,29.5,0.0,0.0,6.5,9.0,0.08333333333333333,0.05555555555555555,6.0,14.0,0.07142857142857142,0.031446540880503145,12.5,24.5,0.0,0.0,13.5,28.5,0.0,0.0,12.5,21.5,0.041666666666666664,0.022222222222222223,9.5,18.5,0.02127659574468085,0.013513513513513514,10.0,19.0,0.047619047619047616,0.025,13.5,25.0,0.03225806451612903,0.017543859649122806,6.0,11.0,0.06666666666666667,0.03278688524590164,3.0,5.5,0.0,0.0,13.0,24.5,0.03896103896103896,0.020066889632107024,6.0,10.5,0.06451612903225806,0.03225806451612903,8.5,16.0,0.05416666666666667,0.026970954356846474,14.0,31.0,16.5,32.5,0.0,0.0,6.5,11.5,0.07692307692307693,0.041666666666666664,12.5,23.5,0.01694915254237288,0.010638297872340425,1.0,2.0,1.0,0.25,14.5,28.5,0.0,0.0,9.5,16.5,0.030303030303030304,0.02,11.5,19.5,0.041666666666666664,0.024390243902439025,5.5,10.5,0.057286807240156744,0.03090396617676666,15.0,29.5,0.056338028169014086,0.028368794326241134,4.5,9.0,0.07142857142857142,0.03496503496503497,7.0,14.0,0.058823529411764705,0.03125,10.0,21.0,0.04611111111111111,0.02304915301305193,1,0
Sam Jacobs,9.5,14.5,0.0514018691588785,0.029177718832891247,9.0,21.5,0.045454545454545456,0.020202020202020204,9.5,16.0,0.049132947976878616,0.025222551928783383,3.0,3.0,0.07692307692307693,0.045454545454545456,15.5,29.5,0.0,0.0,15.5,28.5,0.0,0.0,18.5,37.0,0.014285714285714285,0.006289308176100629,1.0,1.0,0.8205128205128205,0.42105263157894735,13.5,28.5,0.0,0.0,2.0,5.5,0.08333333333333333,0.044444444444444446,5.0,6.0,0.10638297872340426,0.06756756756756757,18.0,36.0,0.015873015873015872,0.008333333333333333,20.0,38.0,0.0,0.0,6.0,11.0,0.06666666666666667,0.03278688524590164,10.0,18.5,0.03225806451612903,0.01639344262295082,6.0,10.5,0.05844155844155844,0.030100334448160536,11.5,22.5,0.043010752688172046,0.021505376344086023,7.0,13.0,0.058333333333333334,0.029045643153526972,6.0,9.0,1.0,1.5,0.25,0.10714285714285714,16.5,31.0,0.0,0.0,4.5,7.0,0.06779661016949153,0.0425531914893617,12.0,25.0,0.0,0.0,5.5,10.0,0.07142857142857142,0.041666666666666664,4.5,5.5,0.12121212121212122,0.08,3.0,3.5,0.08333333333333333,0.04878048780487805,10.0,15.5,0.05523418548236611,0.029796657942419973,11.0,19.5,0.04225352112676056,0.02127659574468085,18.5,35.5,0.014285714285714285,0.006993006993006993,16.0,32.0,0.0,0.0,5.0,13.5,0.04777777777777778,0.023882254929186338,1,2
Brodie Smith,2.0,2.5,0.07476635514018691,0.042440318302387266,20.0,41.0,0.007575757575757576,0.003367003367003367,9.5,16.0,0.049132947976878616,0.025222551928783383,3.0,3.0,0.07692307692307693,0.045454545454545456,15.5,29.5,0.0,0.0,15.5,28.5,0.0,0.0,11.0,21.0,0.04285714285714286,0.018867924528301886,12.5,24.5,0.0,0.0,13.5,28.5,0.0,0.0,5.5,11.0,0.0625,0.03333333333333333,9.5,18.5,0.02127659574468085,0.013513513513513514,13.5,27.5,0.031746031746031744,0.016666666666666666,3.0,4.5,0.0967741935483871,0.05263157894736842,19.5,38.0,0.0,0.0,10.0,18.5,0.03225806451612903,0.01639344262295082,10.0,20.5,0.045454545454545456,0.023411371237458192,11.5,22.5,0.043010752688172046,0.021505376344086023,8.5,16.0,0.05416666666666667,0.026970954356846474,11.0,21.5,6.0,13.5,0.08333333333333333,0.03571428571428571,16.5,31.0,0.0,0.0,18.5,37.0,0.0,0.0,12.0,25.0,0.0,0.0,14.5,28.5,0.0,0.0,9.5,16.5,0.030303030303030304,0.02,11.5,19.5,0.041666666666666664,0.024390243902439025,2.0,4.0,0.0977794364620265,0.0527481377088786,18.0,38.0,0.07042253521126761,0.03546099290780142,2.0,5.0,0.08571428571428572,0.04195804195804196,16.0,32.0,0.0,0.0,10.0,21.0,0.04611111111111111,0.02304915301305193,1,0
