Player,Kicks OTR,Kicks BTR,Kicks OT%,Kicks BT%,Handballs OTR,Handballs BTR,Handballs OT%,Handballs BT%,Disposals OTR,Disposals BTR,Disposals OT%,Disposals BT%,Marks OTR,Marks BTR,Marks OT%,Marks BT%,Goals OTR,Goals BTR,Goals OT%,Goals BT%,Behinds OTR,Behinds BTR,Behinds OT%,Behinds BT%,Tackles OTR,Tackles BTR,Tackles OT%,Tackles BT%,Hitouts OTR,Hitouts BTR,Hitouts OT%,Hitouts BT%,Goal Assists OTR,Goal Assists BTR,Goal Assists OT%,Goal Assists BT%,Inside 50s OTR,Inside 50s BTR,Inside 50s OT%,Inside 50s BT%,Clearances OTR,Clearances BTR,Clearances OT%,Clearances BT%,Clangers OTR,Clangers BTR,Clangers OT%,Clangers BT%,Rebound 50s OTR,Rebound 50s BTR,Rebound 50s OT%,Rebound 50s BT%,Frees For OTR,Frees For BTR,Frees For OT%,Frees For BT%,Frees Agains OTR,Frees Agains BTR,Frees Agains OT%,Frees Agains BT%,Contested Possessions OTR,Contested Possessions BTR,Contested Possessions OT%,Contested Possessions BT%,Uncontested Possessions OTR,Uncontested Possessions BTR,Uncontested Possessions OT%,Uncontested Possessions BT%,Effective Disposals OTR,Effective Disposals BTR,Effective Disposals OT%,Effective Disposals BT%,Disposal Efficiency % OTR,Disposal Efficiency % BTR,Contested Marks OTR,Contested Marks BTR,Contested Marks OT%,Contested Marks BT%,Marks Inside 50 OTR,Marks Inside 50 BTR,Marks Inside 50 OT%,Marks Inside 50 BT%,One Percenters OTR,One Percenters BTR,One Percenters OT%,One Percenters BT%,Bounces OTR,Bounces BTR,Bounces OT%,Bounces BT%,Centre Clearances OTR,Centre Clearances BTR,Centre Clearances OT%,Centre Clearances BT%,Stoppage Clearances OTR,Stoppage Clearances BTR,Stoppage Clearances OT%,Stoppage Clearances BT%,Score Involvements OTR,Score Involvements BTR,Score Involvements OT%,Score Involvements BT%,Metres Gained OTR,Metres Gained BTR,Metres Gained OT%,Metres Gained BT%,Turnovers OTR,Turnovers BTR,Turnovers OT%,Turnovers BT%,Intercepts OTR,Intercepts BTR,Intercepts OT%,Intercepts BT%,Tackles Inside 50 OTR,Tackles Inside 50 BTR,Tackles Inside 50 OT%,Tackles Inside 50 BT%,Time On Ground % OTR,Time On Ground % BTR,Time On Ground % OT%,Time On Ground % BT%,Winloss,Brownlow Votes
Ryan Clarke,7.0,17.5,0.06451612903225806,0.027649769585253458,1.0,1.0,0.09693877551020408,0.04810126582278481,1.0,2.0,0.08115183246073299,0.03739445114595899,1.0,3.0,0.1,0.0423728813559322,13.0,30.0,0.0,0.0,15.5,30.0,0.0,0.0,20.0,40.5,0.0,0.0,12.5,25.0,0.0,0.0,13.5,28.0,0.0,0.0,11.5,21.5,0.037037037037037035,0.019417475728155338,7.0,11.5,0.06060606060606061,0.034482758620689655,8.0,16.0,0.04477611940298507,0.024193548387096774,6.0,15.0,0.07142857142857142,0.02857142857142857,16.5,34.5,0.0,0.0,14.5,29.0,0.047619047619047616,0.02702702702702703,11.0,23.5,0.044642857142857144,0.0211864406779661,1.0,1.0,0.0989010989010989,0.04584040747028863,1.0,1.0,0.09688581314878893,0.04409448818897638,4.0,6.5,15.5,30.0,0.0,0.0,15.5,31.0,0.0,0.0,11.5,23.5,0.03225806451612903,0.015873015873015872,12.5,27.0,0.0,0.0,5.5,9.5,0.07142857142857142,0.041666666666666664,8.0,13.5,0.05263157894736842,0.029411764705882353,8.0,21.0,0.05813953488372093,0.02358490566037736,7.0,17.0,0.06516342573438147,0.02928053541550474,17.5,35.5,0.06666666666666667,0.03571428571428571,5.0,11.0,0.07575757575757576,0.03546099290780142,16.5,31.0,0.0,0.0,2.5,2.5,0.05116796440489433,0.02556976097832129,0,0
Ben Cunnington,5.0,13.5,0.06989247311827956,0.029953917050691243,3.0,6.0,0.07653061224489796,0.0379746835443038,2.0,5.0,0.07329842931937172,0.033775633293124246,13.5,29.5,0.04,0.01694915254237288,13.0,30.0,0.0,0.0,15.5,30.0,0.0,0.0,5.5,8.5,0.08333333333333333,0.04081632653061224,12.5,25.0,0.0,0.0,13.5,28.0,0.0,0.0,5.5,10.0,0.07407407407407407,0.038834951456310676,2.5,3.5,0.15151515151515152,0.08620689655172414,1.0,1.0,0.14925373134328357,0.08064516129032258,9.5,22.5,0.03571428571428571,0.014285714285714285,7.5,17.5,0.0625,0.02702702702702703,22.0,44.0,0.23809523809523808,0.13513513513513514,1.5,2.5,0.09821428571428571,0.046610169491525424,4.0,11.5,0.06593406593406594,0.030560271646859084,6.5,16.5,0.058823529411764705,0.026771653543307086,18.0,38.0,5.5,10.0,0.1,0.05263157894736842,15.5,31.0,0.0,0.0,18.0,35.5,0.0,0.0,12.5,27.0,0.0,0.0,2.5,3.5,0.21428571428571427,0.125,4.0,6.5,0.10526315789473684,0.058823529411764705,8.0,21.0,0.05813953488372093,0.02358490566037736,4.0,10.0,0.07509309060819197,0.03374233128834356,21.0,42.5,0.09333333333333334,0.05,5.0,11.0,0.07575757575757576,0.03546099290780142,6.5,11.5,0.08333333333333333,0.045454545454545456,16.5,33.5,0.04449388209121246,0.022234574763757644,0,0
Sam Gibson,9.0,22.0,0.053763440860215055,0.02304147465437788,2.0,3.5,0.08673469387755102,0.043037974683544304,3.5,9.0,0.07068062827225131,0.032569360675512665,3.5,13.5,0.07,0.029661016949152543,13.0,30.0,0.0,0.0,6.0,12.0,0.09090909090909091,0.04,11.0,21.5,0.041666666666666664,0.02040816326530612,12.5,25.0,0.0,0.0,13.5,28.0,0.0,0.0,8.0,14.0,0.05555555555555555,0.02912621359223301,4.0,5.0,0.12121212121212122,0.06896551724137931,16.0,28.5,0.029850746268656716,0.016129032258064516,6.0,15.0,0.07142857142857142,0.02857142857142857,3.0,6.5,0.125,0.05405405405405406,6.0,12.0,0.0,0.0,4.5,6.5,0.08035714285714286,0.038135593220338986,4.0,11.5,0.06593406593406594,0.030560271646859084,4.0,13.5,0.0657439446366782,0.029921259842519685,15.0,31.5,5.5,10.0,0.1,0.05263157894736842,5.5,12.5,0.08333333333333333,0.034482758620689655,11.5,23.5,0.03225806451612903,0.015873015873015872,12.5,27.0,0.0,0.0,15.0,29.0,0.0,0.0,1.5,2.5,0.21052631578947367,0.11764705882352941,11.5,28.5,0.046511627906976744,0.018867924528301886,9.0,22.0,0.05709557302441043,0.025655326268823202,17.5,35.5,0.06666666666666667,0.03571428571428571,1.0,2.5,0.12121212121212122,0.05673758865248227,6.5,11.5,0.08333333333333333,0.045454545454545456,4.5,6.5,0.05005561735261402,0.02501389660922735,0,0
Trent Dumont,5.0,13.5,0.06989247311827956,0.029953917050691243,4.0,7.0,0.07142857142857142,0.035443037974683546,3.5,9.0,0.07068062827225131,0.032569360675512665,8.5,22.0,0.05,0.0211864406779661,13.0,30.0,0.0,0.0,15.5,30.0,0.0,0.0,5.5,8.5,0.08333333333333333,0.04081632653061224,12.5,25.0,0.0,0.0,13.5,28.0,0.0,0.0,1.5,2.5,0.1111111111111111,0.05825242718446602,1.0,2.0,0.21212121212121213,0.1206896551724138,3.5,6.0,0.07462686567164178,0.04032258064516129,2.0,4.0,0.17857142857142858,0.07142857142857142,7.5,17.5,0.0625,0.02702702702702703,6.0,12.0,0.0,0.0,1.5,2.5,0.09821428571428571,0.046610169491525424,6.0,14.5,0.06227106227106227,0.028862478777589132,2.5,8.0,0.0726643598615917,0.03307086614173228,9.0,18.0,15.5,30.0,0.0,0.0,15.5,31.0,0.0,0.0,18.0,35.5,0.0,0.0,12.5,27.0,0.0,0.0,2.5,3.5,0.21428571428571427,0.125,1.5,2.5,0.21052631578947367,0.11764705882352941,4.0,12.5,0.06976744186046512,0.02830188679245283,3.0,5.0,0.0875051717004551,0.03931957612939208,17.5,35.5,0.06666666666666667,0.03571428571428571,5.0,11.0,0.07575757575757576,0.03546099290780142,6.5,11.5,0.08333333333333333,0.045454545454545456,16.5,33.5,0.04449388209121246,0.022234574763757644,0,0
Luke McDonald,3.0,9.5,0.07526881720430108,0.03225806451612903,11.0,22.5,0.04591836734693878,0.02278481012658228,5.0,15.0,0.060209424083769635,0.027744270205066344,17.5,36.5,0.03,0.012711864406779662,13.0,30.0,0.0,0.0,15.5,30.0,0.0,0.0,20.0,40.5,0.0,0.0,12.5,25.0,0.0,0.0,2.5,7.5,0.25,0.06666666666666667,8.0,14.0,0.05555555555555555,0.02912621359223301,5.0,7.0,0.09090909090909091,0.05172413793103448,3.5,6.0,0.07462686567164178,0.04032258064516129,2.0,4.0,0.17857142857142858,0.07142857142857142,7.5,17.5,0.0625,0.02702702702702703,14.5,29.0,0.047619047619047616,0.02702702702702703,7.0,15.5,0.05357142857142857,0.025423728813559324,7.0,17.0,0.05860805860805861,0.027164685908319185,6.5,16.5,0.058823529411764705,0.026771653543307086,12.0,25.5,15.5,30.0,0.0,0.0,15.5,31.0,0.0,0.0,2.5,4.0,0.12903225806451613,0.06349206349206349,12.5,27.0,0.0,0.0,5.5,9.5,0.07142857142857142,0.041666666666666664,4.0,6.5,0.10526315789473684,0.058823529411764705,15.0,34.0,0.03488372093023256,0.014150943396226415,2.0,3.0,0.09515928837401738,0.042758877114705336,21.0,42.5,0.09333333333333334,0.05,14.5,28.5,0.030303030303030304,0.014184397163120567,16.5,31.0,0.0,0.0,15.0,31.5,0.04505005561735261,0.022512506948304613,0,0
Jack Ziebell,1.0,5.0,0.08602150537634409,0.03686635944700461,15.5,31.0,0.030612244897959183,0.015189873417721518,6.0,16.0,0.05759162303664921,0.026537997587454766,3.5,13.5,0.07,0.029661016949152543,1.0,1.0,0.7142857142857143,0.21739130434782608,15.5,30.0,0.0,0.0,1.5,3.5,0.10416666666666667,0.05102040816326531,12.5,25.0,0.0,0.0,2.5,7.5,0.25,0.06666666666666667,5.5,10.0,0.07407407407407407,0.038834951456310676,7.0,11.5,0.06060606060606061,0.034482758620689655,2.0,3.5,0.08955223880597014,0.04838709677419355,17.0,36.0,0.0,0.0,3.0,6.5,0.125,0.05405405405405406,14.5,29.0,0.047619047619047616,0.02702702702702703,3.0,4.0,0.08928571428571429,0.0423728813559322,13.0,26.5,0.040293040293040296,0.01867572156196944,8.5,18.5,0.05536332179930796,0.025196850393700787,14.0,29.5,5.5,10.0,0.1,0.05263157894736842,1.0,1.5,0.3333333333333333,0.13793103448275862,11.5,23.5,0.03225806451612903,0.015873015873015872,12.5,27.0,0.0,0.0,5.5,9.5,0.07142857142857142,0.041666666666666664,8.0,13.5,0.05263157894736842,0.029411764705882353,1.0,7.5,0.08139534883720931,0.0330188679245283,5.0,11.0,0.07364501448076127,0.03309165272355456,21.0,42.5,0.09333333333333334,0.05,11.0,21.5,0.045454545454545456,0.02127659574468085,6.5,11.5,0.08333333333333333,0.045454545454545456,8.0,14.5,0.04838709677419355,0.024180100055586438,0,1
Robbie Tarrant,5.0,13.5,0.06989247311827956,0.029953917050691243,12.5,25.5,0.04081632653061224,0.020253164556962026,7.5,17.5,0.0549738219895288,0.025331724969843185,2.0,6.5,0.09,0.038135593220338986,13.0,30.0,0.0,0.0,15.5,30.0,0.0,0.0,20.0,40.5,0.0,0.0,12.5,25.0,0.0,0.0,13.5,28.0,0.0,0.0,17.0,32.5,0.018518518518518517,0.009708737864077669,17.0,33.5,0.0,0.0,5.0,9.0,0.05970149253731343,0.03225806451612903,4.0,10.0,0.10714285714285714,0.04285714285714286,7.5,17.5,0.0625,0.02702702702702703,21.0,43.0,0.19047619047619047,0.10810810810810811,19.0,39.5,0.017857142857142856,0.00847457627118644,2.0,8.5,0.0695970695970696,0.03225806451612903,2.5,8.0,0.0726643598615917,0.03307086614173228,1.5,1.5,15.5,30.0,0.0,0.0,15.5,31.0,0.0,0.0,7.5,15.5,0.06451612903225806,0.031746031746031744,12.5,27.0,0.0,0.0,15.0,29.0,0.0,0.0,16.5,31.5,0.0,0.0,11.5,28.5,0.046511627906976744,0.018867924528301886,11.5,28.5,0.037443111294993794,0.01682468860382971,1.5,2.5,0.0,0.0,14.5,28.5,0.030303030303030304,0.014184397163120567,16.5,31.0,0.0,0.0,2.5,2.5,0.05116796440489433,0.02556976097832129,0,0
Aaron Mullett,2.0,6.5,0.08064516129032258,0.03456221198156682,15.5,31.0,0.030612244897959183,0.015189873417721518,7.5,17.5,0.0549738219895288,0.025331724969843185,8.5,22.0,0.05,0.0211864406779661,13.0,30.0,0.0,0.0,15.5,30.0,0.0,0.0,15.0,32.0,0.020833333333333332,0.01020408163265306,12.5,25.0,0.0,0.0,13.5,28.0,0.0,0.0,17.0,32.5,0.018518518518518517,0.009708737864077669,17.0,33.5,0.0,0.0,16.0,28.5,0.029850746268656716,0.016129032258064516,2.0,4.0,0.17857142857142858,0.07142857142857142,16.5,34.5,0.0,0.0,6.0,12.0,0.0,0.0,15.5,34.0,0.026785714285714284,0.012711864406779662,8.5,20.0,0.054945054945054944,0.025466893039049237,5.0,15.0,0.06228373702422145,0.028346456692913385,5.5,9.5,15.5,30.0,0.0,0.0,15.5,31.0,0.0,0.0,7.5,15.5,0.06451612903225806,0.031746031746031744,12.5,27.0,0.0,0.0,15.0,29.0,0.0,0.0,16.5,31.5,0.0,0.0,11.5,28.5,0.046511627906976744,0.018867924528301886,1.0,1.0,0.09888291270169632,0.04443205056701989,10.5,23.0,0.04,0.02142857142857143,11.0,21.5,0.045454545454545456,0.02127659574468085,16.5,31.0,0.0,0.0,6.0,10.0,0.048943270300333706,0.024458032240133407,0,0
Nathan Hrovat,10.5,27.5,0.043010752688172046,0.018433179723502304,8.0,13.5,0.061224489795918366,0.030379746835443037,9.0,19.0,0.05235602094240838,0.024125452352231604,5.5,17.5,0.06,0.025423728813559324,13.0,30.0,0.0,0.0,15.5,30.0,0.0,0.0,15.0,32.0,0.020833333333333332,0.01020408163265306,12.5,25.0,0.0,0.0,13.5,28.0,0.0,0.0,3.5,6.0,0.09259259259259259,0.04854368932038835,10.0,18.5,0.030303030303030304,0.017241379310344827,16.0,28.5,0.029850746268656716,0.016129032258064516,17.0,36.0,0.0,0.0,16.5,34.5,0.0,0.0,6.0,12.0,0.0,0.0,11.0,23.5,0.044642857142857144,0.0211864406779661,11.0,23.0,0.05128205128205128,0.023769100169779286,11.0,22.0,0.05190311418685121,0.023622047244094488,10.0,20.5,15.5,30.0,0.0,0.0,15.5,31.0,0.0,0.0,18.0,35.5,0.0,0.0,1.5,7.5,0.5,0.05263157894736842,15.0,29.0,0.0,0.0,8.0,13.5,0.05263157894736842,0.029411764705882353,4.0,12.5,0.06976744186046512,0.02830188679245283,10.0,25.0,0.0430285477865122,0.019334448782301544,6.5,13.5,0.02666666666666667,0.014285714285714285,20.5,41.0,0.0,0.0,6.5,11.5,0.08333333333333333,0.045454545454545456,10.0,19.0,0.047274749721913235,0.023624235686492495,0,0
Shaun Higgins,8.0,20.0,0.05913978494623656,0.02534562211981567,12.5,25.5,0.04081632653061224,0.020253164556962026,12.0,23.0,0.049738219895287955,0.022919179734620022,13.5,29.5,0.04,0.01694915254237288,13.0,30.0,0.0,0.0,6.0,12.0,0.09090909090909091,0.04,5.5,8.5,0.08333333333333333,0.04081632653061224,12.5,25.0,0.0,0.0,2.5,7.5,0.25,0.06666666666666667,1.5,2.5,0.1111111111111111,0.05825242718446602,17.0,33.5,0.0,0.0,16.0,28.5,0.029850746268656716,0.016129032258064516,17.0,36.0,0.0,0.0,16.5,34.5,0.0,0.0,6.0,12.0,0.0,0.0,11.0,23.5,0.044642857142857144,0.0211864406779661,11.0,23.0,0.05128205128205128,0.023769100169779286,15.0,29.5,0.04498269896193772,0.02047244094488189,16.0,33.0,5.5,10.0,0.1,0.05263157894736842,2.0,5.5,0.16666666666666666,0.06896551724137931,11.5,23.5,0.03225806451612903,0.015873015873015872,12.5,27.0,0.0,0.0,15.0,29.0,0.0,0.0,16.5,31.5,0.0,0.0,8.0,21.0,0.05813953488372093,0.02358490566037736,6.0,13.0,0.06909391808026479,0.031046662948503438,14.0,30.5,0.05333333333333334,0.02857142857142857,5.0,11.0,0.07575757575757576,0.03546099290780142,1.5,3.0,0.16666666666666666,0.09090909090909091,8.0,14.5,0.04838709677419355,0.024180100055586438,0,0
