Player,Kicks OTR,Kicks BTR,Kicks OT%,Kicks BT%,Handballs OTR,Handballs BTR,Handballs OT%,Handballs BT%,Disposals OTR,Disposals BTR,Disposals OT%,Disposals BT%,Marks OTR,Marks BTR,Marks OT%,Marks BT%,Goals OTR,Goals BTR,Goals OT%,Goals BT%,Behinds OTR,Behinds BTR,Behinds OT%,Behinds BT%,Tackles OTR,Tackles BTR,Tackles OT%,Tackles BT%,Hitouts OTR,Hitouts BTR,Hitouts OT%,Hitouts BT%,Goal Assists OTR,Goal Assists BTR,Goal Assists OT%,Goal Assists BT%,Inside 50s OTR,Inside 50s BTR,Inside 50s OT%,Inside 50s BT%,Clearances OTR,Clearances BTR,Clearances OT%,Clearances BT%,Clangers OTR,Clangers BTR,Clangers OT%,Clangers BT%,Rebound 50s OTR,Rebound 50s BTR,Rebound 50s OT%,Rebound 50s BT%,Frees For OTR,Frees For BTR,Frees For OT%,Frees For BT%,Frees Agains OTR,Frees Agains BTR,Frees Agains OT%,Frees Agains BT%,Contested Possessions OTR,Contested Possessions BTR,Contested Possessions OT%,Contested Possessions BT%,Uncontested Possessions OTR,Uncontested Possessions BTR,Uncontested Possessions OT%,Uncontested Possessions BT%,Effective Disposals OTR,Effective Disposals BTR,Effective Disposals OT%,Effective Disposals BT%,Disposal Efficiency % OTR,Disposal Efficiency % BTR,Contested Marks OTR,Contested Marks BTR,Contested Marks OT%,Contested Marks BT%,Marks Inside 50 OTR,Marks Inside 50 BTR,Marks Inside 50 OT%,Marks Inside 50 BT%,One Percenters OTR,One Percenters BTR,One Percenters OT%,One Percenters BT%,Bounces OTR,Bounces BTR,Bounces OT%,Bounces BT%,Centre Clearances OTR,Centre Clearances BTR,Centre Clearances OT%,Centre Clearances BT%,Stoppage Clearances OTR,Stoppage Clearances BTR,Stoppage Clearances OT%,Stoppage Clearances BT%,Score Involvements OTR,Score Involvements BTR,Score Involvements OT%,Score Involvements BT%,Metres Gained OTR,Metres Gained BTR,Metres Gained OT%,Metres Gained BT%,Turnovers OTR,Turnovers BTR,Turnovers OT%,Turnovers BT%,Intercepts OTR,Intercepts BTR,Intercepts OT%,Intercepts BT%,Tackles Inside 50 OTR,Tackles Inside 50 BTR,Tackles Inside 50 OT%,Tackles Inside 50 BT%,Time On Ground % OTR,Time On Ground % BTR,Time On Ground % OT%,Time On Ground % BT%,Winloss,Brownlow Votes
Chad Wingard,1.0,1.0,0.09359605911330049,0.04668304668304668,4.0,7.5,0.06532663316582915,0.03591160220994475,1.0,1.0,0.07960199004975124,0.04161248374512354,3.0,7.0,0.07476635514018691,0.03636363636363636,17.0,31.5,0.0,0.0,6.5,10.0,0.08333333333333333,0.05263157894736842,6.0,15.0,0.0625,0.026785714285714284,12.5,25.0,0.0,0.0,16.5,30.0,0.0,0.0,1.0,1.0,0.1509433962264151,0.08163265306122448,2.0,4.0,0.17647058823529413,0.08333333333333333,7.0,15.5,0.06,0.02857142857142857,18.0,36.0,0.0,0.0,8.5,16.5,0.05263157894736842,0.027777777777777776,5.0,11.0,0.0,0.0,3.0,6.5,0.07936507936507936,0.03861003861003861,1.5,1.5,0.07885304659498207,0.0419047619047619,3.5,7.0,0.06514657980456026,0.034071550255536626,20.0,40.0,14.5,29.0,0.0,0.0,7.0,12.0,0.045454545454545456,0.029411764705882353,20.5,38.5,0.0,0.0,12.5,26.0,0.0,0.0,3.0,5.0,0.14285714285714285,0.08333333333333333,2.0,4.5,0.2,0.08333333333333333,4.5,6.5,0.06504065040650407,0.03902439024390244,1.0,1.0,0.11064064801178203,0.056617993405558176,19.5,37.0,0.07575757575757576,0.03787878787878788,14.5,26.5,0.030303030303030304,0.015151515151515152,2.5,4.5,0.25,0.125,5.0,5.5,0.05113952195664258,0.02556976097832129,1,0
Oliver Wines,15.5,27.0,0.03940886699507389,0.019656019656019656,1.0,1.0,0.10552763819095477,0.058011049723756904,2.0,4.0,0.07213930348258707,0.0377113133940182,21.5,42.0,0.009345794392523364,0.004545454545454545,7.5,11.5,0.07142857142857142,0.041666666666666664,16.0,29.5,0.0,0.0,12.5,26.0,0.041666666666666664,0.017857142857142856,12.5,25.0,0.0,0.0,16.5,30.0,0.0,0.0,7.5,12.0,0.05660377358490566,0.030612244897959183,1.0,2.0,0.2647058823529412,0.125,4.0,8.5,0.08,0.0380952380952381,18.0,36.0,0.0,0.0,2.0,2.5,0.15789473684210525,0.08333333333333333,14.5,28.0,0.058823529411764705,0.027777777777777776,1.0,1.0,0.12698412698412698,0.06177606177606178,10.5,19.5,0.04659498207885305,0.024761904761904763,2.0,4.0,0.07166123778501629,0.03747870528109029,13.0,25.0,14.5,29.0,0.0,0.0,16.5,32.0,0.0,0.0,15.0,24.5,0.01818181818181818,0.012987012987012988,12.5,26.0,0.0,0.0,1.5,1.5,0.2857142857142857,0.16666666666666666,1.0,2.5,0.25,0.10416666666666667,8.5,12.5,0.04878048780487805,0.02926829268292683,6.0,11.0,0.062223858615611194,0.03184173339613754,21.5,42.5,0.09090909090909091,0.045454545454545456,10.0,19.5,0.045454545454545456,0.022727272727272728,13.5,26.5,0.0,0.0,17.0,38.0,0.040022234574763754,0.020011117287381877,1,3
Brad Ebert,9.0,17.5,0.04926108374384237,0.02457002457002457,2.0,3.0,0.09045226130653267,0.049723756906077346,3.0,5.0,0.06965174129353234,0.036410923276983094,11.0,21.5,0.04672897196261682,0.022727272727272728,17.0,31.5,0.0,0.0,2.0,3.0,0.16666666666666666,0.10526315789473684,2.5,8.0,0.08333333333333333,0.03571428571428571,12.5,25.0,0.0,0.0,16.5,30.0,0.0,0.0,12.5,22.5,0.03773584905660377,0.02040816326530612,4.0,7.0,0.11764705882352941,0.05555555555555555,1.5,3.5,0.1,0.047619047619047616,5.0,8.5,0.0967741935483871,0.046153846153846156,8.5,16.5,0.05263157894736842,0.027777777777777776,20.5,38.5,0.11764705882352941,0.05555555555555555,2.0,4.0,0.09523809523809523,0.04633204633204633,6.0,10.5,0.06093189964157706,0.03238095238095238,5.0,9.5,0.06188925081433225,0.03236797274275979,18.0,35.0,4.0,9.0,0.14285714285714285,0.047619047619047616,7.0,12.0,0.045454545454545456,0.029411764705882353,10.0,13.0,0.03636363636363636,0.025974025974025976,12.5,26.0,0.0,0.0,5.5,9.5,0.07142857142857142,0.041666666666666664,3.0,6.5,0.15,0.0625,13.0,18.0,0.04065040650406504,0.024390243902439025,8.0,14.0,0.05559646539027982,0.028450306170513424,16.5,30.5,0.06060606060606061,0.030303030303030304,6.5,14.0,0.06060606060606061,0.030303030303030304,13.5,26.5,0.0,0.0,9.5,15.5,0.04780433574207893,0.023902167871039465,1,2
Jasper Pittard,2.0,5.5,0.07389162561576355,0.036855036855036855,6.5,11.0,0.05527638190954774,0.03038674033149171,4.0,8.0,0.06467661691542288,0.033810143042912875,5.0,11.0,0.06542056074766354,0.031818181818181815,17.0,31.5,0.0,0.0,2.0,3.0,0.16666666666666666,0.10526315789473684,18.0,34.5,0.020833333333333332,0.008928571428571428,12.5,25.0,0.0,0.0,6.0,9.0,0.09090909090909091,0.058823529411764705,7.5,12.0,0.05660377358490566,0.030612244897959183,16.5,32.0,0.0,0.0,11.5,25.0,0.04,0.01904761904761905,2.5,3.5,0.12903225806451613,0.06153846153846154,4.0,6.5,0.10526315789473684,0.05555555555555555,14.5,28.0,0.058823529411764705,0.027777777777777776,11.5,23.5,0.03968253968253968,0.019305019305019305,1.5,1.5,0.07885304659498207,0.0419047619047619,1.0,2.5,0.0749185667752443,0.039182282793867124,4.0,6.5,14.5,29.0,0.0,0.0,16.5,32.0,0.0,0.0,3.0,3.5,0.09090909090909091,0.06493506493506493,12.5,26.0,0.0,0.0,15.0,29.0,0.0,0.0,15.5,31.0,0.0,0.0,8.5,12.5,0.04878048780487805,0.02926829268292683,2.0,3.0,0.0857879234167894,0.04390014130946773,16.5,30.5,0.06060606060606061,0.030303030303030304,2.0,4.0,0.10606060606060606,0.05303030303030303,13.5,26.5,0.0,0.0,6.0,8.0,0.0500277932184547,0.02501389660922735,1,0
Travis Boak,12.0,21.5,0.04433497536945813,0.022113022113022112,3.0,5.5,0.07035175879396985,0.03867403314917127,5.0,11.0,0.05721393034825871,0.02990897269180754,21.5,42.0,0.009345794392523364,0.004545454545454545,2.0,3.0,0.14285714285714285,0.08333333333333333,16.0,29.5,0.0,0.0,6.0,15.0,0.0625,0.026785714285714284,12.5,25.0,0.0,0.0,6.0,9.0,0.09090909090909091,0.058823529411764705,2.5,4.0,0.09433962264150944,0.05102040816326531,6.5,14.0,0.058823529411764705,0.027777777777777776,18.0,35.0,0.02,0.009523809523809525,18.0,36.0,0.0,0.0,8.5,16.5,0.05263157894736842,0.027777777777777776,5.0,11.0,0.0,0.0,8.5,18.0,0.047619047619047616,0.023166023166023165,6.0,10.5,0.06093189964157706,0.03238095238095238,3.5,7.0,0.06514657980456026,0.034071550255536626,5.0,8.5,14.5,29.0,0.0,0.0,16.5,32.0,0.0,0.0,15.0,24.5,0.01818181818181818,0.012987012987012988,12.5,26.0,0.0,0.0,15.0,29.0,0.0,0.0,5.0,11.0,0.1,0.041666666666666664,6.0,9.0,0.056910569105691054,0.03414634146341464,4.0,9.0,0.06369661266568483,0.032595383890720676,16.5,30.5,0.06060606060606061,0.030303030303030304,14.5,26.5,0.030303030303030304,0.015151515151515152,13.5,26.5,0.0,0.0,19.5,40.5,0.039466370205669815,0.019733185102834908,1,0
Jared Polec,6.5,13.0,0.054187192118226604,0.02702702702702703,6.5,11.0,0.05527638190954774,0.03038674033149171,6.0,13.0,0.05472636815920398,0.02860858257477243,7.5,15.5,0.056074766355140186,0.02727272727272727,17.0,31.5,0.0,0.0,6.5,10.0,0.08333333333333333,0.05263157894736842,21.0,41.0,0.0,0.0,12.5,25.0,0.0,0.0,6.0,9.0,0.09090909090909091,0.058823529411764705,7.5,12.0,0.05660377358490566,0.030612244897959183,6.5,14.0,0.058823529411764705,0.027777777777777776,11.5,25.0,0.04,0.01904761904761905,7.0,15.0,0.06451612903225806,0.03076923076923077,17.0,34.0,0.0,0.0,5.0,11.0,0.0,0.0,14.5,29.0,0.031746031746031744,0.015444015444015444,3.5,6.0,0.06451612903225806,0.03428571428571429,9.0,16.0,0.05211726384364821,0.027257240204429302,15.0,29.5,14.5,29.0,0.0,0.0,16.5,32.0,0.0,0.0,15.0,24.5,0.01818181818181818,0.012987012987012988,12.5,26.0,0.0,0.0,15.0,29.0,0.0,0.0,5.0,11.0,0.1,0.041666666666666664,8.5,12.5,0.04878048780487805,0.02926829268292683,9.0,18.0,0.052466863033873344,0.026848798869524258,19.5,37.0,0.07575757575757576,0.03787878787878788,10.0,19.5,0.045454545454545456,0.022727272727272728,13.5,26.5,0.0,0.0,7.0,10.5,0.048916064480266815,0.024458032240133407,1,0
Hamish Hartlett,6.5,13.0,0.054187192118226604,0.02702702702702703,8.0,13.5,0.05025125628140704,0.027624309392265192,8.0,15.5,0.05223880597014925,0.027308192457737322,1.0,3.0,0.09345794392523364,0.045454545454545456,17.0,31.5,0.0,0.0,16.0,29.5,0.0,0.0,12.5,26.0,0.041666666666666664,0.017857142857142856,12.5,25.0,0.0,0.0,16.5,30.0,0.0,0.0,17.0,33.5,0.018867924528301886,0.01020408163265306,16.5,32.0,0.0,0.0,1.5,3.5,0.1,0.047619047619047616,10.5,22.5,0.03225806451612903,0.015384615384615385,17.0,34.0,0.0,0.0,14.5,28.0,0.058823529411764705,0.027777777777777776,11.5,23.5,0.03968253968253968,0.019305019305019305,6.0,10.5,0.06093189964157706,0.03238095238095238,7.0,13.0,0.05537459283387622,0.028960817717206135,8.0,15.0,4.0,9.0,0.14285714285714285,0.047619047619047616,7.0,12.0,0.045454545454545456,0.029411764705882353,15.0,24.5,0.01818181818181818,0.012987012987012988,1.5,4.5,0.5,0.1111111111111111,15.0,29.0,0.0,0.0,15.5,31.0,0.0,0.0,13.0,18.0,0.04065040650406504,0.024390243902439025,12.0,23.0,0.04491899852724595,0.02298634008478568,21.5,42.5,0.09090909090909091,0.045454545454545456,1.0,2.0,0.12121212121212122,0.06060606060606061,13.5,26.5,0.0,0.0,11.0,17.0,0.04724847137298499,0.023624235686492495,1,0
Karl Amon,3.0,8.0,0.06403940886699508,0.03194103194103194,12.0,20.0,0.04020100502512563,0.022099447513812154,8.0,15.5,0.05223880597014925,0.027308192457737322,7.5,15.5,0.056074766355140186,0.02727272727272727,17.0,31.5,0.0,0.0,6.5,10.0,0.08333333333333333,0.05263157894736842,12.5,26.0,0.041666666666666664,0.017857142857142856,12.5,25.0,0.0,0.0,6.0,9.0,0.09090909090909091,0.058823529411764705,7.5,12.0,0.05660377358490566,0.030612244897959183,16.5,32.0,0.0,0.0,11.5,25.0,0.04,0.01904761904761905,5.0,8.5,0.0967741935483871,0.046153846153846156,17.0,34.0,0.0,0.0,5.0,11.0,0.0,0.0,20.5,40.5,0.015873015873015872,0.007722007722007722,3.5,6.0,0.06451612903225806,0.03428571428571429,7.0,13.0,0.05537459283387622,0.028960817717206135,8.0,15.0,14.5,29.0,0.0,0.0,16.5,32.0,0.0,0.0,15.0,24.5,0.01818181818181818,0.012987012987012988,12.5,26.0,0.0,0.0,15.0,29.0,0.0,0.0,15.5,31.0,0.0,0.0,17.5,25.5,0.032520325203252036,0.01951219512195122,3.0,8.0,0.06480117820324006,0.03316062176165803,7.0,15.5,0.030303030303030304,0.015151515151515152,10.0,19.5,0.045454545454545456,0.022727272727272728,13.5,26.5,0.0,0.0,19.5,40.5,0.039466370205669815,0.019733185102834908,1,0
Dan Houston,4.0,9.0,0.059113300492610835,0.029484029484029485,9.5,16.0,0.04522613065326633,0.024861878453038673,8.0,15.5,0.05223880597014925,0.027308192457737322,14.5,28.0,0.037383177570093455,0.01818181818181818,7.5,11.5,0.07142857142857142,0.041666666666666664,16.0,29.5,0.0,0.0,12.5,26.0,0.041666666666666664,0.017857142857142856,12.5,25.0,0.0,0.0,16.5,30.0,0.0,0.0,17.0,33.5,0.018867924528301886,0.01020408163265306,16.5,32.0,0.0,0.0,11.5,25.0,0.04,0.01904761904761905,1.0,2.0,0.1935483870967742,0.09230769230769231,17.0,34.0,0.0,0.0,14.5,28.0,0.058823529411764705,0.027777777777777776,18.0,35.0,0.023809523809523808,0.011583011583011582,8.5,15.0,0.053763440860215055,0.02857142857142857,7.0,13.0,0.05537459283387622,0.028960817717206135,8.0,15.0,14.5,29.0,0.0,0.0,16.5,32.0,0.0,0.0,15.0,24.5,0.01818181818181818,0.012987012987012988,12.5,26.0,0.0,0.0,15.0,29.0,0.0,0.0,15.5,31.0,0.0,0.0,17.5,25.5,0.032520325203252036,0.01951219512195122,5.0,10.0,0.06296023564064801,0.03221855864342911,12.5,24.0,0.045454545454545456,0.022727272727272728,3.5,7.5,0.09090909090909091,0.045454545454545456,13.5,26.5,0.0,0.0,14.0,32.0,0.042801556420233464,0.021400778210116732,1,0
Jake Neade,12.0,21.5,0.04433497536945813,0.022113022113022112,9.5,16.0,0.04522613065326633,0.024861878453038673,10.0,19.0,0.04477611940298507,0.02340702210663199,14.5,28.0,0.037383177570093455,0.01818181818181818,7.5,11.5,0.07142857142857142,0.041666666666666664,16.0,29.5,0.0,0.0,6.0,15.0,0.0625,0.026785714285714284,12.5,25.0,0.0,0.0,16.5,30.0,0.0,0.0,17.0,33.5,0.018867924528301886,0.01020408163265306,9.0,17.5,0.029411764705882353,0.013888888888888888,11.5,25.0,0.04,0.01904761904761905,10.5,22.5,0.03225806451612903,0.015384615384615385,1.0,1.0,0.21052631578947367,0.1111111111111111,14.5,28.0,0.058823529411764705,0.027777777777777776,8.5,18.0,0.047619047619047616,0.023166023166023165,12.5,22.5,0.043010752688172046,0.022857142857142857,10.0,17.5,0.048859934853420196,0.02555366269165247,6.0,12.0,14.5,29.0,0.0,0.0,7.0,12.0,0.045454545454545456,0.029411764705882353,20.5,38.5,0.0,0.0,12.5,26.0,0.0,0.0,5.5,9.5,0.07142857142857142,0.041666666666666664,15.5,31.0,0.0,0.0,8.5,12.5,0.04878048780487805,0.02926829268292683,19.0,39.0,0.01638438880706922,0.0083843617522374,7.0,15.5,0.030303030303030304,0.015151515151515152,10.0,19.5,0.045454545454545456,0.022727272727272728,13.5,26.5,0.0,0.0,17.0,38.0,0.040022234574763754,0.020011117287381877,1,0
