Player,Kicks OTR,Kicks BTR,Kicks OT%,Kicks BT%,Handballs OTR,Handballs BTR,Handballs OT%,Handballs BT%,Disposals OTR,Disposals BTR,Disposals OT%,Disposals BT%,Marks OTR,Marks BTR,Marks OT%,Marks BT%,Goals OTR,Goals BTR,Goals OT%,Goals BT%,Behinds OTR,Behinds BTR,Behinds OT%,Behinds BT%,Tackles OTR,Tackles BTR,Tackles OT%,Tackles BT%,Hitouts OTR,Hitouts BTR,Hitouts OT%,Hitouts BT%,Goal Assists OTR,Goal Assists BTR,Goal Assists OT%,Goal Assists BT%,Inside 50s OTR,Inside 50s BTR,Inside 50s OT%,Inside 50s BT%,Clearances OTR,Clearances BTR,Clearances OT%,Clearances BT%,Clangers OTR,Clangers BTR,Clangers OT%,Clangers BT%,Rebound 50s OTR,Rebound 50s BTR,Rebound 50s OT%,Rebound 50s BT%,Frees For OTR,Frees For BTR,Frees For OT%,Frees For BT%,Frees Agains OTR,Frees Agains BTR,Frees Agains OT%,Frees Agains BT%,Contested Possessions OTR,Contested Possessions BTR,Contested Possessions OT%,Contested Possessions BT%,Uncontested Possessions OTR,Uncontested Possessions BTR,Uncontested Possessions OT%,Uncontested Possessions BT%,Effective Disposals OTR,Effective Disposals BTR,Effective Disposals OT%,Effective Disposals BT%,Disposal Efficiency % OTR,Disposal Efficiency % BTR,Contested Marks OTR,Contested Marks BTR,Contested Marks OT%,Contested Marks BT%,Marks Inside 50 OTR,Marks Inside 50 BTR,Marks Inside 50 OT%,Marks Inside 50 BT%,One Percenters OTR,One Percenters BTR,One Percenters OT%,One Percenters BT%,Bounces OTR,Bounces BTR,Bounces OT%,Bounces BT%,Centre Clearances OTR,Centre Clearances BTR,Centre Clearances OT%,Centre Clearances BT%,Stoppage Clearances OTR,Stoppage Clearances BTR,Stoppage Clearances OT%,Stoppage Clearances BT%,Score Involvements OTR,Score Involvements BTR,Score Involvements OT%,Score Involvements BT%,Metres Gained OTR,Metres Gained BTR,Metres Gained OT%,Metres Gained BT%,Turnovers OTR,Turnovers BTR,Turnovers OT%,Turnovers BT%,Intercepts OTR,Intercepts BTR,Intercepts OT%,Intercepts BT%,Tackles Inside 50 OTR,Tackles Inside 50 BTR,Tackles Inside 50 OT%,Tackles Inside 50 BT%,Time On Ground % OTR,Time On Ground % BTR,Time On Ground % OT%,Time On Ground % BT%,Winloss,Brownlow Votes
Lachie Neale,2.0,3.5,0.07112970711297072,0.04047619047619048,1.0,1.0,0.13068181818181818,0.07076923076923076,1.0,1.0,0.0963855421686747,0.053691275167785234,15.5,26.0,0.029850746268656716,0.017699115044247787,8.0,13.0,0.058823529411764705,0.03571428571428571,5.5,11.0,0.09090909090909091,0.043478260869565216,2.0,5.0,0.1282051282051282,0.047619047619047616,13.0,25.0,0.0,0.0,4.5,8.5,0.1111111111111111,0.05555555555555555,6.5,9.5,0.07142857142857142,0.041237113402061855,1.0,1.0,0.21951219512195122,0.13043478260869565,21.0,42.5,0.0,0.0,11.0,23.0,0.03571428571428571,0.016129032258064516,4.0,6.0,0.09523809523809523,0.06060606060606061,7.0,10.5,0.0,0.0,1.0,1.0,0.11764705882352941,0.06349206349206349,2.0,2.0,0.08480565371024736,0.04790419161676647,1.0,1.0,0.09876543209876543,0.05565217391304348,7.5,14.5,16.5,32.5,0.0,0.0,7.5,13.0,0.043478260869565216,0.02857142857142857,18.5,38.0,0.0,0.0,2.5,3.0,0.25,0.18181818181818182,5.0,6.5,0.10526315789473684,0.06666666666666667,1.0,1.0,0.3181818181818182,0.1794871794871795,1.0,1.0,0.09859154929577464,0.05907172995780591,16,31.0,0.030599537448852517,0.01660071421677444,2.0,2.5,0.0,0.0,6.5,12.0,0.07272727272727272,0.03508771929824561,12.5,26.5,0.0,0.0,7.0,13.5,0.04777777777777778,0.02389552653514865,1,3
Bradley Hill,1.0,1.0,0.12552301255230125,0.07142857142857142,9.5,20.0,0.03977272727272727,0.021538461538461538,2.0,2.0,0.0891566265060241,0.049664429530201344,1.0,1.0,0.11940298507462686,0.07079646017699115,8.0,13.0,0.058823529411764705,0.03571428571428571,5.5,11.0,0.09090909090909091,0.043478260869565216,20.0,41.0,0.0,0.0,13.0,25.0,0.0,0.0,15.0,28.5,0.0,0.0,2.5,2.5,0.10714285714285714,0.061855670103092786,17.5,34.0,0.0,0.0,5.5,13.0,0.07142857142857142,0.03125,6.5,14.5,0.07142857142857142,0.03225806451612903,17.5,32.5,0.0,0.0,7.0,10.5,0.0,0.0,16.0,34.0,0.022058823529411766,0.011904761904761904,1.0,1.0,0.12367491166077739,0.06986027944111776,2.5,2.5,0.07098765432098765,0.04,20.5,40.5,16.5,32.5,0.0,0.0,4.0,4.5,0.13043478260869565,0.08571428571428572,10.5,25.5,0.03225806451612903,0.012048192771084338,1.0,1.0,0.375,0.2727272727272727,14.5,29.5,0.0,0.0,16.5,32.5,0.0,0.0,2.0,2.0,0.09154929577464789,0.05485232067510549,1,1.0,0.15548834726916919,0.08435479200849338,22.0,44.0,0.15,0.0782608695652174,15.0,32.5,0.01818181818181818,0.008771929824561403,12.5,26.5,0.0,0.0,5.0,9.0,0.04888888888888889,0.024451236454570716,1,2
Connor Blakely,5.0,7.5,0.05439330543933055,0.030952380952380953,3.0,3.0,0.09090909090909091,0.04923076923076923,3.0,3.0,0.06987951807228916,0.038926174496644296,5.0,6.5,0.06716417910447761,0.03982300884955752,16.5,31.5,0.0,0.0,16.0,30.5,0.0,0.0,5.0,16.0,0.07692307692307693,0.02857142857142857,13.0,25.0,0.0,0.0,4.5,8.5,0.1111111111111111,0.05555555555555555,9.0,15.0,0.05357142857142857,0.030927835051546393,4.5,6.5,0.0975609756097561,0.057971014492753624,16.0,34.5,0.023809523809523808,0.010416666666666666,11.0,23.0,0.03571428571428571,0.016129032258064516,17.5,32.5,0.0,0.0,7.0,10.5,0.0,0.0,5.0,7.0,0.07352941176470588,0.03968253968253968,3.0,3.5,0.06713780918727916,0.03792415169660679,2.5,2.5,0.07098765432098765,0.04,9.0,17.0,7.0,13.0,0.05555555555555555,0.03125,15.5,30.0,0.0,0.0,18.5,38.0,0.0,0.0,13.5,25.5,0.0,0.0,3.5,3.5,0.15789473684210525,0.1,8.0,15.0,0.045454545454545456,0.02564102564102564,7.0,8.0,0.056338028169014086,0.03375527426160337,8,12.0,0.04643301903575876,0.025190618666151916,14.0,29.5,0.05,0.02608695652173913,15.0,32.5,0.01818181818181818,0.008771929824561403,12.5,26.5,0.0,0.0,19.0,39.0,0.04,0.02000555709919422,1,1
Michael Walters,15.5,22.5,0.03765690376569038,0.02142857142857143,2.0,2.0,0.09659090909090909,0.052307692307692305,4.5,5.5,0.06265060240963856,0.0348993288590604,15.5,26.0,0.029850746268656716,0.017699115044247787,16.5,31.5,0.0,0.0,16.0,30.5,0.0,0.0,2.0,5.0,0.1282051282051282,0.047619047619047616,13.0,25.0,0.0,0.0,4.5,8.5,0.1111111111111111,0.05555555555555555,2.5,2.5,0.10714285714285714,0.061855670103092786,3.0,3.0,0.14634146341463414,0.08695652173913043,2.0,5.5,0.09523809523809523,0.041666666666666664,18.0,36.0,0.0,0.0,9.0,15.0,0.047619047619047616,0.030303030303030304,21.0,40.0,0.16666666666666666,0.06060606060606061,2.5,2.5,0.11029411764705882,0.05952380952380952,10.0,15.0,0.045936395759717315,0.02594810379241517,4.5,6.5,0.06172839506172839,0.034782608695652174,15.0,26.5,16.5,32.5,0.0,0.0,15.5,30.0,0.0,0.0,5.5,15.0,0.06451612903225806,0.024096385542168676,2.5,3.0,0.25,0.18181818181818182,2.0,2.0,0.21052631578947367,0.13333333333333333,4.0,7.0,0.09090909090909091,0.05128205128205128,3.0,3.0,0.07746478873239436,0.046413502109704644,10,16.0,0.04500978473581213,0.024418492423511243,18.0,35.5,0.06666666666666667,0.034782608695652174,6.5,12.0,0.07272727272727272,0.03508771929824561,12.5,26.5,0.0,0.0,15.0,28.0,0.04388888888888889,0.021950541817171435,1,0
Nathan Fyfe,9.0,12.0,0.0502092050209205,0.02857142857142857,4.0,5.0,0.07954545454545454,0.043076923076923075,4.5,5.5,0.06265060240963856,0.0348993288590604,18.0,32.5,0.022388059701492536,0.01327433628318584,3.5,5.0,0.11764705882352941,0.07142857142857142,16.0,30.5,0.0,0.0,8.5,23.0,0.05128205128205128,0.01904761904761905,13.0,25.0,0.0,0.0,15.0,28.5,0.0,0.0,6.5,9.5,0.07142857142857142,0.041237113402061855,2.0,2.0,0.1951219512195122,0.11594202898550725,5.5,13.0,0.07142857142857142,0.03125,18.0,36.0,0.0,0.0,1.0,1.0,0.23809523809523808,0.15151515151515152,16.5,28.0,0.08333333333333333,0.030303030303030304,2.5,2.5,0.11029411764705882,0.05952380952380952,12.0,17.5,0.04240282685512368,0.023952095808383235,4.5,6.5,0.06172839506172839,0.034782608695652174,15.0,26.5,2.5,4.0,0.1111111111111111,0.0625,15.5,30.0,0.0,0.0,10.5,25.5,0.03225806451612903,0.012048192771084338,13.5,25.5,0.0,0.0,1.0,1.0,0.3157894736842105,0.2,4.0,7.0,0.09090909090909091,0.05128205128205128,7.0,8.0,0.056338028169014086,0.03375527426160337,3,6.0,0.0684931506849315,0.03715857542708233,21.0,42.5,0.11666666666666667,0.06086956521739131,6.5,12.0,0.07272727272727272,0.03508771929824561,12.5,26.5,0.0,0.0,9.5,19.0,0.04666666666666667,0.02333981661572659,1,0
David Mundy,12.0,15.5,0.04602510460251046,0.02619047619047619,6.5,10.5,0.05113636363636364,0.027692307692307693,6.0,10.5,0.04819277108433735,0.026845637583892617,12.5,20.0,0.03731343283582089,0.022123893805309734,8.0,13.0,0.058823529411764705,0.03571428571428571,5.5,11.0,0.09090909090909091,0.043478260869565216,20.0,41.0,0.0,0.0,3.0,5.0,0.01694915254237288,0.012987012987012988,4.5,8.5,0.1111111111111111,0.05555555555555555,4.5,6.0,0.08928571428571429,0.05154639175257732,4.5,6.5,0.0975609756097561,0.057971014492753624,5.5,13.0,0.07142857142857142,0.03125,18.0,36.0,0.0,0.0,17.5,32.5,0.0,0.0,16.5,28.0,0.08333333333333333,0.030303030303030304,10.5,21.5,0.03676470588235294,0.01984126984126984,8.0,12.5,0.04946996466431095,0.027944111776447105,9.0,14.5,0.046296296296296294,0.02608695652173913,17.0,30.5,16.5,32.5,0.0,0.0,5.5,8.0,0.08695652173913043,0.05714285714285714,10.5,25.5,0.03225806451612903,0.012048192771084338,13.5,25.5,0.0,0.0,14.5,29.5,0.0,0.0,2.0,2.5,0.18181818181818182,0.10256410256410256,7.0,8.0,0.056338028169014086,0.03375527426160337,5,8.0,0.0647571606475716,0.03513174404015056,9.5,20.5,0.03333333333333333,0.017391304347826087,20.5,40.5,0.0,0.0,12.5,26.5,0.0,0.0,20.0,41.0,0.03888888888888889,0.019449847179772158,1,0
Lee Spurr,5.0,7.5,0.05439330543933055,0.030952380952380953,13.0,26.5,0.03409090909090909,0.018461538461538463,7.5,13.0,0.04578313253012048,0.025503355704697986,2.5,2.5,0.08208955223880597,0.048672566371681415,16.5,31.5,0.0,0.0,16.0,30.5,0.0,0.0,8.5,23.0,0.05128205128205128,0.01904761904761905,13.0,25.0,0.0,0.0,15.0,28.5,0.0,0.0,15.5,28.5,0.017857142857142856,0.010309278350515464,10.0,19.5,0.024390243902439025,0.014492753623188406,10.5,23.5,0.047619047619047616,0.020833333333333332,6.5,14.5,0.07142857142857142,0.03225806451612903,17.5,32.5,0.0,0.0,21.0,40.0,0.16666666666666666,0.06060606060606061,20.5,41.5,0.014705882352941176,0.007936507936507936,4.5,7.0,0.06007067137809187,0.033932135728542916,6.0,9.0,0.05864197530864197,0.03304347826086956,2.0,2.5,7.0,13.0,0.05555555555555555,0.03125,15.5,30.0,0.0,0.0,4.0,9.0,0.0967741935483871,0.03614457831325301,13.5,25.5,0.0,0.0,14.5,29.5,0.0,0.0,8.0,15.0,0.045454545454545456,0.02564102564102564,20.5,35.0,0.02112676056338028,0.012658227848101266,17,34.0,0.02793097313645259,0.015152977511823183,5.5,10.0,0.016666666666666666,0.008695652173913044,9.5,16.5,0.05454545454545454,0.02631578947368421,12.5,26.5,0.0,0.0,9.5,19.0,0.04666666666666667,0.02333981661572659,1,0
Ed Langdon,18.0,27.5,0.03347280334728033,0.01904761904761905,5.0,8.5,0.0625,0.033846153846153845,7.5,13.0,0.04578313253012048,0.025503355704697986,20.5,38.5,0.014925373134328358,0.008849557522123894,16.5,31.5,0.0,0.0,16.0,30.5,0.0,0.0,14.0,32.0,0.02564102564102564,0.009523809523809525,13.0,25.0,0.0,0.0,15.0,28.5,0.0,0.0,9.0,15.0,0.05357142857142857,0.030927835051546393,7.0,13.5,0.04878048780487805,0.028985507246376812,5.5,13.0,0.07142857142857142,0.03125,11.0,23.0,0.03571428571428571,0.016129032258064516,17.5,32.5,0.0,0.0,7.0,10.5,0.0,0.0,10.5,21.5,0.03676470588235294,0.01984126984126984,8.0,12.5,0.04946996466431095,0.027944111776447105,9.0,14.5,0.046296296296296294,0.02608695652173913,10.0,18.5,16.5,32.5,0.0,0.0,15.5,30.0,0.0,0.0,18.5,38.0,0.0,0.0,13.5,25.5,0.0,0.0,14.5,29.5,0.0,0.0,4.0,7.0,0.09090909090909091,0.05128205128205128,20.5,35.0,0.02112676056338028,0.012658227848101266,14,24.0,0.03842732609855898,0.020847408551298137,18.0,35.5,0.06666666666666667,0.034782608695652174,20.5,40.5,0.0,0.0,12.5,26.5,0.0,0.0,12.0,22.0,0.04611111111111111,0.02306196165601556,1,0
Matthew Taberner,5.0,7.5,0.05439330543933055,0.030952380952380953,16.5,32.0,0.028409090909090908,0.015384615384615385,9.5,16.0,0.043373493975903614,0.024161073825503355,5.0,6.5,0.06716417910447761,0.03982300884955752,1.0,1.0,0.23529411764705882,0.14285714285714285,5.5,11.0,0.09090909090909091,0.043478260869565216,14.0,32.0,0.02564102564102564,0.009523809523809525,2.0,3.0,0.11864406779661017,0.09090909090909091,4.5,8.5,0.1111111111111111,0.05555555555555555,15.5,28.5,0.017857142857142856,0.010309278350515464,10.0,19.5,0.024390243902439025,0.014492753623188406,1.0,2.0,0.11904761904761904,0.052083333333333336,11.0,23.0,0.03571428571428571,0.016129032258064516,9.0,15.0,0.047619047619047616,0.030303030303030304,21.0,40.0,0.16666666666666666,0.06060606060606061,4.0,4.0,0.09558823529411764,0.051587301587301584,20.0,41.0,0.0176678445229682,0.00998003992015968,16.0,24.0,0.037037037037037035,0.020869565217391306,18.0,37.5,1.0,1.0,0.3888888888888889,0.21875,1.0,1.0,0.2608695652173913,0.17142857142857143,10.5,25.5,0.03225806451612903,0.012048192771084338,13.5,25.5,0.0,0.0,14.5,29.5,0.0,0.0,8.0,15.0,0.045454545454545456,0.02564102564102564,4.0,4.0,0.07042253521126761,0.04219409282700422,13,22.0,0.04074008183597225,0.022102113695589228,14.0,29.5,0.05,0.02608695652173913,15.0,32.5,0.01818181818181818,0.008771929824561403,12.5,26.5,0.0,0.0,5.0,9.0,0.04888888888888889,0.024451236454570716,1,0
Lachlan Weller,12.0,15.5,0.04602510460251046,0.02619047619047619,9.5,20.0,0.03977272727272727,0.021538461538461538,9.5,16.0,0.043373493975903614,0.024161073825503355,12.5,20.0,0.03731343283582089,0.022123893805309734,16.5,31.5,0.0,0.0,16.0,30.5,0.0,0.0,8.5,23.0,0.05128205128205128,0.01904761904761905,13.0,25.0,0.0,0.0,15.0,28.5,0.0,0.0,11.0,20.5,0.03571428571428571,0.020618556701030927,10.0,19.5,0.024390243902439025,0.014492753623188406,5.5,13.0,0.07142857142857142,0.03125,3.0,7.0,0.10714285714285714,0.04838709677419355,17.5,32.5,0.0,0.0,16.5,28.0,0.08333333333333333,0.030303030303030304,20.5,41.5,0.014705882352941176,0.007936507936507936,4.5,7.0,0.06007067137809187,0.033932135728542916,12.5,18.5,0.043209876543209874,0.02434782608695652,12.0,21.5,16.5,32.5,0.0,0.0,15.5,30.0,0.0,0.0,10.5,25.5,0.03225806451612903,0.012048192771084338,4.0,5.5,0.125,0.09090909090909091,14.5,29.5,0.0,0.0,8.0,15.0,0.045454545454545456,0.02564102564102564,16.5,28.0,0.028169014084507043,0.016877637130801686,4,7.0,0.06724782067247821,0.03648296496477174,20.0,39.0,0.08333333333333333,0.043478260869565216,15.0,32.5,0.01818181818181818,0.008771929824561403,12.5,26.5,0.0,0.0,9.5,19.0,0.04666666666666667,0.02333981661572659,1,0
