Player,Kicks OTR,Kicks BTR,Kicks OT%,Kicks BT%,Handballs OTR,Handballs BTR,Handballs OT%,Handballs BT%,Disposals OTR,Disposals BTR,Disposals OT%,Disposals BT%,Marks OTR,Marks BTR,Marks OT%,Marks BT%,Goals OTR,Goals BTR,Goals OT%,Goals BT%,Behinds OTR,Behinds BTR,Behinds OT%,Behinds BT%,Tackles OTR,Tackles BTR,Tackles OT%,Tackles BT%,Hitouts OTR,Hitouts BTR,Hitouts OT%,Hitouts BT%,Goal Assists OTR,Goal Assists BTR,Goal Assists OT%,Goal Assists BT%,Inside 50s OTR,Inside 50s BTR,Inside 50s OT%,Inside 50s BT%,Clearances OTR,Clearances BTR,Clearances OT%,Clearances BT%,Clangers OTR,Clangers BTR,Clangers OT%,Clangers BT%,Rebound 50s OTR,Rebound 50s BTR,Rebound 50s OT%,Rebound 50s BT%,Frees For OTR,Frees For BTR,Frees For OT%,Frees For BT%,Frees Agains OTR,Frees Agains BTR,Frees Agains OT%,Frees Agains BT%,Contested Possessions OTR,Contested Possessions BTR,Contested Possessions OT%,Contested Possessions BT%,Uncontested Possessions OTR,Uncontested Possessions BTR,Uncontested Possessions OT%,Uncontested Possessions BT%,Effective Disposals OTR,Effective Disposals BTR,Effective Disposals OT%,Effective Disposals BT%,Disposal Efficiency % OTR,Disposal Efficiency % BTR,Contested Marks OTR,Contested Marks BTR,Contested Marks OT%,Contested Marks BT%,Marks Inside 50 OTR,Marks Inside 50 BTR,Marks Inside 50 OT%,Marks Inside 50 BT%,One Percenters OTR,One Percenters BTR,One Percenters OT%,One Percenters BT%,Bounces OTR,Bounces BTR,Bounces OT%,Bounces BT%,Centre Clearances OTR,Centre Clearances BTR,Centre Clearances OT%,Centre Clearances BT%,Stoppage Clearances OTR,Stoppage Clearances BTR,Stoppage Clearances OT%,Stoppage Clearances BT%,Score Involvements OTR,Score Involvements BTR,Score Involvements OT%,Score Involvements BT%,Metres Gained OTR,Metres Gained BTR,Metres Gained OT%,Metres Gained BT%,Turnovers OTR,Turnovers BTR,Turnovers OT%,Turnovers BT%,Intercepts OTR,Intercepts BTR,Intercepts OT%,Intercepts BT%,Tackles Inside 50 OTR,Tackles Inside 50 BTR,Tackles Inside 50 OT%,Tackles Inside 50 BT%,Time On Ground % OTR,Time On Ground % BTR,Time On Ground % OT%,Time On Ground % BT%,Winloss,Brownlow Votes
Luke Dahlhaus,4.0,9.0,0.0660377358490566,0.03398058252427184,2.5,2.5,0.0787037037037037,0.04632152588555858,1.0,1.0,0.07242990654205607,0.03979460847240052,6.5,14.5,0.056818181818181816,0.027932960893854747,15.0,29.5,0.0,0.0,7.0,11.0,0.07692307692307693,0.047619047619047616,4.0,5.0,0.06756756756756757,0.03546099290780142,13.0,25.5,0.0,0.0,14.5,29.5,0.0,0.0,1.0,1.0,0.11290322580645161,0.06422018348623854,7.0,11.0,0.075,0.041666666666666664,4.0,7.5,0.08,0.03773584905660377,7.0,15.5,0.0625,0.025,2.0,2.0,0.12,0.07894736842105263,7.0,10.0,0.0,0.0,10.5,20.5,0.0472972972972973,0.023890784982935155,1.0,1.0,0.08394160583941605,0.04852320675105485,1.0,1.0,0.07739938080495357,0.0423728813559322,7.5,17.0,15.0,32.0,0.0,0.0,7.0,11.5,0.07692307692307693,0.041666666666666664,20.0,38.5,0.0,0.0,14.0,27.0,0.0,0.0,6.0,9.5,0.07692307692307693,0.043478260869565216,6.5,10.5,0.07407407407407407,0.04081632653061224,2.5,2.5,0.07627118644067797,0.04455445544554455,5,7.0,0.07896068837523199,0.03937405350832913,20.5,38.5,0.0821917808219178,0.04081632653061224,16.5,30.5,0.02666666666666667,0.013513513513513514,16.0,31.0,0.0,0.0,13.0,28.0,0.045580878265703166,0.02277777777777778,0.5,2
Jackson Macrae,6.0,11.0,0.06132075471698113,0.03155339805825243,2.5,2.5,0.0787037037037037,0.04632152588555858,2.0,2.0,0.07009345794392523,0.038510911424903725,20.0,39.5,0.011363636363636364,0.00558659217877095,15.0,29.5,0.0,0.0,7.0,11.0,0.07692307692307693,0.047619047619047616,7.0,12.0,0.05405405405405406,0.028368794326241134,13.0,25.5,0.0,0.0,14.5,29.5,0.0,0.0,21.5,42.0,0.0,0.0,3.5,4.5,0.125,0.06944444444444445,18.5,36.0,0.02,0.009433962264150943,13.0,24.0,0.03125,0.0125,2.0,2.0,0.12,0.07894736842105263,7.0,10.0,0.0,0.0,2.0,3.0,0.08783783783783784,0.04436860068259386,6.5,7.5,0.06204379562043796,0.035864978902953586,2.0,2.0,0.07430340557275542,0.04067796610169491,7.5,17.0,15.0,32.0,0.0,0.0,16.5,31.5,0.0,0.0,20.0,38.5,0.0,0.0,14.0,27.0,0.0,0.0,6.0,9.5,0.07692307692307693,0.043478260869565216,2.0,2.5,0.14814814814814814,0.08163265306122448,2.5,2.5,0.07627118644067797,0.04455445544554455,17,35.0,0.0244643158427535,0.012199225980144708,15.5,29.5,0.0547945205479452,0.027210884353741496,13.0,24.5,0.04,0.02027027027027027,16.0,31.0,0.0,0.0,8.5,18.0,0.04780433574207893,0.02388888888888889,0.5,0
Lachlan Hunter,6.0,11.0,0.06132075471698113,0.03155339805825243,6.0,6.0,0.06944444444444445,0.04087193460490463,3.0,4.5,0.06542056074766354,0.03594351732991014,2.0,4.5,0.09090909090909091,0.0446927374301676,5.0,9.5,0.09090909090909091,0.045454545454545456,16.5,31.0,0.0,0.0,2.0,2.5,0.10810810810810811,0.05673758865248227,13.0,25.5,0.0,0.0,14.5,29.5,0.0,0.0,7.5,10.5,0.06451612903225806,0.03669724770642202,8.5,15.5,0.05,0.027777777777777776,6.5,14.5,0.06,0.02830188679245283,3.0,10.0,0.09375,0.0375,19.0,35.0,0.0,0.0,7.0,10.0,0.0,0.0,5.5,10.0,0.060810810810810814,0.030716723549488054,4.0,4.0,0.06934306569343066,0.04008438818565401,3.0,3.0,0.07120743034055728,0.03898305084745763,4.5,13.5,15.0,32.0,0.0,0.0,7.0,11.5,0.07692307692307693,0.041666666666666664,4.0,7.0,0.07407407407407407,0.042105263157894736,14.0,27.0,0.0,0.0,15.5,29.5,0.0,0.0,6.5,10.5,0.07407407407407407,0.04081632653061224,10.0,14.5,0.05084745762711865,0.0297029702970297,2,3.0,0.08604690399865024,0.042907622412922765,6.0,13.5,0.0273972602739726,0.013605442176870748,5.5,10.5,0.06666666666666667,0.033783783783783786,1.5,2.5,0.1875,0.1,4.5,8.5,0.0500277932184547,0.025,0.5,0
Marcus Bontempelli,8.0,13.5,0.05660377358490566,0.02912621359223301,6.0,6.0,0.06944444444444445,0.04087193460490463,4.0,6.0,0.0630841121495327,0.03465982028241335,11.5,21.5,0.045454545454545456,0.0223463687150838,5.0,9.5,0.09090909090909091,0.045454545454545456,7.0,11.0,0.07692307692307693,0.047619047619047616,1.0,1.0,0.12162162162162163,0.06382978723404255,13.0,25.5,0.0,0.0,14.5,29.5,0.0,0.0,7.5,10.5,0.06451612903225806,0.03669724770642202,1.5,2.5,0.15,0.08333333333333333,1.5,3.5,0.1,0.04716981132075472,7.0,15.5,0.0625,0.025,11.5,18.0,0.04,0.02631578947368421,21.5,42.0,0.23076923076923078,0.07894736842105263,1.0,2.0,0.0945945945945946,0.04778156996587031,10.0,14.0,0.04744525547445255,0.027426160337552744,4.0,5.0,0.06191950464396285,0.03389830508474576,13.0,26.0,5.0,13.5,0.1,0.03125,2.0,3.0,0.15384615384615385,0.08333333333333333,15.5,28.0,0.018518518518518517,0.010526315789473684,1.5,2.5,0.2857142857142857,0.15384615384615385,1.0,2.0,0.3076923076923077,0.17391304347826086,6.5,10.5,0.07407407407407407,0.04081632653061224,13.5,20.0,0.0423728813559322,0.024752475247524754,6,11.0,0.06495697654800067,0.032391048292108364,20.5,38.5,0.0821917808219178,0.04081632653061224,9.0,17.0,0.05333333333333334,0.02702702702702703,1.5,2.5,0.1875,0.1,10.0,20.5,0.04724847137298499,0.02361111111111111,0.5,3
Jason Johannisen,1.5,3.0,0.08018867924528301,0.0412621359223301,13.5,22.5,0.032407407407407406,0.01907356948228883,5.0,8.0,0.056074766355140186,0.03080872913992298,16.0,28.5,0.03409090909090909,0.01675977653631285,15.0,29.5,0.0,0.0,2.0,2.5,0.15384615384615385,0.09523809523809523,12.0,23.0,0.04054054054054054,0.02127659574468085,13.0,25.5,0.0,0.0,4.5,9.5,0.125,0.05555555555555555,4.0,4.5,0.08064516129032258,0.045871559633027525,11.0,21.5,0.025,0.013888888888888888,12.0,25.5,0.04,0.018867924528301886,1.0,3.5,0.1875,0.075,11.5,18.0,0.04,0.02631578947368421,17.0,28.5,0.07692307692307693,0.02631578947368421,15.0,30.0,0.033783783783783786,0.017064846416382253,4.0,4.0,0.06934306569343066,0.04008438818565401,9.0,14.5,0.05263157894736842,0.0288135593220339,14.0,29.0,15.0,32.0,0.0,0.0,16.5,31.5,0.0,0.0,10.5,19.5,0.037037037037037035,0.021052631578947368,14.0,27.0,0.0,0.0,15.5,29.5,0.0,0.0,10.5,20.0,0.037037037037037035,0.02040816326530612,5.0,5.5,0.06779661016949153,0.039603960396039604,1,1.0,0.09650750801417243,0.04812384317684671,6.0,13.5,0.0273972602739726,0.013605442176870748,5.5,10.5,0.06666666666666667,0.033783783783783786,16.0,31.0,0.0,0.0,18.0,37.0,0.04168982768204558,0.020833333333333332,0.5,0
Matthew Boyd,10.0,16.0,0.05188679245283019,0.02669902912621359,9.0,12.5,0.05555555555555555,0.0326975476839237,7.0,10.5,0.053738317757009345,0.029525032092426188,11.5,21.5,0.045454545454545456,0.0223463687150838,15.0,29.5,0.0,0.0,16.5,31.0,0.0,0.0,21.5,43.5,0.0,0.0,13.0,25.5,0.0,0.0,14.5,29.5,0.0,0.0,17.5,34.0,0.016129032258064516,0.009174311926605505,17.5,35.0,0.0,0.0,12.0,25.5,0.04,0.018867924528301886,3.0,10.0,0.09375,0.0375,11.5,18.0,0.04,0.02631578947368421,7.0,10.0,0.0,0.0,22.0,43.5,0.006756756756756757,0.0034129692832764505,2.0,2.0,0.072992700729927,0.04219409282700422,5.5,6.5,0.058823529411764705,0.03220338983050847,4.5,13.5,15.0,32.0,0.0,0.0,16.5,31.5,0.0,0.0,10.5,19.5,0.037037037037037035,0.021052631578947368,14.0,27.0,0.0,0.0,15.5,29.5,0.0,0.0,17.5,35.0,0.0,0.0,10.0,14.5,0.05084745762711865,0.0297029702970297,8,17.0,0.05247173949721613,0.026165236412586237,15.5,29.5,0.0547945205479452,0.027210884353741496,3.5,7.5,0.08,0.04054054054054054,16.0,31.0,0.0,0.0,12.0,26.0,0.04613674263479711,0.023055555555555555,0.5,0
Robert Murphy,1.5,3.0,0.08018867924528301,0.0412621359223301,16.0,26.5,0.027777777777777776,0.01634877384196185,7.0,10.5,0.053738317757009345,0.029525032092426188,1.0,2.0,0.10227272727272728,0.05027932960893855,15.0,29.5,0.0,0.0,16.5,31.0,0.0,0.0,16.5,32.5,0.02702702702702703,0.014184397163120567,13.0,25.5,0.0,0.0,14.5,29.5,0.0,0.0,7.5,10.5,0.06451612903225806,0.03669724770642202,17.5,35.0,0.0,0.0,12.0,25.5,0.04,0.018867924528301886,13.0,24.0,0.03125,0.0125,5.5,7.0,0.08,0.05263157894736842,7.0,10.0,0.0,0.0,17.5,35.0,0.02702702702702703,0.013651877133105802,4.0,4.0,0.06934306569343066,0.04008438818565401,7.5,10.5,0.05572755417956656,0.030508474576271188,11.0,21.0,15.0,32.0,0.0,0.0,16.5,31.5,0.0,0.0,10.5,19.5,0.037037037037037035,0.021052631578947368,14.0,27.0,0.0,0.0,15.5,29.5,0.0,0.0,17.5,35.0,0.0,0.0,19.0,36.5,0.01694915254237288,0.009900990099009901,3,4.0,0.08233507676733592,0.04105670536765943,20.5,38.5,0.0821917808219178,0.04081632653061224,2.0,5.0,0.09333333333333334,0.0472972972972973,16.0,31.0,0.0,0.0,16.0,32.5,0.0433574207893274,0.021666666666666667,0.5,0
Bailey Williams,10.0,16.0,0.05188679245283019,0.02669902912621359,9.0,12.5,0.05555555555555555,0.0326975476839237,7.0,10.5,0.053738317757009345,0.029525032092426188,11.5,21.5,0.045454545454545456,0.0223463687150838,15.0,29.5,0.0,0.0,7.0,11.0,0.07692307692307693,0.047619047619047616,7.0,12.0,0.05405405405405406,0.028368794326241134,13.0,25.5,0.0,0.0,1.5,2.5,0.25,0.1111111111111111,13.0,24.0,0.03225806451612903,0.01834862385321101,11.0,21.5,0.025,0.013888888888888888,12.0,25.5,0.04,0.018867924528301886,7.0,15.5,0.0625,0.025,2.0,2.0,0.12,0.07894736842105263,17.0,28.5,0.07692307692307693,0.02631578947368421,8.0,15.5,0.05405405405405406,0.027303754266211604,6.5,7.5,0.06204379562043796,0.035864978902953586,7.5,10.5,0.05572755417956656,0.030508474576271188,11.0,21.0,5.0,13.5,0.1,0.03125,16.5,31.5,0.0,0.0,6.0,12.0,0.05555555555555555,0.031578947368421054,14.0,27.0,0.0,0.0,15.5,29.5,0.0,0.0,10.5,20.0,0.037037037037037035,0.02040816326530612,13.5,20.0,0.0423728813559322,0.024752475247524754,9,19.0,0.05078454530116416,0.025323910482921083,20.5,38.5,0.0821917808219178,0.04081632653061224,3.5,7.5,0.08,0.04054054054054054,16.0,31.0,0.0,0.0,14.5,30.0,0.04391328515842134,0.021944444444444444,0.5,0
Thomas Liberatore,22.0,42.5,0.014150943396226415,0.007281553398058253,1.0,1.0,0.08796296296296297,0.051771117166212535,9.0,13.0,0.0514018691588785,0.028241335044929396,21.5,42.5,0.0,0.0,15.0,29.5,0.0,0.0,16.5,31.0,0.0,0.0,3.0,4.0,0.0945945945945946,0.04964539007092199,13.0,25.5,0.0,0.0,14.5,29.5,0.0,0.0,13.0,24.0,0.03225806451612903,0.01834862385321101,5.5,7.0,0.1,0.05555555555555555,21.5,42.5,0.0,0.0,13.0,24.0,0.03125,0.0125,19.0,35.0,0.0,0.0,7.0,10.0,0.0,0.0,4.0,6.5,0.06756756756756757,0.034129692832764506,14.5,23.5,0.0364963503649635,0.02109704641350211,5.5,6.5,0.058823529411764705,0.03220338983050847,3.0,9.0,15.0,32.0,0.0,0.0,16.5,31.5,0.0,0.0,20.0,38.5,0.0,0.0,14.0,27.0,0.0,0.0,6.0,9.5,0.07692307692307693,0.043478260869565216,4.0,5.5,0.1111111111111111,0.061224489795918366,10.0,14.5,0.05084745762711865,0.0297029702970297,19,39.0,0.01619706428209887,0.008076728924785462,11.0,22.5,0.0410958904109589,0.02040816326530612,13.0,24.5,0.04,0.02027027027027027,4.0,7.0,0.125,0.06666666666666667,8.5,18.0,0.04780433574207893,0.02388888888888889,0.5,0
Lin Jong,17.0,32.0,0.02830188679245283,0.014563106796116505,6.0,6.0,0.06944444444444445,0.04087193460490463,10.0,14.0,0.04906542056074766,0.026957637997432605,16.0,28.5,0.03409090909090909,0.01675977653631285,15.0,29.5,0.0,0.0,16.5,31.0,0.0,0.0,16.5,32.5,0.02702702702702703,0.014184397163120567,13.0,25.5,0.0,0.0,14.5,29.5,0.0,0.0,4.0,4.5,0.08064516129032258,0.045871559633027525,3.5,4.5,0.125,0.06944444444444445,12.0,25.5,0.04,0.018867924528301886,19.5,37.0,0.0,0.0,11.5,18.0,0.04,0.02631578947368421,7.0,10.0,0.0,0.0,3.0,4.5,0.07432432432432433,0.03754266211604096,14.5,23.5,0.0364963503649635,0.02109704641350211,12.5,22.5,0.043343653250773995,0.023728813559322035,16.5,35.0,2.0,5.5,0.2,0.0625,16.5,31.5,0.0,0.0,10.5,19.5,0.037037037037037035,0.021052631578947368,14.0,27.0,0.0,0.0,6.0,9.5,0.07692307692307693,0.043478260869565216,2.0,2.5,0.14814814814814814,0.08163265306122448,10.0,14.5,0.05084745762711865,0.0297029702970297,14,29.0,0.03475620043867049,0.017331314151102138,15.5,29.5,0.0547945205479452,0.027210884353741496,13.0,24.5,0.04,0.02027027027027027,16.0,31.0,0.0,0.0,14.5,30.0,0.04391328515842134,0.021944444444444444,0.5,0
