Player,Kicks OTR,Kicks BTR,Kicks OT%,Kicks BT%,Handballs OTR,Handballs BTR,Handballs OT%,Handballs BT%,Disposals OTR,Disposals BTR,Disposals OT%,Disposals BT%,Marks OTR,Marks BTR,Marks OT%,Marks BT%,Goals OTR,Goals BTR,Goals OT%,Goals BT%,Behinds OTR,Behinds BTR,Behinds OT%,Behinds BT%,Tackles OTR,Tackles BTR,Tackles OT%,Tackles BT%,Hitouts OTR,Hitouts BTR,Hitouts OT%,Hitouts BT%,Goal Assists OTR,Goal Assists BTR,Goal Assists OT%,Goal Assists BT%,Inside 50s OTR,Inside 50s BTR,Inside 50s OT%,Inside 50s BT%,Clearances OTR,Clearances BTR,Clearances OT%,Clearances BT%,Clangers OTR,Clangers BTR,Clangers OT%,Clangers BT%,Rebound 50s OTR,Rebound 50s BTR,Rebound 50s OT%,Rebound 50s BT%,Frees For OTR,Frees For BTR,Frees For OT%,Frees For BT%,Frees Agains OTR,Frees Agains BTR,Frees Agains OT%,Frees Agains BT%,Contested Possessions OTR,Contested Possessions BTR,Contested Possessions OT%,Contested Possessions BT%,Uncontested Possessions OTR,Uncontested Possessions BTR,Uncontested Possessions OT%,Uncontested Possessions BT%,Effective Disposals OTR,Effective Disposals BTR,Effective Disposals OT%,Effective Disposals BT%,Disposal Efficiency % OTR,Disposal Efficiency % BTR,Contested Marks OTR,Contested Marks BTR,Contested Marks OT%,Contested Marks BT%,Marks Inside 50 OTR,Marks Inside 50 BTR,Marks Inside 50 OT%,Marks Inside 50 BT%,One Percenters OTR,One Percenters BTR,One Percenters OT%,One Percenters BT%,Bounces OTR,Bounces BTR,Bounces OT%,Bounces BT%,Centre Clearances OTR,Centre Clearances BTR,Centre Clearances OT%,Centre Clearances BT%,Stoppage Clearances OTR,Stoppage Clearances BTR,Stoppage Clearances OT%,Stoppage Clearances BT%,Score Involvements OTR,Score Involvements BTR,Score Involvements OT%,Score Involvements BT%,Metres Gained OTR,Metres Gained BTR,Metres Gained OT%,Metres Gained BT%,Turnovers OTR,Turnovers BTR,Turnovers OT%,Turnovers BT%,Intercepts OTR,Intercepts BTR,Intercepts OT%,Intercepts BT%,Tackles Inside 50 OTR,Tackles Inside 50 BTR,Tackles Inside 50 OT%,Tackles Inside 50 BT%,Time On Ground % OTR,Time On Ground % BTR,Time On Ground % OT%,Time On Ground % BT%,Winloss,Brownlow Votes
Luke Dahlhaus,6.5,13.5,0.05970149253731343,0.029055690072639227,1.5,4.0,0.08762886597938144,0.043701799485861184,1.0,5.0,0.07341772151898734,0.03615960099750624,1.0,3.5,0.1,0.046242774566473986,16.0,32.0,0.0,0.0,13.0,27.5,0.0,0.0,4.5,10.0,0.07246376811594203,0.034722222222222224,13.5,26.0,0.0,0.0,4.5,10.5,0.125,0.05,7.5,16.0,0.05263157894736842,0.027522935779816515,17.0,33.5,0.0,0.0,7.0,13.0,0.06382978723404255,0.03260869565217391,12.0,24.5,0.029411764705882353,0.013513513513513514,9.0,15.0,0.05555555555555555,0.030303030303030304,6.0,12.0,0.0,0.0,5.5,10.5,0.060810810810810814,0.03202846975088968,1.5,5.0,0.08064516129032258,0.038314176245210725,1.0,4.0,0.0782312925170068,0.03770491803278689,8.5,17.5,14.5,28.5,0.0,0.0,15.0,29.5,0.0,0.0,16.5,28.0,0.017543859649122806,0.010309278350515464,14.0,27.0,0.0,0.0,15.0,30.0,0.0,0.0,16.5,32.5,0.0,0.0,2.5,9.5,0.0898876404494382,0.0365296803652968,12.0,23.0,0.04537334762415148,0.022698838248436104,7.0,19.5,0.03076923076923077,0.015267175572519083,10.5,19.0,0.045454545454545456,0.022900763358778626,4.0,5.5,0.1111111111111111,0.06666666666666667,18.0,34.0,0.04391328515842134,0.021938350458206055,0.5,0
Josh Dunkley,6.5,13.5,0.05970149253731343,0.029055690072639227,4.0,7.0,0.07731958762886598,0.038560411311053984,2.0,7.5,0.06835443037974684,0.03366583541147132,13.5,28.5,0.0375,0.017341040462427744,4.0,6.5,0.125,0.06451612903225806,13.0,27.5,0.0,0.0,2.5,2.5,0.10144927536231885,0.04861111111111111,13.5,26.0,0.0,0.0,14.5,29.0,0.0,0.0,4.0,6.0,0.08771929824561403,0.045871559633027525,1.5,4.0,0.14705882352941177,0.0684931506849315,12.0,20.5,0.0425531914893617,0.021739130434782608,12.0,24.5,0.029411764705882353,0.013513513513513514,18.0,34.0,0.0,0.0,15.0,30.0,0.06666666666666667,0.030303030303030304,1.5,5.0,0.07432432432432433,0.03914590747330961,6.0,13.5,0.06048387096774194,0.028735632183908046,4.0,10.0,0.06802721088435375,0.03278688524590164,10.0,24.0,4.0,9.0,0.14285714285714285,0.058823529411764705,2.0,4.5,0.2,0.08,5.0,8.5,0.07017543859649122,0.041237113402061855,14.0,27.0,0.0,0.0,1.5,3.0,0.25,0.1,6.5,11.0,0.09090909090909091,0.046511627906976744,9.0,21.5,0.056179775280898875,0.0228310502283105,13.0,24.0,0.04340836012861737,0.021715817694369973,18.0,32.0,0.06153846153846154,0.030534351145038167,10.5,19.0,0.045454545454545456,0.022900763358778626,4.0,5.5,0.1111111111111111,0.06666666666666667,9.5,14.5,0.04780433574207893,0.023882254929186338,0.5,3
Toby McLean,3.5,8.5,0.06467661691542288,0.031476997578692496,5.5,9.5,0.061855670103092786,0.030848329048843187,3.5,9.5,0.06329113924050633,0.03117206982543641,18.5,34.5,0.025,0.011560693641618497,8.0,15.0,0.0625,0.03225806451612903,13.0,27.5,0.0,0.0,1.0,1.0,0.15942028985507245,0.0763888888888889,13.5,26.0,0.0,0.0,1.5,4.0,0.25,0.1,2.0,2.0,0.10526315789473684,0.05504587155963303,1.5,4.0,0.14705882352941177,0.0684931506849315,2.5,7.0,0.0851063829787234,0.043478260869565216,5.5,10.0,0.08823529411764706,0.04054054054054054,9.0,15.0,0.05555555555555555,0.030303030303030304,20.5,39.5,0.13333333333333333,0.06060606060606061,9.5,15.0,0.05405405405405406,0.028469750889679714,3.0,9.5,0.06854838709677419,0.032567049808429116,6.0,13.5,0.061224489795918366,0.029508196721311476,12.5,28.0,14.5,28.5,0.0,0.0,15.0,29.5,0.0,0.0,11.0,19.0,0.03508771929824561,0.020618556701030927,3.0,6.0,0.2,0.08333333333333333,1.5,3.0,0.25,0.1,6.5,11.0,0.09090909090909091,0.046511627906976744,2.5,9.5,0.0898876404494382,0.0365296803652968,2.0,5.0,0.07538406573776349,0.03771224307417337,7.0,19.5,0.03076923076923077,0.015267175572519083,17.5,34.0,0.015151515151515152,0.007633587786259542,1.0,1.0,0.2222222222222222,0.13333333333333333,7.0,10.5,0.049471928849360754,0.024715356845320745,0.5,0
Patrick Lipinski,14.0,27.5,0.03980099502487562,0.01937046004842615,1.5,4.0,0.08762886597938144,0.043701799485861184,3.5,9.5,0.06329113924050633,0.03117206982543641,3.0,8.5,0.075,0.03468208092485549,16.0,32.0,0.0,0.0,2.5,7.5,0.2,0.0625,17.5,37.0,0.014492753623188406,0.006944444444444444,13.5,26.0,0.0,0.0,14.5,29.0,0.0,0.0,18.5,34.0,0.017543859649122806,0.009174311926605505,9.5,17.0,0.058823529411764705,0.0273972602739726,7.0,13.0,0.06382978723404255,0.03260869565217391,5.5,10.0,0.08823529411764706,0.04054054054054054,18.0,34.0,0.0,0.0,20.5,39.5,0.13333333333333333,0.06060606060606061,14.0,20.5,0.04054054054054054,0.021352313167259787,1.5,5.0,0.08064516129032258,0.038314176245210725,3.0,8.5,0.07142857142857142,0.03442622950819672,5.0,11.0,14.5,28.5,0.0,0.0,15.0,29.5,0.0,0.0,21.0,39.0,0.0,0.0,14.0,27.0,0.0,0.0,5.5,12.0,0.08333333333333333,0.03333333333333333,10.0,17.5,0.045454545454545456,0.023255813953488372,9.0,21.5,0.056179775280898875,0.0228310502283105,8.0,18.0,0.05501964987495534,0.027524575513851655,7.0,19.5,0.03076923076923077,0.015267175572519083,10.5,19.0,0.045454545454545456,0.022900763358778626,16.5,32.0,0.0,0.0,7.0,10.5,0.049471928849360754,0.024715356845320745,0.5,0
Mitchell Wallis,14.0,27.5,0.03980099502487562,0.01937046004842615,3.0,6.0,0.08247422680412371,0.04113110539845758,5.5,11.5,0.060759493670886074,0.029925187032418952,8.5,21.0,0.05,0.023121387283236993,8.0,15.0,0.0625,0.03225806451612903,13.0,27.5,0.0,0.0,7.5,15.5,0.057971014492753624,0.027777777777777776,13.5,26.0,0.0,0.0,4.5,10.5,0.125,0.05,12.5,24.0,0.03508771929824561,0.01834862385321101,6.0,11.5,0.08823529411764706,0.0410958904109589,2.5,7.0,0.0851063829787234,0.043478260869565216,12.0,24.5,0.029411764705882353,0.013513513513513514,9.0,15.0,0.05555555555555555,0.030303030303030304,20.5,39.5,0.13333333333333333,0.06060606060606061,1.5,5.0,0.07432432432432433,0.03914590747330961,7.0,15.0,0.056451612903225805,0.02681992337164751,7.0,16.0,0.05782312925170068,0.027868852459016394,14.0,31.5,14.5,28.5,0.0,0.0,5.5,10.5,0.1,0.04,16.5,28.0,0.017543859649122806,0.010309278350515464,3.0,6.0,0.2,0.08333333333333333,15.0,30.0,0.0,0.0,2.0,5.0,0.13636363636363635,0.06976744186046512,5.0,16.0,0.06741573033707865,0.0273972602739726,16.0,29.0,0.036084315827081104,0.01805183199285076,13.5,27.0,0.046153846153846156,0.022900763358778626,21.0,41.5,0.0,0.0,8.5,14.5,0.05555555555555555,0.03333333333333333,20.5,40.0,0.04168982768204558,0.020827547903360177,0.5,0
Lachlan Hunter,3.5,8.5,0.06467661691542288,0.031476997578692496,7.5,12.5,0.05670103092783505,0.028277634961439587,5.5,11.5,0.060759493670886074,0.029925187032418952,5.5,13.5,0.0625,0.028901734104046242,16.0,32.0,0.0,0.0,13.0,27.5,0.0,0.0,10.5,23.0,0.043478260869565216,0.020833333333333332,13.5,26.0,0.0,0.0,14.5,29.0,0.0,0.0,12.5,24.0,0.03508771929824561,0.01834862385321101,6.0,11.5,0.08823529411764706,0.0410958904109589,12.0,20.5,0.0425531914893617,0.021739130434782608,1.0,3.0,0.14705882352941177,0.06756756756756757,9.0,15.0,0.05555555555555555,0.030303030303030304,6.0,12.0,0.0,0.0,9.5,15.0,0.05405405405405406,0.028469750889679714,4.5,11.5,0.06451612903225806,0.03065134099616858,5.0,11.5,0.06462585034013606,0.03114754098360656,8.5,17.5,14.5,28.5,0.0,0.0,15.0,29.5,0.0,0.0,7.5,13.5,0.05263157894736842,0.030927835051546393,3.0,6.0,0.2,0.08333333333333333,5.5,12.0,0.08333333333333333,0.03333333333333333,6.5,11.0,0.09090909090909091,0.046511627906976744,14.5,30.5,0.033707865168539325,0.0136986301369863,6.0,15.0,0.058592354412290104,0.02931188561215371,18.0,32.0,0.06153846153846154,0.030534351145038167,10.5,19.0,0.045454545454545456,0.022900763358778626,8.5,14.5,0.05555555555555555,0.03333333333333333,4.0,6.0,0.05058365758754864,0.02527075812274368,0.5,0
Jason Johannisen,1.0,4.5,0.07960199004975124,0.0387409200968523,15.0,26.5,0.03608247422680412,0.017994858611825194,7.5,13.5,0.05822784810126582,0.028678304239401497,13.5,28.5,0.0375,0.017341040462427744,16.0,32.0,0.0,0.0,13.0,27.5,0.0,0.0,17.5,37.0,0.014492753623188406,0.006944444444444444,13.5,26.0,0.0,0.0,14.5,29.0,0.0,0.0,5.0,10.5,0.07017543859649122,0.03669724770642202,17.0,33.5,0.0,0.0,12.0,20.5,0.0425531914893617,0.021739130434782608,5.5,10.0,0.08823529411764706,0.04054054054054054,18.0,34.0,0.0,0.0,15.0,30.0,0.06666666666666667,0.030303030303030304,5.5,10.5,0.060810810810810814,0.03202846975088968,8.0,16.0,0.05241935483870968,0.02490421455938697,2.0,6.0,0.07482993197278912,0.036065573770491806,1.0,1.5,14.5,28.5,0.0,0.0,15.0,29.5,0.0,0.0,16.5,28.0,0.017543859649122806,0.010309278350515464,14.0,27.0,0.0,0.0,15.0,30.0,0.0,0.0,16.5,32.5,0.0,0.0,14.5,30.5,0.033707865168539325,0.0136986301369863,3.0,7.0,0.0698463737048946,0.03494191242180519,7.0,19.5,0.03076923076923077,0.015267175572519083,2.0,4.5,0.10606060606060606,0.05343511450381679,16.5,32.0,0.0,0.0,13.0,19.5,0.04613674263479711,0.02304915301305193,0.5,0
Marcus Bontempelli,6.5,13.5,0.05970149253731343,0.029055690072639227,7.5,12.5,0.05670103092783505,0.028277634961439587,7.5,13.5,0.05822784810126582,0.028678304239401497,13.5,28.5,0.0375,0.017341040462427744,4.0,6.5,0.125,0.06451612903225806,1.0,1.5,0.6,0.1875,2.5,2.5,0.10144927536231885,0.04861111111111111,13.5,26.0,0.0,0.0,14.5,29.0,0.0,0.0,2.0,2.0,0.10526315789473684,0.05504587155963303,11.0,20.5,0.029411764705882353,0.0136986301369863,2.5,7.0,0.0851063829787234,0.043478260869565216,18.5,36.5,0.0,0.0,3.0,4.5,0.1111111111111111,0.06060606060606061,20.5,39.5,0.13333333333333333,0.06060606060606061,5.5,10.5,0.060810810810810814,0.03202846975088968,4.5,11.5,0.06451612903225806,0.03065134099616858,9.0,19.0,0.047619047619047616,0.022950819672131147,18.0,39.0,1.0,3.0,0.2857142857142857,0.11764705882352941,2.0,4.5,0.2,0.08,11.0,19.0,0.03508771929824561,0.020618556701030927,14.0,27.0,0.0,0.0,5.5,12.0,0.08333333333333333,0.03333333333333333,16.5,32.5,0.0,0.0,1.0,5.5,0.10112359550561797,0.0410958904109589,4.5,13.5,0.05930689531975706,0.02966934763181412,21.0,38.0,0.09230769230769231,0.04580152671755725,10.5,19.0,0.045454545454545456,0.022900763358778626,4.0,5.5,0.1111111111111111,0.06666666666666667,7.0,10.5,0.049471928849360754,0.024715356845320745,0.5,0
Billy Gowers,2.0,6.0,0.07462686567164178,0.03631961259079903,19.5,40.0,0.020618556701030927,0.010282776349614395,9.0,18.5,0.04810126582278481,0.02369077306733167,8.5,21.0,0.05,0.023121387283236993,4.0,6.5,0.125,0.06451612903225806,2.5,7.5,0.2,0.0625,17.5,37.0,0.014492753623188406,0.006944444444444444,13.5,26.0,0.0,0.0,14.5,29.0,0.0,0.0,2.0,2.0,0.10526315789473684,0.05504587155963303,3.0,6.5,0.11764705882352941,0.0547945205479452,7.0,13.0,0.06382978723404255,0.03260869565217391,18.5,36.5,0.0,0.0,9.0,15.0,0.05555555555555555,0.030303030303030304,15.0,30.0,0.06666666666666667,0.030303030303030304,9.5,15.0,0.05405405405405406,0.028469750889679714,12.5,21.0,0.04435483870967742,0.0210727969348659,13.5,24.5,0.04081632653061224,0.019672131147540985,17.0,36.0,14.5,28.5,0.0,0.0,5.5,10.5,0.1,0.04,11.0,19.0,0.03508771929824561,0.020618556701030927,14.0,27.0,0.0,0.0,3.0,6.5,0.16666666666666666,0.06666666666666667,6.5,11.0,0.09090909090909091,0.046511627906976744,9.0,21.5,0.056179775280898875,0.0228310502283105,1.0,2.0,0.08681672025723473,0.043431635388739946,22.0,41.5,0.1076923076923077,0.05343511450381679,14.5,26.0,0.030303030303030304,0.015267175572519083,16.5,32.0,0.0,0.0,15.5,24.0,0.045580878265703166,0.022771452374340462,0.5,0
Bailey Williams,10.0,20.5,0.04975124378109453,0.024213075060532687,12.0,22.5,0.041237113402061855,0.02056555269922879,10.5,20.5,0.04556962025316456,0.022443890274314215,13.5,28.5,0.0375,0.017341040462427744,4.0,6.5,0.125,0.06451612903225806,13.0,27.5,0.0,0.0,7.5,15.5,0.057971014492753624,0.027777777777777776,13.5,26.0,0.0,0.0,14.5,29.0,0.0,0.0,7.5,16.0,0.05263157894736842,0.027522935779816515,6.0,11.5,0.08823529411764706,0.0410958904109589,7.0,13.0,0.06382978723404255,0.03260869565217391,5.5,10.0,0.08823529411764706,0.04054054054054054,18.0,34.0,0.0,0.0,6.0,12.0,0.0,0.0,12.5,18.5,0.0472972972972973,0.02491103202846975,15.5,27.0,0.04032258064516129,0.019157088122605363,11.0,21.0,0.04421768707482993,0.021311475409836064,12.5,28.0,14.5,28.5,0.0,0.0,5.5,10.5,0.1,0.04,21.0,39.0,0.0,0.0,14.0,27.0,0.0,0.0,15.0,30.0,0.0,0.0,2.0,5.0,0.13636363636363635,0.06976744186046512,14.5,30.5,0.033707865168539325,0.0136986301369863,4.5,13.5,0.05930689531975706,0.02966934763181412,18.0,32.0,0.06153846153846154,0.030534351145038167,14.5,26.0,0.030303030303030304,0.015267175572519083,4.0,5.5,0.1111111111111111,0.06666666666666667,13.0,19.5,0.04613674263479711,0.02304915301305193,0.5,0
