Player,Kicks OTR,Kicks BTR,Kicks OT%,Kicks BT%,Handballs OTR,Handballs BTR,Handballs OT%,Handballs BT%,Disposals OTR,Disposals BTR,Disposals OT%,Disposals BT%,Marks OTR,Marks BTR,Marks OT%,Marks BT%,Goals OTR,Goals BTR,Goals OT%,Goals BT%,Behinds OTR,Behinds BTR,Behinds OT%,Behinds BT%,Tackles OTR,Tackles BTR,Tackles OT%,Tackles BT%,Hitouts OTR,Hitouts BTR,Hitouts OT%,Hitouts BT%,Goal Assists OTR,Goal Assists BTR,Goal Assists OT%,Goal Assists BT%,Inside 50s OTR,Inside 50s BTR,Inside 50s OT%,Inside 50s BT%,Clearances OTR,Clearances BTR,Clearances OT%,Clearances BT%,Clangers OTR,Clangers BTR,Clangers OT%,Clangers BT%,Rebound 50s OTR,Rebound 50s BTR,Rebound 50s OT%,Rebound 50s BT%,Frees For OTR,Frees For BTR,Frees For OT%,Frees For BT%,Frees Agains OTR,Frees Agains BTR,Frees Agains OT%,Frees Agains BT%,Contested Possessions OTR,Contested Possessions BTR,Contested Possessions OT%,Contested Possessions BT%,Uncontested Possessions OTR,Uncontested Possessions BTR,Uncontested Possessions OT%,Uncontested Possessions BT%,Effective Disposals OTR,Effective Disposals BTR,Effective Disposals OT%,Effective Disposals BT%,Disposal Efficiency % OTR,Disposal Efficiency % BTR,Contested Marks OTR,Contested Marks BTR,Contested Marks OT%,Contested Marks BT%,Marks Inside 50 OTR,Marks Inside 50 BTR,Marks Inside 50 OT%,Marks Inside 50 BT%,One Percenters OTR,One Percenters BTR,One Percenters OT%,One Percenters BT%,Bounces OTR,Bounces BTR,Bounces OT%,Bounces BT%,Centre Clearances OTR,Centre Clearances BTR,Centre Clearances OT%,Centre Clearances BT%,Stoppage Clearances OTR,Stoppage Clearances BTR,Stoppage Clearances OT%,Stoppage Clearances BT%,Score Involvements OTR,Score Involvements BTR,Score Involvements OT%,Score Involvements BT%,Metres Gained OTR,Metres Gained BTR,Metres Gained OT%,Metres Gained BT%,Turnovers OTR,Turnovers BTR,Turnovers OT%,Turnovers BT%,Intercepts OTR,Intercepts BTR,Intercepts OT%,Intercepts BT%,Tackles Inside 50 OTR,Tackles Inside 50 BTR,Tackles Inside 50 OT%,Tackles Inside 50 BT%,Time On Ground % OTR,Time On Ground % BTR,Time On Ground % OT%,Time On Ground % BT%,Winloss,Brownlow Votes
Jake Lloyd,1.0,1.0,0.12365591397849462,0.06036745406824147,3.0,10.5,0.06369426751592357,0.02976190476190476,1.0,1.0,0.09620991253644315,0.04602510460251046,8.0,16.0,0.057971014492753624,0.029197080291970802,14.0,28.0,0.0,0.0,13.5,30.0,0.0,0.0,12.0,20.0,0.0410958904109589,0.020833333333333332,12.5,25.0,0.0,0.0,13.5,28.0,0.0,0.0,15.5,29.5,0.021739130434782608,0.009523809523809525,3.5,8.5,0.11428571428571428,0.05555555555555555,12.0,25.0,0.0392156862745098,0.019230769230769232,1.0,1.0,0.19148936170212766,0.10714285714285714,3.5,6.5,0.10526315789473684,0.05555555555555555,14.0,28.0,0.058823529411764705,0.027777777777777776,5.5,13.0,0.06040268456375839,0.02912621359223301,1.0,1.5,0.11398963730569948,0.05339805825242718,1.0,1.0,0.11158798283261803,0.05327868852459016,6.0,12.0,15.5,30.0,0.0,0.0,14.0,29.0,0.0,0.0,6.5,11.0,0.06779661016949153,0.034482758620689655,14.0,26.5,0.0,0.0,3.0,7.5,0.1,0.05263157894736842,3.5,8.0,0.12,0.05660377358490566,21.0,42.5,0.0,0.0,1.0,1.0,0.12149187592319055,0.05938092229943146,20.5,42.5,0.0945945945945946,0.051094890510948905,8.5,16.5,0.047619047619047616,0.021897810218978103,16.5,32.0,0.0,0.0,3.0,4.0,0.05169538632573652,0.025833333333333333,0,0
Josh P. Kennedy,14.0,27.0,0.03763440860215054,0.01837270341207349,1.0,1.0,0.12101910828025478,0.05654761904761905,2.0,5.0,0.07580174927113703,0.03626220362622036,21.0,41.5,0.0,0.0,14.0,28.0,0.0,0.0,13.5,30.0,0.0,0.0,1.5,4.5,0.0958904109589041,0.04861111111111111,12.5,25.0,0.0,0.0,13.5,28.0,0.0,0.0,15.5,29.5,0.021739130434782608,0.009523809523809525,1.0,1.0,0.34285714285714286,0.16666666666666666,6.0,13.5,0.058823529411764705,0.028846153846153848,12.5,24.5,0.02127659574468085,0.011904761904761904,17.5,34.0,0.0,0.0,5.0,10.0,0.0,0.0,1.0,1.0,0.1476510067114094,0.07119741100323625,19.5,39.5,0.02072538860103627,0.009708737864077669,3.5,8.0,0.06437768240343347,0.030737704918032786,17.0,34.5,15.5,30.0,0.0,0.0,14.0,29.0,0.0,0.0,9.5,15.0,0.05084745762711865,0.02586206896551724,14.0,26.5,0.0,0.0,1.0,1.0,0.7,0.3684210526315789,1.5,1.5,0.2,0.09433962264150944,13.0,33.0,0.03389830508474576,0.011695906432748537,16.0,32.0,0.026772525849335302,0.013085461600938543,7.0,13.5,0.02702702702702703,0.014598540145985401,20.5,42.0,0.0,0.0,4.0,8.0,0.11764705882352941,0.05263157894736842,7.0,10.0,0.048916064480266815,0.024444444444444446,0,0
Luke Parker,2.0,4.0,0.0913978494623656,0.04461942257217848,14.5,30.0,0.03821656050955414,0.017857142857142856,3.0,7.5,0.06705539358600583,0.03207810320781032,8.0,16.0,0.057971014492753624,0.029197080291970802,2.0,3.0,0.2222222222222222,0.11764705882352941,2.5,9.5,0.25,0.047619047619047616,1.5,4.5,0.0958904109589041,0.04861111111111111,12.5,25.0,0.0,0.0,13.5,28.0,0.0,0.0,1.0,2.5,0.17391304347826086,0.0761904761904762,2.0,4.5,0.14285714285714285,0.06944444444444445,1.0,1.0,0.1568627450980392,0.07692307692307693,19.0,36.5,0.0,0.0,9.0,17.0,0.05263157894736842,0.027777777777777776,20.5,39.0,0.11764705882352941,0.05555555555555555,3.5,9.0,0.06711409395973154,0.032362459546925564,4.0,10.5,0.06735751295336788,0.03155339805825243,11.0,22.5,0.04291845493562232,0.020491803278688523,21.0,42.5,5.5,10.0,0.08333333333333333,0.047619047619047616,14.0,29.0,0.0,0.0,12.0,21.5,0.03389830508474576,0.017241379310344827,14.0,26.5,0.0,0.0,13.5,27.5,0.0,0.0,1.5,1.5,0.2,0.09433962264150944,3.5,13.5,0.0847457627118644,0.029239766081871343,3.0,6.0,0.08622599704579025,0.04214421081129862,18.5,40.0,0.08108108108108109,0.043795620437956206,13.0,26.0,0.031746031746031744,0.014598540145985401,8.0,15.0,0.058823529411764705,0.02631578947368421,8.5,12.5,0.048360200111172875,0.024166666666666666,0,1
Zak Jones,4.0,8.0,0.06451612903225806,0.031496062992125984,5.0,13.0,0.05732484076433121,0.026785714285714284,4.0,10.0,0.061224489795918366,0.029288702928870293,8.0,16.0,0.057971014492753624,0.029197080291970802,14.0,28.0,0.0,0.0,13.5,30.0,0.0,0.0,17.0,29.0,0.0273972602739726,0.013888888888888888,12.5,25.0,0.0,0.0,13.5,28.0,0.0,0.0,5.0,14.0,0.06521739130434782,0.02857142857142857,17.5,34.5,0.0,0.0,6.0,13.5,0.058823529411764705,0.028846153846153848,4.5,7.5,0.0851063829787234,0.047619047619047616,17.5,34.0,0.0,0.0,14.0,28.0,0.058823529411764705,0.027777777777777776,13.5,28.5,0.03355704697986577,0.016181229773462782,2.0,3.5,0.09844559585492228,0.04611650485436893,3.5,8.0,0.06437768240343347,0.030737704918032786,9.0,19.0,15.5,30.0,0.0,0.0,14.0,29.0,0.0,0.0,3.5,7.0,0.0847457627118644,0.04310344827586207,3.5,5.0,0.16666666666666666,0.1111111111111111,13.5,27.5,0.0,0.0,17.5,34.0,0.0,0.0,13.0,33.0,0.03389830508474576,0.011695906432748537,2.0,5.0,0.0967503692762186,0.04728815088890894,22.0,44.0,0.10810810810810811,0.058394160583941604,4.5,9.0,0.07936507936507936,0.0364963503649635,16.5,32.0,0.0,0.0,10.5,17.0,0.04780433574207893,0.02388888888888889,0,0
Robbie Fox,5.5,10.5,0.05913978494623656,0.028871391076115485,5.0,13.0,0.05732484076433121,0.026785714285714284,5.0,12.0,0.05830903790087463,0.02789400278940028,8.0,16.0,0.057971014492753624,0.029197080291970802,14.0,28.0,0.0,0.0,2.5,9.5,0.25,0.047619047619047616,5.0,9.0,0.0684931506849315,0.034722222222222224,12.5,25.0,0.0,0.0,3.0,6.5,0.2,0.08333333333333333,3.0,7.0,0.10869565217391304,0.047619047619047616,5.5,12.5,0.05714285714285714,0.027777777777777776,3.0,6.0,0.0784313725490196,0.038461538461538464,8.5,17.0,0.0425531914893617,0.023809523809523808,3.5,6.5,0.10526315789473684,0.05555555555555555,14.0,28.0,0.058823529411764705,0.027777777777777776,7.0,16.0,0.053691275167785234,0.025889967637540454,6.0,13.5,0.05699481865284974,0.02669902912621359,5.5,11.0,0.060085836909871244,0.028688524590163935,10.0,21.0,15.5,30.0,0.0,0.0,3.5,9.0,0.14285714285714285,0.05,12.0,21.5,0.03389830508474576,0.017241379310344827,3.5,5.0,0.16666666666666666,0.1111111111111111,3.0,7.5,0.1,0.05263157894736842,9.0,18.5,0.04,0.018867924528301886,6.5,19.5,0.06779661016949153,0.023391812865497075,5.0,11.0,0.06610044313146234,0.03230755346990344,20.5,42.5,0.0945945945945946,0.051094890510948905,13.0,26.0,0.031746031746031744,0.014598540145985401,1.5,4.0,0.17647058823529413,0.07894736842105263,17.0,29.5,0.04502501389660923,0.0225,0,0
Harry Cunningham,5.5,10.5,0.05913978494623656,0.028871391076115485,7.0,17.0,0.050955414012738856,0.023809523809523808,7.0,14.5,0.05539358600583091,0.026499302649930265,13.0,24.0,0.043478260869565216,0.021897810218978103,14.0,28.0,0.0,0.0,13.5,30.0,0.0,0.0,12.0,20.0,0.0410958904109589,0.020833333333333332,12.5,25.0,0.0,0.0,1.0,1.0,0.4,0.16666666666666666,5.0,14.0,0.06521739130434782,0.02857142857142857,17.5,34.5,0.0,0.0,18.0,35.5,0.0196078431372549,0.009615384615384616,6.5,11.0,0.06382978723404255,0.03571428571428571,17.5,34.0,0.0,0.0,5.0,10.0,0.0,0.0,21.0,42.5,0.013422818791946308,0.006472491909385114,3.0,6.0,0.08808290155440414,0.0412621359223301,9.0,17.5,0.05150214592274678,0.02459016393442623,14.0,26.0,15.5,30.0,0.0,0.0,14.0,29.0,0.0,0.0,20.0,39.5,0.0,0.0,14.0,26.5,0.0,0.0,13.5,27.5,0.0,0.0,17.5,34.0,0.0,0.0,9.0,26.5,0.05084745762711865,0.017543859649122806,7.0,16.0,0.050775480059084194,0.024817254760400687,7.0,13.5,0.02702702702702703,0.014598540145985401,20.5,42.0,0.0,0.0,4.0,8.0,0.11764705882352941,0.05263157894736842,19.0,35.0,0.042801556420233464,0.021388888888888888,0,0
Callum Sinclair,3.0,6.0,0.07526881720430108,0.03674540682414698,18.0,37.0,0.03184713375796178,0.01488095238095238,7.0,14.5,0.05539358600583091,0.026499302649930265,8.0,16.0,0.057971014492753624,0.029197080291970802,14.0,28.0,0.0,0.0,13.5,30.0,0.0,0.0,7.5,13.5,0.0547945205479452,0.027777777777777776,1.0,1.0,0.9459459459459459,0.4430379746835443,13.5,28.0,0.0,0.0,2.0,4.5,0.13043478260869565,0.05714285714285714,3.5,8.5,0.11428571428571428,0.05555555555555555,18.0,35.5,0.0196078431372549,0.009615384615384616,8.5,17.0,0.0425531914893617,0.023809523809523808,1.0,1.0,0.21052631578947367,0.1111111111111111,14.0,28.0,0.058823529411764705,0.027777777777777776,5.5,13.0,0.06040268456375839,0.02912621359223301,9.0,19.0,0.046632124352331605,0.021844660194174758,11.0,22.5,0.04291845493562232,0.020491803278688523,18.0,36.5,5.5,10.0,0.08333333333333333,0.047619047619047616,14.0,29.0,0.0,0.0,6.5,11.0,0.06779661016949153,0.034482758620689655,14.0,26.5,0.0,0.0,3.0,7.5,0.1,0.05263157894736842,3.5,8.0,0.12,0.05660377358490566,1.0,6.5,0.11864406779661017,0.04093567251461988,6.0,13.5,0.06240768094534712,0.03050266221460157,18.5,40.0,0.08108108108108109,0.043795620437956206,4.5,9.0,0.07936507936507936,0.0364963503649635,4.0,8.0,0.11764705882352941,0.05263157894736842,13.0,21.0,0.04724847137298499,0.02361111111111111,0,0
Aliir Aliir,14.0,27.0,0.03763440860215054,0.01837270341207349,2.0,5.5,0.07643312101910828,0.03571428571428571,7.0,14.5,0.05539358600583091,0.026499302649930265,1.0,1.0,0.11594202898550725,0.058394160583941604,14.0,28.0,0.0,0.0,13.5,30.0,0.0,0.0,17.0,29.0,0.0273972602739726,0.013888888888888888,12.5,25.0,0.0,0.0,13.5,28.0,0.0,0.0,15.5,29.5,0.021739130434782608,0.009523809523809525,17.5,34.5,0.0,0.0,2.0,3.5,0.09803921568627451,0.04807692307692308,3.0,3.5,0.1276595744680851,0.07142857142857142,3.5,6.5,0.10526315789473684,0.05555555555555555,20.5,39.0,0.11764705882352941,0.05555555555555555,2.0,4.0,0.08053691275167785,0.038834951456310676,11.5,23.0,0.04145077720207254,0.019417475728155338,2.0,6.0,0.06866952789699571,0.03278688524590164,5.0,9.0,2.0,3.0,0.16666666666666666,0.09523809523809523,14.0,29.0,0.0,0.0,2.0,3.0,0.13559322033898305,0.06896551724137931,14.0,26.5,0.0,0.0,13.5,27.5,0.0,0.0,17.5,34.0,0.0,0.0,18.0,39.0,0.01694915254237288,0.005847953216374269,12.0,22.0,0.04080502215657312,0.019944048371085644,11.5,23.5,0.04054054054054054,0.021897810218978103,1.0,1.0,0.1746031746031746,0.08029197080291971,16.5,32.0,0.0,0.0,3.0,4.0,0.05169538632573652,0.025833333333333333,0,0
Jarrad McVeigh,7.0,14.5,0.053763440860215055,0.026246719160104987,14.5,30.0,0.03821656050955414,0.017857142857142856,9.0,20.0,0.04664723032069971,0.022315202231520222,3.5,8.5,0.07246376811594203,0.0364963503649635,14.0,28.0,0.0,0.0,13.5,30.0,0.0,0.0,12.0,20.0,0.0410958904109589,0.020833333333333332,12.5,25.0,0.0,0.0,13.5,28.0,0.0,0.0,15.5,29.5,0.021739130434782608,0.009523809523809525,5.5,12.5,0.05714285714285714,0.027777777777777776,21.5,42.5,0.0,0.0,6.5,11.0,0.06382978723404255,0.03571428571428571,9.0,17.0,0.05263157894736842,0.027777777777777776,5.0,10.0,0.0,0.0,17.5,35.0,0.026845637583892617,0.012944983818770227,6.0,13.5,0.05699481865284974,0.02669902912621359,5.5,11.0,0.060085836909871244,0.028688524590163935,2.0,3.0,15.5,30.0,0.0,0.0,14.0,29.0,0.0,0.0,20.0,39.5,0.0,0.0,3.5,5.0,0.16666666666666666,0.1111111111111111,13.5,27.5,0.0,0.0,5.0,12.0,0.08,0.03773584905660377,6.5,19.5,0.06779661016949153,0.023391812865497075,11.0,21.0,0.04283604135893648,0.020936738561501668,7.0,13.5,0.02702702702702703,0.014598540145985401,13.0,26.0,0.031746031746031744,0.014598540145985401,16.5,32.0,0.0,0.0,21.0,43.0,0.03668704836020011,0.018333333333333333,0,0
Heath Grundy,9.0,20.0,0.043010752688172046,0.02099737532808399,10.0,22.5,0.044585987261146494,0.020833333333333332,10.5,23.5,0.043731778425655975,0.02092050209205021,13.0,24.0,0.043478260869565216,0.021897810218978103,14.0,28.0,0.0,0.0,13.5,30.0,0.0,0.0,21.5,43.0,0.0,0.0,12.5,25.0,0.0,0.0,13.5,28.0,0.0,0.0,15.5,29.5,0.021739130434782608,0.009523809523809525,9.5,19.5,0.02857142857142857,0.013888888888888888,18.0,35.5,0.0196078431372549,0.009615384615384616,4.5,7.5,0.0851063829787234,0.047619047619047616,17.5,34.0,0.0,0.0,5.0,10.0,0.0,0.0,13.5,28.5,0.03355704697986577,0.016181229773462782,13.5,27.0,0.03626943005181347,0.01699029126213592,7.5,14.0,0.055793991416309016,0.02663934426229508,3.5,4.5,15.5,30.0,0.0,0.0,14.0,29.0,0.0,0.0,3.5,7.0,0.0847457627118644,0.04310344827586207,14.0,26.5,0.0,0.0,13.5,27.5,0.0,0.0,9.0,18.5,0.04,0.018867924528301886,18.0,39.0,0.01694915254237288,0.005847953216374269,9.0,19.0,0.0465288035450517,0.022741629816803537,15.5,31.5,0.05405405405405406,0.029197080291970802,2.0,6.0,0.1111111111111111,0.051094890510948905,16.5,32.0,0.0,0.0,8.5,12.5,0.048360200111172875,0.024166666666666666,0,0
