Player,Kicks OTR,Kicks BTR,Kicks OT%,Kicks BT%,Handballs OTR,Handballs BTR,Handballs OT%,Handballs BT%,Disposals OTR,Disposals BTR,Disposals OT%,Disposals BT%,Marks OTR,Marks BTR,Marks OT%,Marks BT%,Goals OTR,Goals BTR,Goals OT%,Goals BT%,Behinds OTR,Behinds BTR,Behinds OT%,Behinds BT%,Tackles OTR,Tackles BTR,Tackles OT%,Tackles BT%,Hitouts OTR,Hitouts BTR,Hitouts OT%,Hitouts BT%,Goal Assists OTR,Goal Assists BTR,Goal Assists OT%,Goal Assists BT%,Inside 50s OTR,Inside 50s BTR,Inside 50s OT%,Inside 50s BT%,Clearances OTR,Clearances BTR,Clearances OT%,Clearances BT%,Clangers OTR,Clangers BTR,Clangers OT%,Clangers BT%,Rebound 50s OTR,Rebound 50s BTR,Rebound 50s OT%,Rebound 50s BT%,Frees For OTR,Frees For BTR,Frees For OT%,Frees For BT%,Frees Agains OTR,Frees Agains BTR,Frees Agains OT%,Frees Agains BT%,Contested Possessions OTR,Contested Possessions BTR,Contested Possessions OT%,Contested Possessions BT%,Uncontested Possessions OTR,Uncontested Possessions BTR,Uncontested Possessions OT%,Uncontested Possessions BT%,Effective Disposals OTR,Effective Disposals BTR,Effective Disposals OT%,Effective Disposals BT%,Disposal Efficiency % OTR,Disposal Efficiency % BTR,Contested Marks OTR,Contested Marks BTR,Contested Marks OT%,Contested Marks BT%,Marks Inside 50 OTR,Marks Inside 50 BTR,Marks Inside 50 OT%,Marks Inside 50 BT%,One Percenters OTR,One Percenters BTR,One Percenters OT%,One Percenters BT%,Bounces OTR,Bounces BTR,Bounces OT%,Bounces BT%,Centre Clearances OTR,Centre Clearances BTR,Centre Clearances OT%,Centre Clearances BT%,Stoppage Clearances OTR,Stoppage Clearances BTR,Stoppage Clearances OT%,Stoppage Clearances BT%,Score Involvements OTR,Score Involvements BTR,Score Involvements OT%,Score Involvements BT%,Metres Gained OTR,Metres Gained BTR,Metres Gained OT%,Metres Gained BT%,Turnovers OTR,Turnovers BTR,Turnovers OT%,Turnovers BT%,Intercepts OTR,Intercepts BTR,Intercepts OT%,Intercepts BT%,Tackles Inside 50 OTR,Tackles Inside 50 BTR,Tackles Inside 50 OT%,Tackles Inside 50 BT%,Time On Ground % OTR,Time On Ground % BTR,Time On Ground % OT%,Time On Ground % BT%,Winloss,Brownlow Votes
Rory Laird,12.0,17.5,0.04365079365079365,0.024553571428571428,1.0,1.0,0.11219512195121951,0.06424581005586592,1.0,1.0,0.07439824945295405,0.04218362282878412,1.0,1.5,0.08849557522123894,0.05128205128205128,16.0,30.5,0.0,0.0,14.5,28.0,0.0,0.0,17.5,35.5,0.017241379310344827,0.007042253521126761,12.5,24.5,0.0,0.0,14.0,27.5,0.0,0.0,21.0,40.5,0.0,0.0,6.0,16.0,0.06666666666666667,0.027777777777777776,11.0,25.5,0.0392156862745098,0.01834862385321101,7.0,14.0,0.06896551724137931,0.03125,14.5,21.0,0.034482758620689655,0.023255813953488372,7.0,9.5,0.0,0.0,6.0,8.5,0.05421686746987952,0.029801324503311258,1.5,1.5,0.08741258741258741,0.04950495049504951,1.5,1.5,0.08235294117647059,0.048027444253859346,5.5,11.5,7.0,8.5,0.07692307692307693,0.0625,15.0,28.5,0.0,0.0,7.0,13.5,0.061224489795918366,0.028846153846153848,14.0,26.0,0.0,0.0,14.5,29.5,0.0,0.0,4.0,11.0,0.10526315789473684,0.04081632653061224,8.5,8.5,0.05785123966942149,0.03763440860215054,12.0,23.5,0.03900652762298997,0.021073456046791676,22.0,40.0,0.09375,0.04195804195804196,1.0,1.0,0.12658227848101267,0.06993006993006994,14.5,30.5,0.0,0.0,9.0,13.0,0.04772475027746948,0.02386237513873474,1,3
Wayne Milera,1.0,2.0,0.07539682539682539,0.04241071428571429,5.0,5.5,0.06829268292682927,0.03910614525139665,2.0,2.0,0.07221006564551423,0.04094292803970223,11.5,16.0,0.04424778761061947,0.02564102564102564,16.0,30.5,0.0,0.0,14.5,28.0,0.0,0.0,12.0,27.0,0.034482758620689655,0.014084507042253521,12.5,24.5,0.0,0.0,4.0,7.5,0.125,0.06666666666666667,9.5,14.5,0.05555555555555555,0.031914893617021274,18.0,36.5,0.0,0.0,11.0,25.5,0.0392156862745098,0.01834862385321101,1.0,3.5,0.13793103448275862,0.0625,5.5,8.0,0.06896551724137931,0.046511627906976744,7.0,9.5,0.0,0.0,15.0,27.5,0.03614457831325301,0.019867549668874173,1.5,1.5,0.08741258741258741,0.04950495049504951,1.5,1.5,0.08235294117647059,0.048027444253859346,4.0,9.0,7.0,8.5,0.07692307692307693,0.0625,15.0,28.5,0.0,0.0,5.0,10.0,0.08163265306122448,0.038461538461538464,3.5,5.0,0.16666666666666666,0.1111111111111111,14.5,29.5,0.0,0.0,17.5,35.5,0.0,0.0,16.0,21.0,0.03305785123966942,0.021505376344086023,8.0,11.0,0.060022289444355996,0.03242731808016515,11.5,22.0,0.046875,0.02097902097902098,6.0,9.0,0.0759493670886076,0.04195804195804196,3.5,9.5,0.16666666666666666,0.05,13.0,24.0,0.04605993340732519,0.023029966703662596,1,1
Bryce Gibbs,5.0,7.0,0.06349206349206349,0.03571428571428571,4.0,4.0,0.07317073170731707,0.04189944134078212,3.0,4.0,0.06783369803063458,0.038461538461538464,6.5,8.5,0.061946902654867256,0.035897435897435895,16.0,30.5,0.0,0.0,14.5,28.0,0.0,0.0,17.5,35.5,0.017241379310344827,0.007042253521126761,12.5,24.5,0.0,0.0,14.0,27.5,0.0,0.0,2.5,3.0,0.09259259259259259,0.05319148936170213,4.0,11.0,0.1,0.041666666666666664,5.0,9.0,0.0784313725490196,0.03669724770642202,7.0,14.0,0.06896551724137931,0.03125,5.5,8.0,0.06896551724137931,0.046511627906976744,16.0,25.5,0.07142857142857142,0.023255813953488372,2.5,2.5,0.07228915662650602,0.039735099337748346,5.5,8.0,0.05944055944055944,0.033663366336633666,3.0,3.0,0.06764705882352941,0.03945111492281304,11.0,18.0,17.0,29.5,0.0,0.0,15.0,28.5,0.0,0.0,19.5,38.5,0.0,0.0,14.0,26.0,0.0,0.0,2.5,4.5,0.18181818181818182,0.08695652173913043,9.0,20.5,0.05263157894736842,0.02040816326530612,12.0,13.0,0.049586776859504134,0.03225806451612903,5.0,7.0,0.06256965451361249,0.03380354378118011,19.5,34.5,0.078125,0.03496503496503497,6.0,9.0,0.0759493670886076,0.04195804195804196,14.5,30.5,0.0,0.0,6.0,9.5,0.04827968923418424,0.02413984461709212,1,0
Matt Crouch,8.5,11.5,0.05555555555555555,0.03125,3.0,3.0,0.07804878048780488,0.0446927374301676,4.0,5.0,0.06564551422319474,0.03722084367245657,21.0,38.5,0.017699115044247787,0.010256410256410256,7.5,11.5,0.0625,0.04,14.5,28.0,0.0,0.0,17.5,35.5,0.017241379310344827,0.007042253521126761,12.5,24.5,0.0,0.0,14.0,27.5,0.0,0.0,12.0,21.5,0.037037037037037035,0.02127659574468085,2.5,6.0,0.13333333333333333,0.05555555555555555,17.0,35.5,0.0196078431372549,0.009174311926605505,3.0,7.0,0.10344827586206896,0.046875,14.5,21.0,0.034482758620689655,0.023255813953488372,7.0,9.5,0.0,0.0,11.0,20.5,0.04216867469879518,0.023178807947019868,3.0,3.0,0.08391608391608392,0.047524752475247525,5.0,5.0,0.061764705882352944,0.036020583190394515,15.0,24.5,17.0,29.5,0.0,0.0,15.0,28.5,0.0,0.0,19.5,38.5,0.0,0.0,14.0,26.0,0.0,0.0,2.5,4.5,0.18181818181818182,0.08695652173913043,4.0,11.0,0.10526315789473684,0.04081632653061224,8.5,8.5,0.05785123966942149,0.03763440860215054,14.5,27.5,0.03423021811813406,0.01849303285738861,8.0,14.5,0.03125,0.013986013986013986,17.5,35.5,0.012658227848101266,0.006993006993006993,14.5,30.5,0.0,0.0,20.0,41.0,0.041065482796892344,0.020532741398446172,1,0
Cameron E-Yolmen,11.0,15.5,0.047619047619047616,0.026785714285714284,2.0,2.0,0.08292682926829269,0.04748603351955307,5.0,6.0,0.06345733041575492,0.03598014888337469,17.5,32.0,0.02654867256637168,0.015384615384615385,7.5,11.5,0.0625,0.04,14.5,28.0,0.0,0.0,6.5,14.0,0.06896551724137931,0.028169014084507043,12.5,24.5,0.0,0.0,14.0,27.5,0.0,0.0,6.0,8.0,0.07407407407407407,0.0425531914893617,1.0,1.0,0.23333333333333334,0.09722222222222222,17.0,35.5,0.0196078431372549,0.009174311926605505,12.5,25.0,0.034482758620689655,0.015625,5.5,8.0,0.06896551724137931,0.046511627906976744,7.0,9.5,0.0,0.0,1.0,1.0,0.1144578313253012,0.06291390728476821,15.0,24.5,0.03496503496503497,0.019801980198019802,4.0,4.0,0.06470588235294118,0.03773584905660377,9.5,16.5,7.0,8.5,0.07692307692307693,0.0625,5.5,8.5,0.08333333333333333,0.05555555555555555,9.5,18.0,0.04081632653061224,0.019230769230769232,14.0,26.0,0.0,0.0,1.0,1.0,0.36363636363636365,0.17391304347826086,1.5,4.5,0.15789473684210525,0.061224489795918366,2.5,2.5,0.0743801652892562,0.04838709677419355,9.0,17.0,0.04473809902881707,0.02416996387407535,15.5,28.5,0.0625,0.027972027972027972,13.5,26.0,0.02531645569620253,0.013986013986013986,3.5,9.5,0.16666666666666666,0.05,14.5,28.5,0.04495005549389567,0.022475027746947835,1,0
Rory Atkins,2.0,3.0,0.07142857142857142,0.04017857142857143,8.0,14.0,0.04878048780487805,0.027932960893854747,6.0,7.0,0.061269146608315096,0.034739454094292806,11.5,16.0,0.04424778761061947,0.02564102564102564,16.0,30.5,0.0,0.0,3.5,4.0,0.16666666666666666,0.1111111111111111,12.0,27.0,0.034482758620689655,0.014084507042253521,12.5,24.5,0.0,0.0,14.0,27.5,0.0,0.0,2.5,3.0,0.09259259259259259,0.05319148936170213,6.0,16.0,0.06666666666666667,0.027777777777777776,5.0,9.0,0.0784313725490196,0.03669724770642202,7.0,14.0,0.06896551724137931,0.03125,14.5,21.0,0.034482758620689655,0.023255813953488372,7.0,9.5,0.0,0.0,7.5,14.0,0.04819277108433735,0.026490066225165563,5.5,8.0,0.05944055944055944,0.033663366336633666,11.0,16.0,0.047058823529411764,0.0274442538593482,20.0,37.0,17.0,29.5,0.0,0.0,5.5,8.5,0.08333333333333333,0.05555555555555555,19.5,38.5,0.0,0.0,3.5,5.0,0.16666666666666666,0.1111111111111111,14.5,29.5,0.0,0.0,4.0,11.0,0.10526315789473684,0.04081632653061224,12.0,13.0,0.049586776859504134,0.03225806451612903,2.0,3.0,0.08087884094889349,0.043695166007225186,19.5,34.5,0.078125,0.03496503496503497,8.5,14.5,0.05063291139240506,0.027972027972027972,14.5,30.5,0.0,0.0,9.0,13.0,0.04772475027746948,0.02386237513873474,1,0
Paul Seedsman,5.0,7.0,0.06349206349206349,0.03571428571428571,8.0,14.0,0.04878048780487805,0.027932960893854747,7.0,8.0,0.05689277899343545,0.03225806451612903,3.0,4.5,0.07079646017699115,0.041025641025641026,7.5,11.5,0.0625,0.04,14.5,28.0,0.0,0.0,3.0,7.5,0.08620689655172414,0.035211267605633804,12.5,24.5,0.0,0.0,4.0,7.5,0.125,0.06666666666666667,6.0,8.0,0.07407407407407407,0.0425531914893617,10.5,23.5,0.03333333333333333,0.013888888888888888,11.0,25.5,0.0392156862745098,0.01834862385321101,3.0,7.0,0.10344827586206896,0.046875,14.5,21.0,0.034482758620689655,0.023255813953488372,16.0,25.5,0.07142857142857142,0.023255813953488372,15.0,27.5,0.03614457831325301,0.019867549668874173,4.0,5.0,0.06643356643356643,0.03762376237623762,6.5,7.0,0.058823529411764705,0.03430531732418525,8.0,15.0,17.0,29.5,0.0,0.0,15.0,28.5,0.0,0.0,13.5,26.5,0.02040816326530612,0.009615384615384616,14.0,26.0,0.0,0.0,5.0,10.5,0.09090909090909091,0.043478260869565216,17.5,35.5,0.0,0.0,2.5,2.5,0.0743801652892562,0.04838709677419355,1.0,1.0,0.09616303136443241,0.051952520213314986,11.5,22.0,0.046875,0.02097902097902098,6.0,9.0,0.0759493670886076,0.04195804195804196,3.5,9.5,0.16666666666666666,0.05,14.5,28.5,0.04495005549389567,0.022475027746947835,1,0
Tom Lynch,7.0,10.0,0.05952380952380952,0.033482142857142856,8.0,14.0,0.04878048780487805,0.027932960893854747,8.0,10.0,0.05470459518599562,0.031017369727047148,6.5,8.5,0.061946902654867256,0.035897435897435895,1.5,2.0,0.1875,0.12,14.5,28.0,0.0,0.0,6.5,14.0,0.06896551724137931,0.028169014084507043,12.5,24.5,0.0,0.0,14.0,27.5,0.0,0.0,16.5,31.0,0.018518518518518517,0.010638297872340425,10.5,23.5,0.03333333333333333,0.013888888888888888,11.0,25.5,0.0392156862745098,0.01834862385321101,19.0,38.0,0.0,0.0,14.5,21.0,0.034482758620689655,0.023255813953488372,7.0,9.5,0.0,0.0,5.0,5.0,0.060240963855421686,0.033112582781456956,8.0,13.0,0.05244755244755245,0.0297029702970297,6.5,7.0,0.058823529411764705,0.03430531732418525,7.0,13.0,17.0,29.5,0.0,0.0,15.0,28.5,0.0,0.0,19.5,38.5,0.0,0.0,14.0,26.0,0.0,0.0,14.5,29.5,0.0,0.0,9.0,20.5,0.05263157894736842,0.02040816326530612,2.5,2.5,0.0743801652892562,0.04838709677419355,11.0,20.0,0.04234994427638911,0.02287975227937382,11.5,22.0,0.046875,0.02097902097902098,21.0,42.0,0.0,0.0,3.5,9.5,0.16666666666666666,0.05,9.0,13.0,0.04772475027746948,0.02386237513873474,1,0
Luke Brown,5.0,7.0,0.06349206349206349,0.03571428571428571,14.0,22.0,0.03902439024390244,0.0223463687150838,9.0,12.0,0.0525164113785558,0.02977667493796526,11.5,16.0,0.04424778761061947,0.02564102564102564,16.0,30.5,0.0,0.0,3.5,4.0,0.16666666666666666,0.1111111111111111,3.0,7.5,0.08620689655172414,0.035211267605633804,12.5,24.5,0.0,0.0,14.0,27.5,0.0,0.0,6.0,8.0,0.07407407407407407,0.0425531914893617,18.0,36.5,0.0,0.0,5.0,9.0,0.0784313725490196,0.03669724770642202,3.0,7.0,0.10344827586206896,0.046875,5.5,8.0,0.06896551724137931,0.046511627906976744,16.0,25.5,0.07142857142857142,0.023255813953488372,2.5,2.5,0.07228915662650602,0.039735099337748346,11.5,18.5,0.04195804195804196,0.023762376237623763,8.0,10.0,0.052941176470588235,0.030874785591766724,9.5,16.5,7.0,8.5,0.07692307692307693,0.0625,15.0,28.5,0.0,0.0,13.5,26.5,0.02040816326530612,0.009615384615384616,14.0,26.0,0.0,0.0,14.5,29.5,0.0,0.0,17.5,35.5,0.0,0.0,8.5,8.5,0.05785123966942149,0.03763440860215054,3.0,4.0,0.07355516637478109,0.039738517116807155,15.5,28.5,0.0625,0.027972027972027972,3.5,4.0,0.10126582278481013,0.055944055944055944,14.5,30.5,0.0,0.0,6.0,9.5,0.04827968923418424,0.02413984461709212,1,0
Richard Douglas,8.5,11.5,0.05555555555555555,0.03125,15.5,23.5,0.03414634146341464,0.019553072625698324,10.0,16.0,0.045951859956236324,0.026054590570719603,9.0,11.5,0.05309734513274336,0.03076923076923077,1.5,2.0,0.1875,0.12,14.5,28.0,0.0,0.0,3.0,7.5,0.08620689655172414,0.035211267605633804,12.5,24.5,0.0,0.0,2.0,3.0,0.25,0.13333333333333333,6.0,8.0,0.07407407407407407,0.0425531914893617,18.0,36.5,0.0,0.0,17.0,35.5,0.0196078431372549,0.009174311926605505,12.5,25.0,0.034482758620689655,0.015625,14.5,21.0,0.034482758620689655,0.023255813953488372,7.0,9.5,0.0,0.0,11.0,20.5,0.04216867469879518,0.023178807947019868,7.0,10.0,0.055944055944055944,0.031683168316831684,12.0,18.5,0.04411764705882353,0.025728987993138937,13.5,22.0,17.0,29.5,0.0,0.0,5.5,8.5,0.08333333333333333,0.05555555555555555,19.5,38.5,0.0,0.0,3.5,5.0,0.16666666666666666,0.1111111111111111,14.5,29.5,0.0,0.0,17.5,35.5,0.0,0.0,2.5,2.5,0.0743801652892562,0.04838709677419355,7.0,10.0,0.060977551345327174,0.03294340271804576,15.5,28.5,0.0625,0.027972027972027972,17.5,35.5,0.012658227848101266,0.006993006993006993,3.5,9.5,0.16666666666666666,0.05,17.5,33.0,0.04439511653718091,0.022197558268590455,1,0
