Player,Kicks OTR,Kicks BTR,Kicks OT%,Kicks BT%,Handballs OTR,Handballs BTR,Handballs OT%,Handballs BT%,Disposals OTR,Disposals BTR,Disposals OT%,Disposals BT%,Marks OTR,Marks BTR,Marks OT%,Marks BT%,Goals OTR,Goals BTR,Goals OT%,Goals BT%,Behinds OTR,Behinds BTR,Behinds OT%,Behinds BT%,Tackles OTR,Tackles BTR,Tackles OT%,Tackles BT%,Hitouts OTR,Hitouts BTR,Hitouts OT%,Hitouts BT%,Goal Assists OTR,Goal Assists BTR,Goal Assists OT%,Goal Assists BT%,Inside 50s OTR,Inside 50s BTR,Inside 50s OT%,Inside 50s BT%,Clearances OTR,Clearances BTR,Clearances OT%,Clearances BT%,Clangers OTR,Clangers BTR,Clangers OT%,Clangers BT%,Rebound 50s OTR,Rebound 50s BTR,Rebound 50s OT%,Rebound 50s BT%,Frees For OTR,Frees For BTR,Frees For OT%,Frees For BT%,Frees Agains OTR,Frees Agains BTR,Frees Agains OT%,Frees Agains BT%,Contested Possessions OTR,Contested Possessions BTR,Contested Possessions OT%,Contested Possessions BT%,Uncontested Possessions OTR,Uncontested Possessions BTR,Uncontested Possessions OT%,Uncontested Possessions BT%,Effective Disposals OTR,Effective Disposals BTR,Effective Disposals OT%,Effective Disposals BT%,Disposal Efficiency % OTR,Disposal Efficiency % BTR,Contested Marks OTR,Contested Marks BTR,Contested Marks OT%,Contested Marks BT%,Marks Inside 50 OTR,Marks Inside 50 BTR,Marks Inside 50 OT%,Marks Inside 50 BT%,One Percenters OTR,One Percenters BTR,One Percenters OT%,One Percenters BT%,Bounces OTR,Bounces BTR,Bounces OT%,Bounces BT%,Centre Clearances OTR,Centre Clearances BTR,Centre Clearances OT%,Centre Clearances BT%,Stoppage Clearances OTR,Stoppage Clearances BTR,Stoppage Clearances OT%,Stoppage Clearances BT%,Score Involvements OTR,Score Involvements BTR,Score Involvements OT%,Score Involvements BT%,Metres Gained OTR,Metres Gained BTR,Metres Gained OT%,Metres Gained BT%,Turnovers OTR,Turnovers BTR,Turnovers OT%,Turnovers BT%,Intercepts OTR,Intercepts BTR,Intercepts OT%,Intercepts BT%,Tackles Inside 50 OTR,Tackles Inside 50 BTR,Tackles Inside 50 OT%,Tackles Inside 50 BT%,Time On Ground % OTR,Time On Ground % BTR,Time On Ground % OT%,Time On Ground % BT%,Winloss,Brownlow Votes
Adam Treloar,4.5,9.0,0.06278026905829596,0.031746031746031744,1.0,1.0,0.12738853503184713,0.06389776357827476,1.0,1.0,0.08947368421052632,0.04509283819628647,9.5,18.0,0.05102040816326531,0.026455026455026454,4.5,9.5,0.1111111111111111,0.05263157894736842,14.5,29.0,0.0,0.0,1.0,2.0,0.12244897959183673,0.05357142857142857,12.5,24.5,0.0,0.0,14.0,27.5,0.0,0.0,1.0,2.5,0.125,0.05714285714285714,4.0,7.5,0.11428571428571428,0.05333333333333334,1.0,1.0,0.136986301369863,0.0684931506849315,14.5,27.0,0.020833333333333332,0.011764705882352941,9.5,20.0,0.047619047619047616,0.022222222222222223,12.5,25.5,0.041666666666666664,0.022222222222222223,2.0,3.0,0.08759124087591241,0.0425531914893617,1.0,1.0,0.09090909090909091,0.046255506607929514,1.0,1.5,0.07749077490774908,0.03860294117647059,19.0,36.0,14.5,29.0,0.0,0.0,14.5,29.0,0.0,0.0,20.0,41.0,0.0,0.0,1.0,1.5,0.4,0.2857142857142857,4.5,8.5,0.09090909090909091,0.047619047619047616,3.5,6.5,0.125,0.05555555555555555,3.0,5.5,0.08108108108108109,0.04225352112676056,2.0,7.0,0.06995594713656388,0.0349195179875099,22.0,44.0,0.13333333333333333,0.06451612903225806,11.5,20.0,0.037037037037037035,0.019230769230769232,3.5,6.5,0.125,0.0625,17.5,36.0,0.042754025541365905,0.021394831897749374,0,1
Steele Sidebottom,9.5,18.0,0.053811659192825115,0.027210884353741496,2.0,3.5,0.08917197452229299,0.04472843450479233,2.5,5.0,0.06842105263157895,0.034482758620689655,5.0,10.0,0.061224489795918366,0.031746031746031744,14.5,29.5,0.0,0.0,14.5,29.0,0.0,0.0,12.0,28.0,0.04081632653061224,0.017857142857142856,12.5,24.5,0.0,0.0,14.0,27.5,0.0,0.0,6.5,15.0,0.0625,0.02857142857142857,5.0,10.0,0.08571428571428572,0.04,4.5,11.0,0.0684931506849315,0.03424657534246575,10.0,16.5,0.041666666666666664,0.023529411764705882,17.5,36.0,0.0,0.0,18.5,36.5,0.08333333333333333,0.044444444444444446,5.0,10.0,0.06569343065693431,0.031914893617021274,4.0,5.5,0.0735930735930736,0.037444933920704845,3.0,4.0,0.07011070110701106,0.034926470588235295,10.0,20.0,14.5,29.0,0.0,0.0,14.5,29.0,0.0,0.0,20.0,41.0,0.0,0.0,13.5,25.0,0.0,0.0,14.5,28.5,0.0,0.0,3.5,6.5,0.125,0.05555555555555555,14.0,25.0,0.04054054054054054,0.02112676056338028,10.0,18.0,0.059383259911894276,0.029642008971765325,19.5,37.0,0.08,0.03870967741935484,7.0,12.5,0.07407407407407407,0.038461538461538464,15.0,30.0,0.0,0.0,8.0,15.5,0.04719600222098834,0.02361767157543762,0,0
Jack Crisp,4.5,9.0,0.06278026905829596,0.031746031746031744,4.0,6.5,0.07643312101910828,0.038338658146964855,2.5,5.0,0.06842105263157895,0.034482758620689655,17.5,33.0,0.030612244897959183,0.015873015873015872,14.5,29.5,0.0,0.0,14.5,29.0,0.0,0.0,17.0,37.0,0.02040816326530612,0.008928571428571428,12.5,24.5,0.0,0.0,14.0,27.5,0.0,0.0,6.5,15.0,0.0625,0.02857142857142857,10.5,21.5,0.02857142857142857,0.013333333333333334,4.5,11.0,0.0684931506849315,0.03424657534246575,4.5,6.5,0.08333333333333333,0.047058823529411764,4.5,8.5,0.09523809523809523,0.044444444444444446,12.5,25.5,0.041666666666666664,0.022222222222222223,5.0,10.0,0.06569343065693431,0.031914893617021274,4.0,5.5,0.0735930735930736,0.037444933920704845,4.0,8.5,0.06273062730627306,0.03125,16.0,33.0,14.5,29.0,0.0,0.0,14.5,29.0,0.0,0.0,7.0,20.0,0.0392156862745098,0.017857142857142856,3.0,4.0,0.2,0.14285714285714285,4.5,8.5,0.09090909090909091,0.047619047619047616,17.5,34.5,0.0,0.0,7.0,12.0,0.06756756756756757,0.035211267605633804,5.0,12.0,0.06273127753303964,0.03131322016008444,19.5,37.0,0.08,0.03870967741935484,3.0,4.5,0.09876543209876543,0.05128205128205128,15.0,30.0,0.0,0.0,8.0,15.5,0.04719600222098834,0.02361767157543762,0,0
Scott Pendlebury,11.0,20.5,0.04932735426008968,0.024943310657596373,3.0,5.0,0.08280254777070063,0.04153354632587859,4.5,9.0,0.06315789473684211,0.03183023872679045,2.0,4.0,0.07142857142857142,0.037037037037037035,14.5,29.5,0.0,0.0,4.5,9.0,0.125,0.058823529411764705,12.0,28.0,0.04081632653061224,0.017857142857142856,12.5,24.5,0.0,0.0,14.0,27.5,0.0,0.0,3.5,10.0,0.08333333333333333,0.0380952380952381,2.0,3.5,0.17142857142857143,0.08,22.0,42.5,0.0,0.0,10.0,16.5,0.041666666666666664,0.023529411764705882,9.5,20.0,0.047619047619047616,0.022222222222222223,4.5,9.0,0.0,0.0,5.0,10.0,0.06569343065693431,0.031914893617021274,4.0,5.5,0.0735930735930736,0.037444933920704845,2.0,3.0,0.07380073800738007,0.03676470588235294,4.0,9.0,14.5,29.0,0.0,0.0,4.0,9.0,0.14285714285714285,0.047619047619047616,5.0,10.0,0.0784313725490196,0.03571428571428571,13.5,25.0,0.0,0.0,2.0,3.0,0.2727272727272727,0.14285714285714285,3.5,6.5,0.125,0.05555555555555555,7.0,12.0,0.06756756756756757,0.035211267605633804,7.0,14.5,0.06079295154185022,0.030345676840531268,5.5,8.5,0.013333333333333334,0.0064516129032258064,16.0,34.0,0.012345679012345678,0.00641025641025641,15.0,30.0,0.0,0.0,13.5,23.5,0.04553026096612993,0.02278410669630453,0,0
Tom Phillips,1.0,4.0,0.07174887892376682,0.036281179138321996,8.5,16.5,0.050955414012738856,0.025559105431309903,4.5,9.0,0.06315789473684211,0.03183023872679045,2.0,4.0,0.07142857142857142,0.037037037037037035,14.5,29.5,0.0,0.0,4.5,9.0,0.125,0.058823529411764705,17.0,37.0,0.02040816326530612,0.008928571428571428,12.5,24.5,0.0,0.0,14.0,27.5,0.0,0.0,11.5,22.0,0.041666666666666664,0.01904761904761905,18.0,35.5,0.0,0.0,12.0,23.5,0.0410958904109589,0.02054794520547945,4.5,6.5,0.08333333333333333,0.047058823529411764,9.5,20.0,0.047619047619047616,0.022222222222222223,12.5,25.5,0.041666666666666664,0.022222222222222223,7.0,16.0,0.051094890510948905,0.024822695035460994,2.0,2.5,0.08658008658008658,0.04405286343612335,7.0,16.5,0.055350553505535055,0.027573529411764705,18.0,35.0,14.5,29.0,0.0,0.0,4.0,9.0,0.14285714285714285,0.047619047619047616,13.0,30.5,0.0196078431372549,0.008928571428571428,13.5,25.0,0.0,0.0,14.5,28.5,0.0,0.0,17.5,34.5,0.0,0.0,7.0,12.0,0.06756756756756757,0.035211267605633804,1.0,2.0,0.09797356828193833,0.048904916879233,19.5,37.0,0.08,0.03870967741935484,10.0,18.0,0.04938271604938271,0.02564102564102564,15.0,30.0,0.0,0.0,3.5,5.5,0.04997223764575236,0.025006946373992776,0,0
Dayne Beams,4.5,9.0,0.06278026905829596,0.031746031746031744,6.0,12.5,0.05732484076433121,0.02875399361022364,6.0,11.5,0.060526315789473685,0.03050397877984085,14.0,26.5,0.04081632653061224,0.021164021164021163,4.5,9.5,0.1111111111111111,0.05263157894736842,14.5,29.0,0.0,0.0,7.0,16.0,0.061224489795918366,0.026785714285714284,12.5,24.5,0.0,0.0,3.0,6.5,0.2,0.08333333333333333,2.0,6.0,0.10416666666666667,0.047619047619047616,3.0,5.5,0.14285714285714285,0.06666666666666667,8.5,16.5,0.0547945205479452,0.0273972602739726,14.5,27.0,0.020833333333333332,0.011764705882352941,17.5,36.0,0.0,0.0,4.5,9.0,0.0,0.0,3.0,6.5,0.072992700729927,0.03546099290780142,8.0,16.0,0.05627705627705628,0.028634361233480177,5.5,13.0,0.05904059040590406,0.029411764705882353,13.0,27.0,4.0,8.5,0.14285714285714285,0.0625,14.5,29.0,0.0,0.0,13.0,30.5,0.0196078431372549,0.008928571428571428,13.5,25.0,0.0,0.0,4.5,8.5,0.09090909090909091,0.047619047619047616,1.0,3.0,0.16666666666666666,0.07407407407407407,1.0,2.5,0.0945945945945946,0.04929577464788732,4.0,9.0,0.06643171806167401,0.03316034831559504,14.0,27.0,0.05333333333333334,0.025806451612903226,20.0,41.5,0.0,0.0,15.0,30.0,0.0,0.0,15.5,31.5,0.04386451971127152,0.021950541817171435,0,0
Christopher Mayne,4.5,9.0,0.06278026905829596,0.031746031746031744,8.5,16.5,0.050955414012738856,0.025559105431309903,7.0,13.5,0.05789473684210526,0.029177718832891247,5.0,10.0,0.061224489795918366,0.031746031746031744,14.5,29.5,0.0,0.0,14.5,29.0,0.0,0.0,12.0,28.0,0.04081632653061224,0.017857142857142856,12.5,24.5,0.0,0.0,14.0,27.5,0.0,0.0,3.5,10.0,0.08333333333333333,0.0380952380952381,6.5,14.0,0.05714285714285714,0.02666666666666667,15.5,31.0,0.0273972602739726,0.0136986301369863,14.5,27.0,0.020833333333333332,0.011764705882352941,4.5,8.5,0.09523809523809523,0.044444444444444446,4.5,9.0,0.0,0.0,9.0,19.5,0.043795620437956206,0.02127659574468085,6.0,10.0,0.06493506493506493,0.03303964757709251,5.5,13.0,0.05904059040590406,0.029411764705882353,11.0,23.0,14.5,29.0,0.0,0.0,14.5,29.0,0.0,0.0,13.0,30.5,0.0196078431372549,0.008928571428571428,3.0,4.0,0.2,0.14285714285714285,14.5,28.5,0.0,0.0,6.0,12.0,0.08333333333333333,0.037037037037037035,14.0,25.0,0.04054054054054054,0.02112676056338028,11.0,19.0,0.05814977973568282,0.02902629958659513,9.5,19.5,0.04,0.01935483870967742,5.0,8.5,0.08641975308641975,0.04487179487179487,15.0,30.0,0.0,0.0,3.5,5.5,0.04997223764575236,0.025006946373992776,0,0
James Aish,2.0,6.0,0.06726457399103139,0.034013605442176874,16.0,33.0,0.025477707006369428,0.012779552715654952,8.0,17.0,0.05,0.025198938992042442,9.5,18.0,0.05102040816326531,0.026455026455026454,14.5,29.5,0.0,0.0,14.5,29.0,0.0,0.0,3.5,7.5,0.08163265306122448,0.03571428571428571,12.5,24.5,0.0,0.0,14.0,27.5,0.0,0.0,11.5,22.0,0.041666666666666664,0.01904761904761905,18.0,35.5,0.0,0.0,12.0,23.5,0.0410958904109589,0.02054794520547945,4.5,6.5,0.08333333333333333,0.047058823529411764,9.5,20.0,0.047619047619047616,0.022222222222222223,4.5,9.0,0.0,0.0,18.0,36.5,0.029197080291970802,0.014184397163120567,7.0,13.5,0.06060606060606061,0.030837004405286344,9.5,22.0,0.04797047970479705,0.02389705882352941,14.5,29.5,14.5,29.0,0.0,0.0,14.5,29.0,0.0,0.0,7.0,20.0,0.0392156862745098,0.017857142857142856,13.5,25.0,0.0,0.0,14.5,28.5,0.0,0.0,17.5,34.5,0.0,0.0,14.0,25.0,0.04054054054054054,0.02112676056338028,6.0,13.0,0.06167400881057269,0.030785469258509984,14.0,27.0,0.05333333333333334,0.025806451612903226,7.0,12.5,0.07407407407407407,0.038461538461538464,15.0,30.0,0.0,0.0,12.0,20.5,0.04608550805108273,0.02306196165601556,0,0
Brodie Grundy,12.0,22.0,0.04484304932735426,0.022675736961451247,8.5,16.5,0.050955414012738856,0.025559105431309903,9.0,19.5,0.04736842105263158,0.023872679045092837,20.5,37.5,0.02040816326530612,0.010582010582010581,14.5,29.5,0.0,0.0,1.5,2.5,0.25,0.11764705882352941,12.0,28.0,0.04081632653061224,0.017857142857142856,1.0,1.0,0.8292682926829268,0.5,14.0,27.5,0.0,0.0,17.0,33.0,0.020833333333333332,0.009523809523809525,1.0,2.0,0.2,0.09333333333333334,2.0,5.5,0.0821917808219178,0.0410958904109589,10.0,16.5,0.041666666666666664,0.023529411764705882,2.0,3.5,0.14285714285714285,0.06666666666666667,22.0,44.0,0.20833333333333334,0.1111111111111111,1.0,1.0,0.10218978102189781,0.04964539007092199,22.0,42.5,0.012987012987012988,0.006607929515418502,15.0,28.0,0.03690036900369004,0.01838235294117647,21.0,42.0,14.5,29.0,0.0,0.0,14.5,29.0,0.0,0.0,13.0,30.5,0.0196078431372549,0.008928571428571428,13.5,25.0,0.0,0.0,1.0,1.5,0.36363636363636365,0.19047619047619047,3.5,6.5,0.125,0.05555555555555555,3.0,5.5,0.08108108108108109,0.04225352112676056,21.0,41.0,0.013920704845814978,0.006948720204063682,2.5,3.5,0.0,0.0,16.0,34.0,0.012345679012345678,0.00641025641025641,15.0,30.0,0.0,0.0,6.0,11.5,0.04775124930594114,0.02389552653514865,0,0
Josh Thomas,19.5,36.0,0.026905829596412557,0.013605442176870748,5.0,9.5,0.06369426751592357,0.03194888178913738,11.5,24.0,0.042105263157894736,0.021220159151193633,20.5,37.5,0.02040816326530612,0.010582010582010581,14.5,29.5,0.0,0.0,14.5,29.0,0.0,0.0,17.0,37.0,0.02040816326530612,0.008928571428571428,12.5,24.5,0.0,0.0,3.0,6.5,0.2,0.08333333333333333,6.5,15.0,0.0625,0.02857142857142857,10.5,21.5,0.02857142857142857,0.013333333333333334,15.5,31.0,0.0273972602739726,0.0136986301369863,19.5,38.5,0.0,0.0,17.5,36.0,0.0,0.0,12.5,25.5,0.041666666666666664,0.022222222222222223,18.0,36.5,0.029197080291970802,0.014184397163120567,9.0,19.0,0.05194805194805195,0.02643171806167401,13.0,26.0,0.04059040590405904,0.02022058823529412,14.5,29.5,14.5,29.0,0.0,0.0,14.5,29.0,0.0,0.0,20.0,41.0,0.0,0.0,13.5,25.0,0.0,0.0,14.5,28.5,0.0,0.0,9.5,19.5,0.041666666666666664,0.018518518518518517,7.0,12.0,0.06756756756756757,0.035211267605633804,19.0,35.0,0.021145374449339206,0.010555018031489137,9.5,19.5,0.04,0.01935483870967742,20.0,41.5,0.0,0.0,6.0,12.0,0.0625,0.03125,19.5,39.5,0.041088284286507494,0.020561267018616283,0,0
