Player,Kicks OTR,Kicks BTR,Kicks OT%,Kicks BT%,Handballs OTR,Handballs BTR,Handballs OT%,Handballs BT%,Disposals OTR,Disposals BTR,Disposals OT%,Disposals BT%,Marks OTR,Marks BTR,Marks OT%,Marks BT%,Goals OTR,Goals BTR,Goals OT%,Goals BT%,Behinds OTR,Behinds BTR,Behinds OT%,Behinds BT%,Tackles OTR,Tackles BTR,Tackles OT%,Tackles BT%,Hitouts OTR,Hitouts BTR,Hitouts OT%,Hitouts BT%,Goal Assists OTR,Goal Assists BTR,Goal Assists OT%,Goal Assists BT%,Inside 50s OTR,Inside 50s BTR,Inside 50s OT%,Inside 50s BT%,Clearances OTR,Clearances BTR,Clearances OT%,Clearances BT%,Clangers OTR,Clangers BTR,Clangers OT%,Clangers BT%,Rebound 50s OTR,Rebound 50s BTR,Rebound 50s OT%,Rebound 50s BT%,Frees For OTR,Frees For BTR,Frees For OT%,Frees For BT%,Frees Agains OTR,Frees Agains BTR,Frees Agains OT%,Frees Agains BT%,Contested Possessions OTR,Contested Possessions BTR,Contested Possessions OT%,Contested Possessions BT%,Uncontested Possessions OTR,Uncontested Possessions BTR,Uncontested Possessions OT%,Uncontested Possessions BT%,Effective Disposals OTR,Effective Disposals BTR,Effective Disposals OT%,Effective Disposals BT%,Disposal Efficiency % OTR,Disposal Efficiency % BTR,Contested Marks OTR,Contested Marks BTR,Contested Marks OT%,Contested Marks BT%,Marks Inside 50 OTR,Marks Inside 50 BTR,Marks Inside 50 OT%,Marks Inside 50 BT%,One Percenters OTR,One Percenters BTR,One Percenters OT%,One Percenters BT%,Bounces OTR,Bounces BTR,Bounces OT%,Bounces BT%,Centre Clearances OTR,Centre Clearances BTR,Centre Clearances OT%,Centre Clearances BT%,Stoppage Clearances OTR,Stoppage Clearances BTR,Stoppage Clearances OT%,Stoppage Clearances BT%,Score Involvements OTR,Score Involvements BTR,Score Involvements OT%,Score Involvements BT%,Metres Gained OTR,Metres Gained BTR,Metres Gained OT%,Metres Gained BT%,Turnovers OTR,Turnovers BTR,Turnovers OT%,Turnovers BT%,Intercepts OTR,Intercepts BTR,Intercepts OT%,Intercepts BT%,Tackles Inside 50 OTR,Tackles Inside 50 BTR,Tackles Inside 50 OT%,Tackles Inside 50 BT%,Time On Ground % OTR,Time On Ground % BTR,Time On Ground % OT%,Time On Ground % BT%,Winloss,Brownlow Votes
Jaeger O'Meara,1.0,3.0,0.10599078341013825,0.052752293577981654,1.0,2.0,0.11965811965811966,0.05907172995780591,1.0,2.0,0.11077844311377245,0.0549777117384844,19.5,39.5,0.0,0.0,16.0,29.0,0.0,0.0,1.0,1.0,0.21428571428571427,0.15789473684210525,1.0,2.0,0.10309278350515463,0.053763440860215055,12.5,24.5,0.0,0.0,13.5,27.5,0.0,0.0,15.0,31.5,0.018518518518518517,0.009259259259259259,1.0,1.0,0.2926829268292683,0.11538461538461539,1.0,2.0,0.125,0.06140350877192982,1.5,3.5,0.14634146341463414,0.07058823529411765,5.5,9.5,0.08333333333333333,0.043478260869565216,18.5,37.5,0.09090909090909091,0.043478260869565216,1.0,1.0,0.14705882352941177,0.07507507507507508,10.0,18.5,0.04794520547945205,0.023026315789473683,5.0,11.0,0.06,0.028985507246376812,22.0,44.0,15.0,29.5,0.0,0.0,13.5,26.5,0.0,0.0,15.5,33.5,0.015625,0.007194244604316547,11.5,23.5,0.0,0.0,1.5,4.5,0.25,0.08695652173913043,1.0,1.0,0.30303030303030304,0.12345679012345678,7.5,9.5,0.0594059405940594,0.03636363636363636,8.0,14.0,0.06447791504484685,0.032296346528778504,22.0,44.0,0.15517241379310345,0.06976744186046512,13.0,24.0,0.028169014084507043,0.015503875968992248,1.0,1.0,0.23809523809523808,0.125,5.0,10.5,0.049389567147613764,0.024708495280399777,0,1
Liam Shiels,2.0,4.0,0.10138248847926268,0.05045871559633028,4.0,9.0,0.06837606837606838,0.03375527426160337,2.0,4.5,0.08982035928143713,0.04457652303120357,4.0,6.5,0.09433962264150944,0.04854368932038835,16.0,29.0,0.0,0.0,7.0,9.5,0.07142857142857142,0.05263157894736842,3.5,5.5,0.08247422680412371,0.043010752688172046,12.5,24.5,0.0,0.0,13.5,27.5,0.0,0.0,5.5,9.0,0.07407407407407407,0.037037037037037035,3.5,10.5,0.07317073170731707,0.028846153846153848,2.0,3.0,0.10714285714285714,0.05263157894736842,13.5,24.5,0.024390243902439025,0.011764705882352941,11.0,21.0,0.041666666666666664,0.021739130434782608,18.5,37.5,0.09090909090909091,0.043478260869565216,4.0,6.5,0.07647058823529412,0.03903903903903904,1.5,5.0,0.0958904109589041,0.046052631578947366,3.0,8.0,0.065,0.03140096618357488,20.5,40.0,5.0,9.0,0.1,0.05,13.5,26.5,0.0,0.0,20.5,41.5,0.0,0.0,11.5,23.5,0.0,0.0,14.5,29.5,0.0,0.0,3.5,10.0,0.09090909090909091,0.037037037037037035,11.0,13.5,0.04950495049504951,0.030303030303030304,1.0,4.0,0.09375528854290066,0.04696109180300076,20.0,37.0,0.08620689655172414,0.03875968992248062,3.0,4.5,0.08450704225352113,0.046511627906976744,16.0,32.0,0.0,0.0,16.0,34.5,0.04384017758046615,0.02193225985563576,0,0
James Worpel,4.0,8.0,0.06912442396313365,0.034403669724770644,4.0,9.0,0.06837606837606838,0.03375527426160337,3.0,7.0,0.0688622754491018,0.03417533432392273,19.5,39.5,0.0,0.0,5.0,8.5,0.1111111111111111,0.05,7.0,9.5,0.07142857142857142,0.05263157894736842,2.0,3.5,0.09278350515463918,0.04838709677419355,12.5,24.5,0.0,0.0,2.5,6.0,0.25,0.09090909090909091,3.5,6.5,0.09259259259259259,0.046296296296296294,2.0,3.5,0.21951219512195122,0.08653846153846154,12.5,25.5,0.03571428571428571,0.017543859649122806,8.0,16.0,0.04878048780487805,0.023529411764705882,11.0,21.0,0.041666666666666664,0.021739130434782608,4.5,7.5,0.0,0.0,4.0,6.5,0.07647058823529412,0.03903903903903904,7.5,14.0,0.0547945205479452,0.02631578947368421,9.5,18.5,0.05,0.024154589371980676,20.5,40.0,15.0,29.5,0.0,0.0,13.5,26.5,0.0,0.0,15.5,33.5,0.015625,0.007194244604316547,11.5,23.5,0.0,0.0,4.5,10.0,0.125,0.043478260869565216,2.0,2.0,0.24242424242424243,0.09876543209876543,1.5,2.0,0.07920792079207921,0.048484848484848485,4.0,10.0,0.07277035031308174,0.03644994490124608,18.0,33.0,0.06896551724137931,0.031007751937984496,9.0,18.0,0.04225352112676056,0.023255813953488372,16.0,32.0,0.0,0.0,20.5,39.5,0.03718091009988901,0.018600777345918935,0,0
Isaac Smith,4.0,8.0,0.06912442396313365,0.034403669724770644,10.0,17.5,0.05128205128205128,0.02531645569620253,4.5,9.0,0.06287425149700598,0.031203566121842496,15.5,30.5,0.018867924528301886,0.009708737864077669,5.0,8.5,0.1111111111111111,0.05,3.0,3.5,0.14285714285714285,0.10526315789473684,9.5,16.0,0.05154639175257732,0.026881720430107527,12.5,24.5,0.0,0.0,2.5,6.0,0.25,0.09090909090909091,1.0,2.0,0.14814814814814814,0.07407407407407407,7.5,17.5,0.04878048780487805,0.019230769230769232,12.5,25.5,0.03571428571428571,0.017543859649122806,19.5,37.0,0.0,0.0,18.5,36.5,0.0,0.0,11.5,23.5,0.045454545454545456,0.021739130434782608,11.0,22.0,0.03529411764705882,0.018018018018018018,1.5,5.0,0.0958904109589041,0.046052631578947366,5.0,11.0,0.06,0.028985507246376812,15.5,32.0,15.0,29.5,0.0,0.0,13.5,26.5,0.0,0.0,20.5,41.5,0.0,0.0,11.5,23.5,0.0,0.0,14.5,29.5,0.0,0.0,6.0,15.5,0.06060606060606061,0.024691358024691357,1.5,2.0,0.07920792079207921,0.048484848484848485,2.0,5.0,0.08986292096801489,0.04501144358735272,18.0,33.0,0.06896551724137931,0.031007751937984496,18.5,34.5,0.014084507042253521,0.007751937984496124,5.5,9.0,0.09523809523809523,0.05,10.0,21.5,0.04661487236403995,0.023320377568017768,0,0
Jarman Impey,4.0,8.0,0.06912442396313365,0.034403669724770644,10.0,17.5,0.05128205128205128,0.02531645569620253,4.5,9.0,0.06287425149700598,0.031203566121842496,4.0,6.5,0.09433962264150944,0.04854368932038835,16.0,29.0,0.0,0.0,16.0,29.0,0.0,0.0,9.5,16.0,0.05154639175257732,0.026881720430107527,12.5,24.5,0.0,0.0,13.5,27.5,0.0,0.0,9.0,14.0,0.05555555555555555,0.027777777777777776,17.5,37.0,0.0,0.0,3.5,5.0,0.08928571428571429,0.043859649122807015,3.0,5.0,0.12195121951219512,0.058823529411764705,2.0,3.0,0.125,0.06521739130434782,18.5,37.5,0.09090909090909091,0.043478260869565216,4.0,6.5,0.07647058823529412,0.03903903903903904,5.5,11.0,0.06164383561643835,0.029605263157894735,2.0,7.0,0.07,0.033816425120772944,10.5,22.0,2.0,3.0,0.2,0.1,13.5,26.5,0.0,0.0,7.5,17.0,0.046875,0.02158273381294964,11.5,23.5,0.0,0.0,14.5,29.5,0.0,0.0,16.5,35.5,0.0,0.0,4.5,6.0,0.06930693069306931,0.04242424242424243,5.0,11.0,0.07023184972076493,0.03517843519538866,21.0,42.5,0.13793103448275862,0.06201550387596899,1.0,1.0,0.22535211267605634,0.12403100775193798,16.0,32.0,0.0,0.0,13.5,27.5,0.04495005549389567,0.022487506940588563,0,0
Tom Scully,7.5,12.5,0.055299539170506916,0.027522935779816515,4.0,9.0,0.06837606837606838,0.03375527426160337,6.0,11.0,0.059880239520958084,0.029717682020802376,15.5,30.5,0.018867924528301886,0.009708737864077669,16.0,29.0,0.0,0.0,16.0,29.0,0.0,0.0,19.0,38.5,0.010309278350515464,0.005376344086021506,12.5,24.5,0.0,0.0,13.5,27.5,0.0,0.0,15.0,31.5,0.018518518518518517,0.009259259259259259,7.5,17.5,0.04878048780487805,0.019230769230769232,7.5,13.5,0.05357142857142857,0.02631578947368421,8.0,16.0,0.04878048780487805,0.023529411764705882,11.0,21.0,0.041666666666666664,0.021739130434782608,11.5,23.5,0.045454545454545456,0.021739130434782608,7.0,12.0,0.058823529411764705,0.03003003003003003,3.0,7.0,0.07534246575342465,0.03618421052631579,9.5,18.5,0.05,0.024154589371980676,17.5,35.5,15.0,29.5,0.0,0.0,13.5,26.5,0.0,0.0,10.5,23.5,0.03125,0.014388489208633094,11.5,23.5,0.0,0.0,14.5,29.5,0.0,0.0,6.0,15.5,0.06060606060606061,0.024691358024691357,11.0,13.5,0.04950495049504951,0.030303030303030304,11.0,17.0,0.050770011846336095,0.025430194117148426,18.0,33.0,0.06896551724137931,0.031007751937984496,9.0,18.0,0.04225352112676056,0.023255813953488372,16.0,32.0,0.0,0.0,7.0,14.0,0.048834628190899,0.024430871737923375,0,0
James Sicily,6.0,11.0,0.059907834101382486,0.02981651376146789,13.0,22.5,0.042735042735042736,0.02109704641350211,7.0,13.0,0.05389221556886228,0.02674591381872214,4.0,6.5,0.09433962264150944,0.04854368932038835,16.0,29.0,0.0,0.0,16.0,29.0,0.0,0.0,21.5,42.5,0.0,0.0,12.5,24.5,0.0,0.0,13.5,27.5,0.0,0.0,12.0,22.0,0.037037037037037035,0.018518518518518517,17.5,37.0,0.0,0.0,12.5,25.5,0.03571428571428571,0.017543859649122806,4.5,7.5,0.0975609756097561,0.047058823529411764,11.0,21.0,0.041666666666666664,0.021739130434782608,18.5,37.5,0.09090909090909091,0.043478260869565216,11.0,22.0,0.03529411764705882,0.018018018018018018,4.0,8.5,0.0684931506849315,0.03289473684210526,1.0,6.0,0.075,0.036231884057971016,4.0,6.5,5.0,9.0,0.1,0.05,13.5,26.5,0.0,0.0,2.5,4.5,0.125,0.05755395683453238,11.5,23.5,0.0,0.0,14.5,29.5,0.0,0.0,16.5,35.5,0.0,0.0,7.5,9.5,0.0594059405940594,0.03636363636363636,7.0,13.0,0.06498561516331021,0.03255064846994999,2.5,3.0,0.0,0.0,2.0,3.0,0.09859154929577464,0.05426356589147287,16.0,32.0,0.0,0.0,3.0,7.5,0.049944506104328525,0.02498611882287618,0,0
Luke Breust,17.5,35.0,0.02304147465437788,0.011467889908256881,2.0,3.5,0.10256410256410256,0.05063291139240506,8.0,14.5,0.05089820359281437,0.02526002971768202,12.5,23.0,0.03773584905660377,0.019417475728155338,5.0,8.5,0.1111111111111111,0.05,16.0,29.0,0.0,0.0,9.5,16.0,0.05154639175257732,0.026881720430107527,12.5,24.5,0.0,0.0,13.5,27.5,0.0,0.0,9.0,14.0,0.05555555555555555,0.027777777777777776,3.5,10.5,0.07317073170731707,0.028846153846153848,21.5,43.5,0.0,0.0,13.5,24.5,0.024390243902439025,0.011764705882352941,5.5,9.5,0.08333333333333333,0.043478260869565216,4.5,7.5,0.0,0.0,2.0,4.0,0.08235294117647059,0.042042042042042045,20.0,36.5,0.02054794520547945,0.009868421052631578,9.5,18.5,0.05,0.024154589371980676,14.0,29.5,15.0,29.5,0.0,0.0,3.5,6.0,0.14285714285714285,0.07142857142857142,15.5,33.5,0.015625,0.007194244604316547,11.5,23.5,0.0,0.0,14.5,29.5,0.0,0.0,3.5,10.0,0.09090909090909091,0.037037037037037035,11.0,13.5,0.04950495049504951,0.030303030303030304,15.0,31.0,0.024538839059062446,0.012291260489955073,2.5,3.0,0.0,0.0,13.0,24.0,0.028169014084507043,0.015503875968992248,2.5,4.5,0.14285714285714285,0.075,18.0,37.0,0.042175360710321866,0.02109938922820655,0,0
Shaun Burgoyne,7.5,12.5,0.055299539170506916,0.027522935779816515,14.0,24.5,0.03418803418803419,0.016877637130801686,9.0,16.5,0.04790419161676647,0.0237741456166419,19.5,39.5,0.0,0.0,5.0,8.5,0.1111111111111111,0.05,16.0,29.0,0.0,0.0,7.0,10.5,0.061855670103092786,0.03225806451612903,12.5,24.5,0.0,0.0,13.5,27.5,0.0,0.0,2.0,4.0,0.1111111111111111,0.05555555555555555,7.5,17.5,0.04878048780487805,0.019230769230769232,7.5,13.5,0.05357142857142857,0.02631578947368421,4.5,7.5,0.0975609756097561,0.047058823529411764,18.5,36.5,0.0,0.0,11.5,23.5,0.045454545454545456,0.021739130434782608,11.0,22.0,0.03529411764705882,0.018018018018018018,10.0,18.5,0.04794520547945205,0.023026315789473683,5.0,11.0,0.06,0.028985507246376812,6.5,11.5,15.0,29.5,0.0,0.0,13.5,26.5,0.0,0.0,4.5,10.5,0.078125,0.03597122302158273,11.5,23.5,0.0,0.0,1.5,4.5,0.25,0.08695652173913043,16.5,35.5,0.0,0.0,14.5,19.5,0.039603960396039604,0.024242424242424242,3.0,9.0,0.07480115078693518,0.037467152665932014,14.0,26.0,0.05172413793103448,0.023255813953488372,13.0,24.0,0.028169014084507043,0.015503875968992248,16.0,32.0,0.0,0.0,13.5,27.5,0.04495005549389567,0.022487506940588563,0,0
Ricky Henderson,12.0,22.5,0.041474654377880185,0.020642201834862386,10.0,17.5,0.05128205128205128,0.02531645569620253,10.0,19.0,0.04491017964071856,0.022288261515601784,8.5,16.0,0.05660377358490566,0.02912621359223301,5.0,8.5,0.1111111111111111,0.05,16.0,29.0,0.0,0.0,13.0,23.5,0.041237113402061855,0.021505376344086023,12.5,24.5,0.0,0.0,2.5,6.0,0.25,0.09090909090909091,9.0,14.0,0.05555555555555555,0.027777777777777776,11.5,26.0,0.024390243902439025,0.009615384615384616,18.0,37.5,0.017857142857142856,0.008771929824561403,13.5,24.5,0.024390243902439025,0.011764705882352941,18.5,36.5,0.0,0.0,11.5,23.5,0.045454545454545456,0.021739130434782608,20.0,40.5,0.01764705882352941,0.009009009009009009,5.5,11.0,0.06164383561643835,0.029605263157894735,7.0,14.5,0.055,0.026570048309178744,8.0,14.0,15.0,29.5,0.0,0.0,13.5,26.5,0.0,0.0,15.5,33.5,0.015625,0.007194244604316547,11.5,23.5,0.0,0.0,14.5,29.5,0.0,0.0,9.0,23.0,0.030303030303030304,0.012345679012345678,11.0,13.5,0.04950495049504951,0.030303030303030304,9.0,15.0,0.06007784735149772,0.03009239637195897,7.0,9.5,0.017241379310344827,0.007751937984496124,6.0,12.5,0.056338028169014086,0.031007751937984496,8.5,16.0,0.047619047619047616,0.025,16.0,34.5,0.04384017758046615,0.02193225985563576,0,0
