Player,Kicks OTR,Kicks BTR,Kicks OT%,Kicks BT%,Handballs OTR,Handballs BTR,Handballs OT%,Handballs BT%,Disposals OTR,Disposals BTR,Disposals OT%,Disposals BT%,Marks OTR,Marks BTR,Marks OT%,Marks BT%,Goals OTR,Goals BTR,Goals OT%,Goals BT%,Behinds OTR,Behinds BTR,Behinds OT%,Behinds BT%,Tackles OTR,Tackles BTR,Tackles OT%,Tackles BT%,Hitouts OTR,Hitouts BTR,Hitouts OT%,Hitouts BT%,Goal Assists OTR,Goal Assists BTR,Goal Assists OT%,Goal Assists BT%,Inside 50s OTR,Inside 50s BTR,Inside 50s OT%,Inside 50s BT%,Clearances OTR,Clearances BTR,Clearances OT%,Clearances BT%,Clangers OTR,Clangers BTR,Clangers OT%,Clangers BT%,Rebound 50s OTR,Rebound 50s BTR,Rebound 50s OT%,Rebound 50s BT%,Frees For OTR,Frees For BTR,Frees For OT%,Frees For BT%,Frees Agains OTR,Frees Agains BTR,Frees Agains OT%,Frees Agains BT%,Contested Possessions OTR,Contested Possessions BTR,Contested Possessions OT%,Contested Possessions BT%,Uncontested Possessions OTR,Uncontested Possessions BTR,Uncontested Possessions OT%,Uncontested Possessions BT%,Effective Disposals OTR,Effective Disposals BTR,Effective Disposals OT%,Effective Disposals BT%,Disposal Efficiency % OTR,Disposal Efficiency % BTR,Contested Marks OTR,Contested Marks BTR,Contested Marks OT%,Contested Marks BT%,Marks Inside 50 OTR,Marks Inside 50 BTR,Marks Inside 50 OT%,Marks Inside 50 BT%,One Percenters OTR,One Percenters BTR,One Percenters OT%,One Percenters BT%,Bounces OTR,Bounces BTR,Bounces OT%,Bounces BT%,Centre Clearances OTR,Centre Clearances BTR,Centre Clearances OT%,Centre Clearances BT%,Stoppage Clearances OTR,Stoppage Clearances BTR,Stoppage Clearances OT%,Stoppage Clearances BT%,Score Involvements OTR,Score Involvements BTR,Score Involvements OT%,Score Involvements BT%,Metres Gained OTR,Metres Gained BTR,Metres Gained OT%,Metres Gained BT%,Turnovers OTR,Turnovers BTR,Turnovers OT%,Turnovers BT%,Intercepts OTR,Intercepts BTR,Intercepts OT%,Intercepts BT%,Tackles Inside 50 OTR,Tackles Inside 50 BTR,Tackles Inside 50 OT%,Tackles Inside 50 BT%,Time On Ground % OTR,Time On Ground % BTR,Time On Ground % OT%,Time On Ground % BT%,Winloss,Brownlow Votes
Nic Newman,1.0,1.5,0.10052910052910052,0.046341463414634146,5.5,15.0,0.061946902654867256,0.026515151515151516,1.0,3.0,0.08609271523178808,0.03857566765578635,2.0,6.0,0.09333333333333334,0.03910614525139665,15.5,29.5,0.0,0.0,4.0,9.0,0.1111111111111111,0.05,4.0,8.0,0.08196721311475409,0.040983606557377046,12.5,25.0,0.0,0.0,14.5,29.0,0.0,0.0,15.5,33.5,0.022222222222222223,0.010101010101010102,8.0,14.5,0.04878048780487805,0.025974025974025976,1.0,1.0,0.109375,0.05737704918032787,1.0,1.0,0.3157894736842105,0.17647058823529413,11.0,22.0,0.038461538461538464,0.019230769230769232,12.5,22.5,0.038461538461538464,0.019230769230769232,16.0,31.0,0.028985507246376812,0.014336917562724014,1.0,2.0,0.1069182389937107,0.04381443298969072,1.5,6.5,0.08854166666666667,0.0367170626349892,9.5,24.5,15.5,30.0,0.0,0.0,15.5,29.5,0.0,0.0,7.5,14.5,0.041666666666666664,0.022727272727272728,1.5,1.5,0.4,0.3333333333333333,14.0,29.0,0.0,0.0,6.0,9.5,0.07692307692307693,0.0425531914893617,8.0,18.5,0.05434782608695652,0.023474178403755867,1,1.0,0.11626468769325912,0.055648741983226446,21.0,43.0,0.11428571428571428,0.058823529411764705,6.5,14.5,0.06060606060606061,0.029197080291970802,13.0,28.0,0.0,0.0,7.0,18.0,0.04777777777777778,0.02388888888888889,0,0
Sam Walsh,6.0,16.0,0.0582010582010582,0.026829268292682926,1.0,1.5,0.12389380530973451,0.05303030303030303,2.0,5.0,0.08278145695364239,0.037091988130563795,4.0,12.0,0.06666666666666667,0.027932960893854747,15.5,29.5,0.0,0.0,13.5,28.5,0.0,0.0,2.0,3.5,0.11475409836065574,0.05737704918032787,12.5,25.0,0.0,0.0,14.5,29.0,0.0,0.0,6.0,13.5,0.06666666666666667,0.030303030303030304,12.5,22.5,0.024390243902439025,0.012987012987012988,8.0,11.5,0.0625,0.03278688524590164,7.0,14.0,0.05263157894736842,0.029411764705882353,19.0,37.5,0.0,0.0,17.0,33.5,0.07692307692307693,0.038461538461538464,3.5,5.5,0.07971014492753623,0.03942652329749104,2.0,5.5,0.09433962264150944,0.03865979381443299,5.0,15.5,0.0625,0.02591792656587473,19.0,40.0,15.5,30.0,0.0,0.0,15.5,29.5,0.0,0.0,18.5,38.5,0.0,0.0,13.0,24.5,0.0,0.0,14.0,29.0,0.0,0.0,11.5,18.5,0.038461538461538464,0.02127659574468085,11.5,25.5,0.043478260869565216,0.018779342723004695,6,15.0,0.0554524840239126,0.0265416872224963,22.0,44.0,0.12857142857142856,0.0661764705882353,2.0,2.0,0.13636363636363635,0.06569343065693431,13.0,28.0,0.0,0.0,6.0,16.5,0.04833333333333333,0.024166666666666666,0,0
Marc Murphy,3.5,9.5,0.06878306878306878,0.03170731707317073,2.0,5.5,0.09734513274336283,0.041666666666666664,3.0,7.0,0.07947019867549669,0.03560830860534125,17.0,35.5,0.02666666666666667,0.0111731843575419,15.5,29.5,0.0,0.0,13.5,28.5,0.0,0.0,3.0,5.5,0.09836065573770492,0.04918032786885246,12.5,25.0,0.0,0.0,14.5,29.0,0.0,0.0,3.5,7.0,0.08888888888888889,0.04040404040404041,2.0,3.0,0.1951219512195122,0.1038961038961039,13.5,29.0,0.03125,0.01639344262295082,18.5,35.5,0.0,0.0,1.0,1.0,0.19230769230769232,0.09615384615384616,12.5,22.5,0.038461538461538464,0.019230769230769232,3.5,5.5,0.07971014492753623,0.03942652329749104,3.5,9.0,0.08176100628930817,0.03350515463917526,1.5,6.5,0.08854166666666667,0.0367170626349892,7.5,19.5,15.5,30.0,0.0,0.0,15.5,29.5,0.0,0.0,7.5,14.5,0.041666666666666664,0.022727272727272728,13.0,24.5,0.0,0.0,1.0,1.0,0.4,0.2,6.0,9.5,0.07692307692307693,0.0425531914893617,3.5,11.0,0.07608695652173914,0.03286384976525822,3,6.0,0.07462378890950319,0.035717809570794276,18.0,37.5,0.07142857142857142,0.03676470588235294,10.0,20.0,0.045454545454545456,0.021897810218978103,13.0,28.0,0.0,0.0,3.0,9.0,0.051111111111111114,0.025555555555555557,0,0
Edward Curnow,2.0,3.0,0.08465608465608465,0.03902439024390244,5.5,15.0,0.061946902654867256,0.026515151515151516,4.0,9.0,0.076158940397351,0.03412462908011869,12.5,28.0,0.04,0.01675977653631285,15.5,29.5,0.0,0.0,13.5,28.5,0.0,0.0,1.0,1.5,0.18032786885245902,0.09016393442622951,12.5,25.0,0.0,0.0,1.0,1.5,0.3,0.13636363636363635,1.0,1.0,0.15555555555555556,0.0707070707070707,3.0,5.0,0.0975609756097561,0.05194805194805195,3.0,3.0,0.09375,0.04918032786885246,7.0,14.0,0.05263157894736842,0.029411764705882353,5.0,10.0,0.07692307692307693,0.038461538461538464,17.0,33.5,0.07692307692307693,0.038461538461538464,5.0,8.0,0.07246376811594203,0.035842293906810034,3.5,9.0,0.08176100628930817,0.03350515463917526,3.0,10.5,0.078125,0.032397408207343416,9.5,24.5,15.5,30.0,0.0,0.0,15.5,29.5,0.0,0.0,12.0,25.5,0.020833333333333332,0.011363636363636364,3.0,3.5,0.2,0.16666666666666666,4.5,10.5,0.06666666666666667,0.03333333333333333,2.5,5.0,0.11538461538461539,0.06382978723404255,1.0,2.5,0.10869565217391304,0.046948356807511735,2,4.0,0.08596165739022882,0.041144548593981256,18.0,37.5,0.07142857142857142,0.03676470588235294,10.0,20.0,0.045454545454545456,0.021897810218978103,13.0,28.0,0.0,0.0,9.0,20.5,0.04722222222222222,0.02361111111111111,0,0
Jack Silvagni,3.5,9.5,0.06878306878306878,0.03170731707317073,11.5,25.0,0.04424778761061947,0.01893939393939394,5.0,14.0,0.059602649006622516,0.026706231454005934,1.0,2.5,0.13333333333333333,0.055865921787709494,2.0,4.0,0.2,0.1,13.5,28.5,0.0,0.0,8.5,15.5,0.04918032786885246,0.02459016393442623,12.5,25.0,0.0,0.0,5.0,10.5,0.1,0.045454545454545456,3.5,7.0,0.08888888888888889,0.04040404040404041,8.0,14.5,0.04878048780487805,0.025974025974025976,17.0,36.5,0.015625,0.00819672131147541,11.5,21.5,0.02631578947368421,0.014705882352941176,19.0,37.5,0.0,0.0,5.0,8.5,0.0,0.0,7.0,13.5,0.057971014492753624,0.02867383512544803,5.5,15.5,0.06289308176100629,0.02577319587628866,4.0,14.0,0.06770833333333333,0.028077753779697623,6.0,17.0,1.0,2.0,0.25,0.13043478260869565,2.5,6.0,0.16666666666666666,0.07142857142857142,12.0,25.5,0.020833333333333332,0.011363636363636364,13.0,24.5,0.0,0.0,14.0,29.0,0.0,0.0,6.0,9.5,0.07692307692307693,0.0425531914893617,2.0,7.5,0.08695652173913043,0.03755868544600939,4,11.0,0.0686456400742115,0.03285643808584114,4.5,6.0,0.014285714285714285,0.007352941176470588,14.0,26.5,0.030303030303030304,0.014598540145985401,13.0,28.0,0.0,0.0,12.0,29.0,0.04555555555555556,0.02277777777777778,0,0
Matthew Kreuzer,6.0,16.0,0.0582010582010582,0.026829268292682926,8.5,19.5,0.05309734513274336,0.022727272727272728,6.5,16.5,0.056291390728476824,0.025222551928783383,8.0,20.5,0.05333333333333334,0.0223463687150838,15.5,29.5,0.0,0.0,13.5,28.5,0.0,0.0,16.5,33.0,0.01639344262295082,0.00819672131147541,1.0,2.0,0.7272727272727273,0.2891566265060241,2.5,5.0,0.2,0.09090909090909091,6.0,13.5,0.06666666666666667,0.030303030303030304,1.0,2.0,0.21951219512195122,0.11688311688311688,13.5,29.0,0.03125,0.01639344262295082,2.5,4.5,0.10526315789473684,0.058823529411764705,11.0,22.0,0.038461538461538464,0.019230769230769232,5.0,8.5,0.0,0.0,1.5,3.0,0.09420289855072464,0.04659498207885305,15.0,36.0,0.031446540880503145,0.01288659793814433,7.0,18.5,0.057291666666666664,0.023758099352051837,11.0,26.5,2.5,4.0,0.16666666666666666,0.08695652173913043,15.5,29.5,0.0,0.0,3.5,4.5,0.125,0.06818181818181818,13.0,24.5,0.0,0.0,2.0,2.0,0.3333333333333333,0.16666666666666666,1.0,2.5,0.15384615384615385,0.0851063829787234,5.5,14.0,0.06521739130434782,0.028169014084507043,10,23.0,0.04349618635332921,0.020818944252590035,12.5,25.0,0.04285714285714286,0.022058823529411766,10.0,20.0,0.045454545454545456,0.021897810218978103,13.0,28.0,0.0,0.0,20.0,39.0,0.04111111111111111,0.020555555555555556,0,0
Sam P-Seton,11.0,24.5,0.042328042328042326,0.01951219512195122,3.5,10.5,0.07964601769911504,0.03409090909090909,6.5,16.5,0.056291390728476824,0.025222551928783383,21.5,43.5,0.0,0.0,15.5,29.5,0.0,0.0,13.5,28.5,0.0,0.0,6.0,11.0,0.06557377049180328,0.03278688524590164,12.5,25.0,0.0,0.0,14.5,29.0,0.0,0.0,15.5,33.5,0.022222222222222223,0.010101010101010102,4.5,8.0,0.07317073170731707,0.03896103896103896,3.0,3.0,0.09375,0.04918032786885246,11.5,21.5,0.02631578947368421,0.014705882352941176,11.0,22.0,0.038461538461538464,0.019230769230769232,21.5,43.5,0.15384615384615385,0.07692307692307693,1.5,3.0,0.09420289855072464,0.04659498207885305,10.5,29.5,0.0440251572327044,0.01804123711340206,9.0,21.5,0.052083333333333336,0.02159827213822894,15.5,35.5,15.5,30.0,0.0,0.0,15.5,29.5,0.0,0.0,12.0,25.5,0.020833333333333332,0.011363636363636364,13.0,24.5,0.0,0.0,14.0,29.0,0.0,0.0,2.5,5.0,0.11538461538461539,0.06382978723404255,18.5,38.5,0.021739130434782608,0.009389671361502348,11,24.5,0.04267161410018553,0.020424272323630983,15.5,32.5,0.05714285714285714,0.029411764705882353,10.0,20.0,0.045454545454545456,0.021897810218978103,2.0,7.5,0.3333333333333333,0.05555555555555555,9.0,20.5,0.04722222222222222,0.02361111111111111,0,0
Kade Simpson,8.5,20.5,0.047619047619047616,0.02195121951219512,8.5,19.5,0.05309734513274336,0.022727272727272728,8.5,21.5,0.04966887417218543,0.02225519287833828,20.0,41.0,0.013333333333333334,0.00558659217877095,15.5,29.5,0.0,0.0,13.5,28.5,0.0,0.0,8.5,15.5,0.04918032786885246,0.02459016393442623,12.5,25.0,0.0,0.0,14.5,29.0,0.0,0.0,10.5,23.0,0.044444444444444446,0.020202020202020204,18.5,35.5,0.0,0.0,13.5,29.0,0.03125,0.01639344262295082,4.5,9.0,0.07894736842105263,0.04411764705882353,11.0,22.0,0.038461538461538464,0.019230769230769232,5.0,8.5,0.0,0.0,11.0,23.0,0.036231884057971016,0.017921146953405017,8.5,23.5,0.050314465408805034,0.020618556701030927,7.0,18.5,0.057291666666666664,0.023758099352051837,5.0,15.0,15.5,30.0,0.0,0.0,15.5,29.5,0.0,0.0,18.5,38.5,0.0,0.0,13.0,24.5,0.0,0.0,14.0,29.0,0.0,0.0,18.5,34.5,0.0,0.0,18.5,38.5,0.021739130434782608,0.009389671361502348,7,17.0,0.050917336631622345,0.02437099161322151,18.0,37.5,0.07142857142857142,0.03676470588235294,6.5,14.5,0.06060606060606061,0.029197080291970802,13.0,28.0,0.0,0.0,5.0,14.5,0.04888888888888889,0.024444444444444446,0,0
Dale Thomas,6.0,16.0,0.0582010582010582,0.026829268292682926,14.0,30.5,0.035398230088495575,0.015151515151515152,8.5,21.5,0.04966887417218543,0.02225519287833828,4.0,12.0,0.06666666666666667,0.027932960893854747,15.5,29.5,0.0,0.0,13.5,28.5,0.0,0.0,6.0,11.0,0.06557377049180328,0.03278688524590164,12.5,25.0,0.0,0.0,14.5,29.0,0.0,0.0,2.0,3.5,0.1111111111111111,0.050505050505050504,18.5,35.5,0.0,0.0,20.5,41.5,0.0,0.0,4.5,9.0,0.07894736842105263,0.04411764705882353,19.0,37.5,0.0,0.0,5.0,8.5,0.0,0.0,11.0,23.0,0.036231884057971016,0.017921146953405017,12.5,33.5,0.03773584905660377,0.015463917525773196,10.0,24.5,0.046875,0.019438444924406047,14.0,34.0,2.5,4.0,0.16666666666666666,0.08695652173913043,15.5,29.5,0.0,0.0,7.5,14.5,0.041666666666666664,0.022727272727272728,13.0,24.5,0.0,0.0,14.0,29.0,0.0,0.0,18.5,34.5,0.0,0.0,15.5,33.0,0.03260869565217391,0.014084507042253521,8,18.0,0.050505050505050504,0.024173655648741982,12.5,25.0,0.04285714285714286,0.022058823529411766,3.0,7.5,0.09090909090909091,0.043795620437956206,13.0,28.0,0.0,0.0,13.0,30.0,0.04388888888888889,0.021944444444444444,0,0
Zac Fisher,18.5,38.0,0.026455026455026454,0.012195121951219513,3.5,10.5,0.07964601769911504,0.03409090909090909,10.0,24.5,0.046357615894039736,0.020771513353115726,17.0,35.5,0.02666666666666667,0.0111731843575419,6.5,11.0,0.06666666666666667,0.03333333333333333,13.5,28.5,0.0,0.0,16.5,33.0,0.01639344262295082,0.00819672131147541,12.5,25.0,0.0,0.0,14.5,29.0,0.0,0.0,10.5,23.0,0.044444444444444446,0.020202020202020204,4.5,8.0,0.07317073170731707,0.03896103896103896,17.0,36.5,0.015625,0.00819672131147541,11.5,21.5,0.02631578947368421,0.014705882352941176,11.0,22.0,0.038461538461538464,0.019230769230769232,5.0,8.5,0.0,0.0,20.5,38.5,0.021739130434782608,0.010752688172043012,5.5,15.5,0.06289308176100629,0.02577319587628866,7.0,18.5,0.057291666666666664,0.023758099352051837,3.0,8.0,15.5,30.0,0.0,0.0,6.0,11.5,0.08333333333333333,0.03571428571428571,12.0,25.5,0.020833333333333332,0.011363636363636364,1.5,1.5,0.4,0.3333333333333333,3.0,6.0,0.13333333333333333,0.06666666666666667,11.5,18.5,0.038461538461538464,0.02127659574468085,3.5,11.0,0.07608695652173914,0.03286384976525822,12,27.0,0.039579468150896725,0.018944252590034533,1.5,1.5,0.0,0.0,20.0,41.0,0.0,0.0,13.0,28.0,0.0,0.0,16.5,35.5,0.042222222222222223,0.021111111111111112,0,0
