Player,Kicks OTR,Kicks BTR,Kicks OT%,Kicks BT%,Handballs OTR,Handballs BTR,Handballs OT%,Handballs BT%,Disposals OTR,Disposals BTR,Disposals OT%,Disposals BT%,Marks OTR,Marks BTR,Marks OT%,Marks BT%,Goals OTR,Goals BTR,Goals OT%,Goals BT%,Behinds OTR,Behinds BTR,Behinds OT%,Behinds BT%,Tackles OTR,Tackles BTR,Tackles OT%,Tackles BT%,Hitouts OTR,Hitouts BTR,Hitouts OT%,Hitouts BT%,Goal Assists OTR,Goal Assists BTR,Goal Assists OT%,Goal Assists BT%,Inside 50s OTR,Inside 50s BTR,Inside 50s OT%,Inside 50s BT%,Clearances OTR,Clearances BTR,Clearances OT%,Clearances BT%,Clangers OTR,Clangers BTR,Clangers OT%,Clangers BT%,Rebound 50s OTR,Rebound 50s BTR,Rebound 50s OT%,Rebound 50s BT%,Frees For OTR,Frees For BTR,Frees For OT%,Frees For BT%,Frees Agains OTR,Frees Agains BTR,Frees Agains OT%,Frees Agains BT%,Contested Possessions OTR,Contested Possessions BTR,Contested Possessions OT%,Contested Possessions BT%,Uncontested Possessions OTR,Uncontested Possessions BTR,Uncontested Possessions OT%,Uncontested Possessions BT%,Effective Disposals OTR,Effective Disposals BTR,Effective Disposals OT%,Effective Disposals BT%,Disposal Efficiency % OTR,Disposal Efficiency % BTR,Contested Marks OTR,Contested Marks BTR,Contested Marks OT%,Contested Marks BT%,Marks Inside 50 OTR,Marks Inside 50 BTR,Marks Inside 50 OT%,Marks Inside 50 BT%,One Percenters OTR,One Percenters BTR,One Percenters OT%,One Percenters BT%,Bounces OTR,Bounces BTR,Bounces OT%,Bounces BT%,Centre Clearances OTR,Centre Clearances BTR,Centre Clearances OT%,Centre Clearances BT%,Stoppage Clearances OTR,Stoppage Clearances BTR,Stoppage Clearances OT%,Stoppage Clearances BT%,Score Involvements OTR,Score Involvements BTR,Score Involvements OT%,Score Involvements BT%,Metres Gained OTR,Metres Gained BTR,Metres Gained OT%,Metres Gained BT%,Turnovers OTR,Turnovers BTR,Turnovers OT%,Turnovers BT%,Intercepts OTR,Intercepts BTR,Intercepts OT%,Intercepts BT%,Tackles Inside 50 OTR,Tackles Inside 50 BTR,Tackles Inside 50 OT%,Tackles Inside 50 BT%,Time On Ground % OTR,Time On Ground % BTR,Time On Ground % OT%,Time On Ground % BT%,Winloss,Brownlow Votes
Clayton Oliver,3.5,6.5,0.06572769953051644,0.03357314148681055,1.0,2.0,0.11188811188811189,0.05517241379310345,1.0,1.0,0.08426966292134831,0.042432814710042434,19.0,36.0,0.024390243902439025,0.012048192771084338,13.0,28.0,0.0,0.0,4.5,7.0,0.09090909090909091,0.0625,10.5,23.0,0.03896103896103896,0.01875,12.5,25.0,0.0,0.0,12.5,27.5,0.0,0.0,4.5,5.5,0.07272727272727272,0.04,1.0,2.0,0.21621621621621623,0.10666666666666667,4.5,10.0,0.0784313725490196,0.035398230088495575,18.5,38.0,0.0,0.0,3.5,3.5,0.12,0.07142857142857142,6.5,10.5,0.0,0.0,1.0,1.0,0.11949685534591195,0.0627062706270627,8.5,17.0,0.05128205128205128,0.025510204081632654,2.5,5.5,0.07391304347826087,0.035864978902953586,17.0,35.5,15.5,30.5,0.0,0.0,15.0,31.5,0.0,0.0,19.5,38.0,0.0,0.0,12.0,24.5,0.0,0.0,1.0,1.5,0.4444444444444444,0.21052631578947367,2.5,3.5,0.14285714285714285,0.07142857142857142,3.0,4.5,0.0821917808219178,0.0410958904109589,2.0,5.0,0.08058536585365854,0.03832590942835932,21.0,42.5,0.10666666666666667,0.052980132450331126,8.5,15.5,0.05128205128205128,0.026143790849673203,5.5,8.0,0.08,0.05405405405405406,9.0,18.0,0.04666666666666667,0.0233268536517634,0,1
Jack Viney,1.0,1.0,0.0892018779342723,0.045563549160671464,12.5,22.5,0.04195804195804196,0.020689655172413793,2.0,4.5,0.0702247191011236,0.03536067892503536,5.5,10.5,0.06097560975609756,0.030120481927710843,13.0,28.0,0.0,0.0,14.5,28.0,0.0,0.0,1.5,1.5,0.11688311688311688,0.05625,12.5,25.0,0.0,0.0,12.5,27.5,0.0,0.0,1.0,1.0,0.10909090909090909,0.06,2.0,3.0,0.1891891891891892,0.09333333333333334,11.0,24.5,0.0392156862745098,0.017699115044247787,11.0,23.5,0.03333333333333333,0.01282051282051282,3.5,3.5,0.12,0.07142857142857142,6.5,10.5,0.0,0.0,3.0,5.5,0.07547169811320754,0.039603960396039604,6.0,14.0,0.05641025641025641,0.02806122448979592,1.0,4.0,0.0782608695652174,0.0379746835443038,6.0,17.5,15.5,30.5,0.0,0.0,15.0,31.5,0.0,0.0,19.5,38.0,0.0,0.0,12.0,24.5,0.0,0.0,2.5,4.5,0.2222222222222222,0.10526315789473684,1.0,2.0,0.17857142857142858,0.08928571428571429,5.5,10.0,0.0684931506849315,0.03424657534246575,4.0,7.0,0.06985365853658537,0.033221974758723086,10.0,19.5,0.04,0.019867549668874173,4.5,6.5,0.07692307692307693,0.0392156862745098,8.0,12.5,0.04,0.02702702702702703,11.5,24.0,0.045,0.02249375173562899,0,0
Angus Brayshaw,2.0,3.0,0.07981220657276995,0.0407673860911271,9.5,18.0,0.04895104895104895,0.02413793103448276,3.0,6.0,0.06741573033707865,0.033946251768033946,9.5,19.5,0.04878048780487805,0.024096385542168676,13.0,28.0,0.0,0.0,4.5,7.0,0.09090909090909091,0.0625,3.5,4.0,0.1038961038961039,0.05,12.5,25.0,0.0,0.0,12.5,27.5,0.0,0.0,2.5,2.5,0.09090909090909091,0.05,5.5,10.5,0.08108108108108109,0.04,11.0,24.5,0.0392156862745098,0.017699115044247787,1.0,4.5,0.16666666666666666,0.0641025641025641,3.5,3.5,0.12,0.07142857142857142,6.5,10.5,0.0,0.0,2.0,2.0,0.09433962264150944,0.04950495049504951,6.0,14.0,0.05641025641025641,0.02806122448979592,7.0,16.5,0.05217391304347826,0.02531645569620253,19.0,38.0,6.0,12.0,0.09090909090909091,0.04,5.0,12.5,0.09090909090909091,0.038461538461538464,10.0,17.5,0.041666666666666664,0.02197802197802198,12.0,24.5,0.0,0.0,4.0,8.0,0.1111111111111111,0.05263157894736842,6.5,11.0,0.07142857142857142,0.03571428571428571,7.0,15.0,0.0547945205479452,0.0273972602739726,1.0,4.0,0.08936585365853658,0.0425018559762435,16.5,30.0,0.05333333333333334,0.026490066225165563,2.5,4.5,0.10256410256410256,0.05228758169934641,8.0,12.5,0.04,0.02702702702702703,6.0,12.5,0.04777777777777778,0.023882254929186338,0,0
Michael Hibberd,6.0,10.5,0.056338028169014086,0.02877697841726619,2.0,6.0,0.07692307692307693,0.03793103448275862,4.0,7.0,0.06460674157303371,0.03253182461103253,1.5,3.5,0.08536585365853659,0.04216867469879518,13.0,28.0,0.0,0.0,14.5,28.0,0.0,0.0,17.0,37.5,0.012987012987012988,0.00625,12.5,25.0,0.0,0.0,12.5,27.5,0.0,0.0,4.5,5.5,0.07272727272727272,0.04,17.5,35.0,0.0,0.0,1.0,2.5,0.11764705882352941,0.05309734513274336,2.0,6.0,0.13333333333333333,0.05128205128205128,17.5,35.5,0.0,0.0,6.5,10.5,0.0,0.0,7.5,13.5,0.050314465408805034,0.026402640264026403,2.0,5.5,0.07179487179487179,0.03571428571428571,9.5,21.0,0.04782608695652174,0.023206751054852322,21.0,40.0,6.0,12.0,0.09090909090909091,0.04,15.0,31.5,0.0,0.0,5.5,10.5,0.0625,0.03296703296703297,1.0,2.5,1.0,0.25,13.5,27.0,0.0,0.0,17.5,34.5,0.0,0.0,20.5,40.5,0.0136986301369863,0.00684931506849315,3.0,6.0,0.08039024390243903,0.03823311061618411,22.0,44.0,0.12,0.059602649006622516,2.5,4.5,0.10256410256410256,0.05228758169934641,16.0,30.0,0.0,0.0,4.0,8.0,0.04833333333333333,0.024159955567897805,0,0
Jordan Lewis,3.5,6.5,0.06572769953051644,0.03357314148681055,9.5,18.0,0.04895104895104895,0.02413793103448276,5.0,10.0,0.05898876404494382,0.0297029702970297,5.5,10.5,0.06097560975609756,0.030120481927710843,13.0,28.0,0.0,0.0,14.5,28.0,0.0,0.0,14.0,31.0,0.025974025974025976,0.0125,12.5,25.0,0.0,0.0,12.5,27.5,0.0,0.0,18.0,35.5,0.01818181818181818,0.01,17.5,35.0,0.0,0.0,11.0,24.5,0.0392156862745098,0.017699115044247787,4.5,9.0,0.1,0.038461538461538464,10.0,18.5,0.04,0.023809523809523808,6.5,10.5,0.0,0.0,21.0,40.5,0.018867924528301886,0.009900990099009901,1.0,2.0,0.08205128205128205,0.04081632653061224,2.5,5.5,0.07391304347826087,0.035864978902953586,5.0,9.0,15.5,30.5,0.0,0.0,15.0,31.5,0.0,0.0,2.0,4.5,0.125,0.06593406593406594,12.0,24.5,0.0,0.0,13.5,27.0,0.0,0.0,17.5,34.5,0.0,0.0,15.5,32.0,0.0273972602739726,0.0136986301369863,6.0,11.0,0.06321951219512195,0.030066815144766147,10.0,19.5,0.04,0.019867549668874173,8.5,15.5,0.05128205128205128,0.026143790849673203,16.0,30.0,0.0,0.0,3.0,5.5,0.04888888888888889,0.024437656206609277,0,0
James Harmes,9.0,16.5,0.046948356807511735,0.023980815347721823,4.5,8.5,0.06993006993006994,0.034482758620689655,6.0,12.5,0.056179775280898875,0.028288543140028287,3.0,6.5,0.07317073170731707,0.03614457831325301,13.0,28.0,0.0,0.0,14.5,28.0,0.0,0.0,3.5,4.0,0.1038961038961039,0.05,12.5,25.0,0.0,0.0,12.5,27.5,0.0,0.0,8.5,13.5,0.05454545454545454,0.03,3.5,7.0,0.10810810810810811,0.05333333333333334,2.5,5.0,0.09803921568627451,0.04424778761061947,11.0,23.5,0.03333333333333333,0.01282051282051282,10.0,18.5,0.04,0.023809523809523808,21.5,41.0,0.17647058823529413,0.07142857142857142,4.5,8.5,0.05660377358490566,0.0297029702970297,6.0,14.0,0.05641025641025641,0.02806122448979592,4.5,10.5,0.06086956521739131,0.029535864978902954,8.0,21.0,2.0,4.5,0.18181818181818182,0.08,15.0,31.5,0.0,0.0,10.0,17.5,0.041666666666666664,0.02197802197802198,12.0,24.5,0.0,0.0,2.5,4.5,0.2222222222222222,0.10526315789473684,6.5,11.0,0.07142857142857142,0.03571428571428571,15.5,32.0,0.0273972602739726,0.0136986301369863,19.0,37.0,0.02478048780487805,0.011785449146250928,10.0,19.5,0.04,0.019867549668874173,14.5,29.5,0.02564102564102564,0.013071895424836602,5.5,8.0,0.08,0.05405405405405406,6.0,12.5,0.04777777777777778,0.023882254929186338,0,0
Christian Petracca,12.0,21.0,0.04225352112676056,0.02158273381294964,4.5,8.5,0.06993006993006994,0.034482758620689655,7.0,14.0,0.05337078651685393,0.026874115983026876,9.5,19.5,0.04878048780487805,0.024096385542168676,13.0,28.0,0.0,0.0,14.5,28.0,0.0,0.0,7.0,13.5,0.06493506493506493,0.03125,2.0,4.0,0.08771929824561403,0.06578947368421052,2.0,6.5,0.3333333333333333,0.08333333333333333,2.5,2.5,0.09090909090909091,0.05,3.5,7.0,0.10810810810810811,0.05333333333333334,18.0,37.0,0.0196078431372549,0.008849557522123894,11.0,23.5,0.03333333333333333,0.01282051282051282,17.5,35.5,0.0,0.0,15.0,27.0,0.058823529411764705,0.023809523809523808,7.5,13.5,0.050314465408805034,0.026402640264026403,3.5,10.0,0.06153846153846154,0.030612244897959183,7.0,16.5,0.05217391304347826,0.02531645569620253,12.5,28.5,6.0,12.0,0.09090909090909091,0.04,15.0,31.5,0.0,0.0,15.0,27.0,0.020833333333333332,0.01098901098901099,12.0,24.5,0.0,0.0,13.5,27.0,0.0,0.0,2.5,3.5,0.14285714285714285,0.07142857142857142,5.5,10.0,0.0684931506849315,0.03424657534246575,7.0,12.0,0.05912195121951219,0.02811804008908686,16.5,30.0,0.05333333333333334,0.026490066225165563,14.5,29.5,0.02564102564102564,0.013071895424836602,3.0,3.5,0.16,0.10810810810810811,20.0,39.0,0.041666666666666664,0.020827547903360177,0,0
Christian Salem,12.0,21.0,0.04225352112676056,0.02158273381294964,7.5,14.5,0.055944055944055944,0.027586206896551724,8.0,17.0,0.047752808988764044,0.024045261669024046,14.0,29.0,0.036585365853658534,0.018072289156626505,13.0,28.0,0.0,0.0,14.5,28.0,0.0,0.0,10.5,23.0,0.03896103896103896,0.01875,12.5,25.0,0.0,0.0,12.5,27.5,0.0,0.0,18.0,35.5,0.01818181818181818,0.01,17.5,35.0,0.0,0.0,6.5,15.5,0.058823529411764705,0.02654867256637168,11.0,23.5,0.03333333333333333,0.01282051282051282,17.5,35.5,0.0,0.0,19.0,36.0,0.11764705882352941,0.047619047619047616,7.5,13.5,0.050314465408805034,0.026402640264026403,12.0,21.5,0.046153846153846156,0.02295918367346939,12.5,25.5,0.043478260869565216,0.02109704641350211,16.0,33.5,15.5,30.5,0.0,0.0,15.0,31.5,0.0,0.0,10.0,17.5,0.041666666666666664,0.02197802197802198,12.0,24.5,0.0,0.0,13.5,27.0,0.0,0.0,17.5,34.5,0.0,0.0,15.5,32.0,0.0273972602739726,0.0136986301369863,12.0,27.0,0.03824390243902439,0.018188567186340016,3.0,5.0,0.013333333333333334,0.006622516556291391,6.0,9.5,0.0641025641025641,0.032679738562091505,16.0,30.0,0.0,0.0,11.5,24.0,0.045,0.02249375173562899,0,0
Nathan Jones,18.5,37.0,0.028169014084507043,0.014388489208633094,4.5,8.5,0.06993006993006994,0.034482758620689655,10.0,20.0,0.0449438202247191,0.02263083451202263,14.0,29.0,0.036585365853658534,0.018072289156626505,13.0,28.0,0.0,0.0,14.5,28.0,0.0,0.0,14.0,31.0,0.025974025974025976,0.0125,12.5,25.0,0.0,0.0,12.5,27.5,0.0,0.0,8.5,13.5,0.05454545454545454,0.03,10.5,20.5,0.02702702702702703,0.013333333333333334,18.0,37.0,0.0196078431372549,0.008849557522123894,18.5,38.0,0.0,0.0,17.5,35.5,0.0,0.0,6.5,10.5,0.0,0.0,10.5,19.0,0.0440251572327044,0.0231023102310231,12.0,21.5,0.046153846153846156,0.02295918367346939,12.5,25.5,0.043478260869565216,0.02109704641350211,14.0,30.0,15.5,30.5,0.0,0.0,15.0,31.5,0.0,0.0,15.0,27.0,0.020833333333333332,0.01098901098901099,12.0,24.5,0.0,0.0,13.5,27.0,0.0,0.0,10.5,20.0,0.03571428571428571,0.017857142857142856,10.0,22.0,0.0410958904109589,0.02054794520547945,20.0,40.0,0.021463414634146343,0.010207869339272457,16.5,30.0,0.05333333333333334,0.026490066225165563,19.5,38.5,0.01282051282051282,0.006535947712418301,16.0,30.0,0.0,0.0,13.5,27.0,0.044444444444444446,0.022216051096917523,0,0
Billy Stretch,15.0,27.0,0.03755868544600939,0.019184652278177457,7.5,14.5,0.055944055944055944,0.027586206896551724,10.0,20.0,0.0449438202247191,0.02263083451202263,5.5,10.5,0.06097560975609756,0.030120481927710843,13.0,28.0,0.0,0.0,14.5,28.0,0.0,0.0,7.0,13.5,0.06493506493506493,0.03125,12.5,25.0,0.0,0.0,12.5,27.5,0.0,0.0,18.0,35.5,0.01818181818181818,0.01,7.5,13.5,0.05405405405405406,0.02666666666666667,18.0,37.0,0.0196078431372549,0.008849557522123894,18.5,38.0,0.0,0.0,17.5,35.5,0.0,0.0,6.5,10.5,0.0,0.0,18.5,36.0,0.025157232704402517,0.013201320132013201,3.5,10.0,0.06153846153846154,0.030612244897959183,4.5,10.5,0.06086956521739131,0.029535864978902954,1.0,2.0,15.5,30.5,0.0,0.0,5.0,12.5,0.09090909090909091,0.038461538461538464,10.0,17.5,0.041666666666666664,0.02197802197802198,12.0,24.5,0.0,0.0,13.5,27.0,0.0,0.0,6.5,11.0,0.07142857142857142,0.03571428571428571,10.0,22.0,0.0410958904109589,0.02054794520547945,13.0,28.0,0.03609756097560975,0.01716778025241277,3.0,5.0,0.013333333333333334,0.006622516556291391,19.5,38.5,0.01282051282051282,0.006535947712418301,4.0,5.5,0.12,0.08108108108108109,21.0,41.5,0.04,0.01999444598722577,0,0
