Player,Kicks OTR,Kicks BTR,Kicks OT%,Kicks BT%,Handballs OTR,Handballs BTR,Handballs OT%,Handballs BT%,Disposals OTR,Disposals BTR,Disposals OT%,Disposals BT%,Marks OTR,Marks BTR,Marks OT%,Marks BT%,Goals OTR,Goals BTR,Goals OT%,Goals BT%,Behinds OTR,Behinds BTR,Behinds OT%,Behinds BT%,Tackles OTR,Tackles BTR,Tackles OT%,Tackles BT%,Hitouts OTR,Hitouts BTR,Hitouts OT%,Hitouts BT%,Goal Assists OTR,Goal Assists BTR,Goal Assists OT%,Goal Assists BT%,Inside 50s OTR,Inside 50s BTR,Inside 50s OT%,Inside 50s BT%,Clearances OTR,Clearances BTR,Clearances OT%,Clearances BT%,Clangers OTR,Clangers BTR,Clangers OT%,Clangers BT%,Rebound 50s OTR,Rebound 50s BTR,Rebound 50s OT%,Rebound 50s BT%,Frees For OTR,Frees For BTR,Frees For OT%,Frees For BT%,Frees Agains OTR,Frees Agains BTR,Frees Agains OT%,Frees Agains BT%,Contested Possessions OTR,Contested Possessions BTR,Contested Possessions OT%,Contested Possessions BT%,Uncontested Possessions OTR,Uncontested Possessions BTR,Uncontested Possessions OT%,Uncontested Possessions BT%,Effective Disposals OTR,Effective Disposals BTR,Effective Disposals OT%,Effective Disposals BT%,Disposal Efficiency % OTR,Disposal Efficiency % BTR,Contested Marks OTR,Contested Marks BTR,Contested Marks OT%,Contested Marks BT%,Marks Inside 50 OTR,Marks Inside 50 BTR,Marks Inside 50 OT%,Marks Inside 50 BT%,One Percenters OTR,One Percenters BTR,One Percenters OT%,One Percenters BT%,Bounces OTR,Bounces BTR,Bounces OT%,Bounces BT%,Centre Clearances OTR,Centre Clearances BTR,Centre Clearances OT%,Centre Clearances BT%,Stoppage Clearances OTR,Stoppage Clearances BTR,Stoppage Clearances OT%,Stoppage Clearances BT%,Score Involvements OTR,Score Involvements BTR,Score Involvements OT%,Score Involvements BT%,Metres Gained OTR,Metres Gained BTR,Metres Gained OT%,Metres Gained BT%,Turnovers OTR,Turnovers BTR,Turnovers OT%,Turnovers BT%,Intercepts OTR,Intercepts BTR,Intercepts OT%,Intercepts BT%,Tackles Inside 50 OTR,Tackles Inside 50 BTR,Tackles Inside 50 OT%,Tackles Inside 50 BT%,Time On Ground % OTR,Time On Ground % BTR,Time On Ground % OT%,Time On Ground % BT%,Winloss,Brownlow Votes
Bachar Houli,3.0,7.5,0.07853403141361257,0.03667481662591687,2.0,3.0,0.09090909090909091,0.046583850931677016,1.5,2.5,0.08426966292134831,0.04103967168262654,8.0,15.5,0.05747126436781609,0.02857142857142857,15.0,29.0,0.0,0.0,15.0,27.5,0.0,0.0,11.0,25.0,0.0425531914893617,0.01680672268907563,12.5,24.5,0.0,0.0,16.5,30.5,0.0,0.0,3.5,7.5,0.0851063829787234,0.041237113402061855,11.5,22.5,0.03125,0.0125,21.5,42.0,0.0,0.0,2.5,5.5,0.1,0.05405405405405406,5.0,9.5,0.1111111111111111,0.05,5.5,10.0,0.0,0.0,10.5,21.0,0.04580152671755725,0.021739130434782608,1.0,3.0,0.09251101321585903,0.046153846153846156,1.0,2.0,0.1,0.04864864864864865,2.5,7.5,14.5,29.0,0.0,0.0,16.0,29.0,0.0,0.0,13.0,20.0,0.02857142857142857,0.019801980198019802,15.0,28.0,0.0,0.0,14.5,28.5,0.0,0.0,10.5,20.5,0.041666666666666664,0.017241379310344827,16.5,23.5,0.030303030303030304,0.01948051948051948,3,5.0,0.08553144997658811,0.04402313624678663,14.0,26.0,0.045454545454545456,0.02112676056338028,6.5,10.5,0.06578947368421052,0.035211267605633804,11.5,27.5,0.0,0.0,8.5,13.5,0.04875346260387812,0.0244173140954495,1,2
Dion Prestia,1.0,3.0,0.09947643979057591,0.04645476772616137,3.5,5.0,0.06666666666666667,0.034161490683229816,1.5,2.5,0.08426966292134831,0.04103967168262654,21.5,42.5,0.0,0.0,15.0,29.0,0.0,0.0,4.0,5.5,0.14285714285714285,0.1,2.5,8.0,0.0851063829787234,0.03361344537815126,12.5,24.5,0.0,0.0,1.0,1.0,0.18181818181818182,0.11764705882352941,3.5,7.5,0.0851063829787234,0.041237113402061855,3.0,7.0,0.125,0.05,1.5,1.5,0.12280701754385964,0.06542056074766354,5.5,9.5,0.075,0.04054054054054054,5.0,9.5,0.1111111111111111,0.05,20.5,42.5,0.13636363636363635,0.075,2.0,4.5,0.08396946564885496,0.03985507246376811,2.0,4.0,0.0881057268722467,0.04395604395604396,2.0,6.0,0.07407407407407407,0.036036036036036036,18.0,33.0,14.5,29.0,0.0,0.0,16.0,29.0,0.0,0.0,9.0,12.0,0.04285714285714286,0.0297029702970297,15.0,28.0,0.0,0.0,4.0,9.0,0.125,0.045454545454545456,2.5,6.5,0.125,0.05172413793103448,7.0,8.5,0.06060606060606061,0.03896103896103896,1,3.0,0.10441704385828,0.05374357326478149,20.0,37.5,0.09090909090909091,0.04225352112676056,10.5,20.5,0.039473684210526314,0.02112676056338028,11.5,27.5,0.0,0.0,12.0,19.5,0.04598337950138504,0.023029966703662596,1,0
Jayden Short,2.0,6.0,0.08376963350785341,0.039119804400977995,12.5,21.5,0.04242424242424243,0.021739130434782608,3.0,8.0,0.06460674157303371,0.03146374829001368,4.0,5.5,0.08045977011494253,0.04,15.0,29.0,0.0,0.0,15.0,27.5,0.0,0.0,17.5,37.0,0.02127659574468085,0.008403361344537815,12.5,24.5,0.0,0.0,16.5,30.5,0.0,0.0,11.0,21.5,0.0425531914893617,0.020618556701030927,11.5,22.5,0.03125,0.0125,5.5,9.0,0.07017543859649122,0.037383177570093455,2.5,5.5,0.1,0.05405405405405406,16.0,33.0,0.0,0.0,5.5,10.0,0.0,0.0,13.5,28.5,0.030534351145038167,0.014492753623188406,3.0,5.0,0.07929515418502203,0.03956043956043956,8.5,15.5,0.05185185185185185,0.025225225225225224,21.5,39.5,14.5,29.0,0.0,0.0,16.0,29.0,0.0,0.0,16.5,28.0,0.014285714285714285,0.009900990099009901,15.0,28.0,0.0,0.0,14.5,28.5,0.0,0.0,10.5,20.5,0.041666666666666664,0.017241379310344827,19.0,29.5,0.020202020202020204,0.012987012987012988,2,4.0,0.09302325581395349,0.04787917737789203,22.0,42.5,0.12121212121212122,0.056338028169014086,4.5,7.0,0.07894736842105263,0.04225352112676056,11.5,27.5,0.0,0.0,19.5,38.5,0.03933518005540166,0.019700332963374027,1,0
Shane Edwards,17.0,35.5,0.02617801047120419,0.012224938875305624,1.0,2.0,0.09696969696969697,0.049689440993788817,4.5,10.5,0.05898876404494382,0.028727770177838577,19.5,39.0,0.011494252873563218,0.005714285714285714,15.0,29.0,0.0,0.0,15.0,27.5,0.0,0.0,1.0,4.5,0.1276595744680851,0.05042016806722689,12.5,24.5,0.0,0.0,16.5,30.5,0.0,0.0,16.0,31.0,0.02127659574468085,0.010309278350515464,7.5,15.0,0.0625,0.025,5.5,9.0,0.07017543859649122,0.037383177570093455,14.0,23.0,0.025,0.013513513513513514,5.0,9.5,0.1111111111111111,0.05,18.0,37.5,0.09090909090909091,0.05,1.0,2.5,0.09923664122137404,0.04710144927536232,13.0,23.0,0.03524229074889868,0.017582417582417582,11.0,18.5,0.04814814814814815,0.023423423423423424,20.0,37.5,14.5,29.0,0.0,0.0,16.0,29.0,0.0,0.0,9.0,12.0,0.04285714285714286,0.0297029702970297,15.0,28.0,0.0,0.0,14.5,28.5,0.0,0.0,6.0,12.5,0.08333333333333333,0.034482758620689655,16.5,23.5,0.030303030303030304,0.01948051948051948,15,27.0,0.0309036990791322,0.01590616966580977,1.0,1.5,0.0,0.0,4.5,7.0,0.07894736842105263,0.04225352112676056,11.5,27.5,0.0,0.0,14.5,28.5,0.04376731301939058,0.021920088790233074,1,0
Dustin Martin,8.0,17.5,0.05235602094240838,0.02444987775061125,3.5,5.0,0.06666666666666667,0.034161490683229816,4.5,10.5,0.05898876404494382,0.028727770177838577,11.0,23.5,0.04597701149425287,0.022857142857142857,2.5,3.5,0.16666666666666666,0.1,15.0,27.5,0.0,0.0,17.5,37.0,0.02127659574468085,0.008403361344537815,12.5,24.5,0.0,0.0,6.0,9.0,0.09090909090909091,0.058823529411764705,1.0,2.0,0.1276595744680851,0.061855670103092786,1.5,4.0,0.15625,0.0625,3.0,4.5,0.08771929824561403,0.04672897196261682,20.0,36.0,0.0,0.0,16.0,33.0,0.0,0.0,22.0,44.0,0.18181818181818182,0.1,3.0,6.5,0.07633587786259542,0.036231884057971016,7.0,14.0,0.06167400881057269,0.03076923076923077,3.0,7.5,0.07037037037037037,0.03423423423423423,2.5,7.5,14.5,29.0,0.0,0.0,16.0,29.0,0.0,0.0,20.0,38.0,0.0,0.0,5.0,8.5,0.1,0.05555555555555555,1.0,2.0,0.375,0.13636363636363635,6.0,12.5,0.08333333333333333,0.034482758620689655,3.5,3.5,0.0707070707070707,0.045454545454545456,4,6.0,0.08397065709380365,0.043219794344473005,16.5,32.0,0.06060606060606061,0.028169014084507043,14.0,26.5,0.02631578947368421,0.014084507042253521,11.5,27.5,0.0,0.0,10.0,15.5,0.04764542936288089,0.02386237513873474,1,0
Liam Baker,6.0,14.0,0.05759162303664921,0.02689486552567237,8.5,13.5,0.05454545454545454,0.027950310559006212,6.0,12.5,0.056179775280898875,0.027359781121751026,4.0,5.5,0.08045977011494253,0.04,15.0,29.0,0.0,0.0,15.0,27.5,0.0,0.0,2.5,8.0,0.0851063829787234,0.03361344537815126,12.5,24.5,0.0,0.0,16.5,30.5,0.0,0.0,16.0,31.0,0.02127659574468085,0.010309278350515464,18.0,35.5,0.0,0.0,17.5,35.0,0.017543859649122806,0.009345794392523364,9.0,15.5,0.05,0.02702702702702703,16.0,33.0,0.0,0.0,5.5,10.0,0.0,0.0,18.0,36.5,0.022900763358778626,0.010869565217391304,6.0,12.5,0.06607929515418502,0.03296703296703297,6.0,13.0,0.05555555555555555,0.02702702702702703,12.5,23.5,14.5,29.0,0.0,0.0,16.0,29.0,0.0,0.0,13.0,20.0,0.02857142857142857,0.019801980198019802,15.0,28.0,0.0,0.0,14.5,28.5,0.0,0.0,17.5,34.5,0.0,0.0,13.5,19.5,0.04040404040404041,0.025974025974025976,11,20.0,0.041048852817231155,0.02112789203084833,16.5,32.0,0.06060606060606061,0.028169014084507043,2.0,3.0,0.10526315789473684,0.056338028169014086,11.5,27.5,0.0,0.0,17.0,34.0,0.042105263157894736,0.021087680355160933,1,0
Josh Caddy,10.5,21.0,0.04712041884816754,0.022004889975550123,6.0,9.5,0.06060606060606061,0.031055900621118012,8.5,16.0,0.05337078651685393,0.025991792065663474,4.0,5.5,0.08045977011494253,0.04,15.0,29.0,0.0,0.0,15.0,27.5,0.0,0.0,6.0,15.0,0.06382978723404255,0.025210084033613446,12.5,24.5,0.0,0.0,6.0,9.0,0.09090909090909091,0.058823529411764705,7.5,13.5,0.06382978723404255,0.030927835051546393,7.5,15.0,0.0625,0.025,5.5,9.0,0.07017543859649122,0.037383177570093455,9.0,15.5,0.05,0.02702702702702703,16.0,33.0,0.0,0.0,5.5,10.0,0.0,0.0,7.0,11.0,0.061068702290076333,0.028985507246376812,9.0,16.0,0.048458149779735685,0.024175824175824177,6.0,13.0,0.05555555555555555,0.02702702702702703,8.0,17.5,4.5,10.0,0.1111111111111111,0.045454545454545456,7.0,10.0,0.0625,0.041666666666666664,6.5,7.5,0.05714285714285714,0.039603960396039604,5.0,8.5,0.1,0.05555555555555555,4.0,9.0,0.125,0.045454545454545456,10.5,20.5,0.041666666666666664,0.017241379310344827,16.5,23.5,0.030303030303030304,0.01948051948051948,8,17.0,0.04900889651943187,0.025224935732647814,20.0,37.5,0.09090909090909091,0.04225352112676056,10.5,20.5,0.039473684210526314,0.02112676056338028,11.5,27.5,0.0,0.0,2.0,5.5,0.05318559556786703,0.026637069922308545,1,0
Nick Vlastuin,4.0,10.5,0.06806282722513089,0.03178484107579462,15.0,25.5,0.03636363636363636,0.018633540372670808,8.5,16.0,0.05337078651685393,0.025991792065663474,1.0,1.0,0.10344827586206896,0.05142857142857143,15.0,29.0,0.0,0.0,15.0,27.5,0.0,0.0,11.0,25.0,0.0425531914893617,0.01680672268907563,12.5,24.5,0.0,0.0,16.5,30.5,0.0,0.0,21.0,40.5,0.0,0.0,18.0,35.5,0.0,0.0,8.5,14.5,0.05263157894736842,0.028037383177570093,1.0,2.0,0.175,0.0945945945945946,5.0,9.5,0.1111111111111111,0.05,13.5,26.5,0.045454545454545456,0.025,4.5,8.5,0.06870229007633588,0.03260869565217391,11.0,18.5,0.039647577092511016,0.01978021978021978,4.0,10.5,0.05925925925925926,0.02882882882882883,6.0,14.0,1.0,2.0,0.3333333333333333,0.13636363636363635,16.0,29.0,0.0,0.0,6.5,7.5,0.05714285714285714,0.039603960396039604,15.0,28.0,0.0,0.0,14.5,28.5,0.0,0.0,17.5,34.5,0.0,0.0,10.5,14.5,0.050505050505050504,0.032467532467532464,6,14.0,0.0566567816450757,0.029161311053984576,9.0,16.0,0.030303030303030304,0.014084507042253521,1.0,1.0,0.17105263157894737,0.09154929577464789,11.5,27.5,0.0,0.0,11.0,17.5,0.04653739612188366,0.023307436182019976,1,0
Kane Lambert,10.5,21.0,0.04712041884816754,0.022004889975550123,6.0,9.5,0.06060606060606061,0.031055900621118012,8.5,16.0,0.05337078651685393,0.025991792065663474,11.0,23.5,0.04597701149425287,0.022857142857142857,2.5,3.5,0.16666666666666666,0.1,15.0,27.5,0.0,0.0,17.5,37.0,0.02127659574468085,0.008403361344537815,12.5,24.5,0.0,0.0,6.0,9.0,0.09090909090909091,0.058823529411764705,3.5,7.5,0.0851063829787234,0.041237113402061855,11.5,22.5,0.03125,0.0125,21.5,42.0,0.0,0.0,9.0,15.5,0.05,0.02702702702702703,16.0,33.0,0.0,0.0,5.5,10.0,0.0,0.0,18.0,36.5,0.022900763358778626,0.010869565217391304,4.0,7.0,0.07488986784140969,0.03736263736263736,6.0,13.0,0.05555555555555555,0.02702702702702703,8.0,17.5,14.5,29.0,0.0,0.0,3.0,4.5,0.125,0.08333333333333333,9.0,12.0,0.04285714285714286,0.0297029702970297,15.0,28.0,0.0,0.0,14.5,28.5,0.0,0.0,10.5,20.5,0.041666666666666664,0.017241379310344827,3.5,3.5,0.0707070707070707,0.045454545454545456,5,10.0,0.059934446698923054,0.030848329048843187,14.0,26.0,0.045454545454545456,0.02112676056338028,14.0,26.5,0.02631578947368421,0.014084507042253521,11.5,27.5,0.0,0.0,7.0,11.0,0.04986149584487535,0.024972253052164262,1,0
Jack Graham,5.0,12.0,0.06282722513089005,0.029339853300733496,12.5,21.5,0.04242424242424243,0.021739130434782608,8.5,16.0,0.05337078651685393,0.025991792065663474,16.5,34.5,0.022988505747126436,0.011428571428571429,15.0,29.0,0.0,0.0,4.0,5.5,0.14285714285714285,0.1,6.0,15.0,0.06382978723404255,0.025210084033613446,12.5,24.5,0.0,0.0,16.5,30.5,0.0,0.0,7.5,13.5,0.06382978723404255,0.030927835051546393,7.5,15.0,0.0625,0.025,5.5,9.0,0.07017543859649122,0.037383177570093455,5.5,9.5,0.075,0.04054054054054054,16.0,33.0,0.0,0.0,13.5,26.5,0.045454545454545456,0.025,7.0,11.0,0.061068702290076333,0.028985507246376812,9.0,16.0,0.048458149779735685,0.024175824175824177,11.0,18.5,0.04814814814814815,0.023423423423423424,16.0,30.0,14.5,29.0,0.0,0.0,16.0,29.0,0.0,0.0,20.0,38.0,0.0,0.0,15.0,28.0,0.0,0.0,14.5,28.5,0.0,0.0,6.0,12.5,0.08333333333333333,0.034482758620689655,3.5,3.5,0.0707070707070707,0.045454545454545456,9,18.0,0.04854065865459654,0.024983933161953728,18.0,34.5,0.07575757575757576,0.035211267605633804,10.5,20.5,0.039473684210526314,0.02112676056338028,11.5,27.5,0.0,0.0,18.0,37.0,0.039889196675900275,0.01997780244173141,1,0
