Player,Kicks OTR,Kicks BTR,Kicks OT%,Kicks BT%,Handballs OTR,Handballs BTR,Handballs OT%,Handballs BT%,Disposals OTR,Disposals BTR,Disposals OT%,Disposals BT%,Marks OTR,Marks BTR,Marks OT%,Marks BT%,Goals OTR,Goals BTR,Goals OT%,Goals BT%,Behinds OTR,Behinds BTR,Behinds OT%,Behinds BT%,Tackles OTR,Tackles BTR,Tackles OT%,Tackles BT%,Hitouts OTR,Hitouts BTR,Hitouts OT%,Hitouts BT%,Goal Assists OTR,Goal Assists BTR,Goal Assists OT%,Goal Assists BT%,Inside 50s OTR,Inside 50s BTR,Inside 50s OT%,Inside 50s BT%,Clearances OTR,Clearances BTR,Clearances OT%,Clearances BT%,Clangers OTR,Clangers BTR,Clangers OT%,Clangers BT%,Rebound 50s OTR,Rebound 50s BTR,Rebound 50s OT%,Rebound 50s BT%,Frees For OTR,Frees For BTR,Frees For OT%,Frees For BT%,Frees Agains OTR,Frees Agains BTR,Frees Agains OT%,Frees Agains BT%,Contested Possessions OTR,Contested Possessions BTR,Contested Possessions OT%,Contested Possessions BT%,Uncontested Possessions OTR,Uncontested Possessions BTR,Uncontested Possessions OT%,Uncontested Possessions BT%,Effective Disposals OTR,Effective Disposals BTR,Effective Disposals OT%,Effective Disposals BT%,Disposal Efficiency % OTR,Disposal Efficiency % BTR,Contested Marks OTR,Contested Marks BTR,Contested Marks OT%,Contested Marks BT%,Marks Inside 50 OTR,Marks Inside 50 BTR,Marks Inside 50 OT%,Marks Inside 50 BT%,One Percenters OTR,One Percenters BTR,One Percenters OT%,One Percenters BT%,Bounces OTR,Bounces BTR,Bounces OT%,Bounces BT%,Centre Clearances OTR,Centre Clearances BTR,Centre Clearances OT%,Centre Clearances BT%,Stoppage Clearances OTR,Stoppage Clearances BTR,Stoppage Clearances OT%,Stoppage Clearances BT%,Score Involvements OTR,Score Involvements BTR,Score Involvements OT%,Score Involvements BT%,Metres Gained OTR,Metres Gained BTR,Metres Gained OT%,Metres Gained BT%,Turnovers OTR,Turnovers BTR,Turnovers OT%,Turnovers BT%,Intercepts OTR,Intercepts BTR,Intercepts OT%,Intercepts BT%,Tackles Inside 50 OTR,Tackles Inside 50 BTR,Tackles Inside 50 OT%,Tackles Inside 50 BT%,Time On Ground % OTR,Time On Ground % BTR,Time On Ground % OT%,Time On Ground % BT%,Winloss,Brownlow Votes
Adam Treloar,4.5,7.5,0.06167400881057269,0.033734939759036145,1.0,1.0,0.1340782122905028,0.07339449541284404,1.0,1.0,0.09359605911330049,0.05121293800539083,15.5,28.5,0.03125,0.017142857142857144,15.0,29.0,0.0,0.0,15.5,30.0,0.0,0.0,9.0,21.5,0.05084745762711865,0.022900763358778626,12.5,24.0,0.0,0.0,6.0,10.5,0.09090909090909091,0.05,8.0,15.0,0.06382978723404255,0.030303030303030304,2.0,3.0,0.1794871794871795,0.0945945945945946,4.5,6.5,0.09090909090909091,0.0425531914893617,15.0,26.0,0.023809523809523808,0.014285714285714285,4.0,5.0,0.1,0.06451612903225806,7.5,12.0,0.0,0.0,2.0,3.0,0.09803921568627451,0.05263157894736842,3.0,4.0,0.07851239669421488,0.041666666666666664,1.5,1.5,0.07590759075907591,0.04151624548736462,21.0,39.0,16.0,31.0,0.0,0.0,15.0,29.5,0.0,0.0,15.5,26.5,0.02,0.01098901098901099,11.5,24.0,0.0,0.0,2.0,4.0,0.23076923076923078,0.1,2.5,2.5,0.15384615384615385,0.09090909090909091,6.0,6.5,0.07142857142857142,0.04090909090909091,7,12.0,0.05396643783371472,0.028044792389257753,17.5,33.0,0.06349206349206349,0.03225806451612903,18.0,36.5,0.01639344262295082,0.008130081300813009,14.5,31.0,0.0,0.0,17.5,33.0,0.042754025541365905,0.021377012770682952,1,0
Dayne Beams,3.0,5.5,0.06607929515418502,0.03614457831325301,2.0,3.5,0.08379888268156424,0.045871559633027525,2.0,2.5,0.07389162561576355,0.04043126684636118,9.5,15.0,0.052083333333333336,0.02857142857142857,15.0,29.0,0.0,0.0,1.0,1.0,0.3,0.15789473684210525,13.5,30.0,0.03389830508474576,0.015267175572519083,12.5,24.0,0.0,0.0,6.0,10.5,0.09090909090909091,0.05,3.5,8.5,0.0851063829787234,0.04040404040404041,2.0,3.0,0.1794871794871795,0.0945945945945946,8.5,15.0,0.06818181818181818,0.031914893617021274,5.5,8.0,0.07142857142857142,0.04285714285714286,9.5,15.0,0.05,0.03225806451612903,17.5,30.5,0.09090909090909091,0.03225806451612903,4.5,6.0,0.0718954248366013,0.03859649122807018,1.5,2.5,0.08264462809917356,0.043859649122807015,3.5,5.0,0.07260726072607261,0.039711191335740074,14.0,24.0,6.0,11.0,0.06666666666666667,0.038461538461538464,6.0,10.5,0.06666666666666667,0.04,20.5,39.0,0.0,0.0,11.5,24.0,0.0,0.0,1.0,2.5,0.3076923076923077,0.13333333333333333,4.0,5.0,0.11538461538461539,0.06818181818181818,1.5,1.5,0.0873015873015873,0.05,3,4.0,0.07398932112890923,0.03845010405311664,14.0,25.5,0.047619047619047616,0.024193548387096774,9.5,17.5,0.04918032786885246,0.024390243902439025,14.5,31.0,0.0,0.0,13.0,26.0,0.04608550805108273,0.023042754025541366,1,0
Steele Sidebottom,1.5,3.0,0.07048458149779736,0.03855421686746988,5.0,7.0,0.07262569832402235,0.039755351681957186,3.0,4.5,0.07142857142857142,0.03908355795148248,6.0,9.0,0.0625,0.03428571428571429,5.0,6.5,0.11764705882352941,0.07407407407407407,5.0,9.5,0.1,0.05263157894736842,9.0,21.5,0.05084745762711865,0.022900763358778626,12.5,24.0,0.0,0.0,6.0,10.5,0.09090909090909091,0.05,3.5,8.5,0.0851063829787234,0.04040404040404041,7.0,13.0,0.05128205128205128,0.02702702702702703,14.0,32.0,0.022727272727272728,0.010638297872340425,15.0,26.0,0.023809523809523808,0.014285714285714285,18.0,33.5,0.0,0.0,7.5,12.0,0.0,0.0,8.0,12.0,0.05228758169934641,0.028070175438596492,1.5,2.5,0.08264462809917356,0.043859649122807015,1.5,1.5,0.07590759075907591,0.04151624548736462,9.0,17.0,16.0,31.0,0.0,0.0,6.0,10.5,0.06666666666666667,0.04,10.0,15.5,0.04,0.02197802197802198,11.5,24.0,0.0,0.0,14.5,29.0,0.0,0.0,6.5,9.5,0.07692307692307693,0.045454545454545456,1.5,1.5,0.0873015873015873,0.05,1,2.0,0.08600305110602594,0.044693291051431966,17.5,33.0,0.06349206349206349,0.03225806451612903,4.5,11.0,0.06557377049180328,0.032520325203252036,14.5,31.0,0.0,0.0,4.5,8.0,0.04997223764575236,0.02498611882287618,1,2
Scott Pendlebury,6.5,10.5,0.05726872246696035,0.03132530120481928,3.0,5.0,0.0782122905027933,0.04281345565749235,4.5,6.5,0.0665024630541872,0.03638814016172507,19.0,36.0,0.020833333333333332,0.011428571428571429,15.0,29.0,0.0,0.0,15.5,30.0,0.0,0.0,9.0,21.5,0.05084745762711865,0.022900763358778626,12.5,24.0,0.0,0.0,16.0,30.0,0.0,0.0,1.0,2.0,0.14893617021276595,0.0707070707070707,4.0,6.0,0.1282051282051282,0.06756756756756757,4.5,6.5,0.09090909090909091,0.0425531914893617,9.0,14.5,0.047619047619047616,0.02857142857142857,18.0,33.5,0.0,0.0,17.5,30.5,0.09090909090909091,0.03225806451612903,4.5,6.0,0.0718954248366013,0.03859649122807018,4.5,8.0,0.06611570247933884,0.03508771929824561,6.0,10.0,0.0627062706270627,0.03429602888086643,16.5,29.0,16.0,31.0,0.0,0.0,15.0,29.5,0.0,0.0,15.5,26.5,0.02,0.01098901098901099,11.5,24.0,0.0,0.0,5.5,11.0,0.07692307692307693,0.03333333333333333,2.5,2.5,0.15384615384615385,0.09090909090909091,4.0,4.0,0.07936507936507936,0.045454545454545456,2,3.0,0.08199847444698703,0.04261222871866019,21.0,41.5,0.09523809523809523,0.04838709677419355,4.5,11.0,0.06557377049180328,0.032520325203252036,14.5,31.0,0.0,0.0,15.0,29.5,0.04441976679622432,0.02220988339811216,1,0
Jack Crisp,4.5,7.5,0.06167400881057269,0.033734939759036145,5.0,7.0,0.07262569832402235,0.039755351681957186,4.5,6.5,0.0665024630541872,0.03638814016172507,9.5,15.0,0.052083333333333336,0.02857142857142857,15.0,29.0,0.0,0.0,15.5,30.0,0.0,0.0,5.0,13.0,0.06779661016949153,0.030534351145038167,12.5,24.0,0.0,0.0,16.0,30.0,0.0,0.0,8.0,15.0,0.06382978723404255,0.030303030303030304,7.0,13.0,0.05128205128205128,0.02702702702702703,1.0,1.5,0.11363636363636363,0.05319148936170213,9.0,14.5,0.047619047619047616,0.02857142857142857,9.5,15.0,0.05,0.03225806451612903,17.5,30.5,0.09090909090909091,0.03225806451612903,3.0,4.0,0.08496732026143791,0.0456140350877193,9.0,16.0,0.049586776859504134,0.02631578947368421,3.5,5.0,0.07260726072607261,0.039711191335740074,6.5,14.5,6.0,11.0,0.06666666666666667,0.038461538461538464,15.0,29.5,0.0,0.0,10.0,15.5,0.04,0.02197802197802198,11.5,24.0,0.0,0.0,14.5,29.0,0.0,0.0,6.5,9.5,0.07692307692307693,0.045454545454545456,9.5,13.5,0.047619047619047616,0.02727272727272727,6,10.0,0.059877955758962625,0.031116836785254186,19.0,37.0,0.07936507936507936,0.04032258064516129,1.0,1.0,0.16393442622950818,0.08130081300813008,14.5,31.0,0.0,0.0,1.0,3.0,0.05108273181565797,0.025541365907828985,1,0
Christopher Mayne,8.0,13.0,0.05286343612334802,0.02891566265060241,5.0,7.0,0.07262569832402235,0.039755351681957186,6.0,9.0,0.06157635467980296,0.03369272237196765,9.5,15.0,0.052083333333333336,0.02857142857142857,15.0,29.0,0.0,0.0,15.5,30.0,0.0,0.0,9.0,21.5,0.05084745762711865,0.022900763358778626,12.5,24.0,0.0,0.0,6.0,10.5,0.09090909090909091,0.05,20.5,40.5,0.0,0.0,7.0,13.0,0.05128205128205128,0.02702702702702703,4.5,6.5,0.09090909090909091,0.0425531914893617,5.5,8.0,0.07142857142857142,0.04285714285714286,9.5,15.0,0.05,0.03225806451612903,17.5,30.5,0.09090909090909091,0.03225806451612903,10.0,15.5,0.0457516339869281,0.02456140350877193,4.5,8.0,0.06611570247933884,0.03508771929824561,5.0,8.5,0.06930693069306931,0.03790613718411552,5.0,11.5,16.0,31.0,0.0,0.0,15.0,29.5,0.0,0.0,10.0,15.5,0.04,0.02197802197802198,11.5,24.0,0.0,0.0,14.5,29.0,0.0,0.0,6.5,9.5,0.07692307692307693,0.045454545454545456,16.0,28.0,0.031746031746031744,0.01818181818181818,19,36.0,0.025362318840579712,0.01318006144088792,14.0,25.5,0.047619047619047616,0.024193548387096774,4.5,11.0,0.06557377049180328,0.032520325203252036,14.5,31.0,0.0,0.0,14.0,28.0,0.044975013881177126,0.022487506940588563,1,0
Brodie Grundy,1.5,3.0,0.07048458149779736,0.03855421686746988,7.0,14.5,0.0446927374301676,0.024464831804281346,7.0,11.0,0.059113300492610835,0.03234501347708895,12.5,20.5,0.041666666666666664,0.022857142857142857,15.0,29.0,0.0,0.0,15.5,30.0,0.0,0.0,2.5,3.5,0.1016949152542373,0.04580152671755725,1.0,1.0,0.9245283018867925,0.6363636363636364,16.0,30.0,0.0,0.0,8.0,15.0,0.06382978723404255,0.030303030303030304,2.0,3.0,0.1794871794871795,0.0945945945945946,4.5,6.5,0.09090909090909091,0.0425531914893617,9.0,14.5,0.047619047619047616,0.02857142857142857,1.5,1.5,0.15,0.0967741935483871,7.5,12.0,0.0,0.0,1.0,1.0,0.11764705882352941,0.06315789473684211,19.0,37.0,0.024793388429752067,0.013157894736842105,8.5,15.0,0.0429042904290429,0.023465703971119134,22.0,43.0,2.0,2.5,0.2,0.11538461538461539,15.0,29.5,0.0,0.0,3.0,5.5,0.1,0.054945054945054944,11.5,24.0,0.0,0.0,3.5,6.5,0.15384615384615385,0.06666666666666667,1.0,1.0,0.19230769230769232,0.11363636363636363,12.5,19.0,0.03968253968253968,0.022727272727272728,11,20.0,0.046147978642257816,0.023981765930036668,21.0,41.5,0.09523809523809523,0.04838709677419355,9.5,17.5,0.04918032786885246,0.024390243902439025,14.5,31.0,0.0,0.0,4.5,8.0,0.04997223764575236,0.02498611882287618,1,3
Tom Phillips,6.5,10.5,0.05726872246696035,0.03132530120481928,9.5,18.0,0.03910614525139665,0.021406727828746176,8.0,14.0,0.04926108374384237,0.026954177897574125,6.0,9.0,0.0625,0.03428571428571429,15.0,29.0,0.0,0.0,15.5,30.0,0.0,0.0,13.5,30.0,0.03389830508474576,0.015267175572519083,12.5,24.0,0.0,0.0,6.0,10.5,0.09090909090909091,0.05,8.0,15.0,0.06382978723404255,0.030303030303030304,10.0,19.5,0.02564102564102564,0.013513513513513514,19.5,41.5,0.0,0.0,15.0,26.0,0.023809523809523808,0.014285714285714285,9.5,15.0,0.05,0.03225806451612903,7.5,12.0,0.0,0.0,10.0,15.5,0.0457516339869281,0.02456140350877193,8.0,13.5,0.05371900826446281,0.02850877192982456,7.0,12.0,0.04950495049504951,0.02707581227436823,12.5,21.5,16.0,31.0,0.0,0.0,15.0,29.5,0.0,0.0,20.5,39.0,0.0,0.0,11.5,24.0,0.0,0.0,14.5,29.0,0.0,0.0,9.5,17.5,0.038461538461538464,0.022727272727272728,9.5,13.5,0.047619047619047616,0.02727272727272727,5,9.0,0.060068649885583525,0.03121593499157665,14.0,25.5,0.047619047619047616,0.024193548387096774,9.5,17.5,0.04918032786885246,0.024390243902439025,14.5,31.0,0.0,0.0,9.5,14.0,0.04886174347584675,0.024430871737923375,1,0
Levi Greenwood,12.5,17.5,0.04405286343612335,0.024096385542168676,9.5,18.0,0.03910614525139665,0.021406727828746176,9.5,15.5,0.04187192118226601,0.022911051212938006,6.0,9.0,0.0625,0.03428571428571429,15.0,29.0,0.0,0.0,15.5,30.0,0.0,0.0,9.0,21.5,0.05084745762711865,0.022900763358778626,12.5,24.0,0.0,0.0,16.0,30.0,0.0,0.0,20.5,40.5,0.0,0.0,17.0,34.0,0.0,0.0,14.0,32.0,0.022727272727272728,0.010638297872340425,9.0,14.5,0.047619047619047616,0.02857142857142857,18.0,33.5,0.0,0.0,7.5,12.0,0.0,0.0,19.5,41.0,0.013071895424836602,0.007017543859649123,6.5,10.5,0.05785123966942149,0.03070175438596491,8.5,15.0,0.0429042904290429,0.023465703971119134,10.5,18.5,16.0,31.0,0.0,0.0,15.0,29.5,0.0,0.0,10.0,15.5,0.04,0.02197802197802198,11.5,24.0,0.0,0.0,14.5,29.0,0.0,0.0,16.5,33.5,0.0,0.0,18.5,37.5,0.015873015873015872,0.00909090909090909,20,38.0,0.024218154080854308,0.012585472202953127,8.0,16.5,0.031746031746031744,0.016129032258064516,4.5,11.0,0.06557377049180328,0.032520325203252036,14.5,31.0,0.0,0.0,4.5,8.0,0.04997223764575236,0.02498611882287618,1,0
Jaidyn Stephenson,9.5,14.5,0.048458149779735685,0.02650602409638554,13.5,23.5,0.0335195530726257,0.01834862385321101,9.5,15.5,0.04187192118226601,0.022911051212938006,2.0,2.5,0.08333333333333333,0.045714285714285714,2.5,3.5,0.17647058823529413,0.1111111111111111,15.5,30.0,0.0,0.0,18.0,38.0,0.01694915254237288,0.007633587786259542,12.5,24.0,0.0,0.0,6.0,10.5,0.09090909090909091,0.05,3.5,8.5,0.0851063829787234,0.04040404040404041,17.0,34.0,0.0,0.0,4.5,6.5,0.09090909090909091,0.0425531914893617,20.5,38.5,0.0,0.0,18.0,33.5,0.0,0.0,7.5,12.0,0.0,0.0,15.0,31.5,0.026143790849673203,0.014035087719298246,6.5,10.5,0.05785123966942149,0.03070175438596491,11.5,19.5,0.039603960396039604,0.021660649819494584,16.5,29.0,6.0,11.0,0.06666666666666667,0.038461538461538464,2.5,3.0,0.2,0.12,6.0,9.5,0.06,0.03296703296703297,11.5,24.0,0.0,0.0,14.5,29.0,0.0,0.0,16.5,33.5,0.0,0.0,7.5,9.5,0.05555555555555555,0.031818181818181815,4,8.0,0.060259344012204424,0.03131503319789912,21.0,41.5,0.09523809523809523,0.04838709677419355,18.0,36.5,0.01639344262295082,0.008130081300813009,4.0,13.0,0.14285714285714285,0.03225806451612903,7.5,11.5,0.049416990560799554,0.024708495280399777,1,0
