Player,Kicks OTR,Kicks BTR,Kicks OT%,Kicks BT%,Handballs OTR,Handballs BTR,Handballs OT%,Handballs BT%,Disposals OTR,Disposals BTR,Disposals OT%,Disposals BT%,Marks OTR,Marks BTR,Marks OT%,Marks BT%,Goals OTR,Goals BTR,Goals OT%,Goals BT%,Behinds OTR,Behinds BTR,Behinds OT%,Behinds BT%,Tackles OTR,Tackles BTR,Tackles OT%,Tackles BT%,Hitouts OTR,Hitouts BTR,Hitouts OT%,Hitouts BT%,Goal Assists OTR,Goal Assists BTR,Goal Assists OT%,Goal Assists BT%,Inside 50s OTR,Inside 50s BTR,Inside 50s OT%,Inside 50s BT%,Clearances OTR,Clearances BTR,Clearances OT%,Clearances BT%,Clangers OTR,Clangers BTR,Clangers OT%,Clangers BT%,Rebound 50s OTR,Rebound 50s BTR,Rebound 50s OT%,Rebound 50s BT%,Frees For OTR,Frees For BTR,Frees For OT%,Frees For BT%,Frees Agains OTR,Frees Agains BTR,Frees Agains OT%,Frees Agains BT%,Contested Possessions OTR,Contested Possessions BTR,Contested Possessions OT%,Contested Possessions BT%,Uncontested Possessions OTR,Uncontested Possessions BTR,Uncontested Possessions OT%,Uncontested Possessions BT%,Effective Disposals OTR,Effective Disposals BTR,Effective Disposals OT%,Effective Disposals BT%,Disposal Efficiency % OTR,Disposal Efficiency % BTR,Contested Marks OTR,Contested Marks BTR,Contested Marks OT%,Contested Marks BT%,Marks Inside 50 OTR,Marks Inside 50 BTR,Marks Inside 50 OT%,Marks Inside 50 BT%,One Percenters OTR,One Percenters BTR,One Percenters OT%,One Percenters BT%,Bounces OTR,Bounces BTR,Bounces OT%,Bounces BT%,Centre Clearances OTR,Centre Clearances BTR,Centre Clearances OT%,Centre Clearances BT%,Stoppage Clearances OTR,Stoppage Clearances BTR,Stoppage Clearances OT%,Stoppage Clearances BT%,Score Involvements OTR,Score Involvements BTR,Score Involvements OT%,Score Involvements BT%,Metres Gained OTR,Metres Gained BTR,Metres Gained OT%,Metres Gained BT%,Turnovers OTR,Turnovers BTR,Turnovers OT%,Turnovers BT%,Intercepts OTR,Intercepts BTR,Intercepts OT%,Intercepts BT%,Tackles Inside 50 OTR,Tackles Inside 50 BTR,Tackles Inside 50 OT%,Tackles Inside 50 BT%,Time On Ground % OTR,Time On Ground % BTR,Time On Ground % OT%,Time On Ground % BT%,Winloss,Brownlow Votes
Andrew Gaff,1.0,2.0,0.07575757575757576,0.04178272980501393,1.0,2.0,0.14754098360655737,0.0661764705882353,1.0,2.0,0.103125,0.05229793977812995,9.5,16.5,0.047619047619047616,0.026845637583892617,15.0,29.0,0.0,0.0,14.5,28.0,0.0,0.0,21.5,40.5,0.0,0.0,13.0,25.0,0.0,0.0,13.5,26.0,0.0,0.0,3.5,7.5,0.09523809523809523,0.044444444444444446,6.0,10.5,0.05714285714285714,0.029411764705882353,7.5,13.5,0.058823529411764705,0.030303030303030304,4.5,7.0,0.0975609756097561,0.056338028169014086,16.5,31.0,0.0,0.0,18.0,34.0,0.1111111111111111,0.047619047619047616,13.0,22.0,0.034482758620689655,0.019305019305019305,1.0,1.0,0.15591397849462366,0.07631578947368421,1.0,1.0,0.10550458715596331,0.053488372093023255,10.5,18.5,15.5,29.0,0.0,0.0,14.0,28.5,0.0,0.0,20.0,40.5,0.0,0.0,11.5,22.5,0,0,14.0,27.0,0.0,0.0,6.0,9.5,0.08333333333333333,0.043478260869565216,8.5,17.5,0.05084745762711865,0.02586206896551724,1,2.0,0.08317338451695458,0.04230393752033843,18.5,36.5,0.07575757575757576,0.035211267605633804,12.0,22.5,0.039473684210526314,0.02112676056338028,15.5,30.0,0.0,0.0,1.5,1.5,0.05441421432537479,0.02722222222222222,1,2
Luke Shuey,2.5,3.5,0.0707070707070707,0.03899721448467967,2.5,5.5,0.08196721311475409,0.03676470588235294,2.0,6.0,0.075,0.03803486529318542,13.0,22.0,0.03571428571428571,0.020134228187919462,15.0,29.0,0.0,0.0,14.5,28.0,0.0,0.0,15.0,27.5,0.03508771929824561,0.018018018018018018,13.0,25.0,0.0,0.0,13.5,26.0,0.0,0.0,1.0,4.5,0.11904761904761904,0.05555555555555555,2.0,3.5,0.2,0.10294117647058823,7.5,13.5,0.058823529411764705,0.030303030303030304,9.0,15.0,0.04878048780487805,0.028169014084507043,16.5,31.0,0.0,0.0,18.0,34.0,0.1111111111111111,0.047619047619047616,2.0,4.0,0.0896551724137931,0.05019305019305019,5.0,12.0,0.05913978494623656,0.02894736842105263,3.0,5.5,0.0779816513761468,0.03953488372093023,8.5,16.5,15.5,29.0,0.0,0.0,14.0,28.5,0.0,0.0,20.0,40.5,0.0,0.0,11.5,22.5,0,0,1.5,2.5,0.36363636363636365,0.18181818181818182,3.0,6.0,0.125,0.06521739130434782,8.5,17.5,0.05084745762711865,0.02586206896551724,2,3.0,0.07848155256984432,0.03991756155765267,22.0,42.5,0.10606060606060606,0.04929577464788732,6.0,9.0,0.06578947368421052,0.035211267605633804,15.5,30.0,0.0,0.0,20.0,42.0,0.038312048861743477,0.019166666666666665,1,3
Bradley Sheppard,5.5,8.5,0.06060606060606061,0.033426183844011144,2.5,5.5,0.08196721311475409,0.03676470588235294,3.0,7.0,0.06875,0.03486529318541997,2.5,3.0,0.09523809523809523,0.053691275167785234,5.5,9.0,0.08333333333333333,0.05263157894736842,14.5,28.0,0.0,0.0,9.5,18.0,0.05263157894736842,0.02702702702702703,13.0,25.0,0.0,0.0,13.5,26.0,0.0,0.0,19.5,39.0,0.0,0.0,18.5,34.5,0.0,0.0,12.5,24.0,0.0392156862745098,0.020202020202020204,4.5,7.0,0.0975609756097561,0.056338028169014086,6.5,11.0,0.08333333333333333,0.047619047619047616,18.0,34.0,0.1111111111111111,0.047619047619047616,13.0,22.0,0.034482758620689655,0.019305019305019305,2.0,3.5,0.0913978494623656,0.04473684210526316,2.0,3.0,0.08256880733944955,0.04186046511627907,4.0,6.0,15.5,29.0,0.0,0.0,14.0,28.5,0.0,0.0,11.0,21.5,0.04,0.02127659574468085,11.5,22.5,0,0,14.0,27.0,0.0,0.0,17.5,33.5,0.0,0.0,14.5,27.5,0.03389830508474576,0.017241379310344827,14,25.0,0.04052036681595223,0.020609610586831542,12.0,22.0,0.045454545454545456,0.02112676056338028,6.0,9.0,0.06578947368421052,0.035211267605633804,6.5,10.5,0.07142857142857142,0.045454545454545456,3.5,4.5,0.051637978900610775,0.025833333333333333,1,0
Tom Barrass,2.5,3.5,0.0707070707070707,0.03899721448467967,11.5,25.0,0.040983606557377046,0.01838235294117647,4.0,8.0,0.059375,0.030110935023771792,1.0,1.0,0.10714285714285714,0.06040268456375839,15.0,29.0,0.0,0.0,14.5,28.0,0.0,0.0,21.5,40.5,0.0,0.0,13.0,25.0,0.0,0.0,13.5,26.0,0.0,0.0,19.5,39.0,0.0,0.0,18.5,34.5,0.0,0.0,17.5,35.0,0.0196078431372549,0.010101010101010102,2.0,3.5,0.12195121951219512,0.07042253521126761,1.5,2.5,0.16666666666666666,0.09523809523809523,7.5,13.5,0.0,0.0,8.5,12.0,0.04827586206896552,0.02702702702702703,3.5,9.0,0.06451612903225806,0.031578947368421054,4.0,8.0,0.06880733944954129,0.03488372093023256,6.0,11.0,3.5,4.0,0.15789473684210525,0.11538461538461539,14.0,28.5,0.0,0.0,3.5,4.5,0.1,0.05319148936170213,11.5,22.5,0,0,14.0,27.0,0.0,0.0,17.5,33.5,0.0,0.0,21.0,43.0,0.0,0.0,9,17.0,0.04990403071017274,0.02538236251220306,16.0,31.0,0.06060606060606061,0.028169014084507043,2.0,2.0,0.10526315789473684,0.056338028169014086,15.5,30.0,0.0,0.0,3.5,4.5,0.051637978900610775,0.025833333333333333,1,0
Shannon Hurn,5.5,8.5,0.06060606060606061,0.033426183844011144,11.5,25.0,0.040983606557377046,0.01838235294117647,5.5,10.5,0.053125,0.02694136291600634,13.0,22.0,0.03571428571428571,0.020134228187919462,15.0,29.0,0.0,0.0,14.5,28.0,0.0,0.0,9.5,18.0,0.05263157894736842,0.02702702702702703,13.0,25.0,0.0,0.0,13.5,26.0,0.0,0.0,15.0,29.0,0.023809523809523808,0.011111111111111112,11.0,18.5,0.02857142857142857,0.014705882352941176,7.5,13.5,0.058823529411764705,0.030303030303030304,4.5,7.0,0.0975609756097561,0.056338028169014086,6.5,11.0,0.08333333333333333,0.047619047619047616,7.5,13.5,0.0,0.0,18.0,30.5,0.027586206896551724,0.015444015444015444,7.5,16.5,0.053763440860215055,0.02631578947368421,5.0,9.0,0.06422018348623854,0.03255813953488372,3.0,5.0,15.5,29.0,0.0,0.0,14.0,28.5,0.0,0.0,3.5,4.5,0.1,0.05319148936170213,11.5,22.5,0,0,14.0,27.0,0.0,0.0,10.0,17.0,0.041666666666666664,0.021739130434782608,8.5,17.5,0.05084745762711865,0.02586206896551724,8,16.0,0.050117295798677755,0.025490834146870592,7.0,12.0,0.030303030303030304,0.014084507042253521,6.0,9.0,0.06578947368421052,0.035211267605633804,15.5,30.0,0.0,0.0,7.5,13.0,0.04719600222098834,0.02361111111111111,1,0
Dominic Sheed,12.5,20.0,0.04040404040404041,0.022284122562674095,4.0,7.5,0.07377049180327869,0.03308823529411765,5.5,10.5,0.053125,0.02694136291600634,17.0,28.5,0.023809523809523808,0.013422818791946308,15.0,29.0,0.0,0.0,3.5,6.0,0.16666666666666666,0.09090909090909091,9.5,18.0,0.05263157894736842,0.02702702702702703,13.0,25.0,0.0,0.0,13.5,26.0,0.0,0.0,19.5,39.0,0.0,0.0,1.0,2.0,0.22857142857142856,0.11764705882352941,2.0,2.5,0.09803921568627451,0.050505050505050504,13.0,23.0,0.024390243902439025,0.014084507042253521,6.5,11.0,0.08333333333333333,0.047619047619047616,18.0,34.0,0.1111111111111111,0.047619047619047616,2.0,4.0,0.0896551724137931,0.05019305019305019,7.5,16.5,0.053763440860215055,0.02631578947368421,9.0,15.5,0.05045871559633028,0.02558139534883721,13.0,27.5,15.5,29.0,0.0,0.0,14.0,28.5,0.0,0.0,7.0,12.0,0.06,0.031914893617021274,11.5,22.5,0,0,1.5,2.5,0.36363636363636365,0.18181818181818182,1.0,3.5,0.16666666666666666,0.08695652173913043,8.5,17.5,0.05084745762711865,0.02586206896551724,19,34.0,0.027724461505651526,0.014101312506779477,16.0,31.0,0.06060606060606061,0.028169014084507043,12.0,22.5,0.039473684210526314,0.02112676056338028,6.5,10.5,0.07142857142857142,0.045454545454545456,12.0,22.5,0.04553026096612993,0.02277777777777778,1,0
Jeremy McGovern,5.5,8.5,0.06060606060606061,0.033426183844011144,15.0,31.0,0.03278688524590164,0.014705882352941176,7.0,12.5,0.05,0.025356576862123614,2.5,3.0,0.09523809523809523,0.053691275167785234,15.0,29.0,0.0,0.0,14.5,28.0,0.0,0.0,19.0,34.5,0.017543859649122806,0.009009009009009009,13.0,25.0,0.0,0.0,13.5,26.0,0.0,0.0,6.5,12.5,0.07142857142857142,0.03333333333333333,18.5,34.5,0.0,0.0,3.5,5.5,0.0784313725490196,0.04040404040404041,4.5,7.0,0.0975609756097561,0.056338028169014086,16.5,31.0,0.0,0.0,18.0,34.0,0.1111111111111111,0.047619047619047616,6.5,9.5,0.05517241379310345,0.03088803088803089,11.5,24.5,0.03763440860215054,0.018421052631578946,10.0,17.5,0.045871559633027525,0.023255813953488372,14.5,33.0,3.5,4.0,0.15789473684210525,0.11538461538461539,14.0,28.5,0.0,0.0,1.0,1.0,0.14,0.07446808510638298,11.5,22.5,0,0,14.0,27.0,0.0,0.0,17.5,33.5,0.0,0.0,14.5,27.5,0.03389830508474576,0.017241379310344827,5,12.0,0.06269993602047345,0.03189066059225513,18.5,36.5,0.07575757575757576,0.035211267605633804,1.0,1.0,0.14473684210526316,0.07746478873239436,15.5,30.0,0.0,0.0,12.0,22.5,0.04553026096612993,0.02277777777777778,1,0
Jamie Cripps,10.0,17.0,0.045454545454545456,0.025069637883008356,8.0,18.0,0.04918032786885246,0.022058823529411766,9.0,15.0,0.046875,0.02377179080824089,17.0,28.5,0.023809523809523808,0.013422818791946308,5.5,9.0,0.08333333333333333,0.05263157894736842,3.5,6.0,0.16666666666666666,0.09090909090909091,4.5,9.5,0.07017543859649122,0.036036036036036036,13.0,25.0,0.0,0.0,13.5,26.0,0.0,0.0,15.0,29.0,0.023809523809523808,0.011111111111111112,6.0,10.5,0.05714285714285714,0.029411764705882353,1.0,1.0,0.11764705882352941,0.06060606060606061,19.0,35.5,0.0,0.0,16.5,31.0,0.0,0.0,18.0,34.0,0.1111111111111111,0.047619047619047616,2.0,4.0,0.0896551724137931,0.05019305019305019,15.5,30.5,0.026881720430107527,0.013157894736842105,15.0,30.0,0.03211009174311927,0.01627906976744186,21.0,42.5,15.5,29.0,0.0,0.0,4.5,8.5,0.08333333333333333,0.05,20.0,40.5,0.0,0.0,11.5,22.5,0,0,14.0,27.0,0.0,0.0,6.0,9.5,0.08333333333333333,0.043478260869565216,4.5,8.5,0.06779661016949153,0.034482758620689655,15,27.0,0.03198976327575176,0.016270745200130166,20.5,40.0,0.09090909090909091,0.04225352112676056,12.0,22.5,0.039473684210526314,0.02112676056338028,3.5,4.0,0.14285714285714285,0.09090909090909091,9.5,18.5,0.04608550805108273,0.023055555555555555,1,0
Jackson Nelson,5.5,8.5,0.06060606060606061,0.033426183844011144,17.5,36.0,0.02459016393442623,0.011029411764705883,9.0,15.0,0.046875,0.02377179080824089,13.0,22.0,0.03571428571428571,0.020134228187919462,15.0,29.0,0.0,0.0,14.5,28.0,0.0,0.0,9.5,18.0,0.05263157894736842,0.02702702702702703,13.0,25.0,0.0,0.0,3.0,4.5,0.16666666666666666,0.1111111111111111,19.5,39.0,0.0,0.0,11.0,18.5,0.02857142857142857,0.014705882352941176,17.5,35.0,0.0196078431372549,0.010101010101010102,1.0,2.0,0.14634146341463414,0.08450704225352113,16.5,31.0,0.0,0.0,7.5,13.5,0.0,0.0,18.0,30.5,0.027586206896551724,0.015444015444015444,7.5,16.5,0.053763440860215055,0.02631578947368421,7.5,13.0,0.05504587155963303,0.027906976744186046,5.0,8.5,15.5,29.0,0.0,0.0,14.0,28.5,0.0,0.0,15.5,31.5,0.02,0.010638297872340425,11.5,22.5,0,0,14.0,27.0,0.0,0.0,10.0,17.0,0.041666666666666664,0.021739130434782608,14.5,27.5,0.03389830508474576,0.017241379310344827,3,7.0,0.07208359991469396,0.03666341251762664,12.0,22.0,0.045454545454545456,0.02112676056338028,9.0,15.5,0.05263157894736842,0.028169014084507043,15.5,30.0,0.0,0.0,7.5,13.0,0.04719600222098834,0.02361111111111111,1,0
Tim Kelly,12.5,20.0,0.04040404040404041,0.022284122562674095,6.0,13.0,0.05737704918032787,0.025735294117647058,9.0,15.0,0.046875,0.02377179080824089,21.5,43.0,0.0,0.0,15.0,29.0,0.0,0.0,3.5,6.0,0.16666666666666666,0.09090909090909091,4.5,9.5,0.07017543859649122,0.036036036036036036,13.0,25.0,0.0,0.0,13.5,26.0,0.0,0.0,6.5,12.5,0.07142857142857142,0.03333333333333333,4.0,8.0,0.08571428571428572,0.04411764705882353,7.5,13.5,0.058823529411764705,0.030303030303030304,13.0,23.0,0.024390243902439025,0.014084507042253521,16.5,31.0,0.0,0.0,22.0,43.0,0.2222222222222222,0.09523809523809523,8.5,12.0,0.04827586206896552,0.02702702702702703,10.0,21.0,0.04838709677419355,0.02368421052631579,12.5,24.0,0.03669724770642202,0.018604651162790697,17.0,38.0,15.5,29.0,0.0,0.0,14.0,28.5,0.0,0.0,11.0,21.5,0.04,0.02127659574468085,11.5,22.5,0,0,14.0,27.0,0.0,0.0,3.0,6.0,0.125,0.06521739130434782,14.5,27.5,0.03389830508474576,0.017241379310344827,6,14.0,0.06035402004691832,0.030697472610912248,20.5,40.0,0.09090909090909091,0.04225352112676056,18.0,37.0,0.013157894736842105,0.007042253521126761,15.5,30.0,0.0,0.0,14.5,26.5,0.044975013881177126,0.0225,1,0
