Player,Kicks OTR,Kicks BTR,Kicks OT%,Kicks BT%,Handballs OTR,Handballs BTR,Handballs OT%,Handballs BT%,Disposals OTR,Disposals BTR,Disposals OT%,Disposals BT%,Marks OTR,Marks BTR,Marks OT%,Marks BT%,Goals OTR,Goals BTR,Goals OT%,Goals BT%,Behinds OTR,Behinds BTR,Behinds OT%,Behinds BT%,Tackles OTR,Tackles BTR,Tackles OT%,Tackles BT%,Hitouts OTR,Hitouts BTR,Hitouts OT%,Hitouts BT%,Goal Assists OTR,Goal Assists BTR,Goal Assists OT%,Goal Assists BT%,Inside 50s OTR,Inside 50s BTR,Inside 50s OT%,Inside 50s BT%,Clearances OTR,Clearances BTR,Clearances OT%,Clearances BT%,Clangers OTR,Clangers BTR,Clangers OT%,Clangers BT%,Rebound 50s OTR,Rebound 50s BTR,Rebound 50s OT%,Rebound 50s BT%,Frees For OTR,Frees For BTR,Frees For OT%,Frees For BT%,Frees Agains OTR,Frees Agains BTR,Frees Agains OT%,Frees Agains BT%,Contested Possessions OTR,Contested Possessions BTR,Contested Possessions OT%,Contested Possessions BT%,Uncontested Possessions OTR,Uncontested Possessions BTR,Uncontested Possessions OT%,Uncontested Possessions BT%,Effective Disposals OTR,Effective Disposals BTR,Effective Disposals OT%,Effective Disposals BT%,Disposal Efficiency % OTR,Disposal Efficiency % BTR,Contested Marks OTR,Contested Marks BTR,Contested Marks OT%,Contested Marks BT%,Marks Inside 50 OTR,Marks Inside 50 BTR,Marks Inside 50 OT%,Marks Inside 50 BT%,One Percenters OTR,One Percenters BTR,One Percenters OT%,One Percenters BT%,Bounces OTR,Bounces BTR,Bounces OT%,Bounces BT%,Centre Clearances OTR,Centre Clearances BTR,Centre Clearances OT%,Centre Clearances BT%,Stoppage Clearances OTR,Stoppage Clearances BTR,Stoppage Clearances OT%,Stoppage Clearances BT%,Score Involvements OTR,Score Involvements BTR,Score Involvements OT%,Score Involvements BT%,Metres Gained OTR,Metres Gained BTR,Metres Gained OT%,Metres Gained BT%,Turnovers OTR,Turnovers BTR,Turnovers OT%,Turnovers BT%,Intercepts OTR,Intercepts BTR,Intercepts OT%,Intercepts BT%,Tackles Inside 50 OTR,Tackles Inside 50 BTR,Tackles Inside 50 OT%,Tackles Inside 50 BT%,Time On Ground % OTR,Time On Ground % BTR,Time On Ground % OT%,Time On Ground % BT%,Winloss,Brownlow Votes
Taylor Adams,2.0,4.5,0.08762886597938144,0.04404145077720207,2.5,3.0,0.08484848484848485,0.04590163934426229,1.0,1.0,0.08635097493036212,0.04486251808972504,3.5,7.5,0.07058823529411765,0.03468208092485549,5.5,8.0,0.1,0.06666666666666667,13.0,26.0,0.0,0.0,5.0,10.5,0.075,0.03488372093023256,12.5,24.5,0.0,0.0,13.5,25.0,0.0,0.0,2.5,4.5,0.09302325581395349,0.046511627906976744,1.0,2.0,0.20833333333333334,0.09803921568627451,1.5,2.5,0.1,0.056179775280898875,16.5,33.5,0.0,0.0,7.5,11.5,0.07142857142857142,0.043478260869565216,22.0,42.5,0.3333333333333333,0.13043478260869565,2.0,3.5,0.09322033898305085,0.047619047619047616,2.0,3.0,0.0847457627118644,0.04415011037527594,4.0,6.5,0.07272727272727272,0.03795066413662239,19.0,36.0,14.0,29.0,0.0,0.0,12.5,27.0,0.0,0.0,10.5,19.0,0.03571428571428571,0.02040816326530612,15.0,26.5,0.0,0.0,1.0,2.5,0.5,0.15789473684210525,4.0,6.0,0.1111111111111111,0.0625,2.0,2.0,0.08571428571428572,0.05825242718446602,3.0,5.0,0.09693151798414956,0.050545724276782875,22.0,43.5,0.1111111111111111,0.05785123966942149,5.5,10.5,0.06557377049180328,0.03225806451612903,2.0,3.5,0.3333333333333333,0.16666666666666666,11.0,24.5,0.04553026096612993,0.022765130483064965,1,1
Scott Pendlebury,6.0,12.0,0.05670103092783505,0.02849740932642487,1.0,1.0,0.10303030303030303,0.05573770491803279,2.0,4.0,0.07799442896935933,0.04052098408104197,11.0,20.5,0.047058823529411764,0.023121387283236993,5.5,8.0,0.1,0.06666666666666667,13.0,26.0,0.0,0.0,5.0,10.5,0.075,0.03488372093023256,12.5,24.5,0.0,0.0,13.5,25.0,0.0,0.0,1.0,2.0,0.11627906976744186,0.05813953488372093,5.5,10.5,0.08333333333333333,0.0392156862745098,12.5,21.0,0.04,0.02247191011235955,16.5,33.5,0.0,0.0,2.0,3.0,0.14285714285714285,0.08695652173913043,8.5,15.5,0.0,0.0,1.0,2.0,0.1016949152542373,0.05194805194805195,3.0,5.0,0.07203389830508475,0.037527593818984545,1.0,2.0,0.08727272727272728,0.04554079696394687,4.0,7.5,14.0,29.0,0.0,0.0,12.5,27.0,0.0,0.0,4.0,8.0,0.07142857142857142,0.04081632653061224,15.0,26.5,0.0,0.0,13.0,27.5,0.0,0.0,4.0,6.0,0.1111111111111111,0.0625,5.0,5.0,0.07142857142857142,0.04854368932038835,4.0,7.0,0.07762649867913025,0.04047896577302109,17.0,34.5,0.06349206349206349,0.03305785123966942,16.5,35.0,0.01639344262295082,0.008064516129032258,13.0,25.5,0.0,0.0,11.0,24.5,0.04553026096612993,0.022765130483064965,1,2
Brayden Maynard,1.0,1.0,0.1134020618556701,0.05699481865284974,18.5,36.0,0.024242424242424242,0.013114754098360656,3.0,5.5,0.07242339832869081,0.03762662807525326,3.5,7.5,0.07058823529411765,0.03468208092485549,16.0,29.5,0.0,0.0,13.0,26.0,0.0,0.0,1.0,1.0,0.15,0.06976744186046512,12.5,24.5,0.0,0.0,13.5,25.0,0.0,0.0,9.5,19.5,0.046511627906976744,0.023255813953488372,17.0,33.0,0.0,0.0,12.5,21.0,0.04,0.02247191011235955,2.5,4.0,0.14285714285714285,0.07462686567164178,7.5,11.5,0.07142857142857142,0.043478260869565216,8.5,15.5,0.0,0.0,15.0,28.5,0.03389830508474576,0.017316017316017316,1.0,2.0,0.08898305084745763,0.046357615894039736,3.0,5.0,0.08,0.04174573055028463,5.0,9.5,14.0,29.0,0.0,0.0,12.5,27.0,0.0,0.0,10.5,19.0,0.03571428571428571,0.02040816326530612,15.0,26.5,0.0,0.0,13.0,27.5,0.0,0.0,16.5,32.0,0.0,0.0,2.0,2.0,0.08571428571428572,0.05825242718446602,1.0,1.0,0.13554155659418818,0.07067924128430646,17.0,34.5,0.06349206349206349,0.03305785123966942,5.5,10.5,0.06557377049180328,0.03225806451612903,13.0,25.5,0.0,0.0,3.5,6.5,0.049416990560799554,0.024708495280399777,1,0
Christopher Mayne,8.5,17.0,0.05154639175257732,0.025906735751295335,2.5,3.0,0.08484848484848485,0.04590163934426229,4.0,7.0,0.06685236768802229,0.03473227206946455,7.0,13.0,0.058823529411764705,0.028901734104046242,16.0,29.5,0.0,0.0,13.0,26.0,0.0,0.0,14.5,31.0,0.025,0.011627906976744186,12.5,24.5,0.0,0.0,13.5,25.0,0.0,0.0,22.0,41.5,0.0,0.0,5.5,10.5,0.08333333333333333,0.0392156862745098,21.5,41.5,0.0,0.0,16.5,33.5,0.0,0.0,7.5,11.5,0.07142857142857142,0.043478260869565216,8.5,15.5,0.0,0.0,10.0,19.0,0.0423728813559322,0.021645021645021644,5.0,7.5,0.06779661016949153,0.03532008830022075,2.0,3.5,0.08363636363636363,0.04364326375711575,2.0,3.0,14.0,29.0,0.0,0.0,12.5,27.0,0.0,0.0,15.5,28.5,0.017857142857142856,0.01020408163265306,5.5,6.0,0.07692307692307693,0.07142857142857142,13.0,27.5,0.0,0.0,4.0,6.0,0.1111111111111111,0.0625,15.5,23.0,0.02857142857142857,0.019417475728155338,18.0,37.0,0.01849217638691323,0.009642894987813923,1.5,2.5,0.0,0.0,2.0,4.0,0.09836065573770492,0.04838709677419355,13.0,25.5,0.0,0.0,11.0,24.5,0.04553026096612993,0.022765130483064965,1,0
Steele Sidebottom,3.0,6.0,0.07216494845360824,0.03626943005181347,6.5,11.5,0.05454545454545454,0.029508196721311476,5.0,8.0,0.06406685236768803,0.03328509406657019,20.5,40.5,0.011764705882352941,0.005780346820809248,5.5,8.0,0.1,0.06666666666666667,2.5,4.5,0.25,0.125,2.0,3.0,0.125,0.05813953488372093,12.5,24.5,0.0,0.0,3.0,3.5,0.2,0.16666666666666666,2.5,4.5,0.09302325581395349,0.046511627906976744,2.0,3.5,0.16666666666666666,0.0784313725490196,12.5,21.0,0.04,0.02247191011235955,8.5,14.5,0.05714285714285714,0.029850746268656716,2.0,3.0,0.14285714285714285,0.08695652173913043,18.5,35.0,0.1111111111111111,0.043478260869565216,3.0,5.0,0.0847457627118644,0.04329004329004329,10.0,18.0,0.046610169491525424,0.024282560706401765,5.5,8.5,0.06181818181818182,0.03225806451612903,12.0,25.0,14.0,29.0,0.0,0.0,12.5,27.0,0.0,0.0,6.0,11.5,0.05357142857142857,0.030612244897959183,15.0,26.5,0.0,0.0,13.0,27.5,0.0,0.0,1.0,1.5,0.2222222222222222,0.125,2.0,2.0,0.08571428571428572,0.05825242718446602,6.0,12.0,0.05527331843121317,0.028822719084454804,7.5,17.0,0.031746031746031744,0.01652892561983471,11.0,20.5,0.04918032786885246,0.024193548387096774,2.0,3.5,0.3333333333333333,0.16666666666666666,3.5,6.5,0.049416990560799554,0.024708495280399777,1,0
Josh Daicos,6.0,12.0,0.05670103092783505,0.02849740932642487,4.5,6.5,0.06666666666666667,0.036065573770491806,6.0,9.5,0.06128133704735376,0.03183791606367583,14.5,28.0,0.03529411764705882,0.017341040462427744,5.5,8.0,0.1,0.06666666666666667,13.0,26.0,0.0,0.0,14.5,31.0,0.025,0.011627906976744186,12.5,24.5,0.0,0.0,13.5,25.0,0.0,0.0,5.0,10.0,0.06976744186046512,0.03488372093023256,9.0,17.5,0.041666666666666664,0.0196078431372549,7.0,10.0,0.06,0.033707865168539325,10.0,19.5,0.02857142857142857,0.014925373134328358,17.0,31.5,0.0,0.0,18.5,35.0,0.1111111111111111,0.043478260869565216,6.5,11.5,0.05084745762711865,0.025974025974025976,5.0,7.5,0.06779661016949153,0.03532008830022075,5.5,8.5,0.06181818181818182,0.03225806451612903,10.0,20.0,14.0,29.0,0.0,0.0,12.5,27.0,0.0,0.0,20.0,38.5,0.0,0.0,15.0,26.5,0.0,0.0,3.0,7.5,0.16666666666666666,0.05263157894736842,16.5,32.0,0.0,0.0,10.5,13.5,0.04285714285714286,0.02912621359223301,9.0,16.0,0.04612883560251981,0.024054254530041327,20.5,39.5,0.07936507936507936,0.04132231404958678,5.5,10.5,0.06557377049180328,0.03225806451612903,13.0,25.5,0.0,0.0,6.0,11.0,0.04830649639089395,0.024153248195446973,1,0
Will H-Elliott,4.0,8.0,0.061855670103092786,0.031088082901554404,11.0,19.0,0.04242424242424243,0.022950819672131147,7.0,12.5,0.052924791086350974,0.027496382054992764,1.0,2.0,0.11764705882352941,0.057803468208092484,5.5,8.0,0.1,0.06666666666666667,13.0,26.0,0.0,0.0,20.0,40.5,0.0,0.0,12.5,24.5,0.0,0.0,13.5,25.0,0.0,0.0,5.0,10.0,0.06976744186046512,0.03488372093023256,17.0,33.0,0.0,0.0,3.5,5.0,0.08,0.0449438202247191,16.5,33.5,0.0,0.0,17.0,31.5,0.0,0.0,8.5,15.5,0.0,0.0,10.0,19.0,0.0423728813559322,0.021645021645021644,8.5,15.0,0.05508474576271186,0.02869757174392936,10.5,18.5,0.04727272727272727,0.024667931688804556,15.0,31.5,3.5,9.0,0.16666666666666666,0.058823529411764705,12.5,27.0,0.0,0.0,15.5,28.5,0.017857142857142856,0.01020408163265306,15.0,26.5,0.0,0.0,13.0,27.5,0.0,0.0,16.5,32.0,0.0,0.0,5.0,5.0,0.07142857142857142,0.04854368932038835,10.0,17.0,0.04470636049583418,0.023312493377132565,12.0,26.5,0.047619047619047616,0.024793388429752067,16.5,35.0,0.01639344262295082,0.008064516129032258,13.0,25.5,0.0,0.0,9.0,21.5,0.04608550805108273,0.023042754025541366,1,0
Jack Crisp,8.5,17.0,0.05154639175257732,0.025906735751295335,8.0,15.5,0.048484848484848485,0.02622950819672131,8.5,15.0,0.05013927576601671,0.02604920405209841,14.5,28.0,0.03529411764705882,0.017341040462427744,16.0,29.5,0.0,0.0,13.0,26.0,0.0,0.0,14.5,31.0,0.025,0.011627906976744186,12.5,24.5,0.0,0.0,3.0,3.5,0.2,0.16666666666666666,5.0,10.0,0.06976744186046512,0.03488372093023256,17.0,33.0,0.0,0.0,7.0,10.0,0.06,0.033707865168539325,2.5,4.0,0.14285714285714285,0.07462686567164178,17.0,31.5,0.0,0.0,8.5,15.5,0.0,0.0,15.0,28.5,0.03389830508474576,0.017316017316017316,5.0,7.5,0.06779661016949153,0.03532008830022075,8.0,13.0,0.05454545454545454,0.028462998102466792,6.5,12.0,3.5,9.0,0.16666666666666666,0.058823529411764705,12.5,27.0,0.0,0.0,2.5,3.5,0.10714285714285714,0.061224489795918366,1.0,1.0,0.3076923076923077,0.2857142857142857,13.0,27.5,0.0,0.0,16.5,32.0,0.0,0.0,8.0,8.5,0.05714285714285714,0.038834951456310676,2.0,4.0,0.09957325746799431,0.051923280703613434,12.0,26.5,0.047619047619047616,0.024793388429752067,5.5,10.5,0.06557377049180328,0.03225806451612903,13.0,25.5,0.0,0.0,2.0,3.0,0.051637978900610775,0.025818989450305387,1,0
Jack Madgen,6.0,12.0,0.05670103092783505,0.02849740932642487,11.0,19.0,0.04242424242424243,0.022950819672131147,8.5,15.0,0.05013927576601671,0.02604920405209841,3.5,7.5,0.07058823529411765,0.03468208092485549,16.0,29.5,0.0,0.0,13.0,26.0,0.0,0.0,9.0,20.0,0.05,0.023255813953488372,12.5,24.5,0.0,0.0,13.5,25.0,0.0,0.0,17.0,32.0,0.023255813953488372,0.011627906976744186,9.0,17.5,0.041666666666666664,0.0196078431372549,18.0,33.5,0.02,0.011235955056179775,6.5,10.5,0.08571428571428572,0.04477611940298507,7.5,11.5,0.07142857142857142,0.043478260869565216,8.5,15.5,0.0,0.0,19.5,37.5,0.025423728813559324,0.012987012987012988,7.0,10.5,0.0635593220338983,0.033112582781456956,8.0,13.0,0.05454545454545454,0.028462998102466792,6.5,12.0,3.5,9.0,0.16666666666666666,0.058823529411764705,12.5,27.0,0.0,0.0,6.0,11.5,0.05357142857142857,0.030612244897959183,3.0,3.0,0.15384615384615385,0.14285714285714285,13.0,27.5,0.0,0.0,8.0,13.5,0.05555555555555555,0.03125,5.0,5.0,0.07142857142857142,0.04854368932038835,7.0,13.5,0.05466368624263361,0.028504821447493906,12.0,26.5,0.047619047619047616,0.024793388429752067,11.0,20.5,0.04918032786885246,0.024193548387096774,13.0,25.5,0.0,0.0,18.0,34.5,0.042754025541365905,0.021377012770682952,1,0
John Noble,12.5,23.5,0.041237113402061855,0.02072538860103627,6.5,11.5,0.05454545454545454,0.029508196721311476,10.0,17.0,0.04735376044568245,0.024602026049204053,11.0,20.5,0.047058823529411764,0.023121387283236993,16.0,29.5,0.0,0.0,13.0,26.0,0.0,0.0,9.0,20.0,0.05,0.023255813953488372,12.5,24.5,0.0,0.0,13.5,25.0,0.0,0.0,17.0,32.0,0.023255813953488372,0.011627906976744186,17.0,33.0,0.0,0.0,12.5,21.0,0.04,0.02247191011235955,8.5,14.5,0.05714285714285714,0.029850746268656716,17.0,31.5,0.0,0.0,8.5,15.5,0.0,0.0,15.0,28.5,0.03389830508474576,0.017316017316017316,8.5,15.0,0.05508474576271186,0.02869757174392936,8.0,13.0,0.05454545454545454,0.028462998102466792,3.0,6.0,14.0,29.0,0.0,0.0,12.5,27.0,0.0,0.0,20.0,38.5,0.0,0.0,15.0,26.5,0.0,0.0,13.0,27.5,0.0,0.0,16.5,32.0,0.0,0.0,21.0,34.5,0.014285714285714285,0.009708737864077669,13.0,24.0,0.03170087380613697,0.016530677121966725,7.5,17.0,0.031746031746031744,0.01652892561983471,5.5,10.5,0.06557377049180328,0.03225806451612903,13.0,25.5,0.0,0.0,19.0,36.0,0.0421987784564131,0.02109938922820655,1,0
