Player,Kicks OTR,Kicks BTR,Kicks OT%,Kicks BT%,Handballs OTR,Handballs BTR,Handballs OT%,Handballs BT%,Disposals OTR,Disposals BTR,Disposals OT%,Disposals BT%,Marks OTR,Marks BTR,Marks OT%,Marks BT%,Goals OTR,Goals BTR,Goals OT%,Goals BT%,Behinds OTR,Behinds BTR,Behinds OT%,Behinds BT%,Tackles OTR,Tackles BTR,Tackles OT%,Tackles BT%,Hitouts OTR,Hitouts BTR,Hitouts OT%,Hitouts BT%,Goal Assists OTR,Goal Assists BTR,Goal Assists OT%,Goal Assists BT%,Inside 50s OTR,Inside 50s BTR,Inside 50s OT%,Inside 50s BT%,Clearances OTR,Clearances BTR,Clearances OT%,Clearances BT%,Clangers OTR,Clangers BTR,Clangers OT%,Clangers BT%,Rebound 50s OTR,Rebound 50s BTR,Rebound 50s OT%,Rebound 50s BT%,Frees For OTR,Frees For BTR,Frees For OT%,Frees For BT%,Frees Agains OTR,Frees Agains BTR,Frees Agains OT%,Frees Agains BT%,Contested Possessions OTR,Contested Possessions BTR,Contested Possessions OT%,Contested Possessions BT%,Uncontested Possessions OTR,Uncontested Possessions BTR,Uncontested Possessions OT%,Uncontested Possessions BT%,Effective Disposals OTR,Effective Disposals BTR,Effective Disposals OT%,Effective Disposals BT%,Disposal Efficiency % OTR,Disposal Efficiency % BTR,Contested Marks OTR,Contested Marks BTR,Contested Marks OT%,Contested Marks BT%,Marks Inside 50 OTR,Marks Inside 50 BTR,Marks Inside 50 OT%,Marks Inside 50 BT%,One Percenters OTR,One Percenters BTR,One Percenters OT%,One Percenters BT%,Bounces OTR,Bounces BTR,Bounces OT%,Bounces BT%,Centre Clearances OTR,Centre Clearances BTR,Centre Clearances OT%,Centre Clearances BT%,Stoppage Clearances OTR,Stoppage Clearances BTR,Stoppage Clearances OT%,Stoppage Clearances BT%,Score Involvements OTR,Score Involvements BTR,Score Involvements OT%,Score Involvements BT%,Metres Gained OTR,Metres Gained BTR,Metres Gained OT%,Metres Gained BT%,Turnovers OTR,Turnovers BTR,Turnovers OT%,Turnovers BT%,Intercepts OTR,Intercepts BTR,Intercepts OT%,Intercepts BT%,Tackles Inside 50 OTR,Tackles Inside 50 BTR,Tackles Inside 50 OT%,Tackles Inside 50 BT%,Time On Ground % OTR,Time On Ground % BTR,Time On Ground % OT%,Time On Ground % BT%,Winloss,Brownlow Votes
Jack Lukosius,1.0,1.0,0.11242603550295859,0.04960835509138381,7.5,18.0,0.05555555555555555,0.02072538860103627,1.0,4.5,0.0954356846473029,0.03993055555555555,1.0,4.5,0.1,0.0392156862745098,13.5,27.0,0.0,0.0,13.0,28.0,0.0,0.0,14.0,27.5,0.018518518518518517,0.009615384615384616,12.5,25.0,0.0,0.0,2.5,5.5,0.25,0.1,4.5,18.5,0.07692307692307693,0.025,8.5,16.5,0.043478260869565216,0.018867924528301886,11.5,25.5,0.044444444444444446,0.02,1.0,1.0,0.2222222222222222,0.15151515151515152,18.0,33.5,0.0,0.0,7.0,12.5,0.0,0.0,7.0,18.5,0.05555555555555555,0.02262443438914027,2.5,12.0,0.07086614173228346,0.027777777777777776,1.0,2.0,0.12101910828025478,0.049868766404199474,4.0,6.0,3.5,10.0,0.16666666666666666,0.047619047619047616,13.5,28.0,0.0,0.0,5.0,9.5,0.07894736842105263,0.04285714285714286,12.5,25.5,0.0,0.0,13.5,27.5,0.0,0.0,8.0,14.0,0.05555555555555555,0.02631578947368421,8.0,26.5,0.06060606060606061,0.012269938650306749,1,1,0.1629614521721395,0.07645201416132427,21.0,43.0,0.12307692307692308,0.06956521739130435,5.0,10.0,0.1,0.04310344827586207,13.0,27.0,0.0,0.0,13.5,23.5,0.04495005549389567,0.02249375173562899,0,0
Jack Bowes,2.0,5.0,0.08284023668639054,0.03655352480417755,2.0,10.5,0.08333333333333333,0.031088082901554404,2.0,9.0,0.08298755186721991,0.034722222222222224,2.5,9.5,0.08333333333333333,0.032679738562091505,13.5,27.0,0.0,0.0,13.0,28.0,0.0,0.0,6.0,14.0,0.05555555555555555,0.028846153846153848,12.5,25.0,0.0,0.0,13.5,27.0,0.0,0.0,11.0,29.5,0.038461538461538464,0.0125,6.0,11.0,0.08695652173913043,0.03773584905660377,1.0,2.0,0.13333333333333333,0.06,3.0,3.5,0.08888888888888889,0.06060606060606061,18.0,33.5,0.0,0.0,16.5,31.0,0.08333333333333333,0.034482758620689655,2.0,8.0,0.08888888888888889,0.03619909502262444,5.5,16.5,0.06299212598425197,0.024691358024691357,3.0,14.0,0.07006369426751592,0.028871391076115485,16.5,33.5,14.0,30.0,0.0,0.0,13.5,28.0,0.0,0.0,7.5,15.0,0.05263157894736842,0.02857142857142857,12.5,25.5,0.0,0.0,3.0,7.0,0.2,0.06666666666666667,8.0,14.0,0.05555555555555555,0.02631578947368421,15.0,35.5,0.030303030303030304,0.006134969325153374,3,4,0.08749745054048541,0.041048703473351836,22.0,44.0,0.13846153846153847,0.0782608695652174,1.5,3.5,0.14,0.0603448275862069,13.0,27.0,0.0,0.0,11.0,20.0,0.04550499445061043,0.022771452374340462,0,0
Touk Miller,6.0,16.5,0.05917159763313609,0.02610966057441253,1.0,8.5,0.09722222222222222,0.03626943005181347,3.0,12.0,0.07053941908713693,0.029513888888888888,15.5,35.0,0.03333333333333333,0.013071895424836602,13.5,27.0,0.0,0.0,13.0,28.0,0.0,0.0,3.0,3.0,0.12962962962962962,0.0673076923076923,12.5,25.0,0.0,0.0,2.5,5.5,0.25,0.1,11.0,29.5,0.038461538461538464,0.0125,3.5,7.5,0.13043478260869565,0.05660377358490566,2.0,5.0,0.08888888888888889,0.04,11.0,15.0,0.044444444444444446,0.030303030303030304,2.5,4.0,0.11764705882352941,0.06896551724137931,21.0,40.5,0.16666666666666666,0.06896551724137931,2.0,8.0,0.08888888888888889,0.03619909502262444,1.0,10.0,0.08661417322834646,0.033950617283950615,2.0,12.0,0.07643312101910828,0.031496062992125984,9.5,19.0,14.0,30.0,0.0,0.0,13.5,28.0,0.0,0.0,5.0,9.5,0.07894736842105263,0.04285714285714286,12.5,25.5,0.0,0.0,13.5,27.5,0.0,0.0,2.0,6.0,0.16666666666666666,0.07894736842105263,2.5,19.0,0.09090909090909091,0.018404907975460124,9,20,0.05221293085865796,0.02449526361113769,10.0,19.0,0.03076923076923077,0.017391304347826087,9.5,21.5,0.04,0.017241379310344827,13.0,27.0,0.0,0.0,19.5,35.0,0.04328523862375139,0.021660649819494584,0,0
David Swallow,4.0,13.0,0.0650887573964497,0.028720626631853787,7.5,18.0,0.05555555555555555,0.02072538860103627,4.0,14.5,0.06224066390041494,0.026041666666666668,5.5,17.0,0.06666666666666667,0.026143790849673203,13.5,27.0,0.0,0.0,2.0,7.0,0.3333333333333333,0.06666666666666667,3.0,3.0,0.12962962962962962,0.0673076923076923,12.5,25.0,0.0,0.0,13.5,27.0,0.0,0.0,4.5,18.5,0.07692307692307693,0.025,1.0,3.0,0.21739130434782608,0.09433962264150944,11.5,25.5,0.044444444444444446,0.02,7.0,8.5,0.06666666666666667,0.045454545454545456,18.0,33.5,0.0,0.0,21.0,40.5,0.16666666666666666,0.06896551724137931,4.5,12.0,0.07777777777777778,0.03167420814479638,14.5,30.0,0.03937007874015748,0.015432098765432098,7.5,19.5,0.050955414012738856,0.02099737532808399,18.0,35.0,14.0,30.0,0.0,0.0,13.5,28.0,0.0,0.0,19.5,37.5,0.0,0.0,12.5,25.5,0.0,0.0,3.0,7.0,0.2,0.06666666666666667,1.0,3.0,0.2222222222222222,0.10526315789473684,8.0,26.5,0.06060606060606061,0.012269938650306749,6,15,0.05812767693249031,0.02727011769208688,5.5,8.5,0.015384615384615385,0.008695652173913044,12.5,29.0,0.02,0.008620689655172414,1.5,1.5,0.42857142857142855,0.2,16.5,30.5,0.04384017758046615,0.021938350458206055,0,0
Jarrod Harbrow,6.0,16.5,0.05917159763313609,0.02610966057441253,7.5,18.0,0.05555555555555555,0.02072538860103627,5.5,16.5,0.058091286307053944,0.024305555555555556,18.0,39.5,0.016666666666666666,0.006535947712418301,13.5,27.0,0.0,0.0,13.0,28.0,0.0,0.0,19.5,39.0,0.0,0.0,12.5,25.0,0.0,0.0,13.5,27.0,0.0,0.0,11.0,29.5,0.038461538461538464,0.0125,16.0,32.0,0.0,0.0,11.5,25.5,0.044444444444444446,0.02,7.0,8.5,0.06666666666666667,0.045454545454545456,9.0,15.0,0.058823529411764705,0.034482758620689655,16.5,31.0,0.08333333333333333,0.034482758620689655,10.5,25.0,0.044444444444444446,0.01809954751131222,5.5,16.5,0.06299212598425197,0.024691358024691357,7.5,19.5,0.050955414012738856,0.02099737532808399,15.0,29.5,14.0,30.0,0.0,0.0,13.5,28.0,0.0,0.0,3.0,4.5,0.10526315789473684,0.05714285714285714,12.5,25.5,0.0,0.0,13.5,27.5,0.0,0.0,16.0,30.5,0.0,0.0,20.5,42.0,0.0,0.0,5,14,0.06016724454415664,0.02822696392689695,5.5,8.5,0.015384615384615385,0.008695652173913044,1.5,3.5,0.14,0.0603448275862069,13.0,27.0,0.0,0.0,7.5,15.5,0.04605993340732519,0.02304915301305193,0,0
Ben Ainsworth,3.0,9.5,0.07100591715976332,0.031331592689295036,17.0,33.5,0.027777777777777776,0.010362694300518135,5.5,16.5,0.058091286307053944,0.024305555555555556,11.0,27.0,0.05,0.0196078431372549,13.5,27.0,0.0,0.0,13.0,28.0,0.0,0.0,6.0,14.0,0.05555555555555555,0.028846153846153848,12.5,25.0,0.0,0.0,13.5,27.0,0.0,0.0,1.0,1.0,0.2692307692307692,0.0875,16.0,32.0,0.0,0.0,5.0,12.5,0.06666666666666667,0.03,7.0,8.5,0.06666666666666667,0.045454545454545456,9.0,15.0,0.058823529411764705,0.034482758620689655,7.0,12.5,0.0,0.0,4.5,12.0,0.07777777777777778,0.03167420814479638,8.5,22.0,0.05511811023622047,0.021604938271604937,10.5,24.0,0.044585987261146494,0.01837270341207349,20.0,38.0,3.5,10.0,0.16666666666666666,0.047619047619047616,13.5,28.0,0.0,0.0,12.5,23.5,0.02631578947368421,0.014285714285714285,12.5,25.5,0.0,0.0,13.5,27.5,0.0,0.0,16.0,30.5,0.0,0.0,15.0,35.5,0.030303030303030304,0.006134969325153374,2,3,0.09341219661431777,0.04382355755430102,18.5,40.5,0.07692307692307693,0.043478260869565216,5.0,10.0,0.1,0.04310344827586207,3.0,7.0,0.14285714285714285,0.06666666666666667,3.5,8.5,0.04827968923418424,0.024159955567897805,0,0
Brandon Ellis,8.0,19.5,0.05325443786982249,0.02349869451697128,7.5,18.0,0.05555555555555555,0.02072538860103627,7.5,19.5,0.05394190871369295,0.022569444444444444,5.5,17.0,0.06666666666666667,0.026143790849673203,13.5,27.0,0.0,0.0,13.0,28.0,0.0,0.0,3.0,3.0,0.12962962962962962,0.0673076923076923,12.5,25.0,0.0,0.0,13.5,27.0,0.0,0.0,18.5,40.5,0.0,0.0,16.0,32.0,0.0,0.0,11.5,25.5,0.044444444444444446,0.02,18.5,35.5,0.0,0.0,18.0,33.5,0.0,0.0,16.5,31.0,0.08333333333333333,0.034482758620689655,18.0,38.5,0.022222222222222223,0.00904977375565611,2.5,12.0,0.07086614173228346,0.027777777777777776,4.0,15.5,0.06369426751592357,0.026246719160104987,7.0,13.5,14.0,30.0,0.0,0.0,13.5,28.0,0.0,0.0,12.5,23.5,0.02631578947368421,0.014285714285714285,12.5,25.5,0.0,0.0,13.5,27.5,0.0,0.0,16.0,30.5,0.0,0.0,8.0,26.5,0.06060606060606061,0.012269938650306749,10,21,0.047521925351825416,0.022294517271074538,5.5,8.5,0.015384615384615385,0.008695652173913044,12.5,29.0,0.02,0.008620689655172414,13.0,27.0,0.0,0.0,3.5,8.5,0.04827968923418424,0.024159955567897805,0,0
Charlie Ballard,6.0,16.5,0.05917159763313609,0.02610966057441253,13.5,26.5,0.041666666666666664,0.015544041450777202,7.5,19.5,0.05394190871369295,0.022569444444444444,11.0,27.0,0.05,0.0196078431372549,13.5,27.0,0.0,0.0,13.0,28.0,0.0,0.0,19.5,39.0,0.0,0.0,12.5,25.0,0.0,0.0,13.5,27.0,0.0,0.0,18.5,40.5,0.0,0.0,6.0,11.0,0.08695652173913043,0.03773584905660377,5.0,12.5,0.06666666666666667,0.03,3.0,3.5,0.08888888888888889,0.06060606060606061,9.0,15.0,0.058823529411764705,0.034482758620689655,7.0,12.5,0.0,0.0,7.0,18.5,0.05555555555555555,0.02262443438914027,14.5,30.0,0.03937007874015748,0.015432098765432098,19.0,39.0,0.025477707006369428,0.010498687664041995,22.0,44.0,14.0,30.0,0.0,0.0,13.5,28.0,0.0,0.0,5.0,9.5,0.07894736842105263,0.04285714285714286,12.5,25.5,0.0,0.0,13.5,27.5,0.0,0.0,4.5,9.0,0.1111111111111111,0.05263157894736842,15.0,35.5,0.030303030303030304,0.006134969325153374,8,19,0.05323271466449113,0.024973686728542725,16.5,37.0,0.06153846153846154,0.034782608695652174,3.0,7.0,0.12,0.05172413793103448,13.0,27.0,0.0,0.0,7.5,15.5,0.04605993340732519,0.02304915301305193,0,0
Hugh Greenwood,11.5,27.5,0.04142011834319527,0.018276762402088774,7.5,18.0,0.05555555555555555,0.02072538860103627,10.0,24.0,0.04564315352697095,0.019097222222222224,21.0,43.0,0.0,0.0,13.5,27.0,0.0,0.0,13.0,28.0,0.0,0.0,1.0,1.0,0.2037037037037037,0.10576923076923077,12.5,25.0,0.0,0.0,13.5,27.0,0.0,0.0,4.5,18.5,0.07692307692307693,0.025,2.0,5.5,0.17391304347826086,0.07547169811320754,17.5,35.5,0.022222222222222223,0.01,3.0,3.5,0.08888888888888889,0.06060606060606061,2.5,4.0,0.11764705882352941,0.06896551724137931,16.5,31.0,0.08333333333333333,0.034482758620689655,2.0,8.0,0.08888888888888889,0.03619909502262444,19.5,40.5,0.015748031496062992,0.006172839506172839,10.5,24.0,0.044585987261146494,0.01837270341207349,11.5,23.5,14.0,30.0,0.0,0.0,13.5,28.0,0.0,0.0,12.5,23.5,0.02631578947368421,0.014285714285714285,12.5,25.5,0.0,0.0,1.0,2.5,0.4,0.13333333333333333,4.5,9.0,0.1111111111111111,0.05263157894736842,15.0,35.5,0.030303030303030304,0.006134969325153374,11,23,0.04670609830715888,0.02191177877715051,16.5,37.0,0.06153846153846154,0.034782608695652174,8.0,17.0,0.06,0.02586206896551724,1.5,1.5,0.42857142857142855,0.2,16.5,30.5,0.04384017758046615,0.021938350458206055,0,0
Samuel Collins,9.5,22.5,0.047337278106508875,0.020887728459530026,13.5,26.5,0.041666666666666664,0.015544041450777202,10.0,24.0,0.04564315352697095,0.019097222222222224,5.5,17.0,0.06666666666666667,0.026143790849673203,13.5,27.0,0.0,0.0,13.0,28.0,0.0,0.0,9.5,19.0,0.037037037037037035,0.019230769230769232,12.5,25.0,0.0,0.0,13.5,27.0,0.0,0.0,4.5,18.5,0.07692307692307693,0.025,8.5,16.5,0.043478260869565216,0.018867924528301886,11.5,25.5,0.044444444444444446,0.02,7.0,8.5,0.06666666666666667,0.045454545454545456,9.0,15.0,0.058823529411764705,0.034482758620689655,7.0,12.5,0.0,0.0,10.5,25.0,0.044444444444444446,0.01809954751131222,17.5,35.5,0.031496062992125984,0.012345679012345678,5.5,17.5,0.05732484076433121,0.023622047244094488,5.0,7.0,1.0,3.5,0.3333333333333333,0.09523809523809523,13.5,28.0,0.0,0.0,2.0,2.0,0.15789473684210525,0.08571428571428572,12.5,25.5,0.0,0.0,13.5,27.5,0.0,0.0,8.0,14.0,0.05555555555555555,0.02631578947368421,20.5,42.0,0.0,0.0,4,13,0.06159494187232307,0.028896756291263995,18.5,40.5,0.07692307692307693,0.043478260869565216,5.0,10.0,0.1,0.04310344827586207,13.0,27.0,0.0,0.0,1.0,2.5,0.05271920088790233,0.02638156067758956,0,0
