Player,Kicks OTR,Kicks BTR,Kicks OT%,Kicks BT%,Handballs OTR,Handballs BTR,Handballs OT%,Handballs BT%,Disposals OTR,Disposals BTR,Disposals OT%,Disposals BT%,Marks OTR,Marks BTR,Marks OT%,Marks BT%,Goals OTR,Goals BTR,Goals OT%,Goals BT%,Behinds OTR,Behinds BTR,Behinds OT%,Behinds BT%,Tackles OTR,Tackles BTR,Tackles OT%,Tackles BT%,Hitouts OTR,Hitouts BTR,Hitouts OT%,Hitouts BT%,Goal Assists OTR,Goal Assists BTR,Goal Assists OT%,Goal Assists BT%,Inside 50s OTR,Inside 50s BTR,Inside 50s OT%,Inside 50s BT%,Clearances OTR,Clearances BTR,Clearances OT%,Clearances BT%,Clangers OTR,Clangers BTR,Clangers OT%,Clangers BT%,Rebound 50s OTR,Rebound 50s BTR,Rebound 50s OT%,Rebound 50s BT%,Frees For OTR,Frees For BTR,Frees For OT%,Frees For BT%,Frees Agains OTR,Frees Agains BTR,Frees Agains OT%,Frees Agains BT%,Contested Possessions OTR,Contested Possessions BTR,Contested Possessions OT%,Contested Possessions BT%,Uncontested Possessions OTR,Uncontested Possessions BTR,Uncontested Possessions OT%,Uncontested Possessions BT%,Effective Disposals OTR,Effective Disposals BTR,Effective Disposals OT%,Effective Disposals BT%,Disposal Efficiency % OTR,Disposal Efficiency % BTR,Contested Marks OTR,Contested Marks BTR,Contested Marks OT%,Contested Marks BT%,Marks Inside 50 OTR,Marks Inside 50 BTR,Marks Inside 50 OT%,Marks Inside 50 BT%,One Percenters OTR,One Percenters BTR,One Percenters OT%,One Percenters BT%,Bounces OTR,Bounces BTR,Bounces OT%,Bounces BT%,Centre Clearances OTR,Centre Clearances BTR,Centre Clearances OT%,Centre Clearances BT%,Stoppage Clearances OTR,Stoppage Clearances BTR,Stoppage Clearances OT%,Stoppage Clearances BT%,Score Involvements OTR,Score Involvements BTR,Score Involvements OT%,Score Involvements BT%,Metres Gained OTR,Metres Gained BTR,Metres Gained OT%,Metres Gained BT%,Turnovers OTR,Turnovers BTR,Turnovers OT%,Turnovers BT%,Intercepts OTR,Intercepts BTR,Intercepts OT%,Intercepts BT%,Tackles Inside 50 OTR,Tackles Inside 50 BTR,Tackles Inside 50 OT%,Tackles Inside 50 BT%,Time On Ground % OTR,Time On Ground % BTR,Time On Ground % OT%,Time On Ground % BT%,Winloss,Brownlow Votes
Clayton Oliver,9.5,20.0,0.04678362573099415,0.02346041055718475,1.0,1.0,0.15517241379310345,0.07894736842105263,1.0,2.5,0.09059233449477352,0.04569420035149385,13.0,25.5,0.037037037037037035,0.01948051948051948,13.5,28.0,0.0,0.0,12.5,25.0,0.0,0.0,2.0,6.0,0.1111111111111111,0.04819277108433735,12.0,24.5,0.0,0.0,14.5,27.0,0.0,0.0,7.0,16.0,0.06666666666666667,0.02631578947368421,1.0,2.0,0.2608695652173913,0.11538461538461539,3.5,7.5,0.075,0.04,9.5,14.5,0.05128205128205128,0.03333333333333333,15.5,30.5,0.0,0.0,7.0,14.0,0.0,0.0,1.0,1.0,0.13793103448275862,0.07239819004524888,6.0,13.0,0.05917159763313609,0.029411764705882353,1.0,3.0,0.09047619047619047,0.045023696682464455,14.0,27.0,16.0,30.0,0.0,0.0,13.5,27.0,0.0,0.0,18.5,38.5,0.0,0.0,11.5,24.5,0.0,0.0,12.5,26.0,0.0,0.0,1.0,1.5,0.2857142857142857,0.15384615384615385,7.0,20.5,0.05555555555555555,0.02127659574468085,7,17,0.05297247281980107,0.02534307215582116,8.5,16.0,0.03225806451612903,0.015873015873015872,9.0,16.0,0.046875,0.023622047244094488,14.0,27.0,0.0,0.0,13.5,28.0,0.04446914952751529,0.022234574763757644,1,0
Steven May,2.0,3.0,0.08187134502923976,0.04105571847507331,3.5,8.0,0.06896551724137931,0.03508771929824561,2.5,4.5,0.07665505226480836,0.03866432337434095,1.0,1.0,0.1111111111111111,0.05844155844155844,13.5,28.0,0.0,0.0,12.5,25.0,0.0,0.0,14.0,28.5,0.027777777777777776,0.012048192771084338,12.0,24.5,0.0,0.0,14.5,27.0,0.0,0.0,20.0,41.0,0.0,0.0,17.0,33.5,0.0,0.0,17.0,30.0,0.025,0.013333333333333334,1.0,1.0,0.15384615384615385,0.1,15.5,30.5,0.0,0.0,7.0,14.0,0.0,0.0,5.0,8.0,0.06896551724137931,0.03619909502262444,5.0,10.5,0.0650887573964497,0.03235294117647059,3.5,5.5,0.08095238095238096,0.04028436018957346,8.5,19.5,2.0,4.0,0.16666666666666666,0.08695652173913043,13.5,27.0,0.0,0.0,3.0,3.5,0.13636363636363635,0.07894736842105263,11.5,24.5,0.0,0.0,12.5,26.0,0.0,0.0,16.5,33.0,0.0,0.0,7.0,20.5,0.05555555555555555,0.02127659574468085,3,8,0.07194078186444598,0.034417884019477644,17.0,34.5,0.06451612903225806,0.031746031746031744,1.0,1.0,0.1875,0.09448818897637795,14.0,27.0,0.0,0.0,3.0,3.0,0.0528071150639244,0.0264035575319622,1,2
Ed Langdon,1.0,1.0,0.0935672514619883,0.0469208211143695,7.5,14.0,0.05172413793103448,0.02631578947368421,2.5,4.5,0.07665505226480836,0.03866432337434095,2.0,2.0,0.09876543209876543,0.05194805194805195,13.5,28.0,0.0,0.0,12.5,25.0,0.0,0.0,4.0,11.0,0.08333333333333333,0.03614457831325301,12.0,24.5,0.0,0.0,14.5,27.0,0.0,0.0,7.0,16.0,0.06666666666666667,0.02631578947368421,17.0,33.5,0.0,0.0,17.0,30.0,0.025,0.013333333333333334,6.0,7.5,0.07692307692307693,0.05,5.0,10.5,0.1111111111111111,0.05,7.0,14.0,0.0,0.0,10.0,19.5,0.04310344827586207,0.02262443438914027,1.0,2.0,0.10059171597633136,0.05,3.5,5.5,0.08095238095238096,0.04028436018957346,8.5,19.5,6.5,11.0,0.08333333333333333,0.043478260869565216,13.5,27.0,0.0,0.0,11.0,23.5,0.022727272727272728,0.013157894736842105,11.5,24.5,0.0,0.0,12.5,26.0,0.0,0.0,16.5,33.0,0.0,0.0,15.0,34.0,0.027777777777777776,0.010638297872340425,1,2,0.10478834142956281,0.050132802124833994,17.0,34.5,0.06451612903225806,0.031746031746031744,12.5,24.5,0.03125,0.015748031496062992,14.0,27.0,0.0,0.0,6.5,10.5,0.048360200111172875,0.024180100055586438,1,0
Christian Salem,4.0,6.5,0.06432748538011696,0.03225806451612903,2.0,5.0,0.08620689655172414,0.043859649122807015,4.0,6.0,0.07317073170731707,0.03690685413005272,9.0,16.5,0.04938271604938271,0.025974025974025976,13.5,28.0,0.0,0.0,12.5,25.0,0.0,0.0,9.0,17.5,0.05555555555555555,0.024096385542168676,12.0,24.5,0.0,0.0,3.5,5.0,0.16666666666666666,0.1111111111111111,7.0,16.0,0.06666666666666667,0.02631578947368421,8.0,17.0,0.043478260869565216,0.019230769230769232,17.0,30.0,0.025,0.013333333333333334,2.0,2.0,0.1282051282051282,0.08333333333333333,15.5,30.5,0.0,0.0,7.0,14.0,0.0,0.0,10.0,19.5,0.04310344827586207,0.02262443438914027,2.0,3.0,0.08875739644970414,0.04411764705882353,2.0,4.0,0.08571428571428572,0.04265402843601896,5.0,8.0,16.0,30.0,0.0,0.0,13.5,27.0,0.0,0.0,11.0,23.5,0.022727272727272728,0.013157894736842105,11.5,24.5,0.0,0.0,12.5,26.0,0.0,0.0,7.5,14.5,0.047619047619047616,0.02564102564102564,7.0,20.5,0.05555555555555555,0.02127659574468085,6,14,0.06060606060606061,0.028995130588756086,8.5,16.0,0.03225806451612903,0.015873015873015872,6.5,12.0,0.0625,0.031496062992125984,14.0,27.0,0.0,0.0,11.0,19.0,0.04669260700389105,0.023346303501945526,1,0
Michael Hibberd,7.0,15.0,0.05263157894736842,0.026392961876832845,5.5,11.0,0.0603448275862069,0.03070175438596491,5.5,9.0,0.05574912891986063,0.028119507908611598,3.5,5.0,0.07407407407407407,0.03896103896103896,13.5,28.0,0.0,0.0,12.5,25.0,0.0,0.0,19.0,39.5,0.0,0.0,12.0,24.5,0.0,0.0,3.5,5.0,0.16666666666666666,0.1111111111111111,14.5,31.0,0.03333333333333333,0.013157894736842105,8.0,17.0,0.043478260869565216,0.019230769230769232,17.0,30.0,0.025,0.013333333333333334,3.5,3.5,0.10256410256410256,0.06666666666666667,15.5,30.5,0.0,0.0,7.0,14.0,0.0,0.0,16.0,29.5,0.02586206896551724,0.013574660633484163,4.0,6.0,0.07692307692307693,0.03823529411764706,6.5,15.5,0.05238095238095238,0.026066350710900472,15.5,29.5,16.0,30.0,0.0,0.0,13.5,27.0,0.0,0.0,6.0,11.5,0.045454545454545456,0.02631578947368421,11.5,24.5,0.0,0.0,12.5,26.0,0.0,0.0,7.5,14.5,0.047619047619047616,0.02564102564102564,15.0,34.0,0.027777777777777776,0.010638297872340425,4,10,0.06870229007633588,0.03286852589641434,2.0,4.5,0.016129032258064516,0.007936507936507936,12.5,24.5,0.03125,0.015748031496062992,14.0,27.0,0.0,0.0,17.0,36.0,0.0405780989438577,0.02028904947192885,1,0
Trent Rivers,4.0,6.5,0.06432748538011696,0.03225806451612903,10.0,18.0,0.04310344827586207,0.021929824561403508,5.5,9.0,0.05574912891986063,0.028119507908611598,3.5,5.0,0.07407407407407407,0.03896103896103896,13.5,28.0,0.0,0.0,12.5,25.0,0.0,0.0,14.0,28.5,0.027777777777777776,0.012048192771084338,12.0,24.5,0.0,0.0,14.5,27.0,0.0,0.0,14.5,31.0,0.03333333333333333,0.013157894736842105,17.0,33.5,0.0,0.0,9.0,17.0,0.05,0.02666666666666667,9.5,14.5,0.05128205128205128,0.03333333333333333,5.0,10.5,0.1111111111111111,0.05,7.0,14.0,0.0,0.0,18.5,35.5,0.017241379310344827,0.00904977375565611,3.0,4.0,0.08284023668639054,0.041176470588235294,6.5,15.5,0.05238095238095238,0.026066350710900472,15.5,29.5,6.5,11.0,0.08333333333333333,0.043478260869565216,13.5,27.0,0.0,0.0,18.5,38.5,0.0,0.0,11.5,24.5,0.0,0.0,12.5,26.0,0.0,0.0,16.5,33.0,0.0,0.0,15.0,34.0,0.027777777777777776,0.010638297872340425,13,26,0.0388619014573213,0.01859229747675963,17.0,34.5,0.06451612903225806,0.031746031746031744,6.5,12.0,0.0625,0.031496062992125984,14.0,27.0,0.0,0.0,9.5,15.5,0.04724847137298499,0.023624235686492495,1,0
Max Gawn,9.5,20.0,0.04678362573099415,0.02346041055718475,5.5,11.0,0.0603448275862069,0.03070175438596491,8.0,14.0,0.05226480836236934,0.026362038664323375,17.5,34.5,0.024691358024691357,0.012987012987012988,3.5,7.0,0.125,0.06666666666666667,12.5,25.0,0.0,0.0,9.0,17.5,0.05555555555555555,0.024096385542168676,1.0,1.0,1.0,0.4918032786885246,14.5,27.0,0.0,0.0,20.0,41.0,0.0,0.0,2.0,4.5,0.17391304347826086,0.07692307692307693,1.0,1.5,0.125,0.06666666666666667,3.5,3.5,0.10256410256410256,0.06666666666666667,5.0,10.5,0.1111111111111111,0.05,21.5,43.0,0.18181818181818182,0.1,3.0,4.0,0.09482758620689655,0.049773755656108594,17.5,36.0,0.023668639053254437,0.011764705882352941,12.0,26.5,0.0380952380952381,0.018957345971563982,21.0,41.0,16.0,30.0,0.0,0.0,2.5,6.0,0.25,0.09090909090909091,4.0,5.0,0.11363636363636363,0.06578947368421052,11.5,24.5,0.0,0.0,12.5,26.0,0.0,0.0,2.0,3.0,0.19047619047619047,0.10256410256410256,15.0,34.0,0.027777777777777776,0.010638297872340425,11,24,0.04071246819338423,0.019477644975652943,20.5,40.0,0.08064516129032258,0.03968253968253968,2.5,6.0,0.09375,0.047244094488188976,14.0,27.0,0.0,0.0,4.5,4.5,0.05225125069483046,0.02612562534741523,1,0
Christian Petracca,4.0,6.5,0.06432748538011696,0.03225806451612903,13.0,25.0,0.034482758620689655,0.017543859649122806,8.0,14.0,0.05226480836236934,0.026362038664323375,13.0,25.5,0.037037037037037035,0.01948051948051948,1.0,1.0,0.5,0.26666666666666666,1.5,4.0,0.5,0.14285714285714285,9.0,17.5,0.05555555555555555,0.024096385542168676,12.0,24.5,0.0,0.0,14.5,27.0,0.0,0.0,1.5,5.5,0.1,0.039473684210526314,3.5,6.5,0.13043478260869565,0.057692307692307696,9.0,17.0,0.05,0.02666666666666667,13.0,22.0,0.02564102564102564,0.016666666666666666,5.0,10.5,0.1111111111111111,0.05,21.5,43.0,0.18181818181818182,0.1,2.0,3.0,0.10344827586206896,0.05429864253393665,17.5,36.0,0.023668639053254437,0.011764705882352941,9.0,19.0,0.047619047619047616,0.023696682464454975,17.0,31.5,6.5,11.0,0.08333333333333333,0.043478260869565216,2.5,6.0,0.25,0.09090909090909091,6.0,11.5,0.045454545454545456,0.02631578947368421,11.5,24.5,0.0,0.0,1.5,5.5,0.5,0.07692307692307693,4.0,6.0,0.09523809523809523,0.05128205128205128,1.0,1.0,0.16666666666666666,0.06382978723404255,2,5,0.0777238029146426,0.03718459495351926,8.5,16.0,0.03225806451612903,0.015873015873015872,17.0,34.0,0.015625,0.007874015748031496,3.5,6.5,0.16666666666666666,0.08333333333333333,8.0,12.5,0.04780433574207893,0.023902167871039465,1,3
Joshua Wagner,6.0,11.0,0.05847953216374269,0.02932551319648094,10.0,18.0,0.04310344827586207,0.021929824561403508,8.0,14.0,0.05226480836236934,0.026362038664323375,6.0,10.0,0.06172839506172839,0.032467532467532464,13.5,28.0,0.0,0.0,12.5,25.0,0.0,0.0,19.0,39.5,0.0,0.0,12.0,24.5,0.0,0.0,14.5,27.0,0.0,0.0,20.0,41.0,0.0,0.0,8.0,17.0,0.043478260869565216,0.019230769230769232,17.0,30.0,0.025,0.013333333333333334,9.5,14.5,0.05128205128205128,0.03333333333333333,15.5,30.5,0.0,0.0,7.0,14.0,0.0,0.0,4.0,6.0,0.07758620689655173,0.04072398190045249,13.5,25.5,0.03550295857988166,0.01764705882352941,5.0,11.5,0.05714285714285714,0.02843601895734597,6.0,14.5,6.5,11.0,0.08333333333333333,0.043478260869565216,13.5,27.0,0.0,0.0,11.0,23.5,0.022727272727272728,0.013157894736842105,11.5,24.5,0.0,0.0,12.5,26.0,0.0,0.0,7.5,14.5,0.047619047619047616,0.02564102564102564,21.0,42.0,0.0,0.0,18,31,0.03446680545917187,0.016489597166888005,8.5,16.0,0.03225806451612903,0.015873015873015872,2.5,6.0,0.09375,0.047244094488188976,14.0,27.0,0.0,0.0,21.0,43.0,0.03557531962201223,0.017787659811006114,1,0
Nathan Jones,15.5,31.0,0.03508771929824561,0.017595307917888565,3.5,8.0,0.06896551724137931,0.03508771929824561,10.0,19.5,0.04878048780487805,0.02460456942003515,20.5,40.0,0.012345679012345678,0.006493506493506494,13.5,28.0,0.0,0.0,12.5,25.0,0.0,0.0,14.0,28.5,0.027777777777777776,0.012048192771084338,12.0,24.5,0.0,0.0,3.5,5.0,0.16666666666666666,0.1111111111111111,20.0,41.0,0.0,0.0,17.0,33.5,0.0,0.0,3.5,7.5,0.075,0.04,13.0,22.0,0.02564102564102564,0.016666666666666666,5.0,10.5,0.1111111111111111,0.05,7.0,14.0,0.0,0.0,7.0,13.5,0.05172413793103448,0.027149321266968326,12.0,21.5,0.04142011834319527,0.020588235294117647,12.0,26.5,0.0380952380952381,0.018957345971563982,18.5,37.5,16.0,30.0,0.0,0.0,13.5,27.0,0.0,0.0,18.5,38.5,0.0,0.0,11.5,24.5,0.0,0.0,12.5,26.0,0.0,0.0,16.5,33.0,0.0,0.0,7.0,20.5,0.05555555555555555,0.02127659574468085,22,44,0.007633587786259542,0.0036520584329349268,20.5,40.0,0.08064516129032258,0.03968253968253968,12.5,24.5,0.03125,0.015748031496062992,14.0,27.0,0.0,0.0,12.0,26.0,0.04502501389660923,0.022512506948304613,1,0
