Player,Kicks OTR,Kicks BTR,Kicks OT%,Kicks BT%,Handballs OTR,Handballs BTR,Handballs OT%,Handballs BT%,Disposals OTR,Disposals BTR,Disposals OT%,Disposals BT%,Marks OTR,Marks BTR,Marks OT%,Marks BT%,Goals OTR,Goals BTR,Goals OT%,Goals BT%,Behinds OTR,Behinds BTR,Behinds OT%,Behinds BT%,Tackles OTR,Tackles BTR,Tackles OT%,Tackles BT%,Hitouts OTR,Hitouts BTR,Hitouts OT%,Hitouts BT%,Goal Assists OTR,Goal Assists BTR,Goal Assists OT%,Goal Assists BT%,Inside 50s OTR,Inside 50s BTR,Inside 50s OT%,Inside 50s BT%,Clearances OTR,Clearances BTR,Clearances OT%,Clearances BT%,Clangers OTR,Clangers BTR,Clangers OT%,Clangers BT%,Rebound 50s OTR,Rebound 50s BTR,Rebound 50s OT%,Rebound 50s BT%,Frees For OTR,Frees For BTR,Frees For OT%,Frees For BT%,Frees Agains OTR,Frees Agains BTR,Frees Agains OT%,Frees Agains BT%,Contested Possessions OTR,Contested Possessions BTR,Contested Possessions OT%,Contested Possessions BT%,Uncontested Possessions OTR,Uncontested Possessions BTR,Uncontested Possessions OT%,Uncontested Possessions BT%,Effective Disposals OTR,Effective Disposals BTR,Effective Disposals OT%,Effective Disposals BT%,Disposal Efficiency % OTR,Disposal Efficiency % BTR,Contested Marks OTR,Contested Marks BTR,Contested Marks OT%,Contested Marks BT%,Marks Inside 50 OTR,Marks Inside 50 BTR,Marks Inside 50 OT%,Marks Inside 50 BT%,One Percenters OTR,One Percenters BTR,One Percenters OT%,One Percenters BT%,Bounces OTR,Bounces BTR,Bounces OT%,Bounces BT%,Centre Clearances OTR,Centre Clearances BTR,Centre Clearances OT%,Centre Clearances BT%,Stoppage Clearances OTR,Stoppage Clearances BTR,Stoppage Clearances OT%,Stoppage Clearances BT%,Score Involvements OTR,Score Involvements BTR,Score Involvements OT%,Score Involvements BT%,Metres Gained OTR,Metres Gained BTR,Metres Gained OT%,Metres Gained BT%,Turnovers OTR,Turnovers BTR,Turnovers OT%,Turnovers BT%,Intercepts OTR,Intercepts BTR,Intercepts OT%,Intercepts BT%,Tackles Inside 50 OTR,Tackles Inside 50 BTR,Tackles Inside 50 OT%,Tackles Inside 50 BT%,Time On Ground % OTR,Time On Ground % BTR,Time On Ground % OT%,Time On Ground % BT%,Winloss,Brownlow Votes
Andrew Gaff,3.0,7.0,0.07329842931937172,0.038461538461538464,2.0,7.0,0.09782608695652174,0.036885245901639344,1.0,5.5,0.0812720848056537,0.03782894736842105,5.0,6.5,0.07476635514018691,0.0427807486631016,14.0,26.5,0.0,0.0,13.0,26.5,0.0,0.0,6.0,13.5,0.07407407407407407,0.03076923076923077,12.5,24.5,0.0,0.0,14.5,28.0,0.0,0.0,13.0,24.5,0.03125,0.0136986301369863,9.0,17.5,0.041666666666666664,0.01818181818181818,6.5,9.0,0.07894736842105263,0.04285714285714286,2.0,4.0,0.11764705882352941,0.07142857142857142,8.0,13.0,0.06666666666666667,0.038461538461538464,17.0,31.5,0.09090909090909091,0.038461538461538464,2.0,5.5,0.07692307692307693,0.03864734299516908,1.5,5.5,0.08888888888888889,0.04092071611253197,1.0,4.5,0.09345794392523364,0.04424778761061947,7.0,11.5,16.5,29.5,0.0,0.0,13.5,26.5,0.0,0.0,6.0,11.5,0.06666666666666667,0.034482758620689655,12.0,24.0,0.0,0.0,14.0,27.5,0.0,0.0,6.5,14.0,0.07142857142857142,0.02702702702702703,17.0,37.5,0.0196078431372549,0.008,9,14.0,0.054161781946072685,0.02681058495821727,10.0,19.0,0.03773584905660377,0.01834862385321101,2.5,6.0,0.08928571428571429,0.045454545454545456,2.0,6.0,0.3333333333333333,0.09090909090909091,1.0,1.0,0.0556792873051225,0.027808676307007785,1,0
Jack Redden,9.0,16.5,0.05235602094240838,0.027472527472527472,1.0,6.0,0.11956521739130435,0.045081967213114756,2.0,7.5,0.07420494699646643,0.03453947368421053,11.0,16.5,0.04672897196261682,0.026737967914438502,14.0,26.5,0.0,0.0,13.0,26.5,0.0,0.0,1.0,5.0,0.14814814814814814,0.06153846153846154,12.5,24.5,0.0,0.0,14.5,28.0,0.0,0.0,7.0,15.0,0.0625,0.0273972602739726,3.5,8.5,0.125,0.05454545454545454,6.5,9.0,0.07894736842105263,0.04285714285714286,8.5,13.0,0.058823529411764705,0.03571428571428571,8.0,13.0,0.06666666666666667,0.038461538461538464,7.5,12.5,0.0,0.0,5.5,10.0,0.0673076923076923,0.033816425120772944,3.0,7.0,0.08333333333333333,0.03836317135549872,5.5,13.0,0.06542056074766354,0.030973451327433628,14.0,27.0,16.5,29.5,0.0,0.0,13.5,26.5,0.0,0.0,15.0,29.5,0.022222222222222223,0.011494252873563218,12.0,24.0,0.0,0.0,2.5,4.0,0.2,0.1111111111111111,6.5,14.0,0.07142857142857142,0.02702702702702703,6.5,19.0,0.058823529411764705,0.024,6,11.0,0.06025791324736225,0.029828226555246053,20.5,40.5,0.09433962264150944,0.045871559633027525,12.5,22.0,0.03571428571428571,0.01818181818181818,13.0,27.0,0.0,0.0,17.0,34.0,0.04287305122494432,0.021412680756395994,1,0
Shannon Hurn,1.0,3.0,0.08900523560209424,0.046703296703296704,14.0,31.5,0.03260869565217391,0.012295081967213115,3.5,10.0,0.0706713780918728,0.03289473684210526,1.0,2.0,0.11214953271028037,0.06417112299465241,14.0,26.5,0.0,0.0,13.0,26.5,0.0,0.0,11.5,22.5,0.037037037037037035,0.015384615384615385,12.5,24.5,0.0,0.0,14.5,28.0,0.0,0.0,13.0,24.5,0.03125,0.0136986301369863,16.5,32.0,0.0,0.0,13.5,27.0,0.02631578947368421,0.014285714285714285,8.5,13.0,0.058823529411764705,0.03571428571428571,8.0,13.0,0.06666666666666667,0.038461538461538464,7.5,12.5,0.0,0.0,17.5,32.0,0.028846153846153848,0.014492753623188406,5.0,10.0,0.07222222222222222,0.03324808184143223,2.5,6.5,0.08878504672897196,0.0420353982300885,2.5,3.5,8.0,10.5,0.058823529411764705,0.045454545454545456,13.5,26.5,0.0,0.0,20.0,40.0,0.0,0.0,12.0,24.0,0.0,0.0,14.0,27.5,0.0,0.0,16.0,31.0,0.0,0.0,11.0,29.0,0.0392156862745098,0.016,7,12.0,0.05838218053927315,0.028899721448467967,10.0,19.0,0.03773584905660377,0.01834862385321101,2.5,6.0,0.08928571428571429,0.045454545454545456,13.0,27.0,0.0,0.0,9.5,21.5,0.04621380846325167,0.023081201334816462,1,0
Bradley Sheppard,5.0,10.0,0.06806282722513089,0.03571428571428571,3.5,12.0,0.07608695652173914,0.028688524590163935,3.5,10.0,0.0706713780918728,0.03289473684210526,2.5,3.5,0.08411214953271028,0.0481283422459893,14.0,26.5,0.0,0.0,13.0,26.5,0.0,0.0,19.0,37.0,0.0,0.0,12.5,24.5,0.0,0.0,4.5,7.0,0.125,0.07692307692307693,13.0,24.5,0.03125,0.0136986301369863,9.0,17.5,0.041666666666666664,0.01818181818181818,19.0,38.5,0.0,0.0,4.5,8.0,0.08823529411764706,0.05357142857142857,8.0,13.0,0.06666666666666667,0.038461538461538464,7.5,12.5,0.0,0.0,12.5,23.5,0.038461538461538464,0.01932367149758454,1.5,5.5,0.08888888888888889,0.04092071611253197,2.5,6.5,0.08878504672897196,0.0420353982300885,2.5,3.5,16.5,29.5,0.0,0.0,13.5,26.5,0.0,0.0,3.0,6.0,0.08888888888888889,0.04597701149425287,12.0,24.0,0.0,0.0,14.0,27.5,0.0,0.0,6.5,14.0,0.07142857142857142,0.02702702702702703,11.0,29.0,0.0392156862745098,0.016,5,10.0,0.06072684642438453,0.030060352831940574,10.0,19.0,0.03773584905660377,0.01834862385321101,8.5,15.0,0.05357142857142857,0.02727272727272727,13.0,27.0,0.0,0.0,3.5,3.5,0.053452115812917596,0.026696329254727477,1,0
Liam Duggan,6.5,12.0,0.06282722513089005,0.03296703296703297,8.0,22.5,0.05434782608695652,0.020491803278688523,5.0,12.0,0.06007067137809187,0.027960526315789474,5.0,6.5,0.07476635514018691,0.0427807486631016,14.0,26.5,0.0,0.0,13.0,26.5,0.0,0.0,11.5,22.5,0.037037037037037035,0.015384615384615385,12.5,24.5,0.0,0.0,14.5,28.0,0.0,0.0,19.5,37.0,0.0,0.0,16.5,32.0,0.0,0.0,19.0,38.5,0.0,0.0,2.0,4.0,0.11764705882352941,0.07142857142857142,17.5,32.5,0.0,0.0,7.5,12.5,0.0,0.0,17.5,32.0,0.028846153846153848,0.014492753623188406,4.0,8.0,0.07777777777777778,0.03580562659846547,4.0,9.0,0.07476635514018691,0.035398230088495575,4.0,5.0,16.5,29.5,0.0,0.0,13.5,26.5,0.0,0.0,6.0,11.5,0.06666666666666667,0.034482758620689655,12.0,24.0,0.0,0.0,14.0,27.5,0.0,0.0,16.0,31.0,0.0,0.0,11.0,29.0,0.0392156862745098,0.016,12,19.5,0.04712778429073857,0.023328690807799445,10.0,19.0,0.03773584905660377,0.01834862385321101,5.0,9.5,0.07142857142857142,0.03636363636363636,13.0,27.0,0.0,0.0,9.5,21.5,0.04621380846325167,0.023081201334816462,1,0
Jeremy McGovern,3.0,7.0,0.07329842931937172,0.038461538461538464,18.0,36.5,0.021739130434782608,0.00819672131147541,6.0,13.5,0.05653710247349823,0.02631578947368421,7.0,9.5,0.06542056074766354,0.0374331550802139,14.0,26.5,0.0,0.0,13.0,26.5,0.0,0.0,19.0,37.0,0.0,0.0,12.5,24.5,0.0,0.0,14.5,28.0,0.0,0.0,19.5,37.0,0.0,0.0,16.5,32.0,0.0,0.0,13.5,27.0,0.02631578947368421,0.014285714285714285,4.5,8.0,0.08823529411764706,0.05357142857142857,2.0,3.5,0.13333333333333333,0.07692307692307693,7.5,12.5,0.0,0.0,5.5,10.0,0.0673076923076923,0.033816425120772944,7.0,14.0,0.06111111111111111,0.028132992327365727,7.0,16.0,0.056074766355140186,0.02654867256637168,12.5,23.5,8.0,10.5,0.058823529411764705,0.045454545454545456,13.5,26.5,0.0,0.0,6.0,11.5,0.06666666666666667,0.034482758620689655,12.0,24.0,0.0,0.0,14.0,27.5,0.0,0.0,16.0,31.0,0.0,0.0,21.5,43.0,0.0,0.0,11,17.0,0.048300117233294255,0.023909006499535746,15.5,30.0,0.05660377358490566,0.027522935779816515,1.0,3.5,0.14285714285714285,0.07272727272727272,13.0,27.0,0.0,0.0,9.5,21.5,0.04621380846325167,0.023081201334816462,1,0
Luke Shuey,10.0,18.0,0.04712041884816754,0.024725274725274724,5.5,18.0,0.06521739130434782,0.02459016393442623,7.5,16.0,0.053003533568904596,0.024671052631578948,20.5,38.5,0.009345794392523364,0.0053475935828877,14.0,26.5,0.0,0.0,13.0,26.5,0.0,0.0,3.0,9.5,0.1111111111111111,0.046153846153846156,12.5,24.5,0.0,0.0,4.5,7.0,0.125,0.07692307692307693,1.0,3.0,0.15625,0.0684931506849315,1.0,3.0,0.20833333333333334,0.09090909090909091,1.5,2.0,0.10526315789473684,0.05714285714285714,19.0,34.0,0.0,0.0,17.5,32.5,0.0,0.0,17.0,31.5,0.09090909090909091,0.038461538461538464,2.0,5.5,0.07692307692307693,0.03864734299516908,13.5,25.0,0.03888888888888889,0.017902813299232736,10.5,24.5,0.037383177570093455,0.017699115044247787,19.5,35.5,16.5,29.5,0.0,0.0,13.5,26.5,0.0,0.0,15.0,29.5,0.022222222222222223,0.011494252873563218,1.0,2.0,1.0,0.3333333333333333,2.5,4.0,0.2,0.1111111111111111,1.5,5.0,0.21428571428571427,0.08108108108108109,6.5,19.0,0.058823529411764705,0.024,1,4.0,0.09026963657678781,0.04468430826369545,20.5,40.5,0.09433962264150944,0.045871559633027525,8.5,15.0,0.05357142857142857,0.02727272727272727,13.0,27.0,0.0,0.0,20.0,41.0,0.036191536748329624,0.018075639599555063,1,0
Josh Rotham,3.0,7.0,0.07329842931937172,0.038461538461538464,20.5,41.0,0.010869565217391304,0.004098360655737705,7.5,16.0,0.053003533568904596,0.024671052631578948,2.5,3.5,0.08411214953271028,0.0481283422459893,14.0,26.5,0.0,0.0,13.0,26.5,0.0,0.0,19.0,37.0,0.0,0.0,12.5,24.5,0.0,0.0,14.5,28.0,0.0,0.0,19.5,37.0,0.0,0.0,16.5,32.0,0.0,0.0,19.0,38.5,0.0,0.0,2.0,4.0,0.11764705882352941,0.07142857142857142,8.0,13.0,0.06666666666666667,0.038461538461538464,7.5,12.5,0.0,0.0,20.5,39.5,0.019230769230769232,0.00966183574879227,6.0,12.5,0.06666666666666667,0.030690537084398978,5.5,13.0,0.06542056074766354,0.030973451327433628,5.0,6.0,16.5,29.5,0.0,0.0,13.5,26.5,0.0,0.0,3.0,6.0,0.08888888888888889,0.04597701149425287,12.0,24.0,0.0,0.0,14.0,27.5,0.0,0.0,16.0,31.0,0.0,0.0,21.5,43.0,0.0,0.0,10,16.0,0.04970691676436108,0.02460538532961931,10.0,19.0,0.03773584905660377,0.01834862385321101,5.0,9.5,0.07142857142857142,0.03636363636363636,13.0,27.0,0.0,0.0,16.0,30.0,0.044543429844097995,0.02224694104560623,1,0
Liam Ryan,6.5,12.0,0.06282722513089005,0.03296703296703297,18.0,36.5,0.021739130434782608,0.00819672131147541,9.0,18.5,0.04946996466431095,0.023026315789473683,5.0,6.5,0.07476635514018691,0.0427807486631016,1.0,1.5,0.4444444444444444,0.26666666666666666,2.5,6.5,0.25,0.07692307692307693,11.5,22.5,0.037037037037037035,0.015384615384615385,12.5,24.5,0.0,0.0,14.5,28.0,0.0,0.0,3.5,8.5,0.09375,0.0410958904109589,16.5,32.0,0.0,0.0,6.5,9.0,0.07894736842105263,0.04285714285714286,19.0,34.0,0.0,0.0,8.0,13.0,0.06666666666666667,0.038461538461538464,7.5,12.5,0.0,0.0,12.5,23.5,0.038461538461538464,0.01932367149758454,8.5,18.5,0.05,0.023017902813299233,10.5,24.5,0.037383177570093455,0.017699115044247787,18.0,34.0,8.0,10.5,0.058823529411764705,0.045454545454545456,1.0,1.0,0.5555555555555556,0.29411764705882354,10.0,19.0,0.044444444444444446,0.022988505747126436,12.0,24.0,0.0,0.0,14.0,27.5,0.0,0.0,16.0,31.0,0.0,0.0,1.5,3.0,0.11764705882352941,0.048,2,6.0,0.08182883939038688,0.040506035283194054,20.5,40.5,0.09433962264150944,0.045871559633027525,17.5,30.5,0.017857142857142856,0.00909090909090909,13.0,27.0,0.0,0.0,3.5,3.5,0.053452115812917596,0.026696329254727477,1,0
Tim Kelly,11.0,19.0,0.041884816753926704,0.02197802197802198,8.0,22.5,0.05434782608695652,0.020491803278688523,10.0,20.0,0.045936395759717315,0.02138157894736842,20.5,38.5,0.009345794392523364,0.0053475935828877,14.0,26.5,0.0,0.0,13.0,26.5,0.0,0.0,11.5,22.5,0.037037037037037035,0.015384615384615385,12.5,24.5,0.0,0.0,1.5,1.5,0.25,0.15384615384615385,7.0,15.0,0.0625,0.0273972602739726,16.5,32.0,0.0,0.0,6.5,9.0,0.07894736842105263,0.04285714285714286,8.5,13.0,0.058823529411764705,0.03571428571428571,17.5,32.5,0.0,0.0,17.0,31.5,0.09090909090909091,0.038461538461538464,9.0,17.0,0.04807692307692308,0.024154589371980676,11.0,21.5,0.044444444444444446,0.020460358056265986,14.5,29.0,0.03271028037383177,0.015486725663716814,19.5,35.5,16.5,29.5,0.0,0.0,13.5,26.5,0.0,0.0,15.0,29.5,0.022222222222222223,0.011494252873563218,12.0,24.0,0.0,0.0,14.0,27.5,0.0,0.0,16.0,31.0,0.0,0.0,6.5,19.0,0.058823529411764705,0.024,8,13.0,0.05627198124267292,0.027855153203342618,17.5,36.0,0.07547169811320754,0.03669724770642202,12.5,22.0,0.03571428571428571,0.01818181818181818,13.0,27.0,0.0,0.0,13.0,25.5,0.045657015590200446,0.022803114571746386,1,1
