Player,Kicks OTR,Kicks BTR,Kicks OT%,Kicks BT%,Handballs OTR,Handballs BTR,Handballs OT%,Handballs BT%,Disposals OTR,Disposals BTR,Disposals OT%,Disposals BT%,Marks OTR,Marks BTR,Marks OT%,Marks BT%,Goals OTR,Goals BTR,Goals OT%,Goals BT%,Behinds OTR,Behinds BTR,Behinds OT%,Behinds BT%,Tackles OTR,Tackles BTR,Tackles OT%,Tackles BT%,Hitouts OTR,Hitouts BTR,Hitouts OT%,Hitouts BT%,Goal Assists OTR,Goal Assists BTR,Goal Assists OT%,Goal Assists BT%,Inside 50s OTR,Inside 50s BTR,Inside 50s OT%,Inside 50s BT%,Clearances OTR,Clearances BTR,Clearances OT%,Clearances BT%,Clangers OTR,Clangers BTR,Clangers OT%,Clangers BT%,Rebound 50s OTR,Rebound 50s BTR,Rebound 50s OT%,Rebound 50s BT%,Frees For OTR,Frees For BTR,Frees For OT%,Frees For BT%,Frees Agains OTR,Frees Agains BTR,Frees Agains OT%,Frees Agains BT%,Contested Possessions OTR,Contested Possessions BTR,Contested Possessions OT%,Contested Possessions BT%,Uncontested Possessions OTR,Uncontested Possessions BTR,Uncontested Possessions OT%,Uncontested Possessions BT%,Effective Disposals OTR,Effective Disposals BTR,Effective Disposals OT%,Effective Disposals BT%,Disposal Efficiency % OTR,Disposal Efficiency % BTR,Contested Marks OTR,Contested Marks BTR,Contested Marks OT%,Contested Marks BT%,Marks Inside 50 OTR,Marks Inside 50 BTR,Marks Inside 50 OT%,Marks Inside 50 BT%,One Percenters OTR,One Percenters BTR,One Percenters OT%,One Percenters BT%,Bounces OTR,Bounces BTR,Bounces OT%,Bounces BT%,Centre Clearances OTR,Centre Clearances BTR,Centre Clearances OT%,Centre Clearances BT%,Stoppage Clearances OTR,Stoppage Clearances BTR,Stoppage Clearances OT%,Stoppage Clearances BT%,Score Involvements OTR,Score Involvements BTR,Score Involvements OT%,Score Involvements BT%,Metres Gained OTR,Metres Gained BTR,Metres Gained OT%,Metres Gained BT%,Turnovers OTR,Turnovers BTR,Turnovers OT%,Turnovers BT%,Intercepts OTR,Intercepts BTR,Intercepts OT%,Intercepts BT%,Tackles Inside 50 OTR,Tackles Inside 50 BTR,Tackles Inside 50 OT%,Tackles Inside 50 BT%,Time On Ground % OTR,Time On Ground % BTR,Time On Ground % OT%,Time On Ground % BT%,Winloss,Brownlow Votes
Jack Lukosius,1.0,4.0,0.08875739644970414,0.03968253968253968,13.0,28.0,0.04,0.016736401673640166,1.0,8.0,0.07063197026022305,0.030794165316045383,8.0,19.0,0.056338028169014086,0.024390243902439025,13.5,28.0,0.0,0.0,4.5,7.5,0.125,0.07142857142857142,7.5,17.0,0.05263157894736842,0.023809523809523808,12.5,25.0,0.0,0.0,12.5,27.0,0.0,0.0,4.5,10.5,0.07692307692307693,0.03571428571428571,16.0,33.0,0.0,0.0,6.0,12.5,0.06666666666666668,0.03296703296703297,2.5,5.0,0.14285714285714285,0.07246376811594203,16.0,32.5,0.0,0.0,6.5,14.0,0.0,0.0,17.0,36.0,0.027027027027027032,0.012396694214876032,6.0,15.0,0.06666666666666668,0.0273224043715847,1.5,9.5,0.07514450867052024,0.030303030303030307,9.0,22.0,5.0,10.0,0.1111111111111111,0.05263157894736842,14.5,29.0,0.0,0.0,12.5,28.0,0.028571428571428567,0.011627906976744186,3.0,5.0,0.2,0.1111111111111111,13.0,27.0,0.0,0.0,15.5,32.0,0.0,0.0,2.0,4.5,0.09090909090909093,0.04166666666666666,1,1.0,0.12561247216035634,0.06085455330168321,21.5,42.5,0.10606060606060606,0.05147058823529412,8.0,13.5,0.057142857142857134,0.029411764705882356,14.0,29.5,0.0,0.0,7.5,19.5,0.04669260700389105,0.02333981661572659,0,0
Wil Powell,6.0,16.0,0.059171597633136085,0.026455026455026454,3.5,12.5,0.07,0.029288702928870293,2.0,10.0,0.06319702602230483,0.02755267423014587,3.5,11.5,0.07042253521126761,0.03048780487804878,13.5,28.0,0.0,0.0,15.0,28.0,0.0,0.0,14.0,29.0,0.02631578947368421,0.011904761904761904,12.5,25.0,0.0,0.0,12.5,27.0,0.0,0.0,13.0,28.0,0.02564102564102564,0.011904761904761904,16.0,33.0,0.0,0.0,1.0,1.0,0.13333333333333333,0.06593406593406594,1.0,2.0,0.17142857142857146,0.08695652173913042,5.5,13.0,0.1,0.037037037037037035,19.0,39.5,0.1176470588235294,0.07407407407407407,7.0,18.0,0.054054054054054064,0.02479338842975207,3.0,11.5,0.07333333333333332,0.030054644808743168,7.0,22.0,0.05202312138728324,0.02097902097902098,17.0,38.0,5.0,10.0,0.1111111111111111,0.05263157894736842,14.5,29.0,0.0,0.0,12.5,28.0,0.028571428571428567,0.011627906976744186,13.0,25.5,0.0,0.0,13.0,27.0,0.0,0.0,15.5,32.0,0.0,0.0,17.5,36.5,0.01818181818181818,0.008333333333333333,11,22.0,0.04365256124721604,0.02114803625377644,21.5,42.5,0.10606060606060606,0.05147058823529412,8.0,13.5,0.057142857142857134,0.029411764705882356,14.0,29.5,0.0,0.0,17.0,37.5,0.042245692051139525,0.021116976938038344,0,0
Brandon Ellis,9.0,20.0,0.05325443786982249,0.023809523809523808,3.5,12.5,0.07,0.029288702928870293,3.0,12.0,0.05947955390334572,0.02593192868719611,3.5,11.5,0.07042253521126761,0.03048780487804878,13.5,28.0,0.0,0.0,15.0,28.0,0.0,0.0,3.5,9.0,0.07894736842105263,0.03571428571428571,12.5,25.0,0.0,0.0,12.5,27.0,0.0,0.0,4.5,10.5,0.07692307692307693,0.03571428571428571,16.0,33.0,0.0,0.0,16.5,32.5,0.022222222222222227,0.01098901098901099,4.0,8.5,0.08571428571428573,0.043478260869565216,5.5,13.0,0.1,0.037037037037037035,15.0,32.0,0.05882352941176471,0.037037037037037035,11.5,24.5,0.045045045045045036,0.02066115702479339,3.0,11.5,0.07333333333333332,0.030054644808743168,1.5,9.5,0.07514450867052024,0.030303030303030307,4.0,10.0,16.0,30.5,0.0,0.0,14.5,29.0,0.0,0.0,12.5,28.0,0.028571428571428567,0.011627906976744186,1.5,2.0,0.4,0.2222222222222222,13.0,27.0,0.0,0.0,15.5,32.0,0.0,0.0,2.0,4.5,0.09090909090909093,0.04166666666666666,6,15.0,0.05300668151447661,0.0256797583081571,8.0,14.0,0.030303030303030307,0.014705882352941175,3.5,6.5,0.08571428571428573,0.04411764705882353,14.0,29.5,0.0,0.0,5.5,17.0,0.04724847137298499,0.023617671575437617,0,0
Touk Miller,3.5,12.0,0.0650887573964497,0.0291005291005291,13.0,28.0,0.04,0.016736401673640166,4.5,15.5,0.055762081784386616,0.024311183144246355,16.5,33.5,0.028169014084507043,0.012195121951219513,13.5,28.0,0.0,0.0,15.0,28.0,0.0,0.0,2.0,3.0,0.15789473684210525,0.07142857142857142,12.5,25.0,0.0,0.0,12.5,27.0,0.0,0.0,4.5,10.5,0.07692307692307693,0.03571428571428571,7.0,16.5,0.05,0.02083333333333333,16.5,32.5,0.022222222222222227,0.01098901098901099,18.0,35.0,0.0,0.0,5.5,13.0,0.1,0.037037037037037035,6.5,14.0,0.0,0.0,11.5,24.5,0.045045045045045036,0.02066115702479339,6.0,15.0,0.06666666666666668,0.0273224043715847,11.5,27.0,0.04624277456647399,0.018648018648018648,15.5,36.5,16.0,30.5,0.0,0.0,14.5,29.0,0.0,0.0,12.5,28.0,0.028571428571428567,0.011627906976744186,13.0,25.5,0.0,0.0,13.0,27.0,0.0,0.0,6.5,15.0,0.07142857142857142,0.030303030303030307,13.0,28.0,0.03636363636363636,0.016666666666666666,3,8.0,0.07594654788418709,0.03679326715580492,18.5,38.0,0.07575757575757576,0.036764705882352935,13.0,27.0,0.028571428571428567,0.014705882352941175,3.0,8.5,0.2,0.0625,13.0,28.0,0.04446914952751529,0.02222839677688247,0,0
Noah Anderson,17.0,35.0,0.02958579881656805,0.013227513227513229,1.0,5.5,0.1,0.04184100418410042,4.5,15.5,0.055762081784386616,0.024311183144246355,16.5,33.5,0.028169014084507043,0.012195121951219513,13.5,28.0,0.0,0.0,15.0,28.0,0.0,0.0,7.5,17.0,0.05263157894736842,0.023809523809523808,12.5,25.0,0.0,0.0,12.5,27.0,0.0,0.0,8.5,18.5,0.05128205128205128,0.023809523809523808,3.0,7.0,0.15,0.0625,10.5,21.5,0.04444444444444445,0.02197802197802198,18.0,35.0,0.0,0.0,16.0,32.5,0.0,0.0,6.5,14.0,0.0,0.0,3.0,6.5,0.08108108108108109,0.0371900826446281,11.5,27.5,0.04,0.016393442622950817,7.0,22.0,0.05202312138728324,0.02097902097902098,12.0,30.5,5.0,10.0,0.1111111111111111,0.05263157894736842,4.5,9.0,0.1111111111111111,0.05263157894736842,3.0,7.5,0.11428571428571427,0.04651162790697674,13.0,25.5,0.0,0.0,13.0,27.0,0.0,0.0,1.5,2.5,0.21428571428571427,0.09090909090909093,9.5,20.0,0.054545454545454536,0.025,15,29.0,0.03830734966592428,0.01855848079413034,16.0,31.0,0.060606060606060615,0.029411764705882356,13.0,27.0,0.028571428571428567,0.014705882352941175,14.0,29.5,0.0,0.0,19.5,40.5,0.04113396331295164,0.020561267018616283,0,0
David Swallow,9.0,20.0,0.05325443786982249,0.023809523809523808,7.5,21.0,0.05,0.02092050209205021,8.0,20.5,0.05204460966542751,0.0226904376012966,8.0,19.0,0.056338028169014086,0.024390243902439025,2.5,7.0,0.25,0.07692307692307693,4.5,7.5,0.125,0.07142857142857142,7.5,17.0,0.05263157894736842,0.023809523809523808,12.5,25.0,0.0,0.0,12.5,27.0,0.0,0.0,8.5,18.5,0.05128205128205128,0.023809523809523808,2.0,4.0,0.2,0.08333333333333333,2.5,5.0,0.08888888888888889,0.04395604395604396,8.0,15.0,0.057142857142857134,0.028985507246376805,5.5,13.0,0.1,0.037037037037037035,21.5,43.5,0.17647058823529413,0.1111111111111111,4.0,9.0,0.07207207207207207,0.033057851239669415,11.5,27.5,0.04,0.016393442622950817,5.0,19.0,0.05780346820809248,0.023310023310023312,7.0,19.0,16.0,30.5,0.0,0.0,14.5,29.0,0.0,0.0,19.5,40.5,0.0,0.0,13.0,25.5,0.0,0.0,2.0,3.5,0.3333333333333333,0.13333333333333333,3.5,7.5,0.14285714285714285,0.060606060606060615,5.5,11.0,0.07272727272727272,0.03333333333333333,8,17.0,0.050556792873051225,0.024492878722485973,8.0,14.0,0.030303030303030307,0.014705882352941175,17.0,35.5,0.014285714285714284,0.007352941176470587,3.0,8.5,0.2,0.0625,18.0,39.0,0.04168982768204558,0.020839121978327317,0,0
Hugh Greenwood,9.0,20.0,0.05325443786982249,0.023809523809523808,7.5,21.0,0.05,0.02092050209205021,8.0,20.5,0.05204460966542751,0.0226904376012966,16.5,33.5,0.028169014084507043,0.012195121951219513,13.5,28.0,0.0,0.0,15.0,28.0,0.0,0.0,20.0,40.0,0.0,0.0,12.5,25.0,0.0,0.0,12.5,27.0,0.0,0.0,13.0,28.0,0.02564102564102564,0.011904761904761904,1.0,1.0,0.3,0.125,16.5,32.5,0.022222222222222227,0.01098901098901099,18.0,35.0,0.0,0.0,16.0,32.5,0.0,0.0,6.5,14.0,0.0,0.0,1.5,3.0,0.09009009009009007,0.04132231404958678,18.0,36.5,0.02666666666666667,0.01092896174863388,11.5,27.0,0.04624277456647399,0.018648018648018648,13.5,33.5,16.0,30.5,0.0,0.0,14.5,29.0,0.0,0.0,12.5,28.0,0.028571428571428567,0.011627906976744186,13.0,25.5,0.0,0.0,1.0,1.5,0.5,0.2,1.5,2.5,0.21428571428571427,0.09090909090909093,9.5,20.0,0.054545454545454536,0.025,9,19.0,0.04476614699331848,0.02168752697453604,12.5,21.0,0.045454545454545456,0.02205882352941177,17.0,35.5,0.014285714285714284,0.007352941176470587,14.0,29.5,0.0,0.0,22.0,43.0,0.03835464146748194,0.019171992220061128,0,0
Darcy Macpherson,6.0,16.0,0.059171597633136085,0.026455026455026454,13.0,28.0,0.04,0.016736401673640166,8.0,20.5,0.05204460966542751,0.0226904376012966,8.0,19.0,0.056338028169014086,0.024390243902439025,13.5,28.0,0.0,0.0,15.0,28.0,0.0,0.0,14.0,29.0,0.02631578947368421,0.011904761904761904,12.5,25.0,0.0,0.0,1.5,5.5,0.5,0.1,1.5,1.5,0.1794871794871795,0.08333333333333333,7.0,16.5,0.05,0.02083333333333333,16.5,32.5,0.022222222222222227,0.01098901098901099,18.0,35.0,0.0,0.0,5.5,13.0,0.1,0.037037037037037035,15.0,32.0,0.05882352941176471,0.037037037037037035,19.0,39.5,0.018018018018018014,0.008264462809917356,3.0,11.5,0.07333333333333332,0.030054644808743168,3.5,16.0,0.06358381502890173,0.02564102564102564,5.0,13.5,16.0,30.5,0.0,0.0,14.5,29.0,0.0,0.0,19.5,40.5,0.0,0.0,13.0,25.5,0.0,0.0,13.0,27.0,0.0,0.0,6.5,15.0,0.07142857142857142,0.030303030303030307,5.5,11.0,0.07272727272727272,0.03333333333333333,7,16.0,0.052115812917594664,0.025248165731549414,12.5,21.0,0.045454545454545456,0.02205882352941177,17.0,35.5,0.014285714285714284,0.007352941176470587,3.0,8.5,0.2,0.0625,19.5,40.5,0.04113396331295164,0.020561267018616283,0,0
Ben Ainsworth,2.0,9.0,0.07100591715976333,0.031746031746031744,20.5,39.0,0.02,0.008368200836820083,8.0,20.5,0.05204460966542751,0.0226904376012966,1.0,2.0,0.1267605633802817,0.054878048780487805,2.5,7.0,0.25,0.07692307692307693,4.5,7.5,0.125,0.07142857142857142,14.0,29.0,0.02631578947368421,0.011904761904761904,12.5,25.0,0.0,0.0,12.5,27.0,0.0,0.0,1.5,1.5,0.1794871794871795,0.08333333333333333,16.0,33.0,0.0,0.0,16.5,32.5,0.022222222222222227,0.01098901098901099,18.0,35.0,0.0,0.0,16.0,32.5,0.0,0.0,6.5,14.0,0.0,0.0,19.0,39.5,0.018018018018018014,0.008264462809917356,1.0,8.5,0.08,0.032786885245901634,15.5,32.0,0.04046242774566474,0.016317016317016316,18.5,39.5,5.0,10.0,0.1111111111111111,0.05263157894736842,1.0,1.5,0.3333333333333333,0.15789473684210525,19.5,40.5,0.0,0.0,13.0,25.5,0.0,0.0,13.0,27.0,0.0,0.0,15.5,32.0,0.0,0.0,2.0,4.5,0.09090909090909093,0.04166666666666666,2,6.0,0.08485523385300668,0.04110919292188174,8.0,14.0,0.030303030303030307,0.014705882352941175,20.5,42.0,0.0,0.0,14.0,29.5,0.0,0.0,10.0,24.5,0.045580878265703166,0.02278410669630453,0,0
Jack Bowes,3.5,12.0,0.0650887573964497,0.0291005291005291,18.0,34.5,0.03,0.012552301255230124,8.0,20.5,0.05204460966542751,0.0226904376012966,12.5,27.0,0.04225352112676056,0.018292682926829267,13.5,28.0,0.0,0.0,15.0,28.0,0.0,0.0,3.5,9.0,0.07894736842105263,0.03571428571428571,12.5,25.0,0.0,0.0,12.5,27.0,0.0,0.0,13.0,28.0,0.02564102564102564,0.011904761904761904,16.0,33.0,0.0,0.0,10.5,21.5,0.04444444444444445,0.02197802197802198,2.5,5.0,0.14285714285714285,0.07246376811594203,16.0,32.5,0.0,0.0,15.0,32.0,0.05882352941176471,0.037037037037037035,1.5,3.0,0.09009009009009007,0.04132231404958678,18.0,36.5,0.02666666666666667,0.01092896174863388,11.5,27.0,0.04624277456647399,0.018648018648018648,13.5,33.5,5.0,10.0,0.1111111111111111,0.05263157894736842,14.5,29.0,0.0,0.0,4.5,10.5,0.08571428571428573,0.034883720930232565,13.0,25.5,0.0,0.0,13.0,27.0,0.0,0.0,15.5,32.0,0.0,0.0,9.5,20.0,0.054545454545454536,0.025,5,12.0,0.0621380846325167,0.030103582218385844,18.5,38.0,0.07575757575757576,0.036764705882352935,1.0,1.0,0.17142857142857146,0.08823529411764706,14.0,29.5,0.0,0.0,13.0,28.0,0.04446914952751529,0.02222839677688247,0,0
