Player,Kicks OTR,Kicks BTR,Kicks OT%,Kicks BT%,Handballs OTR,Handballs BTR,Handballs OT%,Handballs BT%,Disposals OTR,Disposals BTR,Disposals OT%,Disposals BT%,Marks OTR,Marks BTR,Marks OT%,Marks BT%,Goals OTR,Goals BTR,Goals OT%,Goals BT%,Behinds OTR,Behinds BTR,Behinds OT%,Behinds BT%,Tackles OTR,Tackles BTR,Tackles OT%,Tackles BT%,Hitouts OTR,Hitouts BTR,Hitouts OT%,Hitouts BT%,Goal Assists OTR,Goal Assists BTR,Goal Assists OT%,Goal Assists BT%,Inside 50s OTR,Inside 50s BTR,Inside 50s OT%,Inside 50s BT%,Clearances OTR,Clearances BTR,Clearances OT%,Clearances BT%,Clangers OTR,Clangers BTR,Clangers OT%,Clangers BT%,Rebound 50s OTR,Rebound 50s BTR,Rebound 50s OT%,Rebound 50s BT%,Frees For OTR,Frees For BTR,Frees For OT%,Frees For BT%,Frees Agains OTR,Frees Agains BTR,Frees Agains OT%,Frees Agains BT%,Contested Possessions OTR,Contested Possessions BTR,Contested Possessions OT%,Contested Possessions BT%,Uncontested Possessions OTR,Uncontested Possessions BTR,Uncontested Possessions OT%,Uncontested Possessions BT%,Effective Disposals OTR,Effective Disposals BTR,Effective Disposals OT%,Effective Disposals BT%,Disposal Efficiency % OTR,Disposal Efficiency % BTR,Contested Marks OTR,Contested Marks BTR,Contested Marks OT%,Contested Marks BT%,Marks Inside 50 OTR,Marks Inside 50 BTR,Marks Inside 50 OT%,Marks Inside 50 BT%,One Percenters OTR,One Percenters BTR,One Percenters OT%,One Percenters BT%,Bounces OTR,Bounces BTR,Bounces OT%,Bounces BT%,Centre Clearances OTR,Centre Clearances BTR,Centre Clearances OT%,Centre Clearances BT%,Stoppage Clearances OTR,Stoppage Clearances BTR,Stoppage Clearances OT%,Stoppage Clearances BT%,Score Involvements OTR,Score Involvements BTR,Score Involvements OT%,Score Involvements BT%,Metres Gained OTR,Metres Gained BTR,Metres Gained OT%,Metres Gained BT%,Turnovers OTR,Turnovers BTR,Turnovers OT%,Turnovers BT%,Intercepts OTR,Intercepts BTR,Intercepts OT%,Intercepts BT%,Tackles Inside 50 OTR,Tackles Inside 50 BTR,Tackles Inside 50 OT%,Tackles Inside 50 BT%,Time On Ground % OTR,Time On Ground % BTR,Time On Ground % OT%,Time On Ground % BT%,Winloss,Brownlow Votes
Andrew McGrath,3.0,3.5,0.0845771144278607,0.041666666666666664,1.0,3.0,0.09090909090909091,0.0431266846361186,1.0,2.0,0.08753315649867374,0.04236200256739409,18.5,37.5,0.02631578947368421,0.011627906976744186,7.0,13.5,0.07692307692307693,0.037037037037037035,5.5,8.5,0.09090909090909091,0.058823529411764705,1.0,1.0,0.15942028985507245,0.0859375,13.0,25.0,0.0,0.0,16.0,30.0,0.0,0.0,3.0,3.5,0.109375,0.05982905982905983,1.0,2.0,0.1724137931034483,0.08064516129032258,8.5,18.5,0.05555555555555555,0.02586206896551724,4.0,9.5,0.10256410256410256,0.044444444444444446,1.0,1.0,0.16,0.10810810810810811,17.0,27.0,0.08333333333333333,0.02702702702702703,1.0,2.5,0.09558823529411764,0.04744525547445255,3.0,5.5,0.08050847457627118,0.039014373716632446,1.0,2.0,0.08602150537634409,0.041237113402061855,12.0,25.0,14.0,31.0,0.0,0.0,16.0,31.0,0.0,0.0,9.0,14.5,0.05,0.028037383177570093,3.5,5.5,0.1111111111111111,0.07692307692307693,3.5,6.0,0.15384615384615385,0.07407407407407407,1.5,2.5,0.1875,0.08571428571428572,2.5,5.5,0.06779661016949153,0.03508771929824561,4.0,6.0,0.07726089785296031,0.03895358372970313,22.0,44.0,0.1232876712328767,0.059602649006622516,3.5,7.0,0.08860759493670886,0.046052631578947366,16.0,30.0,0.0,0.0,13.5,27.5,0.044975013881177126,0.0225,0,0
Zachary Merrett,1.5,1.5,0.08955223880597014,0.04411764705882353,2.5,5.5,0.07386363636363637,0.03504043126684636,2.0,3.0,0.08222811671087533,0.03979460847240052,8.0,20.0,0.05263157894736842,0.023255813953488372,7.0,13.5,0.07692307692307693,0.037037037037037035,16.0,29.5,0.0,0.0,11.0,19.5,0.043478260869565216,0.0234375,13.0,25.0,0.0,0.0,5.5,9.5,0.1,0.05263157894736842,1.5,1.5,0.125,0.06837606837606838,7.0,13.5,0.06896551724137931,0.03225806451612903,1.0,1.0,0.12962962962962962,0.0603448275862069,4.0,9.5,0.10256410256410256,0.044444444444444446,12.0,17.5,0.04,0.02702702702702703,7.0,10.0,0.0,0.0,2.5,5.0,0.07352941176470588,0.0364963503649635,1.0,2.0,0.09322033898305085,0.045174537987679675,2.0,4.0,0.07885304659498207,0.037800687285223365,13.5,27.5,14.0,31.0,0.0,0.0,6.0,12.0,0.08333333333333333,0.037037037037037035,9.0,14.5,0.05,0.028037383177570093,3.5,5.5,0.1111111111111111,0.07692307692307693,6.0,12.0,0.07692307692307693,0.037037037037037035,7.5,15.5,0.0625,0.02857142857142857,16.0,29.5,0.03389830508474576,0.017543859649122806,6.0,9.0,0.06457384515289526,0.032556995243562405,21.0,41.0,0.0958904109589041,0.046357615894039736,5.5,9.5,0.0759493670886076,0.039473684210526314,16.0,30.0,0.0,0.0,20.5,37.5,0.041088284286507494,0.020555555555555556,0,1
Dyson Heppell,5.0,8.5,0.06467661691542288,0.031862745098039214,4.0,7.5,0.06818181818181818,0.03234501347708895,3.5,6.5,0.06631299734748011,0.03209242618741977,2.0,7.5,0.07894736842105263,0.03488372093023256,16.5,32.0,0.0,0.0,16.0,29.5,0.0,0.0,21.0,42.5,0.0,0.0,13.0,25.0,0.0,0.0,5.5,9.5,0.1,0.05263157894736842,9.0,16.0,0.046875,0.02564102564102564,10.0,21.0,0.034482758620689655,0.016129032258064516,17.5,35.5,0.018518518518518517,0.008620689655172414,8.0,19.0,0.05128205128205128,0.022222222222222223,4.5,6.5,0.08,0.05405405405405406,7.0,10.0,0.0,0.0,5.5,11.0,0.058823529411764705,0.029197080291970802,2.0,4.0,0.0847457627118644,0.04106776180698152,3.0,6.0,0.07526881720430108,0.03608247422680412,4.0,9.5,4.0,11.5,0.14285714285714285,0.043478260869565216,16.0,31.0,0.0,0.0,3.0,6.0,0.08333333333333333,0.04672897196261682,13.5,26.0,0.0,0.0,15.0,30.0,0.0,0.0,7.5,15.5,0.0625,0.02857142857142857,11.0,18.5,0.05084745762711865,0.02631578947368421,3.0,5.0,0.07791151594014313,0.03928161390847958,15.5,30.0,0.0547945205479452,0.026490066225165563,3.5,7.0,0.08860759493670886,0.046052631578947366,16.0,30.0,0.0,0.0,11.5,23.0,0.04553026096612993,0.02277777777777778,0,0
Nick Hind,1.5,1.5,0.08955223880597014,0.04411764705882353,13.0,24.0,0.03977272727272727,0.018867924528301886,3.5,6.5,0.06631299734748011,0.03209242618741977,2.0,7.5,0.07894736842105263,0.03488372093023256,16.5,32.0,0.0,0.0,16.0,29.5,0.0,0.0,7.0,11.5,0.057971014492753624,0.03125,13.0,25.0,0.0,0.0,16.0,30.0,0.0,0.0,1.5,1.5,0.125,0.06837606837606838,10.0,21.0,0.034482758620689655,0.016129032258064516,2.0,5.0,0.09259259259259259,0.04310344827586207,2.0,4.5,0.15384615384615385,0.06666666666666667,12.0,17.5,0.04,0.02702702702702703,17.0,27.0,0.08333333333333333,0.02702702702702703,10.5,20.0,0.04411764705882353,0.021897810218978103,4.0,7.5,0.06779661016949153,0.03285420944558522,5.5,13.0,0.05734767025089606,0.027491408934707903,17.5,35.5,14.0,31.0,0.0,0.0,16.0,31.0,0.0,0.0,5.5,9.0,0.06666666666666667,0.037383177570093455,13.5,26.0,0.0,0.0,6.0,12.0,0.07692307692307693,0.037037037037037035,16.5,33.0,0.0,0.0,7.5,12.5,0.059322033898305086,0.03070175438596491,1.0,1.0,0.10344827586206896,0.05215679842545514,20.0,38.5,0.0821917808219178,0.039735099337748346,1.0,1.5,0.11392405063291139,0.05921052631578947,16.0,30.0,0.0,0.0,8.5,15.5,0.046640755136035536,0.023333333333333334,0,0
Jye Caldwell,9.5,20.5,0.04477611940298507,0.022058823529411766,2.5,5.5,0.07386363636363637,0.03504043126684636,5.0,8.5,0.058355437665782495,0.028241335044929396,8.0,20.0,0.05263157894736842,0.023255813953488372,16.5,32.0,0.0,0.0,5.5,8.5,0.09090909090909091,0.058823529411764705,2.0,2.0,0.13043478260869565,0.0703125,13.0,25.0,0.0,0.0,5.5,9.5,0.1,0.05263157894736842,13.5,24.5,0.03125,0.017094017094017096,5.0,8.0,0.10344827586206896,0.04838709677419355,5.0,12.0,0.07407407407407407,0.034482758620689655,17.0,34.5,0.0,0.0,4.5,6.5,0.08,0.05405405405405406,7.0,10.0,0.0,0.0,5.5,11.0,0.058823529411764705,0.029197080291970802,5.0,11.5,0.05508474576271186,0.026694045174537988,8.0,18.5,0.05017921146953405,0.024054982817869417,19.0,38.0,14.0,31.0,0.0,0.0,6.0,12.0,0.08333333333333333,0.037037037037037035,18.0,30.0,0.016666666666666666,0.009345794392523364,13.5,26.0,0.0,0.0,6.0,12.0,0.07692307692307693,0.037037037037037035,3.5,6.5,0.125,0.05714285714285714,7.5,12.5,0.059322033898305086,0.03070175438596491,15.0,31.0,0.02830188679245283,0.014269312776775463,18.5,35.5,0.0684931506849315,0.033112582781456956,12.5,24.0,0.0379746835443038,0.019736842105263157,16.0,30.0,0.0,0.0,20.5,37.5,0.041088284286507494,0.020555555555555556,0,0
Jordan Ridley,4.0,5.0,0.07960199004975124,0.0392156862745098,17.5,33.5,0.028409090909090908,0.013477088948787063,6.0,11.0,0.05570291777188329,0.026957637997432605,2.0,7.5,0.07894736842105263,0.03488372093023256,16.5,32.0,0.0,0.0,16.0,29.5,0.0,0.0,11.0,19.5,0.043478260869565216,0.0234375,13.0,25.0,0.0,0.0,16.0,30.0,0.0,0.0,21.0,41.0,0.0,0.0,17.5,35.0,0.0,0.0,21.0,42.0,0.0,0.0,1.0,1.0,0.2564102564102564,0.1111111111111111,4.5,6.5,0.08,0.05405405405405406,7.0,10.0,0.0,0.0,21.5,42.0,0.014705882352941176,0.0072992700729927005,8.0,17.5,0.05084745762711865,0.024640657084188913,4.0,7.0,0.07168458781362007,0.03436426116838488,1.0,2.0,14.0,31.0,0.0,0.0,16.0,31.0,0.0,0.0,2.0,4.0,0.11666666666666667,0.06542056074766354,1.0,1.0,0.5555555555555556,0.38461538461538464,15.0,30.0,0.0,0.0,16.5,33.0,0.0,0.0,18.5,36.0,0.025423728813559324,0.013157894736842105,2.0,2.0,0.09385165907612232,0.04731835328850254,11.0,21.5,0.0410958904109589,0.019867549668874173,10.0,17.5,0.05063291139240506,0.02631578947368421,16.0,30.0,0.0,0.0,1.0,1.0,0.0555247084952804,0.027777777777777776,0,0
Kyle Langford,6.0,16.0,0.04975124378109453,0.024509803921568627,8.0,17.0,0.05113636363636364,0.02425876010781671,7.0,16.5,0.050397877984084884,0.024390243902439025,4.5,12.0,0.06578947368421052,0.029069767441860465,16.5,32.0,0.0,0.0,16.0,29.5,0.0,0.0,11.0,19.5,0.043478260869565216,0.0234375,13.0,25.0,0.0,0.0,5.5,9.5,0.1,0.05263157894736842,17.5,33.0,0.015625,0.008547008547008548,5.0,8.0,0.10344827586206896,0.04838709677419355,12.5,26.0,0.037037037037037035,0.017241379310344827,17.0,34.5,0.0,0.0,12.0,17.5,0.04,0.02702702702702703,7.0,10.0,0.0,0.0,5.5,11.0,0.058823529411764705,0.029197080291970802,8.0,17.5,0.05084745762711865,0.024640657084188913,8.0,18.5,0.05017921146953405,0.024054982817869417,11.0,23.0,14.0,31.0,0.0,0.0,16.0,31.0,0.0,0.0,12.5,21.5,0.03333333333333333,0.018691588785046728,13.5,26.0,0.0,0.0,15.0,30.0,0.0,0.0,1.5,2.5,0.1875,0.08571428571428572,7.5,12.5,0.059322033898305086,0.03070175438596491,13.0,27.0,0.03724788549121666,0.018779727734951616,7.0,12.5,0.0273972602739726,0.013245033112582781,5.5,9.5,0.0759493670886076,0.039473684210526314,16.0,30.0,0.0,0.0,6.5,13.5,0.04719600222098834,0.02361111111111111,0,0
Darcy Parish,9.5,20.5,0.04477611940298507,0.022058823529411766,8.0,17.0,0.05113636363636364,0.02425876010781671,8.0,19.5,0.04774535809018567,0.023106546854942234,8.0,20.0,0.05263157894736842,0.023255813953488372,7.0,13.5,0.07692307692307693,0.037037037037037035,5.5,8.5,0.09090909090909091,0.058823529411764705,7.0,11.5,0.057971014492753624,0.03125,13.0,25.0,0.0,0.0,5.5,9.5,0.1,0.05263157894736842,4.0,6.0,0.09375,0.05128205128205128,5.0,8.0,0.10344827586206896,0.04838709677419355,17.5,35.5,0.018518518518518517,0.008620689655172414,17.0,34.5,0.0,0.0,12.0,17.5,0.04,0.02702702702702703,7.0,10.0,0.0,0.0,2.5,5.0,0.07352941176470588,0.0364963503649635,11.5,25.0,0.0423728813559322,0.02053388090349076,8.0,18.5,0.05017921146953405,0.024054982817869417,8.0,16.0,14.0,31.0,0.0,0.0,2.0,5.5,0.16666666666666666,0.07407407407407407,18.0,30.0,0.016666666666666666,0.009345794392523364,13.5,26.0,0.0,0.0,1.5,2.5,0.23076923076923078,0.1111111111111111,16.5,33.0,0.0,0.0,2.5,5.5,0.06779661016949153,0.03508771929824561,5.0,8.0,0.06685100845803513,0.033705100869279976,18.5,35.5,0.0684931506849315,0.033112582781456956,10.0,17.5,0.05063291139240506,0.02631578947368421,2.5,5.0,0.15384615384615385,0.08333333333333333,11.5,23.0,0.04553026096612993,0.02277777777777778,0,0
Dylan Shiel,13.0,25.5,0.03980099502487562,0.0196078431372549,8.0,17.0,0.05113636363636364,0.02425876010781671,9.5,23.0,0.04509283819628647,0.021822849807445442,13.0,29.5,0.039473684210526314,0.01744186046511628,2.0,4.5,0.15384615384615385,0.07407407407407407,16.0,29.5,0.0,0.0,7.0,11.5,0.057971014492753624,0.03125,13.0,25.0,0.0,0.0,5.5,9.5,0.1,0.05263157894736842,5.5,10.0,0.0625,0.03418803418803419,2.5,4.0,0.13793103448275862,0.06451612903225806,21.0,42.0,0.0,0.0,17.0,34.5,0.0,0.0,19.5,34.5,0.0,0.0,7.0,10.0,0.0,0.0,14.0,27.0,0.03676470588235294,0.01824817518248175,8.0,17.5,0.05084745762711865,0.024640657084188913,5.5,13.0,0.05734767025089606,0.027491408934707903,2.0,3.0,14.0,31.0,0.0,0.0,6.0,12.0,0.08333333333333333,0.037037037037037035,5.5,9.0,0.06666666666666667,0.037383177570093455,13.5,26.0,0.0,0.0,1.5,2.5,0.23076923076923078,0.1111111111111111,7.5,15.5,0.0625,0.02857142857142857,7.5,12.5,0.059322033898305086,0.03070175438596491,7.0,11.0,0.058392973324658426,0.029440708545186156,3.5,5.0,0.0136986301369863,0.006622516556291391,20.5,40.5,0.0,0.0,16.0,30.0,0.0,0.0,13.5,27.5,0.044975013881177126,0.0225,0,0
Brayden Ham,14.5,31.0,0.03482587064676617,0.01715686274509804,5.0,13.5,0.056818181818181816,0.026954177897574125,9.5,23.0,0.04509283819628647,0.021822849807445442,18.5,37.5,0.02631578947368421,0.011627906976744186,16.5,32.0,0.0,0.0,16.0,29.5,0.0,0.0,7.0,11.5,0.057971014492753624,0.03125,13.0,25.0,0.0,0.0,16.0,30.0,0.0,0.0,13.5,24.5,0.03125,0.017094017094017096,10.0,21.0,0.034482758620689655,0.016129032258064516,12.5,26.0,0.037037037037037035,0.017241379310344827,17.0,34.5,0.0,0.0,19.5,34.5,0.0,0.0,7.0,10.0,0.0,0.0,18.5,36.5,0.029411764705882353,0.014598540145985401,8.0,17.5,0.05084745762711865,0.024640657084188913,13.0,27.0,0.03942652329749104,0.018900343642611683,17.5,35.5,14.0,31.0,0.0,0.0,16.0,31.0,0.0,0.0,18.0,30.0,0.016666666666666666,0.009345794392523364,13.5,26.0,0.0,0.0,15.0,30.0,0.0,0.0,7.5,15.5,0.0625,0.02857142857142857,16.0,29.5,0.03389830508474576,0.017543859649122806,21.0,41.0,0.01951854261548471,0.009840905363293424,3.5,5.0,0.0136986301369863,0.006622516556291391,15.0,29.0,0.02531645569620253,0.013157894736842105,7.0,12.0,0.07692307692307693,0.041666666666666664,4.0,11.0,0.04830649639089395,0.024166666666666666,0,0
