Player,Kicks OTR,Kicks BTR,Kicks OT%,Kicks BT%,Handballs OTR,Handballs BTR,Handballs OT%,Handballs BT%,Disposals OTR,Disposals BTR,Disposals OT%,Disposals BT%,Marks OTR,Marks BTR,Marks OT%,Marks BT%,Goals OTR,Goals BTR,Goals OT%,Goals BT%,Behinds OTR,Behinds BTR,Behinds OT%,Behinds BT%,Tackles OTR,Tackles BTR,Tackles OT%,Tackles BT%,Hitouts OTR,Hitouts BTR,Hitouts OT%,Hitouts BT%,Goal Assists OTR,Goal Assists BTR,Goal Assists OT%,Goal Assists BT%,Inside 50s OTR,Inside 50s BTR,Inside 50s OT%,Inside 50s BT%,Clearances OTR,Clearances BTR,Clearances OT%,Clearances BT%,Clangers OTR,Clangers BTR,Clangers OT%,Clangers BT%,Rebound 50s OTR,Rebound 50s BTR,Rebound 50s OT%,Rebound 50s BT%,Frees For OTR,Frees For BTR,Frees For OT%,Frees For BT%,Frees Agains OTR,Frees Agains BTR,Frees Agains OT%,Frees Agains BT%,Contested Possessions OTR,Contested Possessions BTR,Contested Possessions OT%,Contested Possessions BT%,Uncontested Possessions OTR,Uncontested Possessions BTR,Uncontested Possessions OT%,Uncontested Possessions BT%,Effective Disposals OTR,Effective Disposals BTR,Effective Disposals OT%,Effective Disposals BT%,Disposal Efficiency % OTR,Disposal Efficiency % BTR,Contested Marks OTR,Contested Marks BTR,Contested Marks OT%,Contested Marks BT%,Marks Inside 50 OTR,Marks Inside 50 BTR,Marks Inside 50 OT%,Marks Inside 50 BT%,One Percenters OTR,One Percenters BTR,One Percenters OT%,One Percenters BT%,Bounces OTR,Bounces BTR,Bounces OT%,Bounces BT%,Centre Clearances OTR,Centre Clearances BTR,Centre Clearances OT%,Centre Clearances BT%,Stoppage Clearances OTR,Stoppage Clearances BTR,Stoppage Clearances OT%,Stoppage Clearances BT%,Score Involvements OTR,Score Involvements BTR,Score Involvements OT%,Score Involvements BT%,Metres Gained OTR,Metres Gained BTR,Metres Gained OT%,Metres Gained BT%,Turnovers OTR,Turnovers BTR,Turnovers OT%,Turnovers BT%,Intercepts OTR,Intercepts BTR,Intercepts OT%,Intercepts BT%,Tackles Inside 50 OTR,Tackles Inside 50 BTR,Tackles Inside 50 OT%,Tackles Inside 50 BT%,Time On Ground % OTR,Time On Ground % BTR,Time On Ground % OT%,Time On Ground % BT%,Winloss,Brownlow Votes
Christian Petracca,1.0,3.0,0.08854166666666667,0.04,4.5,7.0,0.07377049180327869,0.03829787234042553,1.0,2.5,0.08280254777070063,0.03939393939393939,8.5,21.5,0.05063291139240506,0.021739130434782608,3.5,5.0,0.14285714285714285,0.08,6.0,8.5,0.08333333333333333,0.05263157894736842,1.5,4.5,0.1016949152542373,0.05042016806722689,13.0,25.5,0.0,0.0,14.0,27.5,0.0,0.0,1.5,1.5,0.12962962962962962,0.06796116504854369,1.0,1.5,0.24324324324324326,0.125,5.5,8.0,0.06779661016949153,0.03773584905660377,9.0,18.5,0.05263157894736842,0.02564102564102564,1.0,1.5,0.2,0.08333333333333333,11.0,24.0,0.03571428571428571,0.020833333333333332,1.0,2.0,0.11594202898550725,0.05904059040590406,5.5,11.0,0.06666666666666667,0.03183023872679045,3.5,8.0,0.06896551724137931,0.032719836400818,19.0,38.0,16.0,32.0,0.0,0.0,14.5,29.0,0.0,0.0,16.0,30.0,0.0196078431372549,0.010752688172043012,4.0,5.0,0.14285714285714285,0.1111111111111111,2.5,5.0,0.18181818181818182,0.07142857142857142,1.0,1.0,0.2692307692307692,0.1590909090909091,3.0,3.0,0.08411214953271028,0.049723756906077346,1,1,0.11739905951029674,0.05930051601277746,22.0,44.5,0.12903225806451613,0.06201550387596899,15.0,27.5,0.029411764705882353,0.015384615384615385,14.0,28.5,0.0,0.0,6.0,8.5,0.05,0.024993057484032213,1,3
Clayton Oliver,6.0,13.0,0.0625,0.02823529411764706,2.0,3.0,0.10655737704918032,0.05531914893617021,2.0,4.5,0.07961783439490445,0.03787878787878788,8.5,21.5,0.05063291139240506,0.021739130434782608,15.5,30.5,0.0,0.0,6.0,8.5,0.08333333333333333,0.05263157894736842,3.5,6.5,0.0847457627118644,0.04201680672268908,13.0,25.5,0.0,0.0,3.5,5.5,0.16666666666666666,0.1,1.5,1.5,0.12962962962962962,0.06796116504854369,2.0,3.0,0.21621621621621623,0.1111111111111111,2.0,2.0,0.1016949152542373,0.05660377358490566,13.5,26.0,0.02631578947368421,0.01282051282051282,17.5,36.5,0.0,0.0,20.0,43.0,0.10714285714285714,0.0625,2.0,3.5,0.10144927536231885,0.05166051660516605,5.5,11.0,0.06666666666666667,0.03183023872679045,2.0,6.0,0.07327586206896551,0.034764826175869123,17.0,31.5,16.0,32.0,0.0,0.0,5.5,10.0,0.08333333333333333,0.045454545454545456,16.0,30.0,0.0196078431372549,0.010752688172043012,14.5,27.0,0.0,0.0,1.0,2.0,0.36363636363636365,0.14285714285714285,3.0,3.5,0.15384615384615385,0.09090909090909091,1.0,1.0,0.102803738317757,0.06077348066298342,2,4,0.07734717042322037,0.03906953886477189,19.5,38.5,0.08064516129032258,0.03875968992248062,10.0,17.5,0.04411764705882353,0.023076923076923078,2.0,3.0,0.25,0.125,3.5,5.5,0.051666666666666666,0.02582615940016662,1,0
James Harmes,16.0,34.0,0.03125,0.01411764705882353,1.0,1.0,0.13934426229508196,0.07234042553191489,3.0,6.5,0.0732484076433121,0.03484848484848485,19.5,37.5,0.02531645569620253,0.010869565217391304,15.5,30.5,0.0,0.0,16.0,29.5,0.0,0.0,8.5,15.0,0.05084745762711865,0.025210084033613446,13.0,25.5,0.0,0.0,3.5,5.5,0.16666666666666666,0.1,7.5,14.5,0.05555555555555555,0.02912621359223301,3.0,4.5,0.16216216216216217,0.08333333333333333,3.5,4.0,0.0847457627118644,0.04716981132075472,18.5,37.0,0.0,0.0,9.5,21.5,0.05,0.020833333333333332,20.0,43.0,0.10714285714285714,0.0625,3.5,5.5,0.07971014492753623,0.04059040590405904,5.5,11.0,0.06666666666666667,0.03183023872679045,1.0,1.5,0.08620689655172414,0.0408997955010225,5.0,11.0,16.0,32.0,0.0,0.0,14.5,29.0,0.0,0.0,10.0,17.5,0.0392156862745098,0.021505376344086023,14.5,27.0,0.0,0.0,5.0,10.5,0.09090909090909091,0.03571428571428571,2.0,2.0,0.19230769230769232,0.11363636363636363,7.0,7.5,0.056074766355140186,0.03314917127071823,15,29,0.03453867358521161,0.01744614628552707,9.5,18.5,0.03225806451612903,0.015503875968992248,6.0,11.5,0.058823529411764705,0.03076923076923077,14.0,28.5,0.0,0.0,7.0,10.0,0.049444444444444444,0.024715356845320745,1,0
James Jordon,7.5,15.5,0.057291666666666664,0.02588235294117647,4.5,7.0,0.07377049180327869,0.03829787234042553,4.0,10.0,0.06369426751592357,0.030303030303030304,14.0,30.0,0.0379746835443038,0.016304347826086956,15.5,30.5,0.0,0.0,16.0,29.5,0.0,0.0,21.5,42.0,0.0,0.0,13.0,25.5,0.0,0.0,14.0,27.5,0.0,0.0,11.5,22.5,0.037037037037037035,0.019417475728155338,5.5,11.0,0.05405405405405406,0.027777777777777776,21.0,42.5,0.0,0.0,9.0,18.5,0.05263157894736842,0.02564102564102564,17.5,36.5,0.0,0.0,3.5,8.5,0.0,0.0,10.0,19.0,0.043478260869565216,0.02214022140221402,3.0,6.0,0.07222222222222222,0.034482758620689655,3.5,8.0,0.06896551724137931,0.032719836400818,10.0,19.5,16.0,32.0,0.0,0.0,14.5,29.0,0.0,0.0,16.0,30.0,0.0196078431372549,0.010752688172043012,4.0,5.0,0.14285714285714285,0.1111111111111111,14.5,30.0,0.0,0.0,5.0,9.0,0.07692307692307693,0.045454545454545456,13.0,21.5,0.037383177570093455,0.022099447513812154,4,7,0.06664504621371818,0.033663690719960684,16.0,33.0,0.06451612903225806,0.031007751937984496,10.0,17.5,0.04411764705882353,0.023076923076923078,14.0,28.5,0.0,0.0,9.5,13.0,0.04777777777777778,0.023882254929186338,1,0
Angus Brayshaw,4.0,10.5,0.06770833333333333,0.03058823529411765,8.0,14.5,0.04918032786885246,0.02553191489361702,5.5,12.0,0.06050955414012739,0.02878787878787879,2.0,7.0,0.0759493670886076,0.03260869565217391,15.5,30.5,0.0,0.0,6.0,8.5,0.08333333333333333,0.05263157894736842,19.0,35.5,0.01694915254237288,0.008403361344537815,13.0,25.5,0.0,0.0,14.0,27.5,0.0,0.0,20.0,40.5,0.0,0.0,9.5,19.5,0.02702702702702703,0.013888888888888888,3.5,4.0,0.0847457627118644,0.04716981132075472,3.0,5.5,0.10526315789473684,0.05128205128205128,17.5,36.5,0.0,0.0,11.0,24.0,0.03571428571428571,0.020833333333333332,10.0,19.0,0.043478260869565216,0.02214022140221402,1.0,2.5,0.08333333333333333,0.03978779840848806,9.0,18.0,0.05172413793103448,0.024539877300613498,18.0,37.0,16.0,32.0,0.0,0.0,14.5,29.0,0.0,0.0,10.0,17.5,0.0392156862745098,0.021505376344086023,14.5,27.0,0.0,0.0,14.5,30.0,0.0,0.0,8.5,16.0,0.038461538461538464,0.022727272727272728,10.5,14.5,0.04672897196261682,0.027624309392265192,8,14,0.053672774444624614,0.027111147514128922,19.5,38.5,0.08064516129032258,0.03875968992248062,4.0,8.0,0.07352941176470588,0.038461538461538464,14.0,28.5,0.0,0.0,5.0,7.0,0.050555555555555555,0.02527075812274368,1,0
Tom Sparrow,13.0,27.5,0.041666666666666664,0.018823529411764704,3.0,4.0,0.09016393442622951,0.04680851063829787,5.5,12.0,0.06050955414012739,0.02878787878787879,8.5,21.5,0.05063291139240506,0.021739130434782608,6.5,11.0,0.07142857142857142,0.04,16.0,29.5,0.0,0.0,3.5,6.5,0.0847457627118644,0.04201680672268908,13.0,25.5,0.0,0.0,14.0,27.5,0.0,0.0,5.0,8.5,0.07407407407407407,0.038834951456310676,17.5,35.5,0.0,0.0,9.0,15.5,0.05084745762711865,0.02830188679245283,9.0,18.5,0.05263157894736842,0.02564102564102564,9.5,21.5,0.05,0.020833333333333332,17.0,36.5,0.07142857142857142,0.041666666666666664,16.0,31.5,0.028985507246376812,0.014760147601476014,2.0,4.0,0.07777777777777778,0.03713527851458886,6.0,14.0,0.0603448275862069,0.028629856850715747,13.0,23.5,16.0,32.0,0.0,0.0,14.5,29.0,0.0,0.0,16.0,30.0,0.0196078431372549,0.010752688172043012,14.5,27.0,0.0,0.0,14.5,30.0,0.0,0.0,16.5,32.5,0.0,0.0,10.5,14.5,0.04672897196261682,0.027624309392265192,10,18,0.04848386573698719,0.024490130231796216,19.5,38.5,0.08064516129032258,0.03875968992248062,10.0,17.5,0.04411764705882353,0.023076923076923078,14.0,28.5,0.0,0.0,21.0,43.0,0.03222222222222222,0.016106637045265205,1,0
Max Gawn,4.0,10.5,0.06770833333333333,0.03058823529411765,14.5,27.0,0.03278688524590164,0.01702127659574468,7.0,15.5,0.054140127388535034,0.025757575757575757,14.0,30.0,0.0379746835443038,0.016304347826086956,6.5,11.0,0.07142857142857142,0.04,16.0,29.5,0.0,0.0,5.0,9.0,0.06779661016949153,0.03361344537815126,1.0,1.0,0.8378378378378378,0.543859649122807,3.5,5.5,0.16666666666666666,0.1,7.5,14.5,0.05555555555555555,0.02912621359223301,4.0,7.0,0.10810810810810811,0.05555555555555555,9.0,15.5,0.05084745762711865,0.02830188679245283,9.0,18.5,0.05263157894736842,0.02564102564102564,4.0,10.0,0.1,0.041666666666666664,11.0,24.0,0.03571428571428571,0.020833333333333332,3.5,5.5,0.07971014492753623,0.04059040590405904,13.5,29.5,0.03333333333333333,0.015915119363395226,6.0,14.0,0.0603448275862069,0.028629856850715747,8.0,17.0,4.0,6.0,0.125,0.06896551724137931,14.5,29.0,0.0,0.0,1.5,2.5,0.11764705882352941,0.06451612903225806,14.5,27.0,0.0,0.0,2.5,5.0,0.18181818181818182,0.07142857142857142,5.0,9.0,0.07692307692307693,0.045454545454545456,7.0,7.5,0.056074766355140186,0.03314917127071823,6,11,0.05691584238689801,0.028749283315586863,13.0,27.0,0.04838709677419355,0.023255813953488372,19.0,36.5,0.014705882352941176,0.007692307692307693,14.0,28.5,0.0,0.0,3.5,5.5,0.051666666666666666,0.02582615940016662,1,2
Steven May,2.0,7.5,0.07291666666666667,0.03294117647058824,20.0,42.0,0.00819672131147541,0.00425531914893617,9.0,18.0,0.04777070063694268,0.022727272727272728,1.0,3.5,0.08860759493670886,0.03804347826086957,15.5,30.5,0.0,0.0,16.0,29.5,0.0,0.0,8.5,15.0,0.05084745762711865,0.025210084033613446,13.0,25.5,0.0,0.0,14.0,27.5,0.0,0.0,15.5,31.0,0.018518518518518517,0.009708737864077669,17.5,35.5,0.0,0.0,14.0,25.0,0.03389830508474576,0.018867924528301886,1.0,1.0,0.18421052631578946,0.08974358974358974,9.5,21.5,0.05,0.020833333333333332,3.5,8.5,0.0,0.0,10.0,19.0,0.043478260869565216,0.02214022140221402,18.5,38.0,0.022222222222222223,0.010610079575596816,6.0,14.0,0.0603448275862069,0.028629856850715747,3.0,4.0,1.5,1.5,0.1875,0.10344827586206896,14.5,29.0,0.0,0.0,1.5,2.5,0.11764705882352941,0.06451612903225806,14.5,27.0,0.0,0.0,14.5,30.0,0.0,0.0,16.5,32.5,0.0,0.0,21.5,42.0,0.009345794392523364,0.0055248618784530384,3,6,0.07215826171558294,0.036448521582439185,19.5,38.5,0.08064516129032258,0.03875968992248062,1.5,2.5,0.11764705882352941,0.06153846153846154,14.0,28.5,0.0,0.0,1.5,2.0,0.05555555555555555,0.027770063871146902,1,0
Alex N-Bullen,11.0,23.0,0.046875,0.021176470588235293,8.0,14.5,0.04918032786885246,0.02553191489361702,9.0,18.0,0.04777070063694268,0.022727272727272728,19.5,37.5,0.02531645569620253,0.010869565217391304,6.5,11.0,0.07142857142857142,0.04,16.0,29.5,0.0,0.0,1.5,4.5,0.1016949152542373,0.05042016806722689,13.0,25.5,0.0,0.0,14.0,27.5,0.0,0.0,3.5,4.5,0.1111111111111111,0.05825242718446602,9.5,19.5,0.02702702702702703,0.013888888888888888,9.0,15.5,0.05084745762711865,0.02830188679245283,18.5,37.0,0.0,0.0,17.5,36.5,0.0,0.0,11.0,24.0,0.03571428571428571,0.020833333333333332,16.0,31.5,0.028985507246376812,0.014760147601476014,8.5,16.0,0.06111111111111111,0.029177718832891247,17.5,35.0,0.03017241379310345,0.014314928425357873,20.0,42.0,16.0,32.0,0.0,0.0,14.5,29.0,0.0,0.0,10.0,17.5,0.0392156862745098,0.021505376344086023,4.0,5.0,0.14285714285714285,0.1111111111111111,14.5,30.0,0.0,0.0,8.5,16.0,0.038461538461538464,0.022727272727272728,7.0,7.5,0.056074766355140186,0.03314917127071823,11,20,0.045889411383168474,0.023179621590629862,13.0,27.0,0.04838709677419355,0.023255813953488372,15.0,27.5,0.029411764705882353,0.015384615384615385,2.0,3.0,0.25,0.125,18.0,38.5,0.04,0.01999444598722577,1,0
Trent Rivers,9.5,19.5,0.052083333333333336,0.023529411764705882,11.5,20.0,0.040983606557377046,0.02127659574468085,9.0,18.0,0.04777070063694268,0.022727272727272728,4.0,13.0,0.06329113924050633,0.02717391304347826,15.5,30.5,0.0,0.0,16.0,29.5,0.0,0.0,21.5,42.0,0.0,0.0,13.0,25.5,0.0,0.0,14.0,27.5,0.0,0.0,11.5,22.5,0.037037037037037035,0.019417475728155338,17.5,35.5,0.0,0.0,18.0,34.5,0.01694915254237288,0.009433962264150943,9.0,18.5,0.05263157894736842,0.02564102564102564,17.5,36.5,0.0,0.0,11.0,24.0,0.03571428571428571,0.020833333333333332,13.5,26.0,0.036231884057971016,0.01845018450184502,10.0,19.0,0.05555555555555555,0.026525198938992044,8.0,16.0,0.05603448275862069,0.026584867075664622,6.0,12.0,4.0,6.0,0.125,0.06896551724137931,14.5,29.0,0.0,0.0,10.0,17.5,0.0392156862745098,0.021505376344086023,1.0,1.0,0.2857142857142857,0.2222222222222222,14.5,30.0,0.0,0.0,16.5,32.5,0.0,0.0,13.0,21.5,0.037383177570093455,0.022099447513812154,5,8,0.06291551808010377,0.03177983454828405,16.0,33.0,0.06451612903225806,0.031007751937984496,6.0,11.5,0.058823529411764705,0.03076923076923077,14.0,28.5,0.0,0.0,19.0,40.0,0.03944444444444444,0.0197167453485143,1,0
