Player,Kicks OTR,Kicks BTR,Kicks OT%,Kicks BT%,Handballs OTR,Handballs BTR,Handballs OT%,Handballs BT%,Disposals OTR,Disposals BTR,Disposals OT%,Disposals BT%,Marks OTR,Marks BTR,Marks OT%,Marks BT%,Goals OTR,Goals BTR,Goals OT%,Goals BT%,Behinds OTR,Behinds BTR,Behinds OT%,Behinds BT%,Tackles OTR,Tackles BTR,Tackles OT%,Tackles BT%,Hitouts OTR,Hitouts BTR,Hitouts OT%,Hitouts BT%,Goal Assists OTR,Goal Assists BTR,Goal Assists OT%,Goal Assists BT%,Inside 50s OTR,Inside 50s BTR,Inside 50s OT%,Inside 50s BT%,Clearances OTR,Clearances BTR,Clearances OT%,Clearances BT%,Clangers OTR,Clangers BTR,Clangers OT%,Clangers BT%,Rebound 50s OTR,Rebound 50s BTR,Rebound 50s OT%,Rebound 50s BT%,Frees For OTR,Frees For BTR,Frees For OT%,Frees For BT%,Frees Agains OTR,Frees Agains BTR,Frees Agains OT%,Frees Agains BT%,Contested Possessions OTR,Contested Possessions BTR,Contested Possessions OT%,Contested Possessions BT%,Uncontested Possessions OTR,Uncontested Possessions BTR,Uncontested Possessions OT%,Uncontested Possessions BT%,Effective Disposals OTR,Effective Disposals BTR,Effective Disposals OT%,Effective Disposals BT%,Disposal Efficiency % OTR,Disposal Efficiency % BTR,Contested Marks OTR,Contested Marks BTR,Contested Marks OT%,Contested Marks BT%,Marks Inside 50 OTR,Marks Inside 50 BTR,Marks Inside 50 OT%,Marks Inside 50 BT%,One Percenters OTR,One Percenters BTR,One Percenters OT%,One Percenters BT%,Bounces OTR,Bounces BTR,Bounces OT%,Bounces BT%,Centre Clearances OTR,Centre Clearances BTR,Centre Clearances OT%,Centre Clearances BT%,Stoppage Clearances OTR,Stoppage Clearances BTR,Stoppage Clearances OT%,Stoppage Clearances BT%,Score Involvements OTR,Score Involvements BTR,Score Involvements OT%,Score Involvements BT%,Metres Gained OTR,Metres Gained BTR,Metres Gained OT%,Metres Gained BT%,Turnovers OTR,Turnovers BTR,Turnovers OT%,Turnovers BT%,Intercepts OTR,Intercepts BTR,Intercepts OT%,Intercepts BT%,Tackles Inside 50 OTR,Tackles Inside 50 BTR,Tackles Inside 50 OT%,Tackles Inside 50 BT%,Time On Ground % OTR,Time On Ground % BTR,Time On Ground % OT%,Time On Ground % BT%,Winloss,Brownlow Votes
Brad Crouch,3.0,6.5,0.06779661016949153,0.034858387799564274,1.0,1.0,0.13793103448275862,0.07168458781362007,1.0,1.0,0.09448818897637795,0.04878048780487805,18.0,35.0,0.014285714285714285,0.008849557522123894,4.5,8.5,0.125,0.058823529411764705,15.5,29.5,0.0,0.0,5.5,8.0,0.058823529411764705,0.03773584905660377,13.0,25.5,0.0,0.0,13.5,26.5,0.0,0.0,7.5,16.0,0.05263157894736842,0.02702702702702703,2.0,4.5,0.16666666666666666,0.06578947368421052,3.5,7.5,0.06756756756756757,0.03355704697986577,7.5,18.5,0.045454545454545456,0.02247191011235955,2.0,4.5,0.12,0.05555555555555555,12.5,24.0,0.034482758620689655,0.01818181818181818,1.5,1.5,0.11801242236024845,0.05846153846153846,2.0,3.5,0.075,0.04076086956521739,2.5,2.5,0.08298755186721991,0.042735042735042736,17.0,33.0,14.5,27.0,0.0,0.0,14.5,27.5,0.0,0.0,12.0,20.5,0.0273972602739726,0.016129032258064516,13.0,24.0,0.0,0.0,1.5,4.0,0.25,0.10526315789473684,2.0,5.5,0.13636363636363635,0.05263157894736842,10.0,23.0,0.04918032786885246,0.02097902097902098,10,16,0.052454821685590916,0.02603174603174603,21.5,40.0,0.07692307692307693,0.035897435897435895,7.0,12.5,0.057692307692307696,0.03076923076923077,3.0,3.0,0.11538461538461539,0.09375,14.0,25.5,0.04439511653718091,0.02222839677688247,0,0
Jack Steele,2.0,4.0,0.0847457627118644,0.04357298474945534,2.0,2.0,0.09655172413793103,0.05017921146953405,2.0,2.0,0.08923884514435695,0.04607046070460705,6.5,7.5,0.05714285714285714,0.035398230088495575,15.0,29.5,0.0,0.0,15.5,29.5,0.0,0.0,1.0,1.0,0.11764705882352941,0.07547169811320754,13.0,25.5,0.0,0.0,13.5,26.5,0.0,0.0,1.0,1.0,0.21052631578947367,0.10810810810810811,1.0,2.0,0.3,0.11842105263157894,1.0,1.5,0.10810810810810811,0.053691275167785234,13.0,27.5,0.022727272727272728,0.011235955056179775,2.0,4.5,0.12,0.05555555555555555,23.0,45.0,0.20689655172413793,0.10909090909090909,1.5,1.5,0.11801242236024845,0.05846153846153846,3.5,6.0,0.07,0.03804347826086957,1.0,1.0,0.08713692946058091,0.04487179487179487,15.5,31.0,14.5,27.0,0.0,0.0,4.0,6.5,0.14285714285714285,0.08333333333333333,17.0,31.5,0.0136986301369863,0.008064516129032258,13.0,24.0,0.0,0.0,1.5,4.0,0.25,0.10526315789473684,1.0,2.0,0.3181818181818182,0.12280701754385964,3.0,10.5,0.08196721311475409,0.03496503496503497,1,4,0.09675355829201983,0.04801587301587302,21.5,40.0,0.07692307692307693,0.035897435897435895,7.0,12.5,0.057692307692307696,0.03076923076923077,6.5,7.0,0.07692307692307693,0.0625,5.5,11.5,0.04827968923418424,0.024173381494859682,0,0
Luke Dunstan,6.0,10.0,0.0635593220338983,0.032679738562091505,3.0,4.5,0.07586206896551724,0.03942652329749104,3.0,6.0,0.06824146981627296,0.03523035230352303,9.5,14.0,0.04285714285714286,0.02654867256637168,15.0,29.5,0.0,0.0,5.0,9.0,0.1111111111111111,0.05555555555555555,2.5,3.0,0.09803921568627451,0.06289308176100629,13.0,25.5,0.0,0.0,2.0,4.0,0.3333333333333333,0.14285714285714285,4.0,9.0,0.07017543859649122,0.036036036036036036,6.5,14.0,0.06666666666666667,0.02631578947368421,8.5,15.0,0.05405405405405406,0.026845637583892617,13.0,27.5,0.022727272727272728,0.011235955056179775,19.5,37.5,0.0,0.0,17.0,34.0,0.06896551724137931,0.03636363636363636,3.0,6.0,0.07453416149068323,0.036923076923076927,7.5,11.0,0.06,0.03260869565217391,8.5,17.0,0.04979253112033195,0.02564102564102564,20.0,39.0,14.5,27.0,0.0,0.0,14.5,27.5,0.0,0.0,12.0,20.5,0.0273972602739726,0.016129032258064516,13.0,24.0,0.0,0.0,4.5,9.5,0.125,0.05263157894736842,8.5,19.5,0.045454545454545456,0.017543859649122806,10.0,23.0,0.04918032786885246,0.02097902097902098,9,14,0.05357428434351511,0.026587301587301587,15.5,28.5,0.054945054945054944,0.02564102564102564,4.0,6.5,0.07692307692307693,0.041025641025641026,3.0,3.0,0.11538461538461539,0.09375,8.5,15.0,0.04772475027746948,0.02389552653514865,0,2
Dougal Howard,1.0,1.5,0.08898305084745763,0.0457516339869281,18.5,36.5,0.020689655172413793,0.010752688172043012,5.0,8.0,0.06299212598425197,0.032520325203252036,2.5,2.5,0.1,0.061946902654867256,15.0,29.5,0.0,0.0,15.5,29.5,0.0,0.0,18.5,29.0,0.0196078431372549,0.012578616352201259,13.0,25.5,0.0,0.0,13.5,26.5,0.0,0.0,17.0,32.0,0.017543859649122806,0.009009009009009009,17.0,35.0,0.0,0.0,8.5,15.0,0.05405405405405406,0.026845637583892617,1.0,1.0,0.22727272727272727,0.11235955056179775,5.5,12.5,0.08,0.037037037037037035,17.0,34.0,0.06896551724137931,0.03636363636363636,10.0,20.5,0.043478260869565216,0.021538461538461538,12.0,18.5,0.045,0.024456521739130436,2.5,2.5,0.08298755186721991,0.042735042735042736,2.5,2.5,3.5,4.0,0.16666666666666666,0.125,14.5,27.5,0.0,0.0,1.0,1.0,0.2191780821917808,0.12903225806451613,2.0,2.0,0.3333333333333333,0.3333333333333333,15.0,29.0,0.0,0.0,16.5,34.5,0.0,0.0,14.5,30.5,0.03278688524590164,0.013986013986013986,4,8,0.07116584039660963,0.03531746031746032,18.5,34.0,0.06593406593406594,0.03076923076923077,2.0,2.0,0.125,0.06666666666666667,18.5,32.0,0.0,0.0,1.5,1.5,0.05549389567147614,0.027785495971103084,0,0
Jack Sinclair,6.0,10.0,0.0635593220338983,0.032679738562091505,5.5,11.5,0.06206896551724138,0.03225806451612903,5.0,8.0,0.06299212598425197,0.032520325203252036,18.0,35.0,0.014285714285714285,0.008849557522123894,4.5,8.5,0.125,0.058823529411764705,15.5,29.5,0.0,0.0,5.5,8.0,0.058823529411764705,0.03773584905660377,13.0,25.5,0.0,0.0,13.5,26.5,0.0,0.0,7.5,16.0,0.05263157894736842,0.02702702702702703,17.0,35.0,0.0,0.0,17.0,33.5,0.02702702702702703,0.013422818791946308,4.5,7.0,0.09090909090909091,0.0449438202247191,5.5,12.5,0.08,0.037037037037037035,5.5,9.0,0.0,0.0,4.0,8.0,0.06832298136645963,0.033846153846153845,3.5,6.0,0.07,0.03804347826086957,4.5,5.0,0.07053941908713693,0.03632478632478633,8.5,17.5,14.5,27.0,0.0,0.0,14.5,27.5,0.0,0.0,10.0,15.0,0.0410958904109589,0.024193548387096774,1.0,1.0,0.6666666666666666,0.6666666666666666,15.0,29.0,0.0,0.0,16.5,34.5,0.0,0.0,6.0,16.5,0.06557377049180328,0.027972027972027972,5,9,0.060930753238445545,0.030238095238095238,10.0,17.0,0.03296703296703297,0.015384615384615385,3.0,3.5,0.10576923076923077,0.05641025641025641,11.0,14.0,0.038461538461538464,0.03125,18.5,37.5,0.04051054384017758,0.020283412058905253,0,0
Jack Higgins,6.0,10.0,0.0635593220338983,0.032679738562091505,5.5,11.5,0.06206896551724138,0.03225806451612903,5.0,8.0,0.06299212598425197,0.032520325203252036,2.5,2.5,0.1,0.061946902654867256,15.0,29.5,0.0,0.0,1.5,3.0,0.2222222222222222,0.1111111111111111,11.5,15.5,0.0392156862745098,0.025157232704402517,13.0,25.5,0.0,0.0,13.5,26.5,0.0,0.0,2.0,3.5,0.10526315789473684,0.05405405405405406,9.5,21.0,0.03333333333333333,0.013157894736842105,13.0,24.5,0.04054054054054054,0.020134228187919462,20.5,39.5,0.0,0.0,11.5,23.5,0.04,0.018518518518518517,5.5,9.0,0.0,0.0,6.0,11.0,0.055900621118012424,0.027692307692307693,5.5,8.5,0.065,0.035326086956521736,10.5,21.5,0.04564315352697095,0.023504273504273504,21.0,40.5,3.5,4.0,0.16666666666666666,0.125,1.5,2.0,0.2857142857142857,0.16666666666666666,22.0,42.0,0.0,0.0,13.0,24.0,0.0,0.0,15.0,29.0,0.0,0.0,8.5,19.5,0.045454545454545456,0.017543859649122806,3.0,10.5,0.08196721311475409,0.03496503496503497,2,5,0.08156085079162002,0.04047619047619048,21.5,40.0,0.07692307692307693,0.035897435897435895,11.5,24.5,0.028846153846153848,0.015384615384615385,6.5,7.0,0.07692307692307693,0.0625,5.5,11.5,0.04827968923418424,0.024173381494859682,0,0
Bradley Hill,6.0,10.0,0.0635593220338983,0.032679738562091505,7.5,14.5,0.05517241379310345,0.02867383512544803,7.0,10.0,0.06036745406824147,0.03116531165311653,18.0,35.0,0.014285714285714285,0.008849557522123894,15.0,29.5,0.0,0.0,15.5,29.5,0.0,0.0,14.5,21.0,0.029411764705882353,0.018867924528301886,13.0,25.5,0.0,0.0,2.0,4.0,0.3333333333333333,0.14285714285714285,7.5,16.0,0.05263157894736842,0.02702702702702703,6.5,14.0,0.06666666666666667,0.02631578947368421,8.5,15.0,0.05405405405405406,0.026845637583892617,13.0,27.5,0.022727272727272728,0.011235955056179775,11.5,23.5,0.04,0.018518518518518517,12.5,24.0,0.034482758620689655,0.01818181818181818,10.0,20.5,0.043478260869565216,0.021538461538461538,5.5,8.5,0.065,0.035326086956521736,6.5,9.5,0.06224066390041494,0.03205128205128205,14.0,25.0,14.5,27.0,0.0,0.0,14.5,27.5,0.0,0.0,3.0,5.0,0.0821917808219178,0.04838709677419355,13.0,24.0,0.0,0.0,15.0,29.0,0.0,0.0,5.0,11.0,0.09090909090909091,0.03508771929824561,14.5,30.5,0.03278688524590164,0.013986013986013986,6,10,0.058212058212058215,0.028888888888888888,15.5,28.5,0.054945054945054944,0.02564102564102564,7.0,12.5,0.057692307692307696,0.03076923076923077,18.5,32.0,0.0,0.0,4.0,10.0,0.048834628190899,0.024451236454570716,0,0
Jack Billings,9.0,14.5,0.05084745762711865,0.026143790849673203,4.0,8.0,0.06896551724137931,0.035842293906810034,8.5,11.5,0.05774278215223097,0.02981029810298103,6.5,7.5,0.05714285714285714,0.035398230088495575,15.0,29.5,0.0,0.0,5.0,9.0,0.1111111111111111,0.05555555555555555,18.5,29.0,0.0196078431372549,0.012578616352201259,13.0,25.5,0.0,0.0,13.5,26.5,0.0,0.0,4.0,9.0,0.07017543859649122,0.036036036036036036,6.5,14.0,0.06666666666666667,0.02631578947368421,17.0,33.5,0.02702702702702703,0.013422818791946308,7.5,18.5,0.045454545454545456,0.02247191011235955,19.5,37.5,0.0,0.0,17.0,34.0,0.06896551724137931,0.03636363636363636,10.0,20.5,0.043478260869565216,0.021538461538461538,1.0,2.0,0.08,0.043478260869565216,6.5,9.5,0.06224066390041494,0.03205128205128205,11.0,20.5,14.5,27.0,0.0,0.0,14.5,27.5,0.0,0.0,17.0,31.5,0.0136986301369863,0.008064516129032258,13.0,24.0,0.0,0.0,15.0,29.0,0.0,0.0,5.0,11.0,0.09090909090909091,0.03508771929824561,19.0,37.5,0.01639344262295082,0.006993006993006993,3,6,0.07196545658084119,0.03571428571428571,21.5,40.0,0.07692307692307693,0.035897435897435895,15.5,32.0,0.019230769230769232,0.010256410256410256,6.5,7.0,0.07692307692307693,0.0625,8.5,15.0,0.04772475027746948,0.02389552653514865,0,0
Tom Highmore,6.0,10.0,0.0635593220338983,0.032679738562091505,9.0,17.5,0.04827586206896552,0.025089605734767026,8.5,11.5,0.05774278215223097,0.02981029810298103,1.0,1.0,0.18571428571428572,0.11504424778761062,15.0,29.5,0.0,0.0,15.5,29.5,0.0,0.0,11.5,15.5,0.0392156862745098,0.025157232704402517,13.0,25.5,0.0,0.0,13.5,26.5,0.0,0.0,12.0,24.0,0.03508771929824561,0.018018018018018018,17.0,35.0,0.0,0.0,8.5,15.0,0.05405405405405406,0.026845637583892617,2.5,3.5,0.11363636363636363,0.056179775280898875,5.5,12.5,0.08,0.037037037037037035,17.0,34.0,0.06896551724137931,0.03636363636363636,6.0,11.0,0.055900621118012424,0.027692307692307693,7.5,11.0,0.06,0.03260869565217391,4.5,5.0,0.07053941908713693,0.03632478632478633,4.0,7.0,2.0,2.0,0.25,0.1875,14.5,27.5,0.0,0.0,7.0,10.5,0.0547945205479452,0.03225806451612903,13.0,24.0,0.0,0.0,15.0,29.0,0.0,0.0,16.5,34.5,0.0,0.0,14.5,30.5,0.03278688524590164,0.013986013986013986,7,11,0.058052134975211896,0.02880952380952381,10.0,17.0,0.03296703296703297,0.015384615384615385,1.0,1.0,0.14423076923076922,0.07692307692307693,18.5,32.0,0.0,0.0,16.0,33.0,0.04273029966703663,0.021394831897749374,0,0
Jimmy Webster,13.0,25.0,0.038135593220338986,0.0196078431372549,7.5,14.5,0.05517241379310345,0.02867383512544803,10.0,18.0,0.04461942257217848,0.023035230352303523,13.0,24.0,0.02857142857142857,0.017699115044247787,15.0,29.5,0.0,0.0,15.5,29.5,0.0,0.0,11.5,15.5,0.0392156862745098,0.025157232704402517,13.0,25.5,0.0,0.0,13.5,26.5,0.0,0.0,17.0,32.0,0.017543859649122806,0.009009009009009009,17.0,35.0,0.0,0.0,17.0,33.5,0.02702702702702703,0.013422818791946308,4.5,7.0,0.09090909090909091,0.0449438202247191,19.5,37.5,0.0,0.0,5.5,9.0,0.0,0.0,14.0,30.5,0.031055900621118012,0.015384615384615385,9.5,13.5,0.055,0.029891304347826088,8.5,17.0,0.04979253112033195,0.02564102564102564,8.5,17.5,14.5,27.0,0.0,0.0,14.5,27.5,0.0,0.0,17.0,31.5,0.0136986301369863,0.008064516129032258,13.0,24.0,0.0,0.0,15.0,29.0,0.0,0.0,16.5,34.5,0.0,0.0,10.0,23.0,0.04918032786885246,0.02097902097902098,14,26,0.040460578922117386,0.02007936507936508,12.5,22.5,0.04395604395604396,0.020512820512820513,9.0,16.5,0.04807692307692308,0.02564102564102564,18.5,32.0,0.0,0.0,13.0,24.0,0.04605993340732519,0.02306196165601556,0,0
