Player,Kicks OTR,Kicks BTR,Kicks OT%,Kicks BT%,Handballs OTR,Handballs BTR,Handballs OT%,Handballs BT%,Disposals OTR,Disposals BTR,Disposals OT%,Disposals BT%,Marks OTR,Marks BTR,Marks OT%,Marks BT%,Goals OTR,Goals BTR,Goals OT%,Goals BT%,Behinds OTR,Behinds BTR,Behinds OT%,Behinds BT%,Tackles OTR,Tackles BTR,Tackles OT%,Tackles BT%,Hitouts OTR,Hitouts BTR,Hitouts OT%,Hitouts BT%,Goal Assists OTR,Goal Assists BTR,Goal Assists OT%,Goal Assists BT%,Inside 50s OTR,Inside 50s BTR,Inside 50s OT%,Inside 50s BT%,Clearances OTR,Clearances BTR,Clearances OT%,Clearances BT%,Clangers OTR,Clangers BTR,Clangers OT%,Clangers BT%,Rebound 50s OTR,Rebound 50s BTR,Rebound 50s OT%,Rebound 50s BT%,Frees For OTR,Frees For BTR,Frees For OT%,Frees For BT%,Frees Agains OTR,Frees Agains BTR,Frees Agains OT%,Frees Agains BT%,Contested Possessions OTR,Contested Possessions BTR,Contested Possessions OT%,Contested Possessions BT%,Uncontested Possessions OTR,Uncontested Possessions BTR,Uncontested Possessions OT%,Uncontested Possessions BT%,Effective Disposals OTR,Effective Disposals BTR,Effective Disposals OT%,Effective Disposals BT%,Disposal Efficiency % OTR,Disposal Efficiency % BTR,Contested Marks OTR,Contested Marks BTR,Contested Marks OT%,Contested Marks BT%,Marks Inside 50 OTR,Marks Inside 50 BTR,Marks Inside 50 OT%,Marks Inside 50 BT%,One Percenters OTR,One Percenters BTR,One Percenters OT%,One Percenters BT%,Bounces OTR,Bounces BTR,Bounces OT%,Bounces BT%,Centre Clearances OTR,Centre Clearances BTR,Centre Clearances OT%,Centre Clearances BT%,Stoppage Clearances OTR,Stoppage Clearances BTR,Stoppage Clearances OT%,Stoppage Clearances BT%,Score Involvements OTR,Score Involvements BTR,Score Involvements OT%,Score Involvements BT%,Metres Gained OTR,Metres Gained BTR,Metres Gained OT%,Metres Gained BT%,Turnovers OTR,Turnovers BTR,Turnovers OT%,Turnovers BT%,Intercepts OTR,Intercepts BTR,Intercepts OT%,Intercepts BT%,Tackles Inside 50 OTR,Tackles Inside 50 BTR,Tackles Inside 50 OT%,Tackles Inside 50 BT%,Time On Ground % OTR,Time On Ground % BTR,Time On Ground % OT%,Time On Ground % BT%,Winloss,Brownlow Votes
Josh P. Kennedy,2.0,3.0,0.07531380753138076,0.0425531914893617,4.5,8.0,0.06569343065693431,0.033582089552238806,1.0,3.0,0.07180851063829788,0.03907380607814761,4.0,4.0,0.0673076923076923,0.04294478527607362,17.0,29.5,0.0,0.0,16.0,31.0,0.0,0.0,4.5,6.0,0.09090909090909091,0.047619047619047616,12.5,25.0,0.0,0.0,7.5,10.5,0.07142857142857142,0.05,4.5,9.0,0.08196721311475409,0.04310344827586207,1.0,3.0,0.25,0.10144927536231885,1.0,1.0,0.1702127659574468,0.0898876404494382,10.5,23.5,0.022727272727272728,0.011494252873563218,1.5,4.5,0.21428571428571427,0.07142857142857142,20.5,42.5,0.14285714285714285,0.09523809523809523,2.0,5.0,0.078125,0.03968253968253968,3.0,4.0,0.06896551724137931,0.038929440389294405,3.0,5.0,0.06428571428571428,0.03529411764705882,17.5,32.0,15.0,28.5,0.0,0.0,16.0,30.5,0.0,0.0,13.5,25.5,0.018867924528301886,0.011627906976744186,13.0,25.0,0.0,0.0,1.0,2.5,0.4,0.15384615384615385,1.5,5.5,0.16666666666666666,0.06976744186046512,2.0,3.5,0.075,0.04017857142857143,3.0,7.0,0.0661661191928672,0.034803356919532666,20.0,38.5,0.08196721311475409,0.04032258064516129,13.5,25.5,0.03125,0.016,14.5,29.5,0.0,0.0,13.5,26.0,0.044975013881177126,0.022481265611990008,1,3
Jake Lloyd,3.5,4.5,0.07112970711297072,0.04018912529550828,4.5,8.0,0.06569343065693431,0.033582089552238806,2.0,4.0,0.06914893617021277,0.03762662807525326,13.5,17.0,0.038461538461538464,0.024539877300613498,17.0,29.5,0.0,0.0,16.0,31.0,0.0,0.0,10.5,20.0,0.03636363636363636,0.01904761904761905,12.5,25.0,0.0,0.0,17.5,31.0,0.0,0.0,21.0,40.0,0.0,0.0,10.0,18.5,0.03571428571428571,0.014492753623188406,9.5,20.0,0.0425531914893617,0.02247191011235955,2.0,3.0,0.18181818181818182,0.09195402298850575,16.5,34.5,0.0,0.0,12.0,27.0,0.03571428571428571,0.023809523809523808,9.0,18.0,0.046875,0.023809523809523808,14.5,25.0,0.03879310344827586,0.021897810218978103,1.0,2.0,0.08214285714285714,0.045098039215686274,1.5,3.0,15.0,28.5,0.0,0.0,16.0,30.5,0.0,0.0,8.0,12.0,0.05660377358490566,0.03488372093023256,1.0,1.0,0.6666666666666666,0.4444444444444444,14.0,28.0,0.0,0.0,8.5,16.0,0.05555555555555555,0.023255813953488372,12.0,21.0,0.041666666666666664,0.022321428571428572,8.5,17.5,0.044110746128578134,0.02320223794635511,14.0,26.5,0.04918032786885246,0.024193548387096774,3.0,5.0,0.09375,0.048,14.5,29.5,0.0,0.0,12.0,23.0,0.04553026096612993,0.022758812101026923,1,0
Braeden Campbell,1.0,1.0,0.08786610878661087,0.04964539007092199,17.0,34.0,0.029197080291970802,0.014925373134328358,3.0,5.0,0.06648936170212766,0.0361794500723589,7.0,8.0,0.057692307692307696,0.03680981595092025,17.0,29.5,0.0,0.0,6.0,13.0,0.09090909090909091,0.03333333333333333,10.5,20.0,0.03636363636363636,0.01904761904761905,12.5,25.0,0.0,0.0,17.5,31.0,0.0,0.0,10.0,17.0,0.04918032786885246,0.02586206896551724,17.5,34.0,0.0,0.0,15.5,32.5,0.02127659574468085,0.011235955056179775,2.0,3.0,0.18181818181818182,0.09195402298850575,6.5,17.5,0.07142857142857142,0.023809523809523808,12.0,27.0,0.03571428571428571,0.023809523809523808,18.0,31.0,0.03125,0.015873015873015872,1.5,2.5,0.07758620689655173,0.043795620437956206,2.0,3.0,0.07142857142857142,0.0392156862745098,8.5,17.5,15.0,28.5,0.0,0.0,16.0,30.5,0.0,0.0,13.5,25.5,0.018867924528301886,0.011627906976744186,2.5,4.0,0.16666666666666666,0.1111111111111111,14.0,28.0,0.0,0.0,17.0,32.5,0.0,0.0,12.0,21.0,0.041666666666666664,0.022321428571428572,1.0,1.0,0.11074612857813233,0.05825242718446602,7.5,16.5,0.03278688524590164,0.016129032258064516,5.0,7.0,0.078125,0.04,14.5,29.5,0.0,0.0,15.5,32.0,0.04386451971127152,0.02192617263391618,1,0
Luke Parker,5.0,6.0,0.06694560669456066,0.037825059101654845,8.0,13.5,0.051094890510948905,0.026119402985074626,5.0,7.0,0.061170212765957445,0.03328509406657019,13.5,17.0,0.038461538461538464,0.024539877300613498,8.5,11.0,0.05555555555555555,0.034482758620689655,6.0,13.0,0.09090909090909091,0.03333333333333333,2.0,3.0,0.12727272727272726,0.06666666666666667,12.5,25.0,0.0,0.0,7.5,10.5,0.07142857142857142,0.05,1.5,3.5,0.09836065573770492,0.05172413793103448,2.0,7.0,0.14285714285714285,0.057971014492753624,3.0,3.0,0.10638297872340426,0.056179775280898875,17.5,36.5,0.0,0.0,6.5,17.5,0.07142857142857142,0.023809523809523808,20.5,42.5,0.14285714285714285,0.09523809523809523,2.0,5.0,0.078125,0.03968253968253968,9.5,13.0,0.05172413793103448,0.029197080291970802,8.5,13.0,0.05357142857142857,0.029411764705882353,19.0,34.0,15.0,28.5,0.0,0.0,16.0,30.5,0.0,0.0,13.5,25.5,0.018867924528301886,0.011627906976744186,13.0,25.0,0.0,0.0,2.0,4.5,0.3,0.11538461538461539,8.5,16.0,0.05555555555555555,0.023255813953488372,6.5,11.5,0.058333333333333334,0.03125,5.0,10.0,0.05756295948693884,0.030278097745598156,22.0,42.0,0.09836065573770492,0.04838709677419355,10.0,18.5,0.046875,0.024,1.5,2.5,0.3,0.13043478260869565,17.5,35.0,0.043309272626318715,0.02164862614487927,1,0
Jordan Dawson,3.5,4.5,0.07112970711297072,0.04018912529550828,11.0,18.5,0.043795620437956206,0.022388059701492536,5.0,7.0,0.061170212765957445,0.03328509406657019,10.0,12.0,0.04807692307692308,0.03067484662576687,17.0,29.5,0.0,0.0,6.0,13.0,0.09090909090909091,0.03333333333333333,10.5,20.0,0.03636363636363636,0.01904761904761905,12.5,25.0,0.0,0.0,7.5,10.5,0.07142857142857142,0.05,4.5,9.0,0.08196721311475409,0.04310344827586207,17.5,34.0,0.0,0.0,20.5,41.0,0.0,0.0,2.0,3.0,0.18181818181818182,0.09195402298850575,16.5,34.5,0.0,0.0,4.0,10.0,0.0,0.0,18.0,31.0,0.03125,0.015873015873015872,9.5,13.0,0.05172413793103448,0.029197080291970802,4.5,7.5,0.060714285714285714,0.03333333333333333,12.0,24.0,15.0,28.5,0.0,0.0,16.0,30.5,0.0,0.0,5.0,5.5,0.09433962264150944,0.05813953488372093,13.0,25.0,0.0,0.0,14.0,28.0,0.0,0.0,17.0,32.5,0.0,0.0,3.5,6.5,0.06666666666666667,0.03571428571428571,2.0,3.0,0.10073517910214297,0.05298667105479678,20.0,38.5,0.08196721311475409,0.04032258064516129,3.0,5.0,0.09375,0.048,14.5,29.5,0.0,0.0,9.5,16.5,0.046640755136035536,0.02331390507910075,1,0
Oliver Florent,12.0,20.0,0.04184100418410042,0.02364066193853428,1.0,2.0,0.0948905109489051,0.048507462686567165,5.0,7.0,0.061170212765957445,0.03328509406657019,21.0,35.5,0.019230769230769232,0.012269938650306749,17.0,29.5,0.0,0.0,6.0,13.0,0.09090909090909091,0.03333333333333333,10.5,20.0,0.03636363636363636,0.01904761904761905,12.5,25.0,0.0,0.0,17.5,31.0,0.0,0.0,4.5,9.0,0.08196721311475409,0.04310344827586207,6.0,11.5,0.07142857142857142,0.028985507246376812,9.5,20.0,0.0425531914893617,0.02247191011235955,7.5,15.0,0.045454545454545456,0.022988505747126436,6.5,17.5,0.07142857142857142,0.023809523809523808,4.0,10.0,0.0,0.0,6.5,14.5,0.0546875,0.027777777777777776,1.5,2.5,0.07758620689655173,0.043795620437956206,4.5,7.5,0.060714285714285714,0.03333333333333333,12.0,24.0,15.0,28.5,0.0,0.0,16.0,30.5,0.0,0.0,6.5,7.5,0.07547169811320754,0.046511627906976744,13.0,25.0,0.0,0.0,14.0,28.0,0.0,0.0,4.0,9.5,0.1111111111111111,0.046511627906976744,6.5,11.5,0.058333333333333334,0.03125,4.0,9.0,0.06381980290943219,0.03356919532664143,14.0,26.5,0.04918032786885246,0.024193548387096774,10.0,18.5,0.046875,0.024,14.5,29.5,0.0,0.0,19.0,38.0,0.042754025541365905,0.021371079655842354,1,0
Errol Gulden,8.5,12.5,0.0502092050209205,0.028368794326241134,3.0,5.0,0.072992700729927,0.03731343283582089,7.0,9.0,0.05851063829787234,0.03183791606367583,4.0,4.0,0.0673076923076923,0.04294478527607362,8.5,11.0,0.05555555555555555,0.034482758620689655,6.0,13.0,0.09090909090909091,0.03333333333333333,10.5,20.0,0.03636363636363636,0.01904761904761905,12.5,25.0,0.0,0.0,1.5,2.0,0.14285714285714285,0.1,10.0,17.0,0.04918032786885246,0.02586206896551724,10.0,18.5,0.03571428571428571,0.014492753623188406,15.5,32.5,0.02127659574468085,0.011235955056179775,17.5,36.5,0.0,0.0,6.5,17.5,0.07142857142857142,0.023809523809523808,4.0,10.0,0.0,0.0,4.0,8.5,0.0703125,0.03571428571428571,9.5,13.0,0.05172413793103448,0.029197080291970802,6.0,10.0,0.05714285714285714,0.03137254901960784,14.0,26.0,15.0,28.5,0.0,0.0,7.0,12.0,0.06666666666666667,0.037037037037037035,10.0,18.0,0.03773584905660377,0.023255813953488372,13.0,25.0,0.0,0.0,14.0,28.0,0.0,0.0,8.5,16.0,0.05555555555555555,0.023255813953488372,1.0,2.0,0.09166666666666666,0.049107142857142856,11.0,20.0,0.04176442984514313,0.02196807635346388,3.0,8.0,0.01639344262295082,0.008064516129032258,19.5,41.0,0.0,0.0,4.5,10.0,0.1,0.043478260869565216,6.5,11.5,0.04775124930594114,0.023868998057174576,1,0
Justin McInerney,7.0,9.5,0.05439330543933055,0.030732860520094562,8.0,13.5,0.051094890510948905,0.026119402985074626,8.5,13.5,0.05319148936170213,0.02894356005788712,10.0,12.0,0.04807692307692308,0.03067484662576687,8.5,11.0,0.05555555555555555,0.034482758620689655,16.0,31.0,0.0,0.0,20.5,40.5,0.0,0.0,12.5,25.0,0.0,0.0,7.5,10.5,0.07142857142857142,0.05,4.5,9.0,0.08196721311475409,0.04310344827586207,3.5,8.5,0.10714285714285714,0.043478260869565216,15.5,32.5,0.02127659574468085,0.011235955056179775,10.5,23.5,0.022727272727272728,0.011494252873563218,1.5,4.5,0.21428571428571427,0.07142857142857142,12.0,27.0,0.03571428571428571,0.023809523809523808,6.5,14.5,0.0546875,0.027777777777777776,4.0,5.5,0.06465517241379311,0.0364963503649635,12.0,18.5,0.04285714285714286,0.023529411764705882,20.0,38.0,4.5,7.0,0.125,0.07692307692307693,7.0,12.0,0.06666666666666667,0.037037037037037035,10.0,18.0,0.03773584905660377,0.023255813953488372,13.0,25.0,0.0,0.0,14.0,28.0,0.0,0.0,1.5,5.5,0.16666666666666666,0.06976744186046512,9.0,15.5,0.05,0.026785714285714284,6.0,13.0,0.0545909588612545,0.0287148263946026,14.0,26.5,0.04918032786885246,0.024193548387096774,10.0,18.5,0.046875,0.024,14.5,29.5,0.0,0.0,22.0,43.0,0.036646307606885066,0.018318068276436304,1,0
Chad Warner,8.5,12.5,0.0502092050209205,0.028368794326241134,6.0,11.0,0.058394160583941604,0.029850746268656716,8.5,13.5,0.05319148936170213,0.02894356005788712,21.0,35.5,0.019230769230769232,0.012269938650306749,4.0,6.0,0.1111111111111111,0.06896551724137931,6.0,13.0,0.09090909090909091,0.03333333333333333,6.0,10.0,0.07272727272727272,0.0380952380952381,12.5,25.0,0.0,0.0,7.5,10.5,0.07142857142857142,0.05,1.5,3.5,0.09836065573770492,0.05172413793103448,6.0,11.5,0.07142857142857142,0.028985507246376812,9.5,20.0,0.0425531914893617,0.02247191011235955,10.5,23.5,0.022727272727272728,0.011494252873563218,16.5,34.5,0.0,0.0,18.0,38.0,0.07142857142857142,0.047619047619047616,2.0,5.0,0.078125,0.03968253968253968,14.5,25.0,0.03879310344827586,0.021897810218978103,11.0,16.5,0.05,0.027450980392156862,16.0,29.5,15.0,28.5,0.0,0.0,16.0,30.5,0.0,0.0,19.0,37.5,0.0,0.0,13.0,25.0,0.0,0.0,14.0,28.0,0.0,0.0,4.0,9.5,0.1111111111111111,0.046511627906976744,3.5,6.5,0.06666666666666667,0.03571428571428571,7.0,15.0,0.04989832629438448,0.026246503208820143,7.5,16.5,0.03278688524590164,0.016129032258064516,6.5,11.0,0.0625,0.032,14.5,29.5,0.0,0.0,13.5,26.0,0.044975013881177126,0.022481265611990008,1,0
Callum Mills,18.0,30.5,0.029288702928870293,0.016548463356973995,2.0,3.0,0.08759124087591241,0.04477611940298507,10.0,15.0,0.05053191489361702,0.027496382054992764,10.0,12.0,0.04807692307692308,0.03067484662576687,17.0,29.5,0.0,0.0,16.0,31.0,0.0,0.0,2.0,3.0,0.12727272727272726,0.06666666666666667,12.5,25.0,0.0,0.0,17.5,31.0,0.0,0.0,7.0,13.0,0.06557377049180328,0.034482758620689655,3.5,8.5,0.10714285714285714,0.043478260869565216,9.5,20.0,0.0425531914893617,0.02247191011235955,17.5,36.5,0.0,0.0,16.5,34.5,0.0,0.0,12.0,27.0,0.03571428571428571,0.023809523809523808,6.5,14.5,0.0546875,0.027777777777777776,5.0,7.0,0.0603448275862069,0.0340632603406326,8.5,13.0,0.05357142857142857,0.029411764705882353,10.0,20.0,15.0,28.5,0.0,0.0,16.0,30.5,0.0,0.0,6.5,7.5,0.07547169811320754,0.046511627906976744,2.5,4.0,0.16666666666666666,0.1111111111111111,4.0,9.0,0.1,0.038461538461538464,4.0,9.5,0.1111111111111111,0.046511627906976744,16.5,29.5,0.03333333333333333,0.017857142857142856,18.0,31.0,0.026904426716721414,0.014151719598486096,14.0,26.5,0.04918032786885246,0.024193548387096774,19.5,41.0,0.0,0.0,4.5,10.0,0.1,0.043478260869565216,9.5,16.5,0.046640755136035536,0.02331390507910075,1,0
