Player,Kicks OTR,Kicks BTR,Kicks OT%,Kicks BT%,Handballs OTR,Handballs BTR,Handballs OT%,Handballs BT%,Disposals OTR,Disposals BTR,Disposals OT%,Disposals BT%,Marks OTR,Marks BTR,Marks OT%,Marks BT%,Goals OTR,Goals BTR,Goals OT%,Goals BT%,Behinds OTR,Behinds BTR,Behinds OT%,Behinds BT%,Tackles OTR,Tackles BTR,Tackles OT%,Tackles BT%,Hitouts OTR,Hitouts BTR,Hitouts OT%,Hitouts BT%,Goal Assists OTR,Goal Assists BTR,Goal Assists OT%,Goal Assists BT%,Inside 50s OTR,Inside 50s BTR,Inside 50s OT%,Inside 50s BT%,Clearances OTR,Clearances BTR,Clearances OT%,Clearances BT%,Clangers OTR,Clangers BTR,Clangers OT%,Clangers BT%,Rebound 50s OTR,Rebound 50s BTR,Rebound 50s OT%,Rebound 50s BT%,Frees For OTR,Frees For BTR,Frees For OT%,Frees For BT%,Frees Agains OTR,Frees Agains BTR,Frees Agains OT%,Frees Agains BT%,Contested Possessions OTR,Contested Possessions BTR,Contested Possessions OT%,Contested Possessions BT%,Uncontested Possessions OTR,Uncontested Possessions BTR,Uncontested Possessions OT%,Uncontested Possessions BT%,Effective Disposals OTR,Effective Disposals BTR,Effective Disposals OT%,Effective Disposals BT%,Disposal Efficiency % OTR,Disposal Efficiency % BTR,Contested Marks OTR,Contested Marks BTR,Contested Marks OT%,Contested Marks BT%,Marks Inside 50 OTR,Marks Inside 50 BTR,Marks Inside 50 OT%,Marks Inside 50 BT%,One Percenters OTR,One Percenters BTR,One Percenters OT%,One Percenters BT%,Bounces OTR,Bounces BTR,Bounces OT%,Bounces BT%,Centre Clearances OTR,Centre Clearances BTR,Centre Clearances OT%,Centre Clearances BT%,Stoppage Clearances OTR,Stoppage Clearances BTR,Stoppage Clearances OT%,Stoppage Clearances BT%,Score Involvements OTR,Score Involvements BTR,Score Involvements OT%,Score Involvements BT%,Metres Gained OTR,Metres Gained BTR,Metres Gained OT%,Metres Gained BT%,Turnovers OTR,Turnovers BTR,Turnovers OT%,Turnovers BT%,Intercepts OTR,Intercepts BTR,Intercepts OT%,Intercepts BT%,Tackles Inside 50 OTR,Tackles Inside 50 BTR,Tackles Inside 50 OT%,Tackles Inside 50 BT%,Time On Ground % OTR,Time On Ground % BTR,Time On Ground % OT%,Time On Ground % BT%,Winloss,Brownlow Votes
Sam Walsh,12.5,21.5,0.041474654377880185,0.020594965675057208,1.0,1.0,0.16,0.07722007722007722,1.0,2.0,0.0847953216374269,0.041666666666666664,3.0,6.5,0.08080808080808081,0.041666666666666664,15.0,31.0,0.0,0.0,3.5,9.0,0.16666666666666666,0.05,5.5,14.0,0.07142857142857142,0.029411764705882353,13.0,26.5,0.0,0.0,16.5,31.0,0.0,0.0,10.5,20.5,0.043478260869565216,0.019230769230769232,2.0,5.5,0.14285714285714285,0.0641025641025641,1.5,1.5,0.10526315789473684,0.056074766355140186,19.0,36.5,0.0,0.0,7.0,15.5,0.07142857142857142,0.029411764705882353,5.5,12.0,0.0,0.0,1.0,3.0,0.1111111111111111,0.04924242424242424,2.5,3.5,0.07547169811320754,0.038461538461538464,2.0,5.0,0.07114624505928854,0.03515625,21.0,39.5,5.5,12.5,0.09090909090909091,0.037037037037037035,5.5,12.0,0.09090909090909091,0.034482758620689655,19.5,39.5,0.0,0.0,15.5,29.5,0.0,0.0,1.0,3.0,0.2727272727272727,0.12,5.5,10.5,0.08333333333333333,0.03773584905660377,14.0,29.5,0.03488372093023256,0.015544041450777202,13,24.0,0.038184057715995076,0.018641010222489478,19.5,40.5,0.08064516129032258,0.043478260869565216,11.0,22.5,0.03773584905660377,0.017391304347826087,12.5,28.0,0.0,0.0,5.5,13.5,0.04775124930594114,0.023868998057174576,0,0
Nic Newman,1.0,1.0,0.0967741935483871,0.04805491990846682,6.5,15.0,0.048,0.023166023166023165,2.0,5.0,0.07894736842105263,0.03879310344827586,1.0,3.5,0.09090909090909091,0.046875,15.0,31.0,0.0,0.0,14.5,30.0,0.0,0.0,5.5,14.0,0.07142857142857142,0.029411764705882353,13.0,26.5,0.0,0.0,5.5,9.5,0.1,0.05555555555555555,10.5,20.5,0.043478260869565216,0.019230769230769232,18.5,36.5,0.0,0.0,13.0,24.0,0.03508771929824561,0.018691588785046728,1.0,1.0,0.15555555555555556,0.08860759493670886,3.0,6.5,0.14285714285714285,0.058823529411764705,20.0,41.0,0.1,0.058823529411764705,3.5,12.0,0.05982905982905983,0.026515151515151516,5.5,8.5,0.0660377358490566,0.03365384615384615,1.0,1.0,0.09486166007905138,0.046875,5.0,8.0,5.5,12.5,0.09090909090909091,0.037037037037037035,16.0,32.0,0.0,0.0,13.5,29.0,0.017857142857142856,0.01,5.0,8.5,0.1111111111111111,0.0625,15.0,29.0,0.0,0.0,18.0,36.0,0.0,0.0,14.0,29.5,0.03488372093023256,0.015544041450777202,1,1.0,0.11912722153792012,0.05815651576325058,16.0,35.5,0.06451612903225806,0.034782608695652174,1.5,5.0,0.11320754716981132,0.05217391304347826,12.5,28.0,0.0,0.0,2.0,4.0,0.05052748473070516,0.025256730502359145,0,0
Edward Curnow,3.5,5.5,0.07373271889400922,0.036613272311212815,3.0,7.5,0.072,0.03474903474903475,3.0,6.0,0.07309941520467836,0.035919540229885055,3.0,6.5,0.08080808080808081,0.041666666666666664,1.0,1.0,0.36363636363636365,0.17391304347826086,14.5,30.0,0.0,0.0,8.5,21.0,0.047619047619047616,0.0196078431372549,13.0,26.5,0.0,0.0,16.5,31.0,0.0,0.0,4.0,9.0,0.08695652173913043,0.038461538461538464,11.5,21.0,0.02857142857142857,0.01282051282051282,5.0,8.0,0.07017543859649122,0.037383177570093455,19.0,36.5,0.0,0.0,16.5,34.5,0.0,0.0,20.0,41.0,0.1,0.058823529411764705,6.5,17.0,0.05128205128205128,0.022727272727272728,1.0,2.0,0.08490566037735849,0.04326923076923077,3.5,8.0,0.06719367588932806,0.033203125,18.0,34.0,16.0,31.5,0.0,0.0,1.0,2.5,0.2727272727272727,0.10344827586206896,9.5,19.5,0.03571428571428571,0.02,15.5,29.5,0.0,0.0,15.0,29.0,0.0,0.0,10.5,20.0,0.041666666666666664,0.018867924528301886,1.0,3.5,0.10465116279069768,0.046632124352331605,5,12.0,0.06299489706141123,0.0307533717034619,19.5,40.5,0.08064516129032258,0.043478260869565216,16.0,33.5,0.018867924528301886,0.008695652173913044,12.5,28.0,0.0,0.0,9.0,20.0,0.04608550805108273,0.023036358590063834,0,2
Liam Stocker,2.0,3.0,0.08294930875576037,0.041189931350114416,10.0,20.5,0.04,0.019305019305019305,4.0,7.0,0.06725146198830409,0.033045977011494254,12.5,21.0,0.04040404040404041,0.020833333333333332,15.0,31.0,0.0,0.0,14.5,30.0,0.0,0.0,15.0,32.0,0.023809523809523808,0.00980392156862745,13.0,26.5,0.0,0.0,16.5,31.0,0.0,0.0,10.5,20.5,0.043478260869565216,0.019230769230769232,8.0,13.5,0.05714285714285714,0.02564102564102564,5.0,8.0,0.07017543859649122,0.037383177570093455,2.5,2.5,0.13333333333333333,0.0759493670886076,16.5,34.5,0.0,0.0,14.0,30.5,0.05,0.029411764705882353,6.5,17.0,0.05128205128205128,0.022727272727272728,5.5,8.5,0.0660377358490566,0.03365384615384615,3.5,8.0,0.06719367588932806,0.033203125,14.0,26.0,16.0,31.5,0.0,0.0,16.0,32.0,0.0,0.0,5.0,6.0,0.08928571428571429,0.05,15.5,29.5,0.0,0.0,15.0,29.0,0.0,0.0,5.5,10.5,0.08333333333333333,0.03773584905660377,19.5,38.0,0.023255813953488372,0.010362694300518135,2,3.0,0.09273271159598803,0.04527102482604587,19.5,40.5,0.08064516129032258,0.043478260869565216,4.0,8.0,0.09433962264150944,0.043478260869565216,12.5,28.0,0.0,0.0,16.5,31.0,0.04386451971127152,0.02192617263391618,0,0
Matthew Kennedy,3.5,5.5,0.07373271889400922,0.036613272311212815,10.0,20.5,0.04,0.019305019305019305,5.0,9.5,0.06140350877192982,0.03017241379310345,5.5,9.5,0.0707070707070707,0.036458333333333336,15.0,31.0,0.0,0.0,14.5,30.0,0.0,0.0,2.0,5.5,0.11904761904761904,0.049019607843137254,13.0,26.5,0.0,0.0,16.5,31.0,0.0,0.0,2.0,5.5,0.10869565217391304,0.04807692307692308,3.5,7.5,0.11428571428571428,0.05128205128205128,5.0,8.0,0.07017543859649122,0.037383177570093455,12.0,22.5,0.022222222222222223,0.012658227848101266,7.0,15.5,0.07142857142857142,0.029411764705882353,5.5,12.0,0.0,0.0,11.5,23.5,0.042735042735042736,0.01893939393939394,4.0,5.5,0.07075471698113207,0.036057692307692304,8.0,16.5,0.05138339920948617,0.025390625,22.0,41.0,16.0,31.5,0.0,0.0,16.0,32.0,0.0,0.0,19.5,39.5,0.0,0.0,1.5,2.5,0.2222222222222222,0.125,3.0,6.0,0.18181818181818182,0.08,5.5,10.5,0.08333333333333333,0.03773584905660377,8.0,20.0,0.046511627906976744,0.02072538860103627,7,14.0,0.05666021467534753,0.027660853878532773,19.5,40.5,0.08064516129032258,0.043478260869565216,16.0,33.5,0.018867924528301886,0.008695652173913044,12.5,28.0,0.0,0.0,19.0,37.0,0.041088284286507494,0.020538440188731612,0,0
Lachlan Fogarty,8.5,16.5,0.055299539170506916,0.02745995423340961,4.0,10.0,0.064,0.03088803088803089,6.0,12.5,0.05847953216374269,0.028735632183908046,5.5,9.5,0.0707070707070707,0.036458333333333336,15.0,31.0,0.0,0.0,14.5,30.0,0.0,0.0,4.0,9.5,0.09523809523809523,0.0392156862745098,13.0,26.5,0.0,0.0,1.0,2.0,0.2,0.1111111111111111,17.0,33.0,0.021739130434782608,0.009615384615384616,5.5,10.0,0.08571428571428572,0.038461538461538464,13.0,24.0,0.03508771929824561,0.018691588785046728,8.5,16.5,0.044444444444444446,0.02531645569620253,16.5,34.5,0.0,0.0,20.0,41.0,0.1,0.058823529411764705,6.5,17.0,0.05128205128205128,0.022727272727272728,2.5,3.5,0.07547169811320754,0.038461538461538464,5.0,11.0,0.05928853754940711,0.029296875,12.0,24.0,16.0,31.5,0.0,0.0,5.5,12.0,0.09090909090909091,0.034482758620689655,9.5,19.5,0.03571428571428571,0.02,15.5,29.5,0.0,0.0,3.0,6.0,0.18181818181818182,0.08,10.5,20.0,0.041666666666666664,0.018867924528301886,4.0,11.0,0.06976744186046512,0.031088082901554404,11,21.0,0.04205525250747844,0.020530882226612833,13.5,30.0,0.04838709677419355,0.02608695652173913,16.0,33.5,0.018867924528301886,0.008695652173913044,12.5,28.0,0.0,0.0,20.0,38.0,0.04053303720155469,0.0202608936996947,0,0
Adam Saad,5.0,9.5,0.06912442396313365,0.034324942791762014,14.0,27.5,0.032,0.015444015444015444,7.0,14.5,0.05555555555555555,0.027298850574712645,9.5,15.0,0.050505050505050504,0.026041666666666668,15.0,31.0,0.0,0.0,3.5,9.0,0.16666666666666666,0.05,15.0,32.0,0.023809523809523808,0.00980392156862745,13.0,26.5,0.0,0.0,5.5,9.5,0.1,0.05555555555555555,2.0,5.5,0.10869565217391304,0.04807692307692308,8.0,13.5,0.05714285714285714,0.02564102564102564,8.5,15.5,0.05263157894736842,0.028037383177570093,4.5,5.5,0.1111111111111111,0.06329113924050633,16.5,34.5,0.0,0.0,5.5,12.0,0.0,0.0,11.5,23.5,0.042735042735042736,0.01893939393939394,9.0,14.5,0.05660377358490566,0.028846153846153848,6.0,13.0,0.05533596837944664,0.02734375,14.0,26.0,16.0,31.5,0.0,0.0,16.0,32.0,0.0,0.0,5.0,6.0,0.08928571428571429,0.05,5.0,8.5,0.1111111111111111,0.0625,15.0,29.0,0.0,0.0,5.5,10.5,0.08333333333333333,0.03773584905660377,5.0,13.5,0.05813953488372093,0.025906735751295335,3,5.0,0.08903748020411754,0.04346705609483721,23.0,46.0,0.11290322580645161,0.06086956521739131,4.0,8.0,0.09433962264150944,0.043478260869565216,12.5,28.0,0.0,0.0,14.0,28.0,0.04441976679622432,0.022203719122953096,0,0
Patrick Cripps,23.0,46.0,0.0,0.0,2.0,2.0,0.136,0.06563706563706563,8.5,17.0,0.049707602339181284,0.02442528735632184,21.0,42.5,0.010101010101010102,0.005208333333333333,15.0,31.0,0.0,0.0,14.5,30.0,0.0,0.0,15.0,32.0,0.023809523809523808,0.00980392156862745,13.0,26.5,0.0,0.0,5.5,9.5,0.1,0.05555555555555555,21.5,43.0,0.0,0.0,1.0,4.0,0.17142857142857143,0.07692307692307693,5.0,8.0,0.07017543859649122,0.037383177570093455,19.0,36.5,0.0,0.0,3.0,6.5,0.14285714285714285,0.058823529411764705,23.0,45.5,0.15,0.08823529411764706,2.0,4.5,0.10256410256410256,0.045454545454545456,15.5,31.0,0.02830188679245283,0.014423076923076924,8.0,16.5,0.05138339920948617,0.025390625,11.0,22.5,16.0,31.5,0.0,0.0,16.0,32.0,0.0,0.0,13.5,29.0,0.017857142857142856,0.01,15.5,29.5,0.0,0.0,5.5,10.0,0.09090909090909091,0.04,1.0,3.0,0.20833333333333334,0.09433962264150944,14.0,29.5,0.03488372093023256,0.015544041450777202,23,46.0,-0.0005278901988386416,-0.0002577098187440941,2.5,4.0,0.0,0.0,8.0,15.5,0.05660377358490566,0.02608695652173913,12.5,28.0,0.0,0.0,22.0,44.0,0.028317601332593003,0.014154870940882597,0,0
Lochie O'Brien,6.0,12.0,0.06451612903225806,0.032036613272311214,17.0,35.0,0.024,0.011583011583011582,8.5,17.0,0.049707602339181284,0.02442528735632184,12.5,21.0,0.04040404040404041,0.020833333333333332,15.0,31.0,0.0,0.0,1.0,3.5,0.3333333333333333,0.1,21.5,43.0,0.0,0.0,13.0,26.5,0.0,0.0,16.5,31.0,0.0,0.0,2.0,5.5,0.10869565217391304,0.04807692307692308,18.5,36.5,0.0,0.0,19.0,36.5,0.017543859649122806,0.009345794392523364,12.0,22.5,0.022222222222222223,0.012658227848101266,16.5,34.5,0.0,0.0,5.5,12.0,0.0,0.0,19.5,38.5,0.02564102564102564,0.011363636363636364,7.5,11.5,0.06132075471698113,0.03125,10.5,22.0,0.043478260869565216,0.021484375,20.0,38.0,16.0,31.5,0.0,0.0,16.0,32.0,0.0,0.0,13.5,29.0,0.017857142857142856,0.01,1.5,2.5,0.2222222222222222,0.125,15.0,29.0,0.0,0.0,18.0,36.0,0.0,0.0,3.0,8.0,0.08139534883720931,0.03626943005181347,4,11.0,0.06985746964631356,0.034103599347135125,7.0,12.0,0.016129032258064516,0.008695652173913044,11.0,22.5,0.03773584905660377,0.017391304347826087,12.5,28.0,0.0,0.0,4.0,8.0,0.04886174347584675,0.024424091035248403,0,0
Charlie Curnow,12.5,21.5,0.041474654377880185,0.020594965675057208,6.5,15.0,0.048,0.023166023166023165,10.0,20.5,0.043859649122807015,0.021551724137931036,7.5,11.5,0.06060606060606061,0.03125,15.0,31.0,0.0,0.0,3.5,9.0,0.16666666666666666,0.05,21.5,43.0,0.0,0.0,13.0,26.5,0.0,0.0,16.5,31.0,0.0,0.0,5.5,12.5,0.06521739130434782,0.028846153846153848,18.5,36.5,0.0,0.0,1.5,1.5,0.10526315789473684,0.056074766355140186,19.0,36.5,0.0,0.0,16.5,34.5,0.0,0.0,14.0,30.5,0.05,0.029411764705882353,6.5,17.0,0.05128205128205128,0.022727272727272728,11.0,22.0,0.04716981132075472,0.02403846153846154,10.5,22.0,0.043478260869565216,0.021484375,14.0,26.0,5.5,12.5,0.09090909090909091,0.037037037037037035,5.5,12.0,0.09090909090909091,0.034482758620689655,19.5,39.5,0.0,0.0,15.5,29.5,0.0,0.0,15.0,29.0,0.0,0.0,18.0,36.0,0.0,0.0,14.0,29.5,0.03488372093023256,0.015544041450777202,8,16.0,0.0541967270807672,0.026458208057727,19.5,40.5,0.08064516129032258,0.043478260869565216,16.0,33.5,0.018867924528301886,0.008695652173913044,12.5,28.0,0.0,0.0,10.5,22.5,0.04553026096612993,0.022758812101026923,0,0
