Player,Kicks OTR,Kicks BTR,Kicks OT%,Kicks BT%,Handballs OTR,Handballs BTR,Handballs OT%,Handballs BT%,Disposals OTR,Disposals BTR,Disposals OT%,Disposals BT%,Marks OTR,Marks BTR,Marks OT%,Marks BT%,Goals OTR,Goals BTR,Goals OT%,Goals BT%,Behinds OTR,Behinds BTR,Behinds OT%,Behinds BT%,Tackles OTR,Tackles BTR,Tackles OT%,Tackles BT%,Hitouts OTR,Hitouts BTR,Hitouts OT%,Hitouts BT%,Goal Assists OTR,Goal Assists BTR,Goal Assists OT%,Goal Assists BT%,Inside 50s OTR,Inside 50s BTR,Inside 50s OT%,Inside 50s BT%,Clearances OTR,Clearances BTR,Clearances OT%,Clearances BT%,Clangers OTR,Clangers BTR,Clangers OT%,Clangers BT%,Rebound 50s OTR,Rebound 50s BTR,Rebound 50s OT%,Rebound 50s BT%,Frees For OTR,Frees For BTR,Frees For OT%,Frees For BT%,Frees Agains OTR,Frees Agains BTR,Frees Agains OT%,Frees Agains BT%,Contested Possessions OTR,Contested Possessions BTR,Contested Possessions OT%,Contested Possessions BT%,Uncontested Possessions OTR,Uncontested Possessions BTR,Uncontested Possessions OT%,Uncontested Possessions BT%,Effective Disposals OTR,Effective Disposals BTR,Effective Disposals OT%,Effective Disposals BT%,Disposal Efficiency % OTR,Disposal Efficiency % BTR,Contested Marks OTR,Contested Marks BTR,Contested Marks OT%,Contested Marks BT%,Marks Inside 50 OTR,Marks Inside 50 BTR,Marks Inside 50 OT%,Marks Inside 50 BT%,One Percenters OTR,One Percenters BTR,One Percenters OT%,One Percenters BT%,Bounces OTR,Bounces BTR,Bounces OT%,Bounces BT%,Centre Clearances OTR,Centre Clearances BTR,Centre Clearances OT%,Centre Clearances BT%,Stoppage Clearances OTR,Stoppage Clearances BTR,Stoppage Clearances OT%,Stoppage Clearances BT%,Score Involvements OTR,Score Involvements BTR,Score Involvements OT%,Score Involvements BT%,Metres Gained OTR,Metres Gained BTR,Metres Gained OT%,Metres Gained BT%,Turnovers OTR,Turnovers BTR,Turnovers OT%,Turnovers BT%,Intercepts OTR,Intercepts BTR,Intercepts OT%,Intercepts BT%,Tackles Inside 50 OTR,Tackles Inside 50 BTR,Tackles Inside 50 OT%,Tackles Inside 50 BT%,Time On Ground % OTR,Time On Ground % BTR,Time On Ground % OT%,Time On Ground % BT%,Winloss,Brownlow Votes
Hunter Clark,1.0,1.0,0.08374384236453201,0.04176904176904177,2.0,3.0,0.10666666666666667,0.04776119402985075,1.0,2.0,0.09348441926345609,0.0444743935309973,5.5,8.5,0.05504587155963303,0.03225806451612903,14.5,30.5,0.0,0.0,13.5,27.5,0.0,0.0,6.5,14.0,0.057692307692307696,0.025423728813559324,13.0,25.5,0.0,0.0,15.0,31.5,0.0,0.0,14.5,31.5,0.030303030303030304,0.010309278350515464,4.0,10.0,0.10714285714285714,0.041666666666666664,3.0,5.0,0.08333333333333333,0.04065040650406504,13.5,24.0,0.024390243902439025,0.015151515151515152,18.5,34.5,0.0,0.0,23.0,43.5,0.23076923076923078,0.08333333333333333,1.0,1.5,0.11382113821138211,0.052830188679245285,1.0,1.0,0.0881057268722467,0.04329004329004329,1.0,1.0,0.09803921568627451,0.04716981132075472,9.0,19.5,15.0,28.5,0.0,0.0,13.5,28.5,0.0,0.0,6.5,18.0,0.047619047619047616,0.021739130434782608,14.5,27.0,0.0,0.0,14.5,29.0,0.0,0.0,1.0,3.5,0.15,0.06521739130434782,7.0,23.0,0.05660377358490566,0.01775147928994083,2.0,8.0,0.07050329156933531,0.030267116418999,17.0,32.5,0.05555555555555555,0.02877697841726619,1.5,1.5,0.1323529411764706,0.06428571428571428,14.0,30.5,0.0,0.0,5.5,11.5,0.04777777777777778,0.02389552653514865,0,0
Jack Steele,11.0,22.0,0.04433497536945813,0.022113022113022112,1.0,2.0,0.11333333333333333,0.050746268656716415,2.0,5.0,0.07365439093484419,0.03504043126684636,4.0,6.0,0.06422018348623854,0.03763440860215054,14.5,30.5,0.0,0.0,13.5,27.5,0.0,0.0,1.0,2.0,0.17307692307692307,0.07627118644067797,13.0,25.5,0.0,0.0,3.5,10.5,0.16666666666666666,0.05,7.0,21.5,0.06060606060606061,0.020618556701030927,1.5,7.0,0.14285714285714285,0.05555555555555555,6.0,12.0,0.06666666666666667,0.032520325203252036,13.5,24.0,0.024390243902439025,0.015151515151515152,18.5,34.5,0.0,0.0,17.5,29.5,0.07692307692307693,0.027777777777777776,4.0,9.5,0.07317073170731707,0.033962264150943396,3.0,4.5,0.07488986784140969,0.0367965367965368,3.0,5.0,0.07450980392156863,0.035849056603773584,10.0,22.0,15.0,28.5,0.0,0.0,13.5,28.5,0.0,0.0,20.0,40.5,0.0,0.0,14.5,27.0,0.0,0.0,1.0,4.0,0.375,0.11538461538461539,10.0,19.0,0.05,0.021739130434782608,7.0,23.0,0.05660377358490566,0.01775147928994083,4.0,13.0,0.058823529411764705,0.02525298568693591,19.5,37.0,0.06944444444444445,0.03597122302158273,9.0,20.0,0.04411764705882353,0.02142857142857143,3.5,12.0,0.125,0.038461538461538464,7.0,14.0,0.04722222222222222,0.02361767157543762,0,0
Brad Crouch,7.0,13.0,0.054187192118226604,0.02702702702702703,3.0,6.0,0.09333333333333334,0.041791044776119404,3.0,6.0,0.0708215297450425,0.03369272237196765,14.0,22.5,0.03669724770642202,0.021505376344086023,14.5,30.5,0.0,0.0,13.5,27.5,0.0,0.0,4.0,8.0,0.07692307692307693,0.03389830508474576,13.0,25.5,0.0,0.0,3.5,10.5,0.16666666666666666,0.05,7.0,21.5,0.06060606060606061,0.020618556701030927,1.5,7.0,0.14285714285714285,0.05555555555555555,1.0,1.0,0.11666666666666667,0.056910569105691054,20.5,38.0,0.0,0.0,18.5,34.5,0.0,0.0,17.5,29.5,0.07692307692307693,0.027777777777777776,2.5,6.0,0.08943089430894309,0.04150943396226415,5.0,10.0,0.06607929515418502,0.032467532467532464,8.0,16.0,0.050980392156862744,0.024528301886792454,20.0,39.0,15.0,28.5,0.0,0.0,13.5,28.5,0.0,0.0,12.5,30.0,0.023809523809523808,0.010869565217391304,14.5,27.0,0.0,0.0,2.0,6.5,0.25,0.07692307692307693,4.0,8.5,0.1,0.043478260869565216,7.0,23.0,0.05660377358490566,0.01775147928994083,3.0,12.0,0.05924824803567636,0.025435317713556387,22.0,40.5,0.08333333333333333,0.04316546762589928,9.0,20.0,0.04411764705882353,0.02142857142857143,3.5,12.0,0.125,0.038461538461538464,9.5,19.5,0.04611111111111111,0.02306196165601556,0,0
Nicholas Coffield,3.0,4.5,0.07389162561576355,0.036855036855036855,6.0,16.5,0.05333333333333334,0.023880597014925373,4.0,7.0,0.06515580736543909,0.03099730458221024,1.0,1.0,0.11009174311926606,0.06451612903225806,14.5,30.5,0.0,0.0,13.5,27.5,0.0,0.0,11.5,26.0,0.038461538461538464,0.01694915254237288,13.0,25.5,0.0,0.0,15.0,31.5,0.0,0.0,21.0,41.0,0.0,0.0,11.0,21.5,0.03571428571428571,0.013888888888888888,18.5,38.5,0.016666666666666666,0.008130081300813009,8.5,14.0,0.04878048780487805,0.030303030303030304,5.0,6.5,0.08695652173913043,0.05555555555555555,17.5,29.5,0.07692307692307693,0.027777777777777776,10.0,24.5,0.04065040650406504,0.018867924528301886,2.0,2.5,0.07929515418502203,0.03896103896103896,2.0,2.0,0.09019607843137255,0.04339622641509434,1.0,1.0,4.5,7.5,0.1111111111111111,0.06666666666666667,13.5,28.5,0.0,0.0,12.5,30.0,0.023809523809523808,0.010869565217391304,14.5,27.0,0.0,0.0,14.5,29.0,0.0,0.0,10.0,19.0,0.05,0.021739130434782608,20.0,41.5,0.018867924528301886,0.005917159763313609,18.0,37.0,0.030792100233595243,0.013219071929984502,2.5,7.0,0.013888888888888888,0.007194244604316547,5.0,11.5,0.07352941176470588,0.03571428571428571,14.0,30.5,0.0,0.0,5.5,11.5,0.04777777777777778,0.02389552653514865,0,0
Jack Sinclair,4.0,7.5,0.06896551724137931,0.0343980343980344,13.5,30.0,0.03333333333333333,0.014925373134328358,5.5,14.0,0.053824362606232294,0.025606469002695417,9.0,14.5,0.045871559633027525,0.026881720430107527,14.5,30.5,0.0,0.0,13.5,27.5,0.0,0.0,6.5,14.0,0.057692307692307696,0.025423728813559324,13.0,25.5,0.0,0.0,3.5,10.5,0.16666666666666666,0.05,7.0,21.5,0.06060606060606061,0.020618556701030927,7.0,13.5,0.07142857142857142,0.027777777777777776,6.0,12.0,0.06666666666666667,0.032520325203252036,6.5,8.5,0.07317073170731707,0.045454545454545456,18.5,34.5,0.0,0.0,17.5,29.5,0.07692307692307693,0.027777777777777776,13.5,29.5,0.032520325203252036,0.01509433962264151,4.0,7.0,0.07048458149779736,0.03463203463203463,9.5,19.5,0.047058823529411764,0.022641509433962263,15.0,32.0,15.0,28.5,0.0,0.0,13.5,28.5,0.0,0.0,12.5,30.0,0.023809523809523808,0.010869565217391304,14.5,27.0,0.0,0.0,14.5,29.0,0.0,0.0,4.0,8.5,0.1,0.043478260869565216,7.0,23.0,0.05660377358490566,0.01775147928994083,6.5,18.5,0.05308982798895732,0.022791503327559484,19.5,37.0,0.06944444444444445,0.03597122302158273,9.0,20.0,0.04411764705882353,0.02142857142857143,14.0,30.5,0.0,0.0,9.5,19.5,0.04611111111111111,0.02306196165601556,0,0
Josh Battle,5.0,9.0,0.06403940886699508,0.03194103194103194,10.5,24.5,0.04,0.01791044776119403,5.5,14.0,0.053824362606232294,0.025606469002695417,3.0,4.0,0.07339449541284404,0.043010752688172046,14.5,30.5,0.0,0.0,13.5,27.5,0.0,0.0,11.5,26.0,0.038461538461538464,0.01694915254237288,13.0,25.5,0.0,0.0,15.0,31.5,0.0,0.0,21.0,41.0,0.0,0.0,11.0,21.5,0.03571428571428571,0.013888888888888888,13.5,28.0,0.03333333333333333,0.016260162601626018,1.0,1.0,0.14634146341463414,0.09090909090909091,10.5,17.0,0.043478260869565216,0.027777777777777776,7.5,11.5,0.0,0.0,10.0,24.5,0.04065040650406504,0.018867924528301886,7.0,14.0,0.05286343612334802,0.025974025974025976,4.5,9.5,0.06274509803921569,0.03018867924528302,4.0,9.0,4.5,7.5,0.1111111111111111,0.06666666666666667,13.5,28.5,0.0,0.0,3.0,4.5,0.11904761904761904,0.05434782608695652,3.5,6.0,0.16666666666666666,0.07692307692307693,14.5,29.0,0.0,0.0,10.0,19.0,0.05,0.021739130434782608,20.0,41.5,0.018867924528301886,0.005917159763313609,5.0,14.0,0.05818645147589722,0.024979487647005198,17.0,32.5,0.05555555555555555,0.02877697841726619,3.0,3.5,0.11764705882352941,0.05714285714285714,14.0,30.5,0.0,0.0,12.0,23.5,0.045,0.0225062517365935,0,0
Daniel McKenzie,11.0,22.0,0.04433497536945813,0.022113022113022112,4.0,13.0,0.06,0.026865671641791045,7.0,16.0,0.05099150141643059,0.02425876010781671,9.0,14.5,0.045871559633027525,0.026881720430107527,14.5,30.5,0.0,0.0,13.5,27.5,0.0,0.0,11.5,26.0,0.038461538461538464,0.01694915254237288,13.0,25.5,0.0,0.0,3.5,10.5,0.16666666666666666,0.05,14.5,31.5,0.030303030303030304,0.010309278350515464,4.0,10.0,0.10714285714285714,0.041666666666666664,3.0,5.0,0.08333333333333333,0.04065040650406504,20.5,38.0,0.0,0.0,10.5,17.0,0.043478260869565216,0.027777777777777776,21.5,39.5,0.15384615384615385,0.05555555555555555,2.5,6.0,0.08943089430894309,0.04150943396226415,15.5,32.0,0.03524229074889868,0.017316017316017316,6.0,11.5,0.058823529411764705,0.02830188679245283,5.0,10.5,15.0,28.5,0.0,0.0,13.5,28.5,0.0,0.0,12.5,30.0,0.023809523809523808,0.010869565217391304,3.5,6.0,0.16666666666666666,0.07692307692307693,4.0,10.0,0.125,0.038461538461538464,4.0,8.5,0.1,0.043478260869565216,7.0,23.0,0.05660377358490566,0.01775147928994083,20.0,41.0,0.021660649819494584,0.00929893335764427,12.5,26.0,0.041666666666666664,0.02158273381294964,4.0,5.5,0.10294117647058823,0.05,14.0,30.5,0.0,0.0,21.0,42.0,0.03888888888888889,0.019449847179772158,0,0
Callum Wilkie,6.0,11.0,0.059113300492610835,0.029484029484029485,13.5,30.0,0.03333333333333333,0.014925373134328358,8.0,18.0,0.04815864022662889,0.022911051212938006,2.0,2.0,0.08256880733944955,0.04838709677419355,14.5,30.5,0.0,0.0,13.5,27.5,0.0,0.0,17.5,37.5,0.019230769230769232,0.00847457627118644,13.0,25.5,0.0,0.0,15.0,31.5,0.0,0.0,14.5,31.5,0.030303030303030304,0.010309278350515464,18.5,36.5,0.0,0.0,18.5,38.5,0.016666666666666666,0.008130081300813009,4.0,4.5,0.0975609756097561,0.06060606060606061,5.0,6.5,0.08695652173913043,0.05555555555555555,7.5,11.5,0.0,0.0,8.0,18.5,0.04878048780487805,0.022641509433962263,8.5,17.0,0.048458149779735685,0.023809523809523808,4.5,9.5,0.06274509803921569,0.03018867924528302,2.0,2.0,15.0,28.5,0.0,0.0,13.5,28.5,0.0,0.0,6.5,18.0,0.047619047619047616,0.021739130434782608,14.5,27.0,0.0,0.0,14.5,29.0,0.0,0.0,18.5,35.5,0.0,0.0,22.5,44.5,0.0,0.0,10.0,24.5,0.04417073688681249,0.018962530768529492,7.0,17.0,0.027777777777777776,0.014388489208633094,1.5,1.5,0.1323529411764706,0.06428571428571428,14.0,30.5,0.0,0.0,1.0,2.5,0.051666666666666666,0.025840511253125868,0,0
Luke Dunstan,11.0,22.0,0.04433497536945813,0.022113022113022112,8.5,20.5,0.04666666666666667,0.020895522388059702,9.5,22.0,0.0453257790368272,0.0215633423180593,5.5,8.5,0.05504587155963303,0.03225806451612903,14.5,30.5,0.0,0.0,13.5,27.5,0.0,0.0,4.0,8.0,0.07692307692307693,0.03389830508474576,13.0,25.5,0.0,0.0,15.0,31.5,0.0,0.0,14.5,31.5,0.030303030303030304,0.010309278350515464,11.0,21.5,0.03571428571428571,0.013888888888888888,3.0,5.0,0.08333333333333333,0.04065040650406504,13.5,24.0,0.024390243902439025,0.015151515151515152,5.0,6.5,0.08695652173913043,0.05555555555555555,17.5,29.5,0.07692307692307693,0.027777777777777776,18.0,36.0,0.024390243902439025,0.011320754716981131,6.0,13.0,0.05726872246696035,0.02813852813852814,11.0,23.5,0.043137254901960784,0.020754716981132074,13.0,27.0,15.0,28.5,0.0,0.0,13.5,28.5,0.0,0.0,12.5,30.0,0.023809523809523808,0.010869565217391304,14.5,27.0,0.0,0.0,14.5,29.0,0.0,0.0,10.0,19.0,0.05,0.021739130434782608,20.0,41.5,0.018867924528301886,0.005917159763313609,16.0,33.0,0.036101083032490974,0.01549822226274045,22.0,40.5,0.08333333333333333,0.04316546762589928,13.0,26.5,0.029411764705882353,0.014285714285714285,14.0,30.5,0.0,0.0,18.5,36.5,0.042222222222222223,0.021116976938038344,0,0
Dougal Howard,2.0,2.0,0.07881773399014778,0.03931203931203931,23.0,45.0,0.0,0.0,9.5,22.0,0.0453257790368272,0.0215633423180593,9.0,14.5,0.045871559633027525,0.026881720430107527,14.5,30.5,0.0,0.0,13.5,27.5,0.0,0.0,17.5,37.5,0.019230769230769232,0.00847457627118644,13.0,25.5,0.0,0.0,15.0,31.5,0.0,0.0,14.5,31.5,0.030303030303030304,0.010309278350515464,18.5,36.5,0.0,0.0,22.5,44.0,0.0,0.0,2.0,2.0,0.12195121951219512,0.07575757575757576,18.5,34.5,0.0,0.0,7.5,11.5,0.0,0.0,22.5,44.0,0.008130081300813009,0.0037735849056603774,17.0,35.0,0.030837004405286344,0.015151515151515152,7.0,13.5,0.054901960784313725,0.026415094339622643,3.0,4.5,15.0,28.5,0.0,0.0,13.5,28.5,0.0,0.0,1.0,1.0,0.23809523809523808,0.10869565217391304,14.5,27.0,0.0,0.0,14.5,29.0,0.0,0.0,18.5,35.5,0.0,0.0,14.5,33.5,0.03773584905660377,0.011834319526627219,1.0,2.0,0.11212571671267785,0.04813565502780563,12.5,26.0,0.041666666666666664,0.02158273381294964,17.0,34.0,0.014705882352941176,0.007142857142857143,14.0,30.5,0.0,0.0,2.5,5.0,0.050555555555555555,0.025284801333703807,0,0
Sebastian Ross,14.5,30.0,0.034482758620689655,0.0171990171990172,6.0,16.5,0.05333333333333334,0.023880597014925373,11.0,25.0,0.042492917847025496,0.02021563342318059,21.0,37.0,0.01834862385321101,0.010752688172043012,14.5,30.5,0.0,0.0,13.5,27.5,0.0,0.0,11.5,26.0,0.038461538461538464,0.01694915254237288,13.0,25.5,0.0,0.0,15.0,31.5,0.0,0.0,14.5,31.5,0.030303030303030304,0.010309278350515464,7.0,13.5,0.07142857142857142,0.027777777777777776,18.5,38.5,0.016666666666666666,0.008130081300813009,4.0,4.5,0.0975609756097561,0.06060606060606061,18.5,34.5,0.0,0.0,7.5,11.5,0.0,0.0,13.5,29.5,0.032520325203252036,0.01509433962264151,8.5,17.0,0.048458149779735685,0.023809523809523808,9.5,19.5,0.047058823529411764,0.022641509433962263,6.5,13.5,15.0,28.5,0.0,0.0,13.5,28.5,0.0,0.0,6.5,18.0,0.047619047619047616,0.021739130434782608,3.5,6.0,0.16666666666666666,0.07692307692307693,14.5,29.0,0.0,0.0,4.0,8.5,0.1,0.043478260869565216,14.5,33.5,0.03773584905660377,0.011834319526627219,9.0,23.0,0.04544489275854746,0.01950952684839092,7.0,17.0,0.027777777777777776,0.014388489208633094,21.5,42.0,0.0,0.0,14.0,30.5,0.0,0.0,13.0,25.5,0.044444444444444446,0.02222839677688247,0,0
Jack Billings,17.0,34.5,0.029556650246305417,0.014742014742014743,6.0,16.5,0.05333333333333334,0.023880597014925373,12.5,27.0,0.039660056657223795,0.018867924528301886,9.0,14.5,0.045871559633027525,0.026881720430107527,14.5,30.5,0.0,0.0,13.5,27.5,0.0,0.0,11.5,26.0,0.038461538461538464,0.01694915254237288,13.0,25.5,0.0,0.0,15.0,31.5,0.0,0.0,1.0,4.0,0.15151515151515152,0.05154639175257732,18.5,36.5,0.0,0.0,6.0,12.0,0.06666666666666667,0.032520325203252036,20.5,38.0,0.0,0.0,18.5,34.5,0.0,0.0,7.5,11.5,0.0,0.0,13.5,29.5,0.032520325203252036,0.01509433962264151,10.5,22.0,0.04405286343612335,0.021645021645021644,13.5,33.0,0.03137254901960784,0.01509433962264151,19.0,37.0,4.5,7.5,0.1111111111111111,0.06666666666666667,13.5,28.5,0.0,0.0,12.5,30.0,0.023809523809523808,0.010869565217391304,14.5,27.0,0.0,0.0,14.5,29.0,0.0,0.0,18.5,35.5,0.0,0.0,14.5,33.5,0.03773584905660377,0.011834319526627219,12.0,27.0,0.04332129963898917,0.01859786671528854,22.0,40.5,0.08333333333333333,0.04316546762589928,6.0,14.5,0.058823529411764705,0.02857142857142857,14.0,30.5,0.0,0.0,15.5,29.5,0.043333333333333335,0.021672686857460405,0,0
