Player,Kicks OTR,Kicks BTR,Kicks OT%,Kicks BT%,Handballs OTR,Handballs BTR,Handballs OT%,Handballs BT%,Disposals OTR,Disposals BTR,Disposals OT%,Disposals BT%,Marks OTR,Marks BTR,Marks OT%,Marks BT%,Goals OTR,Goals BTR,Goals OT%,Goals BT%,Behinds OTR,Behinds BTR,Behinds OT%,Behinds BT%,Tackles OTR,Tackles BTR,Tackles OT%,Tackles BT%,Hitouts OTR,Hitouts BTR,Hitouts OT%,Hitouts BT%,Goal Assists OTR,Goal Assists BTR,Goal Assists OT%,Goal Assists BT%,Inside 50s OTR,Inside 50s BTR,Inside 50s OT%,Inside 50s BT%,Clearances OTR,Clearances BTR,Clearances OT%,Clearances BT%,Clangers OTR,Clangers BTR,Clangers OT%,Clangers BT%,Rebound 50s OTR,Rebound 50s BTR,Rebound 50s OT%,Rebound 50s BT%,Frees For OTR,Frees For BTR,Frees For OT%,Frees For BT%,Frees Agains OTR,Frees Agains BTR,Frees Agains OT%,Frees Agains BT%,Contested Possessions OTR,Contested Possessions BTR,Contested Possessions OT%,Contested Possessions BT%,Uncontested Possessions OTR,Uncontested Possessions BTR,Uncontested Possessions OT%,Uncontested Possessions BT%,Effective Disposals OTR,Effective Disposals BTR,Effective Disposals OT%,Effective Disposals BT%,Disposal Efficiency % OTR,Disposal Efficiency % BTR,Contested Marks OTR,Contested Marks BTR,Contested Marks OT%,Contested Marks BT%,Marks Inside 50 OTR,Marks Inside 50 BTR,Marks Inside 50 OT%,Marks Inside 50 BT%,One Percenters OTR,One Percenters BTR,One Percenters OT%,One Percenters BT%,Bounces OTR,Bounces BTR,Bounces OT%,Bounces BT%,Centre Clearances OTR,Centre Clearances BTR,Centre Clearances OT%,Centre Clearances BT%,Stoppage Clearances OTR,Stoppage Clearances BTR,Stoppage Clearances OT%,Stoppage Clearances BT%,Score Involvements OTR,Score Involvements BTR,Score Involvements OT%,Score Involvements BT%,Metres Gained OTR,Metres Gained BTR,Metres Gained OT%,Metres Gained BT%,Turnovers OTR,Turnovers BTR,Turnovers OT%,Turnovers BT%,Intercepts OTR,Intercepts BTR,Intercepts OT%,Intercepts BT%,Tackles Inside 50 OTR,Tackles Inside 50 BTR,Tackles Inside 50 OT%,Tackles Inside 50 BT%,Time On Ground % OTR,Time On Ground % BTR,Time On Ground % OT%,Time On Ground % BT%,Winloss,Brownlow Votes
Josh Daicos,8.5,21.0,0.049773755656108594,0.022727272727272728,1.0,1.5,0.10738255033557047,0.05536332179930796,1.0,4.0,0.07297297297297298,0.03492884864165589,13.5,30.5,0.04081632653061224,0.01639344262295082,3.0,8.0,0.14285714285714285,0.05263157894736842,6.0,8.5,0.09090909090909091,0.0625,3.0,7.0,0.09803921568627451,0.045871559633027525,12.5,25.0,0.0,0.0,13.5,27.5,0.0,0.0,11.0,23.5,0.0425531914893617,0.020618556701030927,4.0,5.0,0.10810810810810811,0.058823529411764705,13.5,26.5,0.037037037037037035,0.018691588785046728,9.0,18.0,0.05263157894736842,0.025974025974025976,7.5,15.0,0.07142857142857142,0.034482758620689655,21.0,42.0,0.13333333333333333,0.06896551724137931,6.0,10.5,0.058823529411764705,0.029197080291970802,1.0,3.5,0.08296943231441048,0.038306451612903226,1.0,4.0,0.07462686567164178,0.03502626970227671,12.0,24.0,16.5,33.0,0.0,0.0,13.0,26.0,0.0,0.0,11.0,24.0,0.02631578947368421,0.012195121951219513,3.0,4.0,0.14285714285714285,0.09090909090909091,3.0,4.5,0.2,0.09523809523809523,5.5,8.0,0.07407407407407407,0.0425531914893617,1.5,1.5,0.11594202898550725,0.0547945205479452,15.0,28.0,0.039937216602720614,0.019525920873124148,10.5,22.0,0.04054054054054054,0.02054794520547945,6.0,12.0,0.06944444444444445,0.034013605442176874,2.0,3.0,0.2222222222222222,0.11764705882352941,19.5,37.0,0.04006677796327212,0.020027816411682893,0,0
Scott Pendlebury,3.5,8.0,0.06787330316742081,0.030991735537190084,3.0,5.5,0.0738255033557047,0.03806228373702422,2.0,5.5,0.07027027027027027,0.03363518758085381,8.5,22.5,0.05102040816326531,0.020491803278688523,13.5,28.0,0.0,0.0,16.0,29.0,0.0,0.0,4.5,11.0,0.0784313725490196,0.03669724770642202,12.5,25.0,0.0,0.0,1.5,2.5,0.3333333333333333,0.14285714285714285,2.0,4.0,0.10638297872340426,0.05154639175257732,1.5,2.5,0.16216216216216217,0.08823529411764706,8.0,15.5,0.05555555555555555,0.028037383177570093,18.0,36.5,0.0,0.0,16.5,33.5,0.0,0.0,5.5,10.5,0.0,0.0,2.0,4.0,0.08823529411764706,0.043795620437956206,5.5,13.0,0.0611353711790393,0.028225806451612902,2.5,5.5,0.06716417910447761,0.03152364273204904,16.0,29.0,16.5,33.0,0.0,0.0,13.0,26.0,0.0,0.0,8.0,18.0,0.05263157894736842,0.024390243902439025,14.5,28.5,0.0,0.0,14.0,29.0,0.0,0.0,1.0,2.0,0.2222222222222222,0.1276595744680851,5.0,8.5,0.07246376811594203,0.03424657534246575,4.0,9.0,0.06470177886292292,0.031633697135061395,19.0,36.0,0.06756756756756757,0.03424657534246575,9.5,19.5,0.041666666666666664,0.02040816326530612,14.0,28.0,0.0,0.0,11.0,21.5,0.04618809126321647,0.023087621696801112,0,0
Brody Mihocek,1.0,2.0,0.09049773755656108,0.04132231404958678,18.0,34.5,0.026845637583892617,0.01384083044982699,3.0,7.0,0.06486486486486487,0.031047865459249677,1.0,2.5,0.12244897959183673,0.04918032786885246,1.0,1.5,0.5714285714285714,0.21052631578947367,1.5,2.0,0.18181818181818182,0.125,15.0,29.5,0.0196078431372549,0.009174311926605505,12.5,25.0,0.0,0.0,13.5,27.5,0.0,0.0,1.0,1.0,0.1702127659574468,0.08247422680412371,18.0,35.0,0.0,0.0,8.0,15.5,0.05555555555555555,0.028037383177570093,18.0,36.5,0.0,0.0,2.5,4.0,0.14285714285714285,0.06896551724137931,5.5,10.5,0.0,0.0,9.0,15.0,0.051470588235294115,0.025547445255474453,5.5,13.0,0.0611353711790393,0.028225806451612902,10.0,21.5,0.04477611940298507,0.021015761821366025,20.0,41.0,7.0,15.5,0.0625,0.02702702702702703,1.0,2.0,0.625,0.25,5.5,12.0,0.07894736842105263,0.036585365853658534,14.5,28.5,0.0,0.0,14.0,29.0,0.0,0.0,18.0,33.5,0.0,0.0,1.5,1.5,0.11594202898550725,0.0547945205479452,1.0,1.0,0.09626787582839205,0.0470668485675307,21.0,40.0,0.08108108108108109,0.0410958904109589,15.0,29.0,0.027777777777777776,0.013605442176870748,14.0,28.0,0.0,0.0,3.5,7.5,0.05063995548135782,0.025312934631432544,0,0
Steele Sidebottom,6.0,17.5,0.05429864253393665,0.024793388429752067,5.5,9.0,0.06040268456375839,0.031141868512110725,5.0,12.0,0.05675675675675676,0.027166882276843468,5.0,16.5,0.061224489795918366,0.02459016393442623,13.5,28.0,0.0,0.0,6.0,8.5,0.09090909090909091,0.0625,10.0,21.0,0.0392156862745098,0.01834862385321101,12.5,25.0,0.0,0.0,1.5,2.5,0.3333333333333333,0.14285714285714285,5.5,10.5,0.06382978723404255,0.030927835051546393,8.0,13.0,0.05405405405405406,0.029411764705882353,8.0,15.5,0.05555555555555555,0.028037383177570093,7.0,12.0,0.07894736842105263,0.03896103896103896,7.5,15.0,0.07142857142857142,0.034482758620689655,15.0,30.0,0.06666666666666667,0.034482758620689655,11.5,19.0,0.04411764705882353,0.021897810218978103,3.0,8.0,0.06986899563318777,0.03225806451612903,2.5,5.5,0.06716417910447761,0.03152364273204904,4.0,9.0,16.5,33.0,0.0,0.0,13.0,26.0,0.0,0.0,11.0,24.0,0.02631578947368421,0.012195121951219513,1.0,1.0,0.35714285714285715,0.22727272727272727,14.0,29.0,0.0,0.0,5.5,8.0,0.07407407407407407,0.0425531914893617,5.0,8.5,0.07246376811594203,0.03424657534246575,8.0,17.0,0.04935472619462853,0.024130286493860845,10.5,22.0,0.04054054054054054,0.02054794520547945,15.0,29.0,0.027777777777777776,0.013605442176870748,14.0,28.0,0.0,0.0,13.0,25.5,0.045075125208681135,0.022531293463143254,0,0
Brodie Grundy,12.0,25.0,0.04524886877828054,0.02066115702479339,3.0,5.5,0.0738255033557047,0.03806228373702422,5.0,12.0,0.05675675675675676,0.027166882276843468,17.5,37.5,0.030612244897959183,0.012295081967213115,3.0,8.0,0.14285714285714285,0.05263157894736842,16.0,29.0,0.0,0.0,4.5,11.0,0.0784313725490196,0.03669724770642202,1.0,1.0,0.74,0.578125,13.5,27.5,0.0,0.0,16.5,34.0,0.02127659574468085,0.010309278350515464,3.0,4.0,0.13513513513513514,0.07352941176470588,13.5,26.5,0.037037037037037035,0.018691588785046728,18.0,36.5,0.0,0.0,2.5,4.0,0.14285714285714285,0.06896551724137931,15.0,30.0,0.06666666666666667,0.034482758620689655,1.0,2.0,0.11029411764705882,0.05474452554744526,14.0,29.5,0.034934497816593885,0.016129032258064516,5.0,11.5,0.05970149253731343,0.028021015761821366,11.0,22.0,3.0,7.0,0.125,0.05405405405405406,13.0,26.0,0.0,0.0,8.0,18.0,0.05263157894736842,0.024390243902439025,14.5,28.5,0.0,0.0,1.0,1.5,0.3,0.14285714285714285,5.5,8.0,0.07407407407407407,0.0425531914893617,3.0,4.0,0.10144927536231885,0.04794520547945205,17.0,32.0,0.03819323334495989,0.01867326057298772,15.0,29.5,0.05405405405405406,0.0273972602739726,6.0,12.0,0.06944444444444445,0.034013605442176874,14.0,28.0,0.0,0.0,9.0,18.0,0.04730105731775181,0.02364394993045897,0,0
Isaac Quaynor,3.5,8.0,0.06787330316742081,0.030991735537190084,12.0,23.0,0.040268456375838924,0.020761245674740483,5.0,12.0,0.05675675675675676,0.027166882276843468,13.5,30.5,0.04081632653061224,0.01639344262295082,13.5,28.0,0.0,0.0,6.0,8.5,0.09090909090909091,0.0625,15.0,29.5,0.0196078431372549,0.009174311926605505,12.5,25.0,0.0,0.0,13.5,27.5,0.0,0.0,3.0,5.0,0.0851063829787234,0.041237113402061855,11.0,20.0,0.02702702702702703,0.014705882352941176,1.0,2.0,0.09259259259259259,0.04672897196261682,2.0,3.5,0.13157894736842105,0.06493506493506493,16.5,33.5,0.0,0.0,5.5,10.5,0.0,0.0,9.0,15.0,0.051470588235294115,0.025547445255474453,5.5,13.0,0.0611353711790393,0.028225806451612902,16.5,30.5,0.03731343283582089,0.017513134851138354,21.0,42.0,7.0,15.5,0.0625,0.02702702702702703,13.0,26.0,0.0,0.0,17.5,36.0,0.0,0.0,5.0,8.5,0.07142857142857142,0.045454545454545456,14.0,29.0,0.0,0.0,10.5,16.5,0.037037037037037035,0.02127659574468085,10.0,23.0,0.043478260869565216,0.02054794520547945,2.0,4.0,0.0826648064178584,0.04041609822646658,22.0,44.0,0.12162162162162163,0.06164383561643835,6.0,12.0,0.06944444444444445,0.034013605442176874,14.0,28.0,0.0,0.0,11.0,21.5,0.04618809126321647,0.023087621696801112,0,0
John Noble,2.0,4.5,0.08144796380090498,0.0371900826446281,21.0,41.0,0.013422818791946308,0.006920415224913495,7.0,14.5,0.05405405405405406,0.0258732212160414,13.5,30.5,0.04081632653061224,0.01639344262295082,3.0,8.0,0.14285714285714285,0.05263157894736842,16.0,29.0,0.0,0.0,20.5,40.0,0.0,0.0,12.5,25.0,0.0,0.0,13.5,27.5,0.0,0.0,5.5,10.5,0.06382978723404255,0.030927835051546393,18.0,35.0,0.0,0.0,13.5,26.5,0.037037037037037035,0.018691588785046728,4.5,7.0,0.10526315789473684,0.05194805194805195,7.5,15.0,0.07142857142857142,0.034482758620689655,5.5,10.5,0.0,0.0,20.5,42.5,0.014705882352941176,0.0072992700729927005,2.0,6.5,0.07423580786026202,0.034274193548387094,5.0,11.5,0.05970149253731343,0.028021015761821366,7.5,16.5,16.5,33.0,0.0,0.0,13.0,26.0,0.0,0.0,17.5,36.0,0.0,0.0,14.5,28.5,0.0,0.0,14.0,29.0,0.0,0.0,18.0,33.5,0.0,0.0,10.0,23.0,0.043478260869565216,0.02054794520547945,3.0,5.0,0.07638646668991977,0.03734652114597544,10.5,22.0,0.04054054054054054,0.02054794520547945,15.0,29.0,0.027777777777777776,0.013605442176870748,14.0,28.0,0.0,0.0,15.5,30.5,0.04340567612687813,0.021696801112656466,0,0
Christopher Mayne,8.5,21.0,0.049773755656108594,0.022727272727272728,12.0,23.0,0.040268456375838924,0.020761245674740483,9.0,19.5,0.04594594594594595,0.02199223803363519,13.5,30.5,0.04081632653061224,0.01639344262295082,13.5,28.0,0.0,0.0,16.0,29.0,0.0,0.0,10.0,21.0,0.0392156862745098,0.01834862385321101,12.5,25.0,0.0,0.0,13.5,27.5,0.0,0.0,20.5,40.5,0.0,0.0,11.0,20.0,0.02702702702702703,0.014705882352941176,19.5,37.5,0.018518518518518517,0.009345794392523364,7.0,12.0,0.07894736842105263,0.03896103896103896,7.5,15.0,0.07142857142857142,0.034482758620689655,15.0,30.0,0.06666666666666667,0.034482758620689655,6.0,10.5,0.058823529411764705,0.029197080291970802,14.0,29.5,0.034934497816593885,0.016129032258064516,7.5,16.0,0.055970149253731345,0.02626970227670753,2.5,6.0,7.0,15.5,0.0625,0.02702702702702703,13.0,26.0,0.0,0.0,4.0,7.5,0.10526315789473684,0.04878048780487805,14.5,28.5,0.0,0.0,14.0,29.0,0.0,0.0,10.5,16.5,0.037037037037037035,0.02127659574468085,18.5,39.5,0.014492753623188406,0.00684931506849315,13.0,26.0,0.04150680153470527,0.02029331514324693,6.5,14.0,0.02702702702702703,0.0136986301369863,1.0,2.5,0.125,0.061224489795918366,14.0,28.0,0.0,0.0,11.0,21.5,0.04618809126321647,0.023087621696801112,0,0
Will H-Elliott,18.0,38.0,0.027149321266968326,0.012396694214876033,3.0,5.5,0.0738255033557047,0.03806228373702422,9.0,19.5,0.04594594594594595,0.02199223803363519,5.0,16.5,0.061224489795918366,0.02459016393442623,13.5,28.0,0.0,0.0,16.0,29.0,0.0,0.0,7.0,15.5,0.058823529411764705,0.027522935779816515,12.5,25.0,0.0,0.0,3.5,7.5,0.16666666666666666,0.07142857142857142,16.5,34.0,0.02127659574468085,0.010309278350515464,18.0,35.0,0.0,0.0,8.0,15.5,0.05555555555555555,0.028037383177570093,11.5,24.5,0.02631578947368421,0.012987012987012988,16.5,33.5,0.0,0.0,15.0,30.0,0.06666666666666667,0.034482758620689655,18.0,38.0,0.022058823529411766,0.010948905109489052,5.5,13.0,0.0611353711790393,0.028225806451612902,7.5,16.0,0.055970149253731345,0.02626970227670753,2.5,6.0,16.5,33.0,0.0,0.0,13.0,26.0,0.0,0.0,17.5,36.0,0.0,0.0,14.5,28.5,0.0,0.0,14.0,29.0,0.0,0.0,18.0,33.5,0.0,0.0,10.0,23.0,0.043478260869565216,0.02054794520547945,21.0,42.0,0.013951866062085804,0.0068212824010914054,6.5,14.0,0.02702702702702703,0.0136986301369863,15.0,29.0,0.027777777777777776,0.013605442176870748,14.0,28.0,0.0,0.0,2.0,4.5,0.051196438508625486,0.025591098748261473,0,0
Jack Crisp,5.0,15.0,0.058823529411764705,0.026859504132231406,18.0,34.5,0.026845637583892617,0.01384083044982699,9.0,19.5,0.04594594594594595,0.02199223803363519,8.5,22.5,0.05102040816326531,0.020491803278688523,13.5,28.0,0.0,0.0,16.0,29.0,0.0,0.0,7.0,15.5,0.058823529411764705,0.027522935779816515,12.5,25.0,0.0,0.0,13.5,27.5,0.0,0.0,11.0,23.5,0.0425531914893617,0.020618556701030927,6.0,8.5,0.08108108108108109,0.04411764705882353,3.5,6.5,0.07407407407407407,0.037383177570093455,2.0,3.5,0.13157894736842105,0.06493506493506493,16.5,33.5,0.0,0.0,15.0,30.0,0.06666666666666667,0.034482758620689655,11.5,19.0,0.04411764705882353,0.021897810218978103,9.0,17.0,0.056768558951965066,0.02620967741935484,10.0,21.5,0.04477611940298507,0.021015761821366025,14.5,27.5,7.0,15.5,0.0625,0.02702702702702703,13.0,26.0,0.0,0.0,1.5,1.5,0.18421052631578946,0.08536585365853659,14.5,28.5,0.0,0.0,14.0,29.0,0.0,0.0,3.0,4.5,0.1111111111111111,0.06382978723404255,10.0,23.0,0.043478260869565216,0.02054794520547945,5.0,11.0,0.059818625741192885,0.0292462482946794,19.0,36.0,0.06756756756756757,0.03424657534246575,6.0,12.0,0.06944444444444445,0.034013605442176874,14.0,28.0,0.0,0.0,5.0,10.0,0.04952698942682248,0.02475660639777469,0,0
