Player,Kicks OTR,Kicks BTR,Kicks OT%,Kicks BT%,Handballs OTR,Handballs BTR,Handballs OT%,Handballs BT%,Disposals OTR,Disposals BTR,Disposals OT%,Disposals BT%,Marks OTR,Marks BTR,Marks OT%,Marks BT%,Goals OTR,Goals BTR,Goals OT%,Goals BT%,Behinds OTR,Behinds BTR,Behinds OT%,Behinds BT%,Tackles OTR,Tackles BTR,Tackles OT%,Tackles BT%,Hitouts OTR,Hitouts BTR,Hitouts OT%,Hitouts BT%,Goal Assists OTR,Goal Assists BTR,Goal Assists OT%,Goal Assists BT%,Inside 50s OTR,Inside 50s BTR,Inside 50s OT%,Inside 50s BT%,Clearances OTR,Clearances BTR,Clearances OT%,Clearances BT%,Clangers OTR,Clangers BTR,Clangers OT%,Clangers BT%,Rebound 50s OTR,Rebound 50s BTR,Rebound 50s OT%,Rebound 50s BT%,Frees For OTR,Frees For BTR,Frees For OT%,Frees For BT%,Frees Agains OTR,Frees Agains BTR,Frees Agains OT%,Frees Agains BT%,Contested Possessions OTR,Contested Possessions BTR,Contested Possessions OT%,Contested Possessions BT%,Uncontested Possessions OTR,Uncontested Possessions BTR,Uncontested Possessions OT%,Uncontested Possessions BT%,Effective Disposals OTR,Effective Disposals BTR,Effective Disposals OT%,Effective Disposals BT%,Disposal Efficiency % OTR,Disposal Efficiency % BTR,Contested Marks OTR,Contested Marks BTR,Contested Marks OT%,Contested Marks BT%,Marks Inside 50 OTR,Marks Inside 50 BTR,Marks Inside 50 OT%,Marks Inside 50 BT%,One Percenters OTR,One Percenters BTR,One Percenters OT%,One Percenters BT%,Bounces OTR,Bounces BTR,Bounces OT%,Bounces BT%,Centre Clearances OTR,Centre Clearances BTR,Centre Clearances OT%,Centre Clearances BT%,Stoppage Clearances OTR,Stoppage Clearances BTR,Stoppage Clearances OT%,Stoppage Clearances BT%,Score Involvements OTR,Score Involvements BTR,Score Involvements OT%,Score Involvements BT%,Metres Gained OTR,Metres Gained BTR,Metres Gained OT%,Metres Gained BT%,Turnovers OTR,Turnovers BTR,Turnovers OT%,Turnovers BT%,Intercepts OTR,Intercepts BTR,Intercepts OT%,Intercepts BT%,Tackles Inside 50 OTR,Tackles Inside 50 BTR,Tackles Inside 50 OT%,Tackles Inside 50 BT%,Time On Ground % OTR,Time On Ground % BTR,Time On Ground % OT%,Time On Ground % BT%,Winloss,Brownlow Votes
Liam Baker,1.5,1.5,0.09844559585492228,0.04714640198511166,2.0,6.0,0.09271523178807947,0.044585987261146494,1.0,2.0,0.09593023255813954,0.04602510460251046,12.5,27.0,0.036585365853658534,0.017543859649122806,15.5,31.5,0.0,0.0,3.5,7.5,0.125,0.0625,3.5,7.5,0.08695652173913043,0.0410958904109589,13.0,25.5,0.0,0.0,3.5,8.0,0.16666666666666666,0.06666666666666667,1.0,1.0,0.1956521739130435,0.1,1.0,2.0,0.21621621621621623,0.1038961038961039,7.0,12.5,0.06349206349206349,0.032,7.5,13.5,0.0625,0.03125,1.5,5.0,0.16666666666666666,0.06451612903225806,13.0,30.5,0.05263157894736842,0.03225806451612903,1.0,3.0,0.11851851851851852,0.056140350877192984,2.5,4.0,0.08,0.03818615751789976,2.0,3.5,0.08085106382978724,0.03941908713692946,15.5,32.5,15.0,29.0,0.0,0.0,5.0,12.0,0.1111111111111111,0.038461538461538464,19.0,38.5,0.0,0.0,12.5,26.0,0.0,0.0,14.5,28.5,0.0,0.0,1.0,1.0,0.2962962962962963,0.14545454545454545,3.5,6.5,0.08235294117647059,0.041916167664670656,1.0,1.0,0.10078110116212612,0.050680206936194676,21.0,41.5,0.08955223880597014,0.04411764705882353,6.5,8.5,0.07246376811594203,0.03676470588235294,2.0,3.0,0.2,0.11764705882352941,15.0,29.0,0.044444444444444446,0.022216051096917523,1,0
Dustin Martin,3.0,4.5,0.08290155440414508,0.03970223325062035,4.0,9.0,0.07947019867549669,0.03821656050955414,2.0,4.0,0.08139534883720931,0.03905160390516039,18.0,40.5,0.012195121951219513,0.005847953216374269,1.0,1.5,0.3076923076923077,0.16,2.0,2.0,0.25,0.125,19.5,39.0,0.014492753623188406,0.00684931506849315,13.0,25.5,0.0,0.0,3.5,8.0,0.16666666666666666,0.06666666666666667,2.0,3.5,0.13043478260869565,0.06666666666666667,3.0,6.0,0.13513513513513514,0.06493506493506493,2.5,5.0,0.09523809523809523,0.048,17.5,37.0,0.0,0.0,16.5,34.0,0.0,0.0,4.0,11.0,0.0,0.0,2.0,4.0,0.1111111111111111,0.05263157894736842,10.5,22.0,0.05,0.02386634844868735,7.0,14.0,0.05531914893617021,0.026970954356846474,21.0,42.0,5.0,8.0,0.1111111111111111,0.06666666666666667,5.0,12.0,0.1111111111111111,0.038461538461538464,13.0,26.0,0.025,0.011627906976744186,1.0,1.0,0.6666666666666666,0.2857142857142857,2.5,5.5,0.2,0.09090909090909091,3.0,7.0,0.1111111111111111,0.05454545454545454,1.0,1.0,0.10588235294117647,0.05389221556886228,2.0,3.0,0.08153934082682415,0.04100402375934087,21.0,41.5,0.08955223880597014,0.04411764705882353,9.5,16.0,0.057971014492753624,0.029411764705882353,5.5,9.0,0.1,0.058823529411764705,2.5,4.5,0.051111111111111114,0.025548458761455152,1,3
Jayden Short,1.5,1.5,0.09844559585492228,0.04714640198511166,6.5,13.0,0.052980132450331126,0.025477707006369428,3.0,5.5,0.07848837209302326,0.03765690376569038,1.0,1.5,0.10975609756097561,0.05263157894736842,15.5,31.5,0.0,0.0,13.5,29.0,0.0,0.0,19.5,39.0,0.014492753623188406,0.00684931506849315,13.0,25.5,0.0,0.0,14.5,29.5,0.0,0.0,9.0,18.0,0.043478260869565216,0.022222222222222223,17.5,34.5,0.0,0.0,14.0,26.5,0.031746031746031744,0.016,2.0,3.0,0.15625,0.078125,16.5,34.0,0.0,0.0,13.0,30.5,0.05263157894736842,0.03225806451612903,17.0,34.5,0.022222222222222223,0.010526315789473684,1.0,2.0,0.085,0.0405727923627685,1.0,1.0,0.09361702127659574,0.04564315352697095,6.5,9.5,15.0,29.0,0.0,0.0,15.5,32.5,0.0,0.0,13.0,26.0,0.025,0.011627906976744186,12.5,26.0,0.0,0.0,14.5,28.5,0.0,0.0,17.0,33.5,0.0,0.0,9.5,21.0,0.047058823529411764,0.023952095808383235,4.0,6.0,0.07563345399123643,0.03803410615060356,16.5,34.0,0.05970149253731343,0.029411764705882353,3.0,5.0,0.08695652173913043,0.04411764705882353,15.0,29.0,0.0,0.0,6.0,10.0,0.049444444444444444,0.024715356845320745,1,0
Jack Graham,15.5,31.5,0.03626943005181347,0.017369727047146403,1.0,3.0,0.10596026490066225,0.050955414012738856,4.0,10.0,0.06686046511627906,0.03207810320781032,12.5,27.0,0.036585365853658534,0.017543859649122806,15.5,31.5,0.0,0.0,13.5,29.0,0.0,0.0,1.5,5.0,0.10144927536231885,0.04794520547945205,13.0,25.5,0.0,0.0,14.5,29.5,0.0,0.0,9.0,18.0,0.043478260869565216,0.022222222222222223,5.5,9.5,0.08108108108108109,0.03896103896103896,4.5,7.5,0.07936507936507936,0.04,10.5,23.0,0.03125,0.015625,6.5,15.5,0.08333333333333333,0.03225806451612903,13.0,30.5,0.05263157894736842,0.03225806451612903,4.0,8.5,0.07407407407407407,0.03508771929824561,5.0,10.0,0.065,0.031026252983293555,3.0,5.5,0.07659574468085106,0.03734439834024896,9.0,15.0,15.0,29.0,0.0,0.0,15.5,32.5,0.0,0.0,19.0,38.5,0.0,0.0,12.5,26.0,0.0,0.0,2.5,5.5,0.2,0.09090909090909091,8.5,17.0,0.037037037037037035,0.01818181818181818,2.0,2.5,0.09411764705882353,0.04790419161676647,14.0,26.0,0.037530958277767194,0.018873347384556427,12.0,24.0,0.04477611940298507,0.022058823529411766,17.0,35.0,0.014492753623188406,0.007352941176470588,2.0,3.0,0.2,0.11764705882352941,17.0,32.0,0.043333333333333335,0.021660649819494584,1,0
Bachar Houli,12.0,26.5,0.04145077720207254,0.019851116625310174,3.0,7.5,0.08609271523178808,0.041401273885350316,5.0,11.0,0.061046511627906974,0.029288702928870293,8.5,13.5,0.06097560975609756,0.029239766081871343,15.5,31.5,0.0,0.0,13.5,29.0,0.0,0.0,5.5,10.0,0.07246376811594203,0.03424657534246575,13.0,25.5,0.0,0.0,14.5,29.5,0.0,0.0,15.0,29.5,0.021739130434782608,0.011111111111111112,10.0,20.0,0.02702702702702703,0.012987012987012988,7.0,12.5,0.06349206349206349,0.032,7.5,13.5,0.0625,0.03125,16.5,34.0,0.0,0.0,13.0,30.5,0.05263157894736842,0.03225806451612903,13.0,25.5,0.037037037037037035,0.017543859649122806,2.5,4.0,0.08,0.03818615751789976,4.0,7.5,0.07234042553191489,0.035269709543568464,6.5,9.5,15.0,29.0,0.0,0.0,15.5,32.5,0.0,0.0,8.0,16.0,0.05,0.023255813953488372,12.5,26.0,0.0,0.0,14.5,28.5,0.0,0.0,8.5,17.0,0.037037037037037035,0.01818181818181818,17.0,31.5,0.023529411764705882,0.011976047904191617,15.0,29.0,0.03657839588493046,0.01839432841540525,16.5,34.0,0.05970149253731343,0.029411764705882353,6.5,8.5,0.07246376811594203,0.03676470588235294,15.0,29.0,0.0,0.0,12.5,23.5,0.04555555555555556,0.022771452374340462,1,0
Nathan Broad,5.0,12.5,0.05699481865284974,0.02729528535980149,6.5,13.0,0.052980132450331126,0.025477707006369428,6.0,13.0,0.055232558139534885,0.026499302649930265,5.5,9.0,0.07317073170731707,0.03508771929824561,15.5,31.5,0.0,0.0,13.5,29.0,0.0,0.0,14.5,30.0,0.028985507246376812,0.0136986301369863,13.0,25.5,0.0,0.0,14.5,29.5,0.0,0.0,9.0,18.0,0.043478260869565216,0.022222222222222223,17.5,34.5,0.0,0.0,21.0,42.0,0.0,0.0,4.5,7.0,0.09375,0.046875,6.5,15.5,0.08333333333333333,0.03225806451612903,4.0,11.0,0.0,0.0,9.5,19.0,0.044444444444444446,0.021052631578947368,6.5,12.5,0.06,0.028639618138424822,5.0,10.0,0.06808510638297872,0.03319502074688797,5.0,8.0,5.0,8.0,0.1111111111111111,0.06666666666666667,15.5,32.5,0.0,0.0,4.5,9.5,0.075,0.03488372093023256,12.5,26.0,0.0,0.0,14.5,28.5,0.0,0.0,17.0,33.5,0.0,0.0,9.5,21.0,0.047058823529411764,0.023952095808383235,11.0,20.0,0.04438940750619166,0.022322283962444914,3.0,8.0,0.014925373134328358,0.007352941176470588,3.0,5.0,0.08695652173913043,0.04411764705882353,15.0,29.0,0.0,0.0,1.0,1.0,0.05555555555555555,0.027770063871146902,1,0
Riley C-Dawkins,4.0,10.5,0.06217616580310881,0.02977667493796526,11.5,20.5,0.039735099337748346,0.01910828025477707,7.0,14.0,0.05232558139534884,0.02510460251046025,18.0,40.5,0.012195121951219513,0.005847953216374269,2.5,3.5,0.15384615384615385,0.08,13.5,29.0,0.0,0.0,1.5,5.0,0.10144927536231885,0.04794520547945205,13.0,25.5,0.0,0.0,3.5,8.0,0.16666666666666666,0.06666666666666667,4.0,7.0,0.08695652173913043,0.044444444444444446,4.0,7.0,0.10810810810810811,0.05194805194805195,2.5,5.0,0.09523809523809523,0.048,17.5,37.0,0.0,0.0,6.5,15.5,0.08333333333333333,0.03225806451612903,20.5,42.0,0.10526315789473684,0.06451612903225806,5.0,10.0,0.06666666666666667,0.031578947368421054,13.0,28.0,0.04,0.01909307875894988,11.5,23.5,0.0425531914893617,0.02074688796680498,17.0,34.0,15.0,29.0,0.0,0.0,5.0,12.0,0.1111111111111111,0.038461538461538464,19.0,38.5,0.0,0.0,12.5,26.0,0.0,0.0,1.0,2.5,0.3,0.13636363636363635,8.5,17.0,0.037037037037037035,0.01818181818181818,6.5,14.0,0.058823529411764705,0.029940119760479042,3.0,4.0,0.0771575538197752,0.03880053650124545,21.0,41.5,0.08955223880597014,0.04411764705882353,14.0,29.0,0.028985507246376812,0.014705882352941176,5.5,9.0,0.1,0.058823529411764705,15.0,29.0,0.044444444444444446,0.022216051096917523,1,0
Toby Nankervis,6.5,15.5,0.05181347150259067,0.02481389578163772,11.5,20.5,0.039735099337748346,0.01910828025477707,8.5,18.0,0.046511627906976744,0.022315202231520222,8.5,13.5,0.06097560975609756,0.029239766081871343,6.0,11.0,0.07692307692307693,0.04,13.5,29.0,0.0,0.0,5.5,10.0,0.07246376811594203,0.03424657534246575,1.0,2.0,0.7837837837837838,0.35365853658536583,14.5,29.5,0.0,0.0,9.0,18.0,0.043478260869565216,0.022222222222222223,2.0,3.5,0.1891891891891892,0.09090909090909091,1.0,2.5,0.1111111111111111,0.056,4.5,7.0,0.09375,0.046875,6.5,15.5,0.08333333333333333,0.03225806451612903,20.5,42.0,0.10526315789473684,0.06451612903225806,3.0,6.5,0.08888888888888889,0.042105263157894736,18.5,39.5,0.02,0.00954653937947494,15.0,29.5,0.03404255319148936,0.016597510373443983,19.0,38.0,5.0,8.0,0.1111111111111111,0.06666666666666667,15.5,32.5,0.0,0.0,1.0,2.0,0.2,0.09302325581395349,12.5,26.0,0.0,0.0,5.0,9.5,0.1,0.045454545454545456,2.0,3.0,0.2222222222222222,0.10909090909090909,21.0,38.0,0.011764705882352941,0.005988023952095809,9.0,17.0,0.049723756906077346,0.02500479018969151,12.0,24.0,0.04477611940298507,0.022058823529411766,6.5,8.5,0.07246376811594203,0.03676470588235294,15.0,29.0,0.0,0.0,10.0,18.5,0.04722222222222222,0.02360455429047487,1,0
Jason Castagna,12.0,26.5,0.04145077720207254,0.019851116625310174,6.5,13.0,0.052980132450331126,0.025477707006369428,8.5,18.0,0.046511627906976744,0.022315202231520222,2.0,3.0,0.0975609756097561,0.04678362573099415,6.0,11.0,0.07692307692307693,0.04,13.5,29.0,0.0,0.0,7.5,14.5,0.057971014492753624,0.0273972602739726,13.0,25.5,0.0,0.0,14.5,29.5,0.0,0.0,15.0,29.5,0.021739130434782608,0.011111111111111112,10.0,20.0,0.02702702702702703,0.012987012987012988,18.0,35.0,0.015873015873015872,0.008,17.5,37.0,0.0,0.0,16.5,34.0,0.0,0.0,4.0,11.0,0.0,0.0,14.0,28.5,0.02962962962962963,0.014035087719298246,6.5,12.5,0.06,0.028639618138424822,11.5,23.5,0.0425531914893617,0.02074688796680498,14.0,29.0,15.0,29.0,0.0,0.0,5.0,12.0,0.1111111111111111,0.038461538461538464,19.0,38.5,0.0,0.0,12.5,26.0,0.0,0.0,5.0,9.5,0.1,0.045454545454545456,17.0,33.5,0.0,0.0,5.0,10.0,0.07058823529411765,0.03592814371257485,10.0,19.0,0.04781863212040389,0.024046752251389154,12.0,24.0,0.04477611940298507,0.022058823529411766,17.0,35.0,0.014492753623188406,0.007352941176470588,15.0,29.0,0.0,0.0,6.0,10.0,0.049444444444444444,0.024715356845320745,1,0
Dylan Grimes,12.0,26.5,0.04145077720207254,0.019851116625310174,9.5,17.5,0.046357615894039736,0.022292993630573247,10.5,21.5,0.0436046511627907,0.02092050209205021,8.5,13.5,0.06097560975609756,0.029239766081871343,15.5,31.5,0.0,0.0,13.5,29.0,0.0,0.0,10.0,20.5,0.043478260869565216,0.02054794520547945,13.0,25.5,0.0,0.0,14.5,29.5,0.0,0.0,15.0,29.5,0.021739130434782608,0.011111111111111112,10.0,20.0,0.02702702702702703,0.012987012987012988,18.0,35.0,0.015873015873015872,0.008,4.5,7.0,0.09375,0.046875,6.5,15.5,0.08333333333333333,0.03225806451612903,4.0,11.0,0.0,0.0,9.5,19.0,0.044444444444444446,0.021052631578947368,12.0,25.0,0.045,0.021479713603818614,6.0,13.0,0.059574468085106386,0.029045643153526972,1.0,2.0,5.0,8.0,0.1111111111111111,0.06666666666666667,15.5,32.5,0.0,0.0,2.0,3.5,0.175,0.08139534883720931,12.5,26.0,0.0,0.0,14.5,28.5,0.0,0.0,8.5,17.0,0.037037037037037035,0.01818181818181818,17.0,31.5,0.023529411764705882,0.011976047904191617,17.0,35.0,0.026481234520861117,0.01331672734240276,3.0,8.0,0.014925373134328358,0.007352941176470588,1.0,1.5,0.11594202898550725,0.058823529411764705,15.0,29.0,0.0,0.0,6.0,10.0,0.049444444444444444,0.024715356845320745,1,1
