Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency %,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,Brownlow Votes
Oliver Wines,17.0,16.0,33.0,3.0,0.0,0.0,10.0,2.0,1.0,5.0,8.0,3.0,2.0,2.0,0.0,17.0,16.0,21.0,63.6,0.0,0.0,1.0,1.0,5.0,3.0,3.0,522.0,8.0,3.0,1.0,76.0,1,3
Travis Boak,6.0,21.0,27.0,2.0,0.0,0.0,8.0,0.0,1.0,4.0,5.0,3.0,1.0,1.0,1.0,12.0,14.0,19.0,70.4,0.0,0.0,0.0,0.0,2.0,3.0,5.0,186.0,3.0,4.0,2.0,80.0,1,0
Justin Westhoff,14.0,12.0,26.0,6.0,1.0,1.0,8.0,5.0,1.0,3.0,4.0,1.0,1.0,0.0,0.0,8.0,16.0,19.0,73.1,0.0,0.0,2.0,0.0,1.0,3.0,7.0,235.0,4.0,5.0,2.0,93.0,1,0
Matthew Broadbent,20.0,6.0,26.0,7.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,1.0,10.0,0.0,0.0,5.0,19.0,21.0,80.8,0.0,0.0,1.0,2.0,0.0,1.0,5.0,734.0,8.0,11.0,0.0,93.0,1,1
Angus Monfries,12.0,11.0,23.0,7.0,1.0,0.0,7.0,0.0,0.0,7.0,3.0,2.0,0.0,0.0,0.0,9.0,14.0,12.0,52.2,0.0,2.0,0.0,0.0,0.0,3.0,4.0,322.0,5.0,3.0,3.0,87.0,1,0
Robbie Gray,9.0,14.0,23.0,3.0,2.0,1.0,3.0,0.0,0.0,4.0,7.0,2.0,1.0,0.0,1.0,14.0,12.0,18.0,78.3,1.0,3.0,3.0,0.0,1.0,5.0,6.0,254.0,3.0,0.0,1.0,89.0,1,0
Chad Wingard,18.0,3.0,21.0,6.0,3.0,3.0,2.0,0.0,2.0,5.0,4.0,4.0,0.0,0.0,0.0,8.0,11.0,12.0,57.1,1.0,4.0,0.0,0.0,0.0,4.0,9.0,381.0,3.0,2.0,1.0,94.0,1,0
Brad Ebert,12.0,8.0,20.0,3.0,0.0,0.0,4.0,1.0,1.0,0.0,4.0,3.0,1.0,0.0,1.0,7.0,9.0,11.0,55.0,0.0,1.0,1.0,0.0,1.0,4.0,2.0,220.0,4.0,2.0,0.0,79.0,1,0
Jay Schulz,10.0,5.0,15.0,6.0,1.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,4.0,8.0,10.0,66.7,0.0,1.0,1.0,0.0,0.0,0.0,4.0,183.0,2.0,2.0,2.0,95.0,1,0
Hamish Hartlett,9.0,5.0,14.0,0.0,0.0,0.0,4.0,0.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,8.0,5.0,8.0,57.1,0.0,0.0,2.0,0.0,1.0,3.0,3.0,227.0,3.0,4.0,2.0,80.0,1,0
