Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency %,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,Brownlow Votes
Callan Ward,17.0,10.0,27.0,5.0,0.0,1.0,4.0,2.0,0.0,8.0,8.0,2.0,1.0,3.0,1.0,14.0,14.0,21.0,77.8,1.0,0.0,0.0,0.0,2.0,6.0,5.0,555.0,2.0,4.0,0.0,86.0,1,3
Joshua Kelly,15.0,12.0,27.0,7.0,0.0,1.0,1.0,0.0,3.0,4.0,3.0,2.0,1.0,0.0,1.0,7.0,19.0,17.0,63.0,0.0,1.0,1.0,0.0,1.0,2.0,6.0,258.0,4.0,1.0,0.0,89.0,1,0
Stephen Coniglio,14.0,12.0,26.0,5.0,2.0,0.0,8.0,0.0,0.0,1.0,4.0,3.0,5.0,3.0,1.0,10.0,16.0,20.0,76.9,0.0,1.0,1.0,0.0,2.0,2.0,5.0,204.0,4.0,8.0,0.0,82.0,1,1
Dylan Shiel,14.0,12.0,26.0,6.0,3.0,0.0,8.0,0.0,1.0,3.0,9.0,3.0,0.0,2.0,0.0,11.0,15.0,19.0,73.1,0.0,0.0,2.0,2.0,2.0,7.0,9.0,379.0,3.0,2.0,0.0,78.0,1,0
Toby Greene,11.0,14.0,25.0,6.0,0.0,1.0,1.0,0.0,2.0,5.0,3.0,2.0,0.0,3.0,0.0,7.0,18.0,17.0,68.0,1.0,3.0,0.0,0.0,1.0,2.0,7.0,300.0,6.0,0.0,0.0,83.0,1,0
Adam Treloar,14.0,10.0,24.0,2.0,1.0,0.0,3.0,0.0,0.0,5.0,4.0,1.0,3.0,0.0,0.0,11.0,11.0,17.0,70.8,1.0,0.0,0.0,1.0,2.0,2.0,7.0,368.0,3.0,2.0,2.0,78.0,1,0
Heath Shaw,16.0,7.0,23.0,7.0,0.0,0.0,4.0,0.0,0.0,4.0,1.0,5.0,1.0,1.0,1.0,9.0,16.0,17.0,73.9,0.0,0.0,3.0,6.0,0.0,1.0,3.0,425.0,4.0,8.0,0.0,91.0,1,0
Ryan Griffen,9.0,14.0,23.0,5.0,0.0,0.0,5.0,1.0,2.0,4.0,5.0,2.0,2.0,1.0,0.0,9.0,14.0,18.0,78.3,0.0,0.0,0.0,4.0,2.0,3.0,9.0,314.0,5.0,3.0,0.0,86.0,1,0
Lachie Whitfield,11.0,8.0,19.0,4.0,0.0,1.0,2.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,4.0,15.0,15.0,78.9,0.0,0.0,1.0,0.0,0.0,0.0,8.0,410.0,3.0,3.0,0.0,85.0,1,0
Tom Scully,9.0,8.0,17.0,3.0,1.0,1.0,4.0,0.0,1.0,2.0,2.0,1.0,0.0,2.0,0.0,5.0,12.0,12.0,70.6,0.0,0.0,1.0,2.0,0.0,2.0,6.0,254.0,1.0,2.0,1.0,94.0,1,0
Tomas Bugg,4.0,12.0,16.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,6.0,10.0,16.0,100.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,128.0,1.0,2.0,0.0,86.0,1,0
Phil Davis,8.0,6.0,14.0,8.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,2.0,1.0,3.0,2.0,8.0,7.0,14.0,100.0,3.0,0.0,6.0,0.0,0.0,0.0,1.0,160.0,2.0,12.0,0.0,91.0,1,0
Shane Mumford,7.0,6.0,13.0,2.0,1.0,1.0,7.0,38.0,0.0,3.0,5.0,5.0,0.0,5.0,4.0,12.0,2.0,7.0,53.8,2.0,1.0,3.0,0.0,1.0,4.0,7.0,229.0,1.0,0.0,0.0,89.0,1,2
Jeremy Cameron,7.0,5.0,12.0,5.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,3.0,8.0,8.0,66.7,0.0,2.0,0.0,0.0,1.0,0.0,4.0,150.0,4.0,0.0,2.0,88.0,1,0
Rhys Palmer,7.0,4.0,11.0,4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,2.0,0.0,1.0,0.0,2.0,9.0,7.0,63.6,0.0,0.0,0.0,3.0,0.0,0.0,2.0,254.0,3.0,2.0,0.0,91.0,1,0
Nick Haynes,7.0,4.0,11.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,8.0,9.0,81.8,1.0,0.0,5.0,0.0,0.0,0.0,3.0,220.0,3.0,5.0,0.0,83.0,1,0
Nathan Wilson,9.0,2.0,11.0,3.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,2.0,9.0,10.0,90.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,322.0,1.0,2.0,0.0,51.0,1,0
Devon Smith,5.0,4.0,9.0,1.0,2.0,0.0,7.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,7.0,3.0,7.0,77.8,0.0,0.0,0.0,1.0,0.0,3.0,4.0,228.0,3.0,2.0,0.0,85.0,1,0
Cameron McCarthy,9.0,0.0,9.0,4.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,1.0,2.0,6.0,6.0,66.7,0.0,3.0,0.0,0.0,0.0,0.0,4.0,265.0,1.0,2.0,1.0,81.0,1,0
Joel Patfull,5.0,1.0,6.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,3.0,1.0,5.0,4.0,66.7,0.0,0.0,4.0,0.0,0.0,0.0,0.0,138.0,1.0,1.0,0.0,83.0,1,0
Aidan Corr,3.0,3.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,3.0,2.0,6.0,100.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,102.0,1.0,3.0,0.0,90.0,1,0
Adam Tomlinson,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,30.0,1,0
Daniel Cross,13.0,10.0,23.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,2.0,1.0,1.0,0.0,8.0,13.0,19.0,82.6,1.0,0.0,1.0,0.0,1.0,2.0,3.0,302.0,5.0,5.0,1.0,91.0,0,0
Christian Salem,10.0,12.0,22.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,1.0,7.0,14.0,18.0,81.8,2.0,0.0,1.0,0.0,0.0,1.0,1.0,184.0,1.0,4.0,0.0,93.0,0,0
Heritier Lumumba,10.0,9.0,19.0,4.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,2.0,8.0,12.0,16.0,84.2,1.0,0.0,0.0,0.0,0.0,1.0,2.0,377.0,5.0,5.0,1.0,90.0,0,0
Jack Viney,10.0,9.0,19.0,2.0,0.0,0.0,11.0,0.0,0.0,2.0,3.0,2.0,1.0,0.0,1.0,6.0,14.0,10.0,52.6,1.0,0.0,0.0,0.0,2.0,1.0,3.0,219.0,4.0,1.0,2.0,85.0,0,0
Dom Tyson,7.0,10.0,17.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,7.0,1.0,0.0,4.0,6.0,12.0,11.0,64.7,0.0,0.0,0.0,0.0,0.0,3.0,2.0,180.0,4.0,0.0,0.0,71.0,0,0
Lynden Dunn,12.0,4.0,16.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,3.0,11.0,14.0,87.5,0.0,0.0,5.0,0.0,0.0,0.0,1.0,253.0,6.0,7.0,0.0,93.0,0,0
Tom McDonald,11.0,5.0,16.0,8.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,1.0,7.0,9.0,15.0,93.8,2.0,1.0,10.0,2.0,0.0,0.0,3.0,307.0,3.0,7.0,0.0,93.0,0,0
