Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency %,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes
Bernie Vince,16.0,22.0,38.0,3.0,0.0,2.0,7.0,1.0,0.0,5.0,14.0,5.0,2.0,1.0,4.0,18.0,20.0,29.0,76.3,0.0,0.0,2.0,3.0,5.0,9.0,6.0,428.0,6.0,4.0,1.0,87.0,1,Home,3
Nathan Jones,19.0,17.0,36.0,2.0,1.0,1.0,4.0,0.0,1.0,11.0,8.0,1.0,1.0,3.0,0.0,14.0,22.0,28.0,77.8,0.0,0.0,0.0,0.0,2.0,6.0,7.0,447.0,6.0,2.0,0.0,83.0,1,Home,2
Jack Viney,11.0,18.0,29.0,2.0,0.0,0.0,12.0,0.0,0.0,4.0,8.0,1.0,1.0,2.0,1.0,15.0,15.0,19.0,65.5,0.0,0.0,0.0,0.0,2.0,6.0,8.0,412.0,5.0,1.0,0.0,88.0,1,Home,0
Daniel Cross,6.0,19.0,25.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,16.0,24.0,96.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,150.0,1.0,9.0,0.0,78.0,1,Home,0
Jack Grimes,15.0,9.0,24.0,8.0,1.0,0.0,4.0,0.0,0.0,3.0,0.0,3.0,1.0,1.0,0.0,3.0,21.0,15.0,62.5,0.0,0.0,1.0,0.0,0.0,0.0,4.0,431.0,4.0,5.0,0.0,89.0,1,Home,0
Christian Salem,14.0,10.0,24.0,4.0,0.0,1.0,7.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,0.0,5.0,18.0,20.0,83.3,0.0,0.0,2.0,3.0,0.0,0.0,8.0,430.0,4.0,6.0,0.0,96.0,1,Home,0
Tom McDonald,16.0,7.0,23.0,9.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,6.0,2.0,1.0,9.0,15.0,17.0,73.9,1.0,0.0,9.0,0.0,1.0,0.0,3.0,464.0,3.0,8.0,0.0,94.0,1,Home,0
Viv Michie,6.0,15.0,21.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,1.0,1.0,2.0,0.0,9.0,12.0,17.0,81.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,102.0,1.0,3.0,2.0,79.0,1,Home,0
Colin Garland,12.0,4.0,16.0,5.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,14.0,12.0,75.0,0.0,0.0,3.0,0.0,1.0,0.0,4.0,265.0,1.0,2.0,0.0,96.0,1,Home,0
James Harmes,7.0,9.0,16.0,6.0,2.0,1.0,3.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,9.0,7.0,11.0,68.8,4.0,3.0,1.0,0.0,0.0,0.0,7.0,227.0,5.0,1.0,0.0,79.0,1,Home,0
