Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency %,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes
Lynden Dunn,15.0,7.0,22.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,3.0,1.0,1.0,6.0,12.0,17.0,77.3,0.0,0.0,0.0,4.0,0.0,0.0,4.0,668.0,3.0,9.0,0.0,94.0,0,Home,0
Daniel Cross,8.0,13.0,21.0,5.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,1.0,7.0,1.0,1.0,8.0,13.0,16.0,76.2,1.0,0.0,5.0,0.0,0.0,3.0,4.0,207.0,1.0,7.0,0.0,89.0,0,Home,0
Angus Brayshaw,11.0,10.0,21.0,2.0,0.0,0.0,8.0,0.0,1.0,3.0,5.0,1.0,2.0,3.0,0.0,14.0,7.0,11.0,52.4,0.0,0.0,0.0,0.0,0.0,5.0,4.0,355.0,4.0,4.0,2.0,74.0,0,Home,0
Nathan Jones,7.0,13.0,20.0,1.0,0.0,0.0,5.0,0.0,1.0,3.0,4.0,2.0,0.0,2.0,2.0,9.0,11.0,12.0,60.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,233.0,2.0,2.0,0.0,81.0,0,Home,0
Aaron Vandenberg,11.0,8.0,19.0,5.0,0.0,0.0,4.0,0.0,0.0,5.0,7.0,4.0,1.0,0.0,0.0,10.0,9.0,12.0,63.2,1.0,0.0,0.0,0.0,2.0,6.0,1.0,330.0,8.0,0.0,1.0,80.0,0,Home,0
Jack Grimes,7.0,11.0,18.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,18.0,100.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,200.0,1.0,4.0,0.0,83.0,0,Home,0
Tom McDonald,13.0,5.0,18.0,6.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,4.0,1.0,2.0,3.0,14.0,13.0,72.2,0.0,0.0,3.0,1.0,0.0,0.0,2.0,403.0,5.0,6.0,0.0,93.0,0,Home,0
Bernie Vince,10.0,7.0,17.0,2.0,0.0,1.0,7.0,0.0,0.0,1.0,6.0,1.0,2.0,2.0,0.0,8.0,10.0,12.0,70.6,0.0,0.0,1.0,0.0,1.0,5.0,4.0,172.0,2.0,1.0,0.0,77.0,0,Home,0
Cameron Pedersen,10.0,7.0,17.0,5.0,0.0,2.0,3.0,2.0,0.0,3.0,2.0,1.0,0.0,2.0,1.0,8.0,9.0,11.0,64.7,0.0,2.0,0.0,0.0,1.0,1.0,6.0,257.0,3.0,5.0,0.0,91.0,0,Home,0
Colin Garland,11.0,5.0,16.0,3.0,0.0,0.0,6.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,1.0,5.0,11.0,11.0,68.8,0.0,0.0,3.0,0.0,0.0,1.0,4.0,296.0,2.0,5.0,0.0,89.0,0,Home,0
Jesse Hogan,13.0,3.0,16.0,8.0,2.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,5.0,10.0,13.0,81.2,2.0,1.0,0.0,1.0,0.0,0.0,5.0,458.0,3.0,2.0,0.0,89.0,0,Home,0
