Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency %,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes
Matthew Priddis,16.0,27.0,43.0,4.0,0.0,0.0,5.0,0.0,2.0,4.0,12.0,2.0,1.0,3.0,0.0,24.0,20.0,33.0,76.7,0.0,0.0,2.0,0.0,5.0,7.0,12.0,335.0,4.0,5.0,1.0,84.0,1,Home,2
Andrew Gaff,15.0,18.0,33.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,4.0,1.0,1.0,7.0,28.0,27.0,81.8,0.0,1.0,1.0,1.0,0.0,0.0,10.0,356.0,3.0,5.0,0.0,90.0,1,Home,0
Luke Shuey,17.0,13.0,30.0,3.0,0.0,0.0,4.0,0.0,1.0,3.0,7.0,8.0,0.0,2.0,5.0,11.0,19.0,23.0,76.7,0.0,0.0,1.0,1.0,4.0,3.0,11.0,423.0,3.0,1.0,0.0,85.0,1,Home,0
Mark Lecras,19.0,6.0,25.0,9.0,2.0,0.0,1.0,0.0,2.0,3.0,2.0,4.0,0.0,0.0,1.0,6.0,20.0,18.0,72.0,0.0,2.0,0.0,0.0,1.0,1.0,9.0,454.0,4.0,0.0,1.0,86.0,1,Home,0
Joshua Kennedy,21.0,4.0,25.0,16.0,8.0,2.0,4.0,0.0,4.0,8.0,1.0,2.0,0.0,1.0,2.0,8.0,18.0,19.0,76.0,4.0,10.0,0.0,1.0,1.0,0.0,19.0,607.0,3.0,1.0,0.0,100.0,1,Home,3
Jack Redden,7.0,18.0,25.0,4.0,1.0,0.0,3.0,0.0,2.0,2.0,7.0,2.0,0.0,0.0,2.0,16.0,9.0,20.0,80.0,0.0,0.0,1.0,0.0,5.0,2.0,7.0,121.0,0.0,3.0,0.0,70.0,1,Home,0
Eric MacKenzie,12.0,12.0,24.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0,8.0,14.0,22.0,91.7,1.0,0.0,4.0,0.0,0.0,0.0,4.0,293.0,4.0,10.0,0.0,100.0,1,Home,0
Nicholas Naitanui,7.0,15.0,22.0,6.0,2.0,0.0,2.0,46.0,1.0,6.0,5.0,3.0,0.0,2.0,2.0,17.0,6.0,15.0,68.2,6.0,2.0,4.0,0.0,3.0,2.0,12.0,348.0,4.0,2.0,0.0,67.0,1,Home,1
Bradley Sheppard,9.0,12.0,21.0,7.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,6.0,16.0,14.0,66.7,0.0,0.0,5.0,0.0,0.0,0.0,4.0,139.0,4.0,7.0,0.0,84.0,1,Home,0
Elliot Yeo,13.0,7.0,20.0,4.0,1.0,1.0,9.0,2.0,0.0,6.0,4.0,3.0,1.0,1.0,2.0,11.0,9.0,16.0,80.0,2.0,1.0,0.0,0.0,1.0,3.0,7.0,365.0,4.0,3.0,2.0,80.0,1,Home,0
