Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency %,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes
Jason Johannisen,20.0,15.0,35.0,9.0,1.0,1.0,0.0,0.0,1.0,3.0,3.0,2.0,3.0,0.0,1.0,9.0,25.0,28.0,80.0,0.0,1.0,1.0,1.0,0.0,3.0,9.0,477.0,4.0,7.0,0.0,82.0,0.5,Home,3
Shane Biggs,22.0,13.0,35.0,6.0,0.0,1.0,2.0,0.0,0.0,5.0,0.0,1.0,5.0,1.0,0.0,6.0,29.0,29.0,82.9,1.0,0.0,3.0,0.0,0.0,0.0,9.0,472.0,3.0,8.0,0.0,85.0,0.5,Home,1
Robert Murphy,20.0,11.0,31.0,9.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,3.0,27.0,27.0,87.1,0.0,0.0,4.0,5.0,0.0,0.0,9.0,420.0,3.0,4.0,0.0,81.0,0.5,Home,0
Lachlan Hunter,16.0,15.0,31.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,0.0,0.0,4.0,26.0,24.0,77.4,0.0,1.0,1.0,0.0,0.0,0.0,3.0,218.0,3.0,1.0,0.0,87.0,0.5,Home,0
Jackson Macrae,12.0,18.0,30.0,5.0,1.0,0.0,4.0,0.0,0.0,3.0,0.0,4.0,0.0,1.0,1.0,6.0,24.0,22.0,73.3,0.0,0.0,3.0,0.0,0.0,0.0,9.0,219.0,4.0,4.0,0.0,88.0,0.5,Home,0
Koby Stevens,8.0,19.0,27.0,1.0,0.0,0.0,8.0,0.0,0.0,3.0,3.0,3.0,1.0,0.0,1.0,5.0,23.0,21.0,77.8,0.0,0.0,2.0,0.0,2.0,1.0,6.0,169.0,4.0,1.0,0.0,76.0,0.5,Home,0
Matthew Boyd,13.0,13.0,26.0,8.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,3.0,4.0,1.0,2.0,4.0,24.0,25.0,96.2,0.0,0.0,2.0,2.0,0.0,0.0,5.0,382.0,2.0,3.0,0.0,84.0,0.5,Home,0
Thomas Liberatore,11.0,14.0,25.0,2.0,1.0,1.0,2.0,0.0,1.0,7.0,4.0,1.0,0.0,1.0,1.0,11.0,16.0,21.0,84.0,0.0,1.0,3.0,0.0,1.0,3.0,6.0,404.0,3.0,1.0,0.0,81.0,0.5,Home,0
Luke Dahlhaus,7.0,18.0,25.0,2.0,0.0,1.0,6.0,0.0,0.0,3.0,8.0,2.0,0.0,4.0,2.0,16.0,10.0,20.0,80.0,0.0,0.0,0.0,0.0,5.0,3.0,6.0,172.0,2.0,2.0,1.0,78.0,0.5,Home,0
Mitchell Wallis,7.0,17.0,24.0,0.0,0.0,1.0,3.0,1.0,0.0,5.0,6.0,2.0,1.0,0.0,0.0,15.0,8.0,16.0,66.7,0.0,0.0,2.0,0.0,3.0,3.0,6.0,175.0,4.0,3.0,1.0,80.0,0.5,Home,0
