Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency %,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes
Michael Barlow,19.0,24.0,43.0,3.0,2.0,0.0,8.0,0.0,1.0,3.0,9.0,2.0,4.0,1.0,0.0,20.0,20.0,29.0,67.4,0.0,0.0,0.0,2.0,3.0,6.0,8.0,505.0,7.0,3.0,2.0,85.0,1,Home,3
Lachie Neale,14.0,24.0,38.0,4.0,0.0,1.0,6.0,0.0,0.0,1.0,8.0,1.0,2.0,1.0,0.0,19.0,19.0,28.0,73.7,1.0,0.0,3.0,1.0,2.0,6.0,7.0,271.0,3.0,5.0,1.0,81.0,1,Home,1
David Mundy,15.0,12.0,27.0,5.0,0.0,0.0,5.0,0.0,1.0,4.0,5.0,5.0,2.0,1.0,2.0,16.0,14.0,15.0,55.6,0.0,0.0,2.0,0.0,1.0,4.0,3.0,382.0,6.0,3.0,1.0,78.0,1,Home,0
Lee Spurr,16.0,10.0,26.0,9.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,5.0,1.0,1.0,9.0,18.0,22.0,84.6,1.0,0.0,3.0,0.0,0.0,1.0,5.0,409.0,4.0,5.0,0.0,95.0,1,Home,0
Danyle Pearce,16.0,9.0,25.0,5.0,0.0,1.0,6.0,0.0,2.0,5.0,1.0,2.0,0.0,0.0,0.0,4.0,19.0,18.0,72.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,542.0,5.0,2.0,0.0,73.0,1,Home,0
Hayden Crozier,12.0,9.0,21.0,5.0,0.0,1.0,3.0,0.0,0.0,2.0,2.0,1.0,5.0,2.0,0.0,6.0,15.0,16.0,76.2,0.0,0.0,2.0,0.0,1.0,1.0,6.0,408.0,3.0,5.0,0.0,86.0,1,Home,0
Connor Blakely,11.0,10.0,21.0,3.0,0.0,1.0,3.0,1.0,0.0,5.0,2.0,1.0,1.0,1.0,0.0,6.0,16.0,15.0,71.4,0.0,0.0,2.0,0.0,0.0,2.0,4.0,305.0,3.0,2.0,1.0,67.0,1,Home,0
Nicholas Suban,10.0,10.0,20.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,6.0,14.0,15.0,75.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,397.0,4.0,3.0,1.0,75.0,1,Home,0
Stephen Hill,11.0,5.0,16.0,2.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,6.0,9.0,10.0,62.5,0.0,1.0,2.0,1.0,0.0,0.0,4.0,453.0,3.0,7.0,1.0,86.0,1,Home,0
Hayden Ballantyne,7.0,9.0,16.0,4.0,1.0,2.0,4.0,0.0,0.0,1.0,3.0,4.0,0.0,2.0,0.0,9.0,8.0,8.0,50.0,0.0,4.0,1.0,0.0,0.0,3.0,6.0,95.0,2.0,1.0,1.0,79.0,1,Home,0
Matthew Taberner,11.0,5.0,16.0,6.0,1.0,1.0,2.0,2.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0,8.0,9.0,11.0,68.8,3.0,1.0,1.0,0.0,0.0,0.0,6.0,263.0,3.0,1.0,2.0,94.0,1,Home,0
Matthew Pavlich,10.0,5.0,15.0,7.0,4.0,2.0,5.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,7.0,8.0,12.0,80.0,3.0,4.0,3.0,0.0,0.0,0.0,9.0,216.0,2.0,1.0,2.0,91.0,1,Home,2
Zachary Clarke,8.0,7.0,15.0,4.0,0.0,1.0,4.0,43.0,1.0,1.0,1.0,4.0,2.0,0.0,3.0,4.0,10.0,8.0,53.3,1.0,0.0,1.0,0.0,0.0,1.0,6.0,160.0,1.0,2.0,0.0,92.0,1,Home,0
Thomas Sheridan,10.0,4.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,6.0,8.0,11.0,78.6,0.0,0.0,4.0,0.0,0.0,1.0,3.0,227.0,4.0,6.0,0.0,83.0,1,Home,0
