Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency %,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,Brownlow Votes
Nathan Jones,14.0,21.0,35.0,2.0,1.0,0.0,4.0,0.0,0.0,4.0,7.0,2.0,1.0,2.0,0.0,12.0,23.0,24.0,68.6,0.0,0.0,1.0,0.0,5.0,2.0,6.0,275.0,5.0,0.0,1.0,82.0,1,3
Jack Grimes,17.0,15.0,32.0,9.0,0.0,0.0,8.0,0.0,0.0,3.0,1.0,3.0,5.0,0.0,0.0,6.0,24.0,29.0,90.6,1.0,0.0,1.0,0.0,0.0,1.0,7.0,504.0,4.0,4.0,2.0,86.0,1,0
Tom McDonald,19.0,12.0,31.0,10.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,6.0,0.0,0.0,8.0,20.0,29.0,93.5,2.0,0.0,11.0,0.0,0.0,1.0,8.0,492.0,0.0,12.0,0.0,91.0,1,0
Dom Tyson,16.0,15.0,31.0,1.0,0.0,1.0,5.0,0.0,1.0,3.0,7.0,4.0,1.0,0.0,0.0,14.0,16.0,21.0,67.7,0.0,0.0,0.0,0.0,3.0,4.0,6.0,417.0,5.0,3.0,0.0,77.0,1,0
Matt Jones,18.0,12.0,30.0,7.0,0.0,0.0,4.0,0.0,1.0,5.0,2.0,3.0,2.0,0.0,0.0,7.0,21.0,21.0,70.0,0.0,2.0,1.0,2.0,1.0,1.0,4.0,244.0,6.0,6.0,1.0,80.0,1,0
Jack Viney,15.0,14.0,29.0,4.0,0.0,1.0,7.0,0.0,0.0,8.0,6.0,3.0,1.0,3.0,0.0,14.0,15.0,19.0,65.5,1.0,1.0,0.0,0.0,1.0,5.0,7.0,549.0,4.0,3.0,1.0,77.0,1,2
Jayden Hunt,17.0,12.0,29.0,4.0,0.0,0.0,3.0,0.0,0.0,8.0,3.0,5.0,4.0,1.0,0.0,7.0,20.0,18.0,62.1,0.0,0.0,2.0,0.0,0.0,3.0,4.0,596.0,9.0,5.0,0.0,83.0,1,0
Neville Jetta,13.0,13.0,26.0,5.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,4.0,21.0,20.0,76.9,0.0,1.0,2.0,0.0,0.0,0.0,5.0,347.0,4.0,6.0,0.0,87.0,1,0
James Harmes,9.0,14.0,23.0,6.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,8.0,15.0,19.0,82.6,1.0,0.0,2.0,1.0,1.0,0.0,2.0,313.0,1.0,5.0,0.0,85.0,1,0
Aaron Vandenberg,8.0,14.0,22.0,3.0,1.0,2.0,5.0,0.0,1.0,6.0,2.0,5.0,0.0,0.0,4.0,9.0,14.0,17.0,77.3,0.0,1.0,0.0,0.0,0.0,2.0,8.0,384.0,4.0,1.0,0.0,81.0,1,0
