Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency %,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes
Robbie Gray,12.0,17.0,29.0,3.0,2.0,0.0,6.0,0.0,0.0,6.0,10.0,3.0,3.0,3.0,1.0,19.0,12.0,21.0,72.4,0.0,0.0,1.0,0.0,2.0,8.0,8.0,557.0,4.0,2.0,3.0,81.0,0,Home,1
Matthew Broadbent,14.0,14.0,28.0,8.0,0.0,1.0,5.0,0.0,0.0,3.0,4.0,1.0,1.0,2.0,0.0,10.0,17.0,21.0,75.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0,330.0,5.0,6.0,1.0,71.0,0,Home,0
Oliver Wines,10.0,15.0,25.0,2.0,2.0,0.0,3.0,6.0,1.0,6.0,3.0,4.0,1.0,0.0,0.0,10.0,16.0,13.0,52.0,0.0,0.0,1.0,0.0,2.0,1.0,5.0,338.0,4.0,0.0,1.0,77.0,0,Home,0
Travis Boak,11.0,12.0,23.0,4.0,0.0,0.0,6.0,0.0,0.0,3.0,3.0,3.0,2.0,1.0,0.0,9.0,13.0,17.0,73.9,0.0,0.0,0.0,0.0,1.0,2.0,5.0,389.0,3.0,1.0,1.0,81.0,0,Home,0
Hamish Hartlett,15.0,7.0,22.0,4.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,6.0,2.0,3.0,1.0,7.0,13.0,16.0,72.7,1.0,0.0,0.0,0.0,1.0,0.0,1.0,315.0,6.0,7.0,0.0,85.0,0,Home,0
Jasper Pittard,15.0,5.0,20.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,1.0,0.0,4.0,12.0,18.0,90.0,0.0,0.0,6.0,0.0,0.0,1.0,6.0,497.0,8.0,5.0,0.0,93.0,0,Home,0
Nathan Krakouer,16.0,3.0,19.0,6.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,5.0,4.0,1.0,3.0,7.0,11.0,11.0,57.9,1.0,0.0,3.0,0.0,0.0,0.0,2.0,463.0,3.0,9.0,0.0,82.0,0,Home,0
Justin Westhoff,11.0,6.0,17.0,4.0,1.0,0.0,3.0,3.0,0.0,0.0,2.0,4.0,2.0,2.0,2.0,6.0,11.0,10.0,58.8,0.0,0.0,3.0,0.0,0.0,2.0,2.0,211.0,5.0,3.0,1.0,93.0,0,Home,0
Kane Mitchell,5.0,12.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,3.0,2.0,15.0,13.0,76.5,0.0,0.0,1.0,0.0,0.0,0.0,5.0,80.0,3.0,1.0,0.0,93.0,0,Home,0
Jarman Impey,8.0,9.0,17.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,11.0,8.0,16.0,94.1,1.0,0.0,0.0,1.0,0.0,2.0,5.0,332.0,4.0,4.0,0.0,87.0,0,Home,0
Karl Amon,9.0,7.0,16.0,3.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,6.0,10.0,13.0,81.2,0.0,1.0,4.0,0.0,0.0,0.0,7.0,294.0,1.0,1.0,0.0,79.0,0,Home,0
Darcy B-Jones,9.0,6.0,15.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,3.0,1.0,4.0,12.0,12.0,80.0,0.0,0.0,5.0,2.0,0.0,0.0,1.0,247.0,3.0,7.0,0.0,83.0,0,Home,0
Jackson Trengove,6.0,8.0,14.0,2.0,0.0,0.0,4.0,15.0,0.0,1.0,4.0,5.0,0.0,1.0,2.0,10.0,5.0,9.0,64.3,0.0,0.0,6.0,0.0,2.0,2.0,2.0,136.0,3.0,3.0,1.0,83.0,0,Home,0
Aaron Young,7.0,7.0,14.0,2.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,1.0,0.0,2.0,0.0,7.0,7.0,10.0,71.4,1.0,0.0,1.0,1.0,0.0,0.0,3.0,179.0,1.0,4.0,2.0,82.0,0,Home,0
Charlie Dixon,9.0,5.0,14.0,3.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,5.0,0.0,2.0,2.0,8.0,5.0,8.0,57.1,1.0,0.0,1.0,0.0,0.0,0.0,4.0,304.0,6.0,1.0,1.0,83.0,0,Home,0
Chad Wingard,6.0,8.0,14.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,1.0,8.0,7.0,10.0,71.4,0.0,0.0,2.0,0.0,0.0,3.0,5.0,199.0,2.0,1.0,0.0,98.0,0,Home,0
Cameron O'Shea,7.0,5.0,12.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,5.0,0.0,2.0,5.0,4.0,7.0,7.0,58.3,0.0,0.0,1.0,0.0,0.0,0.0,3.0,143.0,2.0,4.0,0.0,76.0,0,Home,0
Tom Clurey,8.0,1.0,9.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,2.0,6.0,8.0,88.9,0.0,0.0,7.0,0.0,0.0,0.0,1.0,200.0,1.0,5.0,0.0,96.0,0,Home,0
Jake Neade,3.0,5.0,8.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,4.0,0.0,1.0,2.0,4.0,6.0,6.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,106.0,3.0,2.0,1.0,85.0,0,Home,0
Logan Austin,5.0,3.0,8.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,8.0,5.0,62.5,0.0,0.0,13.0,0.0,0.0,0.0,0.0,151.0,1.0,1.0,0.0,87.0,0,Home,0
Jay Schulz,3.0,4.0,7.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,2.0,7.0,100.0,1.0,2.0,1.0,0.0,0.0,0.0,4.0,27.0,1.0,0.0,0.0,87.0,0,Home,0
Brad Ebert,2.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,1.0,2.0,0.0,18.0,0,Home,0
Luke Hodge,22.0,7.0,29.0,10.0,0.0,0.0,2.0,0.0,0.0,5.0,7.0,4.0,4.0,3.0,1.0,10.0,16.0,18.0,62.1,0.0,0.0,6.0,0.0,3.0,4.0,5.0,454.0,7.0,8.0,0.0,82.0,1,Away,3
Sam Mitchell,18.0,10.0,28.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,7.0,4.0,1.0,3.0,2.0,17.0,13.0,19.0,67.9,1.0,0.0,8.0,0.0,4.0,3.0,6.0,365.0,6.0,5.0,1.0,87.0,1,Away,0
Jordan Lewis,16.0,9.0,25.0,9.0,0.0,0.0,2.0,1.0,2.0,4.0,6.0,3.0,1.0,1.0,1.0,8.0,16.0,21.0,84.0,1.0,0.0,1.0,0.0,2.0,4.0,7.0,280.0,3.0,3.0,0.0,91.0,1,Away,0
Isaac Smith,13.0,9.0,22.0,6.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0,0.0,1.0,1.0,20.0,16.0,72.7,0.0,0.0,1.0,0.0,0.0,0.0,9.0,331.0,3.0,0.0,0.0,88.0,1,Away,0
Taylor Duryea,17.0,3.0,20.0,7.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,3.0,7.0,0.0,0.0,5.0,14.0,17.0,85.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,519.0,7.0,7.0,0.0,74.0,1,Away,0
Grant Birchall,12.0,7.0,19.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,1.0,0.0,4.0,12.0,17.0,89.5,0.0,0.0,1.0,0.0,1.0,0.0,4.0,303.0,2.0,6.0,0.0,81.0,1,Away,0
