Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency %,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes
Tom Rockliff,20.0,7.0,27.0,7.0,1.0,1.0,5.0,0.0,0.0,6.0,3.0,3.0,6.0,1.0,0.0,8.0,20.0,15.0,55.6,1.0,1.0,1.0,0.0,1.0,2.0,5.0,517.0,8.0,3.0,1.0,85.0,0,Home,0
Daniel Rich,13.0,11.0,24.0,3.0,2.0,0.0,7.0,0.0,0.0,5.0,7.0,5.0,3.0,3.0,2.0,13.0,12.0,16.0,66.7,0.0,0.0,2.0,0.0,1.0,6.0,5.0,385.0,4.0,5.0,2.0,80.0,0,Home,0
Tom Cutler,17.0,7.0,24.0,5.0,1.0,0.0,2.0,0.0,1.0,5.0,0.0,2.0,5.0,2.0,1.0,3.0,19.0,23.0,95.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,614.0,3.0,3.0,0.0,85.0,0,Home,0
Mitch Robinson,12.0,10.0,22.0,4.0,1.0,0.0,7.0,0.0,0.0,4.0,5.0,4.0,0.0,1.0,2.0,14.0,9.0,16.0,72.7,1.0,1.0,1.0,0.0,4.0,1.0,7.0,330.0,5.0,2.0,1.0,83.0,0,Home,0
Ryan Bastinac,6.0,16.0,22.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,5.0,2.0,1.0,1.0,0.0,10.0,13.0,14.0,63.6,0.0,0.0,1.0,0.0,1.0,4.0,1.0,136.0,5.0,1.0,1.0,83.0,0,Home,0
Pearce Hanley,10.0,9.0,19.0,5.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,16.0,16.0,84.2,0.0,0.0,0.0,4.0,1.0,0.0,4.0,297.0,2.0,0.0,0.0,76.0,0,Home,0
Harris Andrews,13.0,6.0,19.0,9.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,4.0,2.0,2.0,7.0,11.0,15.0,78.9,1.0,0.0,7.0,0.0,0.0,0.0,3.0,342.0,1.0,9.0,0.0,94.0,0,Home,0
Rhys Mathieson,11.0,8.0,19.0,4.0,1.0,0.0,4.0,1.0,1.0,1.0,9.0,4.0,1.0,3.0,2.0,11.0,8.0,16.0,84.2,0.0,0.0,1.0,0.0,1.0,8.0,5.0,193.0,6.0,2.0,1.0,72.0,0,Home,0
Stefan Martin,8.0,10.0,18.0,6.0,0.0,0.0,4.0,33.0,0.0,1.0,6.0,4.0,1.0,1.0,2.0,9.0,9.0,14.0,77.8,0.0,0.0,2.0,0.0,5.0,1.0,3.0,156.0,7.0,2.0,0.0,82.0,0,Home,0
Sam Mayes,9.0,9.0,18.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,4.0,15.0,17.0,94.4,1.0,0.0,1.0,0.0,1.0,0.0,2.0,227.0,0.0,3.0,0.0,79.0,0,Home,0
Daniel Merrett,11.0,5.0,16.0,7.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,3.0,8.0,1.0,0.0,2.0,11.0,9.0,56.2,1.0,0.0,7.0,0.0,0.0,0.0,1.0,316.0,6.0,5.0,1.0,96.0,0,Home,0
Dayne Zorko,10.0,6.0,16.0,6.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,5.0,11.0,12.0,75.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,334.0,1.0,3.0,0.0,82.0,0,Home,0
Lewis Taylor,9.0,6.0,15.0,6.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,14.0,14.0,93.3,0.0,2.0,0.0,1.0,1.0,0.0,3.0,200.0,1.0,0.0,1.0,81.0,0,Home,0
