Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency %,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes
Oliver Wines,14.0,17.0,31.0,6.0,1.0,0.0,5.0,0.0,0.0,3.0,7.0,5.0,1.0,0.0,2.0,16.0,15.0,20.0,64.5,1.0,1.0,1.0,1.0,4.0,3.0,7.0,399.0,4.0,5.0,1.0,69.0,1,Home,0
Brad Ebert,18.0,12.0,30.0,2.0,0.0,2.0,5.0,0.0,3.0,8.0,14.0,2.0,2.0,0.0,1.0,19.0,11.0,23.0,76.7,0.0,0.0,4.0,0.0,3.0,11.0,13.0,381.0,3.0,1.0,0.0,86.0,1,Home,2
Chad Wingard,17.0,13.0,30.0,6.0,3.0,1.0,5.0,0.0,1.0,6.0,6.0,2.0,1.0,2.0,0.0,18.0,11.0,20.0,66.7,4.0,4.0,1.0,0.0,4.0,2.0,8.0,508.0,4.0,1.0,0.0,87.0,1,Home,3
Justin Westhoff,21.0,6.0,27.0,12.0,1.0,0.0,1.0,0.0,1.0,6.0,1.0,3.0,1.0,1.0,0.0,10.0,18.0,17.0,63.0,2.0,2.0,4.0,0.0,0.0,1.0,10.0,480.0,7.0,6.0,0.0,86.0,1,Home,0
Sam P-Pepper,13.0,13.0,26.0,8.0,2.0,1.0,3.0,0.0,0.0,3.0,3.0,7.0,0.0,1.0,1.0,11.0,13.0,14.0,53.8,1.0,3.0,1.0,0.0,2.0,1.0,6.0,165.0,7.0,1.0,0.0,70.0,1,Home,0
Sam Gray,15.0,10.0,25.0,10.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,7.0,17.0,20.0,80.0,2.0,3.0,0.0,0.0,0.0,0.0,10.0,395.0,1.0,3.0,1.0,83.0,1,Home,0
Travis Boak,9.0,15.0,24.0,9.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,1.0,6.0,19.0,18.0,75.0,0.0,0.0,1.0,0.0,0.0,2.0,7.0,134.0,4.0,1.0,1.0,86.0,1,Home,0
Jared Polec,15.0,8.0,23.0,6.0,1.0,0.0,3.0,0.0,1.0,4.0,1.0,4.0,1.0,0.0,2.0,3.0,19.0,20.0,87.0,0.0,1.0,1.0,1.0,0.0,1.0,5.0,462.0,4.0,0.0,0.0,79.0,1,Home,0
Robbie Gray,7.0,12.0,19.0,5.0,2.0,3.0,2.0,0.0,1.0,0.0,1.0,4.0,0.0,3.0,1.0,7.0,11.0,12.0,63.2,0.0,3.0,0.0,0.0,0.0,1.0,10.0,95.0,3.0,2.0,2.0,94.0,1,Home,0
Hamish Hartlett,12.0,7.0,19.0,1.0,1.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,3.0,2.0,0.0,8.0,12.0,19.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,242.0,0.0,7.0,0.0,72.0,1,Home,0
Charlie Dixon,12.0,6.0,18.0,7.0,1.0,0.0,4.0,0.0,2.0,6.0,0.0,2.0,0.0,4.0,1.0,10.0,8.0,12.0,66.7,1.0,2.0,6.0,0.0,0.0,0.0,10.0,239.0,3.0,4.0,3.0,96.0,1,Home,0
Jasper Pittard,12.0,5.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,3.0,1.0,1.0,3.0,15.0,13.0,76.5,0.0,0.0,4.0,0.0,1.0,0.0,5.0,414.0,3.0,2.0,0.0,87.0,1,Home,0
