Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency %,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,Brownlow Votes
Josh P. Kennedy,13.0,12.0,25.0,2.0,1.0,0.0,5.0,0.0,0.0,5.0,4.0,7.0,1.0,0.0,3.0,9.0,17.0,16.0,64.0,1.0,1.0,2.0,0.0,1.0,3.0,5.0,348.0,6.0,1.0,0.0,88.0,1,2
Daniel Hannebery,13.0,12.0,25.0,5.0,0.0,1.0,1.0,0.0,1.0,7.0,4.0,1.0,2.0,1.0,1.0,12.0,12.0,16.0,64.0,1.0,0.0,0.0,0.0,0.0,4.0,8.0,368.0,5.0,7.0,0.0,86.0,1,0
Jarrad McVeigh,10.0,11.0,21.0,6.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,19.0,19.0,90.5,0.0,0.0,2.0,0.0,0.0,1.0,5.0,262.0,1.0,3.0,0.0,81.0,1,0
Luke Parker,13.0,8.0,21.0,4.0,0.0,2.0,6.0,0.0,1.0,4.0,6.0,7.0,1.0,2.0,0.0,16.0,5.0,12.0,57.1,2.0,1.0,2.0,0.0,2.0,4.0,9.0,357.0,5.0,2.0,2.0,80.0,1,0
Jake Lloyd,11.0,10.0,21.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,4.0,18.0,16.0,76.2,0.0,0.0,4.0,0.0,0.0,0.0,5.0,181.0,1.0,3.0,0.0,93.0,1,0
Dean Towers,12.0,7.0,19.0,8.0,1.0,2.0,0.0,2.0,0.0,3.0,1.0,5.0,3.0,0.0,0.0,8.0,11.0,11.0,57.9,1.0,2.0,4.0,0.0,1.0,0.0,5.0,353.0,6.0,5.0,0.0,81.0,1,0
Callum Sinclair,13.0,6.0,19.0,10.0,5.0,3.0,1.0,4.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0,13.0,6.0,15.0,78.9,8.0,6.0,6.0,0.0,0.0,0.0,11.0,269.0,3.0,2.0,0.0,85.0,1,3
George Hewett,10.0,9.0,19.0,2.0,1.0,0.0,5.0,0.0,0.0,5.0,7.0,4.0,0.0,1.0,1.0,18.0,3.0,16.0,84.2,2.0,2.0,2.0,0.0,4.0,3.0,8.0,226.0,5.0,3.0,0.0,73.0,1,0
Isaac Heeney,14.0,5.0,19.0,4.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,3.0,1.0,0.0,1.0,8.0,12.0,12.0,63.2,0.0,0.0,3.0,0.0,1.0,2.0,5.0,397.0,3.0,1.0,0.0,88.0,1,0
Kieren Jack,9.0,9.0,18.0,1.0,0.0,1.0,4.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,5.0,13.0,11.0,61.1,0.0,0.0,0.0,0.0,0.0,1.0,6.0,314.0,4.0,1.0,0.0,84.0,1,0
Callum Mills,9.0,9.0,18.0,6.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,15.0,14.0,77.8,0.0,0.0,4.0,0.0,1.0,0.0,6.0,329.0,4.0,5.0,0.0,80.0,1,0
Lance Franklin,14.0,2.0,16.0,6.0,3.0,4.0,1.0,0.0,1.0,7.0,2.0,3.0,0.0,3.0,1.0,9.0,8.0,8.0,50.0,1.0,2.0,1.0,0.0,0.0,2.0,8.0,431.0,4.0,3.0,0.0,94.0,1,0
Lewis Melican,9.0,6.0,15.0,3.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,2.0,3.0,1.0,1.0,8.0,7.0,13.0,86.7,1.0,0.0,6.0,0.0,0.0,0.0,2.0,331.0,4.0,8.0,0.0,87.0,1,0
