Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency %,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,Brownlow Votes
Tom Mitchell,15.0,20.0,35.0,6.0,1.0,0.0,4.0,0.0,0.0,2.0,7.0,4.0,1.0,0.0,0.0,15.0,21.0,25.0,71.4,0.0,0.0,0.0,0.0,4.0,3.0,6.0,309.0,5.0,1.0,0.0,83.0,0,0
Luke Hodge,18.0,11.0,29.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,1.0,11.0,15.0,24.0,82.8,1.0,0.0,4.0,0.0,1.0,1.0,3.0,303.0,4.0,11.0,0.0,83.0,0,0
Shaun Burgoyne,7.0,15.0,22.0,4.0,0.0,1.0,1.0,0.0,1.0,3.0,4.0,3.0,3.0,0.0,2.0,7.0,14.0,19.0,86.4,0.0,0.0,3.0,0.0,1.0,3.0,7.0,352.0,4.0,3.0,0.0,75.0,0,0
Billy Hartung,13.0,9.0,22.0,9.0,0.0,1.0,2.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,2.0,20.0,15.0,68.2,1.0,0.0,1.0,0.0,1.0,0.0,3.0,293.0,7.0,1.0,0.0,90.0,0,0
Liam Shiels,12.0,9.0,21.0,3.0,0.0,0.0,4.0,0.0,1.0,4.0,3.0,5.0,0.0,0.0,2.0,8.0,14.0,14.0,66.7,0.0,0.0,2.0,0.0,0.0,3.0,3.0,287.0,6.0,1.0,0.0,77.0,0,0
Jarryd Roughead,7.0,13.0,20.0,5.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,9.0,12.0,60.0,2.0,2.0,2.0,0.0,0.0,0.0,5.0,190.0,3.0,4.0,0.0,84.0,0,0
Blake Hardwick,11.0,9.0,20.0,8.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,19.0,19.0,95.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,166.0,2.0,4.0,0.0,81.0,0,0
James Frawley,11.0,8.0,19.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,5.0,16.0,18.0,94.7,0.0,0.0,9.0,0.0,0.0,1.0,2.0,249.0,3.0,7.0,0.0,94.0,0,0
Josh Gibson,12.0,6.0,18.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,5.0,0.0,0.0,1.0,16.0,15.0,83.3,0.0,0.0,6.0,0.0,0.0,1.0,2.0,111.0,1.0,2.0,0.0,90.0,0,0
Ben McEvoy,6.0,12.0,18.0,5.0,2.0,0.0,2.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,13.0,72.2,2.0,2.0,4.0,0.0,0.0,0.0,3.0,37.0,3.0,2.0,0.0,84.0,0,0
Isaac Smith,14.0,4.0,18.0,5.0,0.0,0.0,1.0,0.0,1.0,4.0,2.0,2.0,3.0,0.0,1.0,5.0,15.0,12.0,66.7,0.0,0.0,1.0,1.0,0.0,2.0,4.0,439.0,5.0,1.0,0.0,78.0,0,0
Kaiden Brand,11.0,5.0,16.0,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,3.0,14.0,13.0,81.2,1.0,0.0,4.0,0.0,0.0,0.0,1.0,177.0,1.0,4.0,0.0,83.0,0,0
Ryan Burton,13.0,3.0,16.0,4.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,5.0,0.0,0.0,2.0,12.0,13.0,81.2,0.0,0.0,2.0,0.0,0.0,0.0,1.0,200.0,4.0,2.0,0.0,78.0,0,0
Luke Breust,7.0,7.0,14.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,0.0,0.0,3.0,4.0,10.0,10.0,71.4,0.0,1.0,1.0,0.0,1.0,0.0,3.0,302.0,5.0,1.0,0.0,76.0,0,0
Jaeger O'Meara,6.0,8.0,14.0,3.0,0.0,0.0,5.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,1.0,2.0,11.0,11.0,78.6,0.0,0.0,0.0,0.0,1.0,1.0,0.0,115.0,2.0,0.0,0.0,73.0,0,0
Benjamin Stratton,7.0,6.0,13.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,3.0,9.0,10.0,76.9,0.0,0.0,6.0,1.0,0.0,0.0,1.0,83.0,3.0,4.0,0.0,89.0,0,0
William Langford,9.0,4.0,13.0,2.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,4.0,8.0,8.0,61.5,0.0,0.0,2.0,0.0,0.0,0.0,1.0,236.0,4.0,4.0,1.0,79.0,0,0
Daniel Howe,7.0,6.0,13.0,2.0,1.0,0.0,3.0,0.0,1.0,4.0,3.0,0.0,1.0,2.0,0.0,5.0,9.0,11.0,84.6,0.0,1.0,2.0,0.0,2.0,1.0,5.0,205.0,1.0,2.0,0.0,79.0,0,0
Jack Gunston,10.0,2.0,12.0,5.0,1.0,1.0,1.0,0.0,1.0,4.0,0.0,3.0,0.0,2.0,0.0,3.0,9.0,7.0,58.3,0.0,0.0,4.0,0.0,0.0,0.0,5.0,275.0,5.0,1.0,0.0,88.0,0,0
James Sicily,8.0,4.0,12.0,6.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,2.0,3.0,9.0,8.0,66.7,2.0,1.0,2.0,0.0,0.0,0.0,3.0,221.0,1.0,1.0,0.0,81.0,0,0
Paul Puopolo,4.0,7.0,11.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,7.0,4.0,10.0,90.9,0.0,0.0,3.0,0.0,0.0,2.0,3.0,64.0,1.0,2.0,1.0,76.0,0,0
Tim O'Brien,7.0,2.0,9.0,4.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,4.0,5.0,8.0,88.9,2.0,1.0,3.0,0.0,0.0,0.0,2.0,132.0,1.0,1.0,1.0,79.0,0,0
Jack Steven,18.0,18.0,36.0,5.0,0.0,0.0,8.0,0.0,1.0,5.0,4.0,11.0,1.0,2.0,2.0,13.0,24.0,24.0,66.7,0.0,0.0,2.0,2.0,3.0,1.0,9.0,499.0,9.0,4.0,1.0,83.0,1,3
Leigh Montagna,17.0,16.0,33.0,5.0,0.0,0.0,3.0,0.0,0.0,7.0,1.0,2.0,0.0,1.0,1.0,3.0,30.0,28.0,84.8,0.0,0.0,0.0,1.0,0.0,1.0,8.0,571.0,5.0,3.0,0.0,85.0,1,0
Sebastian Ross,16.0,16.0,32.0,7.0,0.0,0.0,4.0,0.0,1.0,5.0,7.0,1.0,1.0,0.0,0.0,10.0,23.0,25.0,78.1,0.0,0.0,2.0,1.0,2.0,5.0,11.0,470.0,3.0,1.0,0.0,81.0,1,2
