Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency %,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,Brownlow Votes
Luke Hodge,23.0,7.0,30.0,11.0,1.0,0.0,4.0,0.0,0.0,3.0,1.0,0.0,6.0,2.0,0.0,7.0,23.0,28.0,93.3,2.0,0.0,8.0,0.0,1.0,0.0,8.0,511.0,3.0,7.0,0.0,88.0,0,0
Daniel Rich,18.0,12.0,30.0,6.0,0.0,0.0,1.0,0.0,0.0,5.0,2.0,3.0,5.0,2.0,1.0,9.0,21.0,25.0,83.3,0.0,0.0,2.0,0.0,2.0,0.0,7.0,398.0,3.0,8.0,0.0,85.0,0,0
Dayne Beams,20.0,7.0,27.0,10.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,2.0,2.0,3.0,0.0,7.0,21.0,21.0,77.8,0.0,2.0,0.0,0.0,1.0,3.0,7.0,513.0,5.0,1.0,0.0,88.0,0,0
Hugh McCluggage,15.0,12.0,27.0,8.0,0.0,0.0,5.0,0.0,2.0,4.0,3.0,5.0,1.0,1.0,1.0,9.0,19.0,17.0,63.0,0.0,1.0,3.0,0.0,0.0,3.0,3.0,345.0,7.0,4.0,1.0,79.0,0,0
Ryan Lester,14.0,11.0,25.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,6.0,19.0,21.0,84.0,0.0,0.0,5.0,0.0,0.0,1.0,2.0,246.0,2.0,4.0,0.0,86.0,0,0
Dayne Zorko,16.0,6.0,22.0,3.0,1.0,3.0,5.0,0.0,0.0,9.0,6.0,4.0,2.0,4.0,1.0,11.0,12.0,12.0,54.5,0.0,0.0,2.0,0.0,1.0,5.0,9.0,667.0,6.0,4.0,1.0,84.0,0,0
Lewis Taylor,13.0,9.0,22.0,9.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,4.0,18.0,19.0,86.4,0.0,0.0,0.0,2.0,0.0,0.0,5.0,201.0,1.0,1.0,0.0,86.0,0,0
Rhys Mathieson,8.0,14.0,22.0,7.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,3.0,0.0,2.0,0.0,6.0,16.0,19.0,86.4,0.0,0.0,0.0,0.0,1.0,2.0,1.0,79.0,3.0,1.0,0.0,78.0,0,0
Tom Cutler,13.0,8.0,21.0,12.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,20.0,95.2,0.0,0.0,0.0,1.0,0.0,0.0,6.0,435.0,2.0,0.0,0.0,87.0,0,0
Nicholas Robertson,12.0,7.0,19.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,2.0,17.0,15.0,78.9,1.0,0.0,5.0,0.0,0.0,0.0,4.0,329.0,1.0,2.0,0.0,86.0,0,0
