Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency %,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes
Jared Polec,22.0,7.0,29.0,4.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,2.0,4.0,3.0,0.0,10.0,18.0,23.0,79.3,1.0,0.0,0.0,0.0,0.0,1.0,6.0,744.0,5.0,7.0,0.0,85.0,0,Home,0
Oliver Wines,13.0,16.0,29.0,6.0,0.0,0.0,4.0,2.0,1.0,3.0,4.0,6.0,1.0,0.0,2.0,10.0,17.0,19.0,65.5,0.0,1.0,1.0,0.0,1.0,3.0,4.0,217.0,8.0,3.0,0.0,87.0,0,Home,1
Travis Boak,13.0,11.0,24.0,6.0,1.0,1.0,2.0,0.0,0.0,4.0,4.0,2.0,1.0,0.0,1.0,9.0,15.0,15.0,62.5,0.0,1.0,1.0,0.0,1.0,3.0,5.0,408.0,6.0,0.0,1.0,85.0,0,Home,0
Robbie Gray,14.0,10.0,24.0,4.0,2.0,0.0,6.0,0.0,1.0,3.0,4.0,2.0,0.0,3.0,0.0,12.0,10.0,16.0,66.7,0.0,0.0,2.0,1.0,1.0,3.0,9.0,381.0,3.0,6.0,3.0,84.0,0,Home,0
Jasper Pittard,17.0,6.0,23.0,9.0,0.0,0.0,3.0,0.0,0.0,5.0,1.0,9.0,7.0,1.0,1.0,5.0,19.0,16.0,69.6,0.0,0.0,5.0,3.0,0.0,1.0,2.0,691.0,10.0,3.0,0.0,81.0,0,Home,0
Chad Wingard,12.0,10.0,22.0,5.0,0.0,1.0,2.0,0.0,0.0,4.0,7.0,2.0,0.0,1.0,0.0,13.0,10.0,12.0,54.5,1.0,0.0,0.0,1.0,5.0,2.0,6.0,363.0,4.0,2.0,0.0,90.0,0,Home,0
Tom Rockliff,10.0,10.0,20.0,6.0,0.0,0.0,11.0,0.0,0.0,4.0,3.0,5.0,3.0,0.0,2.0,5.0,12.0,11.0,55.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,235.0,4.0,3.0,2.0,73.0,0,Home,0
Jarrod Lienert,15.0,5.0,20.0,5.0,0.0,0.0,2.0,0.0,1.0,5.0,0.0,2.0,2.0,1.0,0.0,7.0,14.0,18.0,90.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,379.0,2.0,7.0,0.0,79.0,0,Home,0
Justin Westhoff,8.0,11.0,19.0,4.0,1.0,0.0,3.0,12.0,0.0,3.0,1.0,2.0,1.0,2.0,0.0,8.0,12.0,14.0,73.7,1.0,1.0,3.0,0.0,0.0,1.0,4.0,224.0,3.0,2.0,3.0,89.0,0,Home,0
Darcy B-Jones,12.0,7.0,19.0,6.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,6.0,13.0,12.0,63.2,1.0,1.0,1.0,0.0,0.0,0.0,1.0,272.0,2.0,3.0,1.0,87.0,0,Home,0
Brad Ebert,9.0,8.0,17.0,4.0,1.0,1.0,4.0,2.0,1.0,5.0,2.0,4.0,0.0,1.0,2.0,7.0,9.0,14.0,82.4,1.0,0.0,0.0,0.0,0.0,2.0,5.0,203.0,3.0,5.0,3.0,83.0,0,Home,0
Dan Houston,12.0,5.0,17.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,5.0,11.0,14.0,82.4,1.0,0.0,3.0,0.0,0.0,0.0,2.0,237.0,2.0,6.0,0.0,88.0,0,Home,0
Tom Clurey,11.0,5.0,16.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,5.0,9.0,13.0,81.2,1.0,0.0,7.0,3.0,0.0,0.0,1.0,424.0,2.0,9.0,0.0,92.0,0,Home,0
Sam Gray,4.0,9.0,13.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,9.0,9.0,69.2,0.0,0.0,1.0,1.0,0.0,0.0,1.0,82.0,2.0,3.0,1.0,76.0,0,Home,0
Charlie Dixon,7.0,4.0,11.0,4.0,3.0,2.0,2.0,10.0,0.0,2.0,0.0,5.0,0.0,2.0,4.0,6.0,5.0,5.0,45.5,2.0,3.0,2.0,0.0,0.0,0.0,6.0,203.0,3.0,2.0,2.0,94.0,0,Home,0
