Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency %,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,Brownlow Votes
Edward Curnow,19.0,19.0,38.0,7.0,0.0,2.0,10.0,0.0,0.0,7.0,4.0,2.0,4.0,2.0,0.0,14.0,23.0,29.0,76.3,0.0,0.0,1.0,0.0,2.0,2.0,9.0,471.0,6.0,5.0,0.0,84.0,0,1
Marc Murphy,16.0,14.0,30.0,7.0,1.0,0.0,3.0,0.0,0.0,5.0,5.0,8.0,1.0,2.0,1.0,9.0,22.0,17.0,56.7,0.0,0.0,0.0,0.0,1.0,4.0,3.0,487.0,9.0,1.0,0.0,93.0,0,0
Kade Simpson,22.0,7.0,29.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,5.0,2.0,0.0,9.0,19.0,20.0,69.0,0.0,0.0,2.0,5.0,1.0,0.0,2.0,522.0,5.0,10.0,0.0,94.0,0,0
Aaron Mullett,22.0,6.0,28.0,6.0,0.0,1.0,2.0,0.0,1.0,6.0,6.0,7.0,4.0,0.0,1.0,13.0,14.0,16.0,57.1,0.0,0.0,1.0,0.0,0.0,6.0,6.0,475.0,6.0,9.0,0.0,86.0,0,0
Patrick Cripps,10.0,14.0,24.0,2.0,1.0,2.0,6.0,0.0,0.0,4.0,10.0,3.0,0.0,5.0,2.0,20.0,3.0,14.0,58.3,1.0,1.0,1.0,0.0,4.0,6.0,5.0,278.0,3.0,1.0,2.0,82.0,0,0
Sam P-Seton,19.0,5.0,24.0,6.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,4.0,4.0,2.0,2.0,6.0,17.0,15.0,62.5,0.0,0.0,1.0,1.0,0.0,3.0,5.0,384.0,3.0,2.0,1.0,74.0,0,0
David Cuningham,7.0,14.0,21.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,4.0,1.0,0.0,0.0,6.0,14.0,18.0,85.7,0.0,0.0,0.0,3.0,0.0,0.0,2.0,214.0,5.0,5.0,0.0,78.0,0,0
Charlie Curnow,12.0,6.0,18.0,6.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,12.0,7.0,11.0,61.1,2.0,2.0,3.0,1.0,0.0,1.0,8.0,428.0,6.0,0.0,1.0,86.0,0,0
Zac Fisher,9.0,9.0,18.0,1.0,1.0,0.0,8.0,0.0,1.0,5.0,3.0,1.0,0.0,0.0,1.0,10.0,10.0,15.0,83.3,0.0,1.0,2.0,0.0,1.0,2.0,3.0,295.0,2.0,1.0,0.0,74.0,0,0
Lachlan Plowman,12.0,5.0,17.0,6.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,4.0,4.0,2.0,2.0,4.0,13.0,13.0,76.5,0.0,0.0,4.0,0.0,0.0,0.0,3.0,211.0,2.0,7.0,0.0,97.0,0,0
Caleb Marchbank,12.0,5.0,17.0,5.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,3.0,4.0,0.0,1.0,5.0,12.0,13.0,76.5,0.0,0.0,11.0,0.0,0.0,0.0,2.0,338.0,3.0,5.0,0.0,95.0,0,0
Matthew Wright,11.0,5.0,16.0,4.0,2.0,1.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,4.0,10.0,9.0,56.2,1.0,2.0,2.0,0.0,0.0,0.0,5.0,261.0,4.0,0.0,1.0,85.0,0,0
Dale Thomas,5.0,9.0,14.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,6.0,8.0,10.0,71.4,1.0,0.0,1.0,1.0,1.0,0.0,2.0,258.0,3.0,1.0,0.0,78.0,0,0
Cameron O'Shea,6.0,8.0,14.0,2.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,6.0,2.0,0.0,3.0,4.0,10.0,10.0,71.4,0.0,0.0,7.0,0.0,0.0,0.0,3.0,194.0,4.0,5.0,2.0,76.0,0,0
Ciaran Byrne,13.0,1.0,14.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,3.0,2.0,2.0,2.0,3.0,11.0,10.0,71.4,0.0,0.0,3.0,0.0,0.0,0.0,2.0,230.0,2.0,5.0,0.0,69.0,0,0
Liam Jones,6.0,7.0,13.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,7.0,6.0,12.0,92.3,2.0,0.0,8.0,0.0,1.0,0.0,2.0,43.0,0.0,8.0,0.0,90.0,0,0
Jed Lamb,7.0,4.0,11.0,3.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,5.0,6.0,9.0,81.8,0.0,1.0,1.0,0.0,0.0,0.0,4.0,161.0,1.0,2.0,1.0,72.0,0,0
Jarrod Garlett,8.0,3.0,11.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,4.0,7.0,7.0,63.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,222.0,3.0,1.0,2.0,73.0,0,0
Paddy Dow,4.0,7.0,11.0,1.0,0.0,0.0,2.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,8.0,4.0,5.0,45.5,0.0,0.0,1.0,0.0,1.0,0.0,3.0,151.0,2.0,4.0,1.0,70.0,0,0
Levi Casboult,4.0,3.0,7.0,3.0,0.0,1.0,1.0,16.0,0.0,2.0,1.0,3.0,0.0,1.0,3.0,6.0,2.0,4.0,57.1,2.0,1.0,5.0,0.0,1.0,0.0,3.0,180.0,3.0,0.0,0.0,90.0,0,0
Cameron Polson,3.0,4.0,7.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,4.0,5.0,6.0,85.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,77.0,1.0,2.0,2.0,73.0,0,0
Jacob Weitering,4.0,1.0,5.0,4.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,80.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,85.0,1.0,1.0,0.0,83.0,0,0
Jarryd Lyons,27.0,9.0,36.0,2.0,1.0,0.0,6.0,0.0,3.0,10.0,14.0,4.0,4.0,2.0,1.0,26.0,8.0,22.0,61.1,0.0,0.0,0.0,0.0,4.0,10.0,9.0,892.0,6.0,3.0,1.0,80.0,1,2
David Swallow,13.0,11.0,24.0,5.0,0.0,0.0,8.0,0.0,0.0,2.0,6.0,1.0,2.0,2.0,1.0,15.0,11.0,15.0,62.5,0.0,0.0,0.0,0.0,1.0,5.0,3.0,241.0,3.0,3.0,1.0,76.0,1,0
Tom Lynch,16.0,5.0,21.0,4.0,8.0,1.0,4.0,0.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,10.0,12.0,15.0,71.4,1.0,3.0,1.0,2.0,0.0,0.0,13.0,344.0,3.0,1.0,2.0,97.0,1,3
Aaron Hall,14.0,6.0,20.0,4.0,0.0,1.0,4.0,0.0,0.0,4.0,2.0,1.0,3.0,0.0,0.0,6.0,14.0,15.0,75.0,0.0,0.0,1.0,1.0,0.0,2.0,4.0,565.0,3.0,4.0,0.0,70.0,1,0
Brayden Fiorini,15.0,5.0,20.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,4.0,2.0,2.0,0.0,9.0,11.0,11.0,55.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,508.0,7.0,2.0,0.0,72.0,1,0
Jarrod Harbrow,11.0,6.0,17.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,5.0,1.0,1.0,6.0,10.0,8.0,47.1,0.0,0.0,3.0,0.0,0.0,1.0,2.0,307.0,5.0,7.0,0.0,89.0,1,0
Kade Kolodjashnij,13.0,4.0,17.0,3.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,5.0,4.0,1.0,0.0,4.0,11.0,10.0,58.8,1.0,0.0,2.0,3.0,0.0,0.0,2.0,257.0,6.0,5.0,0.0,88.0,1,0
Touk Miller,5.0,12.0,17.0,5.0,0.0,1.0,8.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,2.0,7.0,9.0,11.0,64.7,0.0,1.0,2.0,0.0,2.0,2.0,6.0,102.0,4.0,0.0,2.0,83.0,1,0
Jesse Joyce,12.0,4.0,16.0,6.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,3.0,3.0,0.0,1.0,4.0,12.0,13.0,81.2,0.0,0.0,5.0,0.0,0.0,0.0,2.0,341.0,1.0,5.0,0.0,89.0,1,0
Jack Martin,12.0,3.0,15.0,2.0,3.0,1.0,6.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,2.0,9.0,7.0,13.0,86.7,1.0,0.0,0.0,0.0,0.0,2.0,8.0,307.0,2.0,4.0,0.0,79.0,1,0
Darcy Macpherson,13.0,2.0,15.0,7.0,1.0,0.0,10.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,4.0,4.0,9.0,10.0,66.7,1.0,2.0,1.0,0.0,0.0,0.0,6.0,248.0,7.0,2.0,2.0,85.0,1,0
Jack Bowes,9.0,6.0,15.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,3.0,4.0,3.0,2.0,7.0,7.0,12.0,80.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,225.0,2.0,6.0,1.0,77.0,1,0
