Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency %,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes
Rory Laird,14.0,18.0,32.0,6.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,5.0,6.0,0.0,2.0,11.0,22.0,26.0,81.2,0.0,0.0,2.0,0.0,0.0,0.0,7.0,355.0,6.0,13.0,0.0,85.0,1,Home,1
Matt Crouch,16.0,16.0,32.0,3.0,0.0,0.0,4.0,0.0,1.0,3.0,5.0,2.0,2.0,1.0,0.0,11.0,22.0,24.0,75.0,0.0,0.0,0.0,0.0,2.0,3.0,6.0,339.0,7.0,3.0,2.0,79.0,1,Home,0
Richard Douglas,15.0,13.0,28.0,7.0,2.0,1.0,2.0,0.0,1.0,5.0,8.0,1.0,0.0,2.0,0.0,13.0,16.0,24.0,85.7,0.0,2.0,1.0,0.0,2.0,6.0,12.0,395.0,2.0,1.0,2.0,83.0,1,Home,3
Cameron E-Yolmen,9.0,16.0,25.0,4.0,0.0,0.0,6.0,0.0,0.0,3.0,6.0,4.0,0.0,0.0,2.0,11.0,15.0,18.0,72.0,0.0,0.0,1.0,0.0,2.0,4.0,6.0,260.0,4.0,0.0,2.0,80.0,1,Home,0
Paul Seedsman,16.0,7.0,23.0,4.0,0.0,1.0,2.0,0.0,1.0,4.0,3.0,0.0,2.0,0.0,0.0,6.0,18.0,17.0,73.9,1.0,0.0,0.0,1.0,1.0,2.0,5.0,615.0,5.0,2.0,0.0,80.0,1,Home,0
Bryce Gibbs,12.0,9.0,21.0,4.0,1.0,0.0,7.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,4.0,17.0,15.0,71.4,0.0,1.0,0.0,0.0,0.0,1.0,5.0,268.0,5.0,3.0,1.0,80.0,1,Home,0
Jake Kelly,9.0,12.0,21.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,5.0,16.0,18.0,85.7,0.0,0.0,3.0,0.0,0.0,0.0,7.0,249.0,2.0,6.0,0.0,85.0,1,Home,0
David MacKay,13.0,6.0,19.0,4.0,1.0,0.0,2.0,0.0,0.0,3.0,1.0,1.0,3.0,2.0,0.0,4.0,14.0,16.0,84.2,0.0,0.0,1.0,2.0,0.0,1.0,7.0,398.0,1.0,4.0,0.0,82.0,1,Home,0
Hugh Greenwood,9.0,10.0,19.0,3.0,2.0,1.0,8.0,0.0,1.0,3.0,6.0,1.0,0.0,1.0,0.0,14.0,6.0,12.0,63.2,1.0,0.0,1.0,0.0,2.0,4.0,7.0,277.0,2.0,3.0,0.0,80.0,1,Home,0
Tom Lynch,11.0,7.0,18.0,5.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,2.0,1.0,7.0,12.0,13.0,72.2,1.0,1.0,1.0,0.0,0.0,0.0,7.0,198.0,3.0,0.0,0.0,87.0,1,Home,0
Sam Jacobs,11.0,5.0,16.0,5.0,0.0,1.0,3.0,32.0,2.0,5.0,4.0,5.0,0.0,2.0,0.0,6.0,10.0,10.0,62.5,0.0,1.0,2.0,0.0,3.0,1.0,4.0,356.0,6.0,3.0,0.0,84.0,1,Home,0
Rory Atkins,10.0,6.0,16.0,3.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,1.0,6.0,10.0,12.0,75.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,214.0,2.0,3.0,0.0,83.0,1,Home,0
Mitch McGovern,13.0,3.0,16.0,9.0,5.0,3.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,5.0,11.0,9.0,56.2,3.0,5.0,2.0,0.0,0.0,0.0,9.0,345.0,2.0,0.0,0.0,79.0,1,Home,2
Daniel Talia,8.0,7.0,15.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,8.0,7.0,14.0,93.3,0.0,0.0,4.0,0.0,0.0,0.0,2.0,182.0,3.0,10.0,0.0,90.0,1,Home,0
Tom Doedee,5.0,8.0,13.0,2.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,2.0,2.0,0.0,5.0,8.0,12.0,92.3,0.0,0.0,4.0,0.0,0.0,0.0,5.0,194.0,1.0,5.0,0.0,89.0,1,Home,0
Jordan Gallucci,7.0,5.0,12.0,2.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,4.0,9.0,8.0,66.7,0.0,0.0,1.0,0.0,0.0,0.0,5.0,181.0,2.0,1.0,2.0,86.0,1,Home,0
Andy Otten,4.0,7.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,7.0,9.0,81.8,1.0,0.0,7.0,0.0,0.0,0.0,2.0,97.0,0.0,4.0,0.0,86.0,1,Home,0
Luke Brown,9.0,2.0,11.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,6.0,10.0,90.9,0.0,0.0,2.0,0.0,0.0,0.0,4.0,115.0,0.0,4.0,0.0,88.0,1,Home,0
