Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency %,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes
Dayne Zorko,20.0,10.0,30.0,1.0,1.0,0.0,12.0,0.0,1.0,10.0,4.0,3.0,1.0,0.0,1.0,9.0,20.0,19.0,63.3,0.0,0.0,1.0,1.0,1.0,3.0,10.0,696.0,5.0,1.0,1.0,80.0,1,Home,1
Dayne Beams,17.0,11.0,28.0,8.0,2.0,1.0,3.0,0.0,0.0,5.0,2.0,5.0,4.0,0.0,1.0,10.0,18.0,17.0,60.7,2.0,2.0,0.0,0.0,2.0,0.0,8.0,501.0,3.0,4.0,0.0,88.0,1,Home,2
Hugh McCluggage,13.0,14.0,27.0,2.0,0.0,1.0,2.0,0.0,2.0,3.0,3.0,1.0,4.0,1.0,0.0,16.0,11.0,20.0,74.1,0.0,0.0,1.0,0.0,1.0,2.0,9.0,331.0,3.0,9.0,1.0,75.0,1,Home,0
Tom Cutler,18.0,8.0,26.0,10.0,3.0,0.0,2.0,0.0,1.0,7.0,1.0,1.0,4.0,0.0,0.0,4.0,22.0,23.0,88.5,0.0,2.0,1.0,2.0,0.0,1.0,6.0,610.0,4.0,1.0,1.0,83.0,1,Home,0
Allen Christensen,11.0,13.0,24.0,5.0,1.0,0.0,3.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,6.0,18.0,22.0,91.7,0.0,0.0,2.0,0.0,0.0,1.0,10.0,380.0,2.0,1.0,0.0,82.0,1,Home,0
Alex Witherden,14.0,10.0,24.0,6.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,5.0,18.0,19.0,79.2,0.0,0.0,0.0,0.0,1.0,1.0,4.0,228.0,2.0,3.0,0.0,81.0,1,Home,0
Mitch Robinson,12.0,11.0,23.0,7.0,1.0,0.0,3.0,0.0,0.0,4.0,0.0,6.0,1.0,0.0,4.0,7.0,15.0,17.0,73.9,2.0,0.0,1.0,0.0,0.0,0.0,3.0,403.0,3.0,5.0,1.0,74.0,1,Home,0
Luke Hodge,14.0,5.0,19.0,7.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,4.0,6.0,0.0,1.0,5.0,14.0,12.0,63.2,1.0,0.0,5.0,0.0,0.0,1.0,1.0,359.0,7.0,7.0,0.0,86.0,1,Home,0
Stefan Martin,7.0,12.0,19.0,3.0,0.0,0.0,3.0,28.0,1.0,1.0,5.0,2.0,2.0,2.0,0.0,9.0,10.0,13.0,68.4,1.0,0.0,1.0,0.0,3.0,2.0,7.0,166.0,5.0,3.0,0.0,88.0,1,Home,0
Lewis Taylor,11.0,7.0,18.0,4.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,4.0,13.0,12.0,66.7,0.0,0.0,0.0,0.0,0.0,1.0,7.0,334.0,4.0,1.0,1.0,86.0,1,Home,0
