Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency %,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,Brownlow Votes
Dyson Heppell,17.0,19.0,36.0,5.0,1.0,0.0,2.0,0.0,2.0,5.0,7.0,3.0,2.0,1.0,1.0,22.0,14.0,24.0,66.7,0.0,1.0,0.0,0.0,2.0,5.0,7.0,459.0,3.0,4.0,0.0,85.0,1,3
Andrew McGrath,16.0,16.0,32.0,6.0,0.0,0.0,2.0,0.0,2.0,4.0,3.0,3.0,1.0,0.0,0.0,11.0,20.0,18.0,56.2,0.0,0.0,0.0,0.0,0.0,3.0,6.0,330.0,6.0,6.0,0.0,69.0,1,0
Cale Hooker,16.0,15.0,31.0,11.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,6.0,1.0,0.0,8.0,19.0,23.0,74.2,1.0,0.0,4.0,0.0,0.0,0.0,4.0,496.0,4.0,16.0,0.0,93.0,1,0
Darcy Parish,16.0,15.0,31.0,2.0,2.0,0.0,3.0,0.0,0.0,6.0,10.0,3.0,0.0,0.0,1.0,12.0,18.0,26.0,83.9,0.0,1.0,1.0,0.0,1.0,9.0,3.0,429.0,7.0,0.0,1.0,79.0,1,2
Michael Hurley,19.0,9.0,28.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,9.0,16.0,22.0,78.6,4.0,0.0,4.0,0.0,0.0,0.0,3.0,333.0,4.0,11.0,0.0,92.0,1,1
David Zaharakis,15.0,10.0,25.0,5.0,0.0,2.0,1.0,0.0,0.0,6.0,5.0,4.0,0.0,0.0,1.0,12.0,12.0,15.0,60.0,0.0,1.0,2.0,0.0,0.0,5.0,6.0,545.0,2.0,4.0,0.0,89.0,1,0
Conor McKenna,13.0,12.0,25.0,6.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,2.0,5.0,1.0,0.0,5.0,16.0,20.0,80.0,0.0,0.0,2.0,6.0,2.0,1.0,1.0,315.0,3.0,5.0,0.0,90.0,1,0
Dylan Clarke,10.0,13.0,23.0,4.0,0.0,0.0,10.0,0.0,0.0,5.0,6.0,5.0,1.0,1.0,0.0,9.0,14.0,18.0,78.3,0.0,1.0,2.0,0.0,1.0,5.0,2.0,217.0,5.0,1.0,1.0,82.0,1,0
Zachary Merrett,13.0,9.0,22.0,4.0,0.0,1.0,8.0,0.0,0.0,4.0,2.0,5.0,1.0,3.0,1.0,10.0,14.0,12.0,54.5,0.0,0.0,3.0,0.0,1.0,1.0,5.0,271.0,4.0,4.0,1.0,76.0,1,0
Matt Guelfi,13.0,9.0,22.0,5.0,0.0,0.0,7.0,0.0,0.0,2.0,1.0,4.0,2.0,0.0,0.0,8.0,14.0,12.0,54.5,0.0,1.0,4.0,0.0,0.0,1.0,1.0,324.0,8.0,3.0,1.0,65.0,1,0
Adam Saad,16.0,3.0,19.0,5.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,5.0,2.0,0.0,0.0,1.0,16.0,13.0,68.4,0.0,0.0,0.0,2.0,0.0,1.0,2.0,462.0,8.0,4.0,1.0,84.0,1,0
Mason Redman,16.0,2.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,2.0,1.0,3.0,15.0,15.0,83.3,1.0,0.0,3.0,0.0,0.0,0.0,3.0,359.0,2.0,4.0,0.0,80.0,1,0
Kyle Langford,10.0,6.0,16.0,3.0,1.0,0.0,4.0,0.0,0.0,3.0,4.0,3.0,1.0,2.0,2.0,10.0,8.0,13.0,81.2,0.0,1.0,4.0,1.0,0.0,4.0,4.0,300.0,5.0,4.0,0.0,77.0,1,0
Ben McNiece,9.0,7.0,16.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,5.0,2.0,1.0,7.0,8.0,12.0,75.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,168.0,0.0,9.0,0.0,85.0,1,0
Joshua Begley,10.0,5.0,15.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,0.0,4.0,11.0,6.0,40.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,231.0,7.0,0.0,0.0,82.0,1,0
Anthony M-Tipungwuti,8.0,5.0,13.0,2.0,3.0,1.0,7.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,1.0,9.0,4.0,10.0,76.9,0.0,1.0,0.0,1.0,1.0,1.0,5.0,221.0,3.0,0.0,2.0,75.0,1,0
Jayden Laverde,8.0,4.0,12.0,5.0,2.0,2.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,4.0,8.0,8.0,66.7,1.0,3.0,1.0,0.0,0.0,0.0,7.0,72.0,2.0,1.0,2.0,82.0,1,0
Shaun McKernan,8.0,1.0,9.0,4.0,0.0,1.0,1.0,5.0,0.0,1.0,3.0,5.0,1.0,0.0,2.0,5.0,5.0,2.0,22.2,2.0,3.0,5.0,0.0,0.0,3.0,2.0,225.0,4.0,0.0,0.0,86.0,1,0
Mark Baguley,6.0,3.0,9.0,2.0,2.0,0.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,4.0,5.0,6.0,66.7,1.0,0.0,1.0,0.0,0.0,1.0,3.0,146.0,2.0,0.0,2.0,89.0,1,0
Aaron Francis,2.0,6.0,8.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,5.0,4.0,4.0,50.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,76.0,3.0,1.0,0.0,86.0,1,0
Patrick Ambrose,5.0,1.0,6.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,3.0,4.0,4.0,66.7,2.0,0.0,7.0,0.0,0.0,0.0,0.0,74.0,2.0,5.0,0.0,76.0,1,0
Tom Bellchambers,0.0,2.0,2.0,2.0,0.0,0.0,3.0,39.0,0.0,0.0,1.0,4.0,3.0,0.0,4.0,0.0,3.0,2.0,100.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,-6.0,0.0,1.0,1.0,79.0,1,0
Nic Newman,18.0,5.0,23.0,3.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,10.0,8.0,2.0,2.0,7.0,12.0,12.0,52.2,0.0,0.0,3.0,0.0,0.0,1.0,2.0,568.0,7.0,8.0,0.0,91.0,0,0
Matthew Kreuzer,13.0,9.0,22.0,3.0,1.0,0.0,3.0,32.0,0.0,1.0,7.0,3.0,2.0,6.0,0.0,17.0,6.0,11.0,50.0,0.0,1.0,2.0,0.0,0.0,7.0,4.0,255.0,5.0,3.0,0.0,82.0,0,0
David Cuningham,11.0,10.0,21.0,2.0,0.0,0.0,4.0,0.0,0.0,4.0,2.0,5.0,1.0,1.0,0.0,7.0,13.0,12.0,57.1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,301.0,5.0,0.0,0.0,74.0,0,0
Sam Walsh,11.0,10.0,21.0,5.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,3.0,3.0,1.0,0.0,8.0,12.0,15.0,71.4,0.0,0.0,0.0,0.0,0.0,2.0,3.0,257.0,5.0,5.0,0.0,88.0,0,0
Paddy Dow,11.0,10.0,21.0,0.0,0.0,0.0,5.0,0.0,1.0,5.0,5.0,6.0,2.0,0.0,2.0,10.0,10.0,11.0,52.4,0.0,0.0,1.0,0.0,1.0,4.0,2.0,394.0,8.0,3.0,1.0,76.0,0,0
Will Setterfield,10.0,8.0,18.0,1.0,0.0,0.0,4.0,0.0,1.0,5.0,3.0,6.0,1.0,0.0,1.0,9.0,10.0,9.0,50.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,301.0,8.0,2.0,1.0,76.0,0,0
Edward Curnow,5.0,12.0,17.0,3.0,0.0,0.0,6.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,8.0,10.0,12.0,70.6,0.0,0.0,0.0,0.0,1.0,3.0,3.0,140.0,3.0,4.0,0.0,81.0,0,0
Sam P-Seton,15.0,1.0,16.0,3.0,0.0,0.0,9.0,0.0,0.0,2.0,0.0,6.0,4.0,0.0,1.0,7.0,10.0,10.0,62.5,0.0,0.0,2.0,0.0,0.0,0.0,2.0,331.0,5.0,6.0,0.0,78.0,0,0
Michael Gibbons,13.0,2.0,15.0,3.0,0.0,1.0,3.0,0.0,1.0,9.0,2.0,2.0,0.0,0.0,0.0,2.0,11.0,8.0,53.3,0.0,0.0,0.0,0.0,0.0,2.0,5.0,408.0,5.0,1.0,0.0,86.0,0,0
Zac Fisher,10.0,4.0,14.0,3.0,0.0,1.0,1.0,0.0,0.0,5.0,4.0,4.0,0.0,0.0,0.0,5.0,9.0,7.0,50.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,226.0,5.0,0.0,0.0,77.0,0,0
Jacob Weitering,10.0,3.0,13.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,8.0,5.0,6.0,46.2,2.0,0.0,11.0,0.0,0.0,0.0,2.0,193.0,6.0,10.0,0.0,97.0,0,0
Caleb Marchbank,9.0,3.0,12.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,3.0,8.0,3.0,8.0,66.7,0.0,0.0,9.0,0.0,0.0,1.0,0.0,177.0,2.0,10.0,0.0,96.0,0,0
Charlie Curnow,11.0,1.0,12.0,6.0,2.0,1.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,7.0,6.0,7.0,58.3,3.0,1.0,3.0,0.0,0.0,0.0,6.0,253.0,3.0,2.0,1.0,93.0,0,0
Liam Stocker,9.0,3.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,4.0,1.0,3.0,6.0,3.0,10.0,83.3,0.0,0.0,2.0,0.0,1.0,0.0,3.0,169.0,2.0,5.0,0.0,66.0,0,0
Lachlan Plowman,8.0,3.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,5.0,4.0,8.0,72.7,0.0,0.0,3.0,0.0,0.0,0.0,1.0,204.0,0.0,6.0,0.0,97.0,0,0
Patrick Cripps,2.0,9.0,11.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,9.0,2.0,10.0,90.9,1.0,0.0,0.0,0.0,0.0,2.0,2.0,97.0,0.0,5.0,2.0,89.0,0,0
Jack Silvagni,8.0,3.0,11.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,2.0,2.0,9.0,5.0,45.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,232.0,3.0,2.0,2.0,71.0,0,0
Harry McKay,9.0,2.0,11.0,9.0,1.0,2.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,4.0,7.0,6.0,54.5,2.0,4.0,2.0,0.0,0.0,1.0,3.0,343.0,3.0,2.0,0.0,78.0,0,0
Levi Casboult,6.0,2.0,8.0,5.0,0.0,0.0,3.0,10.0,0.0,0.0,2.0,2.0,5.0,1.0,0.0,3.0,5.0,6.0,75.0,0.0,0.0,10.0,0.0,0.0,2.0,2.0,52.0,2.0,5.0,1.0,90.0,0,0
Darcy Lang,4.0,4.0,8.0,3.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0,6.0,5.0,62.5,0.0,2.0,0.0,0.0,0.0,0.0,3.0,79.0,1.0,2.0,0.0,66.0,0,0
Matthew Kennedy,6.0,2.0,8.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,4.0,3.0,5.0,62.5,0.0,0.0,0.0,0.0,0.0,3.0,0.0,120.0,3.0,1.0,0.0,76.0,0,0
Alex Fasolo,2.0,4.0,6.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,5.0,3.0,3.0,50.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,17.0,2.0,2.0,1.0,75.0,0,0
