Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency %,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes
Oliver Wines,15.0,18.0,33.0,3.0,0.0,1.0,8.0,0.0,1.0,8.0,6.0,2.0,1.0,0.0,0.0,15.0,17.0,22.0,66.7,1.0,1.0,1.0,0.0,1.0,5.0,8.0,346.0,5.0,5.0,1.0,79.0,1,Home,3
Darcy B-Jones,17.0,12.0,29.0,3.0,0.0,1.0,2.0,0.0,0.0,3.0,4.0,5.0,1.0,2.0,2.0,11.0,18.0,21.0,72.4,0.0,0.0,0.0,1.0,3.0,1.0,9.0,351.0,4.0,5.0,1.0,85.0,1,Home,0
Travis Boak,10.0,13.0,23.0,5.0,1.0,1.0,2.0,0.0,1.0,4.0,5.0,5.0,0.0,1.0,2.0,10.0,14.0,16.0,69.6,0.0,1.0,1.0,0.0,1.0,4.0,5.0,244.0,2.0,3.0,1.0,81.0,1,Home,0
Justin Westhoff,13.0,10.0,23.0,6.0,2.0,1.0,5.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,9.0,16.0,16.0,69.6,0.0,3.0,2.0,0.0,0.0,0.0,11.0,329.0,2.0,4.0,2.0,78.0,1,Home,2
Karl Amon,14.0,9.0,23.0,1.0,0.0,1.0,3.0,0.0,2.0,6.0,1.0,2.0,2.0,0.0,1.0,5.0,18.0,15.0,65.2,0.0,0.0,0.0,0.0,0.0,1.0,6.0,365.0,4.0,3.0,0.0,77.0,1,Home,0
Scott Lycett,13.0,9.0,22.0,4.0,0.0,1.0,1.0,22.0,0.0,4.0,3.0,3.0,1.0,2.0,2.0,14.0,8.0,13.0,59.1,2.0,0.0,3.0,0.0,0.0,3.0,9.0,420.0,4.0,5.0,0.0,77.0,1,Home,0
Willem Drew,8.0,14.0,22.0,4.0,0.0,0.0,8.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,9.0,15.0,15.0,68.2,0.0,0.0,1.0,0.0,1.0,1.0,8.0,157.0,4.0,2.0,0.0,71.0,1,Home,0
Trent McKenzie,15.0,6.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,6.0,9.0,20.0,95.2,2.0,0.0,2.0,0.0,0.0,0.0,7.0,480.0,0.0,10.0,0.0,94.0,1,Home,0
Dan Houston,10.0,11.0,21.0,6.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,6.0,17.0,17.0,81.0,1.0,0.0,6.0,0.0,1.0,0.0,5.0,224.0,2.0,6.0,1.0,73.0,1,Home,0
Xavier Duursma,11.0,10.0,21.0,6.0,2.0,1.0,6.0,0.0,0.0,0.0,1.0,8.0,3.0,1.0,2.0,7.0,14.0,15.0,71.4,0.0,4.0,3.0,0.0,0.0,1.0,5.0,163.0,5.0,4.0,2.0,79.0,1,Home,0
