Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency %,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,Brownlow Votes
Dion Prestia,11.0,14.0,25.0,2.0,1.0,0.0,5.0,0.0,2.0,9.0,2.0,4.0,2.0,2.0,2.0,7.0,19.0,18.0,72.0,0.0,0.0,1.0,0.0,2.0,0.0,8.0,546.0,8.0,3.0,0.0,79.0,1,3
Dustin Martin,12.0,12.0,24.0,3.0,1.0,1.0,4.0,0.0,2.0,4.0,3.0,3.0,0.0,1.0,1.0,8.0,12.0,18.0,75.0,1.0,1.0,3.0,1.0,3.0,0.0,8.0,257.0,2.0,3.0,1.0,93.0,1,2
Trent Cotchin,11.0,8.0,19.0,3.0,0.0,2.0,2.0,0.0,0.0,5.0,3.0,6.0,4.0,1.0,2.0,9.0,11.0,12.0,63.2,1.0,0.0,1.0,0.0,2.0,1.0,7.0,463.0,5.0,2.0,0.0,80.0,1,0
Liam Baker,6.0,10.0,16.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,1.0,10.0,6.0,12.0,75.0,0.0,0.0,4.0,0.0,0.0,1.0,7.0,222.0,4.0,10.0,0.0,82.0,1,0
Shane Edwards,7.0,8.0,15.0,1.0,1.0,0.0,2.0,0.0,2.0,6.0,5.0,2.0,0.0,1.0,1.0,6.0,10.0,13.0,86.7,0.0,0.0,2.0,0.0,4.0,1.0,8.0,312.0,3.0,0.0,0.0,90.0,1,0
Josh Caddy,10.0,5.0,15.0,5.0,0.0,0.0,3.0,0.0,2.0,5.0,2.0,3.0,1.0,0.0,0.0,2.0,11.0,12.0,80.0,1.0,0.0,1.0,0.0,0.0,2.0,5.0,299.0,6.0,3.0,1.0,94.0,1,0
Jayden Short,13.0,2.0,15.0,5.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,3.0,11.0,14.0,93.3,1.0,0.0,1.0,0.0,0.0,0.0,1.0,511.0,6.0,3.0,0.0,79.0,1,0
David Astbury,9.0,5.0,14.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,2.0,5.0,8.0,14.0,100.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,300.0,1.0,7.0,0.0,98.0,1,0
Kane Lambert,6.0,8.0,14.0,3.0,1.0,1.0,2.0,0.0,1.0,0.0,4.0,1.0,2.0,1.0,0.0,6.0,10.0,11.0,78.6,0.0,1.0,2.0,0.0,0.0,4.0,8.0,203.0,2.0,2.0,0.0,82.0,1,0
Marlion Pickett,8.0,6.0,14.0,1.0,0.0,0.0,5.0,0.0,1.0,5.0,2.0,1.0,1.0,1.0,0.0,6.0,8.0,10.0,71.4,0.0,1.0,3.0,0.0,0.0,2.0,6.0,267.0,3.0,3.0,0.0,73.0,1,0
Shai Bolton,11.0,2.0,13.0,6.0,3.0,1.0,2.0,0.0,1.0,3.0,1.0,2.0,1.0,1.0,0.0,3.0,10.0,9.0,69.2,0.0,2.0,1.0,2.0,1.0,0.0,7.0,416.0,2.0,0.0,1.0,85.0,1,0
Daniel Rioli,8.0,4.0,12.0,3.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,5.0,6.0,11.0,91.7,0.0,1.0,1.0,2.0,0.0,0.0,9.0,246.0,3.0,1.0,0.0,81.0,1,0
Ivan Soldo,4.0,6.0,10.0,2.0,0.0,1.0,3.0,25.0,0.0,1.0,5.0,0.0,2.0,3.0,0.0,9.0,3.0,9.0,90.0,0.0,1.0,3.0,0.0,1.0,4.0,7.0,133.0,0.0,1.0,0.0,58.0,1,0
Sydney Stack,3.0,7.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,4.0,0.0,1.0,2.0,6.0,5.0,8.0,80.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,167.0,3.0,5.0,0.0,73.0,1,0
Tom Lynch,4.0,5.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,6.0,3.0,7.0,77.8,0.0,0.0,1.0,0.0,0.0,0.0,6.0,121.0,1.0,0.0,0.0,91.0,1,0
Nathan Broad,8.0,1.0,9.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,1.0,7.0,8.0,88.9,0.0,0.0,6.0,0.0,0.0,0.0,2.0,165.0,3.0,2.0,0.0,94.0,1,0
Jason Castagna,5.0,3.0,8.0,1.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,7.0,87.5,0.0,0.0,2.0,0.0,0.0,0.0,4.0,162.0,1.0,0.0,1.0,90.0,1,0
Jack Graham,2.0,6.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,4.0,8.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,42.0,1.0,3.0,0.0,87.0,1,0
Dylan Grimes,5.0,2.0,7.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,2.0,4.0,5.0,71.4,1.0,0.0,3.0,0.0,0.0,0.0,1.0,92.0,2.0,6.0,0.0,97.0,1,0
Nick Vlastuin,6.0,1.0,7.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,2.0,6.0,85.7,2.0,0.0,4.0,0.0,0.0,0.0,0.0,263.0,2.0,3.0,0.0,50.0,1,0
Toby Nankervis,1.0,6.0,7.0,1.0,0.0,0.0,1.0,16.0,0.0,1.0,1.0,4.0,0.0,1.0,3.0,4.0,3.0,6.0,85.7,0.0,0.0,1.0,0.0,1.0,0.0,2.0,54.0,1.0,2.0,0.0,46.0,1,0
Jack Riewoldt,5.0,1.0,6.0,5.0,3.0,1.0,2.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,3.0,3.0,3.0,4.0,66.7,3.0,5.0,2.0,0.0,0.0,0.0,5.0,133.0,5.0,0.0,1.0,97.0,1,0
Patrick Cripps,15.0,16.0,31.0,3.0,0.0,0.0,2.0,0.0,0.0,7.0,10.0,6.0,1.0,1.0,1.0,17.0,15.0,20.0,64.5,0.0,0.0,3.0,0.0,8.0,2.0,9.0,295.0,6.0,1.0,0.0,92.0,0,0
Marc Murphy,12.0,14.0,26.0,8.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,7.0,0.0,2.0,4.0,11.0,18.0,18.0,69.2,0.0,2.0,2.0,0.0,1.0,4.0,7.0,347.0,7.0,2.0,0.0,87.0,0,0
Sam Docherty,17.0,9.0,26.0,7.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,9.0,1.0,0.0,8.0,17.0,18.0,69.2,0.0,0.0,4.0,0.0,0.0,0.0,3.0,584.0,5.0,9.0,0.0,86.0,0,0
Kade Simpson,13.0,7.0,20.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,1.0,0.0,6.0,11.0,17.0,85.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,376.0,5.0,7.0,0.0,88.0,0,0
Sam P-Seton,11.0,8.0,19.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,0.0,1.0,2.0,0.0,11.0,8.0,17.0,89.5,0.0,0.0,1.0,0.0,0.0,3.0,4.0,211.0,0.0,9.0,0.0,84.0,0,0
Sam Walsh,12.0,7.0,19.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,3.0,0.0,0.0,0.0,8.0,11.0,6.0,31.6,0.0,0.0,0.0,0.0,0.0,2.0,1.0,262.0,8.0,2.0,0.0,81.0,0,0
Jack Martin,11.0,6.0,17.0,6.0,4.0,1.0,1.0,0.0,1.0,2.0,0.0,4.0,0.0,3.0,3.0,7.0,10.0,13.0,76.5,0.0,3.0,4.0,0.0,0.0,0.0,10.0,275.0,3.0,3.0,0.0,90.0,0,1
Zac Fisher,10.0,7.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,8.0,9.0,12.0,70.6,0.0,0.0,2.0,0.0,1.0,2.0,3.0,384.0,3.0,2.0,0.0,76.0,0,0
Edward Curnow,10.0,6.0,16.0,2.0,0.0,0.0,3.0,0.0,0.0,4.0,4.0,6.0,0.0,1.0,3.0,7.0,8.0,9.0,56.2,1.0,0.0,1.0,0.0,3.0,1.0,7.0,269.0,5.0,2.0,0.0,86.0,0,0
Levi Casboult,10.0,6.0,16.0,4.0,2.0,0.0,0.0,16.0,0.0,2.0,2.0,3.0,0.0,3.0,1.0,7.0,9.0,11.0,68.8,1.0,0.0,2.0,0.0,0.0,2.0,6.0,159.0,3.0,3.0,0.0,86.0,0,0
Nic Newman,11.0,2.0,13.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,1.0,9.0,10.0,76.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,253.0,1.0,2.0,0.0,71.0,0,0
Jack Newnes,9.0,3.0,12.0,2.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,4.0,1.0,0.0,1.0,2.0,10.0,9.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,356.0,4.0,1.0,0.0,79.0,0,0
Jacob Weitering,11.0,1.0,12.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,4.0,4.0,2.0,2.0,9.0,5.0,10.0,83.3,0.0,0.0,10.0,0.0,0.0,0.0,1.0,315.0,3.0,8.0,0.0,96.0,0,0
Liam Jones,5.0,4.0,9.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,4.0,7.0,77.8,1.0,0.0,6.0,0.0,0.0,0.0,1.0,173.0,1.0,7.0,0.0,97.0,0,0
David Cuningham,7.0,1.0,8.0,3.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,5.0,6.0,75.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,171.0,1.0,0.0,0.0,89.0,0,0
Lachlan Plowman,5.0,2.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,5.0,4.0,57.1,0.0,0.0,2.0,0.0,0.0,0.0,2.0,181.0,2.0,2.0,0.0,85.0,0,0
Mitch McGovern,4.0,3.0,7.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,3.0,4.0,57.1,2.0,3.0,2.0,0.0,0.0,0.0,4.0,129.0,0.0,1.0,2.0,77.0,0,0
Paddy Dow,4.0,3.0,7.0,3.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,5.0,4.0,57.1,0.0,2.0,0.0,0.0,0.0,0.0,4.0,116.0,0.0,1.0,0.0,76.0,0,0
