Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency %,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,Brownlow Votes
Travis Boak,16.0,15.0,31.0,3.0,0.0,1.0,3.0,0.0,0.0,7.0,7.0,1.0,1.0,0.0,0.0,15.0,17.0,20.0,64.5,0.0,1.0,0.0,0.0,4.0,3.0,9.0,362.0,6.0,2.0,1.0,77.0,1,2
Oliver Wines,11.0,17.0,28.0,1.0,1.0,0.0,11.0,0.0,0.0,7.0,10.0,0.0,0.0,4.0,0.0,22.0,9.0,25.0,89.3,0.0,0.0,3.0,0.0,3.0,7.0,6.0,344.0,3.0,4.0,1.0,75.0,1,3
Robbie Gray,9.0,13.0,22.0,2.0,3.0,0.0,2.0,0.0,1.0,3.0,2.0,3.0,0.0,0.0,2.0,7.0,20.0,18.0,81.8,0.0,0.0,3.0,0.0,2.0,0.0,10.0,254.0,3.0,1.0,0.0,87.0,1,1
Tom Rockliff,12.0,8.0,20.0,1.0,1.0,1.0,5.0,0.0,0.0,1.0,6.0,3.0,1.0,3.0,1.0,10.0,9.0,12.0,60.0,0.0,1.0,0.0,0.0,4.0,2.0,4.0,313.0,4.0,1.0,0.0,79.0,1,0
Zak Butters,5.0,15.0,20.0,2.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,11.0,9.0,19.0,95.0,1.0,1.0,0.0,0.0,1.0,1.0,7.0,147.0,0.0,4.0,0.0,84.0,1,0
Karl Amon,14.0,5.0,19.0,5.0,1.0,1.0,3.0,0.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,19.0,13.0,68.4,0.0,0.0,2.0,0.0,0.0,0.0,5.0,497.0,5.0,0.0,0.0,81.0,1,0
Sam P-Pepper,9.0,9.0,18.0,1.0,0.0,0.0,5.0,0.0,0.0,5.0,6.0,9.0,0.0,3.0,3.0,14.0,6.0,10.0,55.6,0.0,1.0,2.0,0.0,2.0,4.0,3.0,309.0,5.0,5.0,0.0,78.0,1,0
Dan Houston,13.0,4.0,17.0,3.0,1.0,0.0,2.0,0.0,1.0,3.0,0.0,4.0,4.0,0.0,0.0,6.0,10.0,11.0,64.7,1.0,0.0,2.0,0.0,0.0,0.0,6.0,408.0,5.0,6.0,0.0,84.0,1,0
Hamish Hartlett,8.0,8.0,16.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,2.0,2.0,1.0,3.0,0.0,12.0,4.0,11.0,68.8,0.0,0.0,0.0,0.0,1.0,1.0,5.0,194.0,2.0,9.0,0.0,85.0,1,0
Charlie Dixon,10.0,4.0,14.0,5.0,2.0,4.0,1.0,4.0,1.0,0.0,1.0,4.0,0.0,3.0,1.0,10.0,4.0,7.0,50.0,3.0,3.0,3.0,0.0,0.0,1.0,11.0,123.0,4.0,0.0,0.0,94.0,1,0
