Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency %,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,Brownlow Votes
Zachary Merrett,19.0,15.0,34.0,8.0,1.0,0.0,3.0,0.0,2.0,3.0,5.0,5.0,4.0,2.0,2.0,6.0,27.0,27.0,79.4,0.0,0.0,0.0,0.0,3.0,2.0,8.0,517.0,6.0,2.0,0.0,81.0,0,2
Devon Smith,15.0,12.0,27.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,3.0,2.0,1.0,0.0,8.0,18.0,20.0,74.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,458.0,4.0,5.0,0.0,88.0,0,0
Darcy Parish,6.0,17.0,23.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,9.0,2.0,2.0,0.0,0.0,14.0,9.0,17.0,73.9,0.0,0.0,1.0,0.0,4.0,5.0,3.0,206.0,2.0,2.0,0.0,87.0,0,0
Adam Saad,14.0,7.0,21.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,2.0,17.0,14.0,66.7,0.0,0.0,6.0,1.0,0.0,0.0,2.0,495.0,5.0,3.0,0.0,85.0,0,0
Matt Guelfi,9.0,10.0,19.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,5.0,13.0,14.0,73.7,2.0,0.0,4.0,0.0,0.0,1.0,3.0,265.0,4.0,3.0,0.0,78.0,0,0
Dylan Shiel,11.0,6.0,17.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,2.0,3.0,0.0,0.0,1.0,15.0,13.0,76.5,0.0,0.0,1.0,1.0,1.0,1.0,3.0,450.0,3.0,0.0,0.0,83.0,0,0
Will Snelling,7.0,10.0,17.0,4.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,5.0,11.0,12.0,70.6,0.0,1.0,1.0,0.0,0.0,1.0,4.0,195.0,7.0,4.0,0.0,89.0,0,0
Andrew McGrath,9.0,8.0,17.0,1.0,0.0,0.0,4.0,0.0,2.0,3.0,2.0,3.0,1.0,1.0,0.0,4.0,13.0,14.0,82.4,0.0,0.0,1.0,1.0,0.0,2.0,4.0,300.0,2.0,1.0,0.0,83.0,0,0
Jordan Ridley,10.0,6.0,16.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,13.0,16.0,100.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,286.0,0.0,5.0,0.0,100.0,0,0
Michael Hurley,12.0,2.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,1.0,1.0,4.0,7.0,11.0,78.6,0.0,0.0,7.0,0.0,0.0,1.0,1.0,348.0,3.0,4.0,0.0,90.0,0,0
Martin Gleeson,7.0,6.0,13.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,7.0,0.0,1.0,3.0,8.0,11.0,84.6,0.0,0.0,2.0,2.0,0.0,1.0,3.0,238.0,2.0,3.0,0.0,90.0,0,0
Kyle Langford,4.0,9.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,6.0,7.0,6.0,46.2,2.0,1.0,1.0,1.0,0.0,2.0,2.0,134.0,4.0,2.0,0.0,83.0,0,0
Dylan Clarke,3.0,10.0,13.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,7.0,7.0,10.0,76.9,0.0,0.0,2.0,0.0,0.0,2.0,4.0,35.0,2.0,2.0,0.0,88.0,0,0
Sam Draper,9.0,4.0,13.0,6.0,0.0,0.0,4.0,14.0,0.0,1.0,1.0,3.0,4.0,2.0,2.0,8.0,5.0,10.0,76.9,2.0,0.0,0.0,0.0,0.0,1.0,2.0,229.0,7.0,8.0,0.0,77.0,0,0
Mason Redman,8.0,4.0,12.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,1.0,1.0,10.0,11.0,91.7,0.0,0.0,1.0,0.0,0.0,0.0,3.0,122.0,3.0,4.0,0.0,86.0,0,0
Brayden Ham,5.0,6.0,11.0,4.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,8.0,10.0,90.9,0.0,1.0,0.0,0.0,0.0,0.0,1.0,220.0,1.0,1.0,0.0,93.0,0,0
James Stewart,5.0,4.0,9.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,3.0,6.0,5.0,55.6,2.0,2.0,1.0,0.0,0.0,0.0,5.0,84.0,2.0,0.0,0.0,89.0,0,0
Irving Mosquito,5.0,3.0,8.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,3.0,6.0,75.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,174.0,2.0,0.0,0.0,67.0,0,0
Anthony M-Tipungwuti,5.0,2.0,7.0,3.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,4.0,6.0,85.7,1.0,2.0,3.0,1.0,1.0,0.0,4.0,142.0,1.0,1.0,0.0,91.0,0,0
Tom Bellchambers,0.0,3.0,3.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,3.0,2.0,2.0,66.7,1.0,0.0,4.0,0.0,0.0,0.0,1.0,-30.0,2.0,0.0,0.0,76.0,0,0
Jake Stringer,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,3.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,85.0,1.0,1.0,0.0,83.0,0,0
Aaron Francis,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,1.0,1.0,0.0,12.0,0,0
Dustin Martin,20.0,10.0,30.0,3.0,1.0,2.0,2.0,0.0,0.0,9.0,7.0,4.0,0.0,0.0,0.0,17.0,14.0,16.0,53.3,1.0,0.0,3.0,3.0,5.0,2.0,9.0,651.0,7.0,3.0,1.0,87.0,1,1
Shai Bolton,16.0,13.0,29.0,5.0,1.0,0.0,0.0,0.0,0.0,7.0,5.0,4.0,0.0,1.0,0.0,12.0,18.0,21.0,72.4,0.0,0.0,1.0,2.0,3.0,2.0,6.0,544.0,6.0,4.0,0.0,90.0,1,3
Jack Graham,9.0,14.0,23.0,2.0,0.0,1.0,2.0,0.0,3.0,5.0,4.0,3.0,0.0,0.0,3.0,9.0,14.0,21.0,91.3,0.0,0.0,0.0,0.0,2.0,2.0,10.0,225.0,0.0,2.0,0.0,75.0,1,0
Kamdyn Mcintosh,13.0,5.0,18.0,5.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,3.0,0.0,1.0,0.0,8.0,9.0,11.0,61.1,2.0,0.0,1.0,0.0,0.0,0.0,5.0,420.0,5.0,5.0,0.0,82.0,1,0
Kane Lambert,8.0,10.0,18.0,5.0,1.0,0.0,4.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,1.0,7.0,13.0,11.0,61.1,0.0,1.0,0.0,0.0,0.0,1.0,6.0,237.0,4.0,2.0,2.0,86.0,1,0
Marlion Pickett,11.0,7.0,18.0,6.0,0.0,0.0,2.0,0.0,1.0,9.0,0.0,6.0,1.0,0.0,1.0,4.0,15.0,11.0,61.1,0.0,0.0,1.0,4.0,0.0,0.0,3.0,602.0,3.0,2.0,0.0,84.0,1,0
Ivan Soldo,8.0,9.0,17.0,4.0,0.0,0.0,2.0,19.0,0.0,0.0,5.0,4.0,0.0,2.0,0.0,12.0,5.0,11.0,64.7,2.0,0.0,3.0,0.0,2.0,3.0,1.0,186.0,3.0,9.0,0.0,73.0,1,0
Daniel Rioli,7.0,9.0,16.0,3.0,1.0,0.0,5.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,5.0,11.0,11.0,68.8,0.0,1.0,1.0,0.0,0.0,0.0,3.0,148.0,3.0,2.0,4.0,85.0,1,0
Liam Baker,7.0,9.0,16.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,6.0,10.0,14.0,87.5,0.0,0.0,1.0,0.0,0.0,0.0,5.0,171.0,0.0,8.0,0.0,83.0,1,0
Trent Cotchin,9.0,5.0,14.0,3.0,0.0,0.0,1.0,0.0,0.0,6.0,2.0,5.0,1.0,1.0,0.0,5.0,9.0,6.0,42.9,0.0,0.0,1.0,0.0,2.0,0.0,1.0,183.0,3.0,1.0,0.0,69.0,1,0
Jayden Short,9.0,5.0,14.0,5.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,5.0,10.0,12.0,85.7,0.0,0.0,3.0,5.0,1.0,0.0,6.0,334.0,1.0,3.0,0.0,84.0,1,0
Nick Vlastuin,9.0,4.0,13.0,5.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,3.0,10.0,11.0,84.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,376.0,2.0,4.0,0.0,92.0,1,0
Jason Castagna,5.0,7.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,10.0,10.0,83.3,0.0,0.0,1.0,0.0,0.0,0.0,3.0,83.0,0.0,1.0,0.0,87.0,1,0
Bachar Houli,6.0,5.0,11.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,68.0,0.0,0.0,0.0,70.0,1,0
Dylan Grimes,7.0,3.0,10.0,3.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,4.0,4.0,6.0,60.0,1.0,0.0,4.0,0.0,0.0,0.0,4.0,125.0,2.0,7.0,0.0,94.0,1,0
